"gene_id","FM2_5_1","FM2_5_2","FM2_5_3","FM2_5_4","FM2_5_5","FM2_5_6","R20291_1","R20291_2","R20291_3","R20291_4","R20291_5","R20291_6","Rv189_1","Rv189_2","Rv189_3","Rv189_4","Rv189_5","Rv189_6","Rv9_1","Rv9_2","Rv9_3","Rv9_4","Rv9_5","Rv9_6"
"gene-CDR20291_RS16735",102663,116357,132774,15070,27973,8520,92832,127333,160364,17244,9823,28796,171112,119852,115655,18648,16155,18398,48058,176954,173391,20789,14515,34217
"gene-CDR20291_RS16740",2,13,48,0,4,1,1,2,7,0,0,0,16,33,3,1,0,0,0,15,15,2,1,6
"gene-CDR20291_RS16745",1037,1520,1363,150,156,104,962,585,865,109,53,143,1127,988,1191,140,127,67,264,967,773,75,57,115
"gene-CDR20291_RS16750",34049,41394,26980,7265,4287,6393,26187,21159,27130,4497,5492,4470,33053,18616,20556,5347,8168,2820,4538,46996,30497,5521,6187,3459
"gene-CDR20291_RS16755",377,506,291,63,51,68,387,863,1285,53,57,24,454,147,717,57,75,25,154,589,666,95,75,63
"gene-CDR20291_RS16760",5414,6865,4426,1378,587,1231,4188,4077,5193,747,1092,723,4857,2617,2503,830,1520,441,571,7010,4923,875,1253,448
"gene-CDR20291_RS16765",5156,6379,5437,634,703,653,4505,7845,11691,390,461,474,5641,3283,5279,511,624,548,4091,5451,5403,578,638,587
"gene-CDR20291_RS01975",216,188,125,29,37,34,144,442,607,27,23,10,185,100,244,39,24,24,77,200,213,42,26,40
"gene-CDR20291_RS16770",1966,2242,1557,489,442,465,1962,4610,4481,327,393,536,2690,3316,6257,483,646,315,4533,2300,3458,415,479,513
"gene-CDR20291_RS16775",2310,3217,2772,563,624,713,17506,11905,10964,2327,1924,1992,4033,7189,11607,487,941,270,4292,12522,8206,1152,797,1327
"gene-CDR20291_RS16780",121,133,102,29,24,38,120,83,224,21,40,35,133,116,144,21,37,6,72,244,308,31,26,19
"gene-CDR20291_RS16785",7457,10223,9686,631,717,392,4681,606,631,778,1054,921,7313,3215,1321,461,691,505,347,10444,919,444,792,610
"gene-CDR20291_RS16790",1770,2807,2464,557,415,633,14982,8326,8048,2119,2001,2173,3283,4048,5238,358,967,219,2079,9658,6839,1031,980,1157
