"gene_id","DMSO_01","DMSO_02","DMSO_03","Enoxolone_01","Enoxolone_02","Enoxolone_03"
"CDR20291_0185",7517,4871,9516,3740,6729,5165
"CDR20291_0186",675,771,1493,550,1308,1138
"CDR20291_0187",2673,2790,4933,2307,4768,4066
"CDR20291_0188",10893,5145,8904,7146,6211,5482
"CDR20291_0189",1941,1013,1835,1876,1910,1402
"CDR20291_0190",2499,1056,1949,1586,1801,1153
"CDR20291_0191",1062,462,939,748,861,539
"CDR20291_0192",10201,4485,8068,9499,8183,6873
"CDR20291_0193",9047,5546,10205,8075,11053,8363
"CDR20291_0194",1580,1919,3579,2499,4614,5198
"CDR20291_0195",29090,36926,61125,40503,101045,84697
"CDR20291_0196",949,893,1560,1009,2414,1848
"CDR20291_0197",6862,3947,7538,7220,10347,7873
"CDR20291_0198",84568,49750,88058,95916,122831,96766
"CDR20291_0199",9489,6245,11092,10088,14660,12268
"CDR20291_0200",805,881,1530,803,1792,1276
"CDR20291_0201",158,190,338,108,396,257
"CDR20291_0202",192,231,335,128,375,266
"CDR20291_0203",272,223,568,42,450,163
"CDR20291_0204",880,1055,1589,698,1762,1165
"CDR20291_0205",6529,4073,8318,4326,6479,4489
"CDR20291_0206",154,90,158,95,149,101
"CDR20291_0207",26,17,32,21,46,16
"CDR20291_0208",85,124,182,108,258,152
"CDR20291_0209",29,29,32,22,38,29
"CDR20291_0210",108,158,204,101,289,220
"CDR20291_0211",9454,4410,8027,4815,5311,3522
"CDR20291_0212",514,237,446,328,412,235
"CDR20291_0213",25,12,24,22,18,16
"CDR20291_0214",732,323,675,449,500,290
"CDR20291_0215",9064,3406,5684,4735,3412,2285
"CDR20291_0216",1410,1101,1974,1141,1990,1564
"CDR20291_0217",3448,3812,7395,2752,6088,5525
"CDR20291_0218",2366,2516,4926,2261,4576,4158
"CDR20291_0219",721,821,1670,648,1441,1297
"CDR20291_0220",3933,2677,5068,2210,4009,3326
"CDR20291_0221",1690,1918,3619,1268,2653,2508
"CDR20291_0222",22289,14431,26019,19454,25120,19215
"CDR20291_0223",3759,1592,2163,2836,2955,1858
"CDR20291_0224",2438,2226,3418,3347,5271,4138
"CDR20291_0225",2576,1824,2890,2687,4393,3088
"CDR20291_0226",3915,3076,4456,4663,7764,4923
"CDR20291_0227",2317,2336,3726,3201,6094,4152
"CDR20291_0228",2320,1737,2849,2802,4559,3296
"CDR20291_0229",450,359,641,275,995,408
"CDR20291_0230",236,222,430,323,543,535
"CDR20291_0231",962,667,969,938,1765,913
"CDR20291_0232",5466,5232,6884,6948,14089,8457
"CDR20291_0233",3915,5333,6754,6300,14158,9686
"CDR20291_0234",1064,737,1015,1015,2212,950
"CDR20291_0235",206,243,348,309,608,560
"CDR20291_0236",2246,1739,2352,2955,4527,3402
"CDR20291_0237",1573,1289,1570,1890,3279,1991
"CDR20291_0238",10321,10089,13463,14589,25424,15923
"CDR20291_0239",171,160,427,130,964,315
"CDR20291_0240",176168,82917,104209,227417,193228,109182
"CDR20291_0241",3597,1615,2730,2888,5415,1987
"CDR20291_0242",5926,4415,6557,5419,10415,6090
"CDR20291_0243",5082,3838,5927,4663,9531,6105
"CDR20291_0244",2534,1066,1827,1799,2666,1526
"CDR20291_0245",2374,1355,2137,2213,3307,2073
"CDR20291_0246",2090,1431,2759,1867,3718,2148
"CDR20291_0247",8138,3200,5557,7415,7331,4772
"CDR20291_0248",5001,2386,3472,7450,6129,4663
"CDR20291_0249",10015,4195,5309,14616,11493,7468
"CDR20291_0250",4601,2099,3023,6544,6821,4539
"CDR20291_0251",10398,8554,11958,16942,26350,19568
"CDR20291_0252",3993,4864,6923,5962,15605,10663
"CDR20291_0253",1681,2220,3042,2229,6629,5058
"CDR20291_0254",8425,7530,9816,12339,20516,15715
"CDR20291_0255",2094,1984,2754,2645,4397,3672
"CDR20291_0256",4992,4058,6219,6160,12549,9327
"CDR20291_0257",2129,2815,3700,4032,9896,7152
"CDR20291_0258",2729,4664,6004,6125,15789,12817
"CDR20291_0259",853,1238,1483,1745,3621,3213
"CDR20291_0260",2421,3020,4266,5167,10729,7963
"CDR20291_0261",4431,3290,5126,7777,12408,9066
"CDR20291_0262",1618,1029,1943,1902,3782,2338
"CDR20291_0263",826,607,811,1069,1984,1218
"CDR20291_0264",2928,2659,3650,5201,8731,6264
"CDR20291_0265",1033,1128,1570,1781,3780,2377
"CDR20291_0266",3971,5223,7420,7330,18605,12607
