"gene_id","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12"
"CD630_01460",2362,2281,1905,2597,3894,1890,735,975,973,940,770,776
"CD630_01470",1850,1304,1180,1305,2470,1136,2200,2276,2993,2007,3061,2791
"CD630_01480",372,219,249,402,366,222,174,200,471,347,490,364
"CD630_01490",720,648,633.5,1052,1042.5,581,734,599,746,794.5,748,654.5
"CD630_01500",1305,1281.5,1147.5,1874.5,2094.5,1096.5,1400.5,1517.5,1569.5,1735.5,1401.5,1351.5
"CD630_01510",674.5,592.5,509,841,1020,488.5,669.5,658.5,679,684.5,643.5,642.5
"CD630_01520",1995.5,1848,1460,2165.5,3103,1544,2144,2202,2255.5,2306.5,2392,2120.5
"CD630_01530",1314.5,1605.5,1274.5,2233.5,2368.5,1171.5,1129.5,1269.5,1308,1417.5,1151,1183
"CD630_01540",77.5,98,70,143.5,160,92.5,87,68,62.5,74,65.5,63
"CD630_01550",527,628.5,518.5,676,888.5,457,329.5,498.5,434.5,405.5,402.5,384
"CD630_01560",1452,1303,1203,1691,2383,1138,1064,1081,1207,992,1209,1068
"CD630_01570",459,315,376,492,629,283,117,161,179,190,152,140
"CD630_01590",119,113,100,151,182,119,64,48,46,54,78,49
"CD630_01600",44,17,32,31,24,30,39,38,40,41,32,38
"CD630_01610",78,51.5,66,78,109,59.5,200.5,262.5,247,308.5,220,194
"CD630_01620",102,114.5,109,157,176.5,110,247.5,359.5,305.5,417,280,266.5
"CD630_01630",130.5,122,112.5,117,174,93.5,205,266.5,232,307.5,266.5,238
"CD630_01631",70.5,62,56,74,94.5,43,110,169.5,138.5,195,135.5,105
"CD630_01632",63,60,54.5,59,90,63,133,106,90,114,133,101.5
"CD630_01640",24,23,20,28,52,21,42,39,49,46,28,42
"CD630_01650",126.5,69.5,81.5,1010,125.5,78.5,18.5,19.5,24,40,19,18
"CD630_01660",190.5,89.5,98.5,1278,140.5,102.5,12.5,16.5,6,45,10,14
"CD630_01670",482,313,389,559,556,338,249,275,226,318,233,249
"CD630_01680",165,95,109,154,170,109,120,145,158,127,137,135
"CD630_01690",2284,1912.5,1871.5,2364,3163.5,1747.5,1084.5,1455,1490,1446,1256.5,1286.5
"CD630_01700",3115,2724.5,2513.5,3627,4204.5,2344.5,1723.5,2030,1787,1934,1642.5,1660.5
"CD630_01710",11317,9656,8959,11667,17283,8916,8224,8471,9093,7476,9570,8231
"CD630_01720",266,284,272,331,556,262,267,241,311,255,350,261
"CD630_01721",4256,4270,4048,4767,8428,4086,5406,4507,4457,3632,5351,3723
"CD630_01730",568,462,423,655,706,403,444,486,469,597,540,504
"CD630_01740",25746,22978,16305,29869,30167,17646,29159,32085.5,36285,48170.5,49542.5,39306.5
"CD630_01750",3530.5,3030,2422,4356.5,3690.5,2293,5055.5,5009,5008.5,7075.5,7103.5,6029
"CD630_01760",16292.5,12893,9124,16999.5,16585.5,9862,23605.5,27049.5,29051.5,38476,36187,30844.5
"CD630_01770",4423,3941,4082,6778,6763,3700,12212,12778,14652,14760,14100,11558
"CD630_01780",72,32,48,79,72,46,97,118,128,127,95,83
"CD630_01790",15961,15128,13142,13599,25451,11738,60847,115542,58366,61946,58408,48217
