"gene_id","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12"
"CD630_18870",24.5,17.5,19.5,30,30.5,20.5,7,8.5,3.5,6,3.5,8
"CD630_18880",26.5,35.5,33.5,57,59.5,27.5,6,10.5,17.5,12,15.5,6.5
"CD630_18890",65,81.5,73.5,132,153,81,28,31,47,24,46.5,35.5
"CD630_18900",78,71.5,76.5,114,162,62,22,32,29,23,24.5,27
"",136,142,128,216,229,132,7,23,8,9,14,9
"CD630_18920",528,416,456,688,782,421,568,707,696,699,676,610
"CD630_18930",175,152,171,200,262,131,637,1724,681,813,586,569
"CD630_18940",63,38,44,66,75,41,60,71,74,91,88,80
"CD630_18950",1031.5,990.5,887,1063.5,1542.5,851,5830.5,4954.5,5001.5,4405,5657,4947
"CD630_18960",1852.5,1480.5,1508,1743.5,2985.5,1334,8311.5,10187.5,12238.5,11794,9977,9853
"CD630_18970",1248.5,976.5,935,1486.5,1397.5,892.5,967,1138,1211.5,1307.5,1280,1272
"CD630_18980",1320.5,986.5,859,1519.5,1321.5,839.5,834,852,1082.5,1159.5,1225,1112
"CD630_18990",283,197,168,248,213,175,165,178,286,288,287,301
"CD630_19010",22,28,15,34,53,20,23,28,31,27,23,30
"CD630_19030",400,346,335,525,538,309,209,240,254,228,232,212
"CD630_19040",21,18,21,37,41,22,19,10,9,26,8,12
"CD630_19050",22,13,9,25,23,15,8,12,5,6,3,4
"CD630_19060",0,0,0,0,0,0,0,0,0,0,0,1
"CD630_19070",34,26,23,35,45,26,17,37,32,20,22,30
"CD630_19080",71.5,54.5,72,117,100.5,65.5,85.5,111.5,101.5,85.5,85,71
"CD630_19090",133.5,100.5,97,188,173.5,128.5,106.5,150.5,166.5,142.5,122,127
"CD630_19100",981.5,782,785.5,1343.5,1277.5,793.5,428.5,570.5,524,484.5,416,471
"CD630_19110",1760.5,1387,1460.5,2189.5,2533.5,1513.5,831.5,1022.5,953,956.5,795,771
"CD630_19120",14,17,12,20,37,17,11.5,17.5,15,12,12,10
"CD630_19130",22,16,12.5,18,37,12,18.5,17.5,19,13,9,16
"CD630_19140",23,13.5,8.5,16,34,6,9,14,18,14.5,20,12
"CD630_19150",9,10.5,6,10.5,12.5,9,5,10.5,6.5,3.5,10,9
"CD630_19160",9,14,8.5,11.5,15.5,8,8.5,8.5,7,16,7.5,19
"CD630_19170",35,24,33.5,40,56,22,24.5,20,44.5,33,39.5,22
"CD630_19180",1,2,1,7,4,6,5,1,4,2,3,5
"CD630_19190",17,10,12,12,19,8.5,11,13,14,5,9,16
"CD630_19200",0,4,6,7,16,6.5,5,1,14,6,7.5,9
"CD630_19210",11,5,14.5,11.5,18.5,8.5,12,13,8.5,16.5,13,9.5
"CD630_19220",8.5,8.5,4.5,6,10,5.5,5.5,12,6.5,8.5,7,6.5
"CD630_19230",5.5,2.5,3,3.5,7.5,2,1.5,5,4,2,3.5,2
"CD630_19240",23,15.5,15.5,18,35.5,13,11.5,29,21,24,13.5,15
"CD630_19250",21,26.5,19.5,22,36.5,17,18.5,26,22,25,24.5,23
"CD630_19260",5,8.5,8.5,7.5,8,4.5,4,8,9.5,11.5,7,4
"CD630_19270",9,7.5,7.5,15.5,16,6.5,4,5,5.5,22.5,11,9
"CD630_19280",7.5,2.5,8.5,8,7,3,3,7,10.5,7,6,7.5
"CD630_19290",25.5,13.5,18.5,19,13,12,5,11,8.5,9,11,3.5
"CD630_19300",1300,1182,1208,1660,2016,1090,814,1009,931,936,796,772
"CD630_19310",3571,3081,2785,3744,5029,2949,3746,3531,4077,3128,4698,3576
"CD630_19320",669,640,521,760,964,515,530,718,707,624,581,573
"CD630_19330",1904.5,1535,1558,1945.5,2966.5,1387.5,1008.5,1483,1466,1292.5,1198,1167
"CD630_19340",1503.5,1300,1311,1750.5,2241.5,1212.5,884.5,1192,1217,1140.5,1070,1050
"CD630_19350",5078,4198,4141,5486,7781,3727,1684,2830,2346,2376,1793,1823
"CD630_19360",6511.5,6364,5853,7684.5,10917.5,5239.5,2523,3732.5,3168.5,3383,2445,2454
"CD630_19370",8106,7607.5,7277,10191,13139.5,6708,3204.5,5018,4489.5,4512.5,3328.5,3286.5
"CD630_19380",13575,13156.5,12581.5,17792.5,22630.5,12120,6787,9922.5,11930,9629.5,9911,9118
"CD630_19390",5490.5,5114,4845.5,6581,8569.5,4704.5,3328.5,4633,6083,4529,5229.5,4863.5
"CD630_19400",5,4,8,8,20,8,1,2,3,1,3,3
"CD630_19401",364,393,328,475,705,372,150,156,168,138,180,123
"CD630_19410",489,434,454,596,740,413,120,212,205,213,177,176
"CD630_19420",559,509,462,601,797,455,258,352,331,353,285,257
"CD630_19430",6067,4807,4134,6546,8332,3878,5115,6276,7972,6625,8181,7011
"CD630_19440",426.5,423.5,391.5,544.5,710.5,386,135.5,183.5,173.5,188,151,177
"CD630_19450",481.5,476,446,636.5,827.5,414.5,150.5,229,218,224,204.5,193.5
"CD630_19460",264,237.5,204.5,345,369,183.5,64,108.5,110.5,130,68.5,88.5
"CD630_19470",44,29.5,35.5,54.5,49,30,6,17,18,13,16.5,7.5
"CD630_19480",79,69.5,75.5,93.5,104,55,30,29,35,39,49.5,33.5
"CD630_19490",168,140,142,221,257,137,45,48,29,43,21,32
"CD630_19500",1268,1186,1146,1268,1861,1056,310,443,362,365,304,305
"CD630_19510",177,141,157,267,224,128,138,238,191,209,148,174
"CD630_19520",102,74,78,122,113,70,87,138,120,122,82,74
"CD630_19530",3725,2865,3284,3630,5038,2907,1575,2206,1518,1445,1329,1273
"CD630_19540",607,423.5,474,733,814,420.5,117.5,160,179.5,165,117.5,169
"CD630_19550",134,89.5,100,147,157,83.5,41.5,35,35.5,35,37.5,30
"CD630_19560",232,107,143,282,180,141,67,67,92,95,64,68.5
"CD630_19570",86,56,61,86,73,65,35,55,68,67,65,46.5
"CD630_19580",1110,841,913,1287,1274,837,722,883,852,702,827,712
"CD630_19590",198,165.5,194,246.5,224,129.5,120,147,140.5,166.5,114.5,132.5
"CD630_19600",208,114.5,148,233.5,217,126.5,82,110,92.5,99.5,60.5,91.5
"CD630_19610",158,120,153,235,218,125.5,48.5,77.5,82,77,77.5,75
"CD630_19620",212,141,165,244,274,149.5,68.5,109.5,106,87,77.5,77
"CD630_19630",523,416,481,576,724.5,339.5,367.5,639,423,375,389.5,363
"CD630_19640",384,372,355,406,532.5,298.5,259.5,490,283,289,248.5,295
"CD630_19650",176,187,164,171,218,163,183,355,184,227,188,160
"CD630_19660",187,169,166,202,272,156,124,185,101,94,82,92
"CD630_19670",245,260,193,257,357,188,360,443,432,457,303,357
"CD630_19680",2436,2064,2007,2548.5,3163,1676.5,5536,6760.5,6948.5,6584,6132.5,5492
"CD630_19690",1141,988.5,939,1227,1596.5,884.5,2522,3138.5,3473.5,3343,3109.5,2744.5
"CD630_19700",1255,1007.5,945,1229.5,1620.5,888,3145,3722,3935,3391,3708,3261.5
"CD630_19710",496,468,359,593,776,422,204,327,315,276,262,288
"CD630_19720",5433,5225.5,4393.5,6566.5,8510,4223,2332,3224.5,2994.5,3323.5,2539.5,2545.5
"CD630_19730",4276,4159.5,3297.5,4738.5,6492,3348,1790,2438.5,2045.5,2182.5,1791.5,1783.5
"CD630_19740",3740,3421,3006,4550,4846,2972,1736,1944,1754,1811,1703,1535
"CD630_19750",4082.5,3678,3103,4371.5,5508.5,2970,646,996,857.5,817,880,840
"CD630_19760",8135,6834.5,5861,8811,10739.5,5617,1336.5,2009.5,2041,1892.5,1876,1948
"CD630_19770",8765.5,7567.5,6723,9578.5,12201,6343,2375.5,3481.5,3490.5,3160.5,3290,3156
"CD630_19780",2464.5,2177.5,1899.5,2560.5,3522.5,1815.5,1039.5,1389,1150,974.5,1085.5,976
"CD630_19790",4051.5,3661,3256.5,4519,6104,3249.5,1724.5,2397.5,1843.5,1755.5,1809,1759.5
"CD630_19800",3316.5,2884,2692,3628,5092.5,2549.5,1533.5,2026,1731.5,1456,1622.5,1474.5
"CD630_19801",672.5,681.5,632,727.5,1097,608.5,387.5,456.5,350,286,330,299
"",37,24,31,27,72,26,30,85,36,47,53,32
"CD630_19810",2,4,3,8,14,4,0,4,2,5,3,4
"CD630_19820",18,6,13,14,19,10,2,5,3,1,5,0
"CD630_19840",324,250,267,407,418,228,129,182,155,145,123,106
"CD630_19850",523,376,426,613,700,431,246,308,283,275,250,189
"CD630_19860",2594,2542,2268,2713,4005,2027,579,732,588,626,490,500
"CD630_19870",487,411,421,401,589,358,160,202,183,208,174,160
"CD630_19880",578,460,506,527,669,458,236,280,312,203,321,283
"CD630_19890",72,53,48,63,93,43,33,34,22,25,31,14
"CD630_19900",87,70,66,69,107,62,51,58,71,80,96,67
"CD630_19901",2,0,0,0,2,1,1,0,0,0,0,0
"CD630_19903",166,128,114,176,310,127,205,268,217,245,259,217
"CD630_19902",447,475,464,413,586,506,144,76,73,54,69,75
"",299,233,256,360,442,246,81,137,127,117,129,104
"CD630_19910",4,4,6,6,12,7,0,0,0,0,0,0
"CD630_19920",400,272,265,397,441,236,168,177,231,202,191,201
"CD630_19921",1648,1402,1386,1700,3005,1321,790,980,974,1009,1072,1031
"CD630_19930",1501,1685,1349,1803,2380,1376,895,835,751,702,850,767
"CD630_19940",236.5,205,150,231,344,172.5,166,267,280,211,245,210.5
"CD630_19941",52.5,52,47,53,76,46.5,61,47,41,36,49,40.5
"",0,0,0,1,1,0,0,0,1,0,0,1
"CD630_19950",628,491,485,629,797,476,436,645.5,503,522,363,441
"CD630_19960",668,565,611,795,1029,531,593,968.5,786,666,480,554
"CD630_19970",1247,1541,1355,2044,2445,1373,5015,7135,4692,4079,4704,4440
"CD630_19980",720,781,777,1230,1319,701,2788,3569,2818,2333,2939,2766
"CD630_19981",2210,766,393,867,2027,830,2023,2575,2648,468,2986,2589
"CD630_19990",1206,463,238,465,984,522,1809,1298,958,174,1728,1183
"CD630_20000",4,5,9,11,8,5,9,6,5,0,4,3
"",6,0,3,5,0,0,2,3,3,1,0,0
"CD630_20020",10,12,7,18,14,14,12,7,7,9,9,5
"",6,7,4,4,10,8,1,5,4,5,0,4
"CD630_20030",12,5,8,10,25,15,9,10,17,6,8,4
"CD630_20040",1210,1219,1045,1815,2094,1090,3203,2907,3476,2898,3696,3340
"CD630_20050",61.5,90.5,74,111,118,80,16,12.5,24,12.5,17.5,13
"",52.5,48.5,52,87,82,65,28,22.5,9,13.5,19.5,21
"CD630_20051",9,3,7,8,9,10,1,2,2,1,1,0
"CD630_20060",1,1,2,2,0,0,0,0,0,1,1,1
"CD630_20070",0,0,8,0,9,5,0,0,0,1,0,0
"CD630_20071",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_20080",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_20090",1,0,0,0,0,0,0,0,0,0,0,0
"CD630_20100",8,3,3,4,5,1,1,0,0,1,2,0
"CD630_20101",5,4,6,8,7,3,2,2,0,0,1,1
"CD630_20102",0,0,0,0.5,1,0,0,0,0,0,0,0
"CD630_20103",0,0,0,0.5,0,1,0,0,0,0,0,0
"CD630_20120",887,884,771.5,1136.5,1442,751,172,399,217,166,169,194.5
"CD630_20130",404,313,351.5,460.5,630,387,64,176,78,78,80,87.5
"CD630_20140",200,240,210,293,317,169,50,57,50,78,61,54
"CD630_20141",10,14,5,9,9,4,0,1,4,4,5,4
"CD630_20150",61,58,51,65,76,51,8,7,6,10,8,9
"CD630_20160",50,44,56,66,87,47,5,16,7,12,7,7
"CD630_20170",474,408.5,341,494,685.5,343,243,250.5,249.5,242,279.5,298.5
"CD630_20171",147,114.5,153,192,204.5,89,38,36.5,47.5,35,63.5,53.5
"CD630_20180",161,110,137,187,199,122,97,139,216,144,166,223
"CD630_20190",330,224,230,423,374,254,1023,1073,1824,1145,1564,1579
"CD630_20200",5303.5,2632,2074.5,3016,4130.5,2051.5,199889,205457.5,241595,209033,249602.5,215461
"CD630_20210",835,297.5,268,475.5,534,301,26042.5,31150,43039,34556,40199.5,36792
"CD630_20220",665.5,290.5,207.5,361.5,435.5,275.5,25786.5,24627.5,31751,23681,35321,29957
"CD630_20230",106.5,88,143.5,170.5,176.5,108,170.5,139.5,162,113,148.5,148
"CD630_20240",456,418.5,386,475.5,667,348,592.5,654.5,605.5,480,544.5,526
"CD630_20250",156.5,124.5,137.5,147,246.5,95,181,275,268.5,198,205,236
"CD630_20260",215,198,161,268,297,187,710,727,823,836,727,773
"CD630_20270",1338,1006,1071,1569,1811,918,6576,7598,8367,9552,7643,7040
"CD630_20280",1286,1043,970,1483,1759,902,4880,6216,6907,8169,5944,6039
"CD630_20290",4003,3653,3079,4334,5866,2959,2327,3188,2589,2315,2432,2158
"CD630_20300",26,26,26,52,58,26,26,56,30,36,27,24
"CD630_20310",18,24,22,60,75,32,30,53,47,56,42,39
"CD630_20320",19,10,11,14,31,18,15,11,21,23,19,6.5
"CD630_20330",36,41,34,63,103,52,39,51,59,46,45,45.5
"CD630_20340",48,40,36,51,136,46,95,136,136,121,100,103
"CD630_20350",12,8,7.5,9.5,13,6.5,4,6,7,10,2,6
"CD630_20360",20.5,18,15.5,23,19,16.5,10.5,13,20,11,14,20.5
"CD630_20370",9.5,5,10,4.5,11,6,7.5,11,8,15,11,10.5
"CD630_20380",9,9,5.5,7,16,3,5,7,7,7,6,9
"CD630_20390",5,5,2.5,0,5,2,1,7,0,0,2,0
"CD630_20400",451,422,387,546,682,402,670,784,718,650,599,587
"CD630_20410",216,190,191,218,370,144,82,155,103,99,88,79
"CD630_20420",499,517,414,585,794,409,228,328,256,241,207,197
"CD630_20430",116,107,81,153,190,97,38,79,64,63,43,36
"CD630_20440",239,194,155.5,267,289.5,182,111,126.5,130.5,119.5,129,121
"CD630_20450",501,409,409.5,549,638.5,362,298,327.5,321.5,287.5,354,309
"CD630_20451",51,30,31,40,59,20,23,36,81,62,60,70
"CD630_20460",381,368,276,328,457,320,538,458,661,584,990,712
"CD630_20470",13,28,11,12,16,12,12,54,31,18,15,10
"CD630_20480",3773,3327,3311,4371,5339,2952,1535,2060,2010,1885,2238,1906
"CD630_20490",400,416,370,512.5,563.5,301,73,117,101.5,83,78,80.5
"CD630_20500",271,355,281,300.5,391.5,229,66,73,59.5,87,67,60.5
"CD630_20510",171,163,158,186,256,140,12,24,23,5,17,10
"CD630_20520",412,382,369,462,588,314,269,255,256,228,295,235
"CD630_20530",7758.5,6268,5505,9079.5,10483.5,5538.5,2752,5410,3101.5,3152,2575.5,2476
"CD630_20540",2765.5,1965,2144,3071.5,3449.5,2020.5,1036,2016,1078.5,1063,993.5,991
"CD630_20550",71,40,36,57,52,35,34,25,33,33,34,32
"CD630_20560",6374,5415,5117,6652,9220,4944,6175,7467,7469,6602,6992,6417
"CD630_20570",3545,2087,2927,4367,4520,2507,2893,3355,4379,3864,3699,3670
"CD630_20580",568,438,475,675,851,473,547,477,733,533,801,673
"CD630_20590",12176,11620,10602,15038,18567,9677,8653,11108,10700,9928,9570,9316
"CD630_20600",2957,2646.5,2402.5,3512,4126,2250,4049,4900.5,5054,4894.5,4065,4069
"CD630_20610",1963,1727.5,1622.5,2239,2426,1466,2794,3188.5,3196,3033.5,2739,2529
"CD630_20620",3492,2754,2874,3425,4547,2646,8500,9414,10422,8296,8592,8557
"CD630_20630",1634,1261,1387,1506,1970,1290,4786,4487,4861,3564,4748,4601
"CD630_20640",170,167,167,172,217,106,73,116,102,74,87,81
"CD630_20650",1168,1135,955,1225,1581,880,629,1115,868,828,749,665
"CD630_20660",1278,925,998,1344,1709,891,614,779,877,702,794,766
"CD630_20670",772,666,682,892,1085,680,648,721,514,497,642,559
"CD630_20680",12081,10525,10445,14826,17133,9482,3047,4464,3292,3536,2551,2766
"CD630_20690",1876.5,1546,1655,2038,2760.5,1549,1000.5,1231.5,917.5,961,870.5,818
"CD630_20700",643.5,430,532,736,871.5,493,278.5,436.5,385.5,372,267.5,302
"CD630_20710",857,512,656,1020,974,655,1231,1653,1429,1335,1216,1219
"CD630_20720",1742,1473,1590,2024,2200,1325,4325,4651,4174,3578,3669,3474
"CD630_20730",497,443.5,396.5,474,693.5,399.5,435,462,481.5,456.5,424.5,453.5
"CD630_20740",51,33.5,31.5,50,66.5,46.5,26,53,35.5,34.5,37.5,31.5
"CD630_20750",37,33,32,50,58,43,34,45,61,52,44,40
"CD630_20760",679,500,566,760,970,572,906,809,854,740,1013,771
"CD630_20770",69.5,68,65,74.5,112,59,51,73,42.5,50,51.5,46
"CD630_20780",67,63,58,81.5,86,44,44,65,27.5,38,40.5,46
"CD630_20790",85.5,93,84.5,130,153,91,65,95,77,88,52,67
"CD630_20800",22,17,17.5,14,27,14,9,7,7,16,8,6
"CD630_20810",14,10,8,13,29,17,5,19,3,6,11,5
"CD630_20820",50,48.5,32.5,55,71,43,15,19,28,27,26,13
"CD630_20830",58,49.5,48.5,68,93,41,19,38,32,43,26,16
"CD630_20840",15,45,40,14,32,54,10,49,28,26,16,4
"CD630_20850",23,60,33,29,81,34,26,46,13,21,13,15
"CD630_20860",63,61,36,62,88,41,25,51,35,39,37,27
"CD630_20870",349,338,260,401,525,278,194,298.5,241.5,285,200,211
"CD630_20880",75,88,76,101,137,72,53,66.5,74.5,70,52,40
"CD630_20890",65,84,62,78,124,59,57,133,106,106,106,80
"CD630_20900",27,26,20,26,41,16,16,38,25,31,31,43
"CD630_20910",24,24,30,41,27,25,15,16,16,9,13,11
"CD630_20920",1971,1645,1544,2124,2598,1385,1424,1812,1783,1410,1536,1561
"CD630_20930",1164,996,931.5,1142,1544.5,800,319.5,523,631,478,487,514
"CD630_20940",1314,1264.5,1178,1479,1841,1098,632,772.5,800.5,726.5,660,664.5
"CD630_20950",121.5,118,125.5,120.5,194,105.5,97,99,101.5,57.5,92,85.5
"CD630_20960",235,190,206.5,244.5,330,179,125,127.5,113,104,91,101
"CD630_20970",113.5,85.5,108.5,142,124.5,71.5,17.5,31,31,31,31,40
"CD630_20980",261,334,215,293,454,220,167,187,190,151,143,133
"CD630_20990",6428,6375,5414,7283.5,10138,5297.5,3551.5,4362,4170,3894,3557.5,3391.5
"CD630_21000",871,866,729.5,895,1315,747.5,508.5,632.5,563.5,510.5,510.5,482.5
"CD630_21010",1321,1152,1135.5,1499.5,2003,1073,825,919.5,864.5,851.5,675,753
"CD630_21020",1766,1554,1515,1622,2618,1445,2130,2374,2111,1773,1867,1662
"CD630_21021",20,11,25,31,30,20,17,32,9,10,15,13
"CD630_21030",853,608,771,1147,1011,492,755,1006,977,1087,644,682
"CD630_21040",870.5,765.5,749,1597.5,1009.5,539.5,1088.5,1479.5,1424.5,1667.5,807,934.5
"CD630_21050",318.5,294.5,290,632.5,364.5,225.5,482.5,668.5,556.5,681.5,375,360.5
"CD630_21060",1233,1066,976,1481,1794,908,547,761,627,706,509,522
"CD630_21070",5078,4207,4411,4081,6504,3750,2015,3262,2512,1980,1973,1909
"CD630_21080",1253,1256,1069,1637,1846,1015,327,437,405,413,336,345
"CD630_21090",1282,1165,1051,1455,1848,884,158,275,274,274,173,198
"CD630_21100",664,583,586,717,1009,564,212,304,242,283,213,213
"CD630_21110",506,344,390,564,660,364,458,687,552,562,458,475
"CD630_21120",45,32,36,75,72,35,8,4,12,8,6,8
"CD630_21130",3371,2668,2941.5,4560,5148.5,2853,990.5,940.5,1301,1299,1257.5,1119.5
"CD630_21140",1629,1279,1428.5,2229,2324.5,1402,527.5,435.5,520,439,584.5,506.5
"CD630_21150",692,500,503,2843,814,443,449,508,630,586,831,613
"CD630_21151",4470,2564,2189,3497,4191,2454,3532,3990,5355,4327,6817,5794
"CD630_21152",0,0,0,0,0,0,0,0,0,0,0,0
"CD630_21160",17278,14609,15125,18387,25287,13344,4765,6787,5855,6391,4178,4563
"CD630_21170",1110,703,656,980,877,614,717,744,898,758,1044,906
"CD630_21180",2035.5,1458.5,1659,2189.5,2341,1341.5,2208.5,3850.5,2839.5,2947.5,1940,2264
"CD630_21190",2427.5,1966.5,2039,2641.5,3135,1620.5,2235.5,3960.5,3115.5,2961.5,2184,2471
"CD630_21200",10487,8650,8251,11288,14086,7393,3059,4861,3687,3706,2773,2857
"CD630_21210",24,25,24,23,34,18,5,7,12,5,5,7
"CD630_21220",2521,1559,1957,2555,2742,1787,441,673,582,483,393,463
"CD630_21230",1034,936,873,1175,1544,874,871,937,925,778,927,812
"CD630_21240",1164,916,868,1298,1565,852,592,846,976,793,913,819
"",184,102,109,149,222,90,97,101,144,117,113,112
"CD630_21250",201.5,173,175.5,188.5,271.5,159,300.5,246.5,226,191,320.5,258.5
"CD630_21251",171.5,124,157.5,170.5,222.5,129,249.5,244.5,253,199,279.5,251.5
"CD630_21260",443,302,358,479,614,329,111,191,209,166,173,142
"CD630_21270",13864,12287,11203,18805,22456,10930,9885,13976,11893,11950,12343,11603
"CD630_21280",894,875,686,1133,1320,720,668,843,772,768,700,687
"CD630_21290",2816.5,2283,2247,3377,3364,1981.5,1745.5,2164,2069.5,1997.5,1925.5,1864
"CD630_21300",2944.5,2206,2312,3289,3500,2110.5,2057.5,2498,2885.5,2608.5,2662.5,2483
"CD630_21320",219,197,183,274,225,159,150,167,154,122,103,127
"CD630_21330",202,142,189,218,300,151,272,300,327,299,339,323
"CD630_21340",883,762,806,1052,1233,639,479,587,711,620,623,549
"CD630_21350",5521.5,5491,4676.5,5690,8480.5,4203.5,1939.5,3005.5,2779.5,2845.5,2369.5,2558
"CD630_21360",7058.5,6545,5977,7314.5,10330.5,5627,2669,3583.5,3241,3049,3092,3001
"CD630_21361",1972,1773.5,1742.5,1944.5,3473.5,1631,792,1096.5,1037,1030.5,1016,949
"CD630_21370",3012,3018,2588.5,3161,5165,2579,1453.5,1852.5,1491.5,1480,1517.5,1459
"CD630_21380",7500,8062.5,6671.5,7961,11710.5,6362.5,3548,4239,3545,3475,3600,3419
"CD630_21390",16020,17015,14776,15926,26612,14020,5794,6539,6291,5839,6660,6132
"CD630_21400",35705,35695,31474,41194,59572,29395,15144,19170,21288,19525,21089,19287
"CD630_21410",444,395,332,375,352,284,974,703,498,443,559,478
"CD630_21420",104,117,97,106,194,96,9,10,16,14,16,16
"CD630_21430",133,106,102,154,181,100,11,5,6,8,4,9
"CD630_21440",203,172,167,237,243,137,15,22,16,15,8,14
"CD630_21450",14480,10223,11635,15807,18600,10796,2886,3947,3240,3881,2406,2887
"CD630_21460",2052,1785,1788,2303,2954,1613,1213,1406,1243,1164,1015,1013
"CD630_21480",3596,2742,3036,4056,4795,2742,1856,2472,2328,2186,1874,1940
"CD630_21490",8760,7560,6542,9242,12745,6720,4739,4447,5027,3347,4561,4218
"CD630_21500",51,30,38,55,59,44,25,26,26,17,17,15
"CD630_21501",5,6,9,7,12,3,7,6,7,4,4,2
"CD630_21510",3684,4054,3727,6284,6827,3216,49,90,56,92,45,43
"CD630_21520",4563,4660,4282,6577,7884,3702,154,331,200,234,189,199
"CD630_21530",3778.5,3893,3101.5,5040.5,6233.5,3222.5,3914.5,4998.5,4559.5,3805,4194,3806
"CD630_21540",11771.5,11060,9622,14570,19693,9564,11222.5,15827,13887.5,11209,12462,11647.5
"CD630_21550",13436.5,13336.5,11062,17058,22671,11030.5,12961.5,18420.5,15969,13275.5,14043.5,13328
"CD630_21560",6915.5,7238.5,5722.5,8587.5,13058.5,5862,8945.5,14594,11009,9041.5,10033.5,9133.5
"CD630_21570",2327,2118.5,1826,2539,4418.5,1963,3308,5609,4341,3569,3768,3423.5
"CD630_21580",1296,1193.5,1257,1374,1775.5,1042,2297,2895,2972,2705,2697,2237.5
"CD630_21590",81,60,46,73,109,39,29,30,29,45,25,33
"CD630_21600",83,45,53,54,91,51,24,51,55,51,41,47
"CD630_21610",19,19,16,16,18,6,5,7,14,8,13,8
"CD630_21620",692.5,571.5,535,705.5,917,513,483.5,546.5,555.5,462,485.5,462
"CD630_21630",404.5,348.5,298,383.5,525,249,332.5,252.5,289.5,251,277.5,204
"CD630_21631",5,2,0,1,7,1,0,1,1,0,4,2
"CD630_21640",674,573,662,880,1037,493,431,695,574,709,564,564
"CD630_21650",1730,1292,1149,1890,2253,1137,794,1072,1037,1173,868,969
"CD630_21660",3392,2313,1807,3434,3543,1937,5254,6009,7568,7322,8862,7218
"CD630_21670",75,70,79,139,105,57,113,130,145,115,117,132
"CD630_21680",406,373.5,426,5785,402,247,318,464,502,2701,366,334
"CD630_21690",72,67.5,83,815,79,49,23,34,30,344,35,23
"CD630_21700",359,237,341,410,483,284,699,727,730,869,693,588
"CD630_21710",7738,7915,7255,9584,10581,5688,1082,1515,1279,1009,983,985
"CD630_21720",964,1015,1038,426,982,576,552,648,501,295,403,417
"CD630_21730",2401,2161,2157,1037,2098,1297,1204,1706,1267,777,879,898
"CD630_21740",6674,6279,6084,3066.5,5902,3467,3051,4098,3225.5,1666,2753,2634
"CD630_21750",5693,4813,5319,2779.5,4971,2978,2235,3087,2951.5,1564,2115,2208
"CD630_21760",5116,4634,5192.5,2524.5,4498,2803.5,2233,2845,2708.5,1465,1891.5,2055
"CD630_21770",8064,6938,7728.5,4145.5,6092,4285.5,3608,4128,3443.5,1887,2798.5,2942
"CD630_21780",430,557,468,302,536,286,350.5,367,330,239.5,329,293.5
"CD630_21790",2844,2703,2749,2079,3119,1773,1851.5,2138,2178,1674.5,1986,1876.5
"CD630_21800",3036,2499,2455,3294,3949,2165,852,1222,1149,1032,841,917
"CD630_21810",6296,5033,5280,7136,8790,4704,4388,5443,4997,4475,4997,4584
"CD630_21820",80,55,64,71,70,51,35,37,28,26,29,23
"CD630_21830",354,340,327,397,449,244,170,157,153,128,145,138
"CD630_21840",113,65,89,147,113,63,103,86,99,128,87,88
"CD630_21850",39.5,30,42.5,47,69,21,22,36,42,28,29,23
"CD630_21860",5.5,7,8.5,4,6,6,1,0,1,1,6,1
"CD630_21870",1073,1041,914,1255,1700,810,604,871,859,762,720,711
"CD630_21880",2573.5,2278.5,2259.5,2937.5,3586,2015,1735,2168.5,2223.5,1923.5,1936.5,1820.5
"CD630_21890",634.5,606.5,579.5,744.5,1001,505,541,626.5,653.5,546.5,605.5,521.5
"CD630_21900",645,714,631,753,1028,541,658,668,662,514,560,509
"CD630_21910",195,98,171,254,178,163,155,203,175,184,114,125
"CD630_21920",1298,940,935,1154.5,1597,702.5,378.5,647.5,557,801,304.5,367
"CD630_21930",5410,4413,4629,6502.5,7146,4181.5,2012.5,2960.5,2050,3048,1522.5,1587
"CD630_21940",660,412,558,795,750,456,358,439,348,410,302,296
"CD630_21950",6910,6912,6003,9273,10792,5772,4455,5378,4666,4461,4290,3770
"CD630_21960",87,83,89,91,98,63,123,179,163,205,139,148
"CD630_21970",4.5,2.5,3,4,9,1.5,15.5,16.5,19,20,9.5,7
"CD630_21980",12,9,7,12,7.5,8.5,17,35,38,55.5,29,28
"CD630_21990",8.5,10.5,11,16,11.5,1,44.5,37.5,33,43.5,35.5,33
"CD630_21991",0.5,2,1,3,2,0,3,6.5,4.5,11.5,6.5,5.5
"CD630_22000",16.5,9,7,15,12,10,54,73.5,77.5,128.5,46.5,78.5
"CD630_22010",5,2,3,12,10,10,33,49,44,92,40,49
"CD630_22020",1478.5,1083,1187,1428.5,1716,1053,837,1282,1180.5,930.5,1027.5,988.5
"CD630_22030",1552.5,1035,1149,1414.5,1999,1082,898,1347,1127.5,928.5,922.5,992.5
"CD630_22040",421,354,355,350,542,318,458,512,551,538,510,460
"CD630_22050",2871,2069,2251,2938,3946,1945,1643,2174,2472,2113,2160,1885
"CD630_22060",841,647,670,1013,1055,640,406,565,502,402,375,376
"CD630_22070",453,338.5,418.5,696.5,577.5,343,525.5,767,500,447.5,456,425.5
"CD630_22080",736,508.5,682.5,1218.5,805.5,571,577.5,869,523,488.5,504,487.5
