"gene_id","Wt_SM_Rep1","Wt_SM_Rep2","RA_SM_Rep1","RA_SM_Rep2","Wt_S_Rep1","Wt_S_Rep2","RA_S_Rep1","RA_S_Rep2","Wt_S_NOV_Rep1","Wt_SM_NOV_Rep1","RA_S_NOV_Rep1","RA_SM_NOV_Rep1","Wt_S_NOV_Rep2","Wt_SM_NOV_Rep2","RA_S_NOV_Rep2","RA_SM_NOV_Rep2"
"spr1794",29244,35985,22738,26624,47592,20495,34866,25244,18665,19313,19882,25405,25608,17434,15172,15638
"spr1795",43566,51749,33218,37858,73508,32109,46847,30332,22335,24201,23629,32262,31414,21695,18053,20648
"spr1796",9574,10200,7297,8250,19167,9711,14874,10584,7519,8043,8560,11131,11715,6795,6383,6973
"spr1797",8591,9395,6541,7595,19782,10837,11593,9135,6220,7085,6178,8967,10372,6561,5619,5927
"spr1798",12315,12790,8934,9732,25618,14186,18600,11767,7151,8260,8109,10790,12254,7266,6656,7330
"spr1799",5859,6430,3862,4258,12058,7151,10515,7801,4271,5132,4535,6225,7594,4469,3652,4054
"spr1800",544,533,491,323,821,595,2132,1558,210,309,227,455,348,260,218,275
"spr1801",799,837,634,490,1143,921,3005,2096,237,429,291,571,432,321,272,364
"spr1802",2662,2670,2190,1576,3866,2532,9737,7031,901,1666,958,2056,1705,1385,862,1295
"spr1803",3749,3738,2321,2510,5276,3172,4004,2646,2975,5368,3640,6312,4921,4434,2448,4326
"spr1804",3976,3860,2548,2792,5332,3141,3729,2645,2756,4386,2899,5049,4105,3661,2115,3681
"spr1805",2797,3054,1735,1886,3419,2175,3086,2359,2235,3819,2402,4398,3559,3653,1706,3166
"spr1806",3404,4114,2579,3091,7090,4260,3368,2008,1262,1203,1281,1507,1413,1186,978,1138
"spr1807",15418,16064,8660,10686,33533,17316,22310,15157,6607,7194,6561,8281,9559,6272,5098,4653
"spr1808",16260,17425,11608,12853,34427,20505,27809,20282,4437,6887,5090,8220,8128,6215,4319,6009
"spr1809",504,548,255,322,1486,659,889,711,248,207,258,314,356,229,217,209
"spr1810",1987,1839,875,1012,5419,3688,19980,14548,5095,7436,5743,7451,9888,6477,4657,6123
"spr1811",11096,10629,6744,7048,24366,15039,20002,13900,2561,5120,3036,5699,6116,4642,2894,4174
"spr1812",3241,3349,2172,2255,6519,4314,4553,3684,776,1476,849,1662,1271,1467,709,1228
"spr1813",14902,13962,6313,8094,40389,20778,36221,27994,7050,11818,7891,12988,14277,10189,7331,8641
"spr1814",5178,5628,3180,4299,8704,3379,4964,3974,3592,8736,3645,8705,3776,6521,3822,4680
"spr1815",8201,8471,4510,6303,13981,5060,8137,7343,5146,13231,5596,13654,6740,10309,6549,7555
"spr1816",5172,5211,2649,3846,7886,2209,5158,4352,3107,8009,3431,8797,4593,6429,4536,4968
"spr1817",7444,7437,3607,4896,11450,2865,7899,5987,3403,9847,3915,11314,6572,8327,6094,6247
"spr1818",2306,2025,944,1114,3862,950,2404,1305,678,2186,989,2743,1532,1698,1466,1444
"spr1819",4576,3106,1712,2696,5678,1601,4587,2956,2459,10535,2845,10533,4213,8663,1788,7135
"spr1820",15537,16656,9261,9721,42827,21619,27127,17129,12430,27018,14364,31525,16437,25266,10371,23910
"spr1821",1428,1358,662,701,4123,2125,1845,1269,931,1859,1013,2358,1117,1702,845,1711
"spr1822",2710,2500,1679,1866,8161,4276,3738,2416,1895,3177,1871,3688,2112,2886,1502,2809
"spr1823",13267,13217,8247,9945,40801,18596,33606,24291,21942,33533,22389,40276,24875,32775,16759,30421
"spr1824",2670,2811,1314,1334,8552,5319,5021,3647,1269,2073,1311,2213,1847,1803,940,1654
"spr1825",262421,231957,131333,157925,532590,247987,493871,352628,536130,821450,543745,883631,748103,775637,439010,678909
"spr1826",8174,9375,5583,7126,9557,1934,4647,3169,4937,7713,5265,9176,4373,6898,2915,6863
"spr1827",9930,11681,7177,8856,14793,4989,8515,6175,4503,7356,4989,8619,4639,6557,2526,6389
"spr1828",10662,11716,6081,7128,15645,5365,8116,6011,4737,5284,4536,6459,3877,5080,2452,4660
"spr1829",22771,27584,15957,19797,26283,7338,16937,12875,8819,13452,9236,15708,7189,12072,3933,11513
"spr1830",4584,4463,2920,3805,3865,1737,2218,1590,479,1943,479,1912,529,1900,285,1625
"spr1831",16846,19714,8336,10789,36745,11554,10429,6337,3913,4740,3957,5678,3236,3669,1682,3572
"spr1832",1701,1679,642,660,6939,3925,3577,2521,451,598,502,650,720,515,383,481
"spr1833",3661,3787,2283,2531,4692,2283,4003,3312,1139,3398,1537,3493,1863,2649,740,2428
"spr1834",4371,4372,2556,3022,4864,2240,3536,2256,866,3401,959,3570,1154,2716,595,2554
"spr1835",885,918,647,662,880,401,651,525,114,624,124,659,205,543,93,501
"spr1836",1781,1800,1106,1381,2069,951,1213,837,223,1425,232,1328,335,1138,156,1030
"spr1837",11699,7699,7591,9322,58332,11544,40202,35756,7867,22068,9872,19502,14084,11562,6756,9848
"spr1838",5488,5132,2629,2913,16972,10676,10087,7210,863,1954,1047,2146,1695,1659,940,1559
"spr1839",6755,6458,3119,3278,19740,12802,12614,7503,1136,2358,1367,2949,2450,2137,1245,2126
"spr1840",3869,3301,1631,1722,11047,7206,6042,3176,671,1427,876,1660,1341,1096,706,1047
"spr1841",26166,23496,15236,17515,54289,30500,56440,37380,7098,12908,8025,14738,14360,11851,7062,11085
"spr1842",48,59,45,45,134,81,206,195,77,59,88,62,84,36,47,26
"spr1843",169,158,80,108,548,303,306,244,35,43,43,51,45,51,33,55
"spr1844",35,33,34,39,60,32,38,45,24,25,17,23,22,22,8,13
"spr1845",27,22,25,24,40,19,37,35,14,23,17,43,26,31,13,29
"spr1846",11,14,8,19,20,11,35,26,14,20,21,20,14,6,15,10
"spr1847",12,16,12,18,22,5,22,19,12,20,22,11,16,16,9,8
"spr1848",12,10,10,15,16,9,21,26,14,20,16,11,20,12,2,7
"spr1849",42,50,46,45,72,27,114,151,82,61,114,94,104,52,52,39
"spr1850",1076,949,614,632,2100,1657,1709,992,233,699,241,844,535,537,236,491
"spr1851",14075,13467,6573,7431,32377,16838,19518,13441,2463,6180,2890,6803,5191,5065,2566,4602
"spr1852",7017,6406,2909,3198,16200,8437,10811,7388,1501,3076,1666,3638,2768,2647,1485,2359
"spr1853",2614,2572,1107,1198,6974,4020,3816,2484,642,1317,731,1434,1086,1009,592,977
"spr1854",18636,20013,11015,12137,33541,16652,22845,14451,14489,12566,16316,16582,13205,10242,8858,10313
"spr1855",8701,10874,6157,7100,11578,4612,8404,5988,10797,9185,12099,11784,9508,7511,6629,7374
"spr1856",75154,99021,54853,66146,98575,27383,59463,44885,220138,133266,220487,162061,186149,118171,109016,116181
"spr1857",66864,90206,47424,57691,88372,26601,44618,36678,167851,105541,155056,121051,147064,106264,92498,91550
"spr1858",82473,102110,63332,73088,141611,41084,64719,39944,186716,113720,207009,149436,170777,95644,98705,104973
"spr1859",90297,115496,69773,83065,110758,31386,81166,54657,245044,149488,265009,190257,219763,128661,118379,131478
"spr1861",78497,98418,64349,75627,114894,35520,68014,40424,193288,116018,205384,147062,174806,98505,93166,99292
"spr1862",20425,25744,15430,16961,28384,8271,18819,10816,44585,27524,53015,35362,40393,21088,21677,23673
"spr1863",228289,285309,188232,225891,315240,96270,184517,118505,474332,263826,487357,340624,410277,223644,227175,241656
"spr1864",194788,243139,145308,174785,273324,90820,153284,101377,380146,219733,387179,278503,332942,188912,178575,196294
"spr1865",3,4,2,1,1419,683,19,13,56,70,54,49,60,88,32,43
"spr1866",19075,15759,8356,9967,41185,19463,54050,44406,32189,53132,35987,50728,67722,41191,27302,41091
"spr1867",32490,30151,18671,22933,93493,45951,91954,57651,41830,27180,46824,33325,52433,19362,26018,20680
"spr1868",22868,23839,15024,15413,49955,31950,38331,27828,36320,27474,40432,33986,46947,23090,25097,23729
"spr1869",27536,31914,21212,23306,76553,48254,59063,41531,43368,19604,43187,24861,44381,16828,25731,15931
"spr1870",6963,7041,4030,4694,14892,7983,6455,5506,5716,5100,5721,6072,6998,4630,4101,4506
"spr1871",939,1170,696,762,1426,1046,1116,717,774,590,897,866,643,558,454,555
"spr1872",1265,1482,780,898,1933,1562,1290,1175,1113,846,1119,1092,912,850,633,789
"spr1873",598,775,433,517,743,676,422,244,421,434,506,514,276,396,257,353
"spr1874",876,1122,630,675,854,690,428,272,526,505,627,624,274,483,274,425
"spr1875",22777,29775,15517,15774,14746,14243,5492,3324,14789,17556,15028,20058,8503,15947,7756,13752
"spr1876",4707,4885,3185,3849,7643,3308,3786,2611,16471,11422,17507,16105,10921,12449,9939,11269
"spr1877",10704,10834,7488,9101,17167,7551,10653,7569,39213,27080,40695,38338,27460,30617,24886,27103
"spr1878",29163,29208,16775,20161,52372,22825,37343,25174,90311,66397,92834,90094,73026,74796,59471,65441
"spr1879",19411,19291,10236,11737,36415,14718,24016,16818,50775,40245,55515,56732,43688,46448,39150,40599
