"gene_id","rofA_1","rofA_2","rofA_3","ssRA_1","ssRA_2","ssRA_3","WT_1","WT_2","WT_3"
"H7X56_05560",15269,12929,20088,13306,14592,15006,19339,16385,17593
"H7X56_05565",16513,14392,16503,14515,14874,15287,18738,18967,15109
"H7X56_05570",801,567,648,778,639,694,1006,923,587
"H7X56_05575",8681,7047,7787,7202,7661,7758,8042,10050,6825
"H7X56_05580",2042,1337,1643,1736,1628,1960,1391,2000,1744
"H7X56_05585",18731,13982,16951,14981,15890,16642,15769,19227,14419
"H7X56_05590",5613,4542,6580,5378,5146,6229,5470,5758,5765
"H7X56_05595",1297,1208,1416,1367,1144,1301,1522,1925,1277
"H7X56_05600",193,152,219,201,150,262,210,188,254
"H7X56_05605",3803,2936,4666,3408,3276,4398,3937,3489,4177
"H7X56_05610",7251,7027,6755,6836,7427,6819,7984,9614,5459
"H7X56_05615",10503,7904,9621,10515,8276,10102,11886,10469,8441
"H7X56_05620",67769,62855,58250,56911,69503,61289,75736,78926,51226
"H7X56_05625",135813,120504,152902,114601,140172,141850,144744,159413,130888
"H7X56_05630",34309,26879,35558,26402,27321,30500,31285,31175,30026
"H7X56_05635",6825,4463,6794,6684,4806,6603,4143,7373,5616
"H7X56_05640",99533,83225,87548,83709,89233,90351,70092,112591,75052
"H7X56_05645",36360,30646,35416,31161,32328,35583,27302,41693,28951
"H7X56_05650",2445,2127,2111,2088,2217,2243,2878,2607,2124
"H7X56_05660",1186,881,1187,1044,1020,1157,826,1083,996
"H7X56_05665",1039,980,1104,1055,884,1084,868,943,1051
"H7X56_05670",545,447,597,540,445,559,475,644,573
"H7X56_05675",41960,36777,42860,33309,41390,40330,40812,46231,39438
"H7X56_05680",16875,14225,18421,16645,14573,17115,18250,21148,16192
"H7X56_05685",3943,2898,4177,3330,3848,4311,3686,3674,4051
"H7X56_05690",2133,954,1385,1971,1303,1485,1087,1364,1304
"H7X56_05695",11465,6935,8825,9818,8872,7958,9658,9559,7797
"H7X56_05700",4072,1866,2007,4064,2037,1605,2660,2465,1777
"H7X56_05705",10384,3988,5465,8636,4498,4736,7220,5681,4464
"H7X56_05710",8106,2570,3311,7096,2709,2523,4514,3137,3313
"H7X56_05715",9216,8173,8738,7848,8368,7939,11416,10847,7966
"H7X56_05720",10572,9350,10339,9334,9742,8750,12487,13668,8928
"H7X56_05725",3050,2636,2344,2328,2596,2116,3959,3639,1863
"H7X56_05730",1485,1447,1151,1136,1318,1099,1656,1488,1059
"H7X56_05735",1368,1096,1316,1317,1058,827,1891,1466,994
"H7X56_05740",31129,33054,32247,29639,31949,27400,38500,46861,28129
"H7X56_05745",2866,2493,2923,2850,2561,2568,3136,3182,2387
"H7X56_05750",250,247,249,297,259,254,241,278,207
"H7X56_05755",57,44,77,74,47,41,36,54,36
"H7X56_05760",3304,3164,3960,3457,3614,3671,3948,4147,3773
"H7X56_05765",3629,3169,3363,3362,3190,3260,3344,3467,3211
"H7X56_05770",724,474,588,655,680,624,585,661,581
"H7X56_05775",8930,7189,8222,7438,8014,6798,10928,8483,6924
"H7X56_05780",113942,109835,108947,105102,113864,101745,149999,151582,95051
"H7X56_05785",30614,22928,30096,26365,23741,29350,30105,32242,27293
"H7X56_05790",10403,7421,9483,8505,9029,9975,9973,9332,7915
"H7X56_05795",19460,15419,19084,17792,15436,18129,20332,22792,16105
"H7X56_05800",8861,7327,8876,7940,7655,8275,9274,10732,8233
"H7X56_05805",3831,3004,3816,3415,3200,3605,3899,4204,2978
"H7X56_05810",1134,734,1062,977,825,1097,876,1215,785
"H7X56_05815",4400,3634,4889,4197,4637,5317,4386,5008,4647
"H7X56_05820",2483,2171,2813,2680,2710,2926,2579,3164,2263
"H7X56_05825",30977,28535,29578,28586,29969,29346,31818,37748,27611
"H7X56_05830",8584,6702,7987,7903,7312,7730,12467,9914,7511
"H7X56_05835",22316,11903,15878,18956,15540,15224,18295,13632,15628
"H7X56_05840",10,13,21,5,3,20,0,9,6
"H7X56_05845",4899,3644,6691,5140,3178,8698,2972,5984,5805
"H7X56_05850",927,819,1703,1290,966,2599,746,896,1590
"H7X56_05855",54,27,40,67,35,46,73,164,25
"H7X56_05860",6,4,0,7,9,11,5,32,10
"H7X56_05865",8,0,0,2,3,4,10,6,0
"H7X56_05870",33,12,28,16,41,15,15,44,8
"H7X56_05875",10,11,3,18,6,0,12,11,0
"H7X56_05880",82,89,50,37,49,6,25,29,16
"H7X56_05885",9,36,8,13,14,1,4,7,0
"H7X56_05890",14,30,32,24,34,27,24,11,12
"H7X56_05895",0,8,0,0,0,0,8,14,2
"H7X56_05900",9,0,0,0,3,0,0,0,0
"H7X56_05905",0,8,0,18,0,0,0,0,1
"H7X56_05910",0,14,0,9,3,0,0,0,0
"H7X56_05915",0,18,0,4,7,0,0,0,0
"H7X56_05920",13,0,0,9,13,0,0,0,7
"H7X56_05925",6,11,7,2,0,0,18,34,4
"H7X56_05930",16,30,0,4,0,0,0,0,0
"H7X56_05935",1,4,5,11,9,11,0,12,0
"H7X56_05940",8,0,0,1,0,0,0,0,0
"H7X56_05945",16,61,12,52,17,12,63,40,15
"H7X56_05950",24,46,36,33,35,9,44,21,8
"H7X56_05955",0,0,21,24,14,17,29,0,35
"H7X56_05960",307,219,270,197,121,141,233,299,192
"H7X56_05965",3257,3192,2837,3073,3198,2701,3612,4314,2496
"H7X56_05970",69,37,71,37,49,19,37,51,46
"H7X56_05975",35,108,46,39,33,21,23,48,21
"H7X56_05980",62,23,55,37,68,48,62,35,36
"H7X56_05985",200,238,283,295,299,222,242,396,243
"H7X56_05990",153,234,141,116,171,104,113,304,81
"H7X56_05995",152,248,101,125,179,108,132,229,144
"H7X56_06000",226,408,248,266,287,301,232,579,195
"H7X56_06005",57,206,99,112,171,122,97,253,77
"H7X56_06010",76,147,81,75,89,75,57,134,22
"H7X56_06015",263,401,329,254,361,240,354,510,265
"H7X56_06020",254,439,431,325,401,313,377,606,332
"H7X56_06025",126,206,146,162,212,89,142,293,173
"H7X56_06030",66,89,61,59,80,78,67,187,40
"H7X56_06035",53,82,83,55,62,29,40,195,51
"H7X56_06040",41,9,51,23,34,27,41,74,9
"H7X56_06045",120,92,170,92,205,60,121,127,175
"H7X56_06050",31,74,35,38,20,34,18,24,68
"H7X56_06055",14,65,28,23,28,21,18,87,16
"H7X56_06060",63,70,71,78,69,37,72,78,59
"H7X56_06065",8447,3052,4772,10192,3647,5234,2374,4459,3803
"H7X56_06070",6978,2337,1745,6821,2401,1799,2113,3005,1481
"H7X56_06075",162,169,188,130,150,110,91,247,160
"H7X56_06080",261,421,313,325,373,327,275,343,389
"H7X56_06085",76,92,115,113,119,100,133,134,141
"H7X56_06090",125,143,128,80,110,125,146,82,131
"H7X56_06095",408,283,544,636,311,511,445,672,510
"H7X56_06100",671,523,947,825,592,693,440,842,828
"H7X56_06105",390,287,473,401,384,428,380,319,365
"H7X56_06110",1120,500,651,1144,441,691,336,498,654
"H7X56_06115",16964,13498,17437,15006,14111,16235,15541,16852,16229
"H7X56_06120",7092,5719,6587,6414,6431,6381,7514,7246,5778
"H7X56_06125",10960,9069,10129,9441,9548,9610,11974,11664,8783
"H7X56_06130",12822,10521,11755,11074,11471,11183,13392,13150,9883
"H7X56_06135",8672,6583,9230,7661,7541,7072,9531,8506,7371
"H7X56_06140",15921,12517,14118,13258,13940,10760,16845,15404,11621
"H7X56_06145",3722,2730,3216,2996,3238,2520,3934,4471,2505
"H7X56_06150",8416,6834,7411,7070,7305,5471,9191,7845,6233
"H7X56_06155",6618,5865,6315,5990,6804,4708,7640,7820,5383
"H7X56_06160",1407,1272,1388,1287,1383,1023,1470,1916,1192
"H7X56_06165",6660,5156,5646,5721,6091,4351,7260,6204,4879
"H7X56_06170",3058,3039,3031,3043,2945,3123,2665,3923,2958
"H7X56_06175",23879,23133,18369,19689,27340,14304,32833,30774,16542
"H7X56_06180",2141,1660,1863,1966,2024,1669,2094,2271,1509
"H7X56_06185",1390,1429,1937,1384,1636,1304,2005,1770,1603
"H7X56_06190",1235,884,1616,1212,1144,1022,1410,1469,1299
"H7X56_06195",550,468,516,452,352,576,513,439,450
"H7X56_06200",33531,27393,26288,30801,26597,25538,32398,38582,21552
"H7X56_06205",1984,1637,1704,1941,2044,1657,1804,3050,1809
"H7X56_06210",1977,1779,1506,2042,1436,1385,1682,2748,1474
"H7X56_06215",44211,38009,43900,36507,44206,44717,43116,48578,38799
"H7X56_06220",39324,35657,39983,34162,38668,38163,43548,46003,34803
"H7X56_06225",34330,28635,32853,32196,33836,32445,37066,42602,30228
"H7X56_06230",12407,11005,12603,12016,11585,11615,13053,17168,10764
"H7X56_06235",37305,34330,36435,32658,37046,34367,43542,47556,33367
"H7X56_06240",31392,26438,30361,26605,29051,28138,34562,36978,25550
"H7X56_06245",63192,58294,59891,58110,60817,57193,73348,82790,53335
"H7X56_06250",42371,38092,41806,41410,33972,38220,46107,55222,36092
"H7X56_06255",19442,17963,19885,18316,18407,17914,22400,25712,17303
"H7X56_06260",16515,12804,15199,14024,14107,13500,15842,17355,13409
"H7X56_06265",18733,16243,17595,17321,17030,16492,20399,22633,15272
"H7X56_06270",5037,3907,4776,3834,5181,4732,4517,4600,4536
"H7X56_06275",81401,66154,77513,67864,74180,76332,85682,81841,65777
"H7X56_06280",2940,2463,2606,2537,2396,2355,2582,3284,2392
"H7X56_06285",7956,6501,7720,7397,7267,7420,8392,9599,6886
"H7X56_06290",392,277,359,450,245,418,267,340,324
"H7X56_06295",42330,35033,35595,34433,38958,36442,39523,45401,32800
"H7X56_06300",11,20,8,7,9,24,0,54,1
"H7X56_06305",11334,9960,12588,10056,11492,12035,13230,13331,11778
"H7X56_06310",8110,6211,9377,7546,7127,8777,9303,9562,8035
"H7X56_06325",15283,15443,14816,14149,15231,13627,19703,21899,13297
"H7X56_06330",4952,4818,5114,4267,4631,4469,6179,4856,4192
"H7X56_06335",7592,6367,7659,6368,6827,7084,9989,7964,7166
"H7X56_06340",6790,6305,6926,6319,7038,6070,11069,8836,6238
"H7X56_06345",850,1723,741,626,1401,520,9086,2098,971
"H7X56_06350",895,1848,678,702,1820,754,8232,2543,1008
"H7X56_06355",1400,4117,1033,1288,3373,1032,10965,5963,1218
"H7X56_06360",4396,12443,2090,3367,12855,2114,15638,16925,1921
"H7X56_06365",2668,7668,1023,2459,7989,937,9170,12240,979
"H7X56_06370",15940,26365,6786,12686,29274,6354,35681,38433,5891
"H7X56_06375",787,714,857,770,763,692,937,1173,827
"H7X56_06380",426,413,330,412,339,287,453,699,350
"H7X56_06385",7064,6300,6258,6395,6208,6284,7267,7737,5766
"H7X56_06390",4194,3359,4297,3615,4015,3965,3940,4677,3595
"H7X56_06395",5555,4841,5352,4566,5562,5477,4944,6735,4530
"H7X56_06400",1305,1157,1315,1098,1173,1231,1227,1471,1103
"H7X56_06405",52,67,89,135,135,48,28,66,50
"H7X56_06410",2,15,28,32,61,31,37,13,32
"H7X56_06415",33,28,30,24,50,28,47,64,23
"H7X56_06420",387,250,258,263,254,403,195,356,294
"H7X56_06425",866,711,1130,883,761,948,876,1013,840
"H7X56_06430",621,525,626,605,563,536,623,620,557
"H7X56_06435",525,387,399,387,420,508,331,226,388
"H7X56_06440",900,615,744,958,594,762,634,871,612
"H7X56_06445",295,169,191,255,214,183,160,176,160
"H7X56_06450",696,445,446,848,443,422,383,528,497
"H7X56_06455",30175,25912,29695,24207,28693,29280,27690,33334,25446
"H7X56_06460",3785,2744,3722,2793,3003,3346,2764,3622,2997
"H7X56_06470",2706,2047,3241,2480,1901,2556,2636,3031,2686
"H7X56_06475",539,332,501,522,431,506,571,528,501
"H7X56_06480",13,0,13,8,5,10,7,0,20
"H7X56_06485",9596,7979,11115,8950,9216,8277,13677,10753,9403
"H7X56_06490",16224,14860,18393,13700,17297,14118,24594,20797,16487
"H7X56_06495",1780,1295,1834,1326,1471,1517,1777,2161,1528
"H7X56_06500",2863,2237,2426,2166,2395,2418,2933,3122,2212
"H7X56_06505",4054,3463,3547,3396,3956,3336,4547,4870,3137
"H7X56_06510",2490,2187,2155,1990,2093,1946,2684,2605,1993
"H7X56_06515",4288,3617,4322,3241,4229,3487,6294,4470,3794
"H7X56_06520",1025,1104,1311,969,1051,1025,1605,1077,1122
"H7X56_06525",1269,1024,1225,1146,1415,1049,1847,1494,1221
"H7X56_06530",554,415,466,396,509,404,741,356,359
"H7X56_06535",705,579,536,580,550,463,1046,579,492
"H7X56_06540",426,181,309,305,342,217,469,348,234
"H7X56_06545",465,309,262,354,394,258,514,322,357
"H7X56_06550",121,153,184,127,175,97,177,219,116
"H7X56_06555",2434,1881,2259,2031,2487,1835,3246,2441,1862
"H7X56_06560",2210,2098,2028,1717,2448,1636,2671,2759,1630
"H7X56_06565",1627,1424,1270,1384,1604,1090,1925,1969,1295
"H7X56_06570",1236,1707,1230,1168,1590,1154,1147,2188,1458
"H7X56_06575",3265,3349,3417,2690,3198,2994,3142,4476,3505
"H7X56_06580",5860,4642,6895,5688,6025,6430,7624,6216,6104
"H7X56_06585",3042,2814,2727,2826,2965,2469,3668,3493,2441
"H7X56_06590",1376,1234,1184,1412,1167,1059,1098,2043,1087
"H7X56_06595",10161,7601,12482,9224,8567,11312,12117,10362,10814
"H7X56_06605",145,88,301,70,127,268,191,113,352
"H7X56_06610",226,169,442,224,170,548,385,236,432
"H7X56_06615",493,387,877,314,284,1016,689,454,968
"H7X56_06620",921,598,1635,642,525,1844,937,790,1415
"H7X56_06625",3755,2727,7804,4191,2928,7689,4399,4169,8566
"H7X56_06630",731,469,1679,632,448,1623,663,535,1342
"H7X56_06635",369,324,917,431,311,863,479,449,779
"H7X56_06640",5,19,26,8,9,29,12,13,19
"H7X56_06645",2047,1590,1729,1384,1746,1650,2981,2184,1629
"H7X56_06650",645,413,979,512,331,1047,521,483,728
"H7X56_06655",240,368,247,228,272,148,599,478,297
