"gene_id","SK36_Mono_7","SK36_Mono_8","SK36_Mono_9","SK36_CoSK36_16","SK36_CoSK36_17","SK36_CoSK36_18","SK36_Quad_22","SK36_Quad_23","SK36_Quad_24"
"SSA_RS03675",468,737,1646,1190,1190,924,365,306,193
"SSA_RS03685",266,464,1019,890,669,528,145,180,111
"SSA_RS03690",34,31,61,72,82,43,17,11,13
"SSA_RS03695",273,184,338,772,577,582,498,387,240
"SSA_RS03700",11378,5314,6921,20618,14174,13318,3773,2938,2577
"SSA_RS03705",3342,1812,2844,6435,5830,3965,975,1062,791
"SSA_RS03710",3206,1581,3722,9013,8739,2916,680,424,340
"SSA_RS03715",116,188,350,439,268,47,2,6,7
"SSA_RS03720",3178,3532,6439,9414,5608,2261,289,353,241
"SSA_RS03725",2081,3362,10043,5926,3193,1064,116,84,66
"SSA_RS03730",243,348,841,577,449,377,155,188,109
"SSA_RS03735",309,567,1192,722,611,479,200,197,128
"SSA_RS03740",73,260,921,221,139,173,64,59,44
"SSA_RS03745",2955,1120,1169,6907,5907,4594,1469,1014,974
"SSA_RS03750",6065,7721,14827,20317,14550,12897,3711,3824,3012
"SSA_RS03755",70,110,261,170,168,154,68,50,38
"SSA_RS03760",14,3,7,10,21,13,8,5,1
"SSA_RS03765",1145,883,449,3099,2097,1967,671,675,588
"SSA_RS03770",4097,4573,10644,11444,9184,6981,2795,2323,1892
"SSA_RS03775",144,288,523,238,262,207,55,69,58
"SSA_RS03780",24775,5981,8755,39238,54296,26544,11135,7563,7695
"SSA_RS03785",225,381,821,587,510,468,172,225,208
"SSA_RS03790",1948,3125,6286,6044,4821,4383,1549,1281,1220
"SSA_RS03795",120,124,335,539,621,697,294,220,146
"SSA_RS03800",726,1041,1794,3298,2858,3249,933,843,649
"SSA_RS03805",299,271,791,1229,1225,975,400,369,254
"SSA_RS03810",805,706,1321,3856,4051,3853,1508,1194,841
"SSA_RS03815",1567,1156,1035,4687,3707,2955,528,470,348
"SSA_RS03820",245,252,447,948,676,586,113,110,81
"SSA_RS03825",10,26,40,37,35,32,5,4,5
"SSA_RS03830",64,128,271,203,169,153,48,30,31
"SSA_RS03835",82,262,556,353,228,285,107,66,72
"SSA_RS03840",1892,2457,3348,7520,6089,4412,1870,934,1134
"SSA_RS03845",784,1791,5010,1553,1317,1348,2835,2277,1503
"SSA_RS03850",2453,3304,9955,4837,4255,3778,3116,2282,1652
"SSA_RS03855",41930,73669,201963,102226,65690,67788,28178,22185,18156
"SSA_RS03860",36291,30352,24514,146277,80449,90559,66321,58402,47813
"SSA_RS03865",20971,13863,24017,42144,43254,26252,12957,9887,8388
"SSA_RS03870",2158,3050,5429,6645,5163,6427,2302,2116,1997
"SSA_RS03875",197,522,1545,1274,816,450,143,104,117
"SSA_RS03880",127,179,478,610,333,104,49,28,23
"SSA_RS03885",291,363,995,901,540,158,55,24,33
"SSA_RS03890",2329,3487,10166,6729,3565,2024,547,675,683
"SSA_RS03895",147,228,618,290,189,112,160,106,64
"SSA_RS03900",339,677,1529,706,622,660,279,288,199
"SSA_RS03905",1743,2109,3244,3815,3106,2644,893,886,694
"SSA_RS03910",3947,5987,10182,13220,10454,9890,3591,3150,2854
"SSA_RS03915",3284,2630,4468,8344,7736,7400,2838,2523,2191
"SSA_RS03920",1737,1097,1722,3778,4742,3423,1622,1316,1146
"SSA_RS03925",800,1524,2756,2295,2326,1819,721,496,442
"SSA_RS03930",814,1265,2829,2283,2041,2026,854,702,714
"SSA_RS03935",936,1439,1892,3061,2709,2947,1112,920,973
"SSA_RS03940",2015,2976,4965,6894,5420,5240,1958,1615,1523
"SSA_RS03945",1353,2200,3225,4006,3219,4096,1619,1532,1510
"SSA_RS03950",100,382,928,424,233,286,89,90,104
"SSA_RS03955",752,416,765,1253,1499,840,503,382,320
"SSA_RS03960",107,64,102,247,307,164,63,41,55
"SSA_RS03965",1180,838,885,2530,2599,1749,764,622,585
"SSA_RS03970",870,450,437,2349,2820,1990,856,430,449
"SSA_RS03975",592,1896,3062,1879,1134,1868,575,575,618
"SSA_RS03980",505,753,1406,1591,1252,1066,572,539,534
"SSA_RS03985",169,154,212,384,364,234,282,209,183
"SSA_RS03990",1108,1389,2221,2690,2204,1825,528,815,421
"SSA_RS03995",140,765,1234,486,260,505,242,217,183
"SSA_RS04000",504,330,366,1235,1212,1048,481,405,226
"SSA_RS04005",238,676,1321,666,514,503,145,139,139
"SSA_RS04010",195,383,739,515,455,388,172,121,116
"SSA_RS04015",398,464,657,1063,959,842,289,236,208
"SSA_RS04020",4328,3224,4684,10585,9703,6458,2427,2135,1942
"SSA_RS04025",54045,21348,28585,104972,153227,66472,38293,18258,19981
"SSA_RS04030",66,221,475,144,101,155,30,70,73
"SSA_RS04035",2239,3028,4043,6399,4740,4922,1823,1938,1508
"SSA_RS04040",99,131,214,242,199,180,65,49,48
"SSA_RS04045",95,210,338,325,346,228,140,76,59
"SSA_RS04050",209,162,274,380,436,253,161,79,78
"SSA_RS04055",582,617,1105,1445,1261,992,431,265,240
"SSA_RS04060",780,973,1717,1804,1505,1352,569,506,389
"SSA_RS04065",1076,819,958,2697,2560,1922,691,710,521
"SSA_RS04070",17640,35268,64582,29366,18238,32126,6836,15633,9390
"SSA_RS04075",970,807,741,2388,1540,1994,597,714,574
"SSA_RS04080",658,1145,1557,1981,1437,1328,416,367,295
"SSA_RS04085",279,91,85,417,482,272,127,72,82
"SSA_RS04090",172,349,640,416,339,395,100,86,119
"SSA_RS04095",16361,67831,169284,52671,29654,61086,32989,33609,30792
"SSA_RS04100",29338,12729,14809,56631,44385,38618,20569,14051,16011
"SSA_RS04105",762,1622,3044,2465,2020,1837,648,605,521
"SSA_RS04110",1889,2019,2182,5095,4416,3580,1654,1325,979
"SSA_RS04115",2869,5313,7457,7566,5183,6153,1541,1831,1607
"SSA_RS04120",363843,248066,165636,890328,518259,764678,156726,180343,135060
"SSA_RS04125",3875,2395,3671,9194,7562,6610,2245,2104,1648
"SSA_RS04130",16,26,118,35,22,37,26,37,26
"SSA_RS04135",4294,5668,12048,10821,9162,7378,2166,2051,1712
"SSA_RS04140",962,1260,2444,2850,2246,1952,715,563,452
"SSA_RS04145",384,692,1379,1064,710,578,187,272,197
"SSA_RS04150",391,959,2002,1242,864,775,277,255,220
"SSA_RS04155",290,363,687,711,610,404,202,129,126
"SSA_RS04160",253,613,1452,662,510,406,154,112,105
"SSA_RS04165",28,50,111,68,73,47,29,23,15
"SSA_RS04170",392,703,1499,893,824,596,243,182,197
"SSA_RS04175",571,752,1430,1187,1021,731,475,441,352
"SSA_RS04180",1374,2193,4073,3084,2338,1973,1459,1347,921
"SSA_RS04185",427,1115,1834,1185,736,778,421,360,262
"SSA_RS04190",136,339,854,463,230,348,105,89,92
"SSA_RS04195",52,58,154,100,78,133,109,97,58
"SSA_RS04200",70,75,106,151,98,164,137,153,106
"SSA_RS04205",489,1462,3145,1356,871,1386,403,425,361
"SSA_RS04210",186,221,482,508,467,469,154,105,75
"SSA_RS04215",426,917,1684,1195,828,760,307,221,213
"SSA_RS04220",1622,2580,4964,3303,3512,2566,1116,875,778
"SSA_RS04225",31857,8141,14997,61135,83458,49499,42026,27185,25554
"SSA_RS04230",12118,6046,5929,26755,15841,19675,7187,5738,6153
"SSA_RS04235",739,497,726,1521,1223,1059,365,232,261
"SSA_RS04240",269,184,212,846,683,634,233,146,162
"SSA_RS04245",567,630,886,1571,1319,1094,720,567,470
"SSA_RS04250",1323,2486,2917,4345,2819,3197,1036,1084,935
"SSA_RS04255",100,326,739,294,189,229,94,77,68
"SSA_RS04260",544,816,1264,1546,1208,1064,346,290,300
"SSA_RS04265",4125,7010,12883,13181,8623,10899,3099,2658,2166
"SSA_RS04270",23175,24480,33618,64360,43395,44796,12733,16223,10809
"SSA_RS04275",66899,22283,23874,204376,149130,130254,41063,30560,26286
"SSA_RS04280",9639,7936,11214,27124,24173,18253,6153,4639,3629
"SSA_RS04285",110,230,460,289,239,240,173,155,139
"SSA_RS04290",130,153,298,392,312,300,134,114,100
"SSA_RS04295",124,187,296,464,337,284,152,94,87
"SSA_RS04300",583,1304,1923,1646,1187,1193,400,338,328
"SSA_RS04305",658,223,477,1163,1066,795,389,250,236
"SSA_RS04310",3776,4929,10760,9767,9452,7232,2750,2348,2019
"SSA_RS04315",1159,1990,3211,3486,2963,2181,708,491,437
"SSA_RS04320",105,159,358,285,252,267,85,83,67
"SSA_RS04325",11736,8929,9717,24136,17620,17795,6479,7619,5439
"SSA_RS04330",1532,655,1071,2661,3172,1994,596,648,436
"SSA_RS04335",19200,16310,23584,49753,33824,38879,10741,12831,9699
"SSA_RS04340",4750,4470,6893,10628,8341,8377,2605,2623,2020
"SSA_RS04345",1889,2759,4128,5171,3872,3950,1150,1047,1021
"SSA_RS04350",663,1271,2616,2272,1777,1493,504,457,364
"SSA_RS04355",674,1374,3405,1806,1278,1357,404,454,350
"SSA_RS04360",1015,2880,6814,3384,2060,2512,646,889,742
"SSA_RS04365",149,170,242,355,428,245,119,70,66
"SSA_RS04370",3647,3080,4363,10979,9124,7697,2327,2111,1763
"SSA_RS04375",30893,20131,32898,88357,76716,61474,18633,15586,13347
"SSA_RS04380",761,786,901,2229,1962,1258,589,368,372
"SSA_RS04385",540,810,1144,1397,1414,956,353,271,208
"SSA_RS04390",53,27,66,115,130,80,57,35,43
"SSA_RS04395",237,507,926,721,560,452,184,205,181
"SSA_RS04400",93,137,132,313,233,298,68,63,79
"SSA_RS04405",198,199,338,569,539,404,152,130,81
"SSA_RS04410",31508,35035,67463,82757,79049,70809,55860,43076,33375
"SSA_RS04415",3940,5843,7566,11900,9611,9511,2193,2600,1979
"SSA_RS04420",487,1989,5467,1990,1348,1090,493,211,318
"SSA_RS04425",535,975,1801,1426,1028,715,321,232,212
"SSA_RS04435",72,30,32,243,251,184,41,30,28
"SSA_RS04440",63,30,47,171,177,109,26,15,24
"SSA_RS04445",3,8,8,23,23,11,7,4,3
"SSA_RS04450",32,58,76,105,105,88,18,18,15
"SSA_RS04455",317,257,406,865,652,493,172,145,123
"SSA_RS04460",1115,461,520,2561,2643,1683,674,402,389
"SSA_RS04465",4884,5293,8892,14411,12299,10397,3559,3310,2673
"SSA_RS04470",976,1467,2519,2638,2259,1744,533,482,402
"SSA_RS04475",1816,2674,3475,4503,3895,3910,1377,1365,991
"SSA_RS04480",4540,11546,20280,15634,10058,10715,2874,3278,2662
"SSA_RS04485",489,434,590,1092,977,788,314,335,177
"SSA_RS04490",2326,1608,2723,5600,4884,3730,1295,1106,873
"SSA_RS04495",3103,3414,6469,7988,6820,5513,2177,1433,1292
"SSA_RS04500",663,807,1352,1899,1565,1509,625,504,384
"SSA_RS04505",3918,4374,8854,11077,10106,7015,2109,1761,1560
"SSA_RS04510",2776,2454,2670,7138,5680,5135,2025,1243,1016
"SSA_RS04515",2109,1289,1349,4734,5356,2819,1454,692,829
"SSA_RS04520",2083,4557,7448,6283,4587,4469,1408,1324,1181
"SSA_RS04525",257,206,390,869,710,477,381,295,295
"SSA_RS04530",59,73,117,156,214,106,86,79,61
"SSA_RS04535",4470,5551,8996,12784,9075,8215,2801,3217,2488
"SSA_RS04540",24,20,16,82,109,69,47,32,32
"SSA_RS04545",190,264,457,614,504,461,160,118,96
"SSA_RS04550",12,20,22,43,26,25,11,9,3
"SSA_RS04555",10135,5160,5860,28610,21337,20602,7649,5711,4742
"SSA_RS04560",1106,2135,2951,2910,1896,2311,696,808,641
"SSA_RS04565",23,25,19,19,28,36,8,12,12
"SSA_RS04570",34,60,138,92,83,70,151,112,72
"SSA_RS04575",144,180,309,484,392,379,202,174,157
"SSA_RS04580",109,84,134,222,209,152,95,43,43
"SSA_RS04585",49,137,238,142,91,131,21,62,26
"SSA_RS04590",5,13,28,25,17,7,15,8,2
"SSA_RS04595",25,34,69,51,51,38,17,22,10
"SSA_RS04600",24,23,54,42,49,26,41,30,14
"SSA_RS04605",1633,1125,1857,4013,2814,2968,1403,884,1180
"SSA_RS04610",365,330,443,1049,1066,731,260,227,239
"SSA_RS04615",94,84,121,222,221,157,56,39,37
"SSA_RS04620",104,86,146,234,174,134,55,54,62
"SSA_RS04625",682,842,1501,1619,1151,1246,481,506,486
"SSA_RS04630",740,841,1303,1561,1479,1212,355,352,255
"SSA_RS04635",1100,1223,2515,3021,2841,1878,2231,1408,1313
"SSA_RS04640",74,180,345,286,229,154,39,56,47
"SSA_RS04645",449,957,2119,1541,1037,980,340,332,303
"SSA_RS04650",861,957,1667,2231,1791,1455,426,446,401
"SSA_RS04655",1910,1466,2387,5960,5130,3426,1142,937,788
"SSA_RS04660",239,455,1166,805,552,631,152,164,127
"SSA_RS04665",362,765,1744,1011,816,753,232,256,188
"SSA_RS04670",258,490,755,791,604,513,195,119,127
"SSA_RS04675",348,460,788,1028,944,714,305,211,210
"SSA_RS04680",3131,3194,4986,9615,5837,6435,1831,2096,1816
"SSA_RS04685",516,690,1151,1410,1164,1253,466,335,334
"SSA_RS04690",371,261,291,748,816,637,305,147,186
"SSA_RS04695",267,255,356,658,774,461,251,98,132
"SSA_RS04700",405,300,490,997,1407,632,767,286,280
"SSA_RS04705",149,128,213,438,300,305,786,542,499
"SSA_RS04710",513,698,961,1671,1409,1032,818,423,471
"SSA_RS04715",2913,2930,5064,8121,6135,5859,1844,1596,1476
"SSA_RS04720",2864,2345,3622,4968,4856,3827,1175,1249,814
"SSA_RS04725",1467,1884,1869,4583,2671,3294,990,970,955
"SSA_RS04730",36,21,23,83,58,59,13,16,16
"SSA_RS04735",35,17,26,84,76,59,20,6,14
