"gene_id","T4delta_ccpA_CDMB_Exp_1","T4delta_ccpA_CDMB_Exp_2","T4delta_ccpA_CDMB_Exp_3","T4delta_ccpA_CDMN_Exp_1","T4delta_ccpA_CDMN_Exp_2","T4delta_ccpA_CDMN_Exp_3","T4WT_CDMN_Exp_4","T4WT_CDMN_Exp_5","T4WT_CDMB_Exp_4","T4WT_CDMB_Exp_5"
"SP_0001",10236,6603,7362,6865,6220,5904,9881,10125,7275,8012
"SP_0002",5920,4171,3723,3827,3377,2370,3902,3972,4443,4357
"SP_0003",67,91,46,42,46,30,45,63,65,51
"SP_0004",7158,7267,5862,5538,5097,4510,3300,2947,3826,4915
"SP_0005",851,778,600,434,322,302,267,207,577,587
"SP_0006",10505,9422,8336,5596,5484,5388,4038,3220,6930,7845
"SP_0007",239,209,181,124,102,82,70,78,244,167
"SP_0008",325,360,216,169,131,84,96,59,349,204
"SP_0009",0,0,0,0,0,0,0,0,0,0
"SP_0010",4585,4148,3300,2422,2054,1682,1328,1186,3386,3154
"SP_0011",3742,3448,2751,1892,1707,1573,1194,952,2443,2501
"SP_0012",4611,3828,3424,2785,2524,1711,2228,2020,2816,2645
"SP_0013",38014,34698,29701,27540,26119,24518,21790,18799,20975,26461
"SP_0014",0,0,0,0,0,0,0,0,0,0
"SP_0015",1230,1081,988,475,445,471,431,356,959,1130
"SP_0016",713,596,535,220,187,169,208,204,370,579
"SP_0018",363,298,241,100,75,133,78,85,328,259
"SP_0019",11517,12134,9787,9811,9287,10265,7311,6457,7637,10786
"SP_0020",108,127,72,75,47,49,31,20,68,65
"SP_0021",586,491,528,308,300,275,240,221,545,716
"SP_0022",1125,1006,831,514,427,501,451,347,938,1175
"SP_0024",2360,2348,1846,1372,1438,1321,1518,1237,2060,2975
"SP_0025",12,13,8,1,7,3,3,8,16,12
"SP_0026",2347,2399,1984,1551,1499,1311,1251,1055,1896,2389
"SP_0027",3327,3546,2735,2530,2336,2355,1401,1065,1965,2762
"SP_0029",30,14,18,28,23,14,14,18,46,32
"SP_0030",42,47,36,55,38,33,32,24,64,82
"SP_0031",230,144,137,151,120,99,106,124,335,291
"SP_0032",9057,9203,7640,8923,8783,9812,9090,8118,7540,10003
"SP_0033",430,467,346,585,419,451,524,526,485,526
"SP_0034",6168,6225,4433,4272,4259,3909,4963,4075,6775,10184
"SP_0035",5951,5955,4957,4917,4974,5200,3378,3201,4106,5892
"SP_0036",3664,3654,3113,2989,2762,3124,1649,1354,2241,3246
"SP_0037",5838,5942,4839,4708,4886,4517,3054,2704,3857,5803
"SP_0038",3131,2933,2791,2676,2925,3766,1712,1817,2149,2964
"SP_0040",1,0,0,1,2,1,1,2,0,2
"SP_0041",1199,1162,828,697,579,1162,434,367,945,969
"SP_0042",972,891,765,567,560,661,784,755,1327,1896
"SP_0043",565,556,518,393,371,379,382,390,890,1172
"SP_0044",65,66,50,83,74,67,56,42,53,73
"SP_0045",718,810,558,990,1094,884,861,814,742,1106
"SP_0046",504,465,373,633,705,579,632,499,481,788
"SP_0047",381,422,320,555,565,545,484,420,498,682
"SP_0048",123,122,107,159,178,134,151,140,148,217
"SP_0049",112,99,87,94,117,103,56,79,134,133
"SP_0050",823,948,735,1216,1137,1004,879,864,929,1206
"SP_0051",408,500,382,839,873,772,459,426,369,540
"SP_0052",73,89,44,92,116,62,38,36,24,34
"SP_0053",124,159,125,298,270,171,156,133,135,195
"SP_0054",786,818,670,1365,1350,1098,805,705,672,954
"SP_0055",100,133,83,122,78,30,61,50,225,147
"SP_0056",5877,6264,4946,6103,5961,5762,4722,4435,5989,8369
"SP_0057",979,977,725,498,515,498,338,255,634,970
"SP_0058",4551,4576,3359,3628,3147,2270,1832,1320,2461,2864
"SP_0059",8,5,6,2,1,6,4,5,13,12
"SP_0060",3345,2350,1993,8000,7945,6509,10581,11626,5796,7388
"SP_0061",487,254,323,1454,1447,963,1308,1775,1017,1152
"SP_0062",603,321,391,2448,2642,2354,1686,2366,1084,1392
"SP_0063",424,253,272,1943,1979,1708,1177,1448,796,769
"SP_0064",207,117,154,1250,1350,1417,780,966,356,330
"SP_0065",543,438,350,4340,4626,5007,2679,2811,726,797
"SP_0066",232,211,164,1600,1635,1649,1120,1038,236,282
"SP_0067",42,45,23,311,278,258,257,229,47,47
"SP_0068",5,2,2,51,48,27,43,51,6,4
"SP_0069",108,104,104,997,1045,1085,688,771,96,131
"SP_0070",0,0,0,0,1,2,0,2,0,1
"SP_0071",30879,33658,22865,28255,23207,23534,18563,14284,20943,22586
"SP_0072",5,5,0,1,1,2,3,1,4,5
"SP_0073",139,183,110,225,173,288,99,61,49,75
"SP_0074",501,520,397,461,400,451,378,291,343,455
"SP_0075",2038,2397,1857,2105,2157,2706,1944,1748,1546,2361
"SP_0076",1,1,0,1,1,1,0,0,2,1
"SP_0077",271,265,186,203,182,183,195,141,218,279
"SP_0078",9034,8739,7367,7168,6872,7212,6741,6112,7474,10195
"SP_0079",6362,6274,5100,5081,4791,5315,4652,3954,4969,6610
"SP_0080",119,116,87,35,54,18,56,54,110,131
"SP_0082",1467,1366,1097,824,796,663,1001,963,1312,1609
"SP_0083",770,745,605,692,703,672,886,719,779,939
"SP_0084",1832,1745,1653,1606,1545,1694,2176,1752,1887,2373
"SP_0085",34947,34703,26180,24246,21712,17679,17175,12522,23209,27229
"SP_0087",7,6,6,14,9,9,19,12,9,8
"SP_0088",2028,1720,1337,1597,1306,1258,1302,1162,1354,1431
"SP_0089",53,43,39,41,45,11,53,43,74,46
"SP_0090",361,271,234,255,288,128,341,357,312,391
"SP_0091",292,194,215,347,305,180,351,345,312,353
"SP_0092",426,283,317,552,497,334,438,523,467,566
"SP_0093",0,0,1,0,0,0,0,1,0,2
"SP_0094",0,0,0,0,0,1,0,1,0,0
"SP_0095",18855,21325,15695,15717,14208,13271,9215,7059,7025,7962
"SP_0096",740,630,523,399,359,279,437,386,621,731
"SP_0097",2885,2454,2131,1677,1366,1352,990,973,2066,2729
"SP_0098",2131,1749,1575,1034,985,704,692,678,1564,2140
"SP_0099",632,566,541,294,280,242,253,257,510,729
"SP_0100",309,282,183,119,87,51,108,88,341,307
"SP_0101",1558,1662,1270,967,856,801,496,383,784,1136
"SP_0102",3362,2721,2793,2292,1996,2140,2598,3419,3253,3709
"SP_0103",11404,10709,9527,8040,8244,9032,6965,7882,8157,12120
"SP_0104",1724,1681,1400,1485,1438,1286,1307,1060,1200,1423
"SP_0105",1192,1355,1142,1302,1288,1251,913,762,679,906
"SP_0106",544,645,452,577,472,431,331,223,307,351
"SP_0107",39169,45992,33910,42980,36077,33548,14848,12166,8712,11918
"SP_0108",20,7,7,8,3,3,13,4,12,13
"SP_0109",737,649,424,1122,878,712,477,402,655,656
"SP_0110",2853,2480,2283,4735,4597,4346,1970,1863,2420,2681
"SP_0111",1095,1099,896,2244,2174,2082,812,828,870,963
"SP_0112",195,149,107,149,128,107,111,104,193,168
"SP_0114",8,14,18,9,7,8,7,5,16,13
"SP_0115",250,347,203,324,202,317,305,299,465,398
"SP_0116",36,36,34,18,33,17,61,26,49,31
"SP_0117",19109,19780,16101,37536,34509,32137,30220,28593,17660,18444
"SP_0118",5678,6623,4694,3946,3569,3963,3473,2938,4409,5483
"SP_0119",1070,1192,754,532,472,524,769,482,1130,1286
"SP_0120",8081,7952,6701,5725,6023,6544,6309,5514,7358,9802
"SP_0121",23296,25087,18868,21416,19938,19704,13860,11828,15747,22170
"SP_0122",427,545,311,339,282,301,369,278,604,587
"SP_0123",0,1,0,0,1,0,0,0,0,2
"SP_0124",22,15,22,11,21,30,16,14,50,52
"SP_0125",14,8,10,8,11,4,6,3,16,17
"SP_0126",2,3,0,0,0,0,0,0,0,1
"SP_0127",1037,1037,877,958,962,966,720,622,693,972
"SP_0128",647,695,459,612,553,452,452,317,389,480
"SP_0129",3472,3691,2898,3498,3720,4015,2830,2747,2650,3986
"SP_0133",82,66,57,46,26,49,34,29,69,51
"SP_0134",1,0,0,0,0,0,1,4,2,1
"SP_0135",27,22,21,16,22,9,15,14,25,29
"SP_0136",107,90,65,49,38,52,39,44,83,65
"SP_0137",189,146,110,114,65,77,90,85,150,164
"SP_0138",6,3,3,2,2,0,2,7,5,5
"SP_0139",11,6,10,4,3,7,3,7,13,16
"SP_0141",1709,1432,1515,1022,1062,1323,1212,1153,1776,1839
"SP_0142",330,271,176,128,92,62,116,99,341,251
"SP_0143",671,458,469,270,313,205,338,407,696,716
"SP_0144",447,407,343,224,197,196,268,259,562,607
"SP_0145",1651,1270,1200,914,856,850,1004,1005,1919,2230
"SP_0146",494,445,463,362,406,484,466,426,329,448
"SP_0147",191,204,191,190,166,137,165,169,132,170
"SP_0148",6073,6447,4754,4093,3495,3303,3654,3130,5365,6307
"SP_0149",5330,5101,4023,3255,2951,2653,2749,2317,4126,4935
"SP_0150",3019,2784,2367,1657,1698,1760,1635,1544,2355,2967
"SP_0151",3746,3606,2949,2713,2799,2471,2346,2218,2653,3773
"SP_0152",2745,2747,2400,2524,2557,2839,1584,1499,1882,2636
"SP_0153",391,404,346,175,223,192,162,139,314,334
"SP_0154",2020,1349,1548,1333,1516,1616,1069,1274,1775,2550
"SP_0155",3983,2819,2921,2592,2412,2394,1933,1927,4354,5382
"SP_0156",2488,1965,1869,1860,1537,1943,1213,1219,2787,3143
"SP_0157",8442,7542,6340,7336,7028,6207,4777,4815,7543,9031
"SP_0158",1369,1873,1086,969,856,1235,996,986,1258,1461
"SP_0159",4034,3591,2883,1117,1241,1134,1063,904,5011,5201
"SP_0160",89,69,54,40,37,34,45,53,51,63
"SP_0161",60,60,63,25,23,23,25,29,45,43
"SP_0162",29,25,19,15,8,15,28,16,33,39
"SP_0163",4332,4156,3070,785,682,770,1457,1214,2665,2528
"SP_0164",203,261,170,5,2,3,140,143,298,227
"SP_0165",7668,6114,4990,111,64,27,4682,4012,11464,8436
"SP_0166",10699,8612,7498,98,89,52,6132,5322,11135,9584
"SP_0167",9116,6500,5519,62,64,60,4478,4069,10091,7236
"SP_0168",14928,11283,9680,163,146,110,7175,6912,16282,13149
"SP_0170",4314,3802,3561,59,79,56,3574,2980,4537,4901
"SP_0171",2529,2330,1859,33,28,17,1801,1477,3001,2909
"SP_0172",1781,1379,1308,33,21,11,1266,1386,2312,1850
"SP_0173",53538,49734,41868,6260,6014,6607,39484,36560,51523,66923
"SP_0174",330,244,274,254,159,86,146,108,350,257
"SP_0175",1274,1637,960,1044,736,801,620,473,1118,982
"SP_0176",5726,5319,4521,3875,3050,2730,2403,2036,4165,4015
"SP_0177",2272,2153,1855,1598,1231,931,1017,858,1646,1616
"SP_0178",4674,4481,3706,3278,3083,2793,2350,1886,3142,3381
"SP_0179",1084,1178,906,1235,1167,1087,834,712,820,1018
"SP_0180",1056,1109,871,1213,1267,1141,865,756,753,997
"SP_0181",1129,1185,896,1067,1005,890,756,662,886,1027
"SP_0182",1660,1701,1342,1629,1482,1226,1100,941,1234,1443
"SP_0183",21,17,15,16,14,8,14,9,20,10
"SP_0184",2784,2670,2403,2307,2634,1772,1391,1270,1905,2366
"SP_0185",3988,4156,3246,2820,2818,2588,1556,1425,2623,3259
"SP_0186",6831,7159,6197,8225,8285,8735,6867,6362,5467,7734
"SP_0187",3355,3330,2732,3280,3494,3113,3021,2620,2483,3365
"SP_0188",0,0,0,0,0,0,0,0,0,0
"SP_0189",5998,5554,4230,5439,4572,3402,6361,6337,6045,5830
"SP_0190",0,0,0,0,0,0,0,0,0,0
"SP_0191",3067,2918,2285,3111,1969,2154,2584,2496,2627,2384
"SP_0192",13399,12028,8935,10373,8631,7597,7670,7543,9256,9830
"SP_0194",4186,6464,2733,5819,3376,6239,2364,2220,3683,3673
"SP_0195",0,0,0,0,0,0,0,0,0,0
"SP_0196",8,10,12,12,14,10,10,8,18,10
"SP_0197",8962,7511,7265,6545,6652,6623,6877,7062,6997,9750
"SP_0198",3679,3739,2765,2030,1459,1337,2039,1429,3277,3261
"SP_0199",2791,2476,1990,2096,1900,2037,1736,1543,1728,1987
"SP_0200",3645,3645,3070,3053,2964,3207,2500,2062,2422,3242
"SP_0201",122,96,99,102,96,56,61,52,78,61
"SP_0202",5205,4889,3623,3522,3378,3494,5437,4618,5930,8885
"SP_0203",0,1,0,0,0,0,1,1,0,0
"SP_0204",841,683,512,348,302,310,795,653,952,1429
"SP_0205",1060,818,705,438,479,443,1181,975,1277,2177
"SP_0206",112,146,65,82,61,30,142,109,246,255
"SP_0207",483,454,347,202,209,199,537,504,667,964
"SP_0208",23747,22715,17473,19506,15891,13130,15211,13197,22860,28570
"SP_0209",38762,32871,27756,27668,27912,20964,25909,23183,36011,41514
"SP_0210",26649,23278,21348,21186,20814,18933,20121,16139,24547,29552
"SP_0211",6739,5264,5426,5251,5013,3429,4626,4067,7976,6808
"SP_0212",71529,62733,55340,54979,59096,48703,53383,52374,59596,81322
"SP_0213",10202,9355,6790,7560,6019,2996,6528,5216,13078,9828
"SP_0214",8873,8101,6511,6886,4972,3867,6142,4211,9613,9059
"SP_0215",39431,37918,29373,31329,29891,26567,28393,24612,37903,44046
"SP_0216",23514,21875,19354,20913,21453,16858,18742,18015,21506,26602
"SP_0217",3425,2665,1968,2056,1579,850,2196,1787,5321,3152
"SP_0218",6628,5953,4692,5092,4075,1906,4309,4147,8721,6804
"SP_0219",24018,22108,18220,18350,18094,13922,16756,15331,24559,26926
"SP_0220",14442,11502,11204,10345,11166,5557,10863,10710,14531,15764
"SP_0221",41559,35380,32592,31372,34782,30779,29359,29539,36624,47412
"SP_0222",15381,12645,13478,13178,12869,14633,11571,11755,13691,18124
"SP_0223",2,2,1,3,1,8,2,2,3,0
"SP_0224",43165,38755,30258,29519,26285,20796,25708,21400,42897,44769
"SP_0225",53262,44482,36859,33579,30689,21682,30788,26725,47293,53395
"SP_0226",25926,21549,20973,19253,20914,11874,16445,15930,23823,27481
"SP_0227",23929,20484,17975,17280,18272,13679,15829,16088,21265,24759
"SP_0228",4390,4355,3148,3387,2387,2532,2913,2222,5084,4563
"SP_0229",26957,21809,19045,18014,18270,10790,20323,19370,27084,29189
"SP_0230",66824,54174,48547,45229,48804,38950,44160,46087,63187,73582
"SP_0231",6889,5822,4998,4723,4404,3614,5134,4467,9838,9683
"SP_0232",7870,7674,5819,5189,3322,2381,3726,2922,9239,8098
"SP_0233",3,4,2,3,0,2,1,1,6,3
"SP_0234",8997,9455,6140,5853,4519,3596,4449,3388,9846,9420
"SP_0235",11486,10080,8534,7534,6599,4370,5896,4456,11874,11820
"SP_0236",76573,65545,54793,44821,44496,38710,38291,33399,67571,78649
"SP_0237",46662,42413,36297,30884,30878,23605,24242,19544,37922,49741
"SP_0238",461,365,255,249,212,62,199,172,370,279
"SP_0239",8558,8619,7371,9121,9744,9606,7163,6820,6535,9015
"SP_0240",5395,5470,3903,6041,5368,4991,5802,5803,3648,4403
"SP_0242",28,14,12,13,12,16,9,6,24,20
"SP_0243",9,10,7,3,2,3,2,5,2,0
"SP_0244",2,4,1,1,0,0,2,0,2,1
"SP_0245",84,97,62,83,38,59,34,22,63,56
"SP_0246",213,277,162,188,124,132,109,88,174,150
"SP_0247",414,423,327,312,303,238,197,193,282,301
"SP_0248",5,5,2,9,4,2,0,2,4,2
"SP_0249",3,2,8,8,13,4,10,5,6,5
"SP_0250",336,265,296,457,473,511,288,301,158,250
"SP_0251",864,895,840,1282,1329,1159,799,778,509,586
"SP_0252",195,208,168,323,306,236,158,118,91,120
"SP_0253",522,554,426,658,639,709,361,369,262,328
"SP_0254",14356,14762,12008,13689,13918,13139,9051,8058,10596,13934
"SP_0255",302,375,225,312,243,303,216,142,217,253
"SP_0256",414,432,334,350,337,416,258,238,282,282
"SP_0258",7,0,1,2,3,1,1,1,3,3
"SP_0259",1601,1749,1385,1241,1427,1403,1077,1001,1013,1474
"SP_0260",826,714,634,569,566,504,417,476,506,640
"SP_0261",6025,5671,4749,4613,4316,4230,3981,3444,4847,5698
"SP_0262",5597,4665,4859,4241,4415,4072,3621,3564,3987,5582
"SP_0263",13510,12216,11197,10244,10391,11530,8541,7929,9838,13232
"SP_0264",29592,28276,23479,22331,21377,22124,17048,14995,20939,26915
"SP_0265",1737,1628,1411,1157,1037,1094,747,646,968,1207
"SP_0266",28407,29063,23348,29130,24692,25858,14650,11930,28682,38673
"SP_0267",5197,5711,5105,2804,3172,3771,2843,2443,2430,3540
"SP_0268",3664,3290,2804,1929,1798,1687,1547,1379,4426,5218
"SP_0269",0,0,1,0,2,2,0,4,1,3
"SP_0270",0,0,0,0,0,0,0,0,0,0
"SP_0271",13143,11325,9260,7066,7142,3433,6704,5610,12350,14372
"SP_0272",31630,32081,25417,21317,22872,21509,18019,15689,26082,35931
"SP_0273",118264,121760,95785,89600,92273,85919,62793,53408,81599,108648
"SP_0274",12036,11738,9952,9289,9647,10047,7097,6760,8085,10747
"SP_0275",331,325,225,289,234,236,178,178,291,251
"SP_0276",210,188,151,161,94,50,81,68,181,166
"SP_0277",8,7,6,6,7,5,4,7,6,8
"SP_0278",8262,8928,6851,7983,7879,8152,5324,4458,5720,7853
"SP_0279",1946,1956,1549,1730,1570,1873,1252,1004,1362,1657
"SP_0280",955,959,769,913,879,948,603,567,593,739
"SP_0281",7137,7137,5424,4221,4260,3453,4955,4287,5949,7826
"SP_0282",33496,34238,27693,66289,64617,55855,31056,27061,24833,30363
"SP_0283",14590,15308,12482,28409,31426,25752,13472,13366,10594,15115
"SP_0284",15909,18301,13277,27554,27776,23689,8212,6537,11289,14090
"SP_0285",7476,6540,5793,6020,6138,5299,5099,6254,15217,18678
"SP_0286",3414,3329,2438,2305,1842,1720,1815,1411,2587,3199
"SP_0287",9716,10946,7992,9907,11322,9837,4533,3622,4314,6157
"SP_0288",1832,1783,1449,1541,1485,1085,823,820,1099,1431
"SP_0289",3719,3934,3098,3276,3714,3449,2926,2550,2649,3469
"SP_0290",5541,6248,4797,5322,5118,5838,3679,3060,3602,5029
"SP_0291",2367,2352,2009,2085,1892,1893,1514,1231,1736,2182
"SP_0292",3539,3520,3120,3207,3357,3218,2526,2390,2557,3352
"SP_0293",823,793,610,814,592,593,852,595,816,885
"SP_0294",21625,22214,15809,14032,12785,10405,8630,7813,17244,19512
"SP_0295",23226,26008,18818,18098,15421,12987,9094,6461,15287,18914
"SP_0296",4,1,1,1,1,0,0,0,1,0
"SP_0297",2,0,0,2,4,2,0,0,0,2
"SP_0298",495,517,430,444,364,272,272,194,255,257
"SP_0299",290,285,200,270,186,185,163,139,199,184
"SP_0300",62,32,37,39,48,24,33,24,21,32
"SP_0302",30,30,26,23,16,13,13,9,13,13
"SP_0303",149,117,123,122,94,88,125,76,89,80
"SP_0304",5,3,4,3,1,0,3,1,6,1
"SP_0305",17,16,21,9,11,15,17,6,11,7
"SP_0306",61,79,90,80,69,54,44,33,37,54
"SP_0307",22,10,19,12,18,11,10,7,15,13
"SP_0308",5,5,4,3,1,2,1,5,1,3
"SP_0309",19,20,19,18,10,6,15,10,14,13
"SP_0310",156,131,132,172,163,185,100,108,84,88
"SP_0311",63,103,22,55,15,79,29,28,40,46
"SP_0312",4445,4054,3459,3403,2980,3046,2999,2773,3748,4171
"SP_0313",236,287,192,294,250,231,161,113,169,174
"SP_0314",1129,890,888,796,691,911,618,714,1027,1119
"SP_0316",3,0,1,0,2,3,0,0,0,0
"SP_0317",92,157,130,249,188,343,56,48,36,34
"SP_0318",230,278,257,524,454,785,126,119,105,123
"SP_0319",97,145,142,290,294,532,50,46,38,70
"SP_0320",114,153,139,273,252,400,96,34,50,60
"SP_0321",78,88,88,123,68,136,34,27,36,34
"SP_0322",258,249,247,449,378,697,107,111,96,130
"SP_0323",69,69,65,124,71,142,25,47,34,45
"SP_0324",111,138,159,280,254,433,69,59,57,65
"SP_0325",192,213,227,376,295,513,92,100,73,93
"SP_0326",20,20,17,42,25,17,9,5,18,14
"SP_0327",67,86,75,83,74,127,22,19,51,63
"SP_0328",0,0,0,0,0,0,0,0,0,0
"SP_0329",13,11,6,8,6,8,12,15,8,10
"SP_0330",2579,2655,2047,3006,2561,2221,2403,1893,1894,2021
"SP_0332",1023,990,859,1162,1074,1065,528,445,724,732
"SP_0333",46,36,33,43,31,15,40,13,52,28
"SP_0334",2717,2817,2237,1976,1842,2049,1506,1100,1494,1981
"SP_0335",193,242,194,173,151,155,107,67,127,124
"SP_0336",16427,16091,13518,12814,12727,13209,9818,8435,10362,13638
"SP_0337",7346,6596,6444,5996,6409,6867,4185,4677,4615,7034
"SP_0338",5618,7442,7077,12191,10699,20194,2463,2511,1878,2576
"SP_0340",2671,2777,2018,2518,2093,2030,1795,1434,2211,2953
"SP_0341",4549,5037,3606,4536,4050,3474,3116,2532,3447,4584
"SP_0342",5490,4966,5014,2758,2771,2921,1919,1870,3456,4248
"SP_0343",79,77,68,83,83,68,89,84,71,91
"SP_0344",170,160,104,122,96,74,94,90,176,108
"SP_0345",885,948,686,910,637,511,504,442,607,661
"SP_0346",33684,28852,25160,22886,22898,21853,18387,17591,33281,37393
"SP_0347",15589,14812,12165,11801,11330,13220,9730,8696,13869,16627
"SP_0348",10247,9415,7560,7304,5624,5182,5351,3881,10272,10066
"SP_0349",20346,16449,15271,13726,13411,11983,8984,8472,18688,18115
"SP_0350",12551,10809,7574,7030,5327,6205,3800,3202,11015,8773
"SP_0351",21241,19401,13879,14050,11070,12165,8036,6840,18926,15972
"SP_0352",14466,10942,9903,8171,7125,6324,4998,4531,13393,10741
"SP_0353",18980,16370,13344,12702,10233,13397,6614,6147,17318,14893
"SP_0354",19187,15847,14128,12221,11072,11026,6574,6802,16175,15375
"SP_0355",17245,13638,11099,9504,7053,5778,4982,4469,14611,12150
"SP_0356",20803,16251,16455,13209,14365,16236,7554,8352,17868,16588
"SP_0357",31956,28577,24936,23088,21202,20350,12425,12118,26289,26376
"SP_0358",35946,30049,26437,22449,22703,21972,13943,13905,26996,29378
"SP_0359",32371,28742,22996,20249,18375,17289,11313,9867,25133,25231
"SP_0360",50607,40494,37903,30791,31400,30991,17827,18252,35928,39151
"SP_0366",14192,13377,10992,7027,7002,6498,4375,3062,15042,16344
"SP_0367",5,1,1,0,1,0,0,1,2,2
"SP_0368",2418,2240,2109,5194,5166,5214,4038,3817,1999,2346
"SP_0369",27992,28016,22645,25697,22923,24706,18546,17004,23861,28877
"SP_0370",5781,5266,3813,3942,3197,2545,3514,2955,5734,5994
"SP_0371",263,247,245,233,246,276,205,183,145,255
"SP_0372",4829,5452,4069,4549,3724,5075,2553,2004,2716,3199
"SP_0373",6484,6844,5535,5896,5925,6392,5174,4536,4418,5740
"SP_0374",10124,9880,8247,7827,7673,7387,6736,5574,6901,8451
"SP_0375",33327,34189,25606,26732,26110,21401,22775,18535,22432,28986
"SP_0376",16002,16628,12771,13880,12756,13063,11258,8726,11387,14402
"SP_0377",1460,1458,1048,1061,898,1054,796,690,1228,1255
"SP_0378",2098,2387,1539,2079,1549,2602,1369,1216,1699,2002
"SP_0379",187,211,116,266,195,226,123,78,85,100
"SP_0380",49,51,33,52,17,26,26,25,18,21
"SP_0381",625,697,576,590,591,623,367,316,524,652
"SP_0382",1598,1433,1220,1175,1258,1086,869,701,971,1303
"SP_0383",2096,1932,1875,1704,1854,1861,1482,1365,1602,2226
"SP_0384",2823,2681,2435,2353,2415,2456,1961,1888,2220,3089
"SP_0385",656,541,484,634,460,345,1140,1012,872,1013
"SP_0386",1109,1047,884,1100,969,1263,2021,1910,1343,1824
"SP_0387",935,958,830,1106,1139,1284,1685,1802,1039,1536
"SP_0389",263,259,198,275,246,270,381,366,364,384
"SP_0390",970,859,807,927,789,988,1198,1186,1190,1185
"SP_0391",2259,2428,1901,2411,2163,2469,2815,2899,2313,2876
"SP_0394",27,21,12,18,23,16,13,12,14,19
"SP_0395",9,7,14,3,8,5,8,13,7,10
"SP_0396",1,2,8,0,3,3,0,3,1,1
"SP_0397",6,5,6,6,2,7,2,12,7,6
"SP_0398",0,3,0,1,1,1,1,1,0,0
"SP_0400",30976,31361,24465,26124,23114,20563,14673,12824,21859,23828
"SP_0401",6282,6280,4854,4386,4481,4014,4438,3882,5786,7327
"SP_0402",2771,2815,2336,2296,2138,1910,1721,1536,2229,2725
"SP_0403",3315,3513,2902,2548,2412,2577,2398,1974,2685,3463
"SP_0404",463,492,318,305,198,115,224,143,337,285
"SP_0405",2595,2718,2448,2389,2421,2507,1528,1276,1566,1982
"SP_0406",9563,9226,7627,6335,6561,6247,5243,4661,5932,7560
"SP_0407",2,1,6,6,5,0,8,5,13,7
"SP_0408",2551,2572,2463,1850,1882,1891,1048,1021,1410,1977
"SP_0409",819,829,654,985,965,807,742,574,1736,1706
"SP_0410",1758,1662,1453,1815,1762,1436,1816,1664,2025,2443
"SP_0411",10528,10900,8339,10093,8947,9360,8135,7391,7679,10747
"SP_0412",2231,2378,1955,2533,2265,2168,1138,861,1266,1392
"SP_0413",5833,6821,5258,6654,6932,6596,3681,2995,3584,4792
"SP_0414",1,0,0,0,0,1,0,0,0,0
"SP_0415",2771,3909,2552,3081,2546,2594,2262,1753,4029,4370
"SP_0416",9796,9863,7924,7417,5916,4987,6327,5154,10455,12134
"SP_0417",18798,20245,16677,15649,15083,13030,14365,12090,17668,23773
"SP_0418",5504,6154,3070,3631,1945,1052,3207,1818,7231,4608
"SP_0419",5032,7546,4590,4945,4290,4665,3197,2299,4587,5127
"SP_0420",12237,13930,11498,10703,11551,10077,7699,6264,9516,13078
"SP_0421",13325,14366,12299,10873,11469,8778,7580,6819,10632,13057
"SP_0422",29759,31645,26096,24008,25939,24269,17090,16047,22803,29285
"SP_0423",9192,9566,8129,7310,7802,6893,5152,4738,6996,9109
"SP_0424",5891,5754,5125,4499,5676,3292,3991,4383,4804,5999
"SP_0425",32876,32998,28513,25656,27429,27976,17653,16793,25288,32040
"SP_0426",21090,20565,18751,16316,17643,15719,11269,10871,16022,21085
"SP_0427",16971,17440,15404,14261,15446,16718,9755,10528,13656,17814
"SP_0428",0,0,0,0,0,0,0,0,0,0
"SP_0429",1,1,0,2,1,0,1,0,0,0
"SP_0430",143,126,142,69,62,54,59,50,168,162
"SP_0431",7,12,6,3,4,5,7,0,31,16
"SP_0433",7198,6506,5508,5798,5167,3985,3603,2894,4851,5258
"SP_0434",2841,2376,2306,2391,2672,1499,1664,1775,2269,2259
"SP_0435",6828,6129,5011,5430,4440,3113,3415,3126,5108,5974
"SP_0436",10983,11805,8892,9983,9617,8768,7375,6596,7734,10525
"SP_0437",6982,7494,5610,6142,5653,5114,3850,3065,4586,5891
"SP_0438",465,556,365,278,241,122,190,126,355,319
"SP_0439",7891,7912,6677,6116,6365,6460,5309,4467,6542,8560
"SP_0441",3380,3640,2225,2158,1396,1231,1601,1248,4256,3135
"SP_0442",2197,1934,1780,2065,1944,1572,1699,1829,1892,1997
"SP_0443",34769,34334,29094,34697,33964,33241,23571,21608,24019,30883
"SP_0444",0,2,1,0,0,0,1,2,0,0
"SP_0445",11114,9786,8976,7743,8074,8946,5822,5354,10567,12768
"SP_0446",2819,2385,2128,2011,1827,1465,1418,1246,2920,2999
"SP_0447",8960,7922,7079,6632,6603,5826,4697,4018,8584,10279
"SP_0448",2404,2222,1651,1808,1425,1447,1059,816,2805,2481
"SP_0449",3881,3085,3354,2974,3206,5499,1933,1919,4200,4502
"SP_0450",2705,2368,2060,1535,1468,1685,1518,1350,3913,3951
"SP_0451",4578,4202,3488,4143,3319,1872,2877,3017,5845,4501
"SP_0452",2214,2626,2054,2841,2942,2533,1507,1414,1158,1666
"SP_0453",2299,2720,1971,2520,2556,2283,1309,1014,1151,1562
"SP_0454",4919,4016,3895,3275,3285,3917,2982,2904,5072,6064
"SP_0455",1,1,0,5,0,0,0,0,1,1
