"gene_id","T4delta_ccpA_CDMB_Exp_1","T4delta_ccpA_CDMB_Exp_2","T4delta_ccpA_CDMB_Exp_3","T4delta_ccpA_CDMN_Exp_1","T4delta_ccpA_CDMN_Exp_2","T4delta_ccpA_CDMN_Exp_3","T4WT_CDMN_Exp_4","T4WT_CDMN_Exp_5","T4WT_CDMB_Exp_4","T4WT_CDMB_Exp_5"
"SP_1578",1577,1278,1304,1326,1467,1649,859,857,1494,1622
"SP_1579",20,18,17,2,10,4,6,19,40,34
"SP_1580",7145,5043,4875,3912,3889,3493,3251,3696,9811,11068
"SP_1581",0,4,1,1,0,0,4,0,1,1
"SP_1582",3,1,1,1,1,2,0,0,1,2
"SP_1583",4878,4408,4278,3986,4027,4560,1975,1779,4015,4346
"SP_1584",4232,3635,3400,2762,2486,2099,1595,1538,3897,3984
"SP_1585",10,12,5,12,7,1,5,2,4,5
"SP_1586",36837,36979,29041,19793,19527,16543,19068,14932,28032,36365
"SP_1587",13999,14044,11977,8455,8903,9170,7706,6443,8926,12600
"SP_1588",21642,20866,16324,13423,12481,10480,12207,9199,12710,16331
"SP_1589",7420,7080,6013,6504,6221,5647,5038,4753,5216,6488
"SP_1590",6791,6129,5339,5347,5178,4459,4402,3956,4405,5891
"SP_1591",2315,2361,1792,2129,2119,1619,1506,1274,1642,2026
"SP_1592",102,76,55,47,43,21,45,36,71,62
"SP_1595",5,0,0,0,0,0,1,0,1,2
"SP_1596",90,86,65,45,42,32,38,32,59,77
"SP_1597",768,669,643,515,498,507,289,260,473,606
"SP_1598",955,878,811,588,633,679,356,317,504,780
"SP_1599",839,788,663,396,419,355,293,247,600,767
"SP_1600",5188,4752,4199,2638,2902,2489,2118,2115,3267,4396
"SP_1601",6359,5611,5106,3853,3880,3275,2304,2021,3539,4403
"SP_1602",1931,2212,1287,1205,888,561,700,551,1351,1227
"SP_1603",4945,4582,4010,4246,4431,4054,3806,3331,3850,4800
"SP_1604",1607,1610,1371,1496,1139,1508,1238,805,1310,1463
"SP_1605",270,261,203,228,150,88,121,102,173,142
"SP_1606",4281,4085,3619,4400,4699,4841,3429,3235,3403,4394
"SP_1607",11193,12443,9731,15150,14917,14866,9048,7722,7954,10466
"SP_1608",1989,1952,1756,1892,1912,1979,1457,1355,1557,1999
"SP_1609",1087,1059,861,970,1024,1019,633,566,626,770
"SP_1610",832,919,739,752,799,872,457,415,467,636
"SP_1611",2,4,2,1,0,0,1,0,3,6
"SP_1612",19,15,16,16,5,6,6,4,14,17
"SP_1615",278,213,213,219,198,195,141,127,190,255
"SP_1616",81,32,41,27,27,26,11,21,24,29
"SP_1617",109,94,78,74,75,75,47,54,68,70
"SP_1618",14,4,3,0,0,1,2,5,4,4
"SP_1619",3,5,1,1,3,2,0,0,2,1
"SP_1620",30,21,12,4,1,7,1,0,13,10
"SP_1621",194,155,117,64,50,43,46,38,94,105
"SP_1622",1413,1157,912,14,13,22,478,391,867,985
"SP_1623",17068,18080,15773,13064,13640,15743,8736,8580,10753,15159
"SP_1624",963,1205,904,1134,892,1003,395,397,555,628
"SP_1625",3769,3642,3220,2861,3035,2960,2026,2099,2802,3474
"SP_1626",23479,25293,18565,17706,14000,8401,11722,9519,13285,15163
"SP_1627",11,25,21,9,14,11,13,12,16,22
"SP_1628",28,34,28,28,22,18,31,36,33,36
"SP_1629",82,81,61,69,42,39,55,42,63,77
"SP_1630",591,626,504,396,370,388,249,205,417,498
"SP_1631",7014,7315,5641,4723,4789,4168,3785,3042,6436,8172
"SP_1632",331,345,278,360,333,319,283,237,284,295
"SP_1633",154,218,199,244,214,262,195,135,139,186
"SP_1634",497,564,471,509,507,434,332,261,296,364
"SP_1635",7,6,1,1,3,4,2,0,7,2
"SP_1636",546,789,462,745,580,874,478,432,541,551
"SP_1637",904,973,901,990,998,1015,747,704,641,898
"SP_1638",2055,2197,1597,1809,1612,1640,1519,1215,1852,2240
"SP_1639",125,101,95,43,48,45,77,50,95,95
"SP_1640",72,96,91,78,66,57,58,45,75,97
"SP_1641",72,77,55,64,37,31,41,33,71,43
"SP_1642",9,4,6,3,7,3,3,2,5,4
"SP_1643",15,18,14,24,13,8,18,9,20,11
"SP_1644",1175,1214,946,1174,1033,836,1032,824,1086,1155
"SP_1645",6454,7167,5720,7169,7113,7658,6382,5441,5829,7477
"SP_1646",1236,1290,901,1009,1139,886,1234,1125,1125,1459
"SP_1647",17258,19474,15480,21200,21860,22984,16378,15241,12369,16449
"SP_1648",570,550,443,1332,1323,1199,1420,1367,1111,1284
"SP_1649",718,663,570,1755,1689,1755,1684,1698,1243,1452
"SP_1650",945,764,677,2453,2008,2084,1823,1606,1592,1712
"SP_1651",4184,5280,3295,5522,4613,3370,4372,3202,3942,3896
"SP_1652",2312,2406,2020,2898,2772,2999,1997,1805,1585,2021
"SP_1653",365,387,315,407,353,476,290,285,278,341
"SP_1654",1121,1146,943,952,931,1153,819,705,775,975
"SP_1655",20675,22872,18326,15874,16728,17602,5052,4863,7204,10496
"SP_1656",16,24,15,20,15,7,16,8,23,30
"SP_1657",6,4,6,1,2,6,9,3,17,19
"SP_1658",51,55,61,31,40,41,37,24,67,61
"SP_1659",14491,13348,10565,7854,8114,7197,7778,6649,13320,16270
"SP_1660",3248,2507,2482,2484,2116,1150,1935,1845,3707,2781
"SP_1661",16141,14866,11221,12334,10828,8485,9996,8430,13988,15441
"SP_1662",13805,11304,9729,9800,8643,7357,8947,8031,13019,12994
"SP_1663",260,228,228,262,229,105,252,241,306,299
"SP_1664",8927,8528,6099,7237,5976,5276,5473,4586,7535,7935
"SP_1665",11638,10417,9093,10006,9531,7572,7989,7801,9246,10413
"SP_1666",32168,31755,25843,30580,29994,31277,22732,19727,23375,29743
"SP_1667",26677,26189,21531,22594,21719,24302,15468,13234,17349,22387
"SP_1668",3797,3269,2955,2680,2540,2545,2616,2486,3004,3757
"SP_1669",962,896,934,783,750,880,488,441,747,868
"SP_1670",2930,2864,2478,1992,2040,1948,1591,1377,2069,2526
"SP_1671",5112,5134,4241,3978,3682,4154,2832,2614,3375,4406
"SP_1672",3198,3183,2480,2822,2868,2361,2418,2157,2459,3286
"SP_1673",8705,8116,6926,7981,8733,7427,6179,5853,6223,7879
"SP_1674",2457,2772,2429,2517,2315,2192,1479,1303,1237,1529
"SP_1675",833,800,665,3080,3020,2885,3477,2909,1160,1176
"SP_1676",912,807,723,2912,3090,2727,3756,3167,1671,1696
"SP_1677",361,268,322,1347,1390,1264,1640,1574,958,949
"SP_1678",8,5,10,41,31,33,27,27,37,18
"SP_1679",242,193,176,945,883,845,1337,1345,724,639
"SP_1680",247,162,184,608,519,574,729,547,791,686
"SP_1681",1151,1047,978,4825,5165,4849,5372,4471,3161,3607
"SP_1682",1227,869,954,3052,3157,3068,3306,2816,4308,4527
"SP_1683",4349,2508,3273,10289,11000,11666,9128,8370,13618,15662
"SP_1684",4739,2713,3683,4757,5063,5417,4211,5012,13371,16077
"SP_1685",4129,2623,2710,1897,1738,1841,2095,1979,8045,10443
"SP_1686",73,79,73,1483,1389,1655,1849,1572,160,128
"SP_1687",127,123,123,1585,1535,1656,1594,1482,499,397
"SP_1688",66,21,32,355,343,359,416,365,176,226
"SP_1689",89,54,55,249,266,244,345,300,314,330
"SP_1690",206,118,160,380,438,441,530,497,849,963
"SP_1691",46,34,26,40,21,37,47,37,193,190
"SP_1692",0,0,2,1,0,0,1,0,0,3
"SP_1694",144,77,111,100,87,67,93,120,319,294
"SP_1695",2061,1349,1646,1602,1684,1487,1852,2648,1150,1597
"SP_1696",873,738,677,544,490,230,438,411,885,863
"SP_1697",15763,14241,13120,11546,12557,13443,10138,10363,13920,18277
"SP_1698",6892,6667,5701,5411,5653,5421,4898,4500,6092,7699
"SP_1699",588,524,345,369,299,210,400,381,493,539
"SP_1700",14532,14793,11866,12354,11981,11844,8851,7251,9947,12349
"SP_1701",11458,10808,9046,9588,8734,8296,6228,4863,8029,8959
"SP_1702",36850,36702,30532,35420,36672,34621,23478,21686,23561,30581
"SP_1703",166,85,106,123,97,61,91,123,274,227
"SP_1704",523,294,376,396,382,298,298,397,802,741
"SP_1705",332,182,244,229,176,125,121,132,428,386
"SP_1706",988,568,714,623,548,539,487,644,1296,1297
"SP_1707",830,504,598,549,568,573,463,543,1102,1049
"SP_1708",1095,729,808,728,682,721,670,762,1293,1320
"SP_1709",11103,11635,9355,10733,10327,10608,8481,7525,9040,11361
"SP_1710",4183,4191,3587,3755,3830,3168,3541,3107,3578,4246
"SP_1711",4670,4252,3807,4174,4468,3980,3868,3411,3728,4739
"SP_1712",4232,4272,3706,4630,4426,4540,3485,3288,3521,4212
"SP_1713",1162,1331,935,1553,1413,1476,1327,1211,1371,1489
"SP_1714",5919,4808,3730,1783,1278,896,2647,2497,5638,5717
"SP_1715",30429,18888,20513,8729,8263,6871,9731,11284,25576,32849
"SP_1716",920,849,746,1220,1063,1143,774,752,686,794
"SP_1717",615,666,476,739,680,754,585,543,500,563
"SP_1718",3,2,2,3,2,1,1,0,3,5
"SP_1720",1539,1530,1191,1290,1274,1143,889,891,1500,1756
"SP_1721",538,638,517,840,775,841,351,261,324,351
"SP_1722",709,713,627,957,925,1462,449,448,306,431
"SP_1723",14,12,4,7,3,5,3,9,10,6
"SP_1724",890,1090,786,1052,1090,1063,631,497,560,785
"SP_1725",622,734,533,742,727,742,355,334,313,474
"SP_1726",6739,7028,5762,5248,5414,5565,4266,3996,4635,6425
"SP_1727",4622,4554,3807,3686,3584,3035,2728,2411,3065,3552
"SP_1728",306,290,172,242,141,92,224,195,286,234
"SP_1729",839,843,599,663,511,477,574,401,680,787
"SP_1730",608,495,482,442,475,378,450,402,461,494
"SP_1731",1145,1334,915,1059,1027,950,870,736,924,1045
"SP_1732",16963,19154,14103,17664,15367,16725,10774,9054,12306,14920
"SP_1733",6033,6379,5191,5786,5181,5306,3664,3129,4631,5377
"SP_1734",7192,6941,5866,5212,5213,5296,4124,4010,5296,6687
"SP_1735",3835,3816,3127,2986,3038,2836,2469,2349,3139,3906
"SP_1736",10649,10690,8948,8764,8959,9376,7570,6861,7952,10413
"SP_1737",1327,1587,1050,1344,1008,495,693,506,1019,990
"SP_1738",3643,3589,2918,3019,3177,2696,2323,1964,2492,3095
"SP_1739",18783,21078,15474,17957,17101,16023,10899,9097,10170,13319
"SP_1740",50,30,33,44,42,40,15,14,20,20
"SP_1741",17,32,14,13,13,10,17,12,29,21
"SP_1742",3708,3290,3076,2521,2726,2971,2961,3144,4328,5751
"SP_1743",1381,1312,1064,908,866,1068,1174,1083,1557,2016
