"gene_id","Sal-marker2-LE-rep-2_S6_R1_001 (GE) - Total counts","Sal-marker2-LE-rep-3_S7_R1_001 (GE) - Total counts","Sal-marker2-LE-rep-4_S8_R1_001 (GE) - Total counts","Sal-delropB-LE-rep-1_S13_R1_001 (GE) - Total counts","Sal-delropB-LE-rep-2_S14_R1_001 (GE) - Total counts","Sal-delropB-LE-rep-3_S15_R1_001 (GE) - Total counts","Sal-sip-LE-rep-1_S9_R1_001 (GE) - Total counts","Sal-sip-LE-rep-2_S10_R1_001 (GE) - Total counts","Sal-sip-LE-rep-3_S11_R1_001 (GE) - Total counts"
"RSSL_01571",15,11,14,19,30,19,14,7,11
"RSSL_01570",14702,16191,16758,21395,20004,23797,18403,16090,12765
"RSSL_01569",2364,2305,2389,3560,3188,3847,2685,2358,1827
"RSSL_01568",2280,2497,2592,3657,3192,3873,2728,2385,2025
"RSSL_01567",719,692,655,892,806,959,718,670,526
"RSSL_01566",85462,78691,93877,106897,99169,109496,100424,87874,74344
"RSSL_01565",178,211,220,244,167,224,193,135,121
"RSSL_01564",10139,9640,13275,16319,15177,17303,12636,10587,9375
"RSSL_01563",2089,1868,2013,2135,2053,2368,2099,1811,1470
"RSSL_01562",1556,1392,1596,1803,1741,1920,1682,1560,1151
"RSSL_01561",2581,2146,2620,2836,2823,2947,2701,2435,1944
"RSSL_01560",3555,3045,3553,4164,4151,4476,3750,3404,2831
"RSSL_01559",3433,2902,3298,3960,3802,4195,3570,3168,2640
"RSSL_01558",3171,2767,2840,3481,3249,3684,3201,2722,2306
"RSSL_01557",1057,1102,1040,1198,1275,1478,1174,907,900
"RSSL_01556",52,67,72,79,84,80,88,70,64
"RSSL_01555",2384,2321,2547,2626,2398,2812,2599,2337,1892
"RSSL_01554",1415,1316,1551,1638,1534,1633,1576,1422,1096
"RSSL_01553",1171,1130,1249,1375,1251,1413,1387,1139,1018
"RSSL_01552",2833,2690,2952,3154,3079,3323,3047,2776,2399
"RSSL_01551",268,218,268,399,256,254,167,189,164
"RSSL_01550",516,424,648,894,436,449,386,443,273
"RSSL_01549",567,484,767,968,486,459,456,516,363
"RSSL_01548",1202,1113,1295,1376,1440,1494,1406,1170,985
"RSSL_01547",175,172,185,208,164,208,196,170,134
"RSSL_01546",1511,1392,1546,1994,1788,1925,1591,1438,1272
"RSSL_01545",57,50,60,88,55,87,56,55,48
"RSSL_01544",114,97,128,130,144,123,119,87,82
"RSSL_01543",591,718,680,987,730,861,661,597,539
"RSSL_01542",107,92,90,115,103,87,109,87,75
"RSSL_01541",260,214,215,256,223,219,230,227,207
"RSSL_01540",37,35,39,53,36,45,46,41,31
"RSSL_01539",63,57,64,97,72,76,63,68,58
"RSSL_01538",260,312,362,553,462,440,349,312,287
"RSSL_01537",316,276,366,489,461,474,319,293,251
"RSSL_01536",136,139,189,281,195,225,155,162,101
"RSSL_01535",18,25,24,35,23,26,21,16,11
"RSSL_01534",12,14,12,25,14,22,21,16,14
"RSSL_01533",1495,1420,1189,1721,1510,1598,1403,1284,1110
"RSSL_01532",58,51,75,81,66,58,53,51,49
"RSSL_01531",74,74,81,100,81,71,82,77,66
"RSSL_01530",171,136,146,198,171,188,177,149,152
"RSSL_01529",36,45,37,45,52,53,42,38,33
"RSSL_01528",309,308,346,396,357,388,336,320,253
"RSSL_01527",44,39,34,37,36,39,42,29,21
"RSSL_01526",75,76,88,97,86,103,79,82,59
"RSSL_01525",116,112,112,133,111,142,111,106,82
"RSSL_01524",888,748,857,1066,1039,1135,854,765,635
"RSSL_01523",26,29,32,37,30,36,26,28,17
"RSSL_01522",571,568,455,618,546,627,540,475,401
"RSSL_01521",352,305,250,403,302,394,334,285,217
"RSSL_01520",462,473,489,643,615,694,522,429,360
"RSSL_01519",566,442,473,517,425,447,507,364,375
"RSSL_01518",508,434,464,531,509,638,490,460,392
"RSSL_01517",327,250,328,333,295,344,272,243,206
"RSSL_01516",327,302,261,303,247,318,285,222,199
"RSSL_01515",878,848,773,956,978,1050,913,762,659
"RSSL_01514",149,161,214,275,223,263,226,190,150
"RSSL_01513",393,441,596,940,793,807,600,492,440
"RSSL_01512",471,471,598,788,658,740,593,514,438
"RSSL_01511",551,543,704,861,720,817,630,589,508
"RSSL_01510",769,702,745,784,764,841,775,638,609
"RSSL_01509",738,637,792,708,663,780,825,706,522
"RSSL_01508",2188,1971,2032,2133,1987,2320,2191,1913,1725
"RSSL_01507",430,405,438,463,402,451,456,398,381
"RSSL_01506",650,897,1079,1772,1431,1608,1042,864,685
"RSSL_01505",304,398,468,749,620,708,421,337,271
"RSSL_01504",64,86,135,173,139,156,97,72,53
"RSSL_01503",5760,8712,9861,11988,10437,11730,10813,9334,7054
"RSSL_01502",7381,11541,14698,18837,16725,17682,14933,12640,10649
"RSSL_01501",837,1082,1269,1732,1449,1808,1171,1071,859
"RSSL_01500",604,874,1228,1652,1262,1652,1076,956,765
"RSSL_01499",520,839,1212,1601,1262,1483,1023,939,713
"RSSL_01498",574,1102,1493,1940,1511,1666,1276,1188,913
"RSSL_01497",82,129,129,183,165,203,124,92,109
"RSSL_01496",486,474,544,711,631,644,523,469,386
"RSSL_01495",260,251,325,422,345,425,356,320,245
"RSSL_01494",147,168,197,263,192,209,161,168,139
"RSSL_01493",7,5,4,6,9,2,4,3,2
"RSSL_01492",300,338,310,399,290,345,350,238,231
"RSSL_01491",370,423,380,385,398,456,439,394,272
"RSSL_01490",2,4,2,1,2,3,1,1,2
"RSSL_01489",102,95,97,101,112,116,104,95,87
"RSSL_01488",105,116,117,103,116,132,119,109,79
"RSSL_01487",89,86,113,103,99,106,95,93,72
"RSSL_01486",207,183,264,317,256,301,258,252,202
"RSSL_01485",190,183,230,264,231,254,236,216,190
"RSSL_01484",396,361,409,496,479,467,386,338,268
"RSSL_01483",2832,2810,3194,3292,3062,3397,3638,3102,2564
"RSSL_01482",578,525,567,606,617,722,541,470,361
"RSSL_01481",949,847,1015,1236,1088,1244,1078,901,722
"RSSL_01480",1591,1504,1695,2118,1897,2198,1856,1601,1254
"RSSL_01479",52,41,55,58,65,76,40,45,43
"RSSL_01478",3848,3385,3775,4471,4450,4910,3837,3362,3042
"RSSL_01477",301,279,268,396,327,374,293,264,230
"RSSL_01476",510,537,533,579,506,522,546,442,429
"RSSL_01475",1682,1512,1773,1975,1899,2072,1849,1762,1366
"RSSL_01474",2028,1708,2087,2516,2315,2563,2282,2136,1593
"RSSL_01473",2832,2669,2936,3107,2973,3206,3261,2739,2363
"RSSL_01472",4401,4281,4587,5832,5192,5821,5259,4265,3815
"RSSL_01471",805,762,669,864,773,896,866,733,555
"RSSL_01470",1882,1591,1807,2146,2028,2390,1936,1688,1478
"RSSL_01469",3711,3350,3465,4501,4080,4499,3913,3399,2803
"RSSL_01468",271,290,274,339,337,351,323,266,217
"RSSL_01467",1,2,8,5,4,1,4,6,7
"RSSL_01466",308,289,315,117,101,108,87,93,79
"RSSL_01465",293,342,273,333,254,328,309,200,199
"RSSL_01464",44,41,26,36,30,38,35,23,24
"RSSL_01463",1086,484,550,719,839,1064,560,484,388
"RSSL_01461",68,68,70,79,58,76,64,51,48
"RSSL_01460",765,811,731,706,604,767,717,554,495
"RSSL_01459",3072,2941,3145,3786,3570,3685,3096,2635,2449
"RSSL_01458",507,509,567,751,602,686,555,480,410
"RSSL_01457",257,188,299,249,199,229,229,208,193
"RSSL_01456",298,204,214,270,263,314,237,229,206
"RSSL_01455",10359,8862,9674,11087,10548,11747,10634,9481,8031
"RSSL_01454",6301,5596,5482,5692,5439,6248,6191,5709,4641
"RSSL_01453",2738,2671,2497,2554,2421,2768,2767,2562,2049
"RSSL_01452",1657,1723,1917,2088,1817,2076,2123,1832,1552
"RSSL_01451",432,370,483,537,547,609,521,417,416
"RSSL_01450",1074,960,1075,1260,1194,1334,1116,1024,853
"RSSL_01449",1341,1220,1313,1443,1354,1599,1441,1263,1006
"RSSL_01448",2846,2645,2672,3198,2814,3271,2739,2435,2021
"RSSL_01447",54,45,59,71,72,52,54,40,48
"RSSL_01446",143,143,168,167,194,176,179,157,119
"RSSL_01445",180,182,221,214,224,239,216,181,149
"RSSL_01444",605,570,631,667,644,743,676,553,506
"RSSL_01443",462,438,572,541,517,565,545,523,388
"RSSL_01442",2610,2387,2838,3351,3253,3604,2887,2674,2072
"RSSL_01441",1890,1945,2138,2724,2657,2779,2188,2022,1773
"RSSL_01440",1982,1841,2263,2609,2503,2861,2309,2066,1659
"RSSL_01439",1146,1050,1219,1552,1306,1583,1268,1236,954
"RSSL_01438",428,351,422,517,511,542,444,392,357
"RSSL_01437",1453,1297,1452,1885,1670,1904,1528,1320,1144
"RSSL_01436",999,852,1037,1275,1147,1294,1064,1066,786
"RSSL_01435",415,407,468,611,563,582,476,435,388
"RSSL_01434",7056,6331,7333,9923,9398,10568,6807,5974,5188
"RSSL_02056",112,102,116,172,166,139,113,98,82
"RSSL_02055",87,80,86,103,100,94,76,51,69
"RSSL_02054",1110,958,991,1136,1036,1154,1237,1047,940
"RSSL_02053",1636,1526,1397,1776,1695,1775,1700,1345,1218
"RSSL_02052",10618,9921,13455,15359,15094,16855,13551,12930,10424
"RSSL_02051",24803,23490,32947,35554,35616,40477,31579,32152,25167
"RSSL_02050",8032,7224,10584,11219,11119,12896,10724,9978,7599
"RSSL_02049",4074,4055,5190,5641,5169,6177,5412,4816,4079
"RSSL_02048",966,891,710,869,816,1001,828,747,641
"RSSL_02047",700,573,568,623,608,742,611,487,479
"RSSL_02046",17869,16995,20045,22162,20987,23049,21819,17712,16514
"RSSL_02045",2422,2130,2175,2615,2464,2770,2247,1973,1710
"RSSL_02044",4517,4139,4959,6036,5106,6496,5377,4605,3600
"RSSL_02043",43417,63544,136088,230543,200132,215578,127668,106002,96759
"RSSL_02042",194,236,416,768,621,690,380,336,308
"RSSL_02041",3244,3362,3406,4503,3331,3978,3324,2725,2300
"RSSL_02040",5483,5676,5566,7166,5753,6428,5737,4483,3903
"RSSL_02039",5222,5191,5326,6121,5894,6585,6047,5252,4308
"RSSL_02038",10438,10223,11169,12819,12049,13652,11409,9924,8337
"RSSL_02037",11707,9857,10555,12423,12014,12984,11399,10167,8683
"RSSL_02036",730,611,669,748,758,881,694,549,535
"RSSL_02035",3795,3624,4037,4648,4336,4904,4232,3739,3204
"RSSL_02034",4788,4389,5168,6388,5787,6403,5395,4847,4159
"RSSL_02033",2016,1901,2208,2995,2784,2972,2259,1969,1753
"RSSL_02032",8143,7437,9149,12042,11412,12780,8728,8301,7445
"RSSL_02031",14137,12876,13457,15498,14361,16112,14792,12794,10887
"RSSL_02030",14447,12419,13688,16349,15735,17655,15253,13596,11628
"RSSL_02029",10988,9197,10323,12077,11414,12995,11147,9982,8447
"RSSL_02028",8433,7035,7986,9229,9314,10709,8433,7250,6932
"RSSL_02027",2676,2275,2489,2930,2852,3280,2634,2226,2131
"RSSL_02026",19733,17109,18081,21782,21402,24461,20012,18128,15520
"RSSL_02025",8644,7636,7555,9106,8616,10051,8620,7671,6646
"RSSL_02024",19059,16420,18496,22743,21935,24749,20005,17997,15156
"RSSL_02023",4039,3863,4394,5232,4559,5371,4681,4328,3425
"RSSL_02022",13342,12125,15659,19662,17648,22443,14994,14883,11293
"RSSL_02021",1002,949,1135,1522,1383,1631,1153,1093,936
"RSSL_02020",7037,7000,8763,10172,9615,10452,9733,7328,7145
"RSSL_02019",3243,3070,3750,4451,4283,4652,4222,3406,3103
"RSSL_02018",5484,5102,6408,7642,7513,8378,7085,5533,5291
"RSSL_02017",65151,60950,59077,70871,69103,76927,69971,63059,47954
"RSSL_02016",94414,84182,88125,105623,101554,114499,95212,85742,69258
"RSSL_02015",22320,21584,23106,24372,22967,26016,26665,21796,19752
"RSSL_02014",3630,3118,3422,3894,3767,4209,3784,3485,2603
"RSSL_02013",3190,2635,2885,3564,3570,3799,3270,2992,2467
"RSSL_02012",10633,8908,9903,11333,11400,12738,10558,9403,8057
"RSSL_02011",993,877,1014,1069,1111,1199,999,909,746
"RSSL_02010",2487,2691,2383,2851,2575,3059,2794,2250,2020
"RSSL_02009",4001,3456,3563,4232,4306,4488,4023,3586,3089
"RSSL_02008",116,130,123,124,121,147,127,98,100
"RSSL_02007",1408,1315,1683,1869,1719,1949,1602,1490,1194
"RSSL_02006",5576,5273,6051,7030,6598,7293,6100,5513,4284
"RSSL_02005",871,704,753,943,902,1055,799,756,678
"RSSL_02004",4832,3990,4840,5256,5110,5764,4813,4321,3446
"RSSL_02003",1346,1258,1306,1581,1486,1670,1490,1231,1055
"RSSL_02002",1801,1645,1754,2039,2135,2233,1911,1722,1357
"RSSL_02001",4656,4198,4318,5425,4987,5677,4892,4113,3484
"RSSL_02000",734,645,643,801,727,815,744,596,550
"RSSL_01999",434,473,415,527,488,544,514,436,341
"RSSL_01998",1224,984,1132,1344,1350,1568,1165,1010,898
"RSSL_01997",368,342,324,439,369,432,332,317,259
"RSSL_01996",653,570,645,775,758,873,620,611,506
"RSSL_01995",1321,1238,1387,1487,1500,1693,1606,1320,1110
"RSSL_01994",4514,3903,4448,5247,4807,5553,4853,4216,3627
"RSSL_01993",2651,2347,2771,3316,3071,3346,2877,2684,2012
"RSSL_01992",4486,4029,4552,5386,5079,5649,4874,4363,3648
"RSSL_01991",16003,15212,15680,19805,17933,20368,16914,14903,13369
"RSSL_01990",2593,2473,2436,3073,2787,3067,2770,2428,2002
"RSSL_01989",2671,2335,2374,3235,3239,3505,2700,2236,2025
"RSSL_01988",474,452,470,379,372,358,582,458,413
"RSSL_01987",2681,2415,2473,3026,2716,3141,2616,2277,1988
"RSSL_01986",1324,1170,1276,1541,1453,1653,1279,1154,901
"RSSL_01985",1480,1218,1386,1816,1783,1908,1455,1303,1077
"RSSL_01984",756,680,754,856,833,1057,734,666,583
"RSSL_01983",1283,1216,1175,1575,1430,1641,1260,1089,921
"RSSL_01982",101,96,100,127,102,125,110,110,77
"RSSL_01981",22,22,25,30,27,32,27,24,26
"RSSL_01980",797,849,894,875,870,958,1030,930,790
"RSSL_01979",556,505,653,644,546,647,749,630,536
"RSSL_01978",592,524,675,671,634,645,790,697,582
"RSSL_01977",1628,1261,1858,1817,1782,2107,2056,1953,1631
"RSSL_01976",656,593,790,793,799,797,846,751,681
"RSSL_01975",913,774,1068,1023,1001,1173,1236,1077,893
"RSSL_01974",539,489,621,649,673,725,721,630,503
"RSSL_01973",523,478,657,639,652,726,687,561,495
"RSSL_01972",421,426,569,535,515,603,587,506,448
"RSSL_01971",352,341,418,434,450,489,477,407,351
"RSSL_01970",169,150,152,235,192,220,184,150,135
"RSSL_01969",10,7,5,9,5,6,17,6,9
"RSSL_01968",12,14,11,8,11,9,10,12,10
"RSSL_01967",14,12,13,13,14,16,25,13,14
"RSSL_01966",10,5,16,15,10,7,14,15,13
"RSSL_01965",8154,7398,7493,8866,8161,9281,7230,6589,5762
"RSSL_01964",13364,12015,12171,14270,13020,14902,11742,10786,9011
"RSSL_01963",3107,2888,2964,3410,2964,3537,2676,2272,2063
"RSSL_01962",1514,1508,1737,2194,1941,2278,1725,1515,1293
"RSSL_01961",4095,3649,3807,4541,4332,4707,4139,3815,2955
"RSSL_01960",1558,1415,1499,1798,1687,1891,1623,1479,1186
"RSSL_01959",2096,1742,1970,2468,2380,2614,2007,1866,1616
"RSSL_01958",1211,1069,1143,1427,1369,1493,1276,1096,974
"RSSL_01957",1202,988,1086,1386,1379,1476,1227,1023,928
"RSSL_01956",3367,2893,3001,4084,3848,4331,3104,2737,2248
"RSSL_01955",2270,2049,1892,2491,2449,2927,2158,1729,1537
"RSSL_01954",2087,1707,1587,2297,2181,2470,1665,1511,1277
"RSSL_01953",2113,1592,1598,2427,2277,2699,1693,1516,1397
"RSSL_01952",1109,968,881,1375,1211,1322,912,822,716
"RSSL_01951",4676,4311,4436,5640,5248,5624,4663,4042,3451
"RSSL_01950",2853,2552,2984,3566,3352,3589,3121,2865,2381
"RSSL_01949",1009,838,1012,1270,1224,1387,1125,984,879
"RSSL_01948",1750,1515,1745,2142,2056,2219,1888,1617,1486
"RSSL_01947",2122,1843,2212,2655,2486,2823,2318,2159,1683
"RSSL_01946",984,865,959,1198,1177,1294,1080,938,776
"RSSL_01945",4523,3858,4451,5417,5093,5728,4604,4098,3467
"RSSL_01944",3624,3234,3416,4336,4052,4499,3830,3387,2893
"RSSL_01943",3443,2903,2883,4075,3720,4343,3005,2720,2392
"RSSL_01942",1284,1102,1172,1549,1541,1697,1250,1065,947
"RSSL_01941",9293,10075,8853,9695,8444,9896,10387,7730,7133
"RSSL_01940",927,952,977,1076,1086,1233,982,755,809
"RSSL_01939",3345,3270,3856,3973,3866,4169,3977,3547,2937
"RSSL_01938",24080,22497,22174,25281,24863,26999,26759,21818,18964
"RSSL_01937",683,665,676,721,692,722,769,646,547
"RSSL_01936",706,749,893,876,888,1002,1044,911,771
"RSSL_01935",163,150,169,223,218,200,202,189,156
"RSSL_01934",5267,4546,4740,5617,5441,6259,5239,4314,4160
"RSSL_01933",3762,3040,3407,4087,3778,4575,3415,3119,2716
"RSSL_01932",3194,2389,2736,3450,2982,3754,2897,2734,2307
"RSSL_01931",3153,2472,2731,3556,3357,3703,2974,2600,2242
"RSSL_01930",1150,1027,1044,1301,1280,1382,1171,894,843
"RSSL_01929",3285,2892,3209,3725,3566,4001,3423,3016,2676
"RSSL_01928",24382,20897,24343,27638,25935,29282,26190,23802,19641
"RSSL_01927",24195,21083,23470,27384,26725,29643,26001,21421,19904
"RSSL_01926",36126,31514,38886,44759,38867,46413,42738,38596,31240
"RSSL_02068",24825,20578,23861,28182,26091,26373,26865,23783,20801
"RSSL_02069",166,182,286,349,261,293,283,213,144
"RSSL_02070",2025,1800,1838,1946,1924,2189,2125,1713,1580
"RSSL_02071",1436,1291,1361,1469,1423,1722,1526,1276,1105
"RSSL_02072",1920,1535,1729,1889,1869,2117,1938,1700,1369
"RSSL_02073",7231,6632,7107,8552,8044,9050,7608,6648,5885
"RSSL_02074",2767,2314,2871,3392,3300,3772,3041,2757,2292
"RSSL_02075",1321,1248,1358,1542,1439,1619,1452,1253,1031
"RSSL_02076",132,136,126,169,126,161,116,105,96
"RSSL_02077",2728,2763,2463,2583,2567,2829,2874,2388,2083
"RSSL_02078",1665,1595,2055,1925,1840,2100,2044,1904,1502
"RSSL_02079",1010,830,973,1068,1084,1125,1008,913,821
"RSSL_02080",1177,1099,1237,1324,1207,1354,1307,1183,910
"RSSL_02081",10357,9285,6920,9389,9392,10132,9238,7427,7018
"RSSL_02082",4114,3737,4547,5508,5404,6059,4749,4672,3973
"RSSL_02083",650,612,710,738,673,764,745,633,548
"RSSL_02084",1070,1029,1154,1344,1178,1351,1127,1072,897
"RSSL_02085",696,628,700,817,787,868,713,593,527
"RSSL_02086",3829,3294,3920,4444,4302,4854,3885,3603,2975
"RSSL_02087",247,273,211,297,240,286,227,211,203
"RSSL_02088",1624,1475,1867,2100,2072,2275,1724,1688,1374
"RSSL_02089",4249,3642,3378,4471,4221,4558,4191,3436,2984
"RSSL_02090",565,489,516,601,522,626,483,405,378
"RSSL_02091",442,347,383,407,361,439,310,318,277
"RSSL_02092",632,592,686,788,689,849,585,523,439
"RSSL_02093",993,874,982,1131,941,1165,827,800,611
"RSSL_02094",47,53,45,56,40,55,42,34,38
"RSSL_02095",373,325,378,414,340,417,324,286,247
"RSSL_02096",1291,1283,1408,1578,1294,1608,1141,1141,979
"RSSL_02097",476,499,539,564,464,608,462,434,356
"RSSL_02098",259,235,237,232,214,280,214,186,175
"RSSL_02099",861,853,876,1074,876,971,853,801,620
"RSSL_02100",970,1026,992,1155,1066,1194,1009,926,793
"RSSL_02101",227,214,189,233,219,230,238,186,168
"RSSL_02102",2809,2591,2906,3215,2948,3385,3010,2569,2137
"RSSL_02103",527,477,495,560,554,564,500,452,393
"RSSL_02104",1634,1364,1264,1830,1788,2012,1442,1269,1100
"RSSL_02105",2570,2214,2571,2654,2614,2885,2792,2379,2012
"RSSL_02106",1943,1722,2030,2203,2109,2448,2273,1872,1527
"RSSL_02107",3893,3541,3893,4379,4065,4562,4461,3796,3441
"RSSL_02108",2893,2642,2942,3294,2764,3484,3361,2859,2497
"RSSL_02109",0,1,0,1,0,0,1,0,0
"RSSL_02110",4094,3706,4296,5080,4595,5172,4797,4220,3418
"RSSL_02111",5012,4330,4989,6020,5599,6100,5293,4823,4014
"RSSL_02112",2525,2096,2416,2803,2673,2966,2413,2237,1884
"RSSL_02113",1227,1195,1171,1414,1266,1462,1274,1220,1042
"RSSL_02114",4436,4045,4512,6049,5724,6054,4779,4432,3778
"RSSL_02115",2910,2594,2947,3462,3163,3826,3037,2774,2353
"RSSL_02116",713,698,788,713,646,716,648,572,472
"RSSL_02117",416,397,439,454,361,407,370,348,261
"RSSL_02118",3031,2443,2655,2593,2443,2891,3227,2710,2291
"RSSL_02119",1046,1012,1134,1229,1151,1295,1219,1084,899
"RSSL_02120",553,468,588,639,608,623,571,489,465
"RSSL_02121",825,721,812,897,847,984,841,735,603
"RSSL_02122",3111,2646,3143,3425,3352,3643,3246,2989,2536
"RSSL_02123",2866,2432,2749,2942,2782,3376,2947,2703,2224
"RSSL_02124",6109,5496,5839,6682,6161,7174,6190,5564,4798
"RSSL_02125",1453,1434,1535,1827,1637,1907,1691,1527,1222
"RSSL_02126",1073,1008,1159,1263,1204,1325,1156,972,869
"RSSL_02127",2678,2428,2820,3343,3260,3473,2915,2766,2217
"RSSL_02128",5485,5642,4577,5159,4741,5326,5115,4388,3737
"RSSL_02129",189,131,124,185,177,171,161,150,113
"RSSL_00151",6395,5653,6563,7290,6932,7719,7013,6273,5234
"RSSL_00152",1626,1495,1513,1723,1525,1795,1661,1485,1229
"RSSL_00153",2065,1968,1909,2383,2112,2313,2148,2137,1720
"RSSL_00154",5546,5088,4973,5758,5736,6273,5695,4817,4178
"RSSL_00155",5531,4392,4410,5341,5413,6243,4951,4335,3935
"RSSL_00156",21553,19955,14840,20307,19471,23124,17268,15246,13403
"RSSL_00157",24171,21736,16208,22415,20510,23777,19189,17109,13958
"RSSL_00158",19527,19039,13307,18599,17263,19989,16283,13501,11840
"RSSL_00159",2396,2167,1912,2621,2654,2955,2337,1970,1829
"RSSL_00160",855,831,716,929,803,936,778,782,577
"RSSL_00161",3430,4111,3583,4092,3887,4081,4355,3504,2946
"RSSL_00162",4842,4637,4825,5541,5232,5654,5592,4596,4024
"RSSL_00163",676,639,837,903,760,868,894,781,710
"RSSL_00164",10,9,12,7,7,8,10,5,5
"RSSL_00165",92,78,82,66,49,69,53,52,48
"RSSL_00166",1771,1715,1923,1952,1366,1767,1390,1147,1113
"RSSL_00167",2822,2673,3079,3372,3407,3690,3132,2765,2308
"RSSL_00168",3697,3502,3921,4484,4228,4800,4226,3863,3220
"RSSL_00169",3399,2968,3421,3998,3711,4146,3796,3354,2864
"RSSL_00170",2403,2188,2512,2956,2784,3128,2804,2518,2074
"RSSL_00171",8196,7421,8792,10280,9739,11139,9839,8896,7694
"RSSL_00172",5071,4214,5261,6195,5771,6504,5622,5055,4149
"RSSL_00173",3150,2732,3157,3804,3627,4049,3556,3179,2557
"RSSL_00174",4266,4016,4122,5263,4855,5756,4823,4186,3411
"RSSL_00175",4263,4046,3856,4554,4318,4872,4455,3717,3433
"RSSL_00176",3127,2614,2725,3259,3218,3548,3188,2806,2427
"RSSL_00177",7574,6052,6516,7629,7542,8458,6997,6711,5593
"RSSL_00178",3787,3139,3488,3975,3975,4375,3657,3593,2895
"RSSL_00179",11860,9624,10504,12549,12314,13724,11331,10057,8884
"RSSL_00180",4319,3649,3764,4692,4661,5282,4266,3802,3312
"RSSL_00181",4136,3494,3505,4489,4336,4845,3869,3474,2943
"RSSL_00182",5727,5114,5168,6589,6311,7301,5709,4974,4309
"RSSL_00183",4407,3832,3775,4979,4976,5612,4385,3667,3398
"RSSL_00184",5871,5118,4992,6412,6503,7454,5697,4754,4396
"RSSL_00185",5940,5212,5128,6619,6384,7139,5601,5027,4441
"RSSL_00186",4097,3528,3610,4406,4373,5224,3950,3378,3051
"RSSL_00187",3565,2877,2934,3829,3719,4103,3204,2797,2394
"RSSL_00188",5385,4455,4455,5769,5847,6537,4910,4094,3942
"RSSL_00189",6136,5416,5325,6369,6546,7386,5781,4977,4191
"RSSL_00190",2206,1842,1816,2416,2421,2898,2058,1742,1679
"RSSL_00191",832,752,770,948,865,998,816,785,654
"RSSL_00192",350,447,510,621,528,677,495,438,371
"RSSL_00193",456,515,687,803,790,923,691,684,480
"RSSL_00194",467,678,864,1036,869,1082,908,759,679
"RSSL_00195",279,363,535,599,504,545,505,438,369
"RSSL_00196",955,906,1221,1315,1315,1359,1121,997,785
"RSSL_00197",200,231,296,313,280,314,310,229,185
"RSSL_00198",403,463,496,596,564,651,519,414,389
"RSSL_00199",1720,1796,2227,2734,2617,2894,2159,2018,1646
"RSSL_00200",788,752,1008,1382,1291,1505,1021,918,723
"RSSL_00201",639,700,844,1127,1082,1205,792,708,576
"RSSL_00202",1088,1010,971,1141,1109,1202,1082,869,808
"RSSL_00203",888,728,671,926,866,987,746,670,553
"RSSL_00204",824,783,924,1036,962,1164,981,945,696
"RSSL_00205",1744,1542,1772,2081,2019,2137,2058,1655,1528
"RSSL_00206",2221,1957,2036,2603,2336,2679,2324,2109,1805
"RSSL_00207",1932,1808,1976,2302,2156,2589,2016,1789,1551
"RSSL_00208",1432,1393,1466,1736,1657,1909,1512,1380,1115
"RSSL_00209",3361,2991,3866,4866,4090,5507,3870,3134,2402
"RSSL_00210",2161,1948,2722,3441,2842,3848,2658,2263,1757
"RSSL_00211",2110,2014,2859,3373,2981,3715,2735,2264,1714
"RSSL_00212",3519,3351,4157,5265,4614,4697,4439,3476,3035
"RSSL_01923",343,281,232,318,261,318,306,233,220
"RSSL_01924",1904,3203,3766,4618,4131,4881,3889,3346,2672
"RSSL_02235",0,0,0,0,0,0,0,0,0
"RSSL_01029",934,860,737,656,790,784,940,714,699
"RSSL_01030",956,759,728,862,897,978,914,847,748
"RSSL_01031",1155,887,859,905,1027,1266,1053,1006,874
"RSSL_01032",1366,1122,1164,1184,1315,1796,1407,1208,1079
"RSSL_01033",54,46,40,58,48,78,56,52,49
"RSSL_01034",1693,2227,2830,3323,2788,3191,2796,2463,2263
"RSSL_01035",1367,1823,2344,2740,2314,2656,2235,1971,1735
"RSSL_01036",4128,4950,6279,8014,6872,7660,6311,5465,4625
"RSSL_01037",10645,13421,15462,18152,16073,18240,15638,13514,11687
"RSSL_01038",3407,3473,3259,4186,3934,4464,3548,2964,2460
"RSSL_01039",9274,8579,9369,11066,10666,11661,10207,9025,7721
"RSSL_01040",12749,11960,12786,15678,15066,16682,14030,12444,10723
"RSSL_01041",402,487,659,1138,916,1033,648,517,475
"RSSL_01042",1580,1479,1559,1743,1470,1802,1721,1321,1196
"RSSL_01043",487,417,476,523,522,544,514,435,402
"RSSL_01044",14755,11862,12540,14541,14428,16677,13361,11981,10327
"RSSL_01045",2147,2055,2082,2557,2534,2866,2314,1980,1736
"RSSL_01046",2490,2279,2486,3045,2969,3406,2619,2419,1990
"RSSL_01047",1273,1231,1360,1603,1555,1701,1447,1270,1109
"RSSL_01048",1011,945,1053,1331,1301,1481,1122,975,812
"RSSL_01049",1180,1013,1292,1468,1465,1713,1287,1147,980
"RSSL_01050",1937,1853,2074,2361,2365,2654,2054,1926,1584
"RSSL_01051",694,653,757,865,807,923,803,740,563
"RSSL_01052",3756,3459,3535,3885,4104,4518,3761,3227,2978
"RSSL_01053",1187,1127,1082,1294,1134,1404,1178,1106,1007
"RSSL_01054",1431,1291,1215,1411,1267,1578,1397,1087,982
"RSSL_01055",1477,1207,1391,1696,1610,1905,1511,1278,1146
