"gene_id","Sal-marker2-LE-rep-2_S6_R1_001 (GE) - Total counts","Sal-marker2-LE-rep-3_S7_R1_001 (GE) - Total counts","Sal-marker2-LE-rep-4_S8_R1_001 (GE) - Total counts","Sal-delropB-LE-rep-1_S13_R1_001 (GE) - Total counts","Sal-delropB-LE-rep-2_S14_R1_001 (GE) - Total counts","Sal-delropB-LE-rep-3_S15_R1_001 (GE) - Total counts","Sal-sip-LE-rep-1_S9_R1_001 (GE) - Total counts","Sal-sip-LE-rep-2_S10_R1_001 (GE) - Total counts","Sal-sip-LE-rep-3_S11_R1_001 (GE) - Total counts"
"RSSL_00136",18,20,11,18,18,21,39,26,28
"RSSL_00137",23,22,15,31,21,21,35,25,34
"RSSL_00138",38,44,23,36,26,34,55,53,55
"RSSL_00139",127,146,113,143,128,153,151,115,95
"RSSL_00140",442,436,457,463,434,487,470,388,315
"RSSL_00141",114,97,102,147,97,112,165,114,110
"RSSL_00142",1500,1616,3288,2122,3410,2902,3085,2422,1980
"RSSL_00143m",2139,2018,4492,2937,4384,3852,3986,3429,3034
"RSSL_00144",1153,1135,2155,1641,2163,1996,1954,1642,1457
"RSSL_00145",840,854,1508,1079,1453,1379,1491,1264,1005
"RSSL_00146",3139,3655,4128,4813,4654,4903,4181,3502,3266
"RSSL_00147",7191,7815,8445,10591,9523,10386,8565,7692,6556
"RSSL_00148",4836,5347,5835,8031,6651,7488,5928,5065,4364
"RSSL_00149",19,14,12,22,23,28,20,17,16
