"SPN23F_RS03200",3899,2318,5234,169,168,766
"SPN23F_RS03900",6257,6319,7860,3202,2687,3123
"SPN23F_RS05230",12375,10867,13802,6299,5286,6849
"SPN23F_RS03605",12585,10179,15035,1422,1034,3629
"SPN23F_RS05300",3306,2399,2470,5139,3399,5058
"SPN23F_RS01185",12151,9608,13120,5434,5031,5135
"SPN23F_RS06360",518,770,643,1824,1592,1369
"SPN23F_RS08605",534,578,952,166,140,192
"SPN23F_RS01870",322,248,250,431,365,442
"SPN23F_RS02905",1975,1260,1706,2566,2364,2430
"SPN23F_RS10145",769,854,812,1445,1517,1321
"SPN23F_RS08060",4403,2979,4161,1477,1285,2124
"SPN23F_RS09615",18961,12630,16008,7034,6309,8903
"SPN23F_RS02970",6896,5036,6606,95,71,979
"SPN23F_RS09570",2645,2505,2589,3163,2823,3523
"SPN23F_RS03170",1304,760,1523,106,106,340
"SPN23F_RS06920",3656,2757,3422,1443,1247,1994
"SPN23F_RS00735",3913,3001,3177,4558,3951,4588
"SPN23F_RS07525",4350,5093,4570,1214,804,1940
"SPN23F_RS10175",222,164,158,369,316,316
"SPN23F_RS07990",4122,3446,3809,5498,4738,5013
"SPN23F_RS07735",288,253,294,124,114,137
"SPN23F_RS12050",1151,590,1112,109,74,268
"SPN23F_RS07530",38232,44756,43557,11911,8087,17614
"SPN23F_RS08300",1080,1070,1029,1413,1313,1487
"SPN23F_RS05185",2436,1782,2369,1046,795,1224
"SPN23F_RS06450",312,151,200,406,448,478
"SPN23F_RS06695",1187,1085,979,2092,2028,1707
"SPN23F_RS09620",14406,9684,12672,5423,4662,6959
"SPN23F_RS05480",24630,17746,26339,5293,3163,8305
"SPN23F_RS06935",1109,869,928,1713,1551,1419
"SPN23F_RS09530",1285,811,996,1452,1278,1939
"SPN23F_RS05500",4182,4171,4523,1682,1442,2485
"SPN23F_RS03220",701,628,1174,71,78,230
"SPN23F_RS08085",4142,4633,4404,6699,6393,6599
"SPN23F_RS02475",8,9,8,321,303,104
"SPN23F_RS05400",735,585,670,1557,1737,1193
"SPN23F_RS08455",1961,1459,1926,926,705,884
"SPN23F_RS10650",3670,3570,3429,4319,4109,5063
"SPN23F_RS07995",7434,6106,6817,9861,8722,8951
"SPN23F_RS10495",317355,94276,196153,2430,2059,14514
"SPN23F_RS05930",4993,3464,5253,1712,1743,2508
"SPN23F_RS04720",4473,3522,4308,1917,1407,2366
"SPN23F_RS09215",81,45,60,122,116,121
"SPN23F_RS08255",1886,1385,1462,1883,1868,2335
"SPN23F_RS04215",2760,3250,3005,7603,7400,5230
"SPN23F_RS02320",62874,37409,58595,18844,16601,25589
"SPN23F_RS03195",814,574,956,275,230,359
"SPN23F_RS01430",124120,36277,60513,2156,1889,8972
"SPN23F_RS01175",9918,7216,10208,4590,3806,4454
"SPN23F_RS05925",14830,9854,12393,3806,4221,6562
"SPN23F_RS01290",550,486,548,837,809,756
"SPN23F_RS01480",15560,12956,15797,7648,7422,8380
"SPN23F_RS03895",34924,29467,38197,15406,12034,19101
"SPN23F_RS02480",4,5,6,159,157,53
"SPN23F_RS02390",14957,6879,6147,25651,25952,26630
"SPN23F_RS07665",9397,9276,7964,19171,19812,14455
"SPN23F_RS03535",4172,3515,4259,1976,1467,2361
"SPN23F_RS08780",5936,5059,5802,2659,1994,3339
"SPN23F_RS07810",540,415,504,240,180,212
"SPN23F_RS10850",4581,3645,4643,2318,2109,2696
"SPN23F_RS06440",219,117,137,271,256,331
"SPN23F_RS04535",8094,6909,7747,9783,8055,12678
"SPN23F_RS06925",1118,817,938,1450,1293,1318
"SPN23F_RS06690",1637,1439,1332,2427,2377,2113
"SPN23F_RS01840",867,707,643,1603,1501,1218
"SPN23F_RS05935",3261,2297,3507,1122,1154,1662
"SPN23F_RS03205",510,463,959,31,39,143
"SPN23F_RS01170",15826,11950,17228,7235,6838,7759
"SPN23F_RS08620",218,183,231,84,66,108
"SPN23F_RS08305",29586,21234,30459,10223,7250,13575
"SPN23F_RS09005",4784,3091,3755,5029,4874,7494
"SPN23F_RS03210",215,223,411,22,23,71
"SPN23F_RS02690",5224,3875,5661,2309,1694,2618
"SPN23F_RS10940",14605,13366,17555,7459,5289,7241
"SPN23F_RS08090",3444,3871,3366,5418,5194,5324
"SPN23F_RS09410",484,1019,1106,95,80,134
"SPN23F_RS06080",145,91,136,188,175,233
"SPN23F_RS11035",647,591,604,864,751,841
"SPN23F_RS04600",16,32,15,55,70,94
