"gene_id","IU10991_1","IU10991_2","IU10991_3","IU1781_1","IU1781_2","IU1781_3"
"SPD_RS01105",27986,14284,11108,27881,16110,7924
"SPD_RS01110",15852,8171,6802,15017,9004,3765
"SPD_RS01115",31541,18397,14156,32032,19148,10166
"SPD_RS01120",45107,23191,18072,48013,27274,16452
"SPD_RS01125",24946,12750,9657,25758,14219,6503
"SPD_RS01130",23342,10681,8822,22006,12725,6018
"SPD_RS01135",12719,6740,5871,11861,7370,5060
"SPD_RS01140",21996,10958,9515,19408,11873,5974
"SPD_RS01145",64755,29917,27052,57064,35831,20696
"SPD_RS01150",6662,5121,4681,5110,4611,3882
"SPD_RS01155",73251,100365,78766,69454,75072,117410
"SPD_RS01160",25006,32189,22306,30434,27001,37086
"SPD_RS01165",37214,22324,15561,44839,26185,17027
"SPD_RS01170",25872,12682,9811,27145,15095,7589
"SPD_RS01175",93195,54591,39307,103906,61338,42453
"SPD_RS01180",47145,31316,25275,43335,30234,16925
"SPD_RS01185",2164,3089,2892,1421,1754,1680
"SPD_RS01190",7575,4705,3808,6878,4623,2530
"SPD_RS01195",29536,35219,34610,17031,31468,31019
"SPD_RS01200",28,16,23,39,23,20
"SPD_RS01205",8,12,3,23,10,7
"SPD_RS01210",20,5,8,25,16,10
"SPD_RS01225",103,94,47,136,89,100
"SPD_RS01230",277,318,249,313,283,279
"SPD_RS01235",1050,1941,1605,1013,1220,1444
"SPD_RS01240",1102,1778,1313,1255,1107,1204
"SPD_RS01245",318,523,478,227,449,554
"SPD_RS01250",125,177,137,84,146,164
"SPD_RS01255",685,1018,904,646,1048,960
"SPD_RS01260",647,640,491,919,630,630
"SPD_RS01265",161,142,111,262,155,126
"SPD_RS01270",544,630,402,1023,662,668
"SPD_RS01275",33734,18175,18034,27383,20530,13620
"SPD_RS01280",2239,2132,1993,2122,2458,2758
"SPD_RS01285",1630,1194,1277,1422,1511,1231
"SPD_RS01290",974,854,1082,456,1200,386
"SPD_RS01295",2913,1798,1957,3152,2508,1567
"SPD_RS01300",2363,2855,2678,2356,2728,2531
"SPD_RS01305",8643,4402,4362,6902,6324,3880
"SPD_RS01310",8619,4785,5097,6688,5945,3411
"SPD_RS01315",14013,6576,7008,11951,8875,4564
"SPD_RS01320",25878,11677,11270,24368,16042,9266
"SPD_RS01325",923,466,544,781,562,339
"SPD_RS01330",24774,12357,12062,22899,14673,11079
"SPD_RS01335",687,426,466,979,665,497
"SPD_RS01340",1421,1053,901,1535,1377,1534
"SPD_RS01345",59915,27851,23492,39438,23264,19336
"SPD_RS01350",49227,20117,19539,43773,26742,13742
"SPD_RS01355",117336,54961,47201,118984,66500,36201
"SPD_RS01360",13244,6496,6220,13297,7924,4668
"SPD_RS01365",799,405,349,926,537,303
"SPD_RS01370",725,475,366,880,559,373
"SPD_RS01375",309,225,139,430,245,229
"SPD_RS01380",7766,4069,3942,7276,4955,2960
"SPD_RS01385",3438,2386,2329,3179,2480,1556
"SPD_RS01390",3659,3735,3825,3182,3804,3812
"SPD_RS01395",60,71,87,90,68,83
"SPD_RS01400",48133,27938,26641,34514,28610,18886
"SPD_RS01405",46318,40235,34789,47440,40592,34274
"SPD_RS01410",14400,5593,4718,17081,7587,3375
"SPD_RS01415",12258,8575,6406,18290,9223,7338
"SPD_RS01420",6953,3016,3184,4891,3542,1741
"SPD_RS01425",5455,3329,3100,5099,3759,3513
"SPD_RS01430",1912,990,964,2123,1541,950
"SPD_RS01435",382,237,260,286,282,165
"SPD_RS01440",3572,1707,1898,3067,2129,1227
"SPD_RS01445",4928,2623,2815,4418,3401,1975
"SPD_RS01450",1926,967,1048,1947,1325,864
"SPD_RS01455",3187,1406,1427,2977,1982,1220
"SPD_RS01460",2577,1523,1519,1888,1502,1758
"SPD_RS01465",30021,12286,11415,34849,17977,11717
"SPD_RS01470",37003,17846,16426,40278,23245,15895
"SPD_RS01475",214,202,179,245,233,195
"SPD_RS01480",1,2,4,2,4,7
"SPD_RS01485",38,54,42,28,45,28
"SPD_RS01490",0,4,3,0,1,2
"SPD_RS01495",5,11,7,6,7,6
"SPD_RS01500",228,422,305,313,293,275
"SPD_RS01505",16,25,22,30,19,23
"SPD_RS01510",32,39,19,30,29,28
"SPD_RS01515",165,133,128,138,128,100
"SPD_RS01520",3240,9694,6270,3134,6271,15152
"SPD_RS01525",4027,5296,3529,5629,4575,4496
"SPD_RS01530",762,486,500,620,472,334
"SPD_RS01535",228,269,192,268,225,183
"SPD_RS01540",23,34,48,22,27,38
"SPD_RS01545",54,41,18,66,50,35
"SPD_RS01550",73,55,30,105,56,37
"SPD_RS01555",49,29,19,46,38,31
"SPD_RS01560",73,62,40,75,50,56
"SPD_RS01565",3,22,26,10,11,9
"SPD_RS01570",23,10,15,24,14,8
"SPD_RS01575",10,5,5,15,8,10
"SPD_RS01580",16,5,4,13,10,7
"SPD_RS01585",43,25,23,55,47,44
"SPD_RS01590",29,36,38,25,27,23
"SPD_RS01595",17,13,8,22,23,9
"SPD_RS01600",2942,2942,2461,3442,2421,2364
"SPD_RS01605",640,407,439,506,579,592
"SPD_RS01610",524,550,517,359,644,549
"SPD_RS01615",907,1052,817,743,1365,2256
"SPD_RS01620",4712,4136,4009,4906,4228,3528
"SPD_RS01625",914,814,621,1088,776,855
"SPD_RS01630",16353,9710,9275,17982,12041,8219
"SPD_RS01635",8321,4165,4560,7315,5086,2564
"SPD_RS01645",1273,1753,1453,788,1002,1075
"SPD_RS01650",5251,2619,2974,3763,3186,2721
"SPD_RS01655",18981,7444,7069,18257,10347,6915
"SPD_RS01660",22138,16149,14912,22551,20834,14581
"SPD_RS01665",461,395,324,429,453,391
"SPD_RS01680",58328,50853,44113,61195,59350,49580
"SPD_RS01685",17908,11369,8167,21515,14728,10579
"SPD_RS01690",17920,12640,9962,21693,15301,10847
"SPD_RS01695",13423,9202,6483,18182,10857,9457
"SPD_RS01700",31430,26484,19810,47842,30172,23832
"SPD_RS01705",24358,22067,14639,38443,23136,17776
"SPD_RS01710",21231,23359,14538,35502,19944,15526
"SPD_RS01715",38190,57137,34440,64683,44226,49398
"SPD_RS01720",24932,37483,23464,38238,25863,21329
"SPD_RS01725",27561,34927,20312,53258,28650,29367
"SPD_RS01730",16346,19749,10699,29707,14700,10388
"SPD_RS01735",28236,26658,15702,65916,29255,25389
"SPD_RS01740",13440,11807,6680,30402,13478,12587
"SPD_RS01745",33227,25831,20979,56891,32571,26695
"SPD_RS01750",14222,9928,6221,28215,12631,8307
"SPD_RS01755",38008,28732,19524,73989,37219,29682
"SPD_RS01760",11794,8434,5214,23294,11567,9272
"SPD_RS01765",5193,3462,2280,9252,4896,3551
"SPD_RS01770",7980,5921,4571,12431,7914,5092
"SPD_RS01775",3036,2736,2412,4663,3407,3049
"SPD_RS01780",17437,11969,10678,11809,12248,8528
"SPD_RS01785",288,227,183,354,249,229
"SPD_RS01790",23035,12412,10390,25937,18635,14828
"SPD_RS01795",12153,12170,11744,9159,11719,10108
"SPD_RS01800",574,701,513,818,670,569
"SPD_RS01805",6042,5419,4594,7212,5538,5577
"SPD_RS01815",4457,2528,1922,4911,2909,1564
"SPD_RS01820",5832,3742,2632,7432,4039,2385
"SPD_RS01825",36120,20881,18122,39855,24012,15799
"SPD_RS01830",25781,17799,16180,22963,18260,12857
"SPD_RS01835",3859,3786,2635,8545,4611,4664
"SPD_RS01840",1827,857,966,1714,1083,789
"SPD_RS01845",4083,2392,2627,3641,2654,1610
"SPD_RS01850",6534,2832,3002,5657,3933,2117
"SPD_RS01855",7124,3255,3793,5857,4320,2435
"SPD_RS01860",5061,5542,6304,3287,4929,3992
"SPD_RS01865",2959,1742,1806,2613,2072,1447
"SPD_RS01870",842,517,437,786,572,256
"SPD_RS01875",82,65,35,112,65,56
"SPD_RS01880",254,147,143,259,165,119
"SPD_RS01890",750,1179,1091,670,790,1098
"SPD_RS01895",1724,1749,1236,2162,1558,1336
"SPD_RS01905",3607,2970,2820,3765,2970,2451
"SPD_RS01925",17,27,15,24,17,22
"SPD_RS01930",10,9,3,29,9,10
"SPD_RS01935",4,6,4,6,2,3
"SPD_RS01940",1,2,0,3,0,3
"SPD_RS01945",5,2,4,6,6,4
"SPD_RS01950",1,2,1,0,1,4
"SPD_RS01960",106724,125070,90444,131825,109568,112629
"SPD_RS01965",4936,2225,2083,5201,3581,2385
"SPD_RS01970",6531,3747,3710,6260,5029,3902
"SPD_RS01975",7940,4215,4695,5823,5350,2516
"SPD_RS01980",4267,3555,3402,4451,3805,3132
"SPD_RS01985",10753,6495,6352,11177,7804,6164
"SPD_RS01990",12426,6306,5987,11543,7901,4604
"SPD_RS01995",2193,841,892,2532,1402,786
"SPD_RS02000",1430,1251,1193,1507,1426,1629
"SPD_RS02005",2490,1038,1210,1849,1409,1023
"SPD_RS02010",14879,6620,6941,9904,9037,6358
"SPD_RS02015",2143,1470,1026,2563,1706,1576
"SPD_RS02020",5739,3584,3546,6318,4046,2892
"SPD_RS02025",33264,28108,23276,37940,31203,23507
"SPD_RS02030",31679,21918,17799,34908,27482,16127
"SPD_RS02035",62890,36195,31101,61346,45909,24510
"SPD_RS02040",348063,700293,636094,259827,402772,626470
"SPD_RS02045",10462,5151,4430,13065,7257,5070
"SPD_RS02050",15568,7122,6353,17707,9807,5449
"SPD_RS02055",12317,6607,5550,15936,8788,5650
"SPD_RS02060",29911,16242,15010,35782,21048,12015
"SPD_RS02065",10550,4938,4321,13408,6939,4417
"SPD_RS02070",10559,6689,6142,11360,7428,3930
"SPD_RS02075",29874,13638,11929,39143,19485,10141
"SPD_RS02080",22406,10145,9233,28762,14596,6986
"SPD_RS02085",18922,9208,8717,21339,12370,6420
"SPD_RS02090",210,145,93,339,155,104
"SPD_RS02095",14470,6753,6128,13300,9501,6554
"SPD_RS02100",12851,9035,7304,11785,9955,6529
"SPD_RS02105",34620,46487,37819,27562,37822,33849
"SPD_RS02110",15200,6133,5971,13430,8652,5185
"SPD_RS02115",10333,4264,3972,10378,5928,3731
"SPD_RS02120",1392,770,748,1585,990,906
