"gene_id","ssRA_1","ssRA_2","ssRA_3","WT_1","WT_2"
"SP5448_RS01090",6255,10154,14716,9848,12346
"SP5448_RS01095",1152,1463,2000,1487,1654
"SP5448_RS01100",1479,1862,3457,2032,2045
"SP5448_RS01105",5198,7151,9162,7808,7974
"SP5448_RS01110",1915,3101,4084,2993,2797
"SP5448_RS01115",1524,3798,2551,2781,3943
"SP5448_RS01120",15455,21181,27935,21959,26572
"SP5448_RS01125",1514,3091,4234,2839,3334
"SP5448_RS01130",1658,2960,4136,2881,3520
"SP5448_RS01135",1350,2245,2849,1962,2275
"SP5448_RS01140",2728,3786,6042,4376,4152
"SP5448_RS01145",7682,10164,13047,10829,11555
"SP5448_RS01150",9151,14490,15529,13767,15682
"SP5448_RS01155",951,2732,4340,2556,2664
"SP5448_RS01160",514,702,353,397,719
"SP5448_RS01165",604,863,451,480,613
"SP5448_RS01170",244,326,208,226,198
"SP5448_RS01175",229,272,239,224,116
"SP5448_RS01180",177,171,213,155,157
"SP5448_RS01185",234,353,227,287,157
"SP5448_RS01190",243,259,174,217,130
"SP5448_RS01195",1155,1589,2526,1792,2369
"SP5448_RS01200",4039,5392,5867,5385,5435
"SP5448_RS01205",4356,7245,7638,6741,7015
"SP5448_RS01210",7406,10297,10872,9591,11274
"SP5448_RS01215",8295,10811,12459,11477,12038
"SP5448_RS01220",5369,8067,9162,7536,8737
"SP5448_RS01225",4647,6169,7685,6499,6640
"SP5448_RS01230",12604,14833,17958,15555,17388
"SP5448_RS01235",9667,12478,14158,12536,14091
"SP5448_RS01240",6195,10208,14251,10282,10567
"SP5448_RS01245",51977,89324,103447,94293,106965
"SP5448_RS01250",28372,48712,63822,47623,49559
"SP5448_RS01255",51255,83027,98494,83312,95199
"SP5448_RS01260",180888,252126,289078,242835,282700
"SP5448_RS01265",288609,368223,467155,388143,482450
"SP5448_RS09615",0,6,3,16,7
"SP5448_RS01270",3560,5713,7130,5980,6897
"SP5448_RS01275",8235,12472,14500,12548,14283
"SP5448_RS01280",4985,7534,7652,6942,8771
"SP5448_RS01285",2286,3691,4356,3557,3791
"SP5448_RS01290",1705,3080,3926,2816,2638
"SP5448_RS01295",3177,5592,7605,5870,6300
"SP5448_RS01300",4464,7518,9947,7154,7458
"SP5448_RS01305",10224,16430,19274,15491,16619
"SP5448_RS01310",12323,19353,23054,18596,21256
"SP5448_RS01315",4639,6221,7588,5729,6971
"SP5448_RS01320",7866,15583,17555,14446,15645
"SP5448_RS01325",2613,3915,6407,4402,4609
"SP5448_RS01330",1107,1909,2508,1507,1958
"SP5448_RS01335",25147,44677,43240,38503,46466
"SP5448_RS01340",10470,18783,19345,16591,19364
"SP5448_RS01345",7923,12531,13195,11269,13353
"SP5448_RS01350",11006,16181,17696,13711,16994
"SP5448_RS01355",6736,12534,13000,10775,13912
"SP5448_RS09200",0,10,9,6,12
"SP5448_RS01365",588,219,398,284,505
"SP5448_RS01370",457,543,1247,490,406
"SP5448_RS01375",746,2067,2781,1905,2008
"SP5448_RS01380",2,3,16,7,0
"SP5448_RS01385",15,23,100,32,23
"SP5448_RS01390",0,0,4,1,8
"SP5448_RS01395",26,7,65,25,22
"SP5448_RS01400",1574,3005,3534,3215,3084
"SP5448_RS01405",3080,4854,5785,4700,4815
"SP5448_RS01410",1861,2636,3112,2474,2579
"SP5448_RS01415",2200,3416,4215,3370,4362
"SP5448_RS01420",952,2526,2994,2251,2451
"SP5448_RS01425",35352,46880,67486,50282,61534
"SP5448_RS01430",4553,6441,12092,7560,7061
"SP5448_RS01435",14982,20591,26492,21793,22036
"SP5448_RS01440",9813,16501,21281,16944,17132
"SP5448_RS01445",27,64,167,81,46
"SP5448_RS01450",67052,93372,119058,95336,119979
"SP5448_RS01455",2004,2783,5645,2939,3024
"SP5448_RS01460",513,990,690,801,706
"SP5448_RS01470",5116,7805,9764,8114,8089
"SP5448_RS01475",34500,43501,52350,44348,50890
"SP5448_RS01480",10325,12785,17798,12441,14090
"SP5448_RS01485",12808,23648,28687,22410,24735
"SP5448_RS01490",55443,74117,89122,69857,90260
"SP5448_RS01495",616,1373,1879,1387,1430
"SP5448_RS01500",4786,8931,11121,8372,8565
"SP5448_RS01505",21972,38826,50954,38175,45171
"SP5448_RS01510",20271,34184,40724,34132,38072
"SP5448_RS01515",2271,4209,5076,3759,3877
"SP5448_RS01520",5808,7222,9661,7582,7772
