"gene_id","Input.1","Input.2","Input.3","X5.Hr.1","X5.Hr.2","X5.Hr.3","X24.Hr.1","X24.Hr.2","X24.Hr.3"
"speh",10,17,28,0,0,0,0,0,0
"SPY49_RS04015",3473,2472,2421,31,64,16,4,3,7
"SPY49_RS04020",5544,2613,2187,58,116,42,7,5,13
"SPY49_RS04025",7114,5761,4742,73,209,82,22,18,14
"fbp54",6721,3995,3626,78,160,45,14,6,17
"SPY49_RS04035",6307,1711,1546,34,59,32,9,0,2
"SPY49_RS04040",3183,1695,1788,31,41,20,2,7,2
"SPY49_RS04045",4149,3014,4263,24,51,23,1,0,3
"SPY49_RS04050",25500,12879,10676,331,537,274,25,56,53
"SPY49_RS04055",6433,6010,5879,84,133,54,9,14,17
"SPY49_RS04060",1843,2954,2806,18,41,9,1,4,3
"SPY49_RS04065",4547,2571,2211,46,127,47,11,7,13
"SPY49_RS04070",34159,17548,10315,741,1423,570,88,107,123
"SPY49_RS04075",25920,9280,8106,898,1570,568,85,96,150
"SPY49_RS04080",30215,7066,6391,1184,2228,783,156,129,182
"lpdA",33232,14977,13915,1763,3102,1360,211,246,267
"hylA",3227,2406,2528,40,128,26,7,7,10
"SPY49_RS04100",2673,8775,7925,23,52,38,11,3,21
"SPY49_RS04105",4668,6161,6772,60,96,52,9,9,21
"SPY49_RS04110",8900,6715,5721,76,178,60,10,9,23
"SPY49_RS04115",3144,1276,1052,19,35,11,3,0,1
"SPY49_RS04120",4633,1770,1358,19,46,15,4,3,5
"SPY49_RS04125",14442,17318,10990,103,217,86,22,19,29
"SPY49_RS04130",786,233,175,5,8,4,0,0,0
"SPY49_RS04135",4601,1981,1358,21,41,23,9,3,3
"SPY49_RS04140",3337,1232,877,21,47,17,2,2,6
"SPY49_RS04145",3792,1887,1182,25,37,17,5,3,7
"SPY49_RS04150",2479,2847,2392,22,31,7,1,2,2
"cas9",1698,1031,908,21,41,17,2,3,3
"cas1",297,377,356,1,5,0,0,6,2
"cas2_1",225,359,322,4,8,3,1,0,2
"csn2",236,671,528,4,6,1,0,0,0
"SPY49_RS09505",1216,3803,3359,58,93,30,4,4,13
"lepA",13497,5208,4131,168,287,127,23,29,44
"SPY49_RS04190",9683,1273,1024,225,382,228,129,92,139
"msrB_1",196,290,298,2,6,1,0,0,0
"SPY49_RS04200",2732,4492,6549,28,54,23,5,2,3
"SPY49_RS04205",7148,8180,4523,41,200,69,11,6,41
"SPY49_RS04210",7802,6785,4260,67,279,104,22,10,42
"SPY49_RS04215",10351,7086,4593,107,378,143,26,13,35
