"gene_id","Spn.wt..1.","Spn.wt..2.","Spn.wt..3.","Spn.delta.lctO.delta.spxB..1.","Spn.delta.lctO.delta.spxB..2.","Spn.delta.lctO.delta.spxB..3.","Spn.delta.lctO..1.","Spn.delta.lctO..2.","Spn.delta.spxB..1.","Spn.delta.spxB..2."
"NAT60_RS06330",4852,3501,3057,3369,2592,2821,3131,3519,8849,6286
"NAT60_RS06335",104,100,89,57,50,68,78,90,110,85
"NAT60_RS06340",1174,742,730,540,513,512,618,675,974,701
"NAT60_RS06345",1062,889,806,594,543,562,851,887,807,577
"NAT60_RS06355",3508,3673,3049,2903,2661,2687,4472,4863,7473,4713
"NAT60_RS06360",181,128,137,166,235,237,706,689,206,163
"NAT60_RS06370",10,11,9,16,23,20,54,37,16,14
"NAT60_RS06375",69,55,72,64,62,68,173,160,74,75
"NAT60_RS06380",55,36,30,31,40,29,57,47,42,26
"NAT60_RS06385",596,569,745,494,559,567,1055,988,279,227
"NAT60_RS06390",265,236,284,242,219,193,271,242,430,328
"NAT60_RS06395",334,253,252,222,223,197,247,247,426,390
"NAT60_RS06410",10078,5053,4329,7909,6288,6566,6581,7190,13027,9734
"NAT60_RS06415",3761,2166,1811,3295,2710,2952,3563,3783,5725,3780
"NAT60_RS06420",8437,5518,4378,7782,6010,6676,6539,7879,9341,6738
"NAT60_RS06425",2420,2171,2606,1389,1448,1404,1912,2117,1854,1231
"NAT60_RS06430",2413,1796,1728,1045,1098,907,1256,1492,1951,1198
"NAT60_RS06435",2984,2763,3147,3152,2919,2599,3148,3581,4284,3274
"NAT60_RS06445",627,380,482,345,303,353,342,396,485,419
"NAT60_RS06450",487,343,422,243,228,264,356,349,358,293
"NAT60_RS06465",2404,1752,1795,1281,1337,1381,3033,2927,1674,1095
"NAT60_RS06470",38527,29157,29097,25698,24409,25044,26794,30541,40557,27058
"NAT60_RS06475",5822,3604,3156,2311,1881,2089,2910,3175,3106,2210
"NAT60_RS06490",16667,13002,11622,13750,12336,12901,19757,20870,25954,18140
"NAT60_RS06515",4548,3640,4356,3794,3961,3864,4947,5412,3902,2574
"NAT60_RS06525",68,52,167,82,141,121,598,569,64,49
"NAT60_RS06540",7884,5577,24195,2958,2928,3021,14851,14984,11992,7565
"NAT60_RS06585",1929,3476,10836,3286,4530,3277,11192,10410,2852,2347
"NAT60_RS06590",13560,8772,32744,8818,11092,10589,57554,53086,16878,11036
"NAT60_RS06595",9748,5525,23767,5196,5860,6304,33745,31356,7514,5231
"NAT60_RS06600",2174,1560,11292,1465,2080,1846,13593,11707,3763,2552
"NAT60_RS06605",4301,2704,3012,2240,2511,2548,3466,3738,2806,1718
"NAT60_RS06610",834,673,735,601,611,563,724,796,868,538
"NAT60_RS06620",5113,3279,2982,2657,2293,2527,4850,5078,4109,2508
"NAT60_RS06625",1690,6605,11316,6987,6607,6523,4202,5344,6270,3888
"NAT60_RS06630",1420,960,707,872,949,962,1580,1676,1052,743
"NAT60_RS06635",5442,4872,5933,7823,8959,9447,14531,15239,7575,5123
"NAT60_RS06640",5691,3681,3241,4510,4713,4769,4826,5053,4290,3029
"NAT60_RS06645",1690,1242,1363,1540,1777,1647,2197,2253,1297,863
"NAT60_RS06660",2660,2167,2166,4881,5080,5222,10050,10201,6643,4363
"NAT60_RS06670",12,11,4,5,0,7,3,5,12,10
"NAT60_RS06675",6,3,6,0,0,0,2,0,2,5
"NAT60_RS06680",25,28,19,18,16,19,17,10,18,14
"NAT60_RS06685",64,38,22,27,16,21,26,27,43,27
"NAT60_RS06690",0,0,0,0,0,0,0,0,1,1
"NAT60_RS06700",0,0,0,2,0,1,1,1,0,0
"NAT60_RS06705",0,0,0,1,0,1,2,3,0,0
"NAT60_RS06710",0,0,2,0,1,0,3,0,0,0
"NAT60_RS06715",6,2,6,5,1,1,6,5,1,1
"NAT60_RS06720",6,11,24,9,25,19,31,45,4,4
"NAT60_RS06725",0,1,0,0,0,0,0,1,0,0
"NAT60_RS06730",9,14,11,21,28,34,12,11,4,3
"NAT60_RS06735",1,0,0,0,1,1,1,1,0,0
"NAT60_RS06740",7,11,21,33,42,33,26,43,7,6
"NAT60_RS06745",8,13,15,19,13,14,33,44,19,13
"NAT60_RS06750",10,10,11,16,27,14,28,29,20,25
"NAT60_RS06755",154,152,181,170,191,194,360,351,341,254
"NAT60_RS06760",488,318,329,243,229,225,339,381,481,401
"NAT60_RS06765",988,712,664,532,460,449,595,634,1382,1004
"NAT60_RS06770",727,520,487,492,358,410,462,508,1292,906
"NAT60_RS06780",136,193,141,109,96,104,319,296,174,115
"NAT60_RS06785",644,849,653,676,736,768,2846,2536,954,630
"NAT60_RS06790",7919,6589,5584,4457,3827,4008,5979,6285,10196,6707
"NAT60_RS06795",5860,1916,931,2752,1967,2187,1816,1946,3636,2193
"NAT60_RS06800",57,92,50,47,46,46,69,85,142,108
"NAT60_RS06805",13336,12946,11063,7846,7147,7699,9669,10990,14277,9358
"NAT60_RS06815",132,316,372,545,910,850,4518,4176,120,105
"NAT60_RS06820",4936,2587,1791,1839,1423,1690,1526,1671,3663,2716
"NAT60_RS06830",4319,2532,1895,1723,1256,1448,1024,1161,3212,2531
"NAT60_RS06835",778,559,344,558,511,457,321,351,1305,903
"NAT60_RS06840",292,173,100,120,104,99,65,77,348,287
"NAT60_RS06845",123,92,53,70,83,60,32,30,272,182
"NAT60_RS06865",5212,4025,2949,4757,3776,4006,3832,4489,10089,6996
"NAT60_RS06870",9120,8386,6973,10063,8201,8142,7535,9425,21962,14660
