"gene_id","Untreated_Rep1","Nov_Rep1","Zn_Rep1","Zn_Nov_Rep1","Untreated_Rep2","Nov_Rep2","Zn_Rep2","Zn_Nov_Rep2"
"spr1079",87,73,61,72,63,79,33,57
"spr1080",306,489,192,371,287,406,113,205
"spr1081",77,105,54,101,81,126,42,88
"spr1082",29247,51443,31472,56124,28021,52919,27654,47456
"spr1083",11851,21341,12104,24237,10894,22119,10726,20758
"spr1084",21224,39236,22971,45340,21626,42432,20153,36924
"spr1085",3449,5881,3589,7328,3421,6763,3180,6168
"spr1086",8351,14177,9039,15766,7818,15068,7743,13909
"spr1087",11436,18087,12286,20889,10407,19266,10363,17836
"spr1088",1118,1586,1203,1891,971,1859,990,1901
"spr1089",11109,15322,11239,18458,10676,16173,9616,15509
"spr1090",7057,4903,6384,5446,7084,5839,5787,5156
"spr1091",3351,2717,4143,3434,3680,2978,3884,2833
"spr1092",2981,2692,3139,3580,2798,2856,2649,3320
"spr1093",3398,2590,3147,3395,3630,3107,3079,2955
"spr1094",2318,1570,2207,1772,2178,1634,2001,1763
"spr1095",588,520,631,780,531,565,628,687
"spr1096",11,8,17,19,4,10,9,14
"spr1097",831,1342,903,1640,791,1171,735,1286
"spr1098",5963,9775,6671,11360,6929,10991,6263,9935
"spr1099",24881,37089,28233,41565,26559,40579,25035,38410
"spr1100",75846,74343,90302,90292,79878,83301,84563,82181
"spr1101",14353,12397,16803,16179,16349,12556,14169,15181
"spr1102",4723,3683,5117,4466,5541,3524,4961,3965
"spr1103",327,291,346,254,354,214,352,310
"spr1104",177,153,202,249,193,202,177,161
"spr1105",11005,15385,13531,16592,9495,15286,11677,14287
"spr1106",17319,23649,21346,26181,16006,23753,18505,21993
"spr1107",8448,11148,10204,11371,7446,10324,8600,9868
"spr1108",9383,12376,12430,13410,8905,12973,10534,10667
"spr1109",11360,18230,13246,14826,11847,23536,11830,13975
"spr1110",6103,5445,5599,7198,6025,6595,5394,6830
"spr1111",6073,5706,5738,8062,6173,6870,5793,7536
"spr1112",10023,10926,10295,14586,11066,12916,10361,13977
"spr1113",1099,1140,1164,1241,1112,1279,1131,1125
"spr1114",3978,3797,4378,4203,4175,3926,3941,3878
"spr1115",1552,1779,1751,2039,1537,1732,1513,1718
"spr1116",774,958,1010,1064,944,929,920,874
"spr1117",980,921,1052,1144,1024,1007,887,924
"spr1118",6124,6252,7085,7208,6846,6112,6433,6232
"spr1119",1921,2910,2535,3804,2097,3084,2340,3453
"spr1120",45536,73350,72081,94173,72576,79997,71512,86160
"spr1121",30379,52749,47380,62428,47864,54864,47045,58903
"spr1122",38924,54134,53786,62587,55796,55878,50824,55677
"spr1123",10168,6392,11564,8290,11374,7243,9778,6851
"spr1124",7626,4686,8360,5815,8475,5452,7002,5028
"spr1125",4798,2763,5165,3451,5142,3238,4565,3048
"spr1126",18779,9044,20570,12080,19710,10939,18146,11450
"spr1127",756,245,860,393,877,382,722,355
"spr1128",9361,3736,11156,3698,14883,4465,9241,3537
"spr1129",1229,202,1499,278,1406,195,1191,186
"spr1130",1822,314,2056,344,1902,270,1683,235
"spr1131",564,76,623,98,522,79,435,72
"spr1132",404,73,515,87,398,64,375,59
"spr1133",1345,209,1552,203,1296,202,1095,191
"spr1134",419,75,548,76,452,83,377,53
"spr1135",3211,465,3929,603,3454,480,3099,467
"spr1136",1671,223,2032,322,2014,296,1544,213
"spr1137",2102,283,2354,346,2174,287,1878,280
"spr1138",3113,399,3484,488,3339,393,2765,334
"spr1139",9049,1386,11549,1847,9898,1387,10303,1586
"spr1140",3340,466,4524,692,3994,556,3781,526
"spr1141",31434,2490,32268,2652,30267,2767,30220,2124
"spr1142",3308,553,3862,417,3778,525,3465,283
"spr1143",307,70,302,43,352,59,242,25
"spr1144",41418,10750,41075,6332,56665,9937,36851,4184
"spr1145",9054,6316,10887,6791,10685,6783,9195,5879
"spr1146",13771,8671,16399,9829,15810,9587,13963,8110
"spr1147",10380,4977,12797,6379,14014,6513,11108,5355
"spr1148",14568,6080,17660,6917,18143,7261,14579,6022
"spr1149",9888,2899,12140,3437,13502,3430,10025,2820
"spr1150",7426,1361,8802,1792,8731,1532,7218,1405
"spr1151",3280,613,3696,779,3657,740,3129,733
"spr1152",3484,757,4224,1120,4359,896,3521,958
"spr1153",212537,426120,273451,398354,179013,349788,337414,340260
"spr1154",77644,132892,88418,119095,62493,102662,119544,110163
"spr1155",41253,74340,49797,69647,39588,59458,67649,58823
"spr1156",15993,25287,19036,24702,15168,21563,26555,21494
"spr1157",8896,7133,8650,7086,8208,6425,8002,5983
"spr1158",3178,2696,3726,3066,3692,2678,3350,2469
"spr1159",1,3,0,0,0,1,2,0
"spr1160",22,9,10,11,15,4,5,8
"spr1161",2041,1821,2056,1886,2205,1599,1478,1608
"spr1162",19458,18539,23014,22532,21481,17973,21435,20031
"spr1163",9507,8229,11657,11557,12497,9216,10955,9634
"spr1164",3117,2299,3076,2372,3082,2396,2567,2335
"spr1165",41559,54786,63981,54738,37112,42889,84855,49371
"spr1166",12497,13650,13096,15964,13042,15424,11764,14782
"spr1167",1069,1080,1130,1266,1229,1302,1041,1051
"spr1168",612,628,658,727,687,654,559,585
"spr1169",9224,6025,9256,6734,8724,5914,8376,6522
"spr1170",3907,2716,4333,3367,4225,3103,3771,3262
