"gene_id","D39WT_Untreated","D39_WT_100Zn","DczcD_100Zn"
"SPD_0436",406,337,513
"SPD_0437",8046,7768,9323
"SPD_0438",2652,2560,3774
"SPD_0439",1973,1777,2969
"SPD_0440",1838,1612,3204
"SPD_0441",10437,8384,9337
"SPD_0442",14169,11043,8600
"SPD_0443",6688,5792,6522
"SPD_0444",758,920,1795
"SPD_0445",65083,54471,32154
"SPD_0446",1708,1459,2156
"SPD_0447",18402,16078,18405
"SPD_0448",64536,58723,70036
"SPD_0449",994,730,966
"SPD_0451",2324,2187,2773
"SPD_0450",1938,1711,2277
"SPD_0452",905,828,1070
"SPD_0453",3170,2718,3626
"SPD_0454",2893,2723,3416
"SPD_0455",4530,4239,5109
"SPD_0456",30,34,72
"SPD_0457",75,68,181
"SPD_0458",3291,5523,5147
"SPD_0459",1866,3330,3804
"SPD_0460",9198,17225,28085
"SPD_0461",2698,4953,8315
"SPD_0462",1871,1495,1708
"SPD_0463",2149,1661,1665
"SPD_0464",3415,2955,3119
"SPD_0465",7234,6219,8232
"SPD_0466",281,251,321
"SPD_0467",1204,1101,1090
"SPD_0468",2702,2426,2974
"SPD_0469",3085,3053,4106
"SPD_0470",217,294,425
"SPD_0471",2708,3137,4804
"SPD_0472",2363,2860,4523
"SPD_0473",639,990,1536
"SPD_0474",189,305,595
"SPD_0475",430,692,1397
"SPD_0476",7485,6573,9284
"SPD_0477",7752,6904,9334
"SPD_0478",3843,3291,2665
"SPD_0479",10008,9324,8256
"SPD_0480",2384,2292,2303
"SPD_0481",2281,2190,2287
"SPD_0482",29921,27826,27625
"SPD_0483",2754,2609,2312
"SPD_0484",27,42,56
"SPD_0485",6,10,15
"SPD_0486",3,1,7
"SPD_0487",1175,1131,1649
"SPD_0488",4219,3662,6028
"SPD_0489",720,571,913
"SPD_0490",2925,2394,1915
"SPD_0491",1856,1775,1492
"SPD_0492",2079,2147,1952
"SPD_0493",2677,2814,2704
"SPD_0494",17595,17036,21591
"SPD_0495",350,395,518
"SPD_0496",673,618,989
"SPD_0497",63,62,109
"SPD_0498",43,60,93
"SPD_0499",16,13,9
"SPD_0500",543,534,738
"SPD_0501",139,140,91
"SPD_0502",474,441,396
"SPD_0503",419,440,467
"SPD_0504",3174,2901,2056
"SPD_0505",1748,1573,1373
"SPD_0506",9946,9467,8070
"SPD_0507",9266,7779,9510
"SPD_0508",36,32,32
"SPD_0509",20,25,22
"SPD_0510",475,470,603
"SPD_0511",229,197,325
"SPD_0512",25049,21768,20708
"SPD_0513",6551,5693,6462
"SPD_0514",8311,7753,9705
"SPD_0515",10991,10329,14569
"SPD_0516",3641,3337,5299
"SPD_0517",8244,7639,10661
"SPD_0518",445,398,409
"SPD_0519",188,206,167
"SPD_0520",134,137,144
"SPD_0521",665,699,681
"SPD_0522",399,409,423
"SPD_0523",1102,1093,1143
"SPD_0524",650,559,596
"SPD_0525",1705,1576,1737
"SPD_0526",137445,105903,51563
"SPD_0527",646,832,3582
"SPD_0528",585,685,1627
"SPD_0529",530,588,1335
"SPD_0530",589,579,1201
"SPD_0531",442,456,875
"SPD_0532",5416,5622,9559
"SPD_0533",15668,14831,25264
"SPD_0534",2102,1831,2930
"SPD_0535",4827,4817,6301
"SPD_0536",4565,4450,6536
"SPD_0537",2658,1856,2908
"SPD_0538",3064,3212,4541
"SPD_0539",2169,2164,3103
"SPD_0540",1991,1856,2654
"SPD_0541",6305,5844,6460
"SPD_0542",21149,19484,22231
"SPD_0543",1476,1367,1621
"SPD_0544",616,577,757
"SPD_0545",301,288,377
"SPD_0546",22555,24898,28892
"SPD_0547",3662,3221,2926
"SPD_0548",1798,1560,1463
"SPD_0549",2622,2388,2103
"SPD_0550",55494,42335,22495
"SPD_0551",90110,69106,37712
"SPD_0552",407,283,254
"SPD_0553",197,155,131
"SPD_0554",16701,15109,21318
"SPD_0555",14773,14320,22060
"SPD_0556",15896,15417,24232
"SPD_0557",10899,10426,15134
"SPD_0558",7940,77509,34804
