gene_id,E167sig1,E167sig2,E167sig3,E167rhlR1,E167rhlR2,E167rhlR3
fig|287.13173.peg.100,5110,2733,3185,3443,3967,2381
fig|287.13173.peg.101,4349,2254,2755,3054,3596,2370
fig|287.13173.peg.102,1980,1301,1469,1514,1641,1263
fig|287.13173.peg.103,1960,1313,1408,1737,1460,1711
fig|287.13173.peg.104,1822,1202,1293,1555,1295,2153
fig|287.13173.peg.105,4772,3163,3758,3629,3689,2968
fig|287.13173.peg.106,430,360,398,372,393,283
fig|287.13173.peg.107,435,289,342,251,348,197
fig|287.13173.peg.108,566,331,405,422,461,271
fig|287.13173.peg.109,2215,1209,1490,1343,1612,1306
fig|287.13173.peg.110,1783,1262,1510,1275,1525,1252
fig|287.13173.peg.111,687,411,595,472,485,427
fig|287.13173.peg.112,4959,4181,5106,4034,5135,3612
fig|287.13173.peg.113,324,299,262,257,181,325
fig|287.13173.peg.114,1042,842,972,849,864,1514
fig|287.13173.peg.115,147,167,166,150,164,179
fig|287.13173.peg.116,2716,1871,3265,1625,2918,1221
fig|287.13173.peg.117,1227,787,1561,837,1454,767
fig|287.13173.peg.118,209,100,314,117,252,103
fig|287.13173.peg.119,972,583,1262,537,1081,408
fig|287.13173.peg.120,421,318,520,247,423,194
fig|287.13173.peg.121,146,79,184,42,87,73
fig|287.13173.peg.122,171,101,239,58,74,68
fig|287.13173.peg.123,208,133,278,109,144,120
fig|287.13173.peg.124,461,385,471,387,408,445
fig|287.13173.peg.125,1338,1108,1199,1159,1225,1530
fig|287.13173.peg.126,785,832,719,846,545,1184
fig|287.13173.peg.127,1072,997,1171,957,1066,1216
fig|287.13173.peg.128,533,400,540,490,562,513
fig|287.13173.peg.129,787,522,643,593,728,533
fig|287.13173.peg.130,1409,975,1153,1029,1173,1080
fig|287.13173.peg.131,587,352,549,378,588,331
fig|287.13173.peg.132,451,323,461,251,374,260
fig|287.13173.peg.133,3872,3043,4127,500,597,535
fig|287.13173.peg.134,1295,914,1107,848,878,1052
fig|287.13173.peg.135,860,621,705,682,743,860
fig|287.13173.peg.136,1094,699,763,814,818,1079
fig|287.13173.peg.137,1021,623,739,896,769,1042
fig|287.13173.peg.138,1717,1461,1722,1586,1677,1336
fig|287.13173.peg.139,1457,1402,1237,1459,1050,2655
fig|287.13173.peg.140,755,597,712,621,663,649
fig|287.13173.peg.141,938,749,928,714,848,888
fig|287.13173.peg.142,177,127,160,163,175,179
fig|287.13173.peg.143,637,457,562,417,490,416
fig|287.13173.peg.144,470,357,448,339,422,404
fig|287.13173.peg.145,1259,1036,1447,1167,1250,926
fig|287.13173.peg.146,187,138,182,165,152,183
fig|287.13173.peg.147,81,80,90,59,86,86
fig|287.13173.peg.148,140,119,116,114,126,149
fig|287.13173.peg.149,333,280,331,256,336,329
fig|287.13173.peg.150,49960,40794,44061,44372,50220,52934
fig|287.13173.peg.151,1531,1454,1527,1244,1192,2266
fig|287.13173.peg.152,2620,2291,3024,1012,1022,3224
fig|287.13173.peg.153,812,712,644,713,519,1109
fig|287.13173.peg.154,636,543,579,483,445,646
fig|287.13173.peg.155,153,126,159,126,152,147
fig|287.13173.peg.156,711,568,662,505,545,610
fig|287.13173.peg.157,282,208,235,215,256,310
fig|287.13173.peg.158,947,717,1000,850,932,743
fig|287.13173.peg.159,1501,1264,1562,1190,1506,1329
fig|287.13173.peg.160,134,154,188,154,140,187
fig|287.13173.peg.161,93,118,123,101,93,126
fig|287.13173.peg.162,358,360,378,377,266,446
fig|287.13173.peg.163,370,337,331,306,311,361
fig|287.13173.peg.164,200,135,203,134,189,124
fig|287.13173.peg.165,238,200,232,207,210,243
fig|287.13173.peg.166,12,4,7,1,12,14
fig|287.13173.peg.167,768,697,815,720,666,937
fig|287.13173.peg.168,616,516,620,536,564,682
fig|287.13173.peg.169,368,343,429,294,316,350
fig|287.13173.peg.170,3593,3204,3707,3238,3510,3674
fig|287.13173.peg.171,1080,989,1101,983,1061,1024
fig|287.13173.peg.172,789,646,715,635,645,900
fig|287.13173.peg.173,119,75,77,76,52,234
fig|287.13173.peg.174,883,730,802,677,701,1321
fig|287.13173.peg.175,821,644,741,717,571,756
fig|287.13173.peg.176,467,399,423,341,381,419
fig|287.13173.peg.177,454,318,298,384,416,923
fig|287.13173.peg.178,191,178,234,176,183,184
fig|287.13173.peg.179,3084,2731,2758,3287,3254,3270
fig|287.13173.peg.180,930,895,906,831,753,883
fig|287.13173.peg.181,1018,974,1015,996,859,1450
fig|287.13173.peg.182,508,450,392,492,327,733
fig|287.13173.peg.183,1272,1328,1021,1177,932,1934
fig|287.13173.peg.184,2562,1999,1794,2425,1534,4293
fig|287.13173.peg.185,157,160,241,91,133,108
fig|287.13173.peg.186,112,85,140,57,73,49
fig|287.13173.peg.187,321,268,385,132,185,191
fig|287.13173.peg.188,1908,1379,2473,778,1302,1287
fig|287.13173.peg.189,661,505,783,371,598,389
fig|287.13173.peg.190,1333,1020,1694,874,1368,670
fig|287.13173.peg.191,2181,1757,2501,1651,2514,1096
fig|287.13173.peg.192,2785,2299,3295,2536,3182,1770
fig|287.13173.peg.193,1077,876,1071,931,991,955
fig|287.13173.peg.194,390,333,417,302,295,337
fig|287.13173.peg.195,340,313,357,313,320,321
fig|287.13173.peg.196,99,71,87,85,91,77
fig|287.13173.peg.197,237,166,234,195,186,229
fig|287.13173.peg.198,571,426,503,492,482,558
fig|287.13173.peg.199,186,154,172,141,172,200
fig|287.13173.peg.200,91,62,72,86,78,97
fig|287.13173.peg.201,158,166,146,141,145,134
fig|287.13173.peg.202,152,168,153,170,140,205
fig|287.13173.peg.203,591,490,444,493,486,967
fig|287.13173.peg.204,84,60,53,50,49,106
fig|287.13173.peg.205,309,243,267,245,273,300
fig|287.13173.peg.206,199,153,171,140,159,169
fig|287.13173.peg.207,100,63,96,87,79,90
fig|287.13173.peg.208,77,66,61,44,77,201
fig|287.13173.peg.209,383,388,366,308,303,658
fig|287.13173.peg.210,99,66,73,97,62,142
fig|287.13173.peg.211,777,656,748,593,575,1336
fig|287.13173.peg.212,58,61,59,33,38,86
fig|287.13173.peg.213,110,100,128,88,117,199
fig|287.13173.peg.214,83,89,117,118,124,103
fig|287.13173.peg.215,1090,1000,1269,800,891,763
fig|287.13173.peg.216,7,5,4,5,9,6
fig|287.13173.peg.217,720,567,644,481,444,1064
fig|287.13173.peg.218,4485,3653,4198,3160,3768,1743
fig|287.13173.peg.219,112,102,101,60,53,65
fig|287.13173.peg.220,57,42,55,23,34,42
fig|287.13173.peg.221,263,169,188,137,106,191
fig|287.13173.peg.222,140,90,78,37,72,74
fig|287.13173.peg.223,50,36,44,25,28,31
fig|287.13173.peg.224,365,253,345,199,203,231
fig|287.13173.peg.225,244,166,233,151,154,202
fig|287.13173.peg.226,320,194,239,148,166,240
fig|287.13173.peg.227,739,637,758,704,654,933
fig|287.13173.peg.228,168,124,178,139,162,151
fig|287.13173.peg.229,748,598,721,637,744,576
fig|287.13173.peg.230,83,92,76,74,72,105
fig|287.13173.peg.231,194,119,183,143,162,116
fig|287.13173.peg.232,394,286,423,386,375,381
fig|287.13173.peg.233,203,136,201,172,223,175
fig|287.13173.peg.234,92,72,74,60,64,84
fig|287.13173.peg.235,332,274,266,242,258,215
fig|287.13173.peg.236,265,196,235,169,164,265
fig|287.13173.peg.237,1276,1040,1174,1136,1113,1414
fig|287.13173.peg.238,312,219,232,222,234,251
fig|287.13173.peg.239,148,105,123,83,120,122
fig|287.13173.peg.240,250,203,323,213,260,209
fig|287.13173.peg.241,584,415,564,473,514,477
fig|287.13173.peg.242,538,429,522,435,489,398
fig|287.13173.peg.243,279,233,320,267,292,283
fig|287.13173.peg.244,432,366,451,360,429,311
fig|287.13173.peg.245,745,638,727,585,611,745
fig|287.13173.peg.246,382,276,334,360,379,447
fig|287.13173.peg.247,148,87,115,106,183,64
fig|287.13173.peg.248,473,448,475,423,361,643
fig|287.13173.peg.249,167,150,125,151,157,163
fig|287.13173.peg.250,95,108,113,88,96,101
fig|287.13173.peg.251,309,270,301,235,265,412
fig|287.13173.peg.252,320,299,361,323,333,313
fig|287.13173.peg.253,234,172,205,156,217,185
fig|287.13173.peg.254,245,187,221,220,238,214
fig|287.13173.peg.255,930,754,809,895,885,1016
fig|287.13173.peg.256,58,47,69,74,60,67
fig|287.13173.peg.257,245,193,232,166,216,195
fig|287.13173.peg.258,664,641,677,638,627,621
fig|287.13173.peg.259,488,309,439,321,474,314
fig|287.13173.peg.260,548,450,465,528,502,655
fig|287.13173.peg.261,1009,832,997,849,721,1036
fig|287.13173.peg.262,4116,3605,4180,3790,4830,2994
fig|287.13173.peg.263,207,175,214,183,173,224
fig|287.13173.peg.264,54,31,32,30,56,52
fig|287.13173.peg.265,1259,1171,1296,1279,1330,1536
fig|287.13173.peg.266,3881,3532,3944,3718,4270,3886
fig|287.13173.peg.267,1670,1460,1533,1556,1444,2426
fig|287.13173.peg.268,1068,884,987,872,840,1349
fig|287.13173.peg.269,1810,1397,1817,1362,1761,1164
fig|287.13173.peg.270,1254,1034,1314,1153,1255,1131
fig|287.13173.peg.271,1061,882,1041,1024,1153,849
fig|287.13173.peg.272,4083,3427,3891,3558,4253,3256
fig|287.13173.peg.273,1304,1023,1322,1109,1354,1277
fig|287.13173.peg.274,529,376,415,374,462,328
fig|287.13173.peg.275,1408,909,1104,1187,1127,1089
fig|287.13173.peg.276,558,497,509,534,573,587
fig|287.13173.peg.277,215,165,148,161,174,241
fig|287.13173.peg.278,3052,2030,2516,3102,3677,1719
fig|287.13173.peg.279,8908,6154,9139,6687,10191,4203
fig|287.13173.peg.280,1320,827,1181,1036,1520,995
fig|287.13173.peg.281,7771,5472,7966,4930,7276,5482
fig|287.13173.peg.282,93,71,83,77,75,189
fig|287.13173.peg.283,196,175,185,197,143,251
fig|287.13173.peg.284,471,383,379,337,377,360
fig|287.13173.peg.285,376,346,490,330,356,326
fig|287.13173.peg.286,283,230,285,198,237,211
fig|287.13173.peg.287,130,136,182,81,125,146
fig|287.13173.peg.288,512,491,537,543,431,770
fig|287.13173.peg.289,51,31,74,40,68,43
fig|287.13173.peg.290,178,105,173,158,174,108
fig|287.13173.peg.291,1284,983,1216,1168,1244,1125
fig|287.13173.peg.292,106,75,92,76,93,60
fig|287.13173.peg.293,512,379,329,409,329,866
fig|287.13173.peg.294,129,118,139,93,112,109
fig|287.13173.peg.295,165,179,213,152,179,145
fig|287.13173.peg.296,1497,2177,1866,2111,1952,2512
fig|287.13173.peg.297,803,1020,1049,1026,785,2332
fig|287.13173.peg.298,854,923,856,983,751,2521
fig|287.13173.peg.299,2831,2310,2368,2160,1874,7188
fig|287.13173.peg.300,2268,2302,2014,1942,1644,4993
fig|287.13173.peg.301,1939,1693,1767,1668,1587,2301
fig|287.13173.peg.302,15298,13974,15392,13588,13736,15415
fig|287.13173.peg.303,216,159,179,151,178,200
fig|287.13173.peg.304,173,102,114,110,120,129
fig|287.13173.peg.305,942,809,964,885,1063,835
fig|287.13173.peg.306,23,27,28,35,20,22
fig|287.13173.peg.307,1443,1151,1476,1303,1513,1075
fig|287.13173.peg.308,12927,9859,11247,11294,13899,12343
fig|287.13173.peg.309,2155,1727,2180,1535,1829,2409
fig|287.13173.peg.310,438,381,373,375,346,685
fig|287.13173.peg.311,530,396,466,539,458,596
fig|287.13173.peg.312,470,366,443,342,314,484
fig|287.13173.peg.313,16328,11285,16589,11864,16763,8620
fig|287.13173.peg.314,6159,3690,5426,4153,6279,3382
fig|287.13173.peg.315,6564,3958,6378,4544,6829,3592
fig|287.13173.peg.316,7493,4899,7433,4541,6761,5102
fig|287.13173.peg.317,15318,11794,15571,11731,14355,13427
fig|287.13173.peg.318,4878,4224,5052,4029,4342,6442
fig|287.13173.peg.319,2662,2205,2866,2182,2532,3252
fig|287.13173.peg.320,2765,2457,2995,2407,2719,3068
fig|287.13173.peg.321,3313,2834,3295,2908,3363,3249
fig|287.13173.peg.322,1000,815,986,705,727,890
fig|287.13173.peg.323,805,673,841,674,765,799
fig|287.13173.peg.324,12877,9726,12941,8209,10569,7880
fig|287.13173.peg.325,361,311,350,297,257,528
fig|287.13173.peg.326,755,664,729,697,516,936
fig|287.13173.peg.327,1907,1658,1841,1807,1589,2057
fig|287.13173.peg.328,720,596,638,638,562,1060
fig|287.13173.peg.329,33,31,36,34,31,41
fig|287.13173.peg.330,9,3,4,4,0,6
fig|287.13173.peg.331,1420,1235,1442,1216,1196,1133
fig|287.13173.peg.332,920,784,1008,738,860,1023
fig|287.13173.peg.333,3471,3229,3789,2755,3214,3310
fig|287.13173.peg.334,13935,10794,10017,13124,16261,13645
fig|287.13173.peg.335,6689,5751,5647,5955,5196,10214
fig|287.13173.peg.336,4835,4098,4332,4438,4067,7396
fig|287.13173.peg.337,4480,3908,3993,3776,4023,4118
fig|287.13173.peg.338,2742,2588,2646,2983,2208,4683
fig|287.13173.peg.339,914,676,766,594,723,784
fig|287.13173.peg.340,424,304,381,317,374,307
fig|287.13173.peg.341,553,401,490,397,448,366
fig|287.13173.peg.342,300,243,320,272,301,293
fig|287.13173.peg.343,358,269,385,300,353,267
fig|287.13173.peg.344,657,611,680,647,725,587
fig|287.13173.peg.345,146,111,119,110,126,192
fig|287.13173.peg.346,1125,902,1144,1003,1133,950
fig|287.13173.peg.347,1564,1347,1597,1352,1263,1547
fig|287.13173.peg.348,13195,9655,14623,7669,10717,5184
fig|287.13173.peg.349,2218,1951,1894,1950,1595,3700
fig|287.13173.peg.350,4072,3572,3516,3451,3037,5676
fig|287.13173.peg.351,924,663,855,674,783,610
fig|287.13173.peg.352,765,608,647,625,631,664
fig|287.13173.peg.353,577,492,560,579,494,552
fig|287.13173.peg.354,740,567,664,604,516,658
fig|287.13173.peg.355,2017,1740,2001,1635,1726,2174
fig|287.13173.peg.356,12365,10683,11558,12354,13129,12659
fig|287.13173.peg.357,23400,20397,24002,20920,21906,22070
fig|287.13173.peg.358,1588,1303,1267,1437,1144,2006
fig|287.13173.peg.359,710,596,732,651,641,579
fig|287.13173.peg.360,961,917,948,968,832,1778
fig|287.13173.peg.361,2756,2716,2806,2839,2259,3989
fig|287.13173.peg.362,4978,4155,4344,4421,4071,7054
fig|287.13173.peg.363,1964,1621,1746,1748,1735,2030
fig|287.13173.peg.364,1115,949,1115,861,950,858
fig|287.13173.peg.365,623,579,715,546,625,502
fig|287.13173.peg.366,436,339,441,397,336,271
fig|287.13173.peg.367,382,398,372,436,325,868
fig|287.13173.peg.368,311,245,279,264,266,300
fig|287.13173.peg.369,242,201,243,186,214,213
fig|287.13173.peg.370,808,664,725,648,486,1047
fig|287.13173.peg.371,1238,978,1156,1027,1038,1366
fig|287.13173.peg.372,503,432,413,509,417,892
fig|287.13173.peg.373,5405,4424,5222,4266,4890,6282
fig|287.13173.peg.374,852,678,770,646,579,1234
fig|287.13173.peg.375,2290,1426,2129,1366,2027,1038
fig|287.13173.peg.376,2019,1853,2022,1749,1673,2389
fig|287.13173.peg.377,2711,2391,2560,2456,2282,2677
fig|287.13173.peg.378,544,352,452,365,508,410
fig|287.13173.peg.379,3097,2861,2841,3509,3645,2426
fig|287.13173.peg.380,3832,3101,3182,3604,3441,4162
fig|287.13173.peg.381,1743,1536,1664,1450,1452,2023
fig|287.13173.peg.382,2246,1825,1879,1730,1785,2910
fig|287.13173.peg.383,3823,3577,3307,4360,3283,7005
fig|287.13173.peg.384,672,548,670,432,535,386
fig|287.13173.peg.385,245,169,261,205,230,188
fig|287.13173.peg.386,1187,1031,1240,994,1037,1043
fig|287.13173.peg.387,2618,2226,2613,2302,2547,2508
fig|287.13173.peg.388,821,725,842,833,828,749
fig|287.13173.peg.389,1177,952,1306,1019,1195,981
fig|287.13173.peg.390,294,272,360,283,267,332
fig|287.13173.peg.391,420,409,420,411,364,592
fig|287.13173.peg.392,2057,1833,2021,1788,1646,2622
fig|287.13173.peg.393,2142,1920,2003,1820,1707,2800
fig|287.13173.peg.394,4010,3787,4205,3651,3440,5399
fig|287.13173.peg.395,2753,2567,2859,2762,2791,3273
fig|287.13173.peg.396,3789,3152,3370,3544,3197,4069
fig|287.13173.peg.397,58535,48923,49201,46362,44566,61230
fig|287.13173.peg.398,719,707,752,699,487,787
fig|287.13173.peg.399,560,456,490,450,335,746
fig|287.13173.peg.400,1606,1516,1476,1569,1360,2302
fig|287.13173.peg.401,577,450,456,654,408,1769
fig|287.13173.peg.402,2102,2130,2038,1809,1360,4337
fig|287.13173.peg.403,782,785,627,679,466,1772
fig|287.13173.peg.404,459,434,460,433,398,469
fig|287.13173.peg.405,528,471,601,436,498,364
fig|287.13173.peg.406,766,671,593,1042,732,1384
fig|287.13173.peg.407,520,452,459,453,369,870
fig|287.13173.peg.408,1719,1704,1660,1732,1507,2166
fig|287.13173.peg.409,2571,2505,2389,2487,2353,3123
fig|287.13173.peg.410,1550,1676,1443,1770,1217,3204
fig|287.13173.peg.411,2639,2462,2222,2509,1814,5767
fig|287.13173.peg.412,2275,1960,2287,2084,2034,2220
fig|287.13173.peg.413,699,540,698,589,654,813
fig|287.13173.peg.414,3824,3171,3873,3477,3929,3014
fig|287.13173.peg.415,2832,2494,2906,2345,2625,2387
fig|287.13173.peg.416,5448,4690,5204,5597,5780,5680
fig|287.13173.peg.417,5744,5108,5369,5315,5017,6961
fig|287.13173.peg.418,2161,1895,2380,1758,2063,2141
fig|287.13173.peg.419,714,586,764,623,726,645
fig|287.13173.peg.420,3457,2852,3176,3139,3617,2377
fig|287.13173.peg.421,1708,1789,2164,1419,1408,2228
fig|287.13173.peg.422,1493,1556,2093,1411,1350,1832
fig|287.13173.peg.423,1687,1482,1800,1390,1561,1976
fig|287.13173.peg.424,2012,1861,2179,1720,1680,2507
fig|287.13173.peg.425,1548,1475,1620,1184,1415,1267
fig|287.13173.peg.426,665,626,776,630,654,850
fig|287.13173.peg.427,1741,1487,1778,1575,1426,2084
fig|287.13173.peg.428,1257,1121,1159,1233,962,2098
fig|287.13173.peg.429,4201,3793,4277,3977,4013,4891
fig|287.13173.peg.430,7342,6808,6703,9051,7658,12089
fig|287.13173.peg.431,6574,5629,6017,6394,6170,7622
fig|287.13173.peg.432,1968,1658,1937,2260,1762,2861
fig|287.13173.peg.433,6861,6183,6961,5922,6042,9023
fig|287.13173.peg.434,2598,2172,2536,2153,2120,3816
fig|287.13173.peg.435,16445,15395,17761,12723,14165,14273
fig|287.13173.peg.436,1436,1262,1588,1237,1481,1179
fig|287.13173.peg.437,1295,1020,1371,1003,1165,981
fig|287.13173.peg.438,308,267,318,260,231,269
fig|287.13173.peg.439,178,159,166,150,129,195
fig|287.13173.peg.440,891,829,928,835,742,901
fig|287.13173.peg.441,851,859,771,705,665,1254
fig|287.13173.peg.442,3291,2814,3186,2773,2802,3586
fig|287.13173.peg.443,110,70,88,69,85,63
fig|287.13173.peg.444,7576,7173,7564,6439,6073,8385
fig|287.13173.peg.445,2966,2487,2252,2670,2362,3115
fig|287.13173.peg.446,40750,36437,35036,38596,41120,39353
fig|287.13173.peg.447,3009,2455,2942,2401,2461,3136
fig|287.13173.peg.448,5280,4750,5698,3804,4101,6645
fig|287.13173.peg.449,9452,9346,11071,8178,7852,14152
fig|287.13173.peg.450,5055,5090,5453,4485,4493,6097
fig|287.13173.peg.451,4486,4617,4531,4340,3749,7144
fig|287.13173.peg.452,4127,3882,3828,4287,3404,5937
fig|287.13173.peg.453,1723,1634,1708,1790,1555,2467
fig|287.13173.peg.454,765,777,814,851,742,1576
fig|287.13173.peg.455,6990,6019,6730,6247,5810,11782
fig|287.13173.peg.456,68,54,67,70,49,87
fig|287.13173.peg.457,228,250,259,251,193,454
fig|287.13173.peg.458,400,424,474,430,364,426
fig|287.13173.peg.459,122,111,149,127,111,154
fig|287.13173.peg.460,2608,2152,2452,2068,2234,2200
fig|287.13173.peg.461,740,655,726,661,594,1218
fig|287.13173.peg.462,371,333,345,304,251,601
fig|287.13173.peg.463,199,151,213,157,156,224
fig|287.13173.peg.464,155,147,180,143,129,136
fig|287.13173.peg.465,1417,894,1656,749,1438,443
fig|287.13173.peg.466,26,14,11,26,14,26
fig|287.13173.peg.467,327,227,354,194,276,131
fig|287.13173.peg.468,278,154,247,176,220,167
fig|287.13173.peg.469,620,483,582,360,475,515
fig|287.13173.peg.470,2108,1543,2104,1536,1738,1784
fig|287.13173.peg.471,5472,3884,5079,3856,4786,4468
fig|287.13173.peg.472,1545,1240,1347,1261,1354,1526
fig|287.13173.peg.473,9237,8265,8932,7597,9736,6730
fig|287.13173.peg.474,547,548,574,565,453,910
fig|287.13173.peg.475,244,220,296,166,267,159
fig|287.13173.peg.476,239,196,301,216,230,224
fig|287.13173.peg.477,561,441,577,476,499,466
fig|287.13173.peg.478,2291,1861,2381,2159,2319,2105
fig|287.13173.peg.479,2125,1781,2001,1900,1896,2549
fig|287.13173.peg.480,91067,80059,57582,100663,68012,137743
fig|287.13173.peg.481,389,364,390,347,297,411
fig|287.13173.peg.482,632,550,651,523,614,535
fig|287.13173.peg.483,1632,1395,1772,1492,1582,1448
fig|287.13173.peg.484,4717,4082,6955,2156,2643,4207
fig|287.13173.peg.485,2995,2000,3268,1500,2001,1853
fig|287.13173.peg.486,4232,3488,4298,3535,3654,4283
fig|287.13173.peg.487,5448,3914,4951,4636,5390,2432
fig|287.13173.peg.488,1471,1311,1479,1483,1509,1518
fig|287.13173.peg.489,1571,1452,1445,1616,1423,1790
fig|287.13173.peg.490,334,304,341,324,290,408
fig|287.13173.peg.491,14,8,11,8,7,23
fig|287.13173.peg.492,13,22,23,22,24,30
fig|287.13173.peg.493,173,199,222,138,176,179
fig|287.13173.peg.494,435,354,474,384,398,348
fig|287.13173.peg.495,2399,2275,2830,2245,2338,2025
fig|287.13173.peg.496,937,1076,1137,996,984,1099
fig|287.13173.peg.497,712,1024,1127,763,745,723
fig|287.13173.peg.498,853,1185,1180,1167,942,1488
fig|287.13173.peg.499,1973,1342,1712,1560,1906,1186
fig|287.13173.peg.500,26,15,14,13,18,14
fig|287.13173.peg.501,336,269,321,260,291,267
fig|287.13173.peg.502,802,611,784,647,730,755
fig|287.13173.peg.503,284,224,286,224,243,232
fig|287.13173.peg.504,385,308,387,334,318,441
