gene_id,WT1,WT2,A1,A2
PA14_RS01490,0,1,5,4
PA14_RS01495,1,2,4,22
PA14_RS01500,7,2,26,35
PA14_RS01505,2,3,15,20
PA14_RS01510,5,2,12,7
PA14_RS01515,10,12,26,29
PA14_RS01520,0,4,21,28
PA14_RS01525,7,5,34,50
PA14_RS01530,181,130,488,402
PA14_RS01535,3,3,5,6
PA14_RS01540,4,2,9,7
PA14_RS01545,28,21,47,41
PA14_RS01550,28,5,41,30
PA14_RS01555,491,341,658,633
PA14_RS01560,53,39,75,79
PA14_RS01565,5,4,19,20
PA14_RS01570,6,3,43,59
PA14_RS01575,2,2,25,18
PA14_RS01580,26,22,92,73
PA14_RS01585,84,56,380,406
PA14_RS01590,363,266,745,655
PA14_RS01595,515,388,669,699
PA14_RS01600,522,331,1002,824
PA14_RS01605,156,130,376,403
PA14_RS01610,173,128,268,234
PA14_RS01615,200,131,218,176
PA14_RS01620,113,115,178,208
PA14_RS01625,3,3,26,21
PA14_RS01630,12,20,26,42
PA14_RS01635,5,7,16,19
PA14_RS01640,4,5,5,7
PA14_RS01645,19,9,61,59
PA14_RS01650,9,7,14,21
PA14_RS01655,27,18,138,170
PA14_RS01660,3,4,3,15
PA14_RS01665,22,16,108,106
PA14_RS01670,8,4,70,71
PA14_RS01675,1,0,18,9
PA14_RS01680,26,25,137,153
PA14_RS01685,11,11,57,83
PA14_RS01690,137,86,567,625
PA14_RS01695,113,85,258,173
PA14_RS01700,37,25,111,112
PA14_RS01705,50,32,15,28
PA14_RS01710,1,1,7,15
PA14_RS01715,2,6,32,31
PA14_RS01720,8,4,28,21
PA14_RS01725,70,54,153,159
PA14_RS01730,19,10,27,49
PA14_RS01735,5,4,19,31
PA14_RS01740,37,26,46,38
PA14_RS01745,2,2,8,12
PA14_RS01750,7,0,12,9
PA14_RS01755,2,5,17,11
PA14_RS01760,99,75,375,361
PA14_RS01765,67,43,160,190
PA14_RS01770,11,8,51,31
PA14_RS01775,7,1,15,21
PA14_RS01780,3,7,19,16
PA14_RS01785,7,1,14,8
PA14_RS01790,101,66,396,393
PA14_RS01795,311,204,618,656
PA14_RS01800,37,32,110,89
PA14_RS01805,1,2,9,9
PA14_RS01810,8,7,79,98
PA14_RS01815,32,16,138,139
PA14_RS01820,40,28,209,185
PA14_RS01825,8,6,54,53
PA14_RS01830,0,0,2,8
PA14_RS01835,0,0,4,7
PA14_RS01840,14,11,31,51
PA14_RS01845,8,6,26,34
PA14_RS01850,8,16,100,88
PA14_RS01855,3,0,10,12
PA14_RS01860,1,1,11,29
PA14_RS01865,0,1,7,13
PA14_RS01870,5,1,15,24
PA14_RS01875,9,9,39,53
PA14_RS01880,4,2,10,12
PA14_RS01885,0,0,1,1
PA14_RS01890,27,19,104,118
PA14_RS01895,20,16,42,55
PA14_RS01900,5,10,105,92
PA14_RS01905,57,41,480,460
PA14_RS01910,43,37,179,217
PA14_RS01915,8,8,20,42
PA14_RS01920,4,4,21,20
PA14_RS01925,0,0,9,1
PA14_RS01930,3,0,10,5
PA14_RS01935,5,0,15,16
PA14_RS01940,0,0,2,2
PA14_RS01945,0,3,8,5
PA14_RS01950,11,15,28,39
PA14_RS01955,3,0,9,6
PA14_RS01960,3,2,7,17
PA14_RS01965,0,1,3,7
PA14_RS01970,0,0,2,4
PA14_RS01975,7,7,22,21
PA14_RS01980,7,7,8,25
PA14_RS01985,214,161,1189,1222
PA14_RS01990,149,102,335,431
PA14_RS01995,118,80,269,269
PA14_RS02000,136,90,821,870
PA14_RS02005,50,34,144,152
PA14_RS02010,10,5,66,49
PA14_RS02015,4,3,33,31
PA14_RS02020,2,0,11,10
PA14_RS02025,37,23,256,285
PA14_RS02030,15,7,126,95
PA14_RS02035,8,8,48,42
PA14_RS02040,1,2,5,5
PA14_RS02045,6,4,8,10
PA14_RS02050,1,0,12,16
PA14_RS02055,0,3,3,6
PA14_RS02060,0,0,4,0
PA14_RS02065,1,2,9,7
PA14_RS02070,2,0,18,10
PA14_RS02075,0,2,9,9
PA14_RS02080,0,0,1,0
PA14_RS02085,4,3,24,37
PA14_RS02090,3,2,11,10
PA14_RS02095,0,0,4,5
PA14_RS02100,37,20,289,319
PA14_RS02105,161,118,459,602
PA14_RS02110,19,23,50,57
PA14_RS02115,89,66,296,291
PA14_RS02120,531,350,240,216
PA14_RS02125,67,50,59,49
PA14_RS02130,6,5,10,10
PA14_RS02135,1,2,7,12
PA14_RS02140,0,0,6,4
PA14_RS02145,4,0,1,3
PA14_RS02150,1,1,5,3
PA14_RS02155,4,3,13,23
PA14_RS02160,104,65,259,378
PA14_RS02165,1048,701,4944,5486
PA14_RS02170,878,509,4708,6002
PA14_RS02175,33,34,236,300
PA14_RS02180,964,683,2041,2096
PA14_RS02185,152,113,265,282
PA14_RS02190,722,495,940,876
PA14_RS02195,35,39,82,89
PA14_RS02200,68,49,149,141
PA14_RS02205,11,8,33,59
PA14_RS02210,5,4,10,18
PA14_RS02215,0,1,6,2
PA14_RS02220,1,0,3,8
PA14_RS02225,4,0,9,7
PA14_RS02230,58,25,170,123
PA14_RS02235,158,116,630,579
PA14_RS02240,331,252,627,654
PA14_RS02245,7,4,44,40
PA14_RS02250,227,188,812,881
PA14_RS02255,1143,788,2249,2110
PA14_RS02260,234,157,710,656
PA14_RS02265,2,1,12,15
PA14_RS02270,4,5,30,28
PA14_RS02275,3,1,18,22
PA14_RS02280,1,1,7,5
PA14_RS02285,7,2,21,38
PA14_RS02290,0,0,2,4
PA14_RS02295,13,12,16,11
PA14_RS02300,19,14,11,20
PA14_RS02305,93,75,185,211
PA14_RS02310,11,18,51,52
PA14_RS02315,4,1,19,17
PA14_RS02320,1,0,4,3
PA14_RS02325,5,5,21,11
PA14_RS02330,1,2,31,51
PA14_RS02340,27,23,93,162
PA14_RS02345,34,35,39,42
PA14_RS02350,1,2,12,5
PA14_RS02355,0,1,5,13
PA14_RS02360,12,12,23,15
PA14_RS02365,304,194,241,248
PA14_RS02370,24,16,57,74
PA14_RS02375,45,25,19,22
PA14_RS02380,25,16,55,48
PA14_RS02385,7,13,57,50
PA14_RS02390,7,11,17,33
PA14_RS02395,3,6,8,7
PA14_RS02400,220,154,2455,2469
PA14_RS02405,15,11,59,51
PA14_RS02410,2,5,44,42
PA14_RS02415,740,532,391,457
PA14_RS02420,181,150,216,282
PA14_RS02425,47,39,122,127
PA14_RS02430,61,41,177,176
PA14_RS02435,16,12,66,76
PA14_RS02440,35,26,84,92
PA14_RS02445,16,11,16,27
PA14_RS02450,2,3,1,3
PA14_RS02460,0,0,5,2
PA14_RS02465,0,0,4,4
PA14_RS02470,95,74,153,146
PA14_RS02475,51,55,100,105
PA14_RS02480,0,0,2,3
PA14_RS02485,1,0,2,2
PA14_RS02490,33,23,118,78
PA14_RS02500,3,4,10,10
PA14_RS02505,24,12,96,91
PA14_RS02510,7,3,10,17
PA14_RS02515,7,5,25,14
PA14_RS02520,4,3,1,6
PA14_RS02525,2,5,8,6
PA14_RS02530,13,13,54,56
PA14_RS02535,3,1,29,20
PA14_RS02540,17,12,17,18
PA14_RS02545,28,18,20,26
PA14_RS02550,4,1,12,14
PA14_RS02555,2,2,11,8
PA14_RS02560,1,1,4,4
PA14_RS02565,2,0,0,0
PA14_RS02570,0,0,0,4
PA14_RS02575,1,1,1,11
PA14_RS02580,7,0,9,13
PA14_RS02585,113,71,78,67
PA14_RS02590,27,21,13,12
PA14_RS02595,34,16,12,10
PA14_RS02600,43,30,42,34
PA14_RS02605,5,6,2,4
PA14_RS02615,180,131,577,572
PA14_RS02620,18,26,82,86
PA14_RS02625,43,29,91,82
PA14_RS02630,5,3,24,9
PA14_RS02635,2,0,5,2
PA14_RS02640,36,19,79,82
PA14_RS02645,240,237,400,303
PA14_RS02650,34,24,62,52
PA14_RS02655,43,36,88,101
PA14_RS02660,0,0,6,9
PA14_RS02665,0,1,2,3
PA14_RS02670,1,1,2,3
