gene_id,PA_DP08,PA_DP09,PA_DP12,PA_RP01,PA_RP04,PA_RP06,PAEF_DP44,PAEF_DP45,PAEF_DP47,PAEF_RP37,PAEF_RP39,PAEF_RP41,PALDH_DP55,PALDH_DP58,PALDH_DP60,PALDH_RP49,PALDH_RP52,PALDH_RP53
PA0331,9,4,14,4,3,7,0,0,0,4,2,6,2,5,4,11,8,1
PA0332,0,1,4,1,2,2,0,0,0,3,1,2,2,0,1,11,0,0
PA0333,2,3,0,1,1,4,0,0,0,2,1,1,0,0,0,20,2,0
PA0334,2,2,2,0,1,2,0,0,0,5,4,2,3,1,1,12,1,5
PA0335,5,0,2,2,0,3,0,0,0,1,2,1,2,2,0,2,1,0
PA0336,30,45,27,23,19,26,0,0,0,27,34,18,25,23,25,29,20,15
PA0337,29,38,25,24,30,41,0,0,0,33,30,18,23,9,8,23,15,14
PA0338,3,5,5,8,3,8,0,0,0,4,5,8,7,9,2,5,4,4
PA0339,0,3,8,3,2,5,0,0,0,2,1,2,5,7,4,7,4,1
PA0340,2,4,1,2,1,1,0,0,0,1,1,0,2,0,1,2,3,0
PA0341,5,3,2,0,8,4,0,0,0,1,1,2,5,3,0,0,1,3
PA0342,4,4,6,6,4,9,0,0,0,6,7,5,9,4,5,5,6,4
PA0343,1,4,0,2,1,1,0,0,0,2,0,0,0,0,0,1,1,3
PA0344,1,3,3,1,5,1,0,0,0,1,3,0,1,1,1,11,4,3
PA0345,1,2,1,1,2,1,0,0,0,1,0,0,0,1,0,17,0,0
PA0346,0,2,2,4,2,3,0,0,0,1,3,2,0,1,1,2,3,2
PA0347,1,2,2,3,4,3,0,0,0,5,2,1,1,1,0,8,0,4
PA0348,1,0,1,0,2,1,0,0,0,3,2,2,0,1,0,6,1,0
PA0349,0,0,2,0,1,1,0,0,0,1,1,0,0,0,0,3,0,1
PA0350,0,1,1,0,2,2,0,0,0,0,3,1,0,0,0,1,0,3
PA0351,0,2,3,5,2,2,0,0,0,2,0,3,0,0,1,1,1,1
PA0352,2,3,3,4,3,2,0,0,0,1,1,2,1,2,0,2,1,0
PA0353,17,15,12,7,11,18,0,0,0,6,13,9,8,5,6,6,3,6
PA0354,7,4,12,5,3,5,0,0,0,2,4,4,5,6,7,6,5,4
PA0355,17,13,18,3,8,6,0,0,0,4,4,5,12,11,13,3,6,4
PA0356,2,1,2,5,2,3,0,0,0,0,0,0,0,3,3,2,0,0
PA0357,3,3,2,2,7,5,0,0,0,3,3,2,5,2,1,3,2,1
PA0358,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,2,0,1
PA0359,1,6,5,3,7,6,0,0,0,6,8,2,1,1,2,6,7,4
PA0360,1,0,4,6,4,9,0,0,0,2,3,1,2,1,1,6,3,3
PA0361,3,8,6,8,4,2,0,0,0,5,5,1,5,1,3,18,3,1
PA0362,1,2,4,1,5,3,0,0,0,3,3,2,0,3,0,7,3,0
PA0363,10,12,16,9,7,5,0,0,0,5,8,7,2,6,4,10,7,2
PA0364,4,1,3,2,1,1,0,0,0,1,3,0,1,0,0,5,1,0
PA0365,1,4,3,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0
PA0366,9,11,1,1,3,6,0,0,0,4,5,5,3,1,1,6,1,2
PA0367,11,9,8,9,8,6,0,0,0,6,7,6,5,3,3,5,3,2
PA0367a,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,3,0,1
PA0368,1,4,2,2,3,2,0,0,0,1,4,2,2,4,0,6,1,2
PA0370,2,1,4,0,1,2,0,0,0,1,3,0,3,1,2,0,1,2
PA0371,6,7,4,7,5,6,0,0,0,2,8,1,5,2,4,3,3,5
PA0372,8,12,12,6,8,12,0,0,0,7,10,7,6,3,6,5,5,4
PA0373,5,11,20,7,4,11,0,0,0,7,11,9,6,9,6,15,9,13
PA0374,2,3,4,8,0,4,0,0,0,6,2,0,4,3,2,6,3,2
