"gene_id","AllFR1_S28_L001","AllFR2_S99","AllFR3_S34_L001","F1R1_S25_L001","F1R2_S96","F1R3_S31_L001","F2R1_S26_L001","F2R2_S97","F2R3_S32_L001","F3R1_S27_L001","F3R2_S98","F3R3_S33_L001","FAR1_S29_L001","FAR2_S94","FAR3_S35_L001","P1R1_S30_L001","P1R2_S95","P1R3_S36_L001"
"PA14_41990",0,0,8,0,17,0,8,5,1,0,1,3,19,4,11,6,11,6
"PA14_42000",0,2,0,4,2,2,2,3,1,0,1,3,13,12,7,6,2,2
"PA14_42010",74,346,1004,810,3069,871,485,1672,865,754,1602,1352,3148,2277,2684,2845,3597,2384
"PA14_42020",10,43,118,158,402,134,83,244,130,116,240,178,578,325,404,746,505,506
"PA14_42030",1,21,22,20,75,27,14,32,17,19,43,26,38,50,57,51,54,42
"PA14_42050",1,6,16,20,45,11,15,42,11,9,31,19,27,39,23,24,27,32
"PA14_42060",12,10,12,35,80,29,37,23,12,36,72,50,91,44,60,101,100,81
"PA14_42080",13,135,150,330,1365,241,165,598,233,300,522,336,955,924,776,959,846,874
"PA14_42090",5,118,76,157,997,161,89,401,182,135,261,195,521,643,575,576,620,471
"PA14_42100",11,41,102,118,320,118,97,251,103,120,209,144,241,197,213,233,194,220
"PA14_42120",8,6,31,43,129,30,28,63,25,37,84,70,226,140,166,224,179,161
"PA14_42130",55,338,730,934,3368,994,417,1467,729,597,1396,1203,2533,1891,1834,2900,2309,2482
"PA14_42140",18,95,138,230,972,251,89,362,132,190,312,173,1461,1181,1226,1439,1437,1219
"PA14_42150",22,148,311,518,1542,445,118,490,207,257,468,373,1095,780,832,908,989,764
"PA14_42160",50,339,830,1050,3340,1124,301,1189,477,628,1115,938,2285,1916,1975,2033,2024,1742
"PA14_42180",27,157,294,371,1356,344,238,669,356,394,611,498,1390,1171,1280,1155,1371,1155
"PA14_42200",349,1341,3325,4437,9477,4010,1825,4796,2906,3365,5231,5041,5056,4262,3638,4865,4638,3836
"PA14_42220",33,130,298,287,844,294,170,572,332,251,478,459,1236,894,1041,934,970,806
"PA14_42230",9,63,186,196,640,155,109,365,161,147,361,222,704,603,638,791,799,711
"PA14_42250",4,19,42,47,166,42,65,122,45,79,170,92,140,172,140,127,144,133
"PA14_42260",3,20,27,32,108,20,27,93,46,41,48,49,160,166,175,181,129,189
"PA14_42270",9,78,132,160,925,151,124,528,221,221,542,326,511,539,403,380,491,368
"PA14_42280",0,35,56,81,293,58,30,180,51,76,178,134,250,290,256,253,286,229
"PA14_42290",3,19,37,51,157,44,28,96,28,64,114,112,282,267,337,328,286,338
"PA14_42300",0,23,30,27,207,40,43,150,35,60,130,111,404,277,399,414,420,421
"PA14_42310",0,27,23,32,201,28,16,146,55,40,144,84,324,160,242,307,367,329
"PA14_42320",0,24,23,37,220,45,29,156,82,43,192,87,208,121,154,176,212,186
"PA14_42340",19,75,143,200,666,163,96,357,210,210,484,338,505,549,512,429,574,501
"PA14_42350",20,81,132,116,439,136,64,286,133,149,338,283,563,499,586,464,641,474
"PA14_42360",2,42,49,35,210,63,35,133,45,65,161,98,492,328,505,311,403,380
"PA14_42380",70,472,964,1470,5488,1185,1003,3408,1369,1790,3535,2411,3262,3754,2812,2323,3183,2605
"PA14_42390",33,188,366,379,1197,293,409,1073,608,576,1036,894,1066,696,761,958,964,531
"PA14_42400",91,491,844,1696,4947,1182,1156,2799,1321,1926,3490,2338,2359,3186,2170,1761,2333,1750
"PA14_42410",81,471,816,2009,5162,1399,1285,3068,1317,2155,3582,2555,3727,3331,2919,3096,3321,3247
"PA14_42430",111,553,1406,2109,5491,1629,1261,3225,1509,2384,3638,3111,5169,4013,4082,4997,5397,4989
"PA14_42440",48,556,433,831,5471,748,418,2433,777,1232,2899,1423,4125,5347,4174,3788,5362,4355
"PA14_42450",35,926,493,1333,9068,1112,827,4138,1266,2071,4408,2151,6137,8328,6387,5552,7858,6702
"PA14_42460",0,151,80,176,1263,163,65,565,175,238,628,293,1807,1235,1806,1830,2216,1668
"PA14_42470",18,243,411,528,2507,518,268,1314,587,685,1328,983,1776,1963,1606,1532,1754,1348
"PA14_42480",0,27,34,34,178,39,18,138,30,52,95,61,390,288,342,269,358,189
"PA14_42490",0,21,62,59,176,48,15,85,31,76,92,113,195,144,172,218,151,181
"PA14_42500",18,85,295,285,875,262,138,403,169,309,626,574,521,611,554,465,611,468
"PA14_42510",0,4,17,12,90,19,10,53,17,36,53,33,58,72,60,36,47,38
"PA14_42520",0,3,13,12,77,11,3,36,12,31,46,27,124,128,102,101,141,123
"PA14_42530",1,32,52,58,239,72,54,106,29,58,182,138,216,238,214,228,257,259
"PA14_42540",1,46,69,74,297,70,43,109,48,107,242,126,164,222,168,200,230,232
"PA14_42550",1,86,78,105,388,68,38,176,72,139,323,121,297,342,287,471,485,524
"PA14_42570",5,57,149,158,559,140,125,348,173,155,415,336,390,503,424,511,601,665
"PA14_42580",2,24,36,61,253,54,75,180,65,72,158,141,206,248,199,185,280,224
"PA14_42600",6,32,73,34,245,81,53,173,59,62,152,121,299,381,372,262,454,361
"PA14_42610",7,36,66,30,182,90,31,149,51,55,190,135,290,289,320,215,329,302
"PA14_42620",4,14,33,9,105,35,15,90,33,41,97,96,197,134,160,98,159,139
"PA14_42630",5,23,61,26,159,50,26,110,78,43,121,132,111,118,106,70,130,114
"PA14_42640",2,19,62,25,174,48,35,116,79,41,126,133,118,151,136,73,145,113
"PA14_42660",0,23,63,16,177,30,38,170,83,60,141,124,115,114,105,68,119,87
"PA14_42670",14,56,133,200,676,158,148,312,123,250,382,258,1134,694,747,1096,824,779
"PA14_42680",15,75,211,274,602,172,162,342,132,253,379,330,696,494,458,720,432,475
"PA14_42690",5,35,58,55,211,59,39,153,57,103,150,135,312,202,229,519,309,424
"PA14_42700",7,34,87,111,313,65,87,163,79,76,156,161,533,376,372,491,427,355
"PA14_42710",6,58,120,176,557,146,101,349,168,153,380,256,806,496,718,782,754,749
"PA14_42720",16,66,80,108,478,77,78,266,92,149,208,208,614,620,498,641,420,574
"PA14_42730",17,165,258,539,1571,355,303,911,329,530,874,669,1194,1011,897,1395,1187,1047
