"gene_id","AllFR1_S28_L001","AllFR2_S99","AllFR3_S34_L001","F1R1_S25_L001","F1R2_S96","F1R3_S31_L001","F2R1_S26_L001","F2R2_S97","F2R3_S32_L001","F3R1_S27_L001","F3R2_S98","F3R3_S33_L001","FAR1_S29_L001","FAR2_S94","FAR3_S35_L001","P1R1_S30_L001","P1R2_S95","P1R3_S36_L001"
"PA14_07170",5,24,43,59,174,44,66,130,82,65,100,66,590,239,316,909,373,428
"PA14_07190",35,232,414,634,2107,462,725,1290,637,722,1138,711,2447,1711,1545,2590,1846,2030
"PA14_07200",41,226,500,633,2069,530,493,1375,689,519,951,740,1755,1277,1516,1732,1558,1539
"PA14_07210",71,423,765,1147,3604,858,716,1977,884,711,1422,911,1483,1669,1249,1666,1316,1127
"PA14_07230",58,452,417,766,3564,495,533,1887,704,693,1238,722,4228,2691,2713,6010,3757,4044
"PA14_07240",0,24,50,71,230,36,63,152,64,67,85,74,554,298,365,766,468,549
"PA14_07250",2,37,31,35,205,41,40,155,63,48,108,47,339,174,219,438,311,316
"PA14_07260",10,58,125,258,708,111,237,487,263,317,367,219,955,742,577,1071,782,792
"PA14_07280",0,15,53,53,148,31,49,169,68,51,100,37,121,125,116,219,155,156
"PA14_07290",15,23,45,48,147,38,45,129,72,39,60,76,270,188,190,234,194,122
"PA14_07300",27,42,84,109,294,79,111,245,129,134,154,138,246,153,173,138,194,111
"PA14_07310",4,24,22,43,91,30,31,62,41,32,44,47,145,101,122,303,123,183
"PA14_07330",4,8,47,38,68,34,30,82,56,18,68,57,304,117,174,324,277,182
"PA14_07340",0,4,7,19,59,11,11,33,20,19,21,34,51,51,60,86,49,57
"PA14_07355",0,51,47,79,547,77,71,385,125,137,241,153,700,554,586,837,879,640
"PA14_07360",13,44,121,135,304,126,206,283,215,87,161,248,533,272,369,414,394,459
"PA14_07370",22,70,161,257,673,176,82,396,221,97,200,192,1124,530,813,1424,1197,1119
"PA14_07380",0,62,109,159,655,118,257,468,237,246,357,198,588,425,345,460,400,390
"PA14_07400",3,15,30,46,168,56,60,130,53,85,78,53,330,166,192,259,242,176
"PA14_07410",0,10,14,35,85,23,36,84,42,95,88,36,237,139,133,193,177,154
"PA14_07420",4,58,73,136,532,150,182,405,251,258,306,240,862,514,527,659,606,539
"PA14_07430",120,1101,985,1684,9580,1468,2072,6177,2791,3287,5633,3545,15534,11587,11425,14735,12399,13386
"PA14_07440",1,2,11,21,36,12,4,46,18,4,24,26,55,26,26,43,34,31
"PA14_07450",2,57,84,89,272,68,106,296,158,117,190,130,247,158,176,252,220,189
"PA14_07460",0,9,27,18,65,14,16,50,48,25,40,35,56,36,35,79,56,48
"PA14_07470",5,9,31,19,60,16,20,70,43,32,40,40,84,40,43,105,70,97
"PA14_07480",682,1982,5221,2175,8532,2023,5452,10264,8906,7874,10177,8556,5999,5136,3493,6203,4866,5087
"PA14_07500",26,123,450,376,1090,358,203,719,415,271,554,568,1528,1038,1386,921,1286,867
"PA14_07520",281,1497,2070,3020,11438,2696,2931,7615,4954,3118,4955,4126,12708,9417,9017,13650,8143,7602
"PA14_07530",50,411,804,788,2733,821,684,2268,1478,780,1486,1401,2402,1676,1730,2042,1895,1256
"PA14_07550",15,32,60,114,296,66,140,172,140,120,152,136,829,248,359,1278,450,452
"PA14_07560",19,88,82,185,679,108,229,430,241,236,307,194,1235,283,613,1858,1155,656
"PA14_07570",14,102,218,355,752,242,421,601,364,324,344,368,829,623,569,967,644,680
"PA14_07580",8,45,59,128,314,84,81,285,162,76,123,99,307,326,262,217,283,129
"PA14_07590",9,62,76,227,548,125,205,390,222,197,290,232,418,412,326,420,364,333
"PA14_07600",10,82,113,235,490,114,179,358,217,199,239,251,479,445,311,436,291,354
"PA14_07620",19,94,144,234,669,107,201,535,257,178,283,246,690,567,442,603,516,461
"PA14_07630",3,40,76,46,226,51,37,152,71,56,119,83,302,256,276,191,228,148
"PA14_07650",225,1569,2362,2316,13435,2808,1872,7727,3789,2302,5261,4026,11968,8053,8758,9816,10100,7942
"PA14_07660",96,1042,1687,1882,10415,2209,1506,5743,3090,1608,3792,3117,12306,7406,9501,11504,10528,8680
"PA14_07680",604,3874,6334,7447,36618,8350,5323,20389,11081,6460,14040,11259,37375,24205,27906,35817,36567,29787
"PA14_07690",2,8,9,18,105,31,30,81,28,33,54,38,264,119,215,240,191,151
"PA14_07700",18,107,225,211,955,259,238,634,332,200,460,322,1341,1091,1241,1375,1217,967
"PA14_07710",20,105,175,141,705,152,205,570,231,145,317,284,1162,849,1123,1197,1232,831
"PA14_07730",3,26,44,50,229,54,47,162,90,75,119,82,333,284,248,329,252,215
"PA14_07740",22,126,281,238,801,175,274,561,348,254,457,335,1464,724,1010,1220,945,935
"PA14_07760",151,627,1400,1404,4864,1290,1160,3111,1785,1132,2199,2102,6156,3628,4123,4260,3864,3211
"PA14_07770",177,894,1512,1820,6657,1563,1702,4346,2297,1781,2972,2440,9210,4646,5447,10086,6609,6089
"PA14_07780",36,231,334,436,1882,412,351,1320,732,379,735,643,1386,1620,1506,1046,1367,856
"PA14_07790",11,67,189,250,725,199,205,493,294,203,276,300,891,734,962,870,922,849
"PA14_07800",23,178,275,618,1739,400,584,1248,557,476,912,521,1263,1130,1034,863,1113,791
"PA14_07810",21,71,111,182,499,131,140,366,183,172,261,179,571,426,473,667,459,490
"PA14_07820",19,179,281,445,1421,329,504,1146,593,478,692,509,1000,919,874,1024,944,936
"PA14_07840",15,81,168,215,787,194,260,594,371,228,391,307,647,505,555,661,591,515
"PA14_07850",10,112,124,256,854,176,305,742,316,297,498,298,466,465,384,406,423,409
"PA14_07860",1,41,25,72,185,57,64,155,48,67,145,81,316,171,166,456,337,302
"PA14_07870",11,187,208,242,1268,227,287,940,356,353,710,384,874,766,635,803,959,744
"PA14_07890",3,20,35,41,189,50,38,130,73,55,112,74,244,165,151,246,224,174
"PA14_07900",0,28,22,23,80,25,29,77,26,21,53,63,101,99,103,110,96,65
"PA14_07910",7,41,50,91,267,52,108,264,96,105,112,95,589,334,313,1082,396,538
"PA14_07930",28,78,124,200,551,101,242,480,200,235,329,163,794,391,520,1041,749,714
"PA14_07940",24,128,278,335,917,223,337,766,368,346,582,468,965,665,696,1224,926,978
"PA14_07950",9,35,67,97,406,82,99,373,206,68,240,165,423,273,375,703,711,658
"PA14_07960",10,74,69,60,352,78,160,321,158,109,205,146,489,346,377,535,453,392
"PA14_07970",0,8,5,3,25,5,9,18,9,16,23,12,71,30,51,394,313,299
"PA14_07980",0,22,21,14,82,7,16,57,29,46,62,33,95,63,72,594,615,414
"PA14_07990",9,24,19,2,66,11,51,53,26,20,28,22,119,41,66,546,482,486
"PA14_08000",31,53,121,115,387,122,194,354,165,181,214,172,504,299,342,1401,1322,1174
"PA14_08010",11,32,75,60,283,83,119,201,141,102,176,110,312,175,199,1123,1155,862
"PA14_08020",23,66,46,33,257,29,96,174,133,106,165,99,217,154,117,1068,1014,986
"PA14_08030",29,137,140,193,595,136,266,431,359,322,419,240,574,380,312,2423,2152,2322
"PA14_08040",5,66,70,80,228,55,167,175,99,128,156,103,385,170,208,1551,1450,1249
"PA14_08050",63,367,418,297,1357,327,397,1016,708,679,882,613,1648,967,908,5349,5169,4878
"PA14_08060",6,40,38,51,270,37,56,206,100,120,161,81,417,250,235,1659,1571,1228
"PA14_08070",42,161,144,75,669,75,191,386,294,197,391,225,1344,695,833,8260,7495,7519
"PA14_08090",24,110,97,53,544,63,142,330,168,128,282,143,827,395,467,4736,4341,4315
"PA14_08100",21,40,60,40,281,34,97,219,125,115,163,106,527,240,286,2802,2592,2547
"PA14_08110",3,8,4,11,88,3,31,55,40,24,45,30,205,73,111,1126,971,920
"PA14_08120",51,378,413,466,2231,292,893,1391,807,1066,1389,752,1881,1351,1146,6952,6994,6503
"PA14_08130",15,108,94,84,609,66,190,382,270,226,378,243,661,397,432,2049,2097,2089
"PA14_08140",6,42,26,16,148,32,55,111,87,93,112,76,201,102,126,645,649,660
"PA14_08150",16,90,107,83,446,60,187,329,183,225,292,162,415,278,275,1527,1521,1400
"PA14_08160",0,43,29,21,141,17,49,110,52,50,97,60,208,120,133,905,858,852
"PA14_08180",1,26,8,11,82,15,39,64,37,39,76,18,146,95,103,679,645,688
"PA14_08190",1,15,10,7,51,27,16,39,17,30,36,14,99,50,50,432,461,403
"PA14_08200",2,19,6,14,45,24,28,51,37,34,71,28,180,46,71,838,694,693
"PA14_08210",8,64,60,37,214,38,53,196,110,96,214,104,553,246,258,3293,3100,2983
"PA14_08220",2,92,84,61,339,72,213,279,152,201,297,183,510,286,255,3152,2938,2729
"PA14_08230",0,47,42,36,214,37,152,183,110,138,161,137,373,157,196,2103,1889,1921
"PA14_08240",31,220,238,113,876,119,274,542,391,474,533,345,1043,564,533,4017,3776,3706
"PA14_08250",6,47,65,33,232,25,68,170,112,145,178,71,231,157,108,918,866,816
"PA14_08260",1,23,32,12,93,20,46,70,58,72,80,67,256,157,186,1253,1249,1101
"PA14_08270",7,39,75,33,224,34,117,151,115,149,168,136,272,177,194,1174,1273,1097
"PA14_08280",1,57,62,30,274,32,119,170,104,112,168,129,240,165,140,986,989,904
"PA14_08300",30,155,181,147,827,112,279,519,280,326,501,309,998,629,578,3801,3780,3590
"PA14_08310",33,243,293,494,1617,324,591,1426,732,759,992,678,1097,824,567,2252,1975,1700
"PA14_08320",35,206,368,564,1627,401,632,1489,784,818,1061,699,919,800,451,1307,1248,946
"PA14_08330",7,79,122,189,642,158,269,503,338,254,313,281,536,297,271,655,781,453
"PA14_08340",16,73,129,187,427,137,134,508,247,203,267,186,449,327,300,503,399,394
"PA14_08350",28,157,231,383,1742,324,314,1196,473,461,806,558,1165,826,820,1139,1059,910
"PA14_08360",13,84,126,192,884,132,239,550,239,238,402,287,625,448,451,618,561,532
"PA14_08370",88,776,1213,1376,5281,1323,1494,4189,2201,1432,2265,1899,2855,3194,2024,3052,2351,1938
"PA14_08380",0,46,52,87,326,53,109,197,129,105,178,73,260,200,147,263,182,156
"PA14_08390",5,10,22,15,55,11,22,27,29,12,32,21,107,30,63,181,125,98
"PA14_08400",29,264,358,377,1877,376,449,1468,780,382,792,533,2575,2432,2116,2442,2244,1768
"PA14_08420",9,148,135,197,1045,174,225,826,272,189,527,255,1210,1049,881,1389,1097,1254
"PA14_08430",85,288,609,855,2390,737,816,1657,1022,823,1277,998,1562,1241,1227,1411,1546,1192
"PA14_08440",11,58,123,163,401,129,189,259,143,100,220,179,502,412,383,672,419,546
"PA14_08450",6,60,116,136,429,87,114,303,153,113,214,132,596,355,393,887,537,613
"PA14_08460",19,135,153,202,955,195,241,583,245,223,370,251,1101,844,789,1430,1077,1265
"PA14_08470",11,40,27,77,250,64,64,158,85,66,100,80,326,234,198,434,278,292
"PA14_08480",26,171,323,597,1323,363,539,1013,474,507,731,538,1107,950,718,1304,942,1024
"PA14_08490",6,65,108,215,625,136,167,449,222,185,291,226,871,422,548,556,662,367
"PA14_08500",7,115,86,193,903,187,148,563,288,140,292,208,838,583,526,656,568,422
"PA14_08510",28,217,218,287,1097,245,221,1149,471,239,760,409,899,810,823,1028,1209,669
"PA14_08520",81,369,578,608,2068,476,760,1994,1084,546,1268,910,3568,2115,2426,2338,2742,2086
"PA14_08540",103,513,1048,1275,3863,975,1389,3649,2091,1000,2167,1633,5517,2712,3579,5900,4655,4260
"PA14_08560",21,340,567,788,2618,741,581,1667,1145,863,1408,1286,1541,1596,1434,1309,1349,961
"PA14_08570",1561,5590,1720,1370,3875,12641,62147,12913,1318,1576,20062,1141,42928,10678,773,768,54197,336
"PA14_08580",14,41,120,39,107,63,84,236,136,76,213,170,160,178,206,199,238,147
"PA14_08590",15,38,118,37,94,68,80,193,137,72,192,161,160,147,187,157,206,112
"PA14_08600",2832,24426,13830,7111,33508,22039,89913,68153,15184,17548,75147,16373,76284,26481,6546,11177,227753,5167
"PA14_08610",0,11,6,3,11,12,12,13,13,13,11,12,114,4,70,71,155,31
"PA14_08620",44,310,293,628,2435,384,759,1772,830,691,1215,675,1092,1059,650,1022,865,715
"PA14_08630",22,193,259,498,1745,310,508,1205,638,563,850,572,993,738,611,750,664,537
"PA14_08640",13,201,235,442,1561,304,521,1138,522,562,686,495,872,706,552,524,594,404
"PA14_08650",14,114,227,143,645,175,233,735,486,125,360,250,795,637,770,1419,1219,991
"PA14_08660",41,223,524,426,1321,492,481,1591,1435,243,688,601,1096,959,884,1759,1131,1374
"PA14_08670",20,126,348,213,915,236,283,1016,679,186,507,371,624,572,536,1067,621,684
"PA14_08680",345,2922,2816,4998,22982,4038,5428,15480,7190,7315,11882,7161,20987,16652,13579,27193,19571,21400
"PA14_08690",38,85,113,124,399,183,121,394,260,107,201,219,1224,427,800,1372,822,982
"PA14_08695",113,697,899,1917,5450,1184,1630,3890,2233,1871,2217,1794,3903,2442,2523,3394,2192,1636
"PA14_08710",143,1053,1579,2906,8763,1892,2784,6302,3676,3311,4183,3192,5427,4014,3579,5318,3608,2720
"PA14_08720",118,763,834,1914,6389,1191,1120,3008,1407,2386,3248,2191,9054,4860,4777,9714,6223,6187
"PA14_08730",219,1318,1457,4169,11472,2092,2667,5284,2448,6178,6067,3816,13552,5728,6627,12877,8665,8539
"PA14_08740",94,483,938,1357,4024,1034,799,1938,1127,1597,1962,1728,7672,3083,3776,8559,4697,4143
"PA14_08750",95,782,611,1953,5844,861,1252,2835,1189,2307,2572,1721,7364,3221,3186,7946,4412,4084
"PA14_08760",501,3076,3638,7506,24994,4662,5448,11585,5077,11934,13674,9019,39563,17314,20033,38114,23285,24058
"PA14_08780",746,4246,5793,10460,33817,7173,7589,15299,7397,16483,19389,14006,47016,25443,25798,44020,29015,28732
"PA14_08790",45,574,383,1131,5368,671,976,3226,1209,1720,2521,1423,8732,2888,4421,11541,5909,4898
"PA14_08810",183,1354,916,3103,10985,1632,2661,6167,2623,4761,4980,2900,14489,7422,6779,18598,9024,8449
"PA14_08820",621,5200,5474,12785,46914,8184,10648,24628,11642,20394,24549,15237,50926,27948,24126,52069,30249,32426
"PA14_08830",440,4949,3993,8578,39934,6298,7768,22062,9471,12998,19676,11547,39237,26632,22038,39836,28791,29913
"PA14_08840",60,359,462,818,2711,578,478,1616,785,1019,1436,1037,4824,1077,2263,5982,3263,2449
"PA14_08850",120,931,994,2827,8800,1370,1981,4187,1894,4068,3862,2498,10514,5623,5271,13883,6645,6630
"PA14_08860",89,900,689,2402,8183,1126,1595,3716,1583,3587,3294,2242,11401,5660,4985,13530,6643,7248
"PA14_08870",74,432,419,1065,3218,572,608,1537,711,1470,1508,1040,5213,1968,1944,5842,3082,2711
"PA14_08880",343,1326,1584,4611,10410,2064,2924,4808,2171,5938,5563,3443,12259,5094,5265,12214,7202,6647
"PA14_08890",117,743,776,1588,5785,1171,946,2665,1224,1806,2885,1820,6948,2859,2988,6881,3936,3643
"PA14_08900",74,983,705,2423,7703,1369,1487,3707,1482,2879,3371,2264,8473,4398,3353,7852,4430,3966
"PA14_08910",182,1395,1567,3313,11095,2070,1913,5164,2307,4630,4955,3679,13728,5841,5754,13173,7035,6914
"PA14_08920",158,1175,949,3400,9847,1849,2436,4333,1893,4348,4623,2999,10249,6279,4428,10160,5333,6300
"PA14_08930",50,512,413,1609,4068,878,1256,1988,990,2092,1818,1624,4892,3146,2196,5006,2561,3039
"PA14_08940",65,570,449,1556,4587,957,979,2222,1036,1697,1882,1461,6105,3146,2606,6603,3340,3684
"PA14_08950",182,1274,1284,3169,10566,2016,1898,4667,1925,3809,4807,3250,7945,5400,3814,7585,4759,4332
"PA14_08960",58,374,239,954,2957,589,561,1496,593,1390,1247,1040,5054,1803,2149,4851,2575,2496
"PA14_08970",180,927,1094,2554,6263,1519,1729,3079,1444,3685,3078,2552,9034,3428,3806,9110,4592,4625
"PA14_08980",120,361,561,1238,2579,707,600,1249,659,1385,1383,1174,4924,1703,2316,5764,2752,3065
"PA14_08990",202,829,1210,2839,7333,1384,2033,4319,2436,2629,3263,2144,7943,4164,3744,13685,5288,6645
"PA14_09000",217,1325,1521,3850,11078,2326,3030,5873,3196,4722,5586,3278,13836,7595,6340,21242,8761,11324
"PA14_09010",112,721,614,1816,6045,973,1347,3130,1304,2513,3022,1586,9959,4512,4337,12757,6080,6702
"PA14_09020",146,1309,1213,3023,10839,1760,2499,5208,2128,4326,5207,2975,15438,7409,6664,16120,8551,8934
"PA14_09030",133,859,849,2161,6279,1274,1846,3551,1474,2684,3415,2122,9572,4278,4073,10054,5265,5840
"PA14_09040",362,1653,2029,5187,13499,2845,4322,7354,3474,6666,7453,5005,15833,9322,7167,15588,8713,9515
"PA14_09050",863,2615,5506,10219,22524,6606,7826,12204,7362,10803,12514,11030,25462,12683,11104,21381,12182,12317
"PA14_09070",202,872,1246,3438,8167,2030,2720,5108,2543,3648,4877,3125,7148,3826,3329,5788,3383,2796
"PA14_09080",128,710,771,1860,5493,1354,1351,3180,1751,1843,2387,2027,9825,3447,4332,9196,3905,3485
"PA14_09090",59,480,364,816,3452,525,555,1567,717,1220,1347,923,8555,3260,4001,9102,4171,3744
"PA14_09100",91,704,668,1680,6249,949,1284,2670,1281,2564,2631,1816,12766,4276,5833,13601,6321,7003
"PA14_09115",297,1496,1951,3848,10675,2435,2808,5593,2797,5372,5939,4549,17111,7266,7520,17397,9135,9352
"PA14_09130",52,308,365,596,1744,344,357,879,373,775,979,724,6200,1516,2739,6848,3782,3224
"PA14_09150",161,2490,1214,3796,19753,2438,3397,10729,3963,4742,7079,3896,18534,14208,13350,19249,17601,17496
"PA14_09160",17,108,124,211,774,167,230,482,256,295,348,193,1239,712,642,1622,754,745
"PA14_09180",39,156,339,482,1383,374,515,882,490,569,741,579,2139,1163,1186,2314,1425,1359
"PA14_09195",27,38,114,150,523,131,175,394,171,185,231,207,647,408,460,830,507,488
"PA14_09200",16,149,181,308,1192,213,230,1011,352,230,616,363,989,890,765,1726,953,1091
"PA14_09210",280,1243,2147,3830,13462,2166,3195,7804,2510,4416,7996,4105,16340,14823,9917,15105,15790,10380
"PA14_09220",23,242,230,636,2732,300,449,1581,317,751,1469,629,5698,3353,3141,5396,5156,3138
"PA14_09230",21,231,231,518,2234,274,588,1260,292,580,1228,507,5781,3281,2694,5117,4745,2784
"PA14_09240",150,961,1007,2627,8466,1132,2328,5034,1294,3451,5284,2024,10176,7852,4192,12681,8396,6764
"PA14_09260",20,117,208,285,898,157,318,574,235,332,568,319,1291,870,642,2119,957,1205
"PA14_09270",241,1320,2151,4333,11225,2169,4111,7589,2715,4655,6947,3940,13332,12037,8544,12707,12567,9022
"PA14_09280",297,1376,2508,4638,12900,2628,4328,8078,3295,4740,7501,4624,16543,14967,12020,14518,15589,10837
"PA14_09290",67,422,699,1131,3759,773,1242,2433,965,1518,2271,1372,4217,3514,2841,3633,3772,2807
"PA14_09300",65,293,657,986,2496,438,886,1639,634,1005,1621,985,4077,3149,2877,3573,3698,2706
"PA14_09320",91,434,786,1345,3986,792,1510,2791,1031,1646,2618,1492,4330,3979,2992,3520,3882,2721
"PA14_09340",121,598,873,1267,5478,897,1550,3968,1523,1801,3165,1801,7717,5221,4143,7718,6214,4596
"PA14_09350",42,130,270,641,1461,289,807,1084,428,713,838,495,1624,1267,1101,1310,1307,995
"PA14_09370",47,168,321,680,1348,395,767,1219,594,605,971,704,2098,1844,1312,1710,1638,1216
"PA14_09380",49,186,334,703,1846,340,1043,1478,614,856,1238,770,2434,2168,1670,2085,2084,1611
"PA14_09400",14,232,258,91,1550,202,347,926,484,605,1237,961,2492,1639,3095,2544,2014,3611
"PA14_09410",55,440,571,1023,4465,712,686,1696,667,1716,2333,1617,6267,4367,4552,5294,4283,4853
"PA14_09420",101,939,1103,2324,7973,1551,1095,2843,1175,3185,3937,2641,12820,9588,8641,10612,8362,8636
"PA14_09440",201,2108,1797,5796,21345,3393,3205,6939,2613,9737,9670,6359,36844,23794,23692,30474,22646,25211
"PA14_09450",71,742,667,2039,7815,1200,986,2574,863,3170,3388,2232,16245,12279,10890,14276,10478,12025
"PA14_09460",65,788,732,2016,8043,1062,1330,3024,1148,3130,3793,2743,13002,8606,10385,13303,10408,11890
"PA14_09470",6,166,126,72,893,126,265,710,524,280,688,672,1528,551,1377,1945,1302,1879
"PA14_09480",12,43,52,108,368,45,103,235,133,136,248,151,583,259,369,875,353,484
"PA14_09490",34,464,654,687,2950,560,1124,2410,1529,1189,1809,1691,2378,1476,2097,2301,1847,2490
"PA14_09500",189,1241,3403,3343,10671,3041,2761,7829,4092,2373,5640,4655,11694,11425,12584,9127,13400,10192
"PA14_09520",597,2639,7415,8087,20842,6800,6316,16463,8783,5728,12036,10006,21357,18893,18860,15042,19074,14493
"PA14_09530",276,1654,3147,4285,12815,3415,3508,9274,4279,3428,6357,4461,16093,10909,11834,14521,14294,12355
"PA14_09540",249,1043,2151,2665,8065,2369,2295,5676,2876,2444,3912,2787,13705,9012,9481,15548,13303,11348
"PA14_09550",28,137,208,367,1115,254,255,667,289,188,349,271,999,816,763,1257,1041,1088
"PA14_09570",2,8,28,24,65,26,36,64,37,11,35,21,95,87,105,83,111,94
"PA14_09580",4,32,35,83,236,55,84,236,61,77,124,72,380,367,353,448,394,378
"PA14_09600",14,153,190,318,1395,238,412,905,390,324,649,424,1266,879,896,1161,1080,972
"PA14_09610",7,78,74,92,354,64,81,205,99,118,245,140,387,271,216,348,318,283
"PA14_09630",6,137,175,231,1161,165,222,665,271,269,565,307,1831,1279,1313,1836,1608,1539
"PA14_09660",17,30,49,69,235,57,85,181,78,108,179,103,431,240,283,527,442,312
"PA14_09680",8,37,66,79,276,54,66,208,128,86,205,117,235,296,232,225,290,228
"PA14_09690",11,30,65,54,235,59,88,203,62,82,172,131,201,215,164,188,217,176
"PA14_09700",5,98,142,266,698,166,285,493,254,303,418,294,702,523,494,977,648,802
"PA14_09710",0,7,12,40,105,20,26,57,25,37,43,29,110,84,65,72,68,79
"PA14_09730",2,2,17,3,56,11,8,25,8,8,23,9,64,60,57,56,59,58
"PA14_09740",1,1,2,3,34,6,1,17,8,7,13,12,41,30,26,37,46,32
"PA14_09750",3,12,29,32,83,17,17,74,35,38,43,30,140,95,131,134,129,135
"PA14_09760",9,25,29,23,129,29,23,103,47,52,58,36,164,96,129,167,140,116
"PA14_09770",14,54,151,200,532,118,179,380,186,189,299,238,403,298,285,300,405,327
"PA14_09780",5,13,39,35,90,27,28,90,50,44,31,47,247,93,119,188,153,139
"PA14_09790",5,26,30,42,212,39,30,95,55,29,99,57,227,170,194,320,208,226
"PA14_09810",0,8,2,7,49,7,8,18,19,10,21,6,62,34,55,110,61,49
"PA14_09820",38,199,307,397,1542,300,498,1119,422,390,720,476,1675,1124,938,2014,1194,1539
"PA14_09850",0,9,6,3,8,0,5,16,1,6,9,7,10,11,13,11,11,10
"PA14_09870",0,13,7,5,15,2,3,9,4,1,12,8,23,16,33,25,20,23
"PA14_09880",7,22,74,75,149,52,107,128,95,110,149,159,166,157,134,129,89,118
"PA14_09890",6,86,76,168,644,98,181,485,148,111,317,184,1135,667,612,1188,752,768
"PA14_09900",234,1420,2020,3420,14495,2279,3895,8700,3871,6742,10058,6343,32053,19342,23508,40154,29053,36972
"PA14_09910",2,19,29,19,105,21,17,97,53,48,76,42,127,100,113,134,109,131
"PA14_09920",0,12,14,15,86,22,27,78,59,28,75,52,68,72,48,40,65,67
"PA14_09930",5,90,114,227,956,144,92,332,146,111,209,144,867,610,629,962,1114,908
"PA14_09940",6,148,116,291,1341,188,110,577,144,135,287,158,1138,911,941,1547,1785,1470
"PA14_09950",0,4,11,26,68,22,51,94,42,40,53,16,81,69,65,105,93,118
"PA14_09960",2,9,1,18,76,9,29,69,23,26,30,17,79,52,56,70,70,49
"PA14_09970",0,19,30,27,83,27,24,59,32,31,69,31,102,48,76,146,89,79
"PA14_09980",3,1,7,6,9,4,0,8,4,7,2,4,11,11,14,16,7,9
"PA14_09990",0,7,3,3,54,6,21,30,8,10,23,5,36,21,30,43,36,46
"PA14_10010",2,28,54,14,133,24,41,139,99,43,79,75,192,183,160,193,197,177
"PA14_10020",5,59,57,113,356,68,118,284,137,126,222,137,324,275,252,288,336,309
"PA14_10040",58,122,278,357,1185,251,416,910,377,420,652,393,1583,1138,1153,1572,1481,1533
"PA14_10050",0,3,4,3,31,2,12,20,1,5,9,7,13,27,18,29,17,15
"PA14_10070",0,8,11,12,41,5,5,44,5,20,30,18,53,49,46,55,38,50
"PA14_10080",0,0,1,2,16,5,5,17,2,3,6,4,24,20,21,25,18,16
"PA14_10090",1,54,73,90,345,70,118,249,159,96,177,141,260,181,199,250,237,244
"PA14_10110",1,5,14,10,21,10,5,18,11,8,21,9,45,20,28,23,18,22
"PA14_10120",2,14,39,46,127,19,60,110,65,55,81,57,155,102,85,195,130,142
"PA14_10130",11,17,73,42,157,40,71,131,57,57,124,76,206,179,160,272,207,208
"PA14_10140",0,4,6,0,3,2,4,9,7,0,4,2,24,11,13,13,13,8
"PA14_10160",0,6,1,4,11,0,5,8,2,5,11,7,23,21,14,12,21,16
"PA14_10170",2,6,5,1,9,2,1,22,17,0,16,16,24,26,23,21,28,25
"PA14_10180",0,9,17,22,54,11,37,34,43,13,32,28,42,34,20,41,34,25
"PA14_10190",0,12,34,49,147,31,60,117,85,42,59,51,176,169,139,293,197,231
"PA14_10200",1,2,7,28,26,9,11,27,18,7,13,13,43,21,35,51,31,52
"PA14_10210",0,2,7,15,18,1,13,19,5,3,11,8,39,28,34,38,32,37
"PA14_10220",0,1,19,19,69,13,29,70,31,16,47,29,87,76,86,148,89,132
"PA14_10230",0,13,32,28,95,29,43,89,76,15,35,37,94,74,67,73,78,79
"PA14_10240",0,28,25,33,150,18,48,94,64,47,80,49,95,97,85,65,80,75
"PA14_10250",0,7,5,2,44,5,7,23,8,8,21,11,46,23,31,34,50,23
"PA14_10260",0,7,1,7,24,2,8,22,7,8,7,8,39,17,17,20,12,27
"PA14_10270",0,1,1,0,6,2,6,12,1,0,3,4,21,12,11,19,16,18
"PA14_10280",0,5,8,5,31,3,12,32,23,2,7,4,42,30,20,30,33,27
"PA14_10290",15,157,305,284,1055,291,422,953,543,266,578,466,1090,852,928,898,992,864
"PA14_10300",6,6,8,6,22,2,10,23,12,6,12,10,47,38,30,38,30,36
"PA14_10320",6,37,80,42,156,35,78,193,108,77,128,103,228,165,204,305,227,241
"PA14_10330",12,31,93,49,169,39,76,224,99,73,169,147,398,288,330,274,324,286
"PA14_10340",18,86,190,122,478,107,238,560,361,185,402,319,791,570,655,590,569,500
"PA14_10350",66,484,670,764,3771,745,1220,3611,1784,829,1837,1422,5327,3195,3713,3767,3748,2696
"PA14_10360",392,8877,2806,14679,67652,6053,19385,55003,13611,18250,37867,13760,36596,22414,21454,24597,30099,15700
"PA14_10370",6,53,63,107,379,73,106,222,132,153,167,101,713,383,355,687,474,393
"PA14_10380",13,73,100,200,530,105,192,475,149,177,466,246,1208,570,798,1615,1471,993
"PA14_10400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"PA14_10410",0,0,0,2,0,1,0,4,0,0,1,0,0,2,1,0,1,0
"PA14_10420",2,19,14,36,94,16,15,62,13,24,32,18,128,74,83,115,122,103
"PA14_10440",0,6,30,38,28,9,19,40,29,18,25,25,49,24,41,30,52,31
"PA14_10470",2,45,49,59,212,67,80,157,112,91,94,121,235,169,187,199,177,185
"PA14_10480",19,25,40,49,266,38,75,163,72,65,149,90,223,162,118,383,190,185
"PA14_10490",31,308,435,535,1890,397,736,1892,786,596,1346,721,2851,1789,1934,2168,2075,1666
"PA14_10500",329,1673,2725,4431,12432,3033,5181,10232,4897,4935,6606,4583,17935,10659,10611,19957,12464,13976
