"gene_id","PAO1161.EV_1.GSM4975402.","PAO1161.EV_2.GSM4975403.","PAO1161.EV_3.GSM4975404.","PAO1161_PA3973oe_1","PAO1161_PA3973oe_2","PAO1161_PA3973oe_3","PAO1161_WT_1","PAO1161_WT_2","PAO1161_WT_3","PAO1161_dPA3973_1","PAO1161_dPA3973_2","PAO1161_dPA3973_3"
"D3C65_15330",8,16,10,10,10,6,12,24,26,19,24,35
"D3C65_15335",16,11,8,28,20,17,58,50,68,47,62,58
"D3C65_15340",42,37,35,51,45,39,141,142,171,119,151,234
"D3C65_15345",190,193,185,199,124,149,510,525,667,523,585,741
"D3C65_15350",16,14,9,10,9,7,22,34,47,35,27,41
"D3C65_15355",100,88,82,49,47,53,185,224,295,226,223,228
"D3C65_15360",6,8,6,3,6,6,20,25,26,23,23,27
"D3C65_15365",16,27,18,21,19,17,60,71,88,65,85,86
"D3C65_15370",5,5,5,16,13,7,23,40,57,54,23,32
"D3C65_15375",6,3,7,18,14,14,43,47,94,73,39,33
"D3C65_15380",566,628,555,627,556,527,1216,1292,1627,1306,1409,1918
"D3C65_15385",12,12,6,4,3,7,21,21,33,21,20,30
"D3C65_15390",52,38,52,46,42,42,107,137,153,146,155,175
"D3C65_15395",16,29,22,44,27,29,40,69,81,59,44,81
"D3C65_15400",69,88,78,96,92,78,219,239,237,203,204,274
"D3C65_15405",744,739,773,1238,1174,1199,3364,3357,3944,3047,3279,4524
"D3C65_15410",24,16,10,26,22,24,29,41,54,29,33,60
"D3C65_15415",177,131,137,263,192,210,412,406,467,313,379,586
"D3C65_15420",2593,2640,2618,2953,2531,2394,6162,5874,7525,5213,5581,7016
"D3C65_15425",1,6,1,5,12,7,10,16,15,7,14,16
"D3C65_15430",74,103,101,163,115,116,661,613,976,828,622,623
"D3C65_15435",1533,1637,1804,2665,2030,1732,5432,5395,7332,6343,5387,6749
"D3C65_15440",152,191,164,176,153,145,320,224,304,258,248,311
"D3C65_15445",28,32,26,74,41,43,98,65,102,81,116,121
"D3C65_15450",179,239,197,339,370,299,445,301,681,538,808,584
"D3C65_15455",20,30,23,27,25,18,35,16,60,37,66,51
"D3C65_15460",77,65,79,57,38,32,129,154,198,154,151,205
"D3C65_15465",20,10,10,14,10,11,44,44,57,46,29,63
"D3C65_15470",89,83,69,65,60,72,237,238,266,185,206,332
"D3C65_15475",422,410,344,386,349,347,1513,1540,1813,1294,1487,1763
"D3C65_15480",34,49,22,32,32,31,96,109,131,91,99,132
"D3C65_15485",46,82,54,82,88,61,97,142,133,113,100,161
"D3C65_15490",43,64,51,66,43,57,142,116,153,119,116,167
"D3C65_15495",49,43,46,59,64,67,110,123,164,140,200,210
"D3C65_15500",10,26,12,22,18,26,33,29,63,47,38,53
"D3C65_15505",495,508,332,49,35,60,142,278,456,737,704,793
"D3C65_15510",1718,1817,1885,1159,997,1021,2660,2873,4139,3097,3366,4081
"D3C65_15515",26,31,43,18,15,11,33,37,54,54,62,77
"D3C65_15520",3383,3727,3715,4225,3860,3939,8524,8143,12120,8236,8989,11211
"D3C65_15525",46,47,57,79,65,55,105,86,126,79,122,131
"D3C65_15530",7,11,6,0,3,5,4,7,13,6,7,15
"D3C65_15535",445,494,439,915,726,708,1095,1043,1375,992,1094,1406
"D3C65_15540",588,604,383,2076,1775,1992,682,583,634,451,480,803
"D3C65_15545",946,1095,808,3845,3381,3331,1538,1428,1946,1409,1544,1988
"D3C65_15550",34,31,27,208,162,198,55,58,61,50,63,101
"D3C65_15555",80,88,77,55,43,48,157,156,222,205,202,244
"D3C65_15560",168,138,239,111,153,133,846,911,1088,879,1008,1103
"D3C65_15565",789,795,1847,399,538,519,5055,5519,7038,6113,5096,5649
