"gene_id","CONTROL.R1...raw.counts","CONTROL.R2...raw.counts","NAC8.R1...raw.counts","NAC8.R2...raw.counts"
"IS492_04360",15862,79908,14441,79567
"IS492_04365",20452,100954,17637,98898
"IS492_04370",53849,215047,44356,211788
"IS492_04375",57908,170466,51999,182102
"IS492_04380",378,1027,343,917
"IS492_04385",232,628,243,521
"IS492_04390",708,1722,646,1540
"IS492_04395",958,2809,981,2713
"IS492_04400",1149,2805,1401,3393
"IS492_04405",1299,3913,1848,4268
"IS492_04410",1805,5051,2601,5142
"IS492_04415",1417,4535,1932,4447
"IS492_04420",1226,4887,1525,4286
"IS492_04425",1,6,4,5
"IS492_04430",134,427,154,372
"IS492_04435",216,591,233,537
"IS492_04440",194,587,191,488
"IS492_04445",40,88,30,63
"IS492_04450",232,691,280,614
"IS492_04455",347,1022,324,918
"IS492_04460",530,1476,516,1278
"IS492_04465",3190,8152,2927,8111
"IS492_04470",1773,6058,1612,4666
"IS492_04475",307,753,252,608
"IS492_04480",954,2138,890,2140
"IS492_04485",767,1130,720,986
"IS492_04490",29,105,42,120
"IS492_04495",40,158,33,111
"IS492_04500",52,126,48,135
"IS492_04505",38,109,52,104
"IS492_04510",74,174,70,142
"IS492_04515",18,40,12,43
"IS492_04520",28,76,40,96
"IS492_04525",346,918,255,701
"IS492_04530",16,42,13,43
"IS492_04535",354,702,491,763
"IS492_04540",1052,1445,931,1398
"IS492_04545",201,492,147,394
"IS492_04555",63,225,56,191
"IS492_04560",5,18,4,13
"IS492_04565",38,38,43,50
"IS492_04570",135,255,193,283
"IS492_04575",165,292,148,323
"IS492_04580",133,441,136,412
"IS492_04585",38,52,26,55
"IS492_04600",456,1523,718,1437
"IS492_04605",68,185,68,137
"IS492_04610",4,6,1,3
"IS492_04615",2779,5707,3438,7296
"IS492_04620",427,1257,618,1443
"IS492_04625",1784,4306,2370,5051
"IS492_04630",2703,7525,3616,7123
"IS492_04635",284,776,327,745
"IS492_04640",40,100,44,61
"IS492_04645",25,85,15,66
"IS492_04650",599,1870,511,1495
"IS492_04655",1178,2901,1308,2649
"IS492_04660",236,622,213,559
"IS492_04665",832,2249,887,2100
"IS492_04670",1044,2685,1279,2754
"IS492_04675",84,250,77,201
"IS492_04680",57,172,82,156
"IS492_04685",138,379,171,406
"IS492_04690",333,1113,365,919
"IS492_04695",1013,2603,1319,3060
"IS492_04700",4088,11215,4984,10762
"IS492_04705",701,1889,653,1477
"IS492_04710",187,357,408,627
"IS492_04715",4838,15007,6394,16121
"IS492_04720",288,1054,162,609
"IS492_04725",313,795,245,586
"IS492_04730",2102,4880,2567,5630
"IS492_04735",580,1752,654,1418
"IS492_05125",279,1268,381,1131
"IS492_05130",309,824,382,620
"IS492_05135",953,2113,901,1717
"IS492_05140",5298,13384,7315,13543
"IS492_05145",1751,5322,1589,4400
"IS492_05150",1630,4077,1480,3642
"IS492_05155",399,1336,360,1202
"IS492_05160",188,800,198,718
"IS492_05165",224,835,200,770
"IS492_05170",1412,4777,1299,4432
"IS492_05175",786,1823,571,1619
"IS492_05180",2652,7445,3007,7189
"IS492_05185",6928,20859,8070,20386
"IS492_05190",1626,5349,2254,5497
"IS492_05195",999,2875,1389,3524
"IS492_05200",342,1504,460,922
"IS492_05205",63,123,53,107
"IS492_05210",16,70,31,74
"IS492_05215",43,112,46,112
"IS492_05220",110,346,140,431
"IS492_05225",341,799,336,847
"IS492_05230",2175,6135,1476,5383
"IS492_05235",7952,22991,6045,19987
"IS492_05240",268,872,212,601
"IS492_05245",1185,3987,981,2566
"IS492_05250",119,186,95,151
"IS492_05255",377,756,415,799
"IS492_05260",1301,3621,1649,3214
"IS492_05265",462,1429,502,1210
"IS492_05270",352,1107,218,752
"IS492_05275",1071,2646,1274,2541
"IS492_05280",1787,4003,2283,4494
"IS492_05285",1784,5867,2014,5517
"IS492_05290",16574,43281,22969,48007
"IS492_05295",29066,79943,39634,92571
"IS492_05300",3597,9151,3914,9368
"IS492_05305",3899,10280,4182,9110
"IS492_05310",1741,4934,1661,4188
"IS492_05315",1310,3442,1359,3094
"IS492_05320",1668,4620,1900,4821
"IS492_05325",796,2341,901,2446
"IS492_05330",895,2169,894,2192
"IS492_05335",666,1653,824,1850
"IS492_05340",1010,2760,1251,3003
"IS492_05345",4069,12592,5015,12721
"IS492_05350",2601,7088,3484,7771
"IS492_05355",1206,3288,1513,3566
"IS492_05360",692,1906,768,1951
"IS492_05365",980,2164,1156,2379
"IS492_05370",1464,3878,1503,3944
"IS492_05375",670,1938,608,1691
"IS492_05380",470,1427,372,1033
"IS492_05385",1360,3747,1161,2793
"IS492_05390",4309,10953,3732,9560
"IS492_05395",1132,4116,933,3734
"IS492_05400",117,297,111,246
"IS492_05405",160,468,200,400
"IS492_05410",676,2024,698,1589
"IS492_05415",785,2437,1124,2631
