"gene_id","empty_NI_1","empty_NI_2","empty_NI_3","pit4_NI_1","pit4_NI_2","pit4_NI_3","empty_I_1","empty_I_2","empty_I_3","pit4_I_1","pit4_I_2","pit4_I_3"
"PA5525",576,237,336,160,141,208,231,203,226,121,305,204
"PA5524",299,338,408,281,189,292,394,290,243,146,333,366
"PA5523",582,860,1137,747,568,880,761,778,601,346,884,756
"PA5522",520,852,1083,620,510,722,749,691,680,388,1028,901
"PA5521",1310,1834,2382,1521,1210,1729,1684,1665,1518,938,2552,1992
"PA5520",826,1191,1455,1177,753,1106,1135,947,975,541,1641,1295
"PA5519",548,474,611,420,327,433,479,433,335,291,610,535
"PA5518",514,720,799,549,393,651,587,555,557,219,586,583
"PA5517",105,132,127,84,69,114,112,76,86,48,164,130
"PA5516",634,757,988,606,384,681,573,641,584,409,794,677
"PA5515",106,394,484,354,229,352,296,228,204,133,311,265
"PA5514",160,170,216,139,101,179,142,111,96,74,160,140
"PA5513",251,370,463,369,272,345,350,294,240,224,399,399
"locus_tag=BPMHFNII_00062",74,8,30,13,6,22,10,17,14,7,2,6
"PA5511",374,672,761,476,377,571,477,485,410,305,777,705
"PA5510",190,183,185,86,85,99,74,113,103,67,151,150
"PA5509",148,63,66,61,31,45,46,29,19,27,36,37
"PA5508",48,50,45,59,29,45,50,46,39,11,25,45
"PA5507",84,93,104,67,34,75,110,65,80,22,41,53
"PA5506",79,66,89,54,63,66,91,48,36,37,79,59
"PA5505",3245,4185,5469,3740,3019,4848,4862,3834,2846,2218,5593,4827
"PA5504",465,657,750,566,478,795,614,483,388,322,780,666
"PA5503",762,1048,1343,1055,796,1282,892,822,727,571,1226,1148
"PA5502",460,688,822,684,536,733,668,482,366,373,701,755
"PA5501",184,233,288,168,105,194,154,197,140,58,201,182
"PA5500",339,472,558,287,242,476,437,403,330,231,482,443
"PA5499",247,561,655,500,321,463,478,416,275,155,637,514
"PA5498",319,652,659,569,451,484,477,442,308,227,645,604
"PA5497",4611,6092,7803,3770,3194,5219,7242,6802,6174,2150,5346,4836
"PA5496",1077,1440,1865,987,791,1252,1826,1512,1480,428,1395,1173
"PA5495",995,1192,1461,921,724,1107,1378,1212,799,507,1337,1231
"PA5494",1593,2549,3506,1871,1504,2272,3680,3080,2487,1291,2961,2601
"PA5493",2856,3899,4866,2965,2437,3598,3326,3167,2856,1792,4812,4193
"PA5492",1367,1593,1923,1220,1024,1521,2262,1329,1228,702,2005,1663
"PA5491",3009,4553,6197,3766,3267,4913,4513,3753,3422,2305,4608,4404
"PA5490",11441,16478,23128,16552,11809,19492,16374,16334,11849,8696,19857,18545
"PA5489",4843,5086,6882,4412,3445,5443,6927,5877,4732,3157,7358,6812
"PA5488",2745,3669,4773,2732,2286,3683,4009,4598,3746,2529,5713,5271
"PA5487",2053,3197,3830,2394,2105,3187,3277,3245,2694,1608,4939,4350
"PA5486",253,234,304,220,172,238,168,234,149,98,226,218
"PA5485",326,367,473,380,220,329,331,286,302,226,436,363
"PA5484",881,1232,1541,989,787,1210,934,876,651,460,1305,1079
"PA5483",1159,1834,2344,1484,1225,1835,1354,1453,1160,742,1952,1708
"PA5482",809,1272,1275,1289,889,1334,589,478,407,250,1015,826
"PA5481",2176,2738,3547,2973,2313,3716,1624,1370,1208,955,2885,2492
"PA5479",2041,1986,2561,1615,1204,2083,1900,1639,1243,859,2202,1875
"PA5478",326,623,640,550,342,450,380,419,384,215,597,550
"PA5477",384,318,435,304,204,318,405,323,269,169,415,288
"PA5476",233,188,157,99,91,110,138,111,99,47,132,114
"PA5475",3590,6296,7707,4276,2869,4397,6726,6747,6070,2444,7201,6212
"PA5474",1669,1682,2012,1482,1010,1530,1407,1365,1135,703,1713,1476
"PA5473",620,784,920,597,471,764,809,685,610,339,695,563
"PA5472",783,1182,1500,941,745,1085,738,913,816,537,1357,1180
"PA5471",542,880,1087,675,601,877,671,714,563,395,842,743
"PA5470",81,177,207,152,130,161,130,148,85,42,137,168
"PA5469",237,38,52,20,20,33,21,14,19,4,27,13
"PA5468",397,85,82,52,39,54,78,23,51,20,54,27
"PA5467",73,86,103,57,54,56,47,41,53,25,46,47
"PA5466",99,127,148,108,85,145,143,79,85,41,82,109
"PA5465",175,440,395,344,213,305,256,248,231,78,404,323
"PA5464",395,520,591,547,388,562,471,413,277,206,503,500
"PA5463",373,478,698,482,313,491,567,396,289,196,464,477
"PA5462",373,472,773,463,441,596,647,498,368,289,538,536
"PA5461",3254,5327,5737,4664,3263,4581,4070,3539,3210,2109,4226,4329
"PA5460",97,100,95,64,55,73,150,86,97,21,134,110
"PA5459",353,461,682,411,324,516,412,416,370,252,562,487
"PA5458",268,262,290,186,130,261,242,203,163,125,268,250
"PA5457",189,340,437,237,196,310,276,243,207,137,346,351
"PA5456",940,1115,1285,813,568,1050,1171,955,842,481,1284,1089
"PA5455",1956,2536,3132,1909,1483,2272,2363,2178,1858,1329,3017,2698
"PA5454",1344,1764,2283,1363,1133,1767,2015,1660,1456,1042,2274,1850
"PA5453",1368,2045,2497,1484,1097,1928,1758,1871,1696,1006,2674,2336
"PA5452",1174,1815,2296,1396,1101,1616,1648,1554,1298,880,2414,2013
"PA5451",441,547,610,352,303,402,422,447,354,229,690,518
"PA5450",865,1061,1369,748,602,953,881,1009,806,542,1282,998
"PA5449",527,805,892,587,451,681,535,625,569,333,911,709
"PA5448",361,532,601,404,310,513,501,431,385,248,551,510
"PA5447",1729,1650,2134,1308,1077,1520,1666,1579,1321,659,1793,1445
"PA5446",1706,2256,2743,1371,1097,1632,4051,1602,1817,1030,3337,2446
"PA5445",1949,2111,2741,1936,1579,2434,2333,1914,1660,752,1336,1375
"PA5444",211,215,264,164,148,163,146,132,142,109,198,171
"PA5443",2867,4259,5384,3581,2571,4237,4064,3413,2880,1831,5184,4356
"PA5442",286,383,459,340,276,377,325,283,247,111,296,290
"PA5441",2085,3619,4494,2423,1988,2994,2458,2571,1993,1154,3528,2911
"locus_tag=BPMHFNII_00133",240,383,462,280,204,337,223,241,179,74,254,230
"PA5440",921,1377,1786,1098,856,1315,1480,1210,1088,708,1985,1745
"PA5439",472,768,888,619,438,720,762,658,574,354,908,792
"PA5438",1202,1981,2383,1494,1188,1828,1525,1782,1355,857,2163,1867
"locus_tag=BPMHFNII_00137",90,116,151,117,63,121,70,95,69,61,72,89
"PA5437",334,433,456,242,256,288,304,301,256,174,444,379
"PA5436",3625,5039,6840,3850,3156,5188,4281,3570,2650,2939,6860,6839
"PA5435",5251,7501,9580,4840,3939,5994,4506,4345,3903,3793,9778,8372
"PA5434",280,388,420,323,229,344,273,205,206,140,324,305
"PA5433",59,97,101,87,67,70,84,80,56,32,91,82
"PA5432",110,148,163,123,101,164,148,130,121,95,225,190
"PA5431",49,59,92,90,50,95,99,94,67,39,104,118
"PA5430",511,971,1131,824,545,884,732,629,509,336,1122,948
"PA5429",15345,20585,26297,18427,14023,22986,20929,16969,14599,12541,28975,25844
"PA5428",995,923,1102,772,555,743,671,811,522,409,1203,970
"PA5427",6083,10247,13177,6589,5346,8398,13339,13527,10909,5259,14971,13444
"PA5426",712,1254,1487,1068,848,1186,739,788,582,565,1297,1118
"PA5425",906,1678,2254,1396,1107,1731,1104,1212,854,672,1876,1796
"PA5424",737,1206,1345,1018,664,894,995,741,745,410,1400,1075
"PA5423",717,1040,1243,903,618,838,941,744,776,442,1068,932
"PA5422",790,1256,1658,1079,971,1449,1377,1098,867,563,1543,1356
"PA5421",387,402,446,334,262,431,409,310,290,256,508,526
"PA5420",180,159,199,117,98,123,227,160,153,76,200,171
"PA5419",73,90,123,59,69,62,113,105,82,47,99,108
"PA5418",414,543,690,363,330,549,615,599,474,211,646,682
"PA5417",83,77,108,36,66,56,84,89,66,29,93,73
"PA5416",247,285,407,208,134,263,277,254,218,116,264,310
"PA5415",769,802,1008,594,421,705,811,597,614,381,951,841
"PA5414",911,1306,1932,1051,1045,1616,1937,1355,986,787,1735,1533
"PA5413",2708,3791,4863,2644,2119,3688,3402,3478,2877,1783,5064,4444
"PA5412",679,1216,1326,1041,755,997,794,807,557,339,1033,844
"PA5411",177,138,171,92,101,124,154,143,151,55,145,100
"PA5410",558,641,884,455,364,612,609,652,536,325,814,761
"locus_tag=BPMHFNII_00166",64,161,156,110,110,114,70,122,75,87,190,118
"PA5409",322,699,925,566,519,730,605,792,695,411,1025,822
"PA5408",53,147,198,147,98,114,70,116,89,91,186,157
"PA5407",38,32,58,51,55,47,25,26,16,2,32,29
"PA5406",58,130,193,122,98,126,94,83,56,32,122,72
"PA5405",35,6,11,4,5,10,13,9,11,7,14,5
"PA5404",49,12,11,6,0,5,8,7,20,0,5,12
"PA5403",31,30,34,14,22,28,36,18,18,6,25,19
"PA5402",171,101,163,82,51,89,123,72,84,43,105,80
"PA5401",39,32,41,31,24,31,48,36,23,5,40,26
"PA5400",63,52,62,50,31,47,42,51,51,28,73,53
"PA5399",146,153,202,106,64,177,177,146,118,77,178,180
"PA5398",436,450,709,329,262,485,570,523,452,243,599,489
"PA5397",138,117,148,59,62,98,156,113,84,63,154,136
"PA5396",525,371,502,248,198,357,522,428,366,148,421,287
"PA5395",191,271,408,322,219,368,471,288,221,124,337,347
"PA5394",356,567,706,545,316,462,404,389,312,192,578,446
"PA5393",63,106,106,81,55,90,80,88,75,51,81,91
"PA5392",29,35,23,30,15,22,15,30,12,12,24,44
"PA5391",8,14,21,7,11,11,6,17,7,5,14,13
"PA5390",67,128,144,82,75,77,43,66,36,29,86,69
"PA5389",183,345,461,248,187,330,249,286,206,126,273,290
"PA5388",46,77,77,74,35,89,79,54,49,56,91,62
"PA5387",13,21,23,14,7,27,15,25,21,4,25,27
"PA5386",18,19,23,17,20,35,21,25,17,1,49,12
"PA5385",7,14,16,10,8,4,6,21,9,1,11,14
"PA5384",2,9,6,9,0,16,3,2,3,0,8,0
"PA5383",30,32,42,89,69,94,46,34,14,13,32,35
"PA5382",59,126,143,116,59,100,75,102,117,30,127,84
"PA5381",33,91,92,88,57,52,58,54,41,21,106,89
"PA5380",950,1108,1413,796,638,1081,1109,925,775,558,1108,1114
"PA5379",83,90,150,83,85,97,109,85,80,56,110,81
"PA5378",1527,1720,2391,1225,1079,1810,2352,1896,1497,905,2277,1921
"PA5377",591,719,1003,493,434,737,937,836,630,441,1069,940
"PA5376",789,1040,1316,652,617,852,1031,1065,761,469,1322,1082
"PA5375",709,627,777,591,409,632,623,544,473,261,598,492
"PA5374",1979,2622,3357,2196,1677,2365,2599,2204,1871,717,2048,1898
"PA5373",9266,13353,17023,9215,7139,11748,11991,13000,10651,5386,15170,12871
"PA5372",4309,5784,7529,3945,3213,5116,6334,6480,5170,2708,6991,6627
"PA5371",1708,2090,2700,1926,1410,2191,2341,1342,1458,1011,2199,1654
"PA5370",430,528,531,374,290,365,311,318,299,290,687,558
"locus_tag=BPMHFNII_00208",289,366,457,247,169,273,327,165,192,114,336,210
"locus_tag=BPMHFNII_00209",278,187,281,175,116,135,144,73,118,82,215,145
"PA5369",1498,1636,2264,1609,1311,2125,1306,1121,1035,762,2009,1763
"PA5368",692,856,1039,701,538,883,610,507,406,288,813,730
"PA5367",381,540,652,536,386,599,352,363,244,227,597,517
"PA5366",733,1000,1397,796,721,1110,984,757,574,563,1152,1049
"PA5365",627,838,1171,734,509,873,683,577,496,383,925,887
"PA5364",1754,1799,2264,1374,970,1567,1878,1524,1413,787,1983,1587
"PA5363",995,1512,1778,1375,1034,1447,1615,1282,1202,649,1818,1488
"PA5362",958,1282,1588,1024,763,1136,879,906,752,458,1175,950
"PA5361",336,368,486,304,229,362,323,304,225,147,430,341
"PA5360",537,665,851,667,551,842,693,505,433,340,681,676
"PA5359",1029,2186,2452,2098,1429,2410,3045,1940,1778,1389,3288,2903
"PA5358",1537,968,1317,692,586,870,658,706,718,406,1176,851
"PA5357",585,1013,1291,982,641,960,667,495,471,153,405,304
"PA5356",217,222,287,199,127,210,380,246,171,92,225,228
"PA5355",2788,5395,6272,4060,3202,4946,3300,3749,2918,2567,7905,6785
"PA5354",244,617,706,557,508,707,428,489,312,228,801,890
"PA5353",632,1231,1433,987,727,1170,923,829,697,641,1633,1573
"PA5352",131,247,315,261,190,298,264,152,162,106,344,331
"PA5351",169,205,238,139,110,199,295,111,155,64,268,203
"PA5350",482,593,969,522,450,638,879,484,532,402,821,620
"PA5349",1306,1919,2467,1593,1231,1938,1950,1776,1396,921,2767,2519
"PA5348",4309,4664,6420,4847,3261,5028,5616,3599,3552,2403,5669,4903
"PA5347",746,841,880,625,400,614,472,431,383,223,643,444
"PA5346",2765,4493,5169,3461,2460,3589,3388,3387,3076,2078,4659,3927
"PA5345",2147,3338,4159,2770,2038,3128,2753,2681,2154,1512,3569,3154
"PA5344",2566,3790,4616,2800,2267,3702,3368,3032,2523,1671,4048,3297
"PA5343",273,705,766,593,401,525,315,432,288,203,672,624
"PA5342",120,242,293,224,117,207,184,164,116,73,282,259
"PA5341",47,40,44,28,31,25,29,30,17,12,42,52
"PA5340",1764,2896,3730,2296,1833,2919,2359,2269,1642,1361,3453,3101
"PA5339",3431,4253,4971,3286,2396,3526,2809,2396,2289,1252,4198,3290
"PA5338",5805,7073,9134,5341,4121,6862,5510,5034,4488,2863,7512,6588
"PA5337",1425,2928,3491,2529,1835,2844,1958,1784,1611,1055,2709,2387
"PA5336",554,781,946,568,517,763,666,519,420,303,799,733
"PA5335",590,971,1245,887,705,1116,797,780,536,365,978,927
"PA5334",1277,2122,2663,1745,1271,1916,1666,1656,1314,956,2433,2113
"PA5333",678,574,711,485,379,636,517,495,418,252,653,612
"PA5332",3028,3368,3864,2519,1778,2713,2373,2613,2160,1444,3324,2813
"PA5331",1752,3258,3697,2456,1840,2470,2158,1947,1613,1136,3157,2512
"PA5330",1000,1936,2254,1623,1319,1675,1400,1411,1067,851,1951,1652
"PA5329",688,1136,1390,1021,719,1000,1026,978,836,571,1307,1077
"PA5328",21,31,39,30,18,36,14,26,24,9,20,30
"PA5327",108,75,94,71,67,48,74,59,54,22,67,34
"PA5326",45,67,80,55,29,76,37,62,59,28,66,59
"PA5325",118,62,101,62,41,83,84,55,68,38,61,79
"PA5324",432,379,501,256,264,306,300,333,255,130,378,306
"PA5323",3112,4264,5332,3289,2675,4201,3274,3272,2622,1803,5349,4549
"PA5322",5393,6725,8510,5394,4498,7122,6457,5473,4602,3101,8367,7557
"PA5321",882,1399,1839,1109,768,1194,1168,1173,989,718,1681,1463
"PA5320",720,1452,1961,1194,931,1490,1757,1184,978,644,1662,1360
"PA5319",829,1515,1694,1175,904,1300,1379,1265,1088,779,1818,1537
"PA5318",140,139,195,134,123,145,119,130,90,82,168,156
"PA5317",1664,2210,2699,1623,1321,2059,2231,1649,1560,918,2045,1971
"PA5316",10204,13654,18039,12461,9998,15645,15686,9570,8292,6836,13237,11412
"PA5315",1089,652,1081,651,448,783,1410,434,440,271,996,691
"PA5314",185,233,305,237,151,245,202,180,171,90,227,199
"PA5313",646,922,1218,827,697,857,705,790,553,391,983,949
"PA5312",3270,4510,5965,3461,2741,4390,3628,3789,3249,1922,5282,4559
"PA5311",55,87,84,64,43,51,42,53,52,25,92,68
"PA5310",650,1100,1348,889,720,985,1205,1056,854,600,1404,1253
"PA5309",339,389,515,344,256,397,384,330,261,183,422,397
"PA5308",656,530,714,457,357,519,595,412,380,198,452,395
"PA5307",962,1429,1802,1273,1116,1615,1787,1178,1018,679,1556,1538
"PA5306",394,591,973,563,531,803,1038,634,587,418,793,742
"PA5305",371,763,1044,678,537,784,1091,562,391,277,909,823
"PA5304",9084,13676,17174,10872,8574,13826,15044,11316,9929,7285,16955,15237
"PA5303",2319,3245,4358,2958,2511,3629,4130,2802,2456,1503,4277,3919
"PA5302",884,1651,2114,1514,1163,1569,1263,1192,1003,855,2481,2151
"PA5301",1984,2312,3003,1955,1472,2112,1812,1645,1439,914,2347,1844
"PA5300",3625,6695,7885,7435,5291,6769,4763,4323,2992,2178,5905,5210
"PA5299",1527,1869,2455,1481,1238,1868,1529,1635,1466,950,2347,2015
"PA5298",1263,1845,2489,1650,1207,1955,1372,1157,1023,730,1949,1535
"PA5297",418,408,592,311,307,434,342,298,218,181,465,459
"PA5296",2069,2276,3011,1755,1461,2470,2423,1858,1597,1299,2731,2503
"PA5295",1294,2441,2979,1949,1466,2078,1759,1671,1293,797,2329,2028
"PA5294",106,77,105,66,43,81,45,73,47,21,70,31
"PA5293",95,199,221,171,113,115,103,109,86,64,139,166
"PA5292",617,593,892,474,426,665,693,578,423,317,710,656
"PA5291",2891,3350,4384,2385,1999,3377,2532,2446,2089,1649,3639,3225
"PA5290",484,548,682,445,352,556,548,378,327,191,565,486
"PA5289",688,1127,1592,1310,939,1539,1667,1121,858,842,1535,1305
"PA5288",5870,6563,9225,6695,4871,7325,9125,7245,5686,4905,8337,6714
"PA5287",575,537,671,416,272,503,410,484,405,249,692,556
"PA5286",1137,1328,1926,1326,856,1302,1367,1020,960,747,1575,1265
"PA5285",3119,4410,5575,4817,3716,5492,9932,3001,3397,2253,6677,5364
"PA5284",139,65,92,72,39,52,44,70,65,18,91,49
"PA5283",676,938,1102,706,554,803,959,790,734,515,1027,954
"PA5282",56,43,68,30,40,54,34,30,25,0,26,35
"PA5281",226,374,470,361,262,382,300,276,251,111,392,390
"PA5280",231,429,466,350,288,430,352,325,223,166,410,413
"PA5279",1730,2494,3133,2212,1687,2450,2452,2058,1781,1193,2576,2191
"PA5278",893,1411,1854,1089,790,1321,1198,1067,948,562,1554,1381
"PA5277",2468,4063,5112,3476,2659,4143,3121,3165,2318,1665,4729,4025
"PA5276",228,642,853,435,398,643,840,384,325,225,718,478
"PA5275",134,197,292,188,158,220,129,109,76,85,227,141
"PA5274",915,1396,1628,1282,961,1403,889,567,680,503,1022,801
"PA5273",441,578,813,604,402,553,551,434,389,227,581,526
"PA5272",1578,1992,2601,1667,1219,1939,1792,1864,1652,862,1952,1697
"PA5271",750,1461,1913,1507,926,1356,1125,1169,901,539,1722,1497
"PA5270",904,876,1088,708,511,882,1141,709,668,337,809,764
"PA5269",282,555,667,404,351,458,448,377,338,197,550,456
"PA5268",1021,1056,1368,833,649,1034,999,865,730,460,932,829
"PA5267",1093,1492,2025,1383,1119,1745,1331,890,762,196,387,382
"PA5266",523,638,817,481,342,669,347,349,262,56,162,167
"PA5265",1092,926,1164,709,531,845,667,572,547,175,523,376
"PA5264",810,529,730,436,314,500,583,465,392,242,442,375
"PA5263",3098,4346,5951,3499,2815,4540,4445,3520,2952,2164,5134,4775
"PA5262",1769,2080,2753,1835,1366,2052,2015,2000,1730,996,2334,2008
"PA5261",4073,5628,7189,4506,3488,5427,5266,5653,4633,2886,6782,5835
"PA5260",2117,2783,4048,2542,2014,3109,3067,2666,1980,1253,2727,2523
"PA5259",394,872,1114,791,531,763,604,574,515,319,854,664
"PA5258",1593,3276,3981,2572,1984,2832,1982,2357,1723,1079,3419,2992
"PA5257",2250,3419,4375,2901,2309,3585,3652,2738,2345,1326,3791,3313
"PA5256",470,566,591,378,312,461,349,365,305,184,342,350
"PA5255",4518,4908,5802,3984,2941,4343,4104,3650,3190,1719,4357,3700
"PA5254",320,248,321,219,157,225,279,258,180,93,238,189
"PA5253",13679,16925,20053,13659,10839,17313,20761,14560,11763,7199,19180,17644
"locus_tag=BPMHFNII_00329",992,370,500,339,234,351,434,219,211,154,380,272
"PA5252",1648,2546,3056,1913,1470,2207,1987,2146,1647,1279,3045,2531
"PA5251",392,364,468,261,229,311,430,302,279,181,441,371
"PA5250",766,992,1212,709,568,814,594,692,618,406,1021,843
"PA5249",235,285,315,195,165,233,201,217,156,72,266,200
"PA5248",426,607,690,583,390,555,536,373,296,181,511,496
"PA5247",394,777,1005,602,491,818,837,644,535,345,758,751
"PA5246",218,178,178,100,88,112,116,137,96,40,134,119
"PA5245",1972,2987,3618,2223,1649,2413,2264,2506,2063,1206,3019,2636
"PA5244",481,616,760,439,311,494,372,272,290,162,326,274
"PA5243",9157,13077,17344,9844,8106,13142,13254,10473,9056,4125,10416,9152
"PA5242",10460,12846,16563,9441,7215,12073,11322,10498,9282,4638,11547,9936
"PA5241",2934,3628,4619,2827,2183,3665,2970,2760,2252,1594,3740,3378
"PA5240",6550,7094,8866,6660,4572,6744,6127,5584,4484,3060,6769,5835
"PA5239",6731,6658,9464,5260,4277,7296,7506,5428,4366,3015,6692,6020
"PA5238",304,222,225,189,111,133,173,152,134,56,169,160
"PA5237",2020,2648,3585,2020,1775,2542,2256,2247,1836,1314,3583,3039
"PA5236",529,771,1034,703,551,837,646,726,522,401,1014,960
"PA5235",238,195,211,149,106,177,151,147,108,63,213,150
"PA5234",817,1129,1480,937,663,1131,953,892,768,639,1600,1274
"PA5233",835,1144,1387,948,763,1034,1168,871,765,507,1188,1035
"PA5232",4660,8171,10304,6165,4990,8065,7922,6597,5129,3001,8248,8131
"PA5231",4949,7174,9037,5206,4052,6205,6611,5446,4784,2912,7721,6636
"PA5230",1597,2498,2894,1729,1320,2206,2008,1942,1668,882,2440,2046
"PA5229",966,458,622,369,313,488,686,342,357,199,456,412
"locus_tag=BPMHFNII_00354",1234,2238,2570,1838,1335,1743,1927,1434,1279,865,1692,1351
"PA5228",858,618,831,515,432,558,703,477,391,223,692,489
"PA5227",967,1317,1936,1330,933,1375,1115,1024,966,718,1242,1100
"PA5226",207,502,645,434,312,480,693,345,318,243,464,426
"PA5225",365,766,1043,629,574,720,545,677,537,284,687,603
"PA5224",5703,8119,10531,6062,5036,8175,7670,6886,5817,2876,7886,6988
"PA5223",2395,4168,5184,3363,2637,4078,3513,3095,2577,1478,3957,3735
"PA5222",473,809,1056,683,464,825,795,670,510,339,718,776
"PA5221",409,1002,1141,891,618,933,597,662,484,299,758,797
"PA5220",293,291,409,251,234,320,335,281,244,107,332,276
"PA5219",165,57,83,57,38,49,54,56,28,19,28,35
"PA5218",208,389,459,304,224,341,224,305,193,183,346,287
"PA5217",4938,6404,8688,4372,3440,5389,3923,3400,2739,1544,3506,3075
"PA5216",369,492,515,282,227,323,212,155,213,98,270,233
"PA5215",2738,4728,6268,4194,3309,4992,4282,4075,3122,2882,7194,6442
"PA5214",3286,4604,5590,3992,2964,4238,4075,3876,3370,2725,6033,5161
"PA5213",1919,2923,3500,2354,1807,2750,3135,3222,2776,1901,5249,4431
"PA5212",1181,1678,1968,1554,1223,1938,1645,993,910,505,1322,1138
"PA5211",69,108,98,91,54,63,81,97,39,13,74,64
"PA5210",3433,4950,6060,3994,2975,4722,5238,4662,3961,1781,3651,3309
"PA5209",456,817,1110,777,579,874,739,614,537,379,1039,943
"PA5208",1516,1795,2551,1221,925,1328,2489,1998,1855,994,2212,1708
"PA5207",364,493,691,331,254,385,493,519,420,256,683,505
"PA5206",740,1479,1914,1164,901,1419,1081,1140,822,484,1486,1276
"PA5205",452,435,499,404,283,401,304,325,219,162,361,337
"PA5204",1085,1428,1776,1147,918,1539,1326,1218,899,574,1298,1192
"PA5203",614,705,925,497,402,599,1596,937,952,465,1103,948
"PA5202",57,150,165,171,142,212,98,82,48,48,171,215
"PA5201",2422,3310,4371,2869,1988,3344,2533,2395,2056,1481,3920,3412
"PA5200",1813,3025,3650,2721,2107,2988,2486,2353,1770,1298,2948,2846
"PA5199",785,1341,1551,1011,925,1275,890,879,595,588,1416,1257
"PA5198",1302,2099,2657,1826,1344,2226,2424,1851,1603,1050,2657,2469
"PA5197",1138,1322,1669,1200,833,1312,1437,1204,1193,747,1799,1582
"PA5196",491,707,833,486,360,595,756,678,528,475,828,712
"PA5195",240,429,565,402,290,457,650,290,277,170,481,368
"PA5194",518,527,668,470,361,551,475,378,298,251,587,520
"PA5193",1073,1337,1980,1180,927,1426,1297,1030,928,625,1518,1275
"PA5192",6788,8011,10538,6224,5108,8323,7690,6223,5352,3454,8259,7213
"PA5191",650,675,960,549,444,756,956,771,695,486,856,784
"PA5190",335,662,746,460,319,497,359,506,426,248,629,523
"PA5189",196,163,189,168,91,170,158,153,133,93,196,166
"PA5188",156,258,305,220,192,244,231,266,166,147,365,443
"PA5187",344,533,679,449,345,550,470,574,436,297,929,863
