gene_id,ALE__1,ALE__2,ALE__3,COL__1,COL__2,COL__3,ctrl__1,ctrl__2,ctrl__3,NV716__1,NV716__2
PA3411,13,13,13,5,5,1,0,1,1,8,5
PA3412,22,53,44,69,32,29,30,29,38,54,35
PA3413,214,702,414,139,105,74,104,208,185,844,366
PA3414,171,386,297,424,200,229,145,190,228,512,291
PA3415,1967,4466,3111,4360,2786,2207,2812,3493,4323,5471,3256
PA3416,1482,3489,2336,3341,2217,1706,2493,3318,4041,5135,3314
PA3417,1365,3325,2218,2507,1476,1251,2287,2926,3583,4663,2788
PA3418,1161,2937,1736,3042,1799,1288,1917,2466,2856,3821,2280
PA3419,171,422,298,504,332,240,87,134,173,282,155
PA3420,76,209,119,397,206,135,150,125,209,157,136
PA3421,69,144,92,114,76,66,31,42,77,90,71
PA3422,46,93,47,107,49,40,32,18,33,65,45
PA3423,149,197,232,324,168,169,97,102,126,146,69
PA3424,45,111,78,291,190,115,44,59,52,110,79
PA3425,14,40,24,161,74,60,7,7,3,22,23
PA3426,583,1400,824,1911,1201,874,471,568,811,737,590
PA3427,263,679,461,1139,554,485,230,243,287,300,220
PA3428,41,69,60,92,47,41,30,21,49,24,2
PA3429,96,251,194,255,152,94,55,63,70,73,66
PA3430,135,318,189,235,108,143,42,36,57,54,25
PA3431,96,210,159,469,297,218,145,250,246,143,86
PA3432,30,96,82,115,82,52,70,90,110,79,56
PA3433,51,110,43,155,81,68,37,88,64,69,53
PA3434,6,1,4,8,17,5,0,1,2,0,1
PA3435,37,92,105,95,50,49,17,14,16,35,18
PA3436,73,197,152,176,109,102,53,42,54,83,60
PA3437,84,192,135,214,99,119,36,90,44,101,61
PA3438,146,371,253,366,246,171,128,77,129,111,73
PA3439,124,366,252,551,278,278,58,69,86,149,60
PA3440,68,160,105,94,51,65,27,27,50,62,30
PA3440.1,151,364,258,423,245,233,35,71,84,95,90
PA3441,3,13,9,98,82,48,7,4,13,6,6
PA3442,1,15,16,153,74,72,6,18,16,12,0
PA3443,16,37,36,99,70,54,5,15,36,26,21
PA3444,6,14,14,101,41,39,4,6,10,9,21
PA3445,5,59,17,107,41,35,10,14,10,31,18
PA3446,57,132,63,183,126,101,20,42,27,65,38
PA3447,0,9,8,11,15,5,5,15,8,28,3
PA3448,152,332,237,260,207,151,290,329,447,423,246
PA3449,6,9,19,23,11,3,3,0,1,21,9
PA3450,173,513,201,868,434,365,40,48,64,477,259
PA3451,112,216,100,392,190,186,49,60,116,110,112
PA3452,226,650,394,303,211,181,52,113,113,297,204
PA3453,41,94,65,130,84,60,22,15,21,31,16
PA3454,190,320,244,435,293,239,121,170,174,287,197
PA3455,344,1097,701,1281,769,798,301,488,498,542,297
PA3456,202,504,371,379,191,184,58,102,134,211,96
PA3457,108,305,208,246,182,134,50,62,79,121,58
PA3458,410,1056,620,2891,1649,1501,909,1109,1302,1048,698
PA3459,1970,4571,3381,3173,2012,1635,833,1292,1240,2179,1440
PA3460,557,1408,945,1380,832,842,490,679,734,650,405
PA3461,221,636,402,950,520,484,259,303,289,316,197
PA3462,113,326,226,466,281,199,110,151,160,242,123
PA3463,13,48,39,40,18,13,11,9,3,7,22
PA3464,59,144,90,136,94,80,77,111,101,98,80
PA3465,436,1027,666,3486,2039,1527,835,1162,1198,522,337
PA3466,385,820,627,871,481,378,135,198,180,279,213
PA3467,23,35,51,82,46,30,25,16,36,40,30
PA3468,151,405,257,208,143,134,42,61,58,98,107
PA3469,152,339,243,292,160,116,55,69,70,183,98
PA3470,52,88,66,79,42,40,25,27,18,19,22
PA3471,256,511,345,747,458,409,153,192,174,215,134
PA3472,594,1312,1045,518,294,246,142,155,161,311,184
PA3473,64,134,138,258,172,150,74,72,79,73,40
PA3474,28,117,80,130,83,77,35,57,51,39,47
PA3475,51,175,134,253,179,143,54,68,76,37,41
PA3476,216,453,331,2660,1571,1285,196,161,217,76,79
PA3477,375,1104,658,2510,1556,1237,568,680,771,481,276
PA3478,139,432,221,1652,1041,852,514,595,723,72,50
PA3479,151,284,217,1330,818,686,211,212,295,52,27
PA3480,192,657,413,533,340,321,106,101,127,204,121
PA3481,617,1347,994,1306,692,723,362,428,519,634,430
PA3482,1420,3473,2318,4029,2519,1844,858,1025,1203,1685,1119
PA3483,110,231,177,293,199,142,68,67,82,168,89
PA3484,47,128,115,180,97,103,14,22,37,23,27
PA3485,53,111,88,349,233,210,50,79,100,132,66
PA3486,57,153,67,456,250,206,94,126,213,131,67
PA3487,145,333,234,1874,1131,962,316,389,547,190,95
PA3488,31,80,47,898,417,409,64,102,109,40,26
PA3489,59,110,87,130,57,67,26,37,40,64,51
PA3490,25,61,51,109,71,36,18,13,29,30,17
PA3491,140,357,309,675,413,314,90,114,126,155,102
PA3492,27,49,54,156,72,96,14,18,34,16,12
PA3493,27,96,47,121,68,64,24,6,31,40,15
PA3494,40,92,35,167,135,81,26,24,54,29,24
PA3495,8,27,18,95,49,44,14,7,7,7,0
