"gene_id","BF0285BR1_S16","BF0285BR2_S17","BF0285BR3_S18","BioFWTBR1_S10","BioFWTBR2_S11","BioFWTBR3_S12","Pla0285BR1_S7","Pla0285BR2_S8","Pla0285BR3_S9","PlankWTBR1_S1","PlankWTBR2_S2","PlankWTBR3_S3"
"PA0336",7188,4434,5406,4212,4343,4514,3784,3926,3907,3546,3310,3817
"PA0337",18049,9708,11286,9392,10020,9831,10196,11205,9362,12517,10213,11890
"PA0338",2216,1411,1290,1287,1370,1497,1123,1294,1137,1107,1108,1052
"PA0339",611,345,310,309,292,269,511,537,324,518,461,429
"PA0340",1294,661,571,626,668,652,474,617,616,464,453,491
"PA0341",2248,1193,1103,1144,1106,1133,1368,1698,1770,1155,1257,1019
"PA0342",3552,2153,2029,2150,2250,2295,1948,2496,2917,2060,2109,1895
"PA0343",2059,1302,1292,1098,1172,1118,1378,1659,1461,1549,1329,1463
"PA0344",724,382,379,410,402,354,671,672,454,543,486,507
"PA0345",620,282,271,306,273,260,451,392,221,406,322,323
"PA0346",855,384,242,565,673,678,97,83,70,96,80,102
"PA0347",815,380,275,467,535,461,176,174,128,193,178,171
"PA0348",415,231,203,242,288,243,164,188,107,241,179,273
"PA0349",240,107,128,132,127,155,151,139,87,175,158,217
"PA0350",1011,450,401,435,454,386,539,628,419,567,567,495
"PA0351",1105,511,582,515,521,509,570,724,562,784,762,754
"PA0352",1350,808,689,688,676,747,587,800,824,620,635,493
"PA0353",11296,6914,8574,6559,6222,5592,8524,11207,9970,9337,9215,8207
"PA0354",1921,1110,930,1017,1078,1035,1862,1996,1730,1333,1458,1382
"PA0355",1492,788,1010,1386,1745,1577,1403,1976,1274,1411,1150,2554
"PA0356",1747,1083,954,992,1060,1013,794,1094,1336,777,848,681
"PA0357",1987,1011,877,963,956,786,1098,1493,1285,1095,1159,815
"PA0358",804,449,431,436,451,455,379,580,566,472,516,436
"PA0359",5042,2564,2032,3193,3889,2799,1944,1979,1752,2310,2101,2104
"PA0360",2171,1351,1224,1460,1518,1478,1326,1377,1137,1341,1004,1328
"PA0361",1820,971,797,1052,1045,906,1372,1419,1096,1323,1213,1091
"PA0362",2096,1261,1256,1345,1449,1575,772,972,1378,746,699,730
"PA0363",4163,2307,1689,2286,2578,2648,1483,2180,3056,1153,1535,1009
"PA0364",661,352,370,412,428,412,577,621,453,640,609,674
"PA0365",580,267,329,401,374,394,340,406,314,375,395,473
"PA0366",1811,759,833,1029,1041,1070,715,898,604,933,961,1240
"PA0367",1275,726,796,765,794,883,638,880,738,919,839,839
"PA0368",676,370,389,325,293,291,543,598,339,574,503,458
"PA0369",246,127,98,116,99,90,222,248,125,205,189,183
"PA0370",945,412,465,393,411,365,855,975,662,884,719,681
"PA0371",2272,1127,1327,1040,985,918,2255,2681,1972,2489,2129,1899
"PA0372",1848,1018,1226,1012,939,860,1735,2128,2301,1875,1976,1583
"PA0373",4292,2783,2872,2396,2481,2318,3698,3926,3468,3159,3180,2732
"PA0374",3926,2604,2977,2350,2464,2303,2881,3648,3918,3199,3512,2929
"PA0375",4489,2976,2998,2471,2529,2623,3172,3342,2870,3122,2651,2585
"PA0376",26748,16135,23375,14676,16991,16302,11058,12494,11380,10632,9722,9797
"PA0377",1211,699,779,523,555,496,980,1153,658,887,728,681
"PA0378",832,468,406,364,382,357,628,721,403,581,478,482
"PA0379",1273,579,456,504,603,584,613,693,690,501,614,509
"PA0380",977,427,305,360,383,347,398,457,360,248,289,200
"PA0381",3762,1807,1544,1784,1805,1646,1882,2459,2809,1520,1929,1314
"PA0382",1894,967,766,794,738,694,1105,1397,883,861,901,667
"PA0383",836,447,394,417,446,405,601,617,321,657,511,736
"PA0384",673,339,319,318,386,320,433,528,460,562,520,700
"PA0385",949,495,449,553,622,595,419,499,685,395,457,523
"PA0386",493,299,229,277,233,246,246,284,267,174,220,175
"PA0387",4697,2427,2646,3273,3814,2981,2207,2265,1711,2352,1996,2446
"PA0388",11016,5464,5361,7966,9514,7764,2812,3447,3166,3726,3454,4132
"PA0389",3294,1489,1376,1576,1588,1353,1408,1860,1581,1696,1632,1485
"PA0390",2788,1512,1152,1520,1662,1563,1204,1473,1888,978,1244,804
"PA0391",8780,4610,3198,9309,10955,8707,1946,2170,1841,2786,2636,3059
"PA0392",2789,1564,1998,1325,1362,1445,1574,2071,2315,1821,1851,1606
