gene_id,E131sig1,E131sig2,E131sig3,E131rhlR1,E131rhlR2,E131rhlR3
fig|287.13133.peg.122,1004,671,558,813,501,491
fig|287.13133.peg.123,1034,666,662,792,514,487
fig|287.13133.peg.124,982,464,570,725,499,441
fig|287.13133.peg.125,891,795,734,879,639,654
fig|287.13133.peg.126,1289,935,1000,1241,828,907
fig|287.13133.peg.127,1473,1204,952,1215,840,1187
fig|287.13133.peg.128,409,336,329,401,302,528
fig|287.13133.peg.129,1143,983,947,1251,969,1207
fig|287.13133.peg.130,1166,909,753,1068,979,874
fig|287.13133.peg.131,867,808,515,837,850,653
fig|287.13133.peg.132,3589,3695,1912,3743,3292,2595
fig|287.13133.peg.133,742,894,585,839,834,669
fig|287.13133.peg.134,1009,1193,558,1068,1136,684
fig|287.13133.peg.135,25265,15420,37511,1311,1064,814
fig|287.13133.peg.136,5240,6026,4624,4473,4410,3481
fig|287.13133.peg.137,1777,1939,1089,1804,1544,1503
fig|287.13133.peg.138,5100,5090,3189,5656,4675,4354
fig|287.13133.peg.139,901,903,645,887,798,825
fig|287.13133.peg.140,792,555,610,871,656,1021
fig|287.13133.peg.141,1203,1095,733,1391,1015,2184
fig|287.13133.peg.142,2696,2521,1664,2911,2263,1921
fig|287.13133.peg.143,1436,1605,969,1368,1313,986
fig|287.13133.peg.144,337,308,214,282,313,196
fig|287.13133.peg.145,1278,1368,1006,1364,1091,1080
fig|287.13133.peg.146,1259,1328,790,1190,1126,882
fig|287.13133.peg.147,2437,2528,1815,2166,1875,2119
fig|287.13133.peg.148,815,756,485,816,722,462
fig|287.13133.peg.149,434,385,220,346,347,190
fig|287.13133.peg.150,388,420,241,349,393,191
fig|287.13133.peg.151,457,413,308,321,405,299
fig|287.13133.peg.152,36911,24014,20952,27173,22560,33333
fig|287.13133.peg.153,12046,9294,5231,7723,8586,4509
fig|287.13133.peg.154,1092,951,891,1097,931,1490
fig|287.13133.peg.155,2185,2021,1189,1713,1945,1368
fig|287.13133.peg.156,710,689,394,562,507,444
fig|287.13133.peg.157,262,209,172,217,189,177
fig|287.13133.peg.158,444,444,415,469,397,501
fig|287.13133.peg.159,633,554,377,550,498,401
fig|287.13133.peg.160,713,661,515,764,527,597
fig|287.13133.peg.161,1146,957,773,1168,888,1167
fig|287.13133.peg.162,568,423,500,369,391,352
fig|287.13133.peg.163,467,404,301,368,358,286
fig|287.13133.peg.164,1244,1339,877,1190,1140,712
fig|287.13133.peg.165,759,821,528,613,666,542
fig|287.13133.peg.166,622,599,389,540,452,487
fig|287.13133.peg.167,684,744,396,708,563,525
fig|287.13133.peg.168,27,27,19,31,18,12
fig|287.13133.peg.169,877,1113,641,805,686,1131
fig|287.13133.peg.170,1010,918,677,958,763,694
fig|287.13133.peg.171,545,523,311,485,438,374
fig|287.13133.peg.172,4281,3846,2564,4288,3153,2968
fig|287.13133.peg.173,1236,1152,906,1181,1139,1031
fig|287.13133.peg.174,1494,1030,960,1133,984,1670
fig|287.13133.peg.175,610,439,359,377,411,476
fig|287.13133.peg.176,3565,3030,2194,3002,3122,2730
fig|287.13133.peg.177,692,697,563,779,628,695
fig|287.13133.peg.178,943,771,536,778,790,577
fig|287.13133.peg.179,1357,1257,778,1317,1206,1001
fig|287.13133.peg.180,384,394,275,368,310,257
fig|287.13133.peg.181,1418,1145,887,1299,885,1391
fig|287.13133.peg.182,199,167,221,209,220,301
fig|287.13133.peg.183,553,424,497,770,398,802
fig|287.13133.peg.184,205,188,169,372,214,377
fig|287.13133.peg.185,510,419,458,793,461,886
fig|287.13133.peg.186,5961,5876,4866,6136,4821,6935
fig|287.13133.peg.187,183,174,181,180,155,130
fig|287.13133.peg.188,121,104,106,97,63,96
fig|287.13133.peg.189,236,186,233,230,178,185
fig|287.13133.peg.190,1310,715,1133,1067,727,1310
fig|287.13133.peg.191,133,103,189,166,112,238
fig|287.13133.peg.192,586,323,641,464,388,751
fig|287.13133.peg.193,1329,972,1317,1338,828,1393
fig|287.13133.peg.194,1918,949,1630,2296,1024,2222
fig|287.13133.peg.195,2602,1952,2066,2964,1901,2347
fig|287.13133.peg.196,1014,900,737,1020,868,926
fig|287.13133.peg.197,360,320,237,324,271,276
fig|287.13133.peg.198,399,342,242,341,338,261
fig|287.13133.peg.199,98,165,101,120,136,105
fig|287.13133.peg.200,741,643,493,634,654,436
fig|287.13133.peg.201,1111,934,718,950,854,802
fig|287.13133.peg.202,379,345,278,276,209,187
fig|287.13133.peg.203,188,167,113,165,155,141
fig|287.13133.peg.204,424,371,290,418,365,360
fig|287.13133.peg.205,334,296,188,288,252,600
fig|287.13133.peg.206,1205,1020,643,1134,919,916
fig|287.13133.peg.207,39,37,40,49,41,47
fig|287.13133.peg.208,601,657,415,633,520,400
fig|287.13133.peg.209,146,168,79,115,158,118
fig|287.13133.peg.210,177,151,119,151,158,102
fig|287.13133.peg.211,253,201,123,176,127,112
fig|287.13133.peg.212,1594,1383,1028,1329,1319,1117
fig|287.13133.peg.213,324,377,208,307,268,229
fig|287.13133.peg.214,1711,1504,1216,1974,1451,1185
fig|287.13133.peg.215,115,121,51,126,79,73
fig|287.13133.peg.216,301,272,183,212,231,162
fig|287.13133.peg.217,251,261,155,235,168,158
fig|287.13133.peg.218,1060,655,930,790,445,513
fig|287.13133.peg.219,18,10,7,7,12,12
fig|287.13133.peg.220,1713,1430,914,1404,1061,1213
fig|287.13133.peg.221,5362,4851,3818,6066,3898,3418
fig|287.13133.peg.222,215,220,186,249,170,143
fig|287.13133.peg.223,112,143,113,187,119,62
fig|287.13133.peg.224,453,408,382,728,379,246
fig|287.13133.peg.225,190,162,180,226,153,72
fig|287.13133.peg.226,82,73,55,85,61,37
fig|287.13133.peg.227,490,367,471,531,336,189
fig|287.13133.peg.228,414,353,295,427,318,257
fig|287.13133.peg.229,706,554,503,683,487,433
fig|287.13133.peg.230,1237,1128,852,1123,954,965
fig|287.13133.peg.231,537,510,381,509,423,396
fig|287.13133.peg.232,1071,1025,690,1175,893,870
fig|287.13133.peg.233,96,93,78,75,92,85
fig|287.13133.peg.234,378,337,195,312,311,246
fig|287.13133.peg.235,697,613,395,622,485,480
fig|287.13133.peg.236,163,191,135,192,157,152
fig|287.13133.peg.237,106,107,99,157,116,114
fig|287.13133.peg.238,263,209,218,236,221,200
fig|287.13133.peg.239,377,365,244,338,338,362
fig|287.13133.peg.240,623,557,491,657,480,753
fig|287.13133.peg.241,767,772,613,731,563,3321
fig|287.13133.peg.242,342,286,247,317,251,1128
fig|287.13133.peg.243,480,366,315,393,427,1436
fig|287.13133.peg.244,876,874,524,678,630,1461
fig|287.13133.peg.245,464,339,303,361,370,1013
fig|287.13133.peg.246,184,178,132,210,123,537
fig|287.13133.peg.247,239,194,175,212,150,722
fig|287.13133.peg.248,619,496,449,584,471,773
fig|287.13133.peg.249,499,370,267,440,351,339
fig|287.13133.peg.250,224,259,163,219,247,537
fig|287.13133.peg.251,998,683,691,620,689,679
fig|287.13133.peg.252,251,235,138,174,200,181
fig|287.13133.peg.253,252,253,199,211,239,180
fig|287.13133.peg.254,477,528,338,437,445,458
fig|287.13133.peg.255,537,497,386,540,446,438
fig|287.13133.peg.256,573,572,385,495,403,471
fig|287.13133.peg.257,646,527,440,585,598,442
fig|287.13133.peg.258,708,747,471,635,481,545
fig|287.13133.peg.259,109,126,71,84,101,96
fig|287.13133.peg.260,345,370,193,291,299,337
fig|287.13133.peg.261,740,782,512,633,579,608
fig|287.13133.peg.262,1421,1452,909,1203,1238,1243
fig|287.13133.peg.263,1500,1420,1177,1463,1303,1151
fig|287.13133.peg.264,1230,1181,917,1195,964,1337
fig|287.13133.peg.265,4443,3224,2974,4384,2871,3589
fig|287.13133.peg.266,555,560,447,471,418,378
fig|287.13133.peg.267,255,309,163,232,243,174
fig|287.13133.peg.268,1383,1111,1034,1535,1284,1617
fig|287.13133.peg.269,3121,3195,1956,2811,3110,2809
fig|287.13133.peg.270,1637,1222,965,1343,1246,1506
fig|287.13133.peg.271,1831,1863,1352,1661,1633,1596
fig|287.13133.peg.272,3457,2407,1895,3163,2259,1919
fig|287.13133.peg.273,1422,993,797,1179,1030,1091
fig|287.13133.peg.274,667,343,422,526,432,582
fig|287.13133.peg.275,3939,2929,3252,4026,3150,3330
fig|287.13133.peg.276,1661,1519,1551,1637,1382,1341
fig|287.13133.peg.277,568,438,544,641,476,394
fig|287.13133.peg.278,1943,1640,1379,1769,1421,1226
fig|287.13133.peg.279,1781,2113,1364,1809,1708,1272
fig|287.13133.peg.280,7552,4944,4286,7232,7366,5229
fig|287.13133.peg.281,4585,3628,2869,4097,3446,6458
fig|287.13133.peg.282,9084,8959,7394,10533,8625,11769
fig|287.13133.peg.283,1195,956,960,1571,1273,1566
fig|287.13133.peg.284,5235,5488,4565,6982,4990,8095
fig|287.13133.peg.285,536,524,305,433,496,374
fig|287.13133.peg.286,602,554,386,499,485,391
fig|287.13133.peg.287,605,587,349,293,250,344
fig|287.13133.peg.288,316,329,244,189,167,168
fig|287.13133.peg.289,224,182,146,129,106,101
fig|287.13133.peg.290,692,606,423,499,459,469
fig|287.13133.peg.291,118,160,99,99,117,79
fig|287.13133.peg.292,357,400,200,340,348,208
fig|287.13133.peg.293,1603,1605,1083,1560,1436,1368
fig|287.13133.peg.294,641,825,386,603,684,375
fig|287.13133.peg.295,6045,6235,3450,5517,5498,5020
fig|287.13133.peg.296,181,192,144,169,176,151
fig|287.13133.peg.297,137,112,98,106,131,117
fig|287.13133.peg.298,1021,908,872,1161,681,1089
fig|287.13133.peg.299,1064,1049,578,882,673,587
fig|287.13133.peg.300,1268,1220,572,904,620,732
fig|287.13133.peg.301,5393,4354,2630,4056,2957,3171
fig|287.13133.peg.302,4655,3695,1717,2148,1745,2013
fig|287.13133.peg.303,2722,2608,1754,2550,2164,2044
fig|287.13133.peg.304,6318,4685,4720,5977,4767,7472
fig|287.13133.peg.305,585,614,306,585,485,378
fig|287.13133.peg.306,271,224,130,225,232,185
fig|287.13133.peg.307,1291,1021,836,1020,1120,857
fig|287.13133.peg.308,25,37,4,40,17,23
fig|287.13133.peg.309,1509,1236,989,1463,1149,1207
fig|287.13133.peg.310,7963,5993,4713,9466,6619,7859
fig|287.13133.peg.311,1758,1791,1108,1758,1566,1478
fig|287.13133.peg.312,780,851,429,764,629,560
fig|287.13133.peg.313,470,532,313,429,378,430
fig|287.13133.peg.314,414,431,268,377,311,349
fig|287.13133.peg.315,6765,5754,6486,8207,5405,10425
fig|287.13133.peg.316,10344,7556,6469,9839,8454,9521
fig|287.13133.peg.317,6223,6072,4572,7063,5555,7389
fig|287.13133.peg.318,6811,6900,5898,8533,7051,8653
fig|287.13133.peg.319,6322,5084,6002,9556,5728,9896
fig|287.13133.peg.320,2145,1866,1961,2762,1917,3703
fig|287.13133.peg.321,1618,1313,1377,1886,1348,2153
fig|287.13133.peg.322,1662,1302,1406,1815,1346,1799
fig|287.13133.peg.323,1556,1078,1646,2242,1342,2519
fig|287.13133.peg.324,1172,1045,717,985,943,919
fig|287.13133.peg.325,619,719,502,579,536,592
fig|287.13133.peg.326,3733,1860,3608,5395,2266,6541
fig|287.13133.peg.327,844,816,519,620,686,570
fig|287.13133.peg.328,947,947,659,874,871,866
fig|287.13133.peg.329,1696,1360,1081,1355,1260,1485
fig|287.13133.peg.330,2028,1760,1334,2010,1806,1661
fig|287.13133.peg.331,229,259,111,174,225,129
fig|287.13133.peg.332,54,37,27,21,23,8
fig|287.13133.peg.333,1379,1426,1175,1492,1336,1311
fig|287.13133.peg.334,2266,2044,1395,2317,1920,1556
fig|287.13133.peg.335,1610,1385,1145,1943,1411,1724
fig|287.13133.peg.336,7954,4701,5522,10221,5627,9626
fig|287.13133.peg.337,10849,9574,7350,9644,8570,10614
fig|287.13133.peg.338,6268,5749,3724,5921,5612,5288
fig|287.13133.peg.339,2622,2064,2137,3104,2496,3154
fig|287.13133.peg.340,2322,2181,1784,2493,2093,2634
fig|287.13133.peg.341,2661,1450,1823,2229,1410,2574
fig|287.13133.peg.342,447,358,254,389,300,305
fig|287.13133.peg.343,649,628,474,636,513,548
fig|287.13133.peg.344,516,446,408,440,431,394
fig|287.13133.peg.345,299,277,227,323,222,245
fig|287.13133.peg.346,682,635,475,592,496,512
fig|287.13133.peg.347,593,649,314,453,557,352
fig|287.13133.peg.348,2024,1790,1312,1880,1569,1552
fig|287.13133.peg.349,4783,5004,2886,3971,4321,3093
fig|287.13133.peg.350,14069,11623,6820,11781,8028,8682
fig|287.13133.peg.351,5259,4779,3243,5026,4671,5099
fig|287.13133.peg.352,4467,3814,2774,4191,3786,3586
fig|287.13133.peg.353,1062,671,651,870,787,801
fig|287.13133.peg.354,954,783,745,835,765,750
fig|287.13133.peg.355,385,334,341,374,335,332
fig|287.13133.peg.356,658,608,433,493,564,489
fig|287.13133.peg.357,1447,1182,998,1350,1101,1331
fig|287.13133.peg.358,8913,6332,6626,8714,7101,8859
fig|287.13133.peg.359,13106,10958,10087,13205,11333,13303
fig|287.13133.peg.360,2631,2181,1572,2655,2077,2023
fig|287.13133.peg.361,786,716,559,679,759,592
fig|287.13133.peg.362,1524,1481,992,1415,1170,1507
fig|287.13133.peg.363,2234,1791,1435,1879,1781,2123
fig|287.13133.peg.364,5032,4493,3124,4569,4094,4891
fig|287.13133.peg.365,1993,1670,1305,1783,1549,1626
fig|287.13133.peg.366,622,558,381,555,459,499
fig|287.13133.peg.367,713,632,365,492,595,484
fig|287.13133.peg.368,405,303,227,370,318,246
fig|287.13133.peg.369,718,779,705,845,544,684
fig|287.13133.peg.370,665,623,413,623,603,455
fig|287.13133.peg.371,827,914,538,818,771,505
fig|287.13133.peg.372,1088,914,739,900,937,968
fig|287.13133.peg.373,1292,1362,756,1025,1039,1048
fig|287.13133.peg.374,1698,1763,1136,1673,1532,1183
fig|287.13133.peg.375,3940,4108,2528,3683,3120,3633
fig|287.13133.peg.376,1776,1937,1184,1717,1412,1597
fig|287.13133.peg.377,3984,3090,1687,3776,1976,2223
fig|287.13133.peg.378,1690,1494,1153,1817,1485,1819
fig|287.13133.peg.379,2496,2175,1452,2056,2304,1934
fig|287.13133.peg.380,785,896,456,828,834,718
fig|287.13133.peg.381,2178,1394,1675,2435,1767,2659
fig|287.13133.peg.382,3164,2523,2596,3254,2383,3236
fig|287.13133.peg.383,2247,2127,1326,2151,1908,1689
fig|287.13133.peg.384,2241,1592,1221,1729,1719,1744
fig|287.13133.peg.385,2862,2801,1740,2616,2391,2983
fig|287.13133.peg.386,998,999,701,815,749,607
fig|287.13133.peg.387,417,412,238,362,286,213
fig|287.13133.peg.388,1734,1644,1220,1302,1019,1092
fig|287.13133.peg.389,1697,1287,1217,1414,1245,1541
fig|287.13133.peg.390,565,484,493,671,496,764
fig|287.13133.peg.391,723,691,512,647,594,649
fig|287.13133.peg.392,205,116,111,225,181,182
fig|287.13133.peg.393,217,194,166,207,172,193
fig|287.13133.peg.394,805,785,545,911,686,839
fig|287.13133.peg.395,2309,2387,1687,2330,2050,2358
fig|287.13133.peg.396,5094,4369,3727,5143,4894,5481
fig|287.13133.peg.397,2022,1918,1278,1968,1897,1953
fig|287.13133.peg.398,3504,2600,2039,3077,2696,2504
fig|287.13133.peg.399,77751,61183,54710,86866,67561,76148
fig|287.13133.peg.400,908,816,555,730,738,662
fig|287.13133.peg.401,712,662,468,684,642,663
fig|287.13133.peg.402,1574,1299,1182,1602,1321,1900
fig|287.13133.peg.403,937,826,679,880,754,1412
fig|287.13133.peg.404,2115,2090,1340,2130,1988,2357
fig|287.13133.peg.405,1416,1373,830,1406,1272,1118
fig|287.13133.peg.406,812,699,472,710,735,554
fig|287.13133.peg.407,312,244,210,308,230,311
fig|287.13133.peg.408,446,320,350,370,320,614
fig|287.13133.peg.409,645,695,364,512,572,492
fig|287.13133.peg.410,665,488,617,758,529,872
fig|287.13133.peg.411,892,733,702,1093,751,1195
fig|287.13133.peg.412,873,613,503,828,661,775
fig|287.13133.peg.413,2931,2649,2130,2930,2610,2906
fig|287.13133.peg.414,1402,1379,1112,1411,1254,1433
fig|287.13133.peg.415,331,270,204,286,236,220
fig|287.13133.peg.416,1291,938,935,1128,898,1110
fig|287.13133.peg.417,1704,1562,1512,1710,1624,1655
fig|287.13133.peg.418,2256,1990,2030,2514,1968,2961
fig|287.13133.peg.419,1252,766,504,622,677,661
fig|287.13133.peg.420,3870,2970,2613,4330,2967,3917
fig|287.13133.peg.421,2950,2625,1846,3073,2065,2293
fig|287.13133.peg.422,1100,989,609,931,759,672
fig|287.13133.peg.423,1577,1269,963,1318,1076,1498
fig|287.13133.peg.424,1813,1703,1253,1650,1373,1275
fig|287.13133.peg.425,1254,1002,880,1115,907,1068
fig|287.13133.peg.426,643,580,573,670,515,781
fig|287.13133.peg.427,923,892,703,973,767,952
fig|287.13133.peg.428,494,454,385,469,435,491
fig|287.13133.peg.429,585,616,493,602,572,496
fig|287.13133.peg.430,977,1080,703,891,755,1168
fig|287.13133.peg.431,945,830,613,751,609,900
fig|287.13133.peg.432,3013,2210,2052,2923,2073,2936
fig|287.13133.peg.433,6393,3146,4026,5819,4172,6911
fig|287.13133.peg.434,3067,2067,2460,3363,2531,3718
fig|287.13133.peg.435,1371,1083,1072,1430,1071,1722
fig|287.13133.peg.436,3136,2744,2757,3619,2739,4752
fig|287.13133.peg.437,820,569,568,1088,722,1111
fig|287.13133.peg.438,5433,4038,4209,6179,4714,6157
fig|287.13133.peg.439,443,397,389,523,418,484
fig|287.13133.peg.440,645,636,516,675,580,867
fig|287.13133.peg.441,269,263,199,219,245,229
fig|287.13133.peg.442,171,180,112,124,169,122
fig|287.13133.peg.443,591,597,502,616,514,593
fig|287.13133.peg.444,995,833,760,977,982,893
fig|287.13133.peg.445,2173,1779,1420,2309,1633,2171
fig|287.13133.peg.446,174,147,100,167,123,122
fig|287.13133.peg.447,3789,3187,2823,3794,3309,3946
fig|287.13133.peg.448,3356,2327,1860,2197,1603,2041
fig|287.13133.peg.449,10791,5928,7299,10769,7646,10848
fig|287.13133.peg.450,7287,5830,4500,5986,5020,5932
fig|287.13133.peg.451,7746,6460,4857,7749,6589,6735
fig|287.13133.peg.452,10436,9311,7557,11880,8384,10193
fig|287.13133.peg.453,4643,4081,3439,5023,3795,4354
fig|287.13133.peg.454,5971,6340,4528,6292,5554,5730
fig|287.13133.peg.455,4893,4297,3640,4454,3344,4594
fig|287.13133.peg.456,1815,1673,1260,1994,1661,1413
fig|287.13133.peg.457,1383,1491,945,1251,1102,928
fig|287.13133.peg.458,11609,11105,8295,12044,9753,10577
fig|287.13133.peg.459,225,192,168,151,175,198
fig|287.13133.peg.460,516,510,409,547,478,493
fig|287.13133.peg.461,592,539,435,578,568,496
fig|287.13133.peg.462,274,244,147,269,232,197
fig|287.13133.peg.463,1787,900,1279,1012,811,1184
fig|287.13133.peg.464,646,638,405,602,490,519
fig|287.13133.peg.465,864,1056,506,750,740,652
fig|287.13133.peg.466,14,6,1,4,6,1
fig|287.13133.peg.467,359,443,246,327,323,258
fig|287.13133.peg.468,280,282,187,261,214,217
fig|287.13133.peg.469,1462,1385,1014,2420,1322,1456
fig|287.13133.peg.470,38,26,13,23,30,22
fig|287.13133.peg.471,393,309,216,510,312,265
fig|287.13133.peg.472,757,852,465,919,713,551
fig|287.13133.peg.473,1215,1277,705,1244,1142,883
fig|287.13133.peg.474,3732,3765,2284,3871,3135,3465
fig|287.13133.peg.475,13683,15322,10647,16098,10969,15433
fig|287.13133.peg.476,3214,2905,1907,3344,3055,2846
fig|287.13133.peg.477,2974,1985,2228,2557,1965,3534
fig|287.13133.peg.478,1737,1777,1156,1543,1415,1145
fig|287.13133.peg.479,835,548,388,545,525,338
fig|287.13133.peg.480,652,703,409,584,604,480
fig|287.13133.peg.481,802,769,567,810,618,630
fig|287.13133.peg.482,1975,1774,1402,1701,1571,1567
fig|287.13133.peg.483,2833,2816,1986,2813,2322,2530
fig|287.13133.peg.484,59903,32682,40824,46790,28220,79536
fig|287.13133.peg.485,769,877,441,696,589,627
fig|287.13133.peg.486,377,443,256,435,324,457
fig|287.13133.peg.487,1591,1650,1117,1650,1473,1431
fig|287.13133.peg.488,2882,2466,2614,3929,1997,4547
fig|287.13133.peg.489,2670,2298,1739,2250,2261,1985
fig|287.13133.peg.490,4413,4319,2923,4143,3700,4056
fig|287.13133.peg.491,6493,4597,4118,6195,4724,4665
fig|287.13133.peg.492,1814,1752,1253,1764,1628,1453
fig|287.13133.peg.493,1808,1683,1224,1655,1637,1205
fig|287.13133.peg.494,664,653,475,566,619,440
fig|287.13133.peg.495,67,82,36,43,54,36
fig|287.13133.peg.496,26,22,18,12,26,19
fig|287.13133.peg.497,257,238,173,189,161,191
fig|287.13133.peg.498,629,501,478,538,484,434
fig|287.13133.peg.499,1818,1640,1490,1961,1449,1929
fig|287.13133.peg.500,2223,1722,1297,1806,1639,1356
fig|287.13133.peg.501,1268,823,986,941,811,624
fig|287.13133.peg.502,1852,1348,1465,1422,1080,1693
fig|287.13133.peg.503,1276,751,1039,1415,1025,1966
