gene_id,PAO1SDS_433,PAO1SDS_434,PAO1SDS_435,PAO1day4_400,PAO1day4_401,PAO1day4_402,PAO1day5_403,PAO1day5_404,PAO1day5_405,PAO1day6_406,PAO1day6_407,PAO1day6_408
PA3382,1,1,1,0,0,1,1,0,0,0,1,1
PA3383,1,1,0,0,0,3,0,1,0,0,1,1
PA3384,0,1,3,0,0,0,0,1,0,0,2,0
PA3385,123,77,151,162,96,120,65,108,113,107,240,96
PA3386,3,5,5,3,3,4,4,1,5,4,10,4
PA3387,4,3,5,8,0,2,0,1,2,2,3,1
PA3388,14,12,29,8,3,3,3,6,5,1,9,4
PA3389,0,0,3,3,0,2,0,0,0,0,0,1
PA3390,4,2,6,2,1,1,1,3,1,0,4,1
PA3391,254,150,410,268,243,278,191,300,325,318,708,287
PA3392,1459,651,1388,1121,725,818,552,759,1032,1056,2106,1135
PA3393,312,166,251,234,125,157,127,128,210,216,284,236
PA3394,68,44,79,33,21,32,12,22,43,39,62,29
PA3395,44,39,62,17,14,15,7,20,23,11,42,11
PA3396,22,12,22,9,13,9,4,9,14,6,20,10
PA3397,106,59,145,75,46,41,26,38,74,41,104,54
PA3398,15,5,19,10,8,14,5,8,8,11,13,8
PA3399,15,9,25,10,11,14,3,6,8,8,9,7
PA3400,9,6,8,5,1,3,1,1,4,5,11,3
PA3401,9,4,13,3,4,2,4,2,3,2,4,2
PA3402,12,6,26,9,7,6,3,8,10,5,10,6
PA3403,9,6,11,1,2,2,1,2,2,3,5,4
PA3404,7,2,8,10,2,4,1,5,8,0,12,2
PA3405,0,0,0,0,0,0,0,0,0,1,0,0
PA3406,4,1,3,1,1,1,0,0,1,0,2,1
PA3407,25,39,42,12,8,2,3,3,5,7,4,2
PA3408,3,10,6,4,2,2,1,0,3,2,2,2
PA3409,0,2,4,0,0,0,0,0,0,0,0,0
PA3410,5,2,3,3,1,3,0,2,2,3,2,0
PA3411,1,0,3,0,0,1,0,1,0,1,2,1
PA3412,0,0,0,1,0,0,2,0,0,0,2,1
PA3413,19,9,22,16,17,18,13,24,23,24,42,18
PA3414,13,11,28,13,9,21,11,14,23,16,34,18
PA3415,29,32,26,41,62,63,37,68,87,65,178,60
PA3416,42,23,23,70,79,86,63,93,101,96,225,74
PA3417,76,49,49,71,99,139,111,157,168,165,433,164
PA3418,45,31,78,43,72,96,55,126,69,111,309,85
PA3419,8,11,15,8,6,5,1,6,4,5,18,2
PA3420,2,2,5,2,9,1,2,2,2,8,2,1
PA3421,5,3,3,3,1,1,1,1,2,2,3,0
PA3422,4,1,6,1,1,2,0,1,2,4,6,3
PA3423,7,9,20,6,4,4,2,3,3,6,5,5
PA3424,8,7,8,6,5,2,4,2,1,3,8,5
PA3425,4,3,7,5,1,4,4,4,4,3,15,11
PA3426,12,10,23,4,8,13,10,13,16,11,30,16
PA3427,9,10,11,5,10,7,6,5,6,8,19,7
PA3428,1,1,1,1,0,0,0,0,1,0,4,1
PA3429,5,1,7,5,4,7,8,6,7,9,12,12
PA3430,5,6,14,8,15,22,14,25,20,28,67,33
PA3431,1,3,13,0,7,7,4,3,2,8,16,7
PA3432,2,3,11,0,0,1,1,1,0,1,9,5
PA3433,5,4,12,4,3,5,3,0,3,1,6,2
PA3434,0,0,0,0,0,0,0,0,0,0,0,0
PA3435,26,25,45,12,10,8,5,4,21,10,14,11
PA3436,7,11,10,6,2,6,3,3,9,7,11,4
PA3437,42,27,87,40,11,18,17,10,19,17,38,23
PA3438,24,16,37,16,7,11,3,4,6,13,13,20
PA3439,27,12,39,25,13,6,4,2,9,11,27,13
PA3440,66,31,77,50,19,17,16,17,34,31,49,32
PA3441,7,9,8,8,3,3,1,1,2,0,1,4
PA3442,1,4,5,1,1,2,0,0,0,0,2,0
PA3443,0,2,0,1,0,0,0,0,0,0,0,0
PA3444,0,6,2,1,2,1,0,0,0,0,0,2
PA3445,0,1,3,0,1,0,0,0,1,0,2,1
PA3446,0,1,7,3,2,0,0,1,1,2,3,4
PA3447,0,0,3,1,0,0,0,0,0,1,0,1
PA3448,1,0,2,0,0,0,0,0,1,0,0,0
PA3449,1,1,0,0,0,2,0,1,1,0,1,1
PA3450,24,22,14,23,10,19,7,4,9,3,13,9
PA3451,5,12,18,24,22,22,9,17,21,20,32,18
PA3452,103,36,99,85,27,55,36,23,45,30,73,46
PA3453,17,12,34,5,3,3,0,0,5,6,9,3
PA3454,9,5,21,10,2,7,5,5,5,2,8,11
PA3455,88,60,157,97,69,72,70,47,88,73,147,78
PA3456,25,15,45,8,10,13,4,17,12,11,24,13
PA3457,14,5,38,7,6,4,2,2,6,8,13,6
PA3458,35,18,108,13,29,35,19,34,37,32,61,24
PA3459,103,80,116,130,111,151,99,114,142,154,310,154
PA3460,43,64,37,76,62,67,39,53,57,60,155,61
PA3461,34,37,22,40,36,56,25,37,41,35,83,37
PA3462,15,13,16,17,11,11,7,16,10,6,27,15
PA3463,3,4,3,3,2,2,0,2,2,2,3,4
PA3464,7,3,13,3,3,4,1,2,4,5,12,8
PA3465,70,37,169,40,68,62,37,66,85,89,176,91
PA3466,90,63,150,65,30,49,36,38,47,41,68,60
PA3467,0,0,1,2,0,0,0,2,0,1,2,1
PA3468,51,34,90,29,14,10,7,14,24,16,17,18
PA3469,25,8,25,4,2,7,3,3,2,8,6,5
PA3470,5,10,15,3,2,1,0,2,1,1,4,4
PA3471,175,87,250,122,52,68,35,33,59,65,84,86
PA3472,94,68,83,88,37,52,42,33,54,63,91,68
PA3473,30,22,28,24,7,18,13,5,16,12,24,16
PA3474,10,9,11,2,4,1,2,1,3,4,8,1
PA3475,29,26,41,24,18,19,6,4,14,7,22,14
PA3476,110,66,222,97,86,63,44,47,78,63,116,83
PA3477,132,76,271,144,122,115,67,114,139,122,197,174
PA3478,122,69,97,135,68,88,53,55,92,83,105,97
PA3479,115,73,139,143,85,111,73,82,143,119,215,136
PA3480,60,47,81,52,12,18,20,15,28,22,24,37
PA3481,63,28,133,42,34,32,19,13,32,38,62,34
PA3482,240,151,361,167,78,89,59,54,117,67,146,113
PA3483,23,25,48,19,6,9,6,6,5,4,12,7
PA3484,13,7,23,9,6,6,7,10,8,1,16,5
PA3485,2,0,5,1,1,2,1,2,1,1,3,2
PA3486,14,8,29,16,17,8,1,11,17,11,21,18
PA3487,144,104,233,168,99,87,56,76,127,85,154,110
PA3488,106,74,124,136,59,109,64,60,95,88,95,117
PA3489,10,7,9,2,3,6,3,3,9,3,9,3
PA3490,8,4,6,6,2,3,1,4,4,4,4,7
PA3491,29,18,52,9,9,8,5,2,21,12,13,13
PA3492,6,7,15,0,1,7,1,3,2,4,7,2
PA3493,3,1,15,5,1,5,2,1,0,0,5,3
PA3494,9,12,18,2,3,8,1,3,3,2,10,6
PA3495,11,14,26,12,4,13,5,6,6,11,11,12
PA3496,8,5,14,5,0,2,1,3,3,4,7,4
PA3497,0,5,4,6,1,2,3,0,0,1,3,1
PA3498,1,2,7,1,0,3,2,4,3,2,3,2
PA3499,0,1,2,0,1,2,1,0,2,0,1,0
PA3500,1,4,4,4,2,1,2,3,2,4,7,2
PA3501,0,0,2,1,0,1,1,0,0,0,0,0
