locusid,BioFWTBR1_S10,BioFWTBR2_S11,BioFWTBR3_S12,PlankWTBR1_S1,PlankWTBR2_S2,PlankWTBR3_S3
PA1922,493,109,1027,63,39,48
PA1923,421,113,875,57,40,60
PA1924,177,70,402,70,47,80
PA1925,277,138,662,113,101,171
PA1926,1062,886,1264,1064,1444,931
PA1927,30594,34009,9997,14438,13910,10163
PA1928,1219,1434,480,779,661,502
PA1929,241,266,131,158,154,118
PA1930,3215,3855,3213,3661,2855,6095
PA1931,525,572,554,519,416,1004
PA1932,431,457,381,293,224,350
PA1933,3842,3942,3524,4802,3298,4203
PA1934,573,597,629,237,219,223
PA1935,405,481,507,271,231,291
PA1936,305,439,415,197,176,179
PA1937,164,217,232,125,118,124
PA1938,976,1045,1234,1434,1174,1850
PA1939,9568,9474,9951,14407,11599,16069
PA1940,2452,2366,2459,1792,1154,1661
PA1941,1470,1552,1419,1031,1082,1080
PA1942,204,231,253,155,116,168
PA1943,565,611,544,685,614,747
PA1944,2093,2096,2189,2623,2030,3157
PA1945,410,421,416,484,340,621
PA1946,870,764,882,2166,1797,3219
PA1947,346,294,363,907,722,1272
PA1948,585,463,548,810,648,1161
PA1949,555,493,487,878,671,1042
PA1950,877,763,907,1153,877,1300
PA1951,1283,1221,1423,1874,1379,2496
PA1952,28,30,27,21,13,21
PA1953,136,147,163,128,96,116
PA1954,185,224,246,165,109,162
PA1955,43,53,55,45,25,47
PA1956,42,33,46,37,38,37
PA1957,125,99,106,133,123,89
PA1958,277,298,361,209,225,227
PA1959,686,743,760,428,574,394
PA1960,128,111,110,131,147,125
PA1961,213,212,192,287,229,230
PA1962,45,54,48,51,56,41
PA1963,669,678,645,998,990,1292
PA1964,1408,1227,1358,2703,3107,2271
PA1965,434,438,497,212,191,210
PA1966,204,182,161,282,192,256
PA1967,402,500,422,768,630,949
PA1968,305,303,288,364,295,425
PA1969,390,410,384,401,369,325
PA1970,132,129,158,138,104,105
PA1971,656,666,681,803,960,666
PA1972,87,116,104,109,95,114
PA1973,123,132,90,238,245,182
PA1974,81,86,125,290,290,575
PA1975,186,159,176,3825,3093,5099
PA1976,327,313,347,6255,5192,8953
PA1977,82,73,84,953,668,1312
PA1978,319,279,308,2088,1802,3180
PA1979,85,74,79,2791,2200,3979
PA1980,100,63,72,1648,1189,2250
PA1981,39,31,37,811,572,1002
PA1982,666,484,519,8606,7326,12773
PA1983,170,155,130,5291,4865,8989
PA1984,1311,1060,1069,26624,23119,38034
PA1985,2186,2183,2032,5673,5169,7657
PA1986,534,528,472,5106,4930,6407
PA1987,515,562,500,3813,3545,5270
PA1988,289,335,317,2086,1824,2831
PA1989,445,494,404,3242,2809,4088
PA1990,197,204,185,1322,1081,1713
PA1991,783,865,775,1807,1503,2385
PA1992,513,493,494,1070,803,1305
PA1993,223,208,216,251,238,251
PA1994,446,458,431,617,593,663
PA1995,484,477,429,556,506,494
PA1996,446,477,447,377,337,401
PA1997,1346,1397,1160,2013,1625,2199
PA1998,880,789,1006,497,462,570
PA1999,102,113,119,105,77,99
PA2000,64,70,55,106,78,95
PA2001,437,387,262,831,676,763
PA2002,259,239,236,334,306,390
PA2003,402,407,343,540,469,612
PA2004,235,256,228,220,218,260
PA2005,729,769,697,515,555,515
PA2006,270,202,217,68,73,66
PA2007,734,520,506,170,126,114
PA2008,1500,1197,1142,286,257,253
PA2009,2444,2204,1919,309,302,329
PA2010,465,409,376,164,126,123
PA2011,722,721,677,417,299,395
PA2012,570,520,475,485,365,406
PA2013,129,131,114,192,151,137
PA2014,419,382,388,512,401,434
PA2015,1072,966,1096,848,847,772
PA2016,530,485,525,209,193,213
PA2017,456,550,530,605,419,638
PA2018,582,553,587,522,404,405
PA2019,87,94,122,118,119,65
PA2020,1117,1495,1238,408,344,502
PA2021,540,620,481,181,125,300
PA2022,444,496,540,426,388,470
PA2023,3229,3636,3403,2912,2990,3047
PA2024,1531,1827,1382,1773,1283,2319
PA2025,3833,3703,3874,7821,6911,8188
PA2026,244,246,289,242,231,227
PA2027,294,320,330,187,195,175
PA2028,408,391,379,239,236,270
PA2029,368,372,305,292,246,276
PA2030,465,418,468,500,510,501
PA2031,435,389,429,471,485,458
PA2032,1213,1433,1209,422,423,410
PA2033,2044,1448,2166,3344,2413,2519
PA2034,931,634,928,1577,1049,1286
PA2035,518,476,536,776,588,696
PA2036,61,47,75,58,36,68
PA2037,703,670,677,580,452,654
PA2038,279,253,272,268,259,302
PA2039,248,241,214,246,232,243
PA2040,2533,2569,2722,2309,2100,2248
PA2041,1095,1238,1257,494,356,474
PA2042,2413,2144,2055,1660,2186,1409
PA2043,218,188,195,339,293,263
PA2044,1858,1830,1664,1410,1616,1156
PA2045,246,207,176,181,188,188
PA2046,28,30,30,45,42,53
PA2047,469,482,455,861,737,889
PA2048,148,171,105,250,199,215
PA2049,567,572,535,754,728,601
PA2050,161,211,168,30,19,23
PA2051,128,151,125,37,28,30
PA2052,139,139,145,172,111,136
PA2053,84,68,65,75,44,69
PA2054,190,191,193,160,139,143
PA2055,41,34,47,46,28,35
PA2056,172,179,174,109,104,91
PA2057,320,303,318,187,147,176
PA2058,108,97,122,57,64,69
PA2059,77,94,88,84,83,141
PA2060,18,24,34,17,13,19
PA2061,106,118,98,86,73,89
