locusid,BioFWTBR1_S10,BioFWTBR2_S11,BioFWTBR3_S12,PlankWTBR1_S1,PlankWTBR2_S2,PlankWTBR3_S3
PA3114,1229,1331,1325,1156,979,1101
PA3115,17817,21160,18563,21399,17921,20745
PA3116,976,1027,1211,900,794,804
PA3117,3791,3521,3628,3238,3728,2827
PA3118,3479,2925,3177,3433,3559,3115
PA3119,709,616,651,717,645,477
PA3120,4018,3458,3731,3221,2879,2735
PA3121,6058,5121,5440,3921,4011,3103
PA3122,1012,1034,921,906,668,903
PA3123,1491,1546,1593,1495,1114,1861
PA3124,587,716,686,366,293,403
PA3125,285,231,216,167,117,130
PA3126,46387,53341,49503,500,432,575
PA3127,493,515,423,893,782,782
PA3128,490,441,433,905,714,898
PA3129,583,602,596,603,526,591
PA3130,434,466,467,220,273,188
PA3131,703,838,732,268,332,243
PA3132,423,342,453,110,70,99
PA3133,406,252,393,70,73,74
PA3134,3346,3317,3386,3436,3741,2977
PA3135,376,443,458,371,365,347
PA3136,151,190,176,89,86,72
PA3137,678,788,838,586,423,517
PA3138,3416,3254,3460,3158,2548,2817
PA3139,4531,4394,4054,4438,5294,3562
PA3140,177,203,204,270,224,372
PA3141,12285,13381,14328,13171,10824,13964
PA3142,1942,2536,2749,2007,1412,2159
PA3143,2503,3490,3655,3154,2443,3733
PA3144,1544,2048,2213,2473,1745,2823
PA3145,5026,5450,5920,7926,5831,8256
PA3146,3105,3097,3485,4319,3524,4391
PA3147,4292,4276,4644,5551,4414,5410
PA3148,4670,4526,4729,13130,10056,12788
PA3149,4466,4584,4748,7826,5401,7301
PA3150,5676,5609,5849,12413,9138,12082
PA3151,2697,2541,2737,4130,3035,4302
PA3152,1746,1631,1740,2057,1504,1916
PA3153,2055,2000,2133,1751,1434,1629
PA3154,3826,4003,4077,5276,3569,4946
PA3155,9937,10860,10888,20951,17578,20626
PA3156,5158,5725,5739,6107,5488,5705
PA3157,6031,6764,7228,6408,5018,6258
PA3158,7825,7470,7847,15961,15391,14771
PA3159,21043,21268,21393,27539,28204,25862
PA3160,3935,3885,4065,3410,2364,3258
PA3161,3242,4049,3735,1899,1616,1913
PA3162,68978,65802,67718,59587,69946,49397
PA3163,2539,2149,2253,3480,2999,3068
PA3165,3861,3519,4133,3580,3589,3211
PA3166,3973,3989,4105,5225,4969,4610
PA3167,4709,4674,4553,6160,6385,5092
PA3168,14149,13184,12993,16085,16135,13205
PA3169,1292,1253,1289,1072,1274,999
PA3170,1028,963,864,1375,1397,1125
PA3171,1169,1140,1098,1403,1254,1109
PA3172,888,766,797,1296,1056,862
PA3173,1097,1144,1168,1346,1589,1214
PA3174,94,100,98,153,102,102
PA3175,93,117,90,132,101,129
PA3176,157,187,162,173,149,169
PA3177,506,551,523,1011,862,934
PA3178,420,443,472,485,386,473
PA3179,1543,1548,1543,1935,1750,1938
PA3180,791,772,823,1227,934,1023
PA3181,6549,5527,5514,10849,10402,7166
PA3182,6241,5448,5192,9931,8911,6197
PA3183,29510,25980,26836,25443,32920,21089
PA3184,2405,2604,2447,1865,1857,1532
PA3185,4633,3723,4250,4082,3171,3740
PA3186,127230,91134,104927,93675,76412,104620
PA3187,39027,32077,34020,28627,27972,24217
PA3188,24238,21111,22718,14135,15848,12614
PA3189,21989,18261,18874,13363,14962,12056
PA3190,65651,56677,55376,47347,48446,48109
PA3191,2301,2382,2339,2151,1778,1745
PA3192,3301,3235,3127,4703,4075,3396
PA3193,4600,4314,4094,5203,5436,3743
PA3194,15366,15146,13353,16455,19215,12399
PA3195,25871,25134,22763,18992,24103,15895
PA3196,1424,1239,1203,1011,949,738
PA3197,984,913,853,732,693,660
PA3198,939,897,995,1349,1113,1380
PA3199,1499,1581,1492,2519,2338,2445
PA3200,1516,1532,1614,1740,1531,1737
PA3201,3569,3880,3970,2884,2860,2700
PA3202,1530,1432,1328,1794,1791,1482
PA3203,710,647,626,1327,1197,1377
PA3204,461,403,381,894,782,756
PA3205,383,411,393,774,599,847
PA3206,329,347,337,437,353,326
PA3207,210,221,193,449,341,280
PA3208,345,381,328,552,509,361
PA3209,42,35,27,20,18,16
PA3210,835,965,865,534,724,472
PA3211,1497,1773,1639,1496,1401,1463
PA3212,781,888,781,836,737,735
PA3213,1080,1181,1173,1301,1096,1070
PA3214,643,626,562,1251,958,1067
PA3215,1140,1071,1034,1248,1075,1200
PA3216,572,632,545,1215,921,1416
PA3217,1353,1238,1310,1131,1143,1064
PA3218,20,17,18,24,15,13
PA3219,60,49,67,35,40,41
PA3220,319,309,302,564,507,440
PA3221,660,614,693,1482,1857,2138
PA3222,601,521,514,1308,1610,1771
PA3223,230,241,229,246,215,277
PA3224,2507,3369,3004,1770,1263,2038
PA3225,2421,2810,1949,2394,1983,2683
PA3226,1251,1415,1174,1991,1792,2283
PA3227,1792,1845,1692,3517,3255,3923
PA3228,2079,2375,2112,3007,2733,3336
PA3229,206,243,230,362,250,311
PA3230,615,749,683,736,625,802
PA3231,789,1419,1249,980,714,1832
PA3232,733,788,844,3484,2857,5361
PA3233,1702,1708,1691,9661,8407,14119
PA3234,8293,7936,8082,94452,79652,156017
PA3235,3688,3982,4266,55246,37124,86535
PA3236,301,323,346,337,230,346
PA3237,123,143,176,96,80,144
PA3238,1371,1527,1522,2246,1999,2041
PA3239,757,830,799,1366,1203,1263
PA3240,552,637,605,623,461,655
PA3241,574,592,473,880,791,811
PA3242,800,818,885,624,762,533
PA3243,1694,1787,1574,1522,1266,1485
PA3244,8332,9209,8754,4478,4736,3972
PA3245,3296,3499,3399,1691,1719,1511
PA3246,483,424,399,331,306,337
PA3247,1476,1338,1234,3786,3645,3005
PA3248,411,411,412,1088,778,964
PA3249,262,295,295,428,425,472
PA3250,1033,935,940,2073,1831,2891
PA3251,250,239,246,533,504,612
PA3252,304,286,267,554,526,671
PA3253,343,347,303,595,515,744
PA3254,598,583,639,935,809,969
PA3255,1277,1150,1228,2010,1862,1921
PA3256,1525,1448,1443,2450,2013,2263
PA3257,10906,10106,10285,28248,26370,29517
PA3258,858,954,975,1501,1252,1766
PA3259,526,515,472,663,463,741
PA3260,1084,1172,984,725,598,992
PA3261,3127,3683,3426,3157,2120,3950
PA3262,6733,7618,6594,4605,5526,4096
PA3263,791,783,795,965,1071,888
PA3264,431,447,464,472,512,407
PA3265,346,373,357,208,188,197
PA3266,12043,10303,11757,28908,32615,24326
PA3267,1687,1740,1657,2801,2689,2634
PA3268,570,518,663,1184,1543,942
PA3269,284,314,307,529,403,451
PA3270,567,620,561,598,531,539
PA3271,1288,1427,1379,3877,3341,4062
PA3272,1403,1396,1315,1118,862,1017
PA3273,709,1221,970,169,124,276
PA3274,582,855,730,205,139,342
PA3275,262,311,327,325,202,383
PA3276,169,202,242,93,116,91
PA3277,730,806,838,2062,1407,2230
PA3278,3611,4655,4130,1522,742,971
PA3279,116,133,110,122,73,111
PA3280,232,289,295,305,236,342
PA3281,170,195,191,179,133,216
PA3282,71,92,77,82,71,77
PA3283,151,149,157,129,102,120
PA3284,114,126,128,77,56,82
PA3285,971,924,979,1142,1008,1173
PA3286,2093,2160,2000,1960,2075,1702
PA3287,293,321,270,405,330,377
PA3288,479,447,433,603,530,480
PA3289,448,442,462,1037,799,1049
PA3290,2807,2721,2680,2463,1919,2969
PA3291,327,294,305,91,77,94
PA3292,398,411,377,81,58,101
PA3293,285,299,227,107,111,119
PA3294,2061,2362,1825,713,756,648
PA3295,1165,1200,1170,1313,1438,1205
PA3296,64,75,72,100,75,109
PA3297,2112,2052,1985,3034,2857,2423
PA3298,79,81,79,154,80,171
PA3299,4242,4678,4451,2843,2813,2808
PA3300,1946,2068,2019,1441,1182,1912
PA3301,1200,1196,1116,1588,1673,1432
PA3302,1496,1483,1363,2177,2258,2112
PA3303,385,473,466,416,378,401
PA3304,212,260,276,874,651,870
PA3305,646,635,706,1173,880,1215
PA3306,715,750,685,913,730,1097
PA3307,591,644,526,624,512,754
PA3308,2279,2318,2399,1558,2141,1147
PA3309,47134,48871,40950,64985,51297,51972
PA3310,2595,2707,2894,3567,2848,3065
PA3311,1479,1343,1436,3990,2890,5656
PA3312,387,289,322,750,535,1103
PA3313,1792,1810,1583,1825,1991,1610
PA3314,377,368,315,470,406,362
PA3315,1590,1825,1497,718,590,941
PA3316,1261,1509,1189,650,479,728
PA3317,477,522,497,721,617,669
PA3318,115,107,109,228,197,205
PA3319,250,284,249,236,214,268
PA3320,33,40,39,25,16,23
PA3321,186,211,190,178,151,133
PA3322,457,470,462,300,304,229
PA3323,121,165,135,300,248,385
PA3324,344,379,366,550,478,629
PA3325,1487,1416,1422,1148,944,1119
PA3326,22464,21782,22538,19397,18793,20508
PA3327,20713,19860,16162,9179,8954,7472
PA3328,3364,2785,2307,2429,1976,1962
PA3329,5251,4701,3809,4228,3930,3761
PA3330,4575,3598,2966,4165,3491,3545
PA3331,7724,6331,5239,7879,7362,7018
PA3332,5081,4124,3651,5168,4989,4963
PA3333,6785,6145,5310,7700,6771,7521
PA3334,7201,7144,6642,6845,5707,8287
PA3335,5195,5001,4354,4651,3596,4486
PA3336,2966,2857,2512,4067,2957,3119
PA3337,3754,3913,3694,11535,8880,8627
PA3338,346,321,274,292,280,303
PA3339,685,685,659,1408,951,1403
PA3340,1236,1084,1147,4228,3111,4752
PA3341,1780,1832,1791,4089,2951,4510
PA3342,497,521,477,1666,1280,1886
PA3343,732,826,866,1787,1482,2075
PA3344,2721,3062,3023,1849,2130,1608
PA3345,827,839,955,575,438,690
PA3346,2228,2120,2130,4196,3328,4929
PA3347,2105,2189,1976,3530,3248,4276
PA3348,6149,6300,6430,11284,9051,14002
PA3349,16316,16115,16482,28075,19900,37403
PA3350,3975,4310,4344,5253,4597,7286
PA3351,6017,5646,5524,9717,9193,10641
PA3352,3911,3809,3605,6204,5938,6910
PA3353,2531,2403,2397,6528,5677,7306
PA3354,1239,1238,1119,2406,1800,2285
PA3355,1088,1175,1041,1364,1335,1351
PA3356,1855,1752,1770,3453,2670,2866
PA3357,507,475,447,683,699,511
PA3358,90,108,82,113,133,74
PA3359,200,206,191,152,179,168
PA3360,64,76,60,116,86,83
PA3361,20482,19529,20290,2013,1818,3696
PA3362,4449,4876,4938,622,528,958
PA3363,435,426,474,257,237,271
PA3364,332,318,381,310,313,298
PA3365,139,146,152,215,197,222
PA3366,640,673,693,639,585,741
PA3367,162,196,182,291,263,358
PA3368,178,210,180,186,153,200
PA3369,1193,1705,1274,3819,3679,9280
PA3370,1111,1613,1221,3028,2825,7593
PA3371,971,1476,1011,2439,2580,6009
PA3372,455,572,439,1212,1078,2386
PA3373,287,183,178,293,224,200
PA3374,213,180,159,192,172,172
PA3375,20,21,31,40,37,27
PA3376,29,32,41,54,52,43
PA3377,38,73,59,122,107,63
PA3378,65,61,65,105,85,69
PA3379,14,14,12,38,34,28
PA3380,9,10,6,13,7,12
PA3381,21,18,18,15,21,28
PA3382,36,28,37,47,41,46
PA3383,73,57,54,72,71,87
PA3384,57,67,76,70,56,92
PA3385,6527,5372,6159,14160,12812,15672
PA3386,308,250,263,846,714,817
PA3387,86,98,97,267,264,311
PA3388,242,204,182,274,306,259
PA3390,64,63,59,89,88,88
PA3389,64,70,86,104,93,107
PA3391,929,1246,1111,3805,3358,3447
PA3392,1655,1801,1613,13445,12171,11525
PA3393,362,401,348,2561,2126,2350
PA3394,72,67,60,590,482,429
PA3395,59,70,59,657,590,498
PA3396,50,61,53,463,440,342
PA3397,18177,19240,17920,11393,13256,9017
PA3398,711,729,659,731,482,716
PA3399,967,1013,824,1378,1058,1470
PA3400,381,445,374,443,389,417
PA3401,326,339,369,353,386,357
PA3402,438,441,372,449,443,365
PA3403,139,175,160,157,118,154
PA3404,169,184,215,181,151,164
PA3405,95,57,85,91,53,59
PA3406,133,65,106,83,74,47
PA3407,4159,3315,4584,1990,1619,1923
PA3408,869,633,807,414,406,406
PA3409,217,216,270,320,265,274
PA3410,290,220,334,278,351,186
PA3411,46,48,38,43,37,46
PA3412,91,95,111,112,81,138
PA3413,1563,2003,1566,567,517,664
PA3414,1531,1669,1233,418,400,523
PA3415,4255,4724,3262,828,602,1105
PA3416,5470,6404,4555,950,676,1432
PA3417,6665,7536,5223,890,614,1317
PA3418,8324,9732,6852,4976,3977,6310
PA3419,417,396,354,485,384,403
PA3420,114,109,101,323,218,344
PA3421,150,148,153,162,148,180
PA3422,369,402,420,266,213,348
PA3423,398,492,428,381,353,384
PA3424,171,168,148,269,197,181
PA3425,181,203,228,375,334,359
PA3426,358,387,366,663,488,640
PA3427,451,440,427,1764,1164,1657
PA3428,71,84,85,187,127,263
PA3429,229,206,179,523,392,577
PA3430,903,900,933,1412,1225,1508
PA3431,1336,1423,1502,1150,1070,612
PA3432,699,823,882,734,733,371
PA3433,318,374,367,512,355,537
PA3434,2267,2705,2677,2996,2210,3683
PA3435,1069,1105,1076,824,993,678
PA3436,62,69,61,85,89,46
PA3437,602,657,589,815,847,730
PA3438,1341,1341,1373,2157,2037,2112
PA3439,991,1039,1039,1979,1888,2023
PA3440,1577,1561,1599,1231,1307,1017
PA3441,5621,5869,6952,961,786,1009
PA3442,2247,2130,2355,442,371,383
PA3443,1049,1203,1029,164,158,96
PA3444,1146,1140,909,210,149,97
PA3445,1923,2121,1814,242,199,143
PA3446,1272,1646,1416,179,179,118
PA3447,175,160,151,64,52,61
PA3448,210,183,200,41,46,30
PA3449,364,407,413,46,38,29
PA3450,6815,8092,7713,758,815,624
PA3451,1782,1841,1945,2223,1630,3098
PA3452,2293,1616,1960,1989,1874,1873
PA3453,437,399,375,421,446,335
PA3454,324,412,367,1079,885,959
PA3455,1937,2122,2052,4194,3195,4066
PA3456,273,255,241,345,326,208
PA3457,444,463,476,1117,887,1020
PA3458,1461,1426,1576,3723,2785,3082
PA3459,2873,3398,3229,5619,3803,5349
PA3460,1388,1728,1376,2443,2100,2482
PA3461,1024,1304,1014,1568,1399,1727
PA3462,466,450,433,1032,796,1229
PA3463,175,149,135,237,215,333
PA3464,163,174,193,321,263,239
PA3465,1811,1662,1599,7967,5769,8061
PA3466,778,778,708,1459,1345,1173
PA3467,101,101,104,125,95,138
PA3468,726,666,596,745,840,628
PA3469,433,423,422,550,495,372
PA3470,234,219,215,339,289,240
PA3471,3629,3329,3194,3996,4283,3132
PA3472,5263,5866,6093,1562,1999,1523
PA3473,638,612,554,380,411,323
PA3474,278,281,248,270,254,233
PA3475,1162,1292,1208,1333,1331,1339
PA3476,14985,16191,15392,7655,7236,9125
PA3477,10734,12440,13813,8707,9047,10330
PA3478,7082,8819,8615,1357,1094,1240
PA3479,16914,20039,19899,2111,1614,1929
PA3480,2341,2303,2352,1339,1657,1325
PA3481,1545,1360,1240,2479,2245,1991
PA3482,6661,6536,6566,5163,6192,4804
PA3483,1483,1584,1589,1317,1398,1280
PA3484,826,890,797,1061,1146,1002
PA3485,241,249,231,333,323,302
PA3486,2284,2463,1979,894,865,857
PA3487,2669,2912,2370,1362,1323,1357
PA3488,786,766,731,509,333,502
PA3489,403,420,414,256,239,231
PA3490,141,129,133,152,152,123
PA3491,351,336,315,400,443,326
PA3492,155,160,136,294,224,211
PA3493,112,129,79,152,140,149
PA3494,248,265,245,262,240,240
PA3495,429,449,445,457,459,492
PA3496,857,1516,1312,253,177,289
PA3497,347,501,473,147,146,167
PA3498,319,266,296,301,247,309
PA3499,144,98,89,153,152,159
PA3500,249,175,213,313,250,283
PA3501,60,48,49,148,94,94
PA3502,101,68,89,146,104,128
PA3503,191,105,135,183,147,190
PA3504,255,219,263,250,208,244
PA3505,122,106,151,117,103,107
PA3506,188,128,190,210,181,223
PA3507,130,82,86,125,76,117
PA3508,214,153,174,213,149,285
PA3509,136,79,114,130,94,166
PA3510,214,151,182,181,161,247
PA3511,104,85,95,91,70,122
PA3512,120,140,137,159,133,168
PA3513,153,156,165,161,158,216
PA3514,256,228,263,332,227,473
PA3515,338,308,298,294,221,322
PA3516,224,196,178,148,101,148
PA3517,190,180,141,178,187,190
PA3518,157,115,77,48,60,60
PA3519,183,177,174,61,76,66
PA3520,494,484,569,111,82,174
PA3521,45,66,63,49,45,50
PA3522,338,342,318,262,246,281
PA3523,146,160,120,139,102,130
PA3524,1407,1701,1630,1967,2061,1817
PA3525,6406,6471,6218,6302,6588,4419
PA3526,1129,1011,1039,2132,1650,2021
PA3527,1114,1026,987,1977,2560,1766
PA3528,1436,1398,1412,3070,3333,2774
PA3529,14420,16678,15157,9802,9340,8121
PA3530,3721,4536,6476,2733,2205,2358
PA3531,5932,8421,6551,4917,4654,6094
PA3532,371,476,361,541,505,503
PA3533,4252,4147,4880,6753,6213,6685
PA3534,191,200,190,544,410,549
PA3535,542,454,443,2023,1904,1632
PA3536,456,504,437,467,322,409
PA3537,1820,1617,1644,1009,1252,873
PA3538,2084,2083,2038,2219,2523,1955
PA3539,556,567,534,439,600,453
PA3540,193,248,268,168,140,172
PA3541,252,281,296,217,141,242
PA3542,95,109,126,67,62,62
PA3543,61,53,55,46,49,35
PA3544,150,168,165,126,84,109
PA3545,951,1203,1172,913,687,1168
PA3546,52,84,67,62,47,101
PA3547,58,62,62,75,45,36
PA3548,185,205,249,191,145,183
PA3549,55,40,50,42,36,46
PA3550,86,114,105,123,103,112
PA3551,437,534,462,423,308,408
PA3552,1393,755,1263,1945,1860,1852
PA3553,1142,615,1005,1769,1654,1638
PA3554,2210,1368,2139,3333,3124,2901
PA3555,424,245,336,874,593,579
PA3556,763,416,722,1115,929,931
PA3557,145,99,128,294,265,229
PA3558,430,240,439,452,370,426
PA3559,2433,1464,2464,3464,2793,3657
PA3560,345,279,328,546,431,554
PA3561,126,108,118,214,182,222
PA3562,278,270,246,425,357,387
PA3563,342,309,279,593,663,474
PA3564,97,115,67,284,220,187
PA3565,157,184,144,249,185,225
PA3566,169,137,117,305,318,315
PA3567,495,432,426,1445,1191,2051
PA3568,752,808,796,5193,4155,8250
PA3569,118,112,93,339,292,259
PA3570,402,493,472,881,988,846
PA3571,188,232,185,274,234,268
PA3572,7835,8580,8140,5812,4494,5453
PA3573,3349,3258,2890,2348,1424,1470
PA3574,1700,1933,1615,823,739,888
PA3575,198,200,204,125,138,95
PA3576,625,502,513,1056,766,1071
PA3577,573,669,954,389,350,620
PA3578,6273,4941,7654,3002,2264,3040
PA3579,375,385,361,756,833,570
PA3580,311,355,338,518,598,479
PA3581,703,528,585,3000,3372,3695
PA3582,2026,1268,1535,11597,11671,15265
PA3583,848,888,898,1341,1428,1665
PA3584,813,905,825,3551,3547,3129
PA3585,179,193,223,133,158,114
PA3586,104,124,129,126,107,112
PA3587,1531,1795,1008,3091,2651,2550
PA3588,521,647,379,1231,922,1080
PA3589,25,37,31,31,32,28
PA3590,136,152,121,174,113,152
PA3591,12,12,13,15,17,12
PA3592,32,32,33,37,22,37
PA3593,112,113,120,80,72,81
PA3594,185,199,220,188,160,210
PA3595,185,203,226,217,152,205
PA3596,148,111,193,140,100,122
PA3597,337,292,519,292,256,361
PA3598,272,197,380,196,199,252
PA3599,3497,1161,5631,902,745,850
PA3600,5385,1201,10568,815,692,803
PA3601,6485,1507,14046,909,825,923
PA3602,1112,1050,1178,896,939,817
PA3603,484,424,529,388,462,363
PA3604,1219,1166,1323,889,836,885
PA3605,701,752,745,746,533,605
PA3606,306,287,277,473,399,396
PA3607,407,409,378,720,463,873
PA3608,109,131,123,117,104,105
PA3609,69,58,68,67,60,63
PA3610,358,433,503,520,312,455
PA3611,1641,1697,1704,2010,1863,1764
PA3612,1144,1058,1134,1572,1217,1269
PA3613,11095,10277,9980,16555,12886,13142
PA3614,4553,4803,4335,14419,11787,14405
PA3615,5307,5714,5611,9968,8083,11543
PA3616,1138,1180,1245,3060,2311,3304
PA3617,4863,4901,4810,9054,8545,8627
PA3618,695,807,780,544,465,575
PA3619,498,548,501,542,485,566
PA3620,3068,3071,3009,3513,3660,2770
PA3621,1136,1368,1340,537,535,372
PA3622,27132,29465,30693,49976,41813,69995
PA3623,20472,24697,26087,42648,30379,62218
PA3624,2898,3243,3228,2238,2203,2063
PA3625,2592,2646,2530,1413,1653,1209
PA3626,1863,1984,1900,1393,1286,1120
PA3627,999,1063,993,1226,1105,1036
PA3628,1089,1024,831,1517,1497,1611
PA3629,2323,2462,2082,3108,2874,3433
PA3630,235,295,278,294,305,325
PA3631,944,932,891,1762,1956,1461
PA3632,419,428,445,997,1041,819
PA3633,664,759,690,679,707,582
PA3634,1205,1447,1485,1111,1072,1052
PA3635,9216,8971,8606,9968,9882,7585
PA3636,5187,5574,5497,4250,4314,3256
PA3637,11363,11938,11743,8919,10075,7557
PA3638,348,371,353,610,574,451
PA3639,3805,3826,3596,4415,4540,3713
PA3640,6073,6101,6258,6510,6537,5507
PA3641,1365,1571,1446,890,842,770
PA3642,505,465,503,861,701,721
PA3643,1588,1585,1584,1660,1543,1558
PA3644,4743,4781,5247,4480,4164,3870
PA3645,3653,3599,3825,2215,2409,2008
PA3646,5718,6097,5748,4362,4150,3739
PA3647,4875,5304,5070,3775,3810,3315
PA3648,14270,14560,14447,9677,11516,8383
PA3649,8231,8265,8844,3777,2826,3264
PA3650,1854,1966,1940,2103,1766,1658
PA3651,1394,1253,1187,1138,1052,838
PA3652,2666,2813,2566,2314,2072,1765
PA3653,4080,4177,4015,3550,3434,2954
PA3654,3080,3209,3103,1792,1824,1437
PA3655,8378,8446,7798,7838,8893,5945
PA3656,21585,22350,21770,17503,22715,13961
PA3657,3720,3722,3703,3780,4450,3614
PA3658,2084,2162,2211,2745,2929,2354
PA3659,586,581,581,1511,1415,1269
PA3660,695,802,743,1656,1282,1667
PA3661,295,317,240,76,118,106
PA3662,1870,1854,2208,2952,2294,3019
PA3663,944,831,920,1471,1092,1412
PA3664,863,880,771,772,863,563
PA3665,510,511,385,535,667,410
PA3666,1590,1572,1278,2836,3451,2337
PA3667,881,928,812,1453,1364,1568
PA3668,289,311,261,594,455,675
PA3669,471,521,475,529,384,471
PA3670,472,582,522,225,247,224
PA3671,313,400,343,185,160,201
PA3672,429,496,403,183,205,211
PA3673,1718,1861,1807,1720,2024,1510
PA3674,1256,1387,1274,1889,1935,2020
PA3675,732,705,642,698,797,556
PA3676,2055,2139,2247,1396,1269,1282
PA3677,545,567,456,229,223,182
PA3678,1008,1177,1123,731,652,546
PA3679,442,404,403,476,502,423
PA3680,251,249,239,235,246,196
PA3681,380,437,368,387,346,354
PA3682,207,190,155,359,367,306
PA3683,555,639,598,616,562,551
PA3684,295,340,330,320,232,250
PA3685,362,344,332,320,360,280
PA3686,4476,4600,4458,4717,6236,4492
PA3687,2103,2152,1925,3747,2860,3801
PA3688,2062,1913,1847,4340,3104,6153
PA3689,1357,1250,1303,2590,1604,2966
PA3690,799,797,607,1266,1005,1125
PA3691,6112,8430,6861,9174,8945,15521
PA3692,13157,16969,14202,16131,13421,24584
PA3693,497,591,592,756,661,828
PA3694,795,923,895,1044,928,1124
PA3695,1043,1130,1029,1644,1344,1481
PA3696,949,1069,1007,2040,1682,1994
PA3697,1750,1913,1798,2773,2371,2782
PA3698,1224,1515,1544,1296,995,1315
PA3699,988,1150,1128,926,728,907
PA3700,3227,3032,2967,4327,5215,3234
PA3701,4418,4404,4344,4390,5465,4025
