"gene_id","empty_NI_1","empty_NI_2","empty_NI_3","pit2_NI_1","pit2_NI_2","pit2_NI_3","empty_I_1","empty_I_2","empty_I_3","pit2_I_1","pit2_I_2","pit2_I_3"
"PA3427",1011,65,42,3196,422,221,222,43,37,373,1220,1927
"PA3426",1257,82,60,1746,265,201,599,44,57,423,199,372
"PA3425",95,4,4,104,20,16,45,18,5,30,14,17
"PA3424",82,10,2,95,27,18,50,30,27,77,24,35
"PA3423",60,26,20,101,72,57,55,70,98,95,89,61
"PA3422",44,11,7,96,27,20,51,26,1,49,84,107
"PA3421",102,24,14,167,55,38,60,4,9,48,82,109
"PA3420",558,30,21,1265,57,45,149,4,10,168,205,389
"PA3419",569,85,60,926,322,228,491,41,65,540,210,265
"PA3418",14321,2115,1363,9285,3746,3726,8860,255,329,8581,2387,3791
"PA3417",4302,494,284,2853,986,1084,2554,45,40,3293,503,931
"PA3416",5875,675,392,4536,1774,2064,3660,64,115,4567,712,1745
"PA3415",4314,568,337,3417,1564,1601,2577,60,81,3368,666,1392
"locus_tag=AJBOOFMH_02224",93,12,12,95,31,21,45,8,3,74,9,23
"PA3414",500,36,21,500,120,73,329,64,89,453,42,105
"PA3413",982,242,164,854,776,604,616,206,221,788,470,584
"PA3412",14336,2636,1723,12985,7102,6327,8019,163,225,9077,6107,8102
"PA3411",880,105,61,579,198,144,401,12,24,465,170,186
"PA3410",285,104,75,229,310,271,437,50,57,570,65,97
"PA3409",273,37,18,320,120,89,214,3,7,269,61,89
"PA3408",975,216,351,812,1355,985,2051,54,52,1865,174,191
"PA3407",17472,6837,4752,11523,20330,20731,33545,755,910,96823,1960,3378
"PA3406",98,16,19,72,79,67,212,9,4,262,13,7
"PA3405",167,43,14,65,102,87,199,5,6,249,13,32
"PA3404",111,24,7,58,63,43,154,0,10,206,8,14
"locus_tag=AJBOOFMH_02236",155,24,23,158,84,81,91,24,22,109,14,49
"PA3403",35,8,1,51,32,25,17,47,41,34,25,16
"PA3402",232,34,6,331,117,88,113,175,228,171,72,124
"PA3401",93,17,13,111,33,30,38,127,95,47,27,59
"PA3400",143,16,21,142,70,60,92,104,111,108,47,91
"PA3399",767,39,61,999,379,242,425,77,105,392,177,400
"PA3398",215,23,34,182,128,127,221,116,106,193,78,132
"PA3397",650,272,148,777,811,560,599,2054,2215,568,679,743
"PA3396",5,0,0,5,0,1,5,9,7,3,6,6
"PA3395",10,2,1,13,3,0,4,6,4,12,4,13
"PA3394",5,0,0,5,5,0,4,0,3,11,23,13
"PA3393",18,0,4,66,16,5,13,17,10,21,173,135
"PA3392",54,14,5,255,23,20,32,34,49,20,2312,1700
"PA3391",33,5,4,107,17,24,34,28,32,42,965,911
"PA3389",40,16,6,32,33,20,29,16,23,21,22,19
"PA3390",46,3,8,46,25,12,23,12,7,22,16,21
"PA3388",102,7,5,225,36,13,38,64,37,60,18,50
"PA3387",264,26,8,779,60,45,76,63,56,106,137,231
"PA3386",482,87,50,389,184,179,265,84,128,221,67,128
"PA3385",25600,8405,5693,13544,16735,15048,22137,2862,3775,17270,5318,6837
"PA3384",25,3,6,30,16,16,23,4,8,15,9,15
"PA3383",30,2,12,46,30,21,31,7,18,35,36,34
"PA3382",11,3,0,14,12,10,6,6,4,9,4,17
"PA3381",17,0,0,19,9,15,4,5,0,4,4,9
"PA3380",12,0,0,14,1,1,1,1,4,13,0,1
"PA3379",33,0,3,38,6,5,20,0,7,35,1,6
"PA3378",63,1,5,45,23,22,41,24,12,86,16,38
"PA3377",56,3,9,56,22,23,28,6,7,40,25,34
"PA3376",42,1,2,28,9,4,18,10,0,24,8,9
"PA3375",28,1,0,49,3,4,16,7,0,24,11,3
"PA3374",190,12,2,211,43,25,133,10,11,95,17,30
"PA3373",408,41,19,423,102,56,197,49,39,173,49,80
"PA3372",138,15,5,184,47,28,82,45,30,58,25,46
"PA3371",404,93,35,93,144,170,204,16,8,49,16,22
"PA3370",353,159,67,81,181,176,174,16,34,33,21,22
"PA3369",777,341,93,205,388,455,468,64,116,109,61,60
"PA3368",92,8,10,101,52,29,58,16,20,89,19,23
"locus_tag=AJBOOFMH_02273",17,30,21,55,44,51,16,55,67,40,51,37
"PA3367",75,27,16,120,45,44,32,21,39,62,21,49
"PA3366",1775,594,403,1863,1466,1518,1256,333,403,1315,498,659
"PA3365",616,80,49,736,184,197,394,40,64,358,76,136
"PA3364",667,77,61,740,251,281,434,111,74,425,118,232
"PA3363",382,70,100,382,325,330,325,42,31,339,161,205
"PA3362",300,50,39,217,114,118,132,28,21,119,87,102
"PA3361",391,178,86,313,243,261,251,27,18,68,13,27
"PA3360",35,9,3,50,14,10,23,13,20,38,0,9
"PA3359",13,2,2,18,9,5,14,16,14,19,7,4
"PA3358",65,1,6,72,18,13,29,25,22,42,10,15
