gene_id,Ctrl1,Ctrl2,Ctrl3,P5A1_25,P5A2_25,P5A3_25
PA2828,1518,1267,6705,1952,1658,1717
PA2829,256,256,1240,453,394,349
PA2830,4792,4234,21657,8855,8649,9041
PA2831,1255,1219,5937,2110,2283,1959
PA2832,568,619,2847,851,948,860
PA2833,138,131,727,263,273,254
PA2834,559,504,2334,432,498,464
PA2835,191,188,1008,367,355,268
PA2836,177,232,1108,345,387,254
PA2837,259,231,1351,358,348,271
PA2838,216,243,1616,339,322,318
PA2839,165,164,885,212,159,146
PA2840,3096,3152,15582,6772,6317,6075
PA2841,554,573,2680,855,776,643
PA2842,839,779,3694,1122,1007,984
PA2843,3459,3237,17431,1851,1814,1575
PA2844,816,778,3913,1052,948,806
PA2845,59,51,205,45,47,49
PA2846,456,399,2205,508,479,505
PA2847,258,217,1120,317,289,267
PA2848,200,282,1089,393,392,335
PA2849,118,85,446,516,509,548
PA2850,78,56,374,561,514,466
PA2851,1131,1087,4975,1680,1541,1666
PA2852,20,17,116,7,8,7
PA2852.1,91,95,454,26,28,29
PA2852.2,492,506,2498,784,753,569
PA2853,3168,2664,14663,944,560,689
PA2854,1752,1551,8336,2591,2339,2239
PA2855,148,112,719,599,535,586
PA2856,456,464,2369,796,755,801
PA2857,589,711,3516,957,942,848
PA2858,2150,1987,10794,3271,3096,2790
PA2859,656,590,2860,1142,1114,1072
PA2860,574,462,2319,1388,1221,1217
PA2861,76,77,378,139,152,144
PA2862,824,912,4307,739,681,616
PA2863,186,262,1380,97,125,53
PA2864,214,220,1127,112,122,96
PA2865,1354,1282,6197,1363,1284,1214
PA2866,296,326,1725,763,706,608
PA2867,1962,2030,10199,1867,1725,1553
PA2868,256,300,1716,264,316,245
PA2869,307,240,1346,286,275,257
PA2870,1031,909,4145,1960,2038,1801
PA2871,466,557,2639,1042,1052,863
PA2872,1152,1168,5751,1126,901,962
PA2873,1013,1059,4986,659,619,588
PA2874,583,808,3620,854,989,676
PA2875,527,670,3116,1587,1657,1322
PA2876,383,499,2326,1538,1570,1335
PA2877,521,508,2552,803,829,613
PA2878,119,183,694,235,228,149
PA2879,296,275,1292,265,268,214
PA2880,170,123,634,84,84,100
PA2881,354,301,1454,252,244,299
PA2882,384,382,1656,389,387,400
PA2883,159,154,933,245,205,260
PA2884,468,411,2095,1097,1202,1091
PA2885,481,517,2377,1331,1148,1105
PA2886,1046,1183,5654,1551,1573,1404
PA2887,643,601,2980,814,734,580
PA2888,1818,1823,8842,1136,1218,1076
PA2889,1650,1530,7223,527,629,514
PA2890,974,810,4580,321,337,230
PA2891,2203,2230,11973,691,788,611
PA2892,531,575,2962,504,433,405
PA2893,979,919,4772,3106,3275,3052
PA2894,366,399,1989,993,1069,911
PA2895,3025,3036,15157,7014,7019,5696
PA2896,1761,1782,8739,6339,6218,5860
PA2897,6911,5888,31401,6052,5822,6014
PA2898,119,118,583,172,164,183
PA2899,504,527,2559,820,826,778
PA2900,1755,1857,9014,4833,4920,4871
PA2901,813,762,3460,2288,2306,2352
PA2902,793,726,3818,1508,1600,1314
PA2903,793,814,3632,1206,1055,892
PA2904,256,273,1288,230,247,238
PA2905,175,176,873,169,188,117
PA2906,854,1029,5070,1715,1646,1385
PA2907,1089,1515,6660,2295,2225,1608
PA2908,1121,1074,5189,1431,1294,1257
PA2909,525,557,2771,431,469,399
PA2910,185,203,1007,225,237,194
PA2911,479,456,2550,1323,1131,1099
PA2912,100,121,767,568,488,440
PA2913,232,229,1224,1014,1053,960
PA2914,793,861,4006,3052,2865,2360
PA2915,2298,2485,12259,2905,2838,2482
PA2916,46,73,351,116,115,59
PA2917,236,265,1653,305,284,304
PA2918,461,544,2557,283,307,271
PA2919,114,211,969,116,144,136
PA2920,1229,1236,6042,954,1145,1013
PA2921,371,389,2165,700,719,550
PA2922,197,194,1172,226,275,272
PA2923,103,162,677,205,167,148
PA2924,103,117,609,171,171,121
PA2925,158,125,729,370,312,313
PA2926,286,248,1326,512,508,480
PA2927,850,991,4847,1150,974,984
PA2928,536,726,3403,1087,944,759
PA2929,189,185,867,336,297,223
PA2930,1348,1605,7990,1378,1345,1238
PA2931,639,676,3118,595,664,592
PA2932,208,241,1458,335,368,356
PA2933,223,280,1276,399,450,346
PA2934,131,118,617,250,212,249
PA2935,67,48,215,57,57,60
PA2936,158,101,590,103,138,121
PA2937,276,255,1191,219,173,166
PA2938,1121,1307,6476,931,851,773
PA2939,1341,1413,6908,584,570,604
PA2940,540,517,2345,744,699,698
PA2941,781,836,4139,820,815,623
PA2942,61,69,259,49,48,48
PA2942.1,1214,1485,7104,1399,1324,1061
PA2943,448,445,2300,701,690,574
PA2944,1726,1992,9823,3060,2807,2427
PA2945,577,673,3690,2304,2169,2171
PA2946,993,1144,5648,2797,2669,2367
PA2947,151,230,926,495,414,431
PA2948,181,210,900,488,474,407
PA2949,446,511,2211,795,780,642
PA2950,1944,2125,10249,3530,3207,3254
PA2951,18124,18344,93506,7570,7478,6846
PA2952,18502,17710,91679,9701,10512,9346
PA2953,7736,7001,37959,4973,4583,4338
PA2954,551,515,2487,734,755,700
PA2955,742,730,3686,1344,1470,1367
PA2956,913,923,4214,2756,2682,2646
PA2957,836,817,3659,1292,1271,1232
PA2958,248,249,1019,379,360,418
PA2958.1,1053,897,4815,1913,1792,1596
PA2959,1546,1416,6794,1612,1698,1515
PA2960,1236,949,5148,803,802,755
PA2961,1828,1723,8354,1220,1171,1032
PA2962,1518,1437,7234,1438,1433,1257
PA2963,1383,1192,6302,1715,1752,1693
PA2964,3156,3196,14832,3154,3262,2925
PA2965,8776,7998,40424,9608,9201,9192
PA2966,983,702,3825,1244,1026,1259
PA2967,3804,3128,15726,4618,4427,4731
PA2968,2678,2502,12455,3693,3849,3480
PA2969,1555,1350,6933,2366,2131,2022
PA2970,2366,2046,9385,2889,2729,2902
PA2971,7796,7343,36333,10815,9740,10187
PA2972,108,108,769,278,240,259
PA2973,1696,1445,7778,1534,1421,1440
PA2974,894,844,4433,1105,1177,1092
PA2975,1514,1613,8089,1448,1608,1367
PA2976,15758,15786,79176,9527,9345,8685
PA2977,917,906,4541,2158,2044,1832
PA2978,938,907,4446,1999,1950,1795
PA2979,2204,2142,10857,4047,4077,3659
PA2980,518,486,2438,650,729,662
PA2981,1572,1574,7710,2293,2184,1995
PA2982,830,788,3779,1385,1341,1403
PA2983,736,664,3227,769,806,860
PA2984,477,393,2375,579,484,455
PA2985,111,123,577,234,183,215
PA2986,1543,1501,7609,1256,1191,1145
PA2987,1110,982,4895,577,560,577
PA2988,1051,914,5024,836,729,862
PA2989,324,251,1604,526,543,464
PA2990,1364,1149,6373,1736,1670,1584
PA2991,4271,3659,19066,3273,3325,3325
PA2992,367,398,1828,145,112,123
PA2993,1675,1455,7616,640,585,591
PA2994,2420,2256,11027,993,1058,1066
PA2995,2026,1656,8518,832,738,837
PA2996,3328,2823,13852,1369,1398,1515
PA2997,3440,3228,16338,2482,2416,2512
PA2998,4639,4526,21907,4521,4493,4392
PA2999,6093,5157,27748,7857,7629,7613
PA3000,894,759,4227,1011,1029,977
PA3001,9719,8723,45051,10217,9671,9805
PA3002,6747,6407,32187,7050,7401,6788
PA3003,782,756,4018,1209,1089,1122
PA3004,1508,1185,6534,2820,2573,2578
PA3005,2920,2891,14828,4973,5236,4995
PA3006,2556,2140,10770,1140,1143,1226
PA3007,586,589,3023,1808,2044,1820
PA3008,583,503,2399,1767,1811,1667
PA3009,213,185,872,622,564,490
PA3010,676,551,2793,1384,1215,1194
PA3011,7109,5911,31162,9722,9743,9591
PA3012,316,288,1522,303,240,303
PA3013,11360,9302,49427,2731,2374,2622
PA3014,24320,20667,108706,5017,5244,5225
PA3015,315,285,1613,1426,1322,1316
PA3016,344,280,1426,1497,1392,1360
PA3017,600,568,2844,1241,1138,1056
PA3018,435,476,2327,1617,1659,1498
PA3019,1902,1995,9964,4268,4286,3971
PA3020,2792,2588,12616,2289,2061,2072
PA3021,554,546,2895,666,568,539
PA3022,1996,2619,11980,2079,1908,1559
PA3023,1007,1161,5615,976,1015,828
PA3024,1093,1192,5520,624,543,538
PA3025,1049,1116,5698,1025,992,832
PA3026,700,629,3716,1076,1111,954
PA3027,818,813,3585,2848,2498,2248
PA3028,2074,2166,11027,4064,3883,3398
PA3029,1321,1063,5898,1297,1263,1205
PA3030,130,100,629,238,195,203
PA3031,18,16,95,8,4,7
PA3031.1,98,47,358,73,88,61
PA3032,1945,1652,8953,475,390,362
PA3033,99,87,540,344,310,306
PA3034,155,144,763,445,418,388
PA3035,129,120,528,88,116,71
PA3036,211,216,1080,257,261,181
PA3037,208,194,1170,296,234,214
PA3038,3293,2944,14830,3524,3227,3150
PA3039,126,168,710,89,115,130
PA3040,2508,2588,12344,1570,1430,1344
PA3041,4094,4336,21673,2218,2095,2014
PA3042,1915,1867,9679,936,850,792
PA3043,1649,1552,7865,1289,1186,1159
PA3044,525,498,2500,915,837,828
PA3045,87,73,436,126,136,150
PA3046,320,249,1348,270,229,220
PA3047,909,815,4137,789,641,614
PA3048,1887,1999,9746,7381,7142,6826
PA3049,28742,22611,133410,8671,5681,7774
PA3050,1953,1927,9303,2394,2546,2286
PA3051,96,112,567,154,146,137
PA3052,939,924,4988,1350,1076,1085
PA3053,686,545,3117,527,547,423
PA3054,1432,1292,6648,892,969,941
PA3055,199,178,1061,438,495,456
PA3056,196,192,1094,544,522,477
PA3057,51,49,249,125,88,107
PA3058,185,268,1280,557,616,610
PA3059,244,232,1310,248,336,290
PA3060,155,175,887,220,187,156
PA3061,371,397,2018,470,484,411
PA3062,118,88,579,63,84,80
PA3063,685,854,4320,467,487,420
PA3064,517,531,2779,417,468,395
PA3065,285,368,1778,250,219,184
PA3066,655,585,2932,396,346,283
PA3067,339,348,1955,164,144,152
PA3068,15221,13568,69214,6608,6384,6195
PA3069,463,322,1880,407,296,349
PA3070,1927,1627,8758,2304,2160,2142
PA3071,923,985,4583,1103,957,837
PA3072,304,379,1613,186,201,133
PA3073,603,609,2726,278,388,258
PA3074,1103,1147,5028,550,584,403
PA3075,1235,1167,5486,487,491,459
PA3076,1337,1334,6764,782,629,554
PA3077,632,541,3126,317,322,330
PA3078,676,692,3521,439,408,415
PA3079,3589,3368,16914,1565,1668,1560
PA3080,1697,1578,8082,909,836,821
PA3081,1167,941,5436,599,623,575
PA3082,1058,1045,5219,933,882,912
PA3083,8425,7919,39581,5492,5051,5134
PA3084,1655,1576,8566,1921,1903,1672
PA3085,238,261,1304,417,453,421
PA3086,868,768,3976,751,776,745
PA3087,1285,1414,6455,1723,1777,1612
PA3088,1114,943,4790,1457,1541,1465
PA3089,554,628,3088,498,512,468
PA3090,569,586,2545,961,1044,889
PA3091,1615,1740,8520,1661,1674,1505
PA3092,887,907,4690,582,654,587
PA3093,975,1004,5042,1527,1433,1228
PA3094,75,65,370,36,35,32
PA3094.1,24,22,179,12,11,15
PA3094.2,8,6,58,10,8,8
PA3094.3,2213,2014,10348,1861,1816,1747
PA3095,525,553,2460,322,336,236
PA3096,1376,1516,6984,1196,1121,749
PA3097,621,685,3079,473,522,401
PA3098,1382,1458,6521,341,387,361
PA3099,810,821,4325,227,220,186
PA3100,1274,996,5458,314,410,289
PA3101,533,543,2616,253,266,245
PA3102,2190,2179,11243,1680,1710,1567
PA3103,3988,3786,19159,4542,4669,3928
PA3104,1195,998,5995,653,598,471
PA3105,4549,4081,20529,1181,1032,1024
PA3106,2692,2298,12075,1736,1643,1574
PA3107,7912,6749,36436,5202,4776,4615
PA3108,7171,6892,34684,6623,6251,5943
PA3109,716,729,3600,1291,1287,1238
PA3110,1113,1081,5526,2039,1681,1640
PA3111,5785,5366,26173,8778,8650,8567
PA3112,4921,4509,21965,6915,6875,7015
PA3113,3984,4033,20714,5657,5151,4656
PA3114,812,677,3563,592,497,514
PA3115,12972,12939,63448,20470,20163,17953
PA3116,572,593,2678,1626,1493,1641
PA3117,3442,2785,14564,5140,4761,4948
PA3118,1303,1163,6074,1143,1139,1162
PA3119,370,358,1802,622,681,661
PA3120,465,420,2236,913,829,837
PA3121,1146,1172,5800,1938,2020,2035
PA3122,994,1005,5093,1192,1170,1091
PA3123,469,451,2221,609,590,587
PA3124,785,855,3671,1205,1296,998
PA3125,572,595,3165,768,790,744
PA3126,4535,4271,22824,2099,1732,2109
PA3127,616,568,2940,1538,1422,1296
PA3128,878,813,3921,1817,1692,1470
PA3129,778,847,3652,2459,2370,2208
PA3130,213,204,1085,852,819,733
PA3131,651,579,3276,2393,2165,2273
PA3132,371,361,1972,777,733,585
PA3133,44,33,174,12,11,11
PA3133.1,68,49,313,12,14,19
PA3133.2,116,98,418,36,20,18
PA3133.3,53,49,225,14,13,24
PA3133.4,106,98,558,178,176,139
PA3134,2405,2639,12443,3739,3664,3244
PA3135,325,344,1586,418,336,376
PA3136,359,416,1816,357,331,322
PA3137,688,762,3660,1008,1000,1022
PA3138,3036,2602,13499,2730,2611,2575
PA3139,15,9,46,7,13,6
PA3139.1,6649,7179,35293,3134,2989,2441
PA3140,38,71,213,74,89,77
PA3141,2146,1780,9184,5030,4550,4486
PA3142,302,254,1335,336,276,281
PA3143,147,112,671,300,207,225
PA3144,19,12,96,59,43,41
PA3145,373,265,1519,247,242,286
PA3146,261,208,1197,195,149,177
PA3147,618,553,2726,435,371,448
PA3148,624,507,2702,255,168,237
PA3149,434,349,1789,114,90,132
PA3150,439,260,1833,164,159,140
PA3151,191,175,722,42,50,53
PA3152,102,54,303,20,20,23
PA3153,93,52,332,19,18,16
PA3154,460,279,1579,102,90,120
PA3155,2430,2013,10203,1063,1050,1145
PA3156,1264,916,4967,742,613,678
PA3157,934,676,3761,521,425,526
PA3158,2333,1725,9837,1415,1367,1430
PA3159,4880,3710,19289,7706,6565,7491
PA3160,226,135,975,885,728,812
PA3161,270,188,1127,453,443,423
PA3162,33063,27279,146637,22558,22517,23044
PA3163,1596,1441,7577,841,821,713
PA3164,7320,7103,34000,3067,2941,2782
PA3165,2226,1915,9553,1443,1207,1304
PA3166,2245,1750,9321,1839,1822,1909
PA3167,4768,4017,21440,5319,5210,5029
PA3168,15933,14426,73726,20079,19072,19028
PA3169,1122,997,4561,1115,1022,1023
PA3170,2723,2590,13298,5058,4841,4963
PA3171,1601,1348,7170,3211,2910,3031
PA3172,2054,1836,10111,3388,3090,3134
PA3173,1599,1297,7838,1430,1297,1172
PA3174,578,485,2664,542,631,552
PA3175,1052,1185,5607,794,761,688
PA3176,635,548,3189,843,786,727
PA3177,730,825,3795,1568,1633,1339
PA3178,321,335,1535,748,752,591
PA3179,1924,2000,9406,3915,3935,3846
PA3180,173,149,753,328,280,286
PA3181,3166,3154,15268,2703,2625,2522
PA3182,3792,3797,18783,4071,3891,3496
PA3183,2958,2732,13876,5057,4784,4423
PA3184,1106,1142,6127,2070,2038,1890
PA3185,1013,1185,5596,1346,1208,1131
PA3186,2336,2112,10886,356,300,329
PA3187,8618,8103,41880,980,757,796
PA3188,2808,2646,12663,448,434,391
PA3189,5128,4510,22005,805,772,798
PA3190,11466,10441,51683,1117,1127,1005
PA3191,1439,1373,6783,1041,1036,1016
PA3192,2190,2205,10731,2057,2060,1891
PA3193,4026,4184,19619,4299,4098,3673
PA3194,9490,8904,44989,7487,7822,7167
PA3195,7630,7158,36681,3432,3292,3152
PA3196,744,733,3235,1384,1320,1238
PA3197,775,755,3479,1524,1403,1291
PA3198,912,705,3687,654,572,608
PA3199,1515,1340,6753,977,932,876
PA3200,1357,1254,6361,976,1087,974
PA3201,1385,1167,5615,1472,1422,1530
PA3202,1156,1095,5671,1523,1373,1404
PA3203,1425,1522,7253,1803,1700,1595
PA3204,1723,1676,7987,1600,1542,1408
PA3205,175,134,709,267,240,235
PA3206,855,883,4305,1959,1865,1606
PA3207,1003,986,4991,1317,1312,1115
PA3208,1071,1009,5061,862,943,813
PA3209,117,78,405,102,155,139
PA3210,789,566,3011,463,437,457
PA3211,919,905,4321,1103,920,869
PA3212,845,1015,4373,660,525,439
PA3213,835,949,4373,813,783,772
PA3214,1552,1504,7814,1036,989,874
PA3215,1253,1297,6334,1936,1768,1771
PA3216,184,135,825,205,124,135
PA3217,1409,1267,6713,1578,1303,1380
PA3218,93,77,493,533,548,552
PA3219,162,120,674,452,412,345
PA3220,402,494,2152,809,686,567
PA3221,117,139,522,416,358,349
PA3222,506,485,2618,1058,937,1039
PA3223,88,71,513,327,258,292
PA3224,148,99,528,333,290,308
PA3225,1415,1491,7941,1686,1604,1522
PA3226,1585,1519,7426,968,1078,889
PA3227,1299,1138,5908,524,455,530
PA3228,2205,1987,10702,1267,1157,1227
PA3229,585,448,2424,436,397,500
PA3230,1437,1191,6475,1539,1446,1562
PA3231,802,736,4139,316,279,326
PA3232,401,436,2141,215,201,181
PA3233,1788,1771,8391,768,686,668
PA3234,3437,3221,16568,2625,2697,2486
PA3235,602,444,2220,630,640,666
PA3236,1035,931,4348,954,833,919
PA3237,151,115,630,120,91,67
PA3238,1483,1386,7166,602,544,573
PA3239,539,583,2634,400,357,325
PA3240,437,535,2551,760,704,671
PA3241,978,1090,5225,1618,1624,1433
PA3242,1255,1278,5559,1508,1480,1379
PA3243,1076,958,4780,1714,1687,1465
PA3244,2917,2783,13205,5149,4989,5228
PA3245,1341,1269,5997,1939,1886,2105
PA3246,634,632,2928,608,508,499
PA3247,3380,3837,18115,2500,2664,2386
PA3248,309,315,1673,705,622,577
PA3249,273,316,1662,719,729,659
PA3250,921,837,4035,401,402,404
PA3251,385,385,2016,345,252,270
PA3252,254,272,1395,337,335,288
PA3253,310,278,1295,400,374,398
PA3254,1042,1008,4564,913,1016,882
PA3255,1471,1409,6710,1478,1379,1442
PA3256,2668,2990,13167,2444,2302,2264
PA3257,7135,5798,31987,6306,5942,6287
PA3258,954,794,4075,2291,2490,2085
PA3259,505,456,2487,799,865,738
PA3259.1,800,739,3813,1310,1331,1066
PA3260,260,213,1207,618,615,541
PA3261,934,955,4906,2009,2030,1826
PA3262,4,4,34,3,5,4
PA3262.1,3,0,9,0,0,0
PA3262.2,1904,1634,8894,1303,1204,1168
PA3263,749,675,3736,1183,1155,977
PA3264,443,434,2495,1782,1719,1532
PA3265,102,101,502,311,233,260
PA3266,905,495,3195,662,615,622
PA3267,1060,1120,6168,2064,2077,1959
PA3268,508,447,2886,3043,2978,2778
PA3269,710,790,3622,3816,3534,3594
PA3270,991,1028,4653,3813,3735,3407
PA3271,2149,2022,10174,2001,1785,1727
PA3272,8899,9576,47294,4889,4565,4159
PA3273,533,684,2630,331,315,252
PA3274,180,140,789,124,106,122
PA3275,324,279,1457,177,167,172
PA3276,177,125,724,128,96,81
PA3277,262,199,1109,652,732,604
PA3278,85,59,247,146,130,159
PA3279,172,147,854,77,56,67
PA3280,1145,1067,5437,146,130,125
PA3281,107,91,524,89,68,63
PA3282,58,75,526,99,88,44
PA3283,170,145,821,221,182,170
PA3284,65,44,329,125,98,77
PA3285,596,529,3240,1007,1042,902
PA3286,5427,4716,23887,2162,2153,2124
PA3287,3754,3496,16196,383,413,366
PA3288,4244,4683,20813,319,341,316
PA3289,707,797,3968,235,236,170
PA3290,1059,1138,5472,1069,1158,962
PA3291,28,21,106,13,3,12
PA3292,78,83,308,34,20,29
PA3293,118,152,691,133,132,133
PA3294,76,84,434,88,79,87
PA3295,286,241,1297,265,191,213
PA3296,473,485,2328,162,124,119
PA3297,3825,4400,20087,6871,6709,6251
PA3298,40,85,298,44,45,37
PA3299,4234,3665,18781,1666,1706,1742
PA3300,1072,882,4495,1484,1294,1332
PA3301,1514,1591,7163,1543,1521,1269
PA3302,754,726,3412,595,502,499
PA3303,627,800,3462,851,858,667
PA3304,29,67,270,175,177,162
PA3304.1,393,412,2150,847,859,725
PA3305,39,26,144,242,193,233
PA3305.1,1224,1178,6032,4093,4025,3408
PA3306,297,249,1359,551,536,467
PA3307,109,93,462,135,102,142
PA3308,5593,5768,28141,6141,6107,5444
PA3309,3058,2966,15877,2141,1924,1385
PA3310,1851,1479,7930,2857,3269,3080
PA3311,941,818,4257,2209,2186,1984
PA3312,455,451,2171,970,1141,863
PA3313,849,828,3889,480,520,485
PA3314,878,909,4519,1215,1051,859
PA3315,418,464,2098,590,679,512
PA3316,354,454,1901,351,362,238
PA3317,536,547,2620,818,817,680
PA3318,103,142,515,225,224,156
PA3319,770,678,3611,663,651,533
PA3320,61,54,342,214,198,177
PA3321,540,534,2851,2209,2122,1928
PA3322,615,536,3089,1553,1712,1435
PA3323,248,248,1320,499,409,385
PA3324,777,765,3863,935,983,932
PA3325,444,516,2488,400,283,298
PA3326,2943,2862,15212,385,361,362
PA3327,21003,22038,105546,2204,2134,1970
PA3328,4568,4596,23354,323,317,281
PA3329,5668,5430,28059,428,373,315
PA3330,5759,5565,28946,310,269,291
PA3331,8259,7757,38543,377,383,359
PA3332,1335,1257,6310,71,77,68
PA3333,4979,5412,26054,208,198,186
PA3334,1068,883,4739,48,59,69
PA3335,1476,1467,7500,180,121,132
PA3336,3378,3456,16932,1009,995,749
PA3337,1926,1642,9518,1517,1492,1328
PA3338,56,71,362,91,116,120
PA3339,724,850,3994,1061,999,997
PA3340,2002,2091,10124,1899,1812,1571
PA3341,507,487,2533,329,297,264
PA3342,645,637,3368,356,344,400
PA3343,682,623,3197,1049,1137,1012
PA3344,7415,7375,36146,9269,9587,8407
PA3345,139,137,557,246,271,245
PA3346,2124,1968,9254,1521,1593,1483
PA3347,439,419,2019,402,396,449
PA3348,2607,2405,11918,2197,2098,2014
PA3349,5344,4333,21907,2871,2756,2889
PA3350,627,494,2146,522,601,533
PA3351,751,701,3761,898,955,901
PA3352,1354,1177,6054,1224,1231,1128
PA3353,1313,1351,6028,1415,1446,1386
PA3354,1464,1582,7316,1691,1572,1579
PA3355,1604,1456,7206,3704,3258,3370
PA3356,5408,5185,26651,9038,8554,8153
PA3357,2058,2329,10497,1971,1725,1486
PA3358,294,417,1847,597,610,474
PA3359,277,278,1465,464,499,431
PA3360,255,239,1346,384,367,324
PA3361,970,775,4100,96,67,76
PA3362,840,655,3599,107,104,117
PA3363,338,350,1783,186,199,137
PA3364,730,779,3653,745,682,585
PA3365,997,982,4579,1032,1183,1002
PA3366,18,13,111,22,30,38
PA3366.1,862,721,3603,1343,1328,1382
PA3367,59,43,309,115,98,163
PA3368.1,9,7,29,5,11,19
PA3368,176,157,739,172,179,214
PA3369,143,112,638,483,412,433
PA3370,149,133,560,484,438,385
PA3371,155,148,725,543,519,503
PA3372,615,628,2675,1855,1733,1479
PA3373,676,632,2838,774,752,617
PA3374,744,678,3289,415,413,399
PA3375,480,499,2309,155,159,162
PA3376,388,504,2223,133,140,117
PA3377,392,366,1911,78,101,78
PA3378,724,725,3411,170,139,154
PA3379,397,439,2162,133,99,111
PA3380,213,221,971,112,94,78
PA3381,175,184,1126,108,88,83
PA3382,641,590,3343,141,125,95
PA3383,1147,1041,4946,66,94,76
PA3384,372,471,2109,61,71,97
PA3385,321,277,1267,515,473,518
PA3386,198,221,948,507,435,454
PA3387,213,173,1070,506,505,450
PA3388,390,318,1306,638,653,623
PA3390,34,30,89,66,52,50
PA3389,45,48,191,192,169,202
PA3391,398,349,1546,324,301,310
PA3392,261,285,1450,295,291,295
PA3393,238,283,1368,192,195,167
PA3394,143,198,832,209,119,121
PA3395,100,113,496,208,156,141
PA3396,101,124,652,138,116,106
PA3397,1993,1788,9020,1019,970,979
PA3398,981,984,4903,1066,1138,986
PA3399,317,263,1330,222,231,234
PA3400,411,391,2067,501,448,502
PA3401,589,567,2824,805,714,719
PA3402,590,558,2978,604,673,636
PA3403,188,200,1097,146,181,151
PA3404,629,727,3482,2401,2428,1937
PA3405,265,332,1806,594,479,445
PA3406,304,428,1817,204,208,143
PA3407,1332,1016,5416,884,695,787
PA3408,555,695,3276,1126,1146,1038
PA3409,350,362,1668,548,503,442
PA3410,180,163,843,338,260,318
PA3411,23,50,195,60,44,47
PA3412,55,73,309,55,56,50
PA3413,121,93,591,187,164,158
PA3414,386,361,1985,566,419,315
PA3415,4465,4498,22959,1881,1784,1596
PA3416,5064,4654,23999,2208,2079,2047
PA3417,4403,5073,22549,2089,2226,2012
PA3418,3751,3971,18956,1780,1657,1527
PA3419,687,658,3615,674,577,568
PA3420,561,562,2677,673,637,526
PA3421,223,212,1194,148,120,118
PA3422,315,271,1448,287,242,239
PA3423,330,329,1435,392,386,297
PA3424,939,1025,5031,938,902,785
PA3425,315,322,1644,314,275,219
PA3426,768,727,3760,572,550,458
PA3427,346,320,1697,566,455,452
PA3428,79,79,376,62,80,59
PA3429,600,711,2975,544,494,441
PA3430,542,471,2756,477,510,495
PA3431,361,347,1789,378,347,289
PA3432,150,110,677,171,125,149
PA3433,558,633,2978,769,769,785
PA3434,0,0,0,0,0,0
PA3435,374,369,1817,660,553,481
PA3436,129,135,659,151,165,140
PA3437,591,595,3080,734,750,661
PA3438,587,492,2527,726,755,682
PA3439,605,487,2744,669,754,759
PA3440,351,377,1937,1127,941,970
PA3440.1,369,253,1401,592,520,599
PA3441,123,126,573,447,445,372
PA3442,276,264,1249,2103,2084,1773
PA3443,124,150,716,2639,2637,2528
PA3444,202,301,1312,5846,6252,5442
PA3445,209,185,1010,8138,7827,7375
PA3446,151,175,772,5795,6254,4961
PA3447,124,157,679,324,311,285
PA3448,100,139,671,444,402,370
PA3449,111,86,480,670,651,528
PA3450,263,196,1177,2827,2794,2968
PA3451,76,62,365,12,26,29
PA3452,1808,1666,8396,552,570,523
PA3453,163,216,1028,308,352,283
PA3454,490,423,2169,419,412,354
PA3455,2274,1917,10246,2063,1944,1819
PA3456,1481,1701,8310,1766,1700,1306
PA3457,580,763,3616,1011,954,783
PA3458,316,304,1541,784,679,693
PA3459,13567,13084,65260,4301,4098,4047
PA3460,17110,16041,80758,2904,2780,2522
PA3461,6306,6454,31506,1059,932,888
PA3462,1148,1113,5729,853,742,661
PA3463,156,117,641,130,133,129
PA3464,174,198,1154,338,334,278
PA3465,1824,1922,9060,2223,2338,1910
PA3466,1306,1185,6113,1599,1471,1381
PA3467,229,250,1326,340,281,258
PA3468,2039,1882,9020,2006,1929,1840
PA3469,1388,1478,6943,2726,2523,2291
PA3470,531,515,2389,1014,1055,872
PA3471,3799,3110,16108,5364,4918,4755
PA3472,1425,1315,6811,2015,2022,1778
PA3473,921,852,4001,4806,4383,3939
PA3474,514,431,2249,1740,1800,1687
PA3475,913,961,4814,767,857,871
PA3476,1423,1198,6464,422,406,433
PA3477,4048,3289,16965,508,542,585
PA3478,15089,13964,70658,1260,1200,1166
PA3479,22003,21493,108108,1106,1196,1138
PA3480,1544,1424,6599,1422,1567,1480
PA3481,2498,2298,11565,3049,2983,2794
PA3482,5862,5711,30500,5776,5402,4894
PA3483,1433,1591,7206,1445,1386,1140
PA3484,1015,1127,5846,506,491,595
PA3485,162,121,580,69,86,74
PA3486,109,115,761,153,134,157
PA3487,756,826,3857,469,447,454
PA3488,91,77,448,62,37,46
PA3489,166,194,870,305,310,301
PA3490,693,629,2753,608,608,531
PA3491,1966,1692,8583,1149,1056,837
PA3492,199,209,1140,253,234,197
PA3493,244,279,1245,213,208,188
PA3494,402,347,1804,230,221,189
PA3495,319,248,1541,124,118,123
PA3496,66,60,229,37,27,38
PA3497,345,325,1593,397,336,400
PA3498,467,446,2375,762,760,792
PA3499,182,154,787,102,109,115
PA3500,403,363,1813,189,178,174
PA3501,74,72,367,32,36,34
PA3502,171,134,657,52,72,63
PA3503,292,246,1184,168,103,138
PA3504,909,783,3979,535,480,390
PA3505,463,445,2071,342,308,263
PA3506,834,652,3781,392,412,390
PA3507,501,489,2155,201,223,197
PA3508,404,435,1976,234,255,261
PA3509,617,545,2772,313,291,256
PA3510,386,311,1743,149,198,179
