gene_id,Ctrl1,Ctrl2,Ctrl3,P5A1_25,P5A2_25,P5A3_25
PA1710,464,456,2268,171,115,109
PA1711,347,391,1900,93,90,74
PA1712,573,539,3142,171,137,133
PA1713,478,507,2535,317,304,282
PA1714,926,946,5121,901,850,743
PA1715,393,410,1717,422,419,381
PA1716,1257,1249,6058,1376,1390,1302
PA1717,383,428,2108,403,468,441
PA1718,30,40,197,26,20,19
PA1719,71,100,427,69,48,47
PA1720,123,128,616,71,62,51
PA1721,264,287,1674,101,120,100
PA1722,177,222,1108,75,79,90
PA1723,263,217,1033,147,128,127
PA1724,131,150,824,97,114,53
PA1725,105,133,771,165,137,131
PA1726,1569,1509,7494,1614,1633,1452
PA1727,1410,1433,6852,559,663,537
PA1728,702,584,2927,452,365,416
PA1729,1275,1213,5737,1078,1197,1090
PA1730,2121,1917,9740,1389,1444,1381
PA1731,1088,1112,5521,641,577,668
PA1732,1914,1695,8980,693,666,620
PA1733,1605,1545,7288,659,660,625
PA1734,429,414,2076,322,300,258
PA1735,378,280,1551,328,312,268
PA1736,3451,3221,16363,912,829,828
PA1737,6774,6197,32466,2692,2803,2545
PA1738,773,654,3621,1020,1065,996
PA1739,139,201,1019,332,346,359
PA1740,811,825,4192,1035,1097,1058
PA1741,460,357,2181,384,389,401
PA1742,546,481,2632,970,943,934
PA1743,47,51,220,145,161,157
PA1744,25,26,167,144,162,148
PA1745,209,183,1021,291,251,229
PA1746,1967,1757,9691,1775,1377,1488
PA1747,290,288,1548,363,365,405
PA1748,788,777,3974,1127,1058,1195
PA1749,743,466,2774,1142,960,1078
PA1750,2432,2132,10959,4926,4500,4589
PA1751,487,488,2785,813,758,720
PA1752,2170,1911,9399,2815,2541,2582
PA1753,933,670,3099,1408,1334,1438
PA1754,3019,2679,13289,2772,2752,2470
PA1755,241,191,1003,1027,966,1033
PA1756,232,154,1188,1463,1479,1549
PA1757,198,246,974,533,408,455
PA1758,589,661,2913,1088,966,918
PA1759,3634,3202,16261,5540,5546,5382
PA1760,4998,4326,23099,3869,3539,3514
PA1761,887,713,3654,419,418,419
PA1762,407,369,2166,315,320,264
PA1763,206,156,927,221,198,169
PA1764,278,221,1181,301,278,258
PA1765,264,210,1233,309,320,266
PA1766,1616,1539,8132,1237,1233,1241
PA1767,3374,2807,15216,1591,1447,1581
PA1768,1685,1475,7987,707,580,674
PA1769,1660,1384,7579,1488,1389,1409
PA1770,19428,17054,87755,23953,24178,24568
PA1771,574,490,2502,740,753,785
PA1772,1977,1714,9122,556,526,542
PA1773,922,880,4399,1683,1530,1561
PA1774,712,588,3168,939,761,867
PA1775,1911,1623,8281,2606,2472,2443
PA1776,2433,1513,8810,4588,4708,4695
PA1777,97421,76669,395211,36155,35878,38293
PA1778,220,254,1206,554,595,554
PA1779,447,571,2676,794,737,636
PA1780,51,62,307,47,51,38
PA1781,18,24,90,25,21,27
PA1781.1,252,230,1117,384,356,263
PA1782,232,264,1256,261,252,275
PA1783,215,193,956,246,222,207
PA1784,624,509,2733,246,190,230
PA1785,259,221,1172,322,281,291
PA1786,342,282,1487,504,464,471
PA1787,31867,28847,149449,12381,12042,11238
PA1788,593,599,3105,535,568,450
PA1789,3027,2415,12600,3082,3071,2930
PA1790,549,512,2765,877,1084,937
PA1791,317,303,1429,680,673,639
PA1792,1832,1601,8429,1862,1806,1838
PA1793,1145,772,4571,931,795,840
PA1794,5343,4462,23130,8208,7608,8042
PA1795,5732,5286,26609,11497,11520,11464
PA1796,15,16,101,30,11,22
PA1796.1,16,15,78,17,21,21
PA1796.2,19,24,113,33,28,23
PA1796.3,5,12,84,23,13,10
PA1796.4,776,585,3462,1459,1343,1230
PA1797,545,529,2779,1974,1953,1790
PA1798,450,406,2039,633,697,687
PA1799,147,168,774,208,251,281
PA1800,12431,10898,59097,16450,15092,15850
PA1801,7590,5604,29981,6368,6364,6409
PA1802,14648,11936,64000,15095,14631,15007
PA1803,10072,8904,45187,12279,11925,11542
PA1804,187,210,1046,506,465,430
PA1804.1,1496,1142,6156,2086,1820,1992
PA1805,4202,3893,19114,6294,6423,6123
PA1806,392,377,1827,205,145,158
PA1807,1122,954,5539,411,330,359
PA1808,509,467,2383,155,177,134
PA1809,604,643,2955,454,395,385
PA1810,1120,1126,5438,652,704,593
PA1811,331,389,1755,647,658,551
PA1812,2406,2228,11369,2160,2224,2191
PA1813,498,475,2518,429,327,371
PA1814,525,504,2397,933,833,889
PA1815,1064,918,4641,1901,1883,2060
PA1816,2469,2300,11244,3093,2986,2957
PA1817,551,551,2712,700,663,593
PA1818,3596,3135,15908,3015,2993,3187
PA1819,2101,1967,10053,2348,2408,2288
PA1820,643,654,3367,856,833,845
PA1821,3499,3167,17640,4578,4081,4200
PA1822,7538,7306,35849,8228,8629,7882
PA1823,2410,2504,12168,1653,1659,1426
PA1824,606,524,2710,832,792,767
PA1825,333,394,1852,617,525,494
PA1826,803,799,4235,1240,1374,1223
PA1827,126,138,739,522,400,431
PA1828,437,443,2317,387,394,379
PA1829,613,566,2564,519,521,554
PA1830,3029,2442,13127,557,513,589
PA1831,2106,1686,9203,622,619,642
PA1832,1722,1529,8214,3819,3704,3744
PA1833,4580,5008,22667,4604,4059,3551
PA1834,1329,1330,6337,2710,2601,2373
PA1835,256,206,1280,683,641,640
PA1836,154,182,716,594,541,630
PA1837,413,454,2269,3179,2982,2901
PA1838,1933,1721,8596,17164,14861,15378
PA1839,560,632,3159,2222,1824,1814
PA1840,221,196,1062,597,524,599
PA1841,775,673,3621,1656,1330,1344
PA1842,589,525,2721,783,608,603
PA1843,5845,5890,29170,3755,3946,3613
PA1844,113,102,706,242,183,215
PA1845,224,162,1023,317,332,314
PA1846,1319,1200,6340,853,767,755
PA1847,1351,1118,6142,1239,1077,1070
PA1848,372,431,1628,1113,1201,1116
PA1849,52,59,283,249,198,209
PA1850,397,400,2202,1156,1064,1007
PA1851,617,544,2730,1247,1212,1294
PA1852,1684,1302,6698,1771,1324,1674
PA1853,525,460,2307,1514,1541,1328
PA1854,423,408,1796,2264,2193,2038
PA1855,40,25,259,305,279,216
PA1856,262,210,994,1038,922,917
PA1857,505,579,2470,736,634,608
PA1858,381,471,2153,477,525,465
PA1859,527,498,2361,528,515,521
PA1860,1037,939,4789,829,773,713
PA1861,1332,1312,6260,2330,2084,1977
PA1862,427,347,2046,1578,1463,1392
PA1863,374,290,1697,1179,949,1060
PA1864,347,284,1471,311,291,239
PA1865,1754,1694,8243,2500,2446,2356
PA1866,2604,2070,11557,3281,3223,3000
PA1867,117,71,456,209,256,222
PA1868,496,466,2663,1770,1927,1608
PA1869,161,137,563,216,219,211
PA1870,453,426,2217,195,173,141
PA1871,28526,27522,135923,1814,1436,1447
PA1872,3347,3410,16235,1115,1016,967
PA1873,386,335,1834,185,183,162
PA1874,6953,8216,38314,3670,3220,2652
PA1875,453,548,2431,654,754,640
PA1876,1057,1218,5716,1155,1101,1101
PA1877,444,374,1909,767,744,800
PA1878,348,271,1381,453,428,401
PA1879,170,201,889,290,266,237
PA1880,3655,3507,17001,1455,1354,1209
PA1881,415,360,1905,209,179,174
PA1882,38,39,209,80,86,54
PA1883,71,62,412,152,147,123
PA1884,130,138,638,222,158,139
PA1885,87,78,414,148,146,112
PA1886,1397,1681,7291,1243,1154,1172
PA1887,226,224,1130,149,175,136
PA1888,390,372,2040,318,294,254
PA1889,644,491,2691,1111,959,879
PA1890,946,937,4276,1241,1231,1095
PA1891,300,255,1399,571,480,385
PA1892,453,357,1816,550,506,459
PA1893,3155,2842,14033,1395,1298,1067
PA1894,2642,2331,12179,142,174,189
PA1895,4087,3092,16102,479,442,462
PA1896,2383,2149,10633,324,309,356
PA1897,878,797,3755,134,130,103
PA1898,938,851,4624,97,88,118
PA1899,964,725,4117,5,15,21
PA1900,6321,5089,27906,122,82,110
PA1901,1564,1524,7605,27,18,15
PA1902,0,0,0,0,0,0
PA1903,0,0,0,0,0,0
PA1904,0,0,0,0,0,0
PA1905,0,0,0,0,0,0
PA1906,3616,3635,18461,308,226,225
PA1907,1527,1559,7956,480,397,306
PA1908,417,509,2555,256,278,206
PA1909,278,262,1426,261,189,207
PA1910,682,612,3032,732,688,653
PA1911,786,1015,4423,663,651,497
PA1912,254,271,1004,262,273,239
PA1913,264,197,1139,179,156,176
PA1914,178,192,939,130,85,110
PA1915,670,733,3557,794,761,636
PA1916,127,143,739,136,115,105
PA1917,23,41,189,46,40,26
PA1918,286,357,1273,256,278,301
PA1919,655,726,3791,779,816,587
PA1920,782,629,3194,1173,1283,1193
PA1921,264,368,1580,304,348,284
PA1922,168,268,1278,190,173,149
PA1923,676,819,3843,465,609,460
PA1924,51,67,318,60,64,45
PA1925,44,58,219,27,34,33
PA1926,2656,2276,11839,2458,2270,2150
PA1927,3105,2883,13128,2324,2096,2143
PA1928,395,396,1887,629,547,633
PA1929,115,105,527,205,169,192
PA1930,698,684,3452,929,803,867
PA1931,638,577,3004,805,735,692
PA1932,1794,1806,9479,3300,3012,2538
PA1933,7911,7632,37355,7115,6800,5483
PA1934,130,121,558,81,106,124
PA1935,92,94,457,137,114,154
PA1936,57,63,357,87,98,114
PA1937,15,11,112,37,42,20
PA1938,45,43,236,58,65,64
PA1939,1235,990,5315,853,704,819
PA1940,329,222,1495,389,315,341
PA1941,698,653,3599,604,587,543
PA1942,75,62,351,63,55,43
PA1943,744,737,3716,619,526,470
PA1944,1443,1286,6316,1268,1111,1266
PA1945,644,643,3114,778,728,667
PA1946,1515,1461,7847,4226,4252,4040
PA1947,5931,6313,29065,8938,8730,7024
PA1948,2189,2038,10225,2687,2579,2242
PA1949,3792,3795,18568,2962,3229,2880
PA1950,3402,3612,17679,2445,2474,2219
PA1951,1263,1198,6109,2080,1897,1885
PA1952,120,203,882,493,399,403
PA1953,126,99,512,286,283,253
PA1954,128,124,726,185,203,178
PA1955,54,56,304,84,55,55
PA1956,41,66,404,115,79,90
PA1957,222,287,1215,235,218,187
PA1958,151,131,638,136,106,97
PA1959,320,279,1526,795,639,736
PA1960,242,313,1212,460,480,431
PA1961,490,472,2372,891,827,811
PA1962,106,126,598,175,180,189
PA1963,101,97,454,175,169,147
PA1964,3013,2998,14799,2797,2696,2624
PA1965,79,94,481,210,194,221
PA1966,111,136,676,200,228,193
