"locus","SCV24_1","SCV24_2","REVa_1","REVa_2","REVb_1","REVb_2","SCV104357_1","SCV104357_2"
"PA14_03163",0,2,1,1,2,0,0,0
"PA14_03166",0,0,0,0,0,0,0,1
"PA14_03170",1,0,1,0,0,1,223,254
"PA14_03180",1,0,0,0,0,0,81,76
"PA14_03190",151,121,267,296,305,50,290,375
"PA14_03200",401,327,459,448,410,75,246,238
"PA14_03210",68,48,54,40,50,14,33,40
"PA14_03220",216,169,185,198,202,21,102,120
"PA14_03240,hcpC",24,33,53,69,48,12,33,29
"PA14_03250",0,0,0,1,0,0,1,1
"PA14_03265",0,0,0,0,0,0,0,1
"PA14_03270",0,0,0,0,0,0,4,3
"PA14_03285",0,0,0,0,0,0,0,0
"PA14_03290",385,464,803,812,741,153,102,120
"PA14_03300",160,184,299,334,319,48,44,52
"PA14_03310",0,0,0,0,0,0,0,0
"PA14_03320",0,0,0,0,0,0,0,1
"PA14_03330",0,0,0,0,0,1,0,0
"PA14_03340",0,0,0,0,0,0,0,1
"PA14_03350",0,0,0,0,0,0,1,3
"PA14_03360",0,0,0,0,0,0,0,0
"PA14_03370",0,0,0,0,0,0,0,3
"PA14_03380",0,0,0,0,0,0,0,0
"PA14_03390",0,0,0,0,0,0,0,0
"PA14_03400",0,0,0,0,0,0,0,0
"PA14_03410",21,20,23,28,13,2,130,208
"PA14_03420",13,8,21,18,17,1,13,15
"PA14_03430,gabD",767,694,2253,1417,1332,280,3825,4274
"PA14_03450,gabT",933,696,2727,2832,3174,500,5472,6089
"PA14_03470",14,36,66,40,56,10,62,77
"PA14_03480",11,1,22,12,15,3,15,33
"PA14_03490",35,22,109,103,155,17,116,123
"PA14_03510",25,27,124,99,145,28,107,126
"PA14_03520",32,17,88,81,123,13,75,86
"PA14_03530",4,6,5,2,3,2,11,12
"PA14_03550,cynX",1,3,4,9,5,0,2,4
"PA14_03560",21,29,30,28,25,3,9,9
"PA14_03580",37,27,90,46,71,9,69,123
"PA14_03590",5,4,6,6,15,5,47,43
"PA14_03610,ycaL",51,14,8,12,13,4,15,22
"PA14_03620",8,2,11,13,11,2,7,1
"PA14_03630",14,14,27,19,16,1,25,35
"PA14_03650,cysA",150,8,123,264,45,32,135,146
"PA14_03670,cysW",204,17,145,301,73,49,103,119
"PA14_03680,cysT",110,28,76,111,25,36,61,69
"PA14_03700,sbp",650,143,410,421,53,71,148,153
"PA14_03710",499,167,310,310,54,44,87,72
"PA14_03720",164,268,254,271,232,53,126,151
"PA14_03730",769,1452,1417,1005,949,241,1178,1398
"PA14_03760",5,8,20,11,16,2,14,14
"PA14_03770,speB1",9,7,26,24,19,3,17,25
"PA14_03780",49,46,136,82,84,19,138,158
"PA14_03790",255,420,315,241,297,54,375,337
"PA14_03800,oprE",1578,1168,3809,3925,4100,752,748,707
"PA14_03810,aguA",176,139,497,321,289,54,356,362
"PA14_03830,aguB",98,138,305,204,202,38,102,145
"PA14_03840,aguR",17,25,43,29,26,5,72,86
"PA14_03855",30,53,194,55,66,9,335,454
"PA14_03860",919,882,3134,1552,1572,281,4623,8016
"PA14_03870,spuA",605,761,2225,1583,913,288,1258,1574
"PA14_03880,spuB",1672,1774,6070,5251,4142,1135,3568,4066
"PA14_03900,spuC",1998,1751,7732,9295,8118,1747,4134,5248
"PA14_03920,spuD",3688,2989,13365,13234,15220,2685,4604,5633
"PA14_03930,spuE",516,676,2190,2250,2866,414,1001,1024
"PA14_03940,spuF",598,653,2663,2231,2215,434,1072,1187
"PA14_03950,spuG",391,391,1461,1650,1471,234,1052,967
"PA14_03960,spuH",221,231,829,1058,1025,117,595,786
