gene_id,EV_1(GSM5097993),EV_2(GSM5097994),EV_3(GSM5097995),PA2577_1,PA2577_2,PA2577_3
D3C65_01370,1046,782,983,1002,1024,1007
D3C65_01375,284,202,252,214,189,234
D3C65_01380,945,766,986,947,946,895
D3C65_01385,87,67,84,94,93,80
D3C65_01390,37,70,108,80,57,74
D3C65_01395,15,9,8,12,20,12
D3C65_01400,2886,2300,4068,5076,4547,3093
D3C65_01405,30,25,19,16,21,23
D3C65_01410,3791,3192,6049,8680,7307,4582
D3C65_01415,3,0,2,8,4,5
D3C65_01420,1189,1018,1174,1044,1089,1086
D3C65_01425,248,235,265,300,308,267
D3C65_01430,189,146,151,200,204,220
D3C65_01435,144,81,114,114,123,112
D3C65_01440,99,92,96,80,74,95
D3C65_01445,264,211,218,276,228,244
D3C65_01450,34,25,25,28,36,42
D3C65_01455,68,82,81,71,91,80
D3C65_01460,312,321,363,409,407,399
D3C65_01465,81,78,92,65,65,80
D3C65_01470,2446,1673,2351,3190,2994,2737
D3C65_01475,101,72,90,100,89,92
D3C65_01480,138,108,127,72,110,109
D3C65_01485,1058,816,870,661,724,695
D3C65_01490,426,314,340,292,269,281
D3C65_01495,380,328,332,330,271,271
D3C65_01500,695,754,684,512,534,491
D3C65_01505,210,204,150,174,170,124
D3C65_01510,1911,1591,1685,1859,1897,1906
D3C65_01515,5401,4647,5339,5279,5231,5683
D3C65_01520,49,54,65,39,62,49
D3C65_01525,71,53,65,57,66,59
D3C65_01530,276,220,267,293,295,284
D3C65_01535,254,191,176,216,212,249
D3C65_01540,15440,12994,14505,13345,13686,13864
D3C65_01545,2021,1690,2002,2422,2501,2482
D3C65_01550,939,737,837,1331,1260,1228
D3C65_01555,315,266,332,323,339,408
D3C65_01560,2018,1581,2293,2146,2374,2394
D3C65_01565,4012,3305,3977,4650,4296,3791
D3C65_01570,361,442,605,551,568,559
D3C65_01575,1835,1502,1733,2066,1958,1906
D3C65_01580,3701,2850,3299,3839,3770,3422
D3C65_01585,5727,4556,4636,5450,5357,5337
D3C65_01590,2754,2222,2417,2523,2532,2597
D3C65_01595,1953,1504,1602,1864,1941,1941
D3C65_01600,1571,1228,1172,1487,1558,1492
D3C65_01605,1577,1290,1306,1343,1530,1552
D3C65_01610,744,637,764,766,834,846
D3C65_01615,15,15,11,10,4,14
D3C65_01620,226,189,168,206,194,180
D3C65_01625,1101,888,1202,1306,1299,1459
D3C65_01630,426,344,435,366,400,411
D3C65_01635,651,607,562,533,607,629
D3C65_01640,1105,934,999,1237,1238,1247
D3C65_01645,1088,1267,1407,1244,1185,1201
D3C65_01650,33,29,43,30,37,33
D3C65_01655,502,450,526,459,436,521
D3C65_01660,416,358,401,433,426,413
D3C65_01665,1012,774,956,1048,1076,1041
D3C65_01670,1247,1023,1148,1215,1219,1195
D3C65_01675,10116,8139,9261,10658,10439,9796
D3C65_01680,5761,4945,5946,5975,5893,5960
D3C65_01685,1467,1172,1350,1313,1332,1290
D3C65_01690,1448,1205,1313,1533,1472,1462
D3C65_01695,202,228,243,230,224,246
D3C65_01700,38,33,34,34,38,49
D3C65_01705,50,43,67,57,59,89
D3C65_01710,43,37,60,54,40,44
D3C65_01715,11,10,15,10,17,12
D3C65_01720,15,15,17,28,19,19
D3C65_01725,53,44,77,50,56,59
D3C65_01730,72,87,70,96,61,67
D3C65_01735,176,190,234,197,245,256
D3C65_01740,1003,830,860,1086,1192,1252
D3C65_01745,1146,1014,1259,1336,1404,1474
D3C65_01750,2217,1827,2021,2119,2192,2184
D3C65_01755,4126,3366,3682,3621,3896,3973
D3C65_01760,481,453,440,416,470,514
D3C65_01765,868,681,687,740,768,790
D3C65_01770,325,247,255,292,262,295
D3C65_01775,308,304,303,299,286,307
D3C65_01780,938,825,956,993,1017,1030
D3C65_01785,2959,2687,3190,3188,2983,3137
D3C65_01790,6720,5153,6005,5805,5874,5946
D3C65_01795,801,721,840,819,848,801
D3C65_01800,389,310,392,400,417,439
D3C65_01805,615,530,574,585,557,551
D3C65_01810,1382,1161,1185,1103,1127,1242
D3C65_01815,3395,2712,2978,3378,3224,3317
D3C65_01820,280,243,299,242,276,301
D3C65_01825,442,355,418,449,506,487
D3C65_01830,439,379,408,383,421,490
D3C65_01835,214,158,162,166,176,179
D3C65_01840,47,38,42,78,52,66
D3C65_01845,109,96,93,104,122,111
D3C65_01850,38,30,24,40,42,37
D3C65_01855,671,578,613,553,523,657
D3C65_01860,475,439,457,529,509,524
D3C65_01865,1794,1594,1689,1666,1730,1789
D3C65_01870,4649,3932,4855,5515,5360,5296
D3C65_01875,2512,2214,2692,2757,2718,2778
D3C65_01880,88,78,88,98,123,133
D3C65_01885,1542,1352,1446,1250,1396,1393
D3C65_01890,1569,1312,1494,1651,1618,1633
D3C65_01895,520,413,471,482,498,505
D3C65_01900,1606,1880,2574,2301,1954,2116
D3C65_01905,1064,997,1232,1049,1123,1195
D3C65_01910,1076,931,1095,1296,1172,1293
D3C65_01915,1101,992,1130,1002,1008,1017
D3C65_01920,2044,1664,1742,1911,1780,1871
D3C65_01925,339,232,246,302,309,316
D3C65_01930,130,105,108,125,103,128
D3C65_01935,379,386,454,406,448,397
D3C65_01940,464,384,357,381,384,400
D3C65_01945,279,242,315,315,253,282
D3C65_01950,530,443,448,450,475,534
D3C65_01955,413,306,313,371,353,373
D3C65_01960,656,442,565,557,577,597
D3C65_01965,1745,1365,1568,1860,1780,1844
D3C65_01970,1866,1555,1854,2149,2090,2106
D3C65_01975,5626,4660,5463,5950,6009,5946
D3C65_01980,2363,1826,2144,2502,2387,2322
D3C65_01985,2862,2362,2617,2397,2543,2481
D3C65_01990,8181,7112,7890,8535,8412,8432
D3C65_01995,364,278,248,283,303,284
D3C65_02000,552,437,421,379,414,391
D3C65_02005,455,389,473,390,415,393
D3C65_02010,646,589,655,871,785,753
D3C65_02015,3068,2460,2788,3366,3116,2958
D3C65_02020,1913,1609,1372,1418,1440,1520
D3C65_02025,321,311,281,375,329,342
D3C65_02030,99,107,137,123,126,132
D3C65_02035,249,256,245,284,224,281
D3C65_02040,665,535,540,702,691,634
D3C65_02045,2663,2019,2023,2226,2309,2301
D3C65_02050,1662,1348,1623,1884,1738,1681
D3C65_02055,1776,1380,1597,1898,1675,1696
D3C65_02060,3182,2562,2903,3426,3162,3118
D3C65_02065,1561,1385,1699,1924,1807,1812
D3C65_02070,379,267,323,409,357,372
D3C65_02075,1726,1313,1411,1757,1618,1565
D3C65_02080,2244,1687,2080,2391,2383,2298
D3C65_02085,1626,1329,1691,1823,1685,1740
D3C65_02090,2207,2044,2290,2381,2366,2282
D3C65_02095,1929,1840,2909,2477,2609,2555
D3C65_02100,163,153,186,150,174,198
D3C65_02105,386,342,347,287,307,317
D3C65_02110,2573,2000,2274,2088,2239,2241
D3C65_02115,2530,1751,2111,2153,2342,2248
D3C65_02120,3044,2393,3001,2968,3094,3157
D3C65_02125,2799,2219,2891,2446,2617,2782
D3C65_02130,1057,971,1293,1107,1211,1393
D3C65_02135,296,223,256,294,312,323
D3C65_02140,1243,1018,1310,1463,1460,1467
D3C65_02145,340,288,323,338,340,360
D3C65_02150,1466,1138,1296,1506,1463,1405
D3C65_02155,6114,6785,8433,7041,6943,6910
D3C65_02160,4061,3648,4761,4253,4407,4155
D3C65_02165,2421,1974,2731,2238,2459,2350
D3C65_02170,12672,10812,13169,11859,11969,12183
D3C65_02175,1548,1412,1536,1480,1434,1505
D3C65_02180,13678,11154,12220,12077,12595,12644
D3C65_02185,1110,907,914,960,920,941
D3C65_02190,610,479,538,558,535,543
D3C65_02195,321,249,277,273,331,301
D3C65_02200,217,166,169,154,181,203
D3C65_02205,921,803,905,924,1000,968
D3C65_02210,816,703,712,679,716,729
D3C65_02215,1864,1489,1623,1794,1838,1785
D3C65_02220,5,12,9,5,13,10
D3C65_02225,3033,2341,2446,3075,2924,2961
D3C65_02230,782,783,883,1080,957,1005
D3C65_02235,8070,6481,6675,7447,7196,6894
D3C65_02240,359,390,425,392,402,363
D3C65_02245,4917,4050,5030,4661,4775,4643
D3C65_02250,11253,9524,10628,9730,10798,9998
D3C65_02255,6632,5208,6233,6474,6392,6107
D3C65_02260,12744,9869,11669,13397,13302,12520
D3C65_02265,4590,4244,4907,4956,4844,4882
D3C65_02270,2356,1825,2063,2330,2439,2192
D3C65_02275,1593,1332,1515,1929,1717,1525
D3C65_02280,13137,11100,14144,14694,14278,13508
D3C65_02285,73,80,79,84,91,78
D3C65_02290,45,37,56,46,35,47
D3C65_02295,40,39,41,32,24,39
D3C65_02300,1148,1044,1349,1208,1170,1279
D3C65_02305,1182,866,925,1115,1064,1060
D3C65_02310,505,401,406,570,501,559
D3C65_02315,17,17,12,7,7,15
D3C65_02320,16,16,17,19,20,20
D3C65_02325,21,9,25,30,33,36
D3C65_02330,73,75,136,140,142,141
D3C65_02335,18,9,10,19,16,9
D3C65_02340,4,7,10,5,6,0
D3C65_02345,56,63,72,79,71,81
D3C65_02350,61,69,68,76,86,63
D3C65_02355,274,230,217,206,207,208
D3C65_02360,158,124,136,133,142,146
D3C65_02365,310,270,311,346,382,323
D3C65_02370,2389,2130,2354,2120,2229,2104
D3C65_02375,2131,1590,1865,2299,2053,1854
D3C65_02380,76,73,83,96,68,86
D3C65_02385,148,100,165,170,159,162
D3C65_02390,52,62,76,49,55,46
D3C65_02395,142,127,168,155,153,182
D3C65_02400,709,571,673,724,662,770
D3C65_02405,1659,1254,1625,1663,1684,1867
D3C65_02410,67269,57211,61850,50886,56205,65049
D3C65_02415,286,285,290,269,279,298
D3C65_02420,93,63,81,61,83,73
D3C65_02425,527,457,556,576,555,554
D3C65_02430,1662,1576,2628,1978,2493,2764
D3C65_02435,859,719,843,816,986,1041
D3C65_02440,1359,1078,1222,1265,1180,1301
D3C65_02445,526,502,523,628,712,775
D3C65_02450,544,411,404,516,547,545
D3C65_02455,565,431,425,541,537,504
D3C65_02460,90,76,85,96,90,111
D3C65_02465,7,7,12,10,7,3
D3C65_02470,9,7,6,5,5,12
D3C65_02475,341,265,284,347,358,351
D3C65_02480,457,397,446,377,433,447
D3C65_02485,779,675,774,712,829,807
D3C65_02490,110,122,143,165,151,140
D3C65_02495,113,101,86,85,90,96
D3C65_02500,131,114,124,130,116,125
D3C65_02505,628,417,501,572,557,585
D3C65_02510,14,13,26,24,22,23
D3C65_02515,135,130,112,122,116,143
D3C65_02520,112,105,134,147,134,137
D3C65_02525,183,162,166,179,196,191
D3C65_02530,184,184,192,188,168,202
D3C65_02535,113,103,129,120,146,153
D3C65_02540,37,40,44,45,46,32
D3C65_02545,209,185,188,141,170,170
D3C65_02550,4379,3486,4183,5533,5483,5394
D3C65_02555,86,83,82,88,94,128
D3C65_02560,115,114,176,146,153,173
D3C65_02565,1347,1219,1505,1290,1404,1530
D3C65_02570,554,501,609,608,622,707
D3C65_02575,373,299,387,347,384,386
D3C65_02580,55,59,69,56,75,65
D3C65_02585,73,53,51,106,99,102
D3C65_02590,96,104,81,89,115,123
D3C65_02595,225,228,226,292,279,260
D3C65_02600,1836,1598,1560,1825,2099,2331
D3C65_02605,600,511,353,362,479,511
D3C65_02610,1957,1512,1249,1341,1788,2039
D3C65_02615,1389,1059,885,1126,1228,1452
D3C65_02620,1165,873,683,745,901,1022
D3C65_02625,153,137,149,137,130,122
D3C65_02630,131,115,136,140,104,111
D3C65_02635,36,35,37,34,33,29
D3C65_02640,5188,4167,4879,4965,4837,4626
D3C65_02645,1670,1263,1433,1497,1502,1561
D3C65_02650,998,708,802,987,928,911
D3C65_02655,614,497,480,567,609,564
D3C65_02660,366,282,317,300,381,361
D3C65_02665,410,390,435,454,449,573
D3C65_02670,1433,1491,1643,1912,2078,2202
D3C65_02675,106,87,82,91,101,86
D3C65_02680,8,12,12,13,15,16
D3C65_02685,622,528,579,632,715,657
D3C65_02690,260,270,490,255,273,280
D3C65_02695,136,183,285,133,178,189
D3C65_02700,226,235,433,262,287,259
D3C65_02705,142,153,227,113,159,147
D3C65_02710,107,107,178,105,123,151
D3C65_02715,167,150,248,180,224,255
D3C65_02720,195,212,367,271,314,275
D3C65_02725,977,1096,1701,1151,1380,1345
D3C65_02730,260,276,474,301,380,380
D3C65_02735,630,764,1112,606,699,752
D3C65_02740,9027,9973,17971,10671,12610,12428
D3C65_02745,303,355,549,305,377,354
D3C65_02750,44,56,92,48,57,63
D3C65_02755,7,10,16,8,8,11
D3C65_02760,503,1104,2475,780,1169,1082
D3C65_02765,1001,1808,3547,1099,1634,1532
D3C65_02770,308,636,1136,379,525,541
D3C65_02775,920,1041,1429,778,1189,1252
D3C65_02780,4128,3554,4879,4906,5565,5466
D3C65_02785,129,98,117,126,134,154
D3C65_02790,695,812,1184,942,1098,1287
D3C65_02795,145,85,120,144,168,162
D3C65_02800,469,361,531,430,512,546
D3C65_02805,146,141,194,152,159,190
D3C65_02810,37,34,29,56,38,34
D3C65_02815,541,468,569,558,572,582
D3C65_02820,9,9,9,4,4,10
D3C65_02825,353,343,340,336,373,363
D3C65_02830,226,182,194,149,213,182
D3C65_02835,1481,1079,1225,1280,1429,1336
D3C65_02840,1983,1607,1913,1887,1919,2019
D3C65_02845,642,559,611,730,681,621
D3C65_02850,90,117,132,116,110,138
D3C65_02855,64,59,65,58,75,57
D3C65_02860,1108,871,925,988,956,940
D3C65_02865,2160,1747,2354,2163,2349,2469
D3C65_02870,151,133,125,148,160,155
D3C65_02875,325,266,302,397,367,344
D3C65_02880,1422,1337,1452,1136,1409,1539
D3C65_02885,11322,8750,10066,10824,10312,9530
D3C65_02890,2317,1878,2169,1918,1909,1847
D3C65_02895,13175,10522,12344,13302,13108,12859
D3C65_02900,1621,1202,1373,1343,1315,1313
D3C65_02905,92,85,78,99,89,84
D3C65_02910,2020,1573,1901,2278,2024,2029
D3C65_02915,5686,4151,4779,4877,5116,4960
D3C65_02920,617,543,479,516,515,528
D3C65_02925,1487,1219,1303,1539,1463,1454
D3C65_02930,11747,9009,9677,12093,11412,11387
D3C65_02935,672,469,509,592,582,514
D3C65_02940,32,26,34,33,30,43
D3C65_02945,272,224,280,282,329,320
D3C65_02950,683,565,546,729,702,688
D3C65_02955,331,325,432,310,355,390
D3C65_02960,599,593,732,496,520,580
D3C65_02965,535,455,531,660,572,569
D3C65_02970,4764,3644,4615,4540,4613,4392
D3C65_02975,230,188,187,247,236,251
D3C65_02980,84,79,96,106,82,87
D3C65_02985,330,279,334,300,299,344
D3C65_02990,98,104,95,109,129,142
D3C65_02995,348,231,288,242,267,302
D3C65_03000,271,211,234,247,266,235
D3C65_03005,120,112,122,166,140,145
D3C65_03010,367,309,369,406,403,366
D3C65_03015,1109,925,1159,1205,1018,1127
D3C65_03020,43,37,45,43,44,38
D3C65_03025,696,655,683,761,653,678
D3C65_03030,155,175,195,231,149,190
D3C65_03035,56,91,112,58,60,75
D3C65_03040,191,178,233,227,218,236
D3C65_03045,35984,30988,35905,33515,34204,33415
D3C65_03050,5986,4852,5793,6707,6383,5695
D3C65_03055,4076,3438,3840,3938,3701,3629
D3C65_03060,19816,17989,17511,14872,15960,17076
D3C65_03065,2595,2252,2407,2326,2205,2360
D3C65_03070,347,374,417,421,424,528
D3C65_03075,556,501,488,363,433,391
D3C65_03080,638,492,592,448,564,512
D3C65_03085,616,497,643,631,651,711
D3C65_03090,30,39,37,60,49,44
D3C65_03095,238,203,239,244,207,226
D3C65_03100,269,246,304,277,291,329
D3C65_03105,1531,1432,2261,1673,1939,2066
D3C65_03110,411,323,372,395,325,378
D3C65_03115,1377,1135,1251,1264,1327,1312
D3C65_03120,873,798,863,787,912,838
D3C65_03125,1620,1423,1460,1510,1484,1422
D3C65_03130,1087,810,836,1034,912,969
D3C65_03135,6076,4971,5051,5189,5332,5203
D3C65_03140,23231,19572,20838,23441,21699,21649
D3C65_03145,2226,1877,2282,2359,2617,2572
D3C65_03150,782,646,689,485,645,702
D3C65_03155,730,609,646,563,620,618
D3C65_03160,340,279,360,352,364,391
