"gene_id","Ag1","Ag2","Ag3","AgTe1","AgTe2","AgTe3","C1","C2","C3","Te1","Te2","Te3"
"A4W92_RS16595",21291,20936,10270,18973,18441,28718,30568,27720,22848,21137,25711,26584
"A4W92_RS16600",25927,25216,14123,23117,22166,39979,38837,32951,26994,24677,32960,30115
"A4W92_RS16605",6554,6980,4310,7702,6239,10536,9473,8212,7071,6777,9045,8632
"A4W92_RS16610",16338,14356,9001,9764,11460,17960,13819,16664,13774,13635,12829,16427
"A4W92_RS16615",15938,13689,9389,9485,11431,18911,14260,15496,12867,13564,12104,15448
"A4W92_RS16620",12708,10212,7086,12302,11353,19169,11068,12029,9810,11272,11990,14622
"A4W92_RS16625",43372,33956,22674,30480,32837,52382,36894,39728,33365,35685,34285,43500
"A4W92_RS16630",4031.908,3168.456,2697.794,1625.522,2424.39,3712.443,3043.099,3527.05,2965.026,3367.468,2520.922,3669.161
"A4W92_RS16640",15406,9971,8865,4413,8494,10050,11432,12945,10724,10540,7442,12438
"A4W92_RS32405",19099,12025,10160,7362,11530,14379,11877,13508,11751,11796,8945,15610
"A4W92_RS16655",272,139,122,163,153,225,135,148,133,157,162,193
"A4W92_RS16660",2232,2058,1318,1948,1765,3140,1806,1985,1583,1669,1665,2242
"A4W92_RS16665",1342,1031,695,1357,1157,2264,1181,1190,1035,1038,1127,1488
"A4W92_RS16670",939,760,635,564,493,864,649,915,786,833,777,1014
"A4W92_RS16675",10800,9272,5429,7036,7144,13150,10736,11129,9896,8771,9584,10052
"A4W92_RS16680",6246,5399,3094,6175,5591,10167,6912,6957,6056,5213,5987,6645
"A4W92_RS16685",862,710,470,613,644,1097,693,753,651,667,663,742
"A4W92_RS16690",6041,4985,3380,4546,4590,7772,4933,5248,4262,4714,5060,6328
"A4W92_RS16695",979,783,535,766,811,1306,915,888,739,747,834,971
"A4W92_RS16700",392,441,231,379,361,594,551,455,396,380,490,448
"A4W92_RS16705",334,288,255,218,200,350,283,307,221,261,283,326
"A4W92_RS16710",601,584,403,544,443,805,420,551,410,477,500,597
"A4W92_RS16715",2203,2142,1334,1248,1297,2213,1789,2300,1765,1656,1564,2068
"A4W92_RS16720",1847,1656,911,1026,1238,2016,1767,1992,1667,1404,1562,1651
"A4W92_RS16725",1918,1502,945,1277,1396,2481,1984,1968,1690,1331,1438,1647
"A4W92_RS16730",8312,7212,4709,14398,10816,21360,7712,7985,6907,8081,9161,11580
"A4W92_RS16735",5237,5164,3408,4644,4171,7854,4720,5505,4676,5057,5291,6001
"A4W92_RS16740",48,65,46,26,36,58,53,66,56,59,50,75
"A4W92_RS16745",992,962,618,950,819,1559,886,1018,851,891,1054,1076
"A4W92_RS16750",1634,1040,988,809,822,1471,714,1070,865,1055,878,1317
"A4W92_RS16755",4500,4349,2380,2777,3844,6984,4281,5078,4083,4482,3880,4988
"A4W92_RS16760",1586,1674,718,905,1334,2209,1206,1782,1406,1510,1361,1756
"A4W92_RS16765",2354,1851,1413,1674,1670,2833,1555,1858,1621,1684,1618,2325
"A4W92_RS16770",568,367,365,233,283,468,430,534,456,397,393,498
"A4W92_RS16775",168,161,124,81,80,134,150,173,147,144,145,145
"A4W92_RS16780",75,92,64,49,55,74,59,70,64,88,55,75
"A4W92_RS16785",79,49,44,72,71,140,36,77,57,73,62,74
"A4W92_RS16790",173,143,126,127,130,228,147,165,146,149,136,177
"A4W92_RS16795",820,586,391,555,576,1057,455,660,537,568,512,696
"A4W92_RS16800",430,378,289,386,311,481,203,315,256,361,385,475
"A4W92_RS16805",77,56,44,60,38,101,49,69,57,61,47,56
"A4W92_RS16810",171,126,103,121,118,171,157,150,145,117,130,148
"A4W92_RS16815",2916,1575,1515,928,1031,1853,1141,1304,1211,1150,1158,1466
"A4W92_RS16820",5824,2786,2657,1785,1800,3357,1772,2090,1913,1695,1762,2455
"A4W92_RS16825",459,363,256,981,707,1432,358,410,347,501,527,684
"A4W92_RS16830",522,540,326,445,402,721,281,440,315,418,374,539
"A4W92_RS16835",2984,2753,2133,3159,2887,5251,1758,2045,1643,2064,2290,2921
"A4W92_RS16840",638.781,636.235,393.355,382.965,422.569,662.378,718.957,687.387,528.34,531.557,615.41,667.886
"A4W92_RS16845",2458.092,1794.093,1328.694,1846.827,1927.825,2753.572,2091.308,2111.826,1882.72,1872.742,1707.172,2535.788
"A4W92_RS32410",682,561,387,501,565,731,574,538,469,541,458,711
"A4W92_RS16850",358.132,308.299,205.188,366.064,390.331,501.109,340.053,306.766,301.409,294.842,338.639,418.16
"A4W92_RS33435",176,156,113,213,174,147,163,149,138,154,127,244
"A4W92_RS33155",25,28,18,22,20,12,14,23,14,27,15,27
"A4W92_RS32420",182.868,127.701,76.812,112.936,125.669,181.891,151.947,139.234,111.591,153.158,116.361,178.84
"A4W92_RS16860",489,410,342,358,298,581,317,434,330,413,428,494
"A4W92_RS16865",706,450,360,269,308,532,419,521,441,381,343,535
"A4W92_RS16870",8661,5746,6464,2906,2671,5789,3869,4846,4425,5699,3886,5448
"A4W92_RS16875",958,1013,528,609,663,1242,1094,1119,947,816,848,978
"A4W92_RS16880",424,480,217,265,305,522,449,471,424,346,332,469
"A4W92_RS16885",620,703,356,321,442,762,700,737,569,547,593,695
"A4W92_RS16890",61,65,59,46,47,71,43,76,51,53,44,68
"A4W92_RS16895",62,49,27,31,23,74,33,40,38,37,30,43
"A4W92_RS16900",152,96,107,49,39,77,110,124,97,79,114,106
"A4W92_RS33440",123,125,88,50,57,93,130,132,108,106,97,128
