"gene_id","PA1","PA2","BSS_32","BSS","E1","E2","BE1","BE2"
"PA3240",267,212,629,96,123,92,152,112
"PA3241",969,635,980,296,778,570,1073,734
"PA3242",152,94,225,42,519,383,701,442
"PA3243",431,394,484,127,616,435,719,477
"PA3244",4291,4154,4953,1044,4920,3529,6572,4068
"PA3245",3412,3661,3823,476,1009,692,1366,801
"PA3246",125,128,153,39,789,576,1015,644
"PA3247",629,487,1091,199,753,514,689,432
"PA3248",551,527,797,106,110,87,141,77
"PA3249",86,45,90,12,94,62,80,67
"PA3250",1009,818,1477,273,436,299,396,276
"PA3251",63,59,134,28,76,41,67,59
"PA3252",47,29,67,9,19,6,7,7
"PA3253",22,17,43,12,17,7,20,19
"PA3254",119,75,161,51,55,56,61,58
"PA3255",550,440,651,97,94,72,113,102
"PA3256",1333,942,1634,385,461,318,450,375
"PA3257",8615,8074,14198,3322,3331,2444,4594,2976
"PA3258",34,52,111,15,65,40,99,68
"PA3259",592,462,958,151,906,622,974,604
"PA3260",982,890,847,225,1836,1320,1904,1580
"PA3261",181,115,244,40,171,141,262,163
"PA3262",6124,5664,4424,866,27151,19409,24444,16519
"PA3262.1",19,6,18,3,345,166,444,284
"PA3262.2",7,3,9,11,44,26,70,61
"PA3263",1383,1191,1635,292,832,609,1105,754
"PA3264",177,135,221,41,473,315,527,401
"PA3265",45,44,65,13,654,473,645,424
"PA3266",4252,5140,6913,488,3151,2170,4751,2839
"PA3267",1290,1108,1555,269,1613,1232,1728,1222
"PA3268",455,388,377,50,773,578,1305,920
"PA3269",211,160,273,61,638,507,844,595
"PA3270",579,427,878,173,1046,841,1393,967
"PA3271",805,626,1889,432,275,172,301,227
"PA3272",1086,757,1805,333,535,356,511,418
"PA3273",234,230,282,38,351,241,370,267
"PA3274",49,44,259,47,23,19,27,24
"PA3275",61,28,40,9,125,70,154,85
"PA3276",89,72,75,38,1238,917,1460,1028
"PA3277",602,481,701,102,352,282,186,133
"PA3278",959,973,879,317,794,624,279,261
"PA3279",57,52,90,13,31,27,51,27
"PA3280",63,59,105,27,329,231,308,169
"PA3281",106,58,125,20,91,48,92,62
"PA3282",37,12,34,12,73,42,52,46
"PA3283",81,84,90,12,242,189,287,184
"PA3284",93,97,132,25,362,217,259,214
"PA3285",398,324,505,94,795,518,744,529
"PA3286",1321,1154,1258,223,1596,1319,2028,1175
"PA3287",37,23,91,13,33,27,66,46
"PA3288",69,51,101,24,158,97,156,142
"PA3289",90,65,205,42,23,13,22,24
"PA3290",2049,2097,2793,621,1947,1370,2499,1813
"PA3291",364,437,483,185,265,181,311,199
"PA3292",168,172,219,52,177,139,253,167
"PA3293",32,24,66,17,12,9,15,7
"PA3294",425,309,533,121,241,150,281,199
"PA3295",599,510,775,297,260,224,334,239
"PA3296",34,37,103,23,44,25,61,53
"PA3297",1825,1491,2768,437,1423,1111,1812,1336
"PA3298",18,8,14,2,18,6,23,11
"PA3299",6826,6347,9112,1270,1516,1212,2206,1453
"PA3300",1687,1604,1601,231,984,654,1208,763
"PA3301",302,228,407,116,337,212,393,259
"PA3302",2505,2270,3648,564,272,190,348,212
"PA3303",41,35,66,20,93,64,101,89
"PA3304",166,172,431,77,281,203,288,242
"PA3304.1",33,25,46,7,60,40,56,29
"PA3305",304,225,493,103,1478,1076,1171,891
"PA3305.1",7796,5445,7501,11051,15653,12551,6371,3963
"PA3306",295,258,483,143,754,524,1092,726
"PA3307",244,170,308,127,275,301,647,451
"PA3308",1756,1694,1536,284,3822,2680,4029,2746
"PA3309",36136,32821,41668,8898,2289,1750,675,461
"PA3310",427,346,6267,1443,372,271,9880,6580
"PA3311",214,195,489,122,95,73,93,67
"PA3312",125,85,175,41,135,72,118,105
"PA3313",2102,1829,2254,557,649,468,1019,595
"PA3314",139,88,148,47,61,52,101,82
"PA3315",45,26,62,18,22,14,28,22
"PA3316",69,50,99,25,18,16,28,21
"PA3317",412,355,504,90,283,227,458,354
"PA3318",60,38,124,28,84,59,96,80
"PA3319",80,58,135,27,504,335,532,372
"PA3320",73,60,89,14,1003,768,1497,901
"PA3321",111,91,177,33,80,68,137,76
"PA3322",90,87,147,27,544,361,590,457
"PA3323",44,34,77,23,108,91,128,88
"PA3324",137,114,228,41,46,32,56,39
"PA3325",120,91,154,35,98,75,138,70
"PA3326",33235,32817,42022,6090,1297,930,1556,1028
"PA3327",10208,7466,14766,3464,151,105,151,97
"PA3328",1907,1364,3196,599,17,12,16,14
"PA3329",1419,1163,2514,853,5,5,13,8
"PA3330",1977,1218,2990,679,5,1,7,4
"PA3331",5941,4551,8777,2081,25,13,21,12
"PA3332",1179,947,2010,482,0,2,2,3
"PA3333",2226,1353,2567,708,8,7,3,9
"PA3334",3203,3040,3800,1543,18,14,25,22
"PA3335",3925,3658,4490,690,29,17,26,40
"PA3336",1627,1055,2011,327,39,27,54,44
"PA3337",2458,1663,2264,649,410,278,230,161
"PA3338",49,37,79,25,213,147,238,145
"PA3339",307,292,433,89,402,336,569,419
"PA3340",290,228,566,132,1283,983,1618,1245
"PA3341",525,496,530,153,1099,713,2050,1337
"PA3342",722,716,1218,253,758,508,748,551
"PA3343",597,441,788,155,913,620,952,649
"PA3344",969,701,1239,266,2806,2056,3412,2258
"PA3345",275,272,450,70,616,466,830,537
"PA3346",920,657,1308,259,2780,1896,2974,2243
"PA3347",255,213,464,104,860,568,1098,709
"PA3348",5435,4790,8133,1039,3516,2388,3876,2917
"PA3349",23222,22977,30633,3975,10353,7200,13763,9952
"PA3350",225,195,299,95,971,667,1125,737
"PA3351",4462,3658,6135,1491,6825,4631,7501,5816
"PA3352",1311,1095,1954,364,3930,2762,5397,3569
"PA3353",975,814,1907,302,3661,2633,4623,3044
"PA3354",391,301,604,95,151,110,150,113
"PA3355",443,333,585,114,370,303,469,339
"PA3356",2774,2099,2570,405,380,257,476,368
"PA3357",253,184,319,96,424,299,478,326
"PA3358",58,33,97,22,89,63,71,61
"PA3359",14,17,60,18,80,48,88,52
"PA3360",27,33,68,14,85,70,151,125
"PA3361",510,511,652,135,177,115,197,116
"PA3362",513,385,526,79,123,65,102,92
"PA3363",710,612,777,143,301,229,315,239
"PA3364",563,448,664,130,234,160,298,182
"PA3365",738,609,838,178,561,458,650,482
"PA3366",3693,3086,4945,975,1483,1169,2076,1317
"PA3366.1",22,8,24,0,564,426,636,408
"PA3367",161,200,213,41,82,46,127,74
"PA3368.1",1,8,14,1,38,15,50,29
"PA3368",80,59,101,19,77,69,119,75
"PA3369",149,202,226,54,279,198,384,227
"PA3370",66,54,102,26,135,108,215,121
"PA3371",30,19,43,8,18,14,28,16
"PA3372",55,46,101,20,109,63,117,78
"PA3373",142,84,160,21,134,109,191,119
"PA3374",71,56,106,29,37,33,36,28
"PA3375",19,22,33,8,10,2,5,9
"PA3376",26,21,51,7,4,6,12,5
"PA3377",39,31,55,10,24,18,26,21
"PA3378",33,32,72,6,13,9,13,10
"PA3379",10,13,47,6,2,1,2,3
"PA3380",7,8,19,2,3,0,0,0
"PA3381",19,18,27,4,14,12,20,7
"PA3382",34,23,44,8,27,15,26,30
"PA3383",51,50,79,18,43,33,54,51
"PA3384",31,33,63,16,33,26,60,41
"PA3385",3767,3695,8026,1753,4378,3717,7832,4598
"PA3386",41,44,113,50,1024,754,1165,868
"PA3387",49,40,89,18,841,599,932,646
"PA3388",42,23,35,8,373,241,321,251
"PA3390",8,8,18,2,56,37,157,97
"PA3389",19,18,26,9,356,259,358,227
"PA3391",1200,964,1145,373,169,111,98,77
"PA3392",1591,1449,2725,608,85,46,74,53
"PA3393",152,132,346,68,36,32,39,28
"PA3394",34,33,48,13,11,5,6,5
"PA3395",18,23,40,5,4,5,2,0
"PA3396",20,15,30,3,1,2,0,0
"PA3397",4222,4001,4846,834,3057,2355,18674,13121
"PA3398",238,193,276,62,387,228,390,279
"PA3399",249,212,346,115,82,80,120,96
"PA3400",130,111,226,53,77,59,87,51
"PA3401",218,156,254,53,134,98,120,70
"PA3402",195,133,249,49,369,304,382,240
"PA3403",27,34,52,13,352,337,270,153
"PA3404",41,40,83,12,6,8,18,9
"PA3405",62,49,105,10,15,11,28,15
"PA3406",46,51,102,12,8,10,8,4
"PA3407",46,35,62,13,11,18,19,18
"PA3408",90,112,203,25,240,145,272,179
"PA3409",75,53,96,21,182,146,212,135
"PA3410",39,32,40,7,402,273,496,334
"PA3411",5,8,4,4,46,30,55,33
"PA3412",28,33,35,11,13,19,30,22
"PA3413",1047,998,1136,130,2307,1956,2808,1926
"PA3414",140,121,174,16,224,176,244,147
"PA3415",71,59,164,41,21,15,24,11
"PA3416",228,141,439,101,36,22,55,29
"PA3417",115,79,257,76,16,13,40,19
"PA3418",346,250,677,247,35,24,58,47
"PA3419",174,124,209,56,100,87,145,92
"PA3420",89,120,173,27,68,65,98,70
"PA3421",68,65,126,33,88,67,140,81
"PA3422",55,70,112,22,124,86,152,107
"PA3423",94,84,189,20,106,83,124,94
"PA3424",86,55,127,30,30,14,33,15
"PA3425",48,45,118,17,2,3,8,4
"PA3426",470,319,599,117,74,52,107,88
"PA3427",424,316,604,62,160,123,258,156
"PA3428",21,12,29,4,21,8,12,19
"PA3429",78,55,131,18,25,13,36,21
"PA3430",225,238,524,88,268,165,545,347
"PA3431",353,283,1013,177,234,181,530,427
"PA3432",111,71,292,125,252,225,651,500
"PA3433",95,96,150,19,78,64,116,59
"PA3434",269,207,332,45,366,224,408,296
"PA3435",762,625,760,199,751,589,1005,755
"PA3436",22,21,32,2,20,17,27,20
"PA3437",75,98,206,82,98,63,147,107
"PA3438",280,252,564,115,135,93,168,136
"PA3439",647,617,1338,235,103,81,147,104
"PA3440",778,715,1062,228,545,405,1023,549
"PA3441",18,36,30,26,826,565,1240,893
"PA3442",53,35,60,10,518,338,751,434
"PA3443",55,32,62,10,1305,909,1809,1356
"PA3444",55,28,72,7,1733,1281,3024,2035
"PA3445",88,83,82,22,7575,5564,12100,8393
"PA3446",199,162,138,28,8222,6120,14267,9360
"PA3447",28,31,65,15,377,260,464,387
"PA3448",36,20,51,6,76,65,129,115
"PA3449",22,29,56,6,408,316,675,415
"PA3450",886,730,604,152,5457,4184,10411,7361
"PA3451",40,27,119,56,32,28,37,32
"PA3452",764,726,1124,185,2657,1812,3212,2039
"PA3453",467,352,512,111,282,203,308,227
"PA3454",274,233,453,50,282,211,304,214
"PA3455",2738,2440,4239,891,853,641,1258,759
"PA3456",244,183,412,72,159,122,248,165
"PA3457",81,50,107,25,158,99,177,139
"PA3458",2865,2972,2404,363,230,192,219,162
"PA3459",262,229,1241,351,817,646,1464,973
"PA3460",333,248,1219,280,297,205,430,269
"PA3461",161,166,668,149,72,60,100,68
"PA3462",194,189,380,73,89,65,119,78
"PA3463",32,23,48,36,232,174,338,242
"PA3464",172,148,248,64,404,264,500,333
"PA3465",1146,764,1560,366,376,323,203,151
"PA3466",891,732,1069,230,1401,1053,2104,1352
"PA3467",45,38,79,5,61,55,66,52
"PA3468",735,599,915,192,338,253,393,323
