"gene_id","WT1","WT2","WT3","flavodoxin1","flavodoxin2","flavodoxin3"
"CF003_RS12115",976,999,745,170,220,211
"CF003_RS12120",1146,1168,1030,200,261,242
"CF003_RS12125",1638,1640,1365,309,371,319
"CF003_RS12130",122,183,111,29,37,38
"CF003_RS12135",67,82,46,22,25,27
"CF003_RS12140",2911,1771,3431,7351,6012,3746
"CF003_RS12145",0,0,0,0,1,1
"CF003_RS12150",37,30,28,25,30,32
"CF003_RS12155",102,86,98,118,122,135
"CF003_RS12160",274,227,218,257,280,309
"CF003_RS12180",61,50,64,121,102,84
"CF003_RS12185",398,332,395,244,281,241
"CF003_RS12190",618,719,484,398,465,526
"CF003_RS12195",520,591,514,491,515,519
"CF003_RS12200",961,1110,1235,860,901,720
"CF003_RS12205",935,1021,968,787,857,689
"CF003_RS12210",1005,935,873,749,786,578
"CF003_RS12215",763,893,588,599,631,424
"CF003_RS12220",80,84,70,28,25,36
"CF003_RS12225",193,224,132,192,169,184
"CF003_RS12230",193,220,164,139,127,129
"CF003_RS12235",293,366,275,172,163,166
"CF003_RS12240",13,18,19,7,7,9
"CF003_RS12245",297,312,463,111,110,155
"CF003_RS12250",542,494,676,221,198,355
"CF003_RS12255",489,485,334,157,167,201
"CF003_RS12260",54,52,42,33,41,40
"CF003_RS12265",1159,835,1125,634,661,675
"CF003_RS12270",637,496,407,258,278,265
"CF003_RS12275",582,428,556,244,243,270
"CF003_RS12280",403,354,300,255,249,236
"CF003_RS12285",289,190,158,28,35,24
"CF003_RS12290",54,52,46,27,47,24
"CF003_RS12295",27,28,24,19,29,20
"CF003_RS12300",25,19,17,16,24,13
"CF003_RS12305",41,33,32,49,59,38
"CF003_RS12310",175,137,111,73,95,83
"CF003_RS12315",194,153,124,72,103,80
"CF003_RS12320",52,34,44,13,24,35
"CF003_RS12325",377,346,299,340,310,334
"CF003_RS12330",139,126,85,48,49,56
"CF003_RS12335",45,33,44,19,22,26
"CF003_RS12340",131,87,81,62,67,78
"CF003_RS12345",515,436,506,263,265,328
"CF003_RS12350",58,60,63,91,87,100
"CF003_RS12355",149,86,233,175,162,153
"CF003_RS12365",308,242,191,313,381,482
"CF003_RS12370",173,129,144,121,140,142
"CF003_RS12375",274,194,286,279,321,201
"CF003_RS12380",150,150,106,134,139,104
"CF003_RS12385",185,149,185,177,176,187
"CF003_RS12390",120,92,105,114,119,129
"CF003_RS12395",120,62,67,88,108,73
"CF003_RS12400",225,266,280,668,575,720
"CF003_RS12405",4,4,4,4,4,4
"CF003_RS12410",58,53,43,51,55,57
"CF003_RS12415",2,2,3,1,1,2
"CF003_RS12425",516,425,420,457,434,302
"CF003_RS12430",233,218,234,219,229,202
"CF003_RS12435",295,269,274,272,289,307
"CF003_RS12440",156,151,182,179,202,214
"CF003_RS12445",197,229,172,205,230,249
"CF003_RS12450",682,784,589,705,699,731
"CF003_RS12455",423,419,350,342,339,364
"CF003_RS12460",301,299,287,172,195,215
"CF003_RS12465",313,285,219,216,271,212
"CF003_RS12470",124,106,96,66,60,65
"CF003_RS12475",142,94,94,70,79,79
"CF003_RS12480",140,87,107,65,73,84
"CF003_RS12485",190,177,177,205,197,219
"CF003_RS12490",197,200,177,194,171,195
"CF003_RS12500",35,51,51,13,15,19
"CF003_RS12505",853,993,1162,488,517,738
"CF003_RS12510",687,744,412,398,430,532
"CF003_RS12515",696,711,612,425,444,506
"CF003_RS12520",512,508,429,429,359,410
"CF003_RS12525",74,67,63,67,72,91
"CF003_RS12530",91,96,91,35,34,48
"CF003_RS12535",28,32,57,8,12,20
"CF003_RS12540",167,172,137,134,135,138
"CF003_RS12545",77,78,83,77,78,87
"CF003_RS12550",781,745,1291,359,331,463
"CF003_RS12555",760,423,878,843,735,606
"CF003_RS12560",2647,2064,2579,1745,1692,1520
"CF003_RS12565",1751,1953,2054,1037,930,914
"CF003_RS12570",9640,11815,9938,6693,5686,7900
"CF003_RS12575",475,807,544,315,267,327
"CF003_RS12580",2141,3500,2252,1112,1235,1491
"CF003_RS12585",4849,6251,4739,2093,2178,2909
"CF003_RS12590",2988,6471,6002,1926,2092,2233
"CF003_RS12595",2041,3279,2329,1569,1607,1775
"CF003_RS12600",2990,5736,4396,3241,3323,3329
"CF003_RS12605",2012,2258,1724,1767,2075,2110
"CF003_RS12610",866,1118,1057,1462,1576,1115
"CF003_RS12615",1700,1844,1936,1881,2189,1210
"CF003_RS12620",105,106,113,83,88,61
"CF003_RS12625",75,66,81,24,30,26
"CF003_RS12630",250,231,234,154,142,137
"CF003_RS12635",255,244,230,91,98,84
"CF003_RS12640",350,311,430,198,226,215
"CF003_RS12645",421,323,476,175,200,225
"CF003_RS12650",1557,1641,1857,559,520,450
"CF003_RS12655",1694,2268,2055,551,563,572
"CF003_RS12665",157,187,205,460,516,341
"CF003_RS12670",181,164,189,752,612,532
"CF003_RS12675",105,106,140,278,269,299
"CF003_RS12680",296,332,335,1015,821,960
"CF003_RS12685",197,187,189,106,128,124
"CF003_RS12690",201,134,133,136,153,126
"CF003_RS12695",337,290,348,211,249,203
"CF003_RS12700",536,558,632,617,601,483
"CF003_RS12705",530,476,590,383,383,429
"CF003_RS12710",928,967,1319,648,642,592
"CF003_RS12715",945,885,1040,633,651,443
"CF003_RS12720",1373,1016,1671,374,310,356
"CF003_RS12725",185,217,142,29,130,98
"CF003_RS12740",118,84,154,67,73,68
"CF003_RS12745",162,134,116,58,68,53
"CF003_RS12750",27,20,26,15,12,11
"CF003_RS12755",103,63,89,66,70,71
"CF003_RS12760",410,393,397,188,192,285
"CF003_RS12765",507,504,454,303,308,268
"CF003_RS12770",90,183,65,76,217,116
"CF003_RS12775",49,122,35,22,97,58
"CF003_RS12780",93,210,75,30,104,68
"CF003_RS12785",183,217,162,97,96,124
"CF003_RS12790",153,204,170,130,114,167
"CF003_RS12795",41,43,43,44,46,67
"CF003_RS12800",56,47,71,106,110,69
"CF003_RS12805",94,59,81,121,129,122
"CF003_RS12810",117,84,76,126,132,144
"CF003_RS12820",698,536,606,155,168,241
"CF003_RS12825",686,562,384,277,266,304
"CF003_RS12830",1113,977,841,400,403,412
"CF003_RS12835",318,312,250,134,148,147
"CF003_RS12840",172,181,177,89,90,98
"CF003_RS12845",661,867,694,222,211,246
"CF003_RS12850",2615,3052,2670,1373,1204,1338
"CF003_RS12855",266,362,348,81,81,114
"CF003_RS12860",184,252,190,52,48,73
"CF003_RS12865",702,945,662,796,684,861
"CF003_RS12870",222,216,176,165,150,133
"CF003_RS12875",27,35,48,39,43,50
"CF003_RS12880",37,37,49,39,51,82
"CF003_RS12885",8,9,8,12,7,10
"CF003_RS12890",323,183,460,887,814,426
"CF003_RS12900",131,123,147,314,304,167
"CF003_RS12905",416,509,356,458,449,490
"CF003_RS12910",257,247,218,146,168,190
"CF003_RS12915",270,239,201,169,184,223
"CF003_RS12920",448,371,399,282,279,308
"CF003_RS12925",371,293,250,249,285,273
"CF003_RS12930",443,340,391,431,414,424
"CF003_RS12935",654,477,628,508,575,419
"CF003_RS12940",1638,1183,1144,1005,1239,760
"CF003_RS12945",161,153,123,67,72,92
"CF003_RS12950",358,305,254,157,181,172
"CF003_RS12955",12,19,14,19,20,23
"CF003_RS12960",26,30,24,23,27,33
"CF003_RS12965",70,63,42,50,54,65
"CF003_RS12970",93,86,65,34,38,43
"CF003_RS12975",83,77,59,32,30,45
"CF003_RS12980",15,15,16,7,6,13
"CF003_RS12985",568,629,562,614,567,608
"CF003_RS12990",176,184,168,83,92,132
"CF003_RS12995",68,60,71,47,42,59
"CF003_RS13000",189,182,218,178,179,202
"CF003_RS13005",770,642,1070,773,717,661
"CF003_RS13010",161,127,155,107,98,81
"CF003_RS13015",160,149,178,77,85,89
"CF003_RS13020",200,152,157,125,147,108
"CF003_RS13025",156,146,127,91,91,97
"CF003_RS13030",192,240,148,198,273,285
"CF003_RS13035",448,558,414,748,991,801
"CF003_RS13050",66,100,85,30,30,63
"CF003_RS13055",98,125,71,65,70,65
"CF003_RS13060",40,42,37,16,18,27
"CF003_RS13065",56,59,50,63,63,50
"CF003_RS13070",181,189,158,83,85,115
"CF003_RS13075",79,110,78,40,57,74
"CF003_RS13080",70,83,99,113,97,107
"CF003_RS13085",103,149,108,106,121,124
"CF003_RS13090",88,110,94,83,93,71
"CF003_RS13095",1906,2732,2197,3107,3343,3198
"CF003_RS13100",37,29,25,20,23,21
"CF003_RS13105",57,55,42,19,29,29
"CF003_RS13110",99,81,90,62,68,64
"CF003_RS13115",106,106,82,58,67,59
"CF003_RS13120",84,60,68,57,63,45
