gene_id,Mut  - 77-KO_GGACCC_L001_R1_001 (paired) (GE) - Total gene reads,Mut  - 77-KO-2_GGATGT_L001_R1_001 (paired) (GE) - Total gene reads,Mut  - 77-KO-3_GTGTTA_L001_R1_001 (paired) (GE) - Total gene reads,Mut  - 77-KO-4_GTGGCC_L001_R1_001 (paired) (GE) - Total gene reads,Mut + DP - 77-KO+DP_TTCAGC_L001_R1_001 (paired) (GE) - Total gene reads,Mut + DP - 77-KO+DP-2_TTCGCT_L001_R1_001 (paired)-1 (GE) - Total gene reads,Mut + DP - 77-KO+DP-3_TGTGAA_L001_R1_001 (paired) (GE) - Total gene reads,Mut + DP - 77+DP-KO-4_TGTTGC_L001_R1_001 (paired) (GE) - Total gene reads,Wt + DP - 77+DP_CCTTCA_L001_R1_001 (paired) (GE) - Total gene reads,Wt + DP - 77+DP-2_CCTCGG_L001_R1_001 (paired) (GE) - Total gene reads,Wt + DP - 77+DP-3_CACACA_L001_R1_001 (paired) (GE) - Total gene reads,Wt + DP - 77+DP-4_CACCTC_L001_R1_001 (paired) (GE) - Total gene reads,Wt - 77-2_AAGACG_L001_R1_001 (paired) (GE) - Total gene reads,Wt - 77_AAGGGA_L001_R1_001 (paired) (GE) - Total gene reads,Wt - 77-3_ACACGA_L001_R1_001 (paired) (GE) - Total gene reads,Wt - 77-4_ACAAAC_L001_R1_001 (paired) (GE) - Total gene reads
PGN_RS10380,131,63,197,82,122,60,145,57,88,35,65,57,80,59,83,95
PGN_RS10415,506,627,591,530,203,433,1050,687,653,873,2464,2033,1165,457,2205,2400
PGN_RS10420,24,8,21,11,9,6,15,17,13,10,13,16,46,18,27,35
PGN_RS10425,0,54,61,122,42,78,53,42,30,52,190,58,76,29,387,64
PGN_RS10440,850,920,450,813,764,635,436,771,571,392,782,743,543,530,976,730
PGN_RS10455,69,128,64,86,127,159,53,45,56,50,61,37,125,68,211,82
PGN_RS10470,75,66,38,45,42,29,26,29,50,31,57,87,58,37,57,37
PGN_RS10490,10,3,17,6,4,2,19,6,5,1,10,6,13,5,10,18
PGN_RS10520,1022,1033,567,916,810,521,477,491,745,394,393,581,551,728,945,862
PGN_RS10545,474,472,299,235,500,395,364,367,908,746,808,763,735,637,761,874
PGN_RS10555,62,85,109,157,38,54,78,167,46,65,142,215,105,48,210,199
PGN_RS10570,77,72,79,63,116,71,32,47,38,26,38,38,29,43,108,30
PGN_RS10600,61,24,64,14,84,30,58,15,59,21,18,14,12,16,10,18
PGN_RS10620,199,196,98,120,163,166,101,136,143,183,158,125,383,138,283,187
PGN_RS10625,199,202,128,180,161,89,97,114,165,95,112,88,183,206,298,278
PGN_RS10665,374,378,282,223,221,179,282,470,261,147,426,579,123,224,457,225
PGN_RS10680,24,10,36,5,9,5,17,7,1,11,29,1,39,10,29,8
PGN_RS10690,191,227,156,198,217,168,154,134,150,103,115,66,172,234,233,176
PGN_RS10740,24,22,29,25,16,5,39,10,14,21,32,19,39,14,26,15
PGN_RS10760,12,5,10,5,17,11,8,7,8,12,12,15,25,6,9,41
PGN_RS10785,9,17,25,11,9,3,24,16,1,7,44,14,27,11,37,9
PGN_RS10795,2532,1889,693,973,1909,1229,570,1472,2463,1098,829,1536,1222,2113,1386,1321
PGN_RS10810,3,3,6,4,1,1,6,4,7,0,3,0,5,0,4,9
PGN_RS10830,2410,2262,1452,1929,1747,1298,1955,1529,3010,1614,2228,3325,2890,4090,2479,5070
PGN_RS10845,0,0,1,1,1,0,1,2,5,5,0,1,5,2,1,2
PGN_RS10850,210,218,323,231,179,165,195,111,147,106,182,97,189,174,374,336
PGN_RS10865,52,46,102,65,25,54,127,40,24,21,115,43,45,19,118,62
PGN_RS10870,939,845,443,787,722,679,455,776,531,383,838,763,577,541,970,702
PGN_RS10885,54,47,39,0,49,56,63,42,25,42,0,53,75,29,14,67
PGN_RS10895,13,23,59,10,25,15,53,11,16,8,50,12,24,2,41,7
PGN_RS10900,30,33,23,19,5,8,36,17,22,36,40,31,31,17,31,46
PGN_RS10905,5,1,3,0,0,3,0,1,1,3,1,0,17,1,1,0
PGN_RS10920,82,80,81,76,68,36,87,47,73,34,96,71,96,94,143,126
PGN_RS10930,20,19,24,12,3,7,19,6,13,19,13,14,58,4,14,7
PGN_RS10935,2970,3067,939,1456,1234,1418,1249,2258,1869,1640,1491,3661,2418,2511,1840,1663
PGN_RS10940,16,3,28,3,8,2,27,7,26,1,5,4,5,4,10,9
PGN_RS10955,45,26,11,50,10,4,8,6,2,2,6,2,14,22,7,6
PGN_RS10965,155,116,52,60,89,70,44,83,94,78,72,159,108,99,131,98
PGN_RS10985,172,142,86,201,202,58,87,63,146,69,28,47,119,107,124,152
PGN_RS10990,2,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0
PGN_RS10995,74,77,14,110,37,42,3,29,81,34,9,20,58,129,32,106
PGN_RS11000,4,6,2,13,1,1,2,1,8,2,3,3,1,4,7,8
PGN_RS11010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGN_RS11015,76,78,19,51,77,52,28,29,75,61,24,40,68,44,33,59
PGN_RS11020,5,4,44,14,1,1,35,10,0,1,46,14,4,0,85,11
PGN_RS11025,0,3,2,2,0,0,1,1,0,2,1,0,3,0,3,0
PGN_RS11030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGN_RS11035,8,7,2,9,5,5,4,26,2,1,18,6,12,2,32,9
PGN_RS11040,13,12,11,8,6,3,5,9,8,4,14,7,20,6,18,5
PGN_RS11045,4,0,4,1,0,1,3,3,1,1,2,1,16,2,4,5
PGN_RS11055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGN_RS11070,697,702,162,576,251,221,61,312,496,318,106,467,663,703,588,1033
PGN_RS11075,9,8,12,12,1,4,5,5,4,3,4,3,16,11,13,7
PGN_RS11085,10,14,5,5,1,9,3,4,20,8,10,9,14,4,9,5
PGN_RS11090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGN_RS11095,18,36,116,17,14,24,128,17,18,11,55,31,54,33,62,62
PGN_RS11100,1,2,2,0,0,3,1,0,0,1,4,2,2,0,0,1
PGN_RS11110,6,2,15,5,2,2,16,9,5,3,23,6,15,4,37,12
PGN_RS11125,18,19,14,17,6,12,9,41,4,5,24,4,12,6,36,9
PGN_RS11140,24,25,20,10,28,19,15,6,12,23,18,8,19,19,26,7
PGN_RS11150,34,34,44,44,34,13,28,39,23,17,35,47,62,27,75,94
PGN_RS11155,42,26,17,12,46,33,18,14,23,14,13,15,18,15,29,16
PGN_RS11160,1,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0
PGN_RS11165,4,5,2,0,0,2,1,5,4,2,5,4,12,0,5,5
PGN_RS11175,30,43,29,21,19,28,21,32,7,18,21,15,32,10,41,22
PGN_RS11195,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
PGN_RS11205,31,35,42,26,49,23,18,20,30,13,9,14,21,17,33,25
PGN_RS11210,84,70,230,123,61,67,244,137,54,39,422,169,58,18,547,118
PGN_RS11215,0,0,2,2,1,0,0,0,0,0,1,0,8,2,1,3
PGN_RS11220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGN_RS11235,30,29,34,19,21,17,44,20,17,19,66,19,44,13,72,21
PGN_RS11240,2,8,8,3,2,0,10,4,8,1,5,5,2,0,13,2
PGN_RS11245,183,205,309,160,126,120,376,240,130,130,627,317,146,102,373,192
PGN_RS11260,42,28,15,43,15,8,15,9,8,1,7,4,14,23,3,18
PGN_RS11270,0,0,1,1,0,0,1,3,0,0,0,2,2,0,0,0
PGN_RS11290,73,73,37,32,46,41,29,64,52,46,29,52,66,37,50,46
PGN_RS11305,42,61,22,26,25,16,13,26,26,16,19,46,31,23,20,23
PGN_RS11315,10,8,13,9,3,8,10,2,9,10,7,6,41,5,11,2
PGN_RS11330,11,5,14,5,7,5,17,9,7,5,11,4,13,0,9,4
PGN_RS11345,54,115,96,56,86,88,46,45,108,55,61,37,96,83,154,78
PGN_RS11350,74,116,106,56,54,49,118,36,66,40,72,61,96,54,104,40
PGN_RS11355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGN_RS11365,669,958,282,241,193,302,300,433,905,1365,440,722,1723,1061,870,1149
PGN_RS11370,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PGN_RS11385,9,10,20,1,7,6,11,6,2,4,12,2,8,4,16,2
PGN_RS11395,5899,5394,1649,1215,1979,2543,3687,3327,12215,7125,7412,6491,9436,14126,3125,4184
PGN_RS11400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGN_RS11405,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PGN_RS11410,29,32,42,20,20,18,32,15,6,12,39,21,36,15,52,14
PGN_RS11420,27,28,14,24,19,18,14,9,10,9,4,7,28,21,17,19
PGN_RS11430,2,7,1,1,5,2,1,1,7,5,2,1,12,1,1,1
PGN_RS11435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGN_RS11440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGN_RS11445,4,5,6,3,6,3,7,5,7,1,7,3,15,4,11,2
PGN_RS11450,48,45,45,23,55,31,49,22,45,32,41,32,30,44,35,20
PGN_RS11455,201,281,93,355,113,158,85,627,188,166,163,726,317,103,264,810
PGN_RS11460,1,2,3,1,0,0,3,0,1,3,3,1,4,0,2,2
PGN_RS11465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGN_RS11470,12,4,54,8,6,7,67,7,10,15,11,20,25,2,12,7
PGN_RS11475,36,42,21,31,27,18,19,31,44,49,47,50,58,33,56,57
PGN_RS11480,77,77,192,77,77,49,168,72,59,64,187,116,80,51,229,132
PGN_RS11485,6,5,5,3,1,1,0,7,3,5,1,2,17,9,13,8
PGN_RS11490,5,10,2,0,1,1,2,2,1,2,1,4,6,2,4,1
PGN_RS11500,139,127,219,148,109,52,186,96,63,37,114,59,75,57,247,109
PGN_RS11505,193,272,690,267,184,171,366,148,113,97,267,97,106,132,414,142
PGN_RS11510,81,82,57,39,46,33,73,59,55,62,92,110,110,75,108,101
PGN_RS11515,237,382,105,112,225,320,81,190,211,326,153,269,313,260,166,142
PGN_RS11520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGN_RS11525,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
PGN_RS11535,12,2,19,3,5,3,11,6,9,4,19,15,31,3,15,7
PGN_RS11540,133,61,10,70,33,28,30,96,102,55,39,140,109,104,28,76
PGN_RS11545,9,1,7,5,0,5,4,6,7,1,12,7,12,9,10,6
PGN_RS11550,33,22,20,12,19,15,27,12,20,14,5,12,29,39,26,42
PGN_RS11555,686,278,218,546,588,219,248,383,616,191,275,789,282,505,367,1313
PGN_RS11560,898,635,339,277,616,243,339,294,729,205,419,1014,526,634,445,657
PGN_RS11565,9,12,4,8,7,1,3,2,7,6,1,11,7,10,2,18
PGN_RS11570,82,58,107,33,33,39,121,27,45,31,61,34,42,49,75,34
PGN_RS11575,16,19,10,17,24,11,7,16,10,7,18,19,20,4,38,13
PGN_RS11580,0,3,0,0,0,0,1,0,1,1,1,0,5,5,1,3
PGN_RS11585,8,15,1,2,10,16,6,4,2,8,0,0,8,7,5,9
PGN_RS11595,52,96,72,52,45,52,59,60,65,75,101,76,73,69,186,83
PGN_RS11605,20,22,60,51,10,10,67,51,9,8,51,80,20,15,92,56
PGN_RS11610,425,618,221,649,550,493,207,962,563,634,383,1601,391,214,347,519
PGN_RS11615,6,4,1,0,2,0,0,0,2,1,1,1,3,3,1,6
PGN_RS11620,8,15,5,8,1,15,3,2,14,9,8,7,25,13,11,14
PGN_RS11625,4213,3761,1550,4109,4199,3190,2175,4702,4943,2755,3529,7588,3279,3886,3860,6490
PGN_RS11630,233,194,175,157,348,234,966,1079,1076,196,1540,1452,80,131,238,149
PGN_RS11635,39,33,33,49,17,13,24,42,38,23,49,79,29,26,59,89
PGN_RS11640,125,134,42,53,82,66,58,18,80,62,27,21,105,76,34,62
PGN_RS11645,5,8,7,7,10,14,1,5,7,8,16,4,12,4,13,10
PGN_RS11650,86,79,24,42,54,30,21,52,57,41,38,47,59,49,48,46
PGN_RS11655,10,13,7,31,15,13,4,29,25,8,22,55,20,18,12,29
PGN_RS11660,1,0,1,1,2,3,1,1,0,5,0,0,5,1,0,2
pheS,2765,2164,2073,2341,2524,1714,2286,1551,2028,1463,1810,1317,1743,1452,3412,2266
php1,4118,4637,1802,2344,3978,3813,1808,2439,3682,2492,2010,2031,2484,3319,2601,1781
pncB,2520,1288,1238,1245,1161,672,1285,1315,2054,1025,1408,2096,1317,1415,2028,1916
polA,10310,8561,3162,5740,4821,4404,4040,6049,13466,6650,5197,9470,7368,12143,5752,8775
porP,6034,5527,3036,4530,3484,3045,1945,2532,2642,2119,1456,1300,3047,3580,3553,3403
porQ,12562,12538,7100,9132,11456,9530,8611,10619,10023,9828,8468,9003,10211,10993,14306,9213
porU,10443,7736,5780,5567,7098,4581,4855,4195,7468,3961,3035,3614,5523,7200,6353,6624
porV,4080,3654,3117,3719,2579,1779,1857,3041,2226,1480,1694,2154,2480,2003,4050,4677
prfA,1749,1159,1454,723,1508,876,1358,836,1849,755,670,869,1329,1298,1092,1358
prfB,2401,2773,2612,1643,2832,2218,1723,1073,1906,1356,1147,697,1944,1944,2772,1639
priA,6418,5506,5221,3074,3257,2219,4929,3255,4121,2373,3729,4432,3636,4943,4949,4119
prmA,1021,763,435,837,1313,845,430,628,1505,569,352,633,526,733,690,748
prmC,2928,2824,1723,2300,4499,2823,2084,2353,2940,2021,2420,2718,1721,2368,2891,2840
pruA,2871,957,1398,1251,610,535,1950,616,4157,1269,2050,3131,2226,4625,3417,6151
pssA,864,698,659,634,1044,669,758,744,926,638,924,880,581,481,1122,657
pta,1117,1027,545,734,1128,1176,575,674,1877,1374,1001,1027,1578,1388,1874,1485
ptk1,2822,2173,2698,1494,2869,2272,2734,1745,2910,1818,2455,1703,2024,1767,3853,1993
purB,4113,4364,5181,3542,4063,3469,4644,2308,2856,2922,3876,1681,3025,3217,10032,3800
purD,3302,2642,2948,3203,3010,1846,3481,3423,3767,1704,4058,5535,2053,2488,4836,3833
purE,582,517,528,379,520,293,587,319,564,387,373,332,470,413,581,509
purH,6626,5722,10801,6867,7892,5729,13544,7007,8905,4117,8065,10430,4412,4473,12558,9657
purL,21553,19383,12090,14155,22972,15887,17018,15301,31830,14367,17703,20620,14146,17419,18039,18964
pyrB,3558,4076,2455,3334,3034,2726,3245,3410,4777,3126,4942,5479,3179,3056,4792,4259
pyrF,10609,11350,4279,5565,12968,9513,4084,6302,13951,8008,4376,5988,7306,10727,8476,7174
queA,1449,1429,1691,1121,1315,1170,2011,960,1191,799,1887,1296,1012,978,2018,1272
queC,587,636,587,490,492,371,398,544,278,265,866,303,372,258,1210,503
queF,4092,5699,1877,3156,4967,4864,2892,3581,4074,4787,3894,4189,4366,3578,5393,2914
queG,491,363,466,442,419,357,349,377,478,289,366,466,451,373,725,576
radA,3490,3230,1934,2235,2468,1942,2299,2622,3943,2130,2683,2603,2677,2715,3272,2468
radC,155,116,162,150,140,105,143,122,111,66,117,67,168,70,262,171
raiA,34478,32432,14674,25611,30511,23307,18148,22896,36497,23008,23068,40876,24629,33149,22559,35226
rbfA,1674,1592,2127,1191,1967,1287,2572,1146,1865,969,2510,1324,945,1036,3101,1120
recA,12105,11973,4877,6322,11599,7382,7469,7086,14794,8549,8362,12645,9814,10930,8573,7896
recF,6196,5739,4954,4066,3896,3552,4047,3570,4893,3131,4965,7057,3739,4641,4889,4180
recG,4119,2924,2798,2185,4306,2729,3060,2010,4678,2040,2672,3218,2330,2459,3248,2701
recJ,4048,3163,1422,2981,2639,1942,2119,2822,4266,2311,2463,4548,3440,3476,3121,4789
recN,2071,1458,1518,1724,1550,1126,1696,1537,1890,1038,1317,1824,1343,1214,2095,2015
recQ,5342,3707,3517,2575,3739,2761,2963,2558,5455,2642,2046,3181,4200,4706,3826,4071
recR,575,396,473,249,308,217,373,164,303,214,168,141,314,343,321,359
rfbA,1764,1288,1019,719,1709,1159,1089,708,1939,1173,627,614,1103,1235,1020,830
rfbB,2880,2173,1455,1912,1406,992,972,1287,2052,1362,903,1261,1764,1682,2066,2330
rfbC,584,569,358,288,638,447,337,265,594,421,289,223,440,355,609,383
rfbD,1115,827,884,1036,595,461,565,725,769,525,514,674,603,618,1443,1231
rgpA,97972,74551,49446,39714,64598,42578,66536,49218,204134,89886,65695,86038,80886,132745,93521,83604
rgpB,14983,7581,12984,10082,8645,5123,11941,4659,18272,7644,7010,7736,11155,14033,21692,25943
rho,74126,89640,37940,66269,86840,61857,21147,35716,57805,31959,14268,18011,37872,53123,36963,46800
ribD,974,776,669,781,1522,878,919,716,1628,657,800,935,642,714,976,1027
ribF,1152,981,533,917,697,587,444,759,1013,556,662,901,754,919,1272,1181
rimM,412,320,389,286,289,163,304,183,430,165,176,278,280,326,309,334
rimO,7334,8958,5689,4355,10108,8266,5932,4284,8953,4890,3911,4742,4846,6967,4317,4501
rimP,13925,12056,6903,13843,17295,12472,6239,12372,12659,5992,5733,12882,6593,10922,11807,15205
rlmB,1403,822,845,714,1112,588,770,735,1644,664,560,942,719,811,890,982
rlmD,3686,3230,2418,2748,3962,2531,1651,1910,3911,1689,1412,1669,1932,2560,2795,2731
rlmH,6919,6307,2582,3701,10102,6291,2634,2946,11259,4491,3123,4114,4180,6224,3857,5403
rlmN,851,637,760,645,878,578,589,424,667,449,571,471,525,496,794,578
rmuC,3066,3019,1279,1820,3240,2820,2011,1834,3468,1939,2232,2114,1720,2180,2430,1525
rnc,4481,4410,4512,2525,2453,1585,6342,4029,4321,3615,9051,5008,4301,5319,9440,2907
rnpB,3475,2883,1393,2628,2847,2316,1700,2195,3535,2442,2172,3402,4530,3442,4601,7626
rnr,8744,6147,4278,5618,6287,4440,5016,6066,11009,4723,4907,7168,4901,6473,5399,6753
rny,30241,33555,18101,18566,30041,22272,15852,21330,33177,20697,18030,32200,23747,28127,23837,23183
rocD,21742,7872,5537,8087,3995,5706,13391,4017,30374,17586,20074,23416,20428,37831,12883,32185
rodA,2409,2372,1779,1307,2446,2102,1268,1209,1580,820,944,1027,1249,1549,1805,1690
rpiB,281,172,147,165,172,83,98,122,246,115,95,172,196,201,184,277
rplB,3528,3563,5292,3457,6044,4620,4189,1791,3763,2113,1298,855,1958,2192,3796,2368
rplC,9623,10823,7939,4389,18908,12549,6067,2221,11949,5980,1661,1033,5035,6708,4290,3577
rplD,2407,2253,4936,2319,3784,2935,3767,1245,2522,1313,1774,675,1401,1261,3337,2014
rplE,21429,18662,12734,10040,26467,19104,10379,7226,18923,12398,5096,3128,9149,11117,12880,7132
rplF,1132,532,2401,469,1328,554,1553,371,917,381,221,170,634,395,689,860
rplK,3823,2769,7688,3627,4338,2942,4039,1887,3038,1611,1780,1617,1521,1607,4698,3302
rplL,1695,1169,3341,618,1698,922,1814,520,1449,606,298,276,1510,1417,855,1233
rplM,833,988,1726,817,1224,1068,1529,468,700,602,526,194,752,491,1102,724
rplN,899,233,2780,172,1235,351,1900,232,723,166,96,58,223,184,181,213
rplO,401,322,539,270,438,342,413,158,430,199,119,112,539,271,237,753
rplP,1642,642,3695,572,1838,785,2791,444,1044,400,242,129,524,357,615,616
rplQ,3023,3258,2641,2488,3879,3304,2021,1519,3533,2431,2022,1405,2564,2357,4500,3242
rplS,6332,13130,8398,9455,8280,12537,6625,5446,6732,8018,6764,4832,11163,6079,17611,13268
rplT,144,196,290,187,172,146,181,146,158,131,175,117,249,113,410,252
rplU,3074,3553,4615,3265,4777,3361,5154,2476,3922,2076,4516,2541,1820,2795,8208,3882
rplV,731,410,1953,431,904,389,1472,282,703,188,172,149,445,314,347,714
rplW,782,672,1261,387,1313,770,881,207,912,481,282,186,505,455,689,438
rplX,1814,595,3489,570,1996,634,2289,345,1323,415,230,153,842,807,558,911
rpmA,497,350,360,404,438,327,367,232,541,243,258,200,832,990,449,1036
rpmC,2968,2834,2115,1030,4652,3687,1626,601,2987,1710,548,245,1214,1792,1367,852
rpmD,135,69,92,48,124,77,72,37,115,35,43,34,106,116,72,99
rpmF,275,344,495,410,249,306,382,224,179,194,303,221,419,187,766,610
rpmG,309,436,489,291,484,411,374,227,436,355,438,212,633,477,937,834
rpmH,87,135,135,98,114,148,96,61,80,92,75,43,150,78,106,111
rpmI,414,744,1603,728,773,640,1402,476,618,550,1392,504,628,409,2470,943
rpmJ,4322,3379,2145,1419,5036,4160,1512,1728,4624,2796,1185,965,1987,2296,3203,1687
rpoB,37531,33174,42612,22813,41046,30078,26082,14301,30743,16129,14821,10926,21268,26093,28734,27319
rpoC,23966,17171,37238,12419,24345,15073,21886,8069,19232,9627,10262,7650,11047,15526,19122,14607
rpoN,1111,904,755,614,975,666,775,717,1015,539,714,892,868,769,1025,761
rpsA,17435,14470,13327,7030,31144,20049,13830,5495,26095,10924,4886,3597,7661,10984,8633,5392
rpsB,2163,3322,3523,1633,3948,2880,2845,960,2460,1395,1092,387,1657,1198,2081,1280
rpsC,3953,3260,5148,1834,5846,3440,4138,1111,3540,1789,978,491,1688,1981,2494,1744
rpsD,1737,1909,2130,1208,2091,1883,1536,824,1709,1103,549,470,1516,1406,1380,1555
rpsE,4394,4164,3153,2591,6453,4643,2591,1734,4458,2326,1050,869,3016,3917,3011,3057
rpsG,9293,12396,11675,6367,20008,15195,10138,3572,11700,6405,3818,1841,5017,8116,8394,5446
rpsH,1393,1182,2454,1392,2234,1691,1654,842,1645,736,853,632,771,934,2382,1423
rpsI,1440,1721,2217,1027,2087,1576,1728,589,1161,855,910,323,750,673,1529,757
rpsJ,593,232,1532,230,796,262,1095,136,526,154,82,64,235,122,399,238
rpsK,835,866,1239,713,1229,862,853,496,1008,587,430,299,696,676,1247,961
rpsM,4929,5390,5493,4066,6515,5591,4260,2966,5127,3994,3147,1976,3398,3955,8280,4512
rpsN,4803,5478,3197,5083,4372,3001,2722,3043,4786,3452,1977,3508,4329,3882,5730,7434
rpsO,474,670,795,704,410,389,678,827,185,339,594,336,354,225,2058,910
rpsQ,2870,2556,3214,1625,4522,3020,2280,808,3001,1726,692,476,1926,2135,1819,1941
rpsS,813,657,1005,158,1021,670,729,89,976,293,130,89,549,963,157,346
rrf_1,11042,6793,1448,2214,4686,5040,1445,1556,6431,6868,2276,2890,24243,11047,4268,15236
rrf_2,10783,3606,27,21,313,3121,105,353,3657,4310,137,6,24391,4919,181,656
rrf_3,11528,6922,1917,2274,5236,5198,1425,2091,7232,6815,2934,2896,24466,10721,4721,16719
rrf_4,14147,8942,1701,2901,8456,7823,1727,2013,11064,9843,3176,3866,24442,11078,4736,19187
rseP,1657,1574,1389,925,2154,1109,1339,769,1562,953,827,755,1093,877,1323,781
rsgA,4823,4133,1357,3228,2438,1801,939,2200,3126,2032,1471,2379,2873,3272,3866,3494
rsmA,2429,1646,937,1596,2436,1335,1144,1746,3477,1182,1251,2598,1405,2076,1718,2329
rsmG,2341,1926,1483,1558,2609,1302,1635,1528,2638,1388,1176,2007,1727,2075,2027,2105
rsmH,2360,2163,1662,1707,3164,2343,2289,1875,3344,1623,2139,2690,1766,1813,2429,2063
rsmI,20174,13723,5922,6802,25125,17281,6170,7585,23263,9792,5673,9202,8608,18354,8400,9042
rsxC,7303,6090,7428,4657,5789,3915,2174,892,3503,3476,1056,813,4698,4983,5904,4909
ruvA,2183,2146,1756,2287,1618,1452,1520,1991,1401,913,1460,1626,1084,1338,2326,2046
ruvB,4464,6193,4594,4618,7640,6947,6003,4348,5783,4375,5609,5650,3995,3945,6311,4386
ruvC,769,640,314,437,505,372,379,562,883,437,490,935,738,812,697,785
ruvX,2297,3258,8125,2739,2956,2300,9968,2640,2207,2193,7051,2033,1989,1458,7561,2292
scpA,8404,7105,5669,4745,7300,5386,8725,7248,11182,4865,8598,10056,5723,7527,8067,6296
secA,23647,18026,11785,12239,17130,12897,10759,11103,25033,14883,9601,10469,15041,20255,14543,13708
secDF,26838,25009,20058,16239,21518,15341,20925,15334,25329,15241,14774,15814,18453,21588,25978,20199
secE,821,595,1132,328,652,532,758,335,455,431,233,319,617,263,587,670
secG,15447,17206,12290,20148,8734,9199,11951,9450,8379,7911,16242,17155,15104,7872,19711,19975
secY,2982,1331,4902,1354,2260,1147,3768,965,1971,855,622,555,1779,1581,1693,2424
selD,1366,1273,768,736,1257,768,568,611,1211,846,393,515,1000,867,905,949
serB_1,2735,2194,1963,1534,2517,1887,2332,1602,3600,1854,1855,1592,1907,2438,2816,2112
serB_2,3973,4730,2790,3558,5917,4767,3071,2735,3721,3499,2997,2366,2757,2672,3843,2691
serC,20803,24124,14458,18258,21326,19703,17453,14349,21794,21320,16959,11758,18438,16424,21416,17069
serS,3345,3152,2085,1708,3719,2367,2444,1041,2283,1972,1072,845,1967,1937,2070,1882
smpB,472,134,353,196,325,120,280,138,276,95,141,117,183,109,361,293
sppA,13203,10700,8730,9647,15789,10935,11011,12669,14748,8431,13476,17547,6779,8935,15553,12410
sprA,70277,52632,15075,31227,32636,23911,12270,30940,48366,30910,16145,25435,40776,56120,31985,39305
ssb,461,378,266,315,285,216,398,306,372,309,438,451,332,303,555,388
ssrA,141377,160553,66815,112786,155494,121216,104979,118232,195805,135999,138267,221288,159574,211491,240182,234854
sufB,2118,2127,2270,2156,1431,1104,2024,1361,1478,1151,1822,1733,1511,1345,2927,2700
sufC,1813,1841,2122,1304,1095,880,1677,869,1072,879,665,724,1198,1299,1242,1461
sufD,3701,3265,4475,2393,2491,1802,3584,1620,2439,1520,2004,1329,1739,1939,2908,2046
sulP,2776,2544,2612,2047,3534,2595,2725,2033,2481,1778,2199,1711,1720,1932,3413,2167
surE,1639,662,1540,658,988,550,947,509,1126,383,518,439,558,524,969,690
tadA,1799,1293,1311,764,2115,1434,1483,931,3219,1683,1493,1399,1538,1756,1961,1676
tgt,2093,1921,1790,1373,2494,1435,1567,1160,1678,1060,1046,846,1582,1242,2135,1429
thiC,995,941,544,712,1276,693,415,515,873,410,352,379,684,539,515,598
thiH,506,383,275,677,453,306,199,371,355,221,203,350,294,301,493,715
thiL,932,602,633,632,764,463,423,573,960,378,407,669,640,713,783,802
thiS,73,86,57,67,80,51,60,51,86,43,72,58,69,29,106,58
thrS,15480,14839,13177,8521,21713,16082,11993,8010,15699,11270,6641,5074,10286,10707,12216,7798
tig,11964,12364,6766,6548,18621,14697,4818,4711,13436,9562,2960,2632,7503,7687,9484,5753
tilS,792,820,1737,736,761,693,1728,661,537,222,924,556,496,467,1006,693
topA,4161,4664,5203,2920,5076,3973,4186,1807,3214,3100,2492,1019,2538,2017,5407,1950
tpx,527,657,693,392,597,591,2278,945,556,439,2725,1263,472,401,985,324
traJ_1,539,520,1013,337,534,246,742,483,585,262,622,435,555,340,911,444
traJ_2,70,65,105,39,63,43,82,52,48,33,85,58,128,38,93,59
traK_1,198,205,435,167,141,109,380,246,129,94,309,210,275,129,394,203
traK_2,90,129,86,46,73,107,81,85,38,90,76,31,168,36,77,58
traM_1,445,380,778,279,307,210,728,383,473,216,574,395,595,189,748,438
traM_2,149,146,226,128,117,103,288,162,114,108,287,190,227,81,319,147
traM_3,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
traN_1,757,790,1124,549,750,575,1390,613,1072,553,1189,961,825,700,1301,1002
traN_2,167,101,60,166,102,74,59,101,135,68,116,294,105,114,145,258
traN_3,110,91,145,71,112,82,121,61,77,96,99,74,138,90,127,112
traN_4,798,783,1099,557,757,545,1365,606,1085,540,1237,971,826,745,1324,1082
trkA,3179,3163,1278,1342,3047,1976,1129,1022,7131,4111,1570,2621,4045,4503,2492,2303
