gene_id,Mut  - 77-KO_GGACCC_L001_R1_001 (paired) (GE) - Total gene reads,Mut  - 77-KO-2_GGATGT_L001_R1_001 (paired) (GE) - Total gene reads,Mut  - 77-KO-3_GTGTTA_L001_R1_001 (paired) (GE) - Total gene reads,Mut  - 77-KO-4_GTGGCC_L001_R1_001 (paired) (GE) - Total gene reads,Mut + DP - 77-KO+DP_TTCAGC_L001_R1_001 (paired) (GE) - Total gene reads,Mut + DP - 77-KO+DP-2_TTCGCT_L001_R1_001 (paired)-1 (GE) - Total gene reads,Mut + DP - 77-KO+DP-3_TGTGAA_L001_R1_001 (paired) (GE) - Total gene reads,Mut + DP - 77+DP-KO-4_TGTTGC_L001_R1_001 (paired) (GE) - Total gene reads,Wt + DP - 77+DP_CCTTCA_L001_R1_001 (paired) (GE) - Total gene reads,Wt + DP - 77+DP-2_CCTCGG_L001_R1_001 (paired) (GE) - Total gene reads,Wt + DP - 77+DP-3_CACACA_L001_R1_001 (paired) (GE) - Total gene reads,Wt + DP - 77+DP-4_CACCTC_L001_R1_001 (paired) (GE) - Total gene reads,Wt - 77-2_AAGACG_L001_R1_001 (paired) (GE) - Total gene reads,Wt - 77_AAGGGA_L001_R1_001 (paired) (GE) - Total gene reads,Wt - 77-3_ACACGA_L001_R1_001 (paired) (GE) - Total gene reads,Wt - 77-4_ACAAAC_L001_R1_001 (paired) (GE) - Total gene reads
PGN_RS07470,2111,1571,1037,1196,1547,1069,624,746,1236,703,528,669,997,1315,926,902
PGN_RS07490,13290,15501,16567,10120,22696,28139,9903,6093,15001,9111,4172,3923,7813,9176,10868,7163
PGN_RS07495,2819,968,6914,1003,2680,946,3937,897,1781,597,360,395,1030,881,1189,1505
PGN_RS07515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGN_RS07525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGN_RS07530,2,4,3,6,2,0,6,5,4,0,0,0,6,4,19,19
PGN_RS07540,2154,4317,5498,3611,2668,3536,4617,3217,1670,2665,5601,2468,2844,1345,10159,4763
PGN_RS07545,3090,2857,2661,1905,3872,2622,2107,1453,2984,1994,1567,1363,2063,1910,3150,1914
PGN_RS07555,3570,3047,3249,1927,3206,2312,2837,2237,3339,1419,2311,2411,1586,2293,3222,1724
PGN_RS07565,3870,4976,5373,3726,5092,3994,5006,1959,3557,2847,3677,1126,2345,2354,6654,2538
PGN_RS07585,1183,1448,3554,1271,893,750,4585,1425,746,703,3709,1300,831,585,4776,1124
PGN_RS07600,4313,3493,4390,2763,4768,3225,3734,2224,4470,2495,3226,1940,2446,2624,5690,3222
PGN_RS07605,1503,1185,1447,1109,1860,1115,1583,1033,1455,870,1232,1307,914,718,1951,1171
PGN_RS07610,2491,2425,1872,1877,4871,3256,1850,1528,3859,2020,1765,1649,1304,1596,2484,1815
PGN_RS07615,2696,2847,1627,1900,3422,2606,1315,1601,2952,1824,1318,1777,1811,1886,2068,1803
PGN_RS07620,1883,1625,1262,1751,1188,969,921,1516,1302,857,1444,1932,1154,1202,2376,2810
PGN_RS07625,9750,7847,3657,4826,4622,2924,3271,4575,8779,4901,3414,6206,6024,8023,6094,7215
PGN_RS07630,773,591,583,548,427,330,528,512,775,415,566,823,753,581,830,859
