"gene_id","Wild Type + DP - WT-1_DP_CCTTCA_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type + DP - WT-2_DP_CCTCGG_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type + DP - WT-2_DP28_CACCTC_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type + DP - WT-1_DP28_CACACA_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant + DP - MUT-1_DP_TTCAGC_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant + DP - MUT-1_DP29_TGTGAA_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant + DP - MUT-2_DP28_TGTTGC_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant + DP - MUT-2-DP_TTCGCT_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type - WT-1_AAGGGA_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type - WT-1-28_ACACGA_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type - WT-2_AAGACG_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type - WT-2-28_ACAAAC_L001_R1_001 (paired) (GE)-1 - Total gene reads","Pgr Mutant - MUT-1_GGACCC_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant - MUT-1-28_GTGTTA_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant - MUT-2_GGATGT_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant - MUT-2-28_GTGGCC_L001_R1_001 (paired) (GE) - Total gene reads"
"PG_RS05900",832,1160,2342,2852,2884,1883,3010,2924,999,8783,1615,8638,5441,1736,14705,6867
"PG_RS05910",584,678,1556,1238,1236,861,1550,1298,781,4993,1016,7123,4644,1855,8196,5335
"PG_RS05915",287,413,462,564,717,635,758,642,263,1344,367,1155,1226,638,2384,1445
"PG_RS05920",141,142,269,251,358,188,402,355,115,697,164,876,646,209,1429,745
"PG_RS05930",307,327,445,728,668,644,771,630,330,1763,374,1370,1303,926,2733,1899
"PG_RS05935",3,3,2,4,10,9,4,9,8,16,4,17,26,29,59,17
"PG_RS05940",577,579,879,1382,1545,687,899,1390,802,3277,996,2699,3623,1414,5824,2799
"PG_RS05945",65,64,94,143,115,89,125,139,78,328,77,284,324,129,705,366
"PG_RS05950",300,400,498,743,755,567,668,712,376,2056,394,1457,1852,820,2890,1880
"PG_RS05955",603,775,827,1258,1666,1083,1265,1590,543,2695,802,2200,3444,1207,6081,3110
"PG_RS05960",63,95,138,125,241,119,248,279,59,441,111,526,434,127,1205,521
"PG_RS05965",119,141,179,196,272,149,240,271,122,568,109,445,635,156,1124,568
"PG_RS05970",553,454,563,963,992,778,823,713,666,2095,563,1144,1631,826,2508,1572
"PG_RS05980",1034,382,252,1255,1340,557,316,477,1337,2348,1112,592,3627,698,5360,802
"PG_RS05985",290,353,352,681,749,575,547,668,383,1901,472,1462,1693,812,3285,2132
"PG_RS05995",1489,1956,3068,3232,4078,2253,4325,4650,1494,8497,2147,9895,8511,2601,16080,10743
"PG_RS06000",440,374,779,1055,991,777,1075,763,497,2323,566,2060,1962,1060,3882,2022
"PG_RS06005",49,41,156,100,74,94,233,88,70,371,71,705,360,236,581,487
"PG_RS06010",262,253,466,518,632,467,757,662,341,1614,348,1928,1751,847,3472,1915
"PG_RS06025",633,547,1219,1730,1607,1352,1806,1188,788,4238,872,2844,2920,1840,5862,3321
"PG_RS06030",1128,1133,2284,3098,3024,2064,3224,2935,1334,8078,2005,7438,7865,3659,14261,7629
"PG_RS06035",265,321,567,535,883,320,876,1123,261,1620,406,2439,1553,402,4732,2383
"PG_RS06045",98,181,326,281,500,115,366,549,123,866,218,964,842,229,2815,1101
"PG_RS06050",972,927,1355,2035,1998,1493,2161,1880,875,4200,999,4090,3932,1932,7152,4669
"PG_RS06055",2555,1530,1771,3757,2725,2900,2160,2316,293,1707,276,896,998,1315,1694,1406
"PG_RS06065",287,249,346,629,635,408,560,517,310,1457,337,966,1261,566,2324,1317
"PG_RS06070",133,106,233,346,296,249,401,273,132,865,140,710,737,392,1350,851
"PG_RS06075",285,198,286,567,506,450,418,371,334,1181,248,848,996,622,1456,974
"PG_RS06080",508,310,471,963,924,741,758,824,512,1967,473,1007,2088,885,3319,1517
"PG_RS06085",156,134,110,294,243,287,238,179,138,470,109,239,468,394,772,616
"PG_RS06090",150,52,160,145,179,174,193,72,131,451,92,334,385,321,932,370
"PG_RS06095",6183,7767,7282,12856,14290,7440,9612,19277,5001,33777,6921,20983,30632,8965,63656,37054
"PG_RS06105",184,213,437,386,482,315,724,582,205,1308,266,1367,1052,399,2594,1688
"PG_RS06110",162,170,282,296,338,235,399,341,145,907,165,762,674,364,1809,1001
"PG_RS06115",138,93,142,272,217,194,192,146,278,1077,239,484,834,725,1656,836
"PG_RS06120",589,699,1261,1501,1230,1094,1851,1281,821,5092,1100,4632,3262,2205,6344,5898
"PG_RS06125",110,118,279,301,180,162,396,210,156,875,177,1335,776,438,1604,1139
"PG_RS06145",1043,1004,1486,1986,2046,1419,2360,2002,880,4802,1063,3919,4276,2011,8137,5205
"PG_RS06155",84,13,30,59,64,105,89,42,85,268,85,346,252,149,393,216
"PG_RS06160",5,12,35,27,19,14,31,9,20,199,21,438,72,50,150,107
"PG_RS06165",9400,8636,10354,15876,12966,11556,12082,11794,10699,44086,10477,29130,30346,16689,50100,35081
"PG_RS06170",125,133,251,270,325,210,333,317,179,751,213,940,810,293,1595,700
"PG_RS06175",136,119,171,255,264,255,242,230,160,711,165,619,700,330,1301,600
"PG_RS06180",530,414,723,1048,992,805,1029,800,512,2361,554,2014,1874,889,3166,2336
"PG_RS06185",922,756,1142,1625,1619,1323,1728,1346,1044,4237,1053,3848,3605,1846,6781,3236
"PG_RS06190",60,53,62,82,102,69,104,78,84,179,60,131,210,85,406,204
"PG_RS06195",170,203,315,335,357,247,394,403,118,743,181,686,712,501,1113,762
"PG_RS06200",278,127,268,683,494,324,355,341,348,1376,312,815,1428,774,2130,877
"PG_RS06205",1002,1113,1622,1803,2578,1460,2935,2836,819,4462,962,4089,4207,1939,8345,6887
"PG_RS06220",2722,4000,6750,7915,6868,5807,10864,10369,2150,16276,3480,16037,11150,6136,26599,20782
"PG_RS06225",141,159,254,374,387,206,354,348,142,1038,197,671,747,349,2273,935
"PG_RS06230",707,589,1076,1350,1246,1013,1463,1210,1071,5819,1143,4183,4436,2068,9021,5634
"PG_RS06235",693,743,887,1112,1281,980,1218,1233,754,3123,775,2278,2872,1414,5296,2937
"PG_RS06255",10067,8936,9469,17688,15470,14839,11824,14861,9246,39107,9414,21886,31621,16854,52916,32813
"PG_RS06260",2576,1280,1692,4759,3547,3349,2563,1913,2745,9694,3030,5469,7483,6818,12686,6889
"PG_RS06265",245,190,605,534,373,318,808,364,210,1366,237,1506,722,541,1876,1258
"PG_RS06270",5305,4625,9657,19368,10881,12971,15516,8412,6371,33943,8968,25618,20605,19758,37587,27457
"PG_RS06275",651,316,583,1280,1316,431,752,747,777,2074,808,2001,2960,707,5678,1562
"PG_RS06280",1218,506,751,2736,2196,1274,1551,1198,1211,4067,1241,2150,5091,2397,8808,3004
"PG_RS06290",67,54,79,119,94,70,101,105,87,303,92,218,301,157,584,273
"PG_RS06295",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PG_RS06300",1652,1237,2035,4349,3283,2669,2838,2612,2028,10693,2471,7296,9066,6094,14217,9698
"PG_RS06305",66,36,31,162,158,99,76,55,112,391,130,125,443,223,817,174
"PG_RS06310",153,94,290,554,316,401,426,188,275,1438,258,854,802,992,1525,784
"PG_RS06315",564,164,184,828,787,390,251,279,681,1617,675,390,1794,757,2996,590
"PG_RS06320",87,17,30,107,67,36,37,20,124,229,98,56,246,82,400,72
"PG_RS06325",5,3,1,3,3,1,2,0,6,9,4,2,24,2,21,0
"PG_RS06330",2,6,2,4,9,1,3,4,8,18,6,12,26,10,71,12
"PG_RS06335",54,25,28,106,96,65,38,54,57,234,78,85,267,125,406,134
"PG_RS06340",34,6,7,0,68,15,41,46,42,147,22,39,121,74,146,0
"PG_RS06345",5,1,2,9,9,3,3,4,11,16,5,6,13,9,44,8
"PG_RS06350",553,346,268,918,885,730,804,490,559,1724,584,1460,1563,1018,2514,1249
"PG_RS06355",306,160,343,904,460,422,520,302,561,2097,558,1291,1417,1340,2390,1153
"PG_RS06360",15,20,25,32,24,14,33,25,77,281,79,170,209,118,214,130
"PG_RS06365",19,8,7,30,40,24,21,11,37,67,29,26,78,30,272,26
"PG_RS06370",29,14,16,49,54,26,22,20,32,88,30,22,108,41,160,31
"PG_RS06375",21,6,10,46,30,18,12,11,20,90,19,18,85,37,321,23
