"gene_id","Wild Type + DP - WT-1_DP_CCTTCA_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type + DP - WT-2_DP_CCTCGG_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type + DP - WT-2_DP28_CACCTC_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type + DP - WT-1_DP28_CACACA_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant + DP - MUT-1_DP_TTCAGC_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant + DP - MUT-1_DP29_TGTGAA_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant + DP - MUT-2_DP28_TGTTGC_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant + DP - MUT-2-DP_TTCGCT_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type - WT-1_AAGGGA_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type - WT-1-28_ACACGA_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type - WT-2_AAGACG_L001_R1_001 (paired) (GE) - Total gene reads","Wild Type - WT-2-28_ACAAAC_L001_R1_001 (paired) (GE)-1 - Total gene reads","Pgr Mutant - MUT-1_GGACCC_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant - MUT-1-28_GTGTTA_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant - MUT-2_GGATGT_L001_R1_001 (paired) (GE) - Total gene reads","Pgr Mutant - MUT-2-28_GTGGCC_L001_R1_001 (paired) (GE) - Total gene reads"
"PG_RS08160",1256,728,1319,2337,1970,1227,1498,1687,462,1969,468,1039,1627,944,2643,1557
"PG_RS08165",8158,5449,7199,15174,10422,10894,8795,9159,159,755,186,515,445,379,911,642
"PG_RS08170",51349,22110,27456,114741,71922,54819,31543,37831,374,1980,353,653,1337,1080,2221,1071
"PG_RS08175",90,124,158,239,201,154,203,199,126,660,139,465,542,295,1351,645
"PG_RS08180",119,132,206,298,288,209,310,283,171,789,172,631,552,312,1257,833
"PG_RS08185",55,41,60,115,109,57,59,61,97,245,79,174,347,128,538,170
"PG_RS08190",1297,841,1118,2136,2175,1190,1215,1134,1650,4535,1638,3172,4335,1695,7550,2417
"PG_RS08200",789,813,560,903,1714,1264,822,1468,262,849,262,316,2244,1454,3473,2273
"PG_RS08205",852,957,885,860,1278,470,590,1236,52,191,63,231,216,60,356,157
"PG_RS08210",1509,1819,3068,3386,4295,2636,4782,4332,1584,9518,2153,9031,7667,3436,15403,9118
"PG_RS08215",26,37,88,65,56,40,108,69,42,204,55,290,211,59,369,187
"PG_RS08220",129,133,192,214,266,146,202,215,164,696,168,772,709,198,1471,661
"PG_RS08225",96,121,196,222,222,182,292,209,120,845,158,829,570,275,1561,919
"PG_RS08235",1423,1382,2376,2549,2896,2221,3501,2886,1058,4926,1279,4629,4197,1876,8420,4877
"PG_RS08240",876,1372,1516,1680,2726,1335,2321,3116,714,3857,936,3524,3284,1071,7556,4632
"PG_RS08245",738,907,1160,1498,2308,961,1558,2472,539,3110,845,3219,3029,981,7710,3782
"PG_RS08250",6251,3538,3066,10871,9543,9437,4599,6090,5901,18099,4512,7553,14831,8291,21862,12189
"PG_RS08255",518,377,514,905,800,694,806,667,601,2365,557,1874,2077,1098,4333,2072
"PG_RS08260",1139,1569,2574,2478,2830,2052,3241,3021,1316,7669,1481,8251,6025,3565,12009,8723
"PG_RS08280",789,357,478,1309,1055,771,621,465,852,2576,722,968,2337,955,4294,988
"PG_RS08285",123,56,38,245,197,115,86,99,149,312,161,91,382,177,928,217
"PG_RS08290",28,45,49,81,126,33,105,160,42,168,38,115,255,23,905,224
"PG_RS08300",54,17,17,78,78,24,34,42,74,138,52,52,230,54,522,66
"PG_RS08305",141,57,93,384,326,165,136,146,229,529,227,162,863,256,1513,235
"PG_RS08310",8,0,3,6,13,1,4,6,9,13,5,3,26,9,150,8
"PG_RS08315",97,26,25,187,129,68,60,75,171,248,114,94,525,108,800,105
"PG_RS08325",139,49,51,203,203,122,75,68,228,500,154,128,568,184,892,135
"PG_RS08330",106,40,28,161,144,70,46,48,178,312,141,77,449,163,650,111
"PG_RS08335",100,61,92,187,258,149,139,140,162,367,175,229,466,190,1129,286
"PG_RS08340",1636,1866,3311,3273,3022,1905,4367,4080,1461,9015,1806,10691,7604,2737,12826,10634
"PG_RS08345",56,55,154,156,91,111,184,111,69,487,62,597,418,222,801,537
"PG_RS08350",86,71,107,157,164,122,191,160,109,523,85,384,424,286,847,522
"PG_RS08355",389,380,700,733,883,673,1205,1101,402,2679,447,2446,1920,1351,4608,3210
"PG_RS08370",162,179,333,339,392,239,384,375,204,1005,285,824,980,304,2737,698
"PG_RS08375",1024,1010,1401,2040,2113,1090,1626,2201,1116,4482,1174,3370,4638,1420,8419,3694
"PG_RS08380",3,1,3,3,4,6,4,5,5,14,6,8,19,9,44,7
"PG_RS08385",10,4,7,4,5,1,3,5,9,17,6,6,8,9,27,9
"PG_RS08390",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"PG_RS08395",443,218,225,815,357,349,158,163,579,1447,536,618,991,645,1556,539
"PG_RS08400",1378,509,499,1934,2258,671,622,977,1839,3202,1686,1137,5801,987,8651,1305
"PG_RS08405",433,421,705,743,765,665,721,537,675,2303,570,2296,1917,930,3387,1533
"PG_RS08415",385,497,768,763,1299,426,1040,1539,337,2687,605,2563,2455,762,7133,3313
"PG_RS08465",261,327,815,847,935,613,1355,1216,251,2480,414,2467,1605,836,4622,2896
"PG_RS08565",2824,3750,6712,8586,7168,7625,12250,8757,2274,21901,3725,17029,10501,9521,27692,27039
"PG_RS08570",612,543,876,1170,1117,775,1176,1103,635,3016,643,2503,2953,1051,4354,2933
"PG_RS08575",316,428,696,759,792,716,945,784,525,3077,636,2233,2406,1542,4594,3171
"PG_RS08580",181,193,186,289,316,195,241,307,214,858,160,645,723,339,1446,909
"PG_RS08585",181,278,345,334,410,266,461,502,220,1165,244,1193,1027,367,1867,1310
"PG_RS08590",1602,1596,2893,3347,3060,2376,3477,2993,1967,10423,2073,10807,7820,3648,15237,9230
"PG_RS08595",2018,2322,2887,3500,3745,2452,3199,4458,2049,10098,1929,7781,8328,3036,13982,8993
"PG_RS08600",1129,1373,1603,2000,2442,1354,1904,2394,1045,5407,1367,3978,4878,1514,9031,4601
"PG_RS08610",178,169,247,291,324,326,333,226,205,894,200,669,713,446,1355,796
"PG_RS08615",1942,2425,4189,5117,4555,3274,6017,5364,1601,11639,2205,10394,8428,4092,18047,13266
"PG_RS08620",304,377,775,772,767,547,1135,987,279,1805,381,2691,1449,610,3641,2334
"PG_RS08625",2957,2704,4087,7325,6457,4604,6168,6400,2601,14825,3575,11237,12995,6285,23918,13590
"PG_RS08630",738,623,1278,1381,1337,904,1599,1440,750,4198,771,4267,3260,1569,6344,3601
"PG_RS08635",599,412,588,1202,1070,891,949,915,860,4630,876,2650,3867,2509,6604,3712
"PG_RS08650",5171,2324,4138,17949,10503,11762,6876,4640,5793,30676,7552,11898,23676,23769,41268,18076
"PG_RS08655",732,636,1125,1864,1484,1069,1194,1245,782,5104,999,3186,3588,1985,7472,3786
"PG_RS08660",40,27,43,69,52,45,51,61,51,225,53,130,242,137,496,204
"PG_RS08670",285,288,469,614,591,523,587,533,356,2017,464,1491,1405,765,2946,1652
"PG_RS08675",760,946,1381,1520,1565,1152,1694,1620,925,4680,1157,5036,3729,1817,7730,4688
"PG_RS08680",1497,1241,1511,2759,2269,1816,1642,1909,1912,7859,2039,6316,5982,3019,9397,5582
"PG_RS08685",325,310,546,644,593,511,689,560,368,2014,361,1644,1342,777,2588,1618
"PG_RS08690",363,436,432,633,718,674,655,588,395,1862,441,1128,1480,835,2461,1805
"PG_RS08700",182,164,219,319,327,241,277,252,292,846,299,628,868,376,1647,638
"PG_RS08705",6056,6656,7989,11670,11636,8360,7531,10854,7562,32122,7327,19481,26251,12468,42884,27860
"PG_RS08710",258,154,306,1091,647,379,411,289,369,2249,643,905,1820,941,3739,1079
"PG_RS08715",600,364,533,1726,1374,417,828,773,443,3994,1142,1610,2962,818,7856,2122
"PG_RS08720",40,46,59,48,64,46,93,117,57,223,77,285,284,137,532,252
"PG_RS08725",234,191,425,605,517,452,638,500,225,1770,293,1161,1442,918,3612,1858
"PG_RS08730",96,44,100,137,168,113,170,119,75,469,66,239,390,185,910,365
"PG_RS08750",68,115,110,99,277,19,95,407,56,261,133,435,522,35,1696,430
"PG_RS08770",671,455,461,1238,1731,517,459,1066,1041,2463,1146,1277,5042,705,8431,1530
"PG_RS08775",225,123,160,396,481,150,100,276,280,687,283,321,1135,165,2045,437
"PG_RS08780",1265,610,748,1698,2615,694,676,1345,1920,3169,1726,1859,6768,1134,9211,1818
"PG_RS08800",2078,1231,1313,3024,2785,2121,1764,2256,1655,4267,1301,2801,4984,1888,6767,3186
"PG_RS08805",467,355,381,630,700,552,564,689,354,1118,336,740,1322,424,2037,795
"PG_RS08815",382,225,523,612,590,448,615,409,413,1591,334,1411,1247,784,2335,1240
"PG_RS08820",86,61,97,127,122,89,104,84,106,393,85,324,323,178,839,264
"PG_RS08840",714,465,689,1013,1049,661,795,757,852,2409,627,2126,2389,949,3988,1791
"PG_RS08845",219,213,308,454,370,357,420,353,239,1260,233,840,693,576,1474,1164
"PG_RS08850",5038,2345,1810,10409,7260,7344,2923,3811,1885,6202,1558,1632,6357,6010,9191,5138
"PG_RS08855",752,892,1351,1400,2827,1217,2436,4337,364,2502,384,2423,5335,2719,11582,9452
"PG_RS08860",120,65,100,185,213,94,125,128,129,387,109,322,436,169,882,292
"PG_RS08865",3774,3939,5219,7298,8796,4271,6235,9303,4376,17429,4770,15626,18133,6097,32400,17306
"PG_RS08870",169,115,135,232,281,200,140,176,263,610,194,387,749,293,1327,428
"PG_RS08890",2676,1063,1458,4112,3781,1346,1089,2175,4233,7224,3589,4757,13818,2244,20044,3521
"PG_RS08920",1124,911,1426,1769,1681,1243,1537,1323,1301,4859,1260,4635,4465,2028,7972,3772
"PG_RS08925",4417,4130,6351,8757,7048,7979,8573,6493,5291,22541,5336,22287,17603,11989,29264,21641
"PG_RS08930",6406,6694,10738,12566,12520,9465,12443,11577,9554,35309,10881,41180,32910,15398,54579,33880
"PG_RS08935",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS08945",3418,3008,5417,8165,5856,6496,6386,4609,3128,18455,3699,11758,10583,8405,15939,12993
"PG_RS08950",164,173,335,341,412,231,502,481,165,1049,205,979,962,385,2638,1273
"PG_RS08960",5272,8248,11094,9703,13868,7365,13511,17287,4532,28697,6561,31947,29194,9934,60228,40623
"PG_RS08965",318,191,235,455,480,382,248,267,386,905,259,448,1034,515,1518,679
"PG_RS08970",68,42,131,78,158,75,130,117,133,438,134,476,511,107,1289,339
"PG_RS08985",1234,1114,1948,2589,2328,1528,2897,2456,1356,8138,1688,8065,7046,2423,13013,8240
"PG_RS08995",214,248,339,375,451,347,497,522,227,1169,252,1278,1097,465,2195,1298
"PG_RS09000",251,196,510,630,412,430,654,418,386,1720,304,1819,1200,783,1979,1603
"PG_RS09005",8,14,28,27,35,23,27,19,25,149,25,96,100,65,189,122
"PG_RS09010",516,345,735,1310,884,1211,887,566,923,6253,729,3264,2354,3090,3582,3294
"PG_RS09015",79,84,132,203,193,166,204,139,136,514,105,324,389,249,732,489
"PG_RS09020",240,155,141,292,342,183,188,216,269,602,190,258,660,285,1105,378
"PG_RS09025",131,115,119,236,300,177,143,180,249,902,246,339,894,348,1985,507
"PG_RS09030",767,433,658,1572,1037,971,837,623,790,3892,848,1614,2610,1921,5996,1977
"PG_RS09040",1045,1370,2273,1720,2405,1094,1760,2154,1604,6020,2003,10067,6246,1777,12291,5408
"PG_RS09045",186,223,298,255,447,131,187,401,201,920,311,1307,926,209,2055,841
"PG_RS09050",68,123,184,92,258,50,139,278,74,399,156,793,521,63,1435,511
"PG_RS09055",1724,910,1498,2816,3038,1859,1554,1124,2042,7342,2046,3022,4303,2942,13503,3139
"PG_RS09060",526,486,808,1315,1037,1073,1192,939,499,2904,525,1775,1747,1200,3624,2392
"PG_RS09070",767,655,727,1627,1141,1271,954,880,1030,4988,1131,2760,3709,1904,6067,2845
"PG_RS09075",332,332,474,642,810,441,858,785,409,2541,544,1649,2279,656,5747,2197
"PG_RS09085",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS09100",1,2,0,4,4,0,0,1,2,5,1,3,2,3,31,7
"PG_RS09105",1791,1627,3349,3436,3075,2953,4498,2794,1500,8299,1595,7254,5494,3752,10063,8209
"PG_RS09110",346,329,417,479,642,507,557,672,304,1126,348,1203,1392,434,2284,1172
"PG_RS09115",178,242,315,301,576,316,473,484,203,1012,243,987,1175,438,2753,1241
"PG_RS09120",0,0,5,0,3,5,4,0,0,9,2,15,6,6,31,11
"PG_RS09135",1979,1685,2619,3898,3524,3930,4153,3466,2026,9520,1909,7144,8082,4917,12744,10306
"PG_RS09145",1932,1799,2006,4060,3751,3475,3000,3249,2295,10590,2371,5970,7221,4503,12465,9695
"PG_RS09150",759,579,812,1476,1355,1071,1142,1150,1550,6978,1559,2688,5203,4590,9216,4727
"PG_RS09155",916,803,1223,1854,1651,1224,1583,1761,984,4528,986,3953,3872,1689,7327,4713
"PG_RS09160",933,1287,2445,2497,2795,1983,3178,3161,1252,8138,1855,11786,7376,2969,15441,11632
"PG_RS09165",666,716,1245,1046,1579,906,2313,1569,897,4123,936,6158,4143,1500,9048,4026
"PG_RS09175",14651,33987,37748,34641,56666,24948,46316,63547,22706,81661,28380,132785,95575,24084,286200,160263
"PG_RS09180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS09185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS09195",4365,8051,8616,10425,13251,8298,11669,12033,8232,22887,7720,30251,24825,8331,91508,33618
"PG_RS09200",1116,1071,1628,2711,1882,2330,2550,2025,763,7280,974,3507,3808,3414,9649,8176
"PG_RS09205",235,214,203,295,247,164,206,315,251,772,193,492,565,267,952,687
"PG_RS09210",1709,1938,1747,3999,3122,3469,2793,3564,2180,9898,2269,6136,6934,6069,12239,11456
"PG_RS09215",145,130,187,228,241,238,249,281,136,813,201,727,727,353,1263,945
"PG_RS09220",294,315,452,614,610,507,705,703,339,2119,394,1618,1564,790,3596,2335
"PG_RS09230",3328,2748,3072,4726,8516,3611,3969,6047,2667,13342,2792,5866,12297,4610,28073,11987
"PG_RS09235",9499,6923,10022,19927,16391,16990,16476,13365,10167,41083,11825,35949,32559,24673,57132,40495
"PG_RS09250",1676,2009,3517,3968,3534,3579,4760,4099,1386,10167,1598,8474,5254,3910,10458,11024
"PG_RS09265",2257,1823,3405,4528,3705,3070,4332,3903,2201,11388,2225,11792,9101,4185,14962,10026
"PG_RS09270",636,351,459,1068,999,942,764,713,818,3166,720,1525,2585,1719,4141,2416
"PG_RS09280",355,236,335,628,600,449,435,394,385,1442,362,848,1390,697,2340,1000
"PG_RS09285",1428,1378,2839,3714,2699,2881,4479,2950,1343,8398,1482,7939,5309,4019,11584,8361
"PG_RS09290",990,1186,1761,1821,1625,1490,2066,1981,1104,5523,1312,7078,4311,2084,8155,5517
"PG_RS09295",1883,1732,2991,3689,3388,2588,3607,3264,2251,11346,2388,10854,8853,4493,18019,10172
"PG_RS09300",2578,2843,3304,4996,4570,4746,4346,4557,2522,11456,2527,7227,8121,5133,14944,10457
"PG_RS09305",1482,1450,3120,3771,3320,3243,4579,3104,1563,9389,1861,8711,6804,4744,13783,9839
"PG_RS09310",20988,15508,23670,56143,35849,22250,34534,44149,15839,107739,15921,69087,73103,43792,156167,102707
"PG_RS09315",8379,7407,14314,19873,13721,12224,20051,19907,5217,45543,5230,38571,27101,19747,54726,53675
"PG_RS09320",25235,31091,49040,60448,59723,32098,58803,83315,16396,144645,22120,117810,93407,46181,234796,158233
"PG_RS09325",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS09330",9852,4014,6976,32843,18930,18012,11979,6725,11944,49074,13427,13707,35203,30328,59013,18543
"PG_RS09335",149,80,91,272,274,138,133,124,226,650,218,202,805,232,2721,256
"PG_RS09345",14,19,18,35,34,29,41,30,18,103,32,118,75,47,281,134
"PG_RS09350",26,42,67,69,63,65,77,75,61,258,67,202,248,144,586,297
"PG_RS09365",140,108,112,274,231,209,194,156,187,608,189,303,631,322,1013,387
"PG_RS09370",116,70,74,186,217,110,96,94,158,421,120,158,368,166,817,207
"PG_RS09375",3,0,3,4,6,5,8,6,7,15,3,19,27,13,86,14
"PG_RS09380",419,368,833,2359,1328,1770,1334,808,639,6822,1077,2394,3175,4555,15436,4523
"PG_RS09385",240,209,476,488,405,364,639,366,312,1584,344,2204,975,755,2386,1337
"PG_RS09390",351,340,577,699,617,409,675,619,492,2322,537,2132,1945,963,4193,2127
"PG_RS09395",651,869,1060,1447,1643,1033,1381,1595,812,5067,1117,3255,3296,1795,7966,4673
"PG_RS09405",1261,566,1455,3306,1720,1856,2163,1071,1290,5362,1819,4620,3662,2386,6110,3308
"PG_RS09420",64,76,149,210,288,158,256,282,79,658,137,535,597,245,1798,692
"PG_RS09425",91,58,110,227,175,177,174,126,109,568,106,254,416,286,1277,414
"PG_RS09445",7,14,12,15,24,10,30,30,14,50,23,22,45,19,169,37
"PG_RS09450",114,120,140,197,141,104,108,123,107,492,126,334,275,173,712,325
"PG_RS09455",248,249,245,295,398,127,260,526,181,856,180,662,968,213,1650,651
"PG_RS09460",91,99,96,123,110,37,125,140,69,251,75,253,231,89,580,267
"PG_RS09465",78,99,209,194,140,89,214,173,91,444,95,531,316,114,748,379
"PG_RS09470",276,263,269,437,344,197,283,364,205,845,235,814,684,265,1382,727
"PG_RS09475",334,178,163,516,420,213,165,277,321,949,298,475,1076,520,1526,516
"PG_RS09485",1113,689,1500,2947,2382,1866,2500,1539,1112,7649,1457,3952,5680,3965,12614,5699
"PG_RS09490",2592,2095,2991,6206,4408,4762,4607,3463,3182,14653,3198,8043,9843,6977,18476,11451
"PG_RS09495",584,596,970,1334,1212,852,1442,1289,700,3430,800,3521,3287,1258,5785,3158
"PG_RS09500",292,260,514,619,639,423,665,627,325,1669,331,1847,1468,572,3281,1619
"PG_RS09505",2466,3669,6319,6543,6880,5351,9642,8372,2665,19108,3843,23203,14106,6735,29832,23200
"PG_RS09510",788,852,1311,1382,1645,1191,1793,1774,883,4157,951,4913,4031,1661,7262,4840
"PG_RS09525",286,320,555,649,949,588,1323,1041,404,2508,483,2614,1874,1092,4189,3223
"PG_RS09530",1248,1005,2559,3485,2547,2695,3491,2168,1750,11435,2216,10550,8460,8505,15906,13891
"PG_RS09535",2238,2327,3530,4460,4541,3359,4637,4244,2903,13162,3190,12805,10821,5611,18921,11960
"PG_RS09540",2066,1826,1992,5402,3675,3572,2087,2516,1847,9753,2091,3692,6127,4395,10370,6675
"PG_RS09545",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS09550",17,33,36,56,62,43,45,44,29,136,47,112,97,67,274,152
"PG_RS09555",679,934,1315,1723,1863,1706,1789,1577,699,4563,1068,3360,2859,1926,5717,4431
"PG_RS09560",337,429,807,642,599,643,1123,715,353,1783,440,2035,1178,666,2401,1666
"PG_RS09565",512,675,978,975,1232,824,1525,1238,548,2973,616,2753,2283,852,5709,3000
"PG_RS09570",427,538,969,1070,1018,905,1374,1181,530,3340,722,3396,2508,1620,5123,3880
"PG_RS09580",259,235,530,556,390,492,790,440,225,1225,201,1910,972,650,1730,1474
"PG_RS09595",2819,2914,4570,6284,5445,5054,5903,5444,3492,16954,3683,14048,12119,7889,21214,16986
"PG_RS09600",1413,2246,4183,4077,4698,3035,5811,6260,1421,11216,2316,12842,7638,3988,21037,14300
"PG_RS09605",3029,2497,4124,8881,7273,3436,4803,6218,4201,20314,5758,11249,15799,6185,30739,11505
"PG_RS09610",420,464,676,1050,1515,586,892,1506,380,2439,669,1523,1892,713,6048,2287
"PG_RS09615",91,51,62,110,119,96,63,56,158,231,106,104,275,112,368,103
"PG_RS09625",72,48,62,82,127,62,58,74,101,303,87,215,342,133,614,189
"PG_RS09630",310,324,364,602,634,338,407,550,463,1932,484,1209,1611,696,3113,1597
"PG_RS09635",809,844,846,1406,1763,762,901,1447,1318,4214,1332,3221,5237,1495,7126,3627
"PG_RS09640",216,250,345,390,425,382,425,380,268,1002,351,852,961,468,2554,854
"PG_RS09650",2374,3291,5499,5465,6781,3528,7588,8430,2744,17243,3836,20788,14198,4876,32490,20626
"PG_RS09655",1003,894,2286,3701,2651,2955,3472,2351,1125,8562,1545,6020,5668,4212,11313,7829
"PG_RS09660",152,62,81,325,338,158,214,123,182,561,193,301,499,356,744,241
"PG_RS09665",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS09685",293,569,1340,1117,1159,400,1897,2065,321,4300,906,6176,3010,654,9252,6655
"PG_RS09700",341,357,419,602,569,526,641,640,416,2026,396,1383,1591,850,3040,2246
"PG_RS09705",15,26,40,54,74,31,53,88,32,161,38,176,178,77,497,266
"PG_RS09720",553,533,761,1119,1008,718,893,1001,589,2851,702,2115,2505,1060,4601,2521
"PG_RS09725",889,976,1292,1353,1766,822,1596,2083,569,3650,952,3635,4053,783,7546,4197
"PG_RS09730",2129,1681,2236,4241,5296,3344,2536,3096,3184,14560,3424,6887,14092,4846,23473,9062
"PG_RS09735",73,116,185,161,123,53,163,147,111,609,140,899,384,144,813,317
"PG_RS09740",23,2,27,93,85,53,36,0,103,149,101,140,283,216,492,214
"PG_RS09750",338,313,468,435,634,350,511,542,416,1211,441,1282,1382,498,2579,1033
"PG_RS09755",2360,2222,2974,4193,4746,2796,3528,3539,2774,8777,3511,7635,9868,3449,17807,6055
"PG_RS09760",3688,3478,7432,10267,7877,8419,11692,8740,3108,22180,3504,22554,16983,11249,34203,28692
"PG_RS09765",1736,1726,3299,4052,3554,2570,4509,3997,1481,10472,1609,9213,7652,4491,17789,12496
"PG_RS09770",212,247,358,441,527,248,481,532,180,1218,213,896,1224,466,2702,1490
"PG_RS09780",1503,1546,1556,2197,3798,2841,2489,3479,1871,5634,1658,4498,7734,3915,13154,7671
"PG_RS09785",461,505,535,784,2246,1293,1556,2347,457,2251,565,1966,4706,1853,7652,4733
"PG_RS09790",2110,2132,3711,5155,4171,2996,4880,4528,2090,13610,2667,11485,8698,5676,18439,12229
"PG_RS09795",1710,2185,3088,2894,5253,2117,3650,4964,2274,9466,2991,10702,11369,3135,24760,13101
"PG_RS09800",29,41,80,63,156,75,160,153,40,279,66,344,381,126,1119,612
"PG_RS09805",29,36,49,52,116,68,96,102,36,164,58,223,278,125,686,401
"PG_RS09815",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS09820",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS09825",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PG_RS09830",5,1,10,12,10,9,11,1,14,47,19,14,52,24,144,21
"PG_RS09835",31,8,7,28,23,18,16,15,30,81,26,20,108,59,550,26
"PG_RS09840",157,237,238,251,434,203,313,406,264,1088,328,1012,1187,361,2316,1118
"PG_RS09845",2057,2293,2545,3266,3351,3126,3348,2908,2057,6830,2248,5397,5806,2554,9331,5850
"PG_RS09850",271,362,514,627,665,437,656,643,438,2629,639,2067,2054,748,4031,2405
"PG_RS09865",858,844,1544,1715,1081,1051,1771,1090,811,4413,874,5297,2203,1468,4457,3243
"PG_RS09870",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG_RS09875",12,10,19,23,19,19,30,11,22,90,25,84,56,47,163,68
"PG_RS09885",533,527,785,1066,975,841,1240,1068,487,2265,452,2026,1801,971,3517,2485
"PG_RS09890",413,588,1236,1028,934,778,1639,1191,443,2362,527,4305,2140,834,4327,3194
"PG_RS09895",1120,609,1720,2366,1325,1621,2545,935,1417,4987,1052,4705,3415,3892,5731,3683
"PG_RS09900",28,15,43,54,67,53,65,38,53,196,47,128,237,161,437,211
"PG_RS09905",134,157,231,295,261,264,440,309,157,893,186,1043,862,568,1862,1469
"PG_RS09910",84,90,146,240,172,166,198,129,139,854,127,488,501,449,1213,731
"PG_RS09920",268,105,151,383,379,212,127,190,358,982,307,305,1068,418,1816,378
"PG_RS09925",28,49,60,87,91,77,88,79,60,249,66,190,285,116,685,246
"PG_RS09930",675,349,553,1513,1346,1145,1080,986,748,4037,773,1929,3787,2674,6483,2922
"PG_RS09940",159,192,188,279,403,221,243,328,158,582,187,661,684,228,1308,649
"PG_RS09955",93,115,219,254,273,226,341,294,100,863,160,758,718,499,1682,898
"PG_RS09970",2,0,6,16,9,12,4,6,13,41,10,24,30,41,68,40
"PG_RS09975",17,15,20,32,60,75,68,24,26,108,15,94,170,128,294,193
"PG_RS10005",1,0,0,0,3,3,1,0,1,6,5,6,10,1,29,3
"PG_RS10040",7,4,4,19,13,9,18,5,19,53,13,34,60,32,102,37
"PG_RS10055",110,121,319,269,250,219,415,319,100,516,114,787,310,186,934,641
"PG_RS10060",1,1,3,10,2,4,7,3,2,16,7,9,28,21,75,13
"PG_RS10080",50,54,74,127,105,58,66,76,74,252,66,165,317,98,507,220
"PG_RS10090",149,133,177,331,281,199,283,292,151,646,144,466,574,279,1219,515
"PG_RS10105",0,1,2,1,3,1,3,2,5,9,8,5,19,11,73,9
"PG_RS10115",678,397,631,1589,1266,736,877,920,895,3447,941,2221,3665,1600,5982,2166
"PG_RS10120",6,0,6,3,8,4,8,5,5,30,6,39,16,11,77,39
"PG_RS10140",5,4,5,10,2,1,15,4,4,7,3,26,14,11,39,13
"PG_RS10155",110,95,142,198,211,103,186,210,146,463,107,337,422,165,861,364
"PG_RS10160",240,270,193,339,470,234,154,438,189,545,299,523,946,238,1426,469
"PG_RS10165",25,32,36,33,29,23,16,43,27,152,49,173,101,38,273,98
"PG_RS10175",2,2,3,6,7,2,2,1,2,18,3,2,13,10,33,12
"PG_RS10200",1,1,6,8,6,5,11,3,5,37,5,26,15,26,58,34
"PG_RS10215",4,0,10,19,13,15,21,11,9,41,8,31,25,33,74,36
"PG_RS10220",4,11,20,12,20,17,71,18,8,48,15,86,48,36,155,86
"PG_RS10225",137,144,192,422,206,185,206,109,215,937,235,422,478,344,836,347
"PG_RS10235",134,85,140,427,239,161,192,174,177,922,242,580,699,482,1164,564
"PG_RS10250",3,1,0,3,1,1,3,0,6,16,3,5,14,9,17,5
"PG_RS10275",10,3,3,11,8,5,8,4,11,18,9,4,19,9,55,10
"PG_RS10280",130,37,89,81,29,94,27,185,18,136,93,124,112,103,397,144
"PG_RS10295",909,668,931,1292,1092,485,707,920,1018,3725,693,2884,3362,1172,4861,2644
"PG_RS10335",38,55,68,84,96,79,82,89,63,173,74,236,251,53,454,211
"PG_RS10350",0,0,0,1,2,1,0,1,0,0,0,0,2,3,3,0
"PG_RS10355",168012,111331,91575,342070,221584,179194,88490,110611,216610,597767,247300,260685,396360,314501,666665,272437
"PG_RS10395",0,0,2,4,7,4,8,0,4,12,3,20,9,5,2,15
"PG_RS10410",102,12,30,126,102,86,43,37,94,291,81,80,248,181,393,146
"PG_RS10450",9,17,15,17,32,32,36,28,25,59,9,60,48,33,146,52
"PG_RS10460",0,0,4,4,6,3,8,6,5,7,2,15,14,18,56,21
"PG_RS10470",21,28,43,70,76,21,60,94,27,155,42,141,132,35,487,183
"PG_RS10475",113,187,313,403,529,315,544,226,299,1420,333,1503,1267,593,2381,1340
"PG_RS10480",309,120,254,801,519,438,332,217,460,1397,531,460,1462,791,5218,506
"PG_RS10510",4,3,0,6,5,3,6,3,5,12,5,4,11,7,32,8
"PG_RS10515",33,15,27,64,42,25,38,27,39,135,40,92,99,60,167,79
