"gene_id","Raw Counts WT Replicate 1","Raw Counts WT Replicate 2","Raw Counts WT Replicate 3","Raw Counts II1046 Replicate 1","Raw Counts II1046 Replicate 2","Raw Counts II1046 Replicate 3"
"BP1026B_I0340",434,268,283,450,453,471
"BP1026B_I0341",386,352,374,398,384,455
"BP1026B_I0342",772,430,477,625,639,678
"BP1026B_I0343",445,288,349,465,461,534
"BP1026B_I0344",219,191,195,225,216,246
"BP1026B_I0345",424,207,254,312,314,321
"BP1026B_I0346",654,439,484,428,459,480
"predicted RNA",81,35,37,35,33,42
"BP1026B_I0347",420,300,333,289,264,312
"BP1026B_I0348",434,293,336,271,284,291
"BP1026B_I0349",743,412,444,426,420,409
"BP1026B_I0350",5905,5032,5858,4898,4854,5514
"BP1026B_I0351",1303,1086,1295,950,1072,1193
"BP1026B_I0352",1900,1753,2092,1731,1758,1922
"BP1026B_I0353",1180,591,625,696,665,709
"BP1026B_I0354",861,575,708,692,659,767
"BP1026B_I0355",918,522,689,614,667,679
"BP1026B_I0356",16666,13528,15358,12398,12211,13891
"predicted RNA",1780,1225,1332,809,797,1030
"BP1026B_I0357",31504,27596,32698,27522,27310,31472
"BP1026B_I0358",148,101,92,125,122,115
"BP1026B_I0359",129,117,117,135,132,136
"BP1026B_I0360",85,61,75,84,99,106
"BP1026B_I0361",977,661,800,1468,1459,1607
"BP1026B_I0362",574,251,317,619,596,750
"BP1026B_I0363",279,157,151,150,192,193
"BP1026B_I0364",62,38,46,43,56,58
"BP1026B_I0365",142,74,89,121,129,125
"BP1026B_I0366",122,86,67,120,115,127
"BP1026B_I0367",2030,2154,2632,2986,3013,3356
"BP1026B_I0368",3483,2205,2329,2398,2355,2480
"predicted RNA",255,130,139,129,114,128
"BP1026B_I0369",2393,1565,1762,1370,1394,1495
"BP1026B_I0370",790,422,470,554,511,598
"BP1026B_I0371",672,291,290,385,358,404
"BP1026B_I0372",9479,7147,8534,7896,7648,8570
"predicted RNA",30,21,26,27,25,33
"BP1026B_I0373",1494,1127,1268,1337,1328,1461
"BP1026B_I0374",3310,2136,2249,3097,3046,3193
"BP1026B_I0375",2576,1672,1846,1899,1737,2027
"BP1026B_I0376",358,275,314,303,340,338
"BP1026B_I0377",509,232,307,217,216,233
"BP1026B_I0378",679,441,484,357,317,366
"BP1026B_I0379",624,399,475,377,333,407
"BP1026B_I0380",2169,1437,1733,1729,1724,1957
"BP1026B_I0381",1549,1087,1220,1369,1308,1463
"BP1026B_I0382",3596,2650,3139,2953,2806,3307
"BP1026B_I0383",117,54,68,63,62,74
"BP1026B_I0384",813,402,467,493,445,464
"BP1026B_I0385",23584,20476,24959,26214,26354,29384
"BP1026B_I0386",27944,33695,39072,28965,29076,32851
"BP1026B_I0387",1294,1509,1738,1703,1678,1862
"BP1026B_I0388",1450,1248,1504,1709,1669,1797
"BP1026B_I0389",4433,3712,4590,4609,4428,5239
