"gene_id","Raw Counts WT Replicate 1","Raw Counts WT Replicate 2","Raw Counts WT Replicate 3","Raw Counts II1046 Replicate 1","Raw Counts II1046 Replicate 2","Raw Counts II1046 Replicate 3"
"BP1026B_I1022",7,5,2,8,6,4
"BP1026B_I1023",452,263,312,311,299,337
"BP1026B_I1024",7817,5923,6902,6062,6165,6586
"predicted RNA",95,30,42,48,51,49
"BP1026B_I1025",1304,947,1084,1020,1051,1093
"BP1026B_I1026",5713,3939,4662,3249,3369,3593
"BP1026B_I1027",4973,3261,3738,3294,3351,3771
"BP1026B_I1028",4304,2910,3362,4684,4610,5231
"predicted RNA",143,101,133,155,161,196
"BP1026B_I1029",2105,1286,1570,2459,2422,2710
"BP1026B_I1030",1678,1442,1602,2292,2248,2636
"BP1026B_I1031",10053,10930,12928,5673,5794,6501
"BP1026B_I1032",59,47,51,86,73,79
"BP1026B_I1033",5697,3247,3903,2373,2389,2626
"BP1026B_I1034",953,799,926,845,756,911
"BP1026B_I1035",9181,5180,6171,6531,6548,7328
"BP1026B_I1036",1040,704,837,654,699,771
"predicted RNA",211,101,119,90,81,109
"BP1026B_I1037",2074,1449,1703,1141,1129,1298
"BP1026B_I1038",202,115,141,190,189,189
"BP1026B_I1039",1806,1328,1428,1310,1367,1492
"BP1026B_I1040",400,331,394,376,352,400
"BP1026B_I1041",1505,1342,1603,1183,1137,1382
"BP1026B_I1042",770,646,732,728,692,811
"BP1026B_I1043",312,272,281,270,269,269
"BP1026B_I1044",321,215,259,271,273,308
"BP1026B_I1045",919,658,746,874,858,922
"BP1026B_I1046",291,308,404,523,548,640
"BP1026B_I1047",328,267,294,471,494,582
"BP1026B_I1048",399,211,257,270,271,258
"BP1026B_I1049",2104,1754,2094,2130,2134,2405
"BP1026B_I1050",5897,4446,5282,5761,5523,6195
"BP1026B_I1051",1313,730,790,656,644,711
"BP1026B_I1052",522,278,318,247,269,304
"predicted RNA",385,163,185,268,247,246
"BP1026B_I1053",2696,2018,2289,2246,2232,2409
"BP1026B_I1054",1754,1064,1172,992,1003,1063
"BP1026B_I1055",927,471,540,578,530,547
"BP1026B_I1056",2759,1166,1391,1342,1363,1524
"BP1026B_I1057",3946,2644,3053,2254,2265,2454
"BP1026B_I1058",13725,10223,12239,11443,11514,12636
"BP1026B_I1059",2806,2279,2587,2274,2386,2423
"predicted RNA",279,155,197,156,171,189
"BP1026B_I1060",13751,12575,14964,10541,10790,11948
"BP1026B_I1061",1490,1025,1246,1050,986,1201
"BP1026B_I1062",1535,942,987,1053,1004,1058
"BP1026B_I1063",5578,3323,3935,3910,4011,4349
"BP1026B_I1064",2956,2157,2581,2598,2462,2780
"predicted RNA",115,49,65,51,55,73
"BP1026B_I1065",433,270,281,267,251,277
"BP1026B_I1066",1609,1068,1229,1180,1086,1197
"BP1026B_I1067",868,359,404,411,344,382
"BP1026B_I1068",3570,2129,2295,2404,2260,2355
"predicted RNA",40,20,27,16,16,20
"BP1026B_I1069",695,446,543,492,501,574
"BP1026B_I1071",800,631,795,873,890,967
"BP1026B_I1070",5650,4322,5130,4102,4308,4754
"BP1026B_I1072",859,484,515,483,431,460
"BP1026B_I1073",4518,3187,3704,3091,3058,3340
"BP1026B_I1074",5233,3452,4075,3164,3145,3506
"BP1026B_I1075",2061,1309,1520,1798,1758,1986
"predicted RNA",466,548,621,525,550,593
"BP1026B_I1076",14712,21296,25247,27393,27993,28576
"BP1026B_I1077",830,584,735,607,637,674
"BP1026B_I1078",4738,4965,5887,5111,5038,6033
"BP1026B_I1079",1913,1602,1794,1607,1565,1712
"BP1026B_I1080",2166,1959,2217,1813,1727,1958
"BP1026B_I1081",449,492,574,559,587,640
"BP1026B_I1082",46,31,44,72,75,82
"BP1026B_I1083",19,13,16,29,32,37
"BP1026B_I1084",63,62,90,127,112,130
"BP1026B_I1085",86,54,66,58,70,86
"BP1026B_I1086",40,36,52,61,64,64
"BP1026B_I1087",16,17,36,49,44,50
"BP1026B_I1088",12,9,11,34,25,32
"BP1026B_I1089",1103,956,1136,1365,1336,1580
"BP1026B_I1090",43,46,63,91,103,113
"BP1026B_I1091",23,14,19,43,41,39
"BP1026B_I1092",7,7,8,15,20,14
"BP1026B_I1093",79,66,87,150,148,173
"BP1026B_I1094",738,516,624,1162,1225,1356
"BP1026B_I1095",161,150,177,224,210,242
"BP1026B_I1096",37,29,33,45,42,55
"BP1026B_I1097",167,79,103,210,206,254
"BP1026B_I1098",376,316,333,697,673,781
"BP1026B_I1099",119,53,59,103,102,133
"BP1026B_I1100",317,188,230,517,497,531
"BP1026B_I1101",432,282,331,770,726,847
"BP1026B_I1102",309,169,180,381,376,380
"BP1026B_I1103",649,423,510,1263,1245,1430
"BP1026B_I1104",229,114,149,303,290,339
"BP1026B_I1105",193,106,132,416,409,507
"BP1026B_I1106",133,82,119,312,328,363
"BP1026B_I1107",252,178,179,495,471,588
"BP1026B_I1108",38,33,35,113,104,126
"BP1026B_I1109",115,74,84,201,218,203
"BP1026B_I1110",258,177,158,409,454,472
"BP1026B_I1111",203,131,158,390,369,446
"BP1026B_I1112",406,364,392,916,866,990
"BP1026B_I1113",175,140,150,321,306,351
"BP1026B_I1114",620,413,495,931,922,1054
"BP1026B_I1115",353,261,316,533,556,631
"BP1026B_I1116",120,80,97,197,206,205
"BP1026B_I1117",36,26,31,69,82,87
"BP1026B_I1118",376,322,363,726,677,832
"BP1026B_I1119",118,84,116,194,212,204
"BP1026B_I1120",14,15,13,29,28,33
"BP1026B_I1121",180,104,120,276,238,310
"BP1026B_I1122",54,54,74,163,141,181
"BP1026B_I1123",197,138,135,259,239,236
"BP1026B_I1124",175,138,156,232,219,230
"BP1026B_I1125",606,844,933,478,487,536
"BP1026B_I1126",890,845,933,455,429,526
"BP1026B_I1127",638,437,450,233,215,275
"BP1026B_I1128",327,154,207,135,145,142
"BP1026B_I1129",329,225,263,183,181,221
"BP1026B_I1130",94,109,113,188,186,199
"BP1026B_I1131",449,336,422,623,632,688
"BP1026B_I1132",229,180,229,258,262,297
"BP1026B_I1133",900,1028,1143,1525,1446,1920
"BP1026B_I1134",30,26,43,53,48,56
"BP1026B_I1135",21,30,32,55,30,50
"BP1026B_I1137",298,532,624,561,546,628
"predicted RNA",180,133,146,169,170,201
"BP1026B_I1138",51,45,44,25,31,43
"BP1026B_I1139",3759,3204,3810,3078,3163,3510
"BP1026B_I1140",1616,820,904,812,777,911
"BP1026B_I1141",1255,696,743,805,733,838
"BP1026B_I1142",1748,1761,2082,1705,1701,1940
"BP1026B_I1143",6354,6104,6892,5901,6052,6916
"BP1026B_I1144",4309,3955,4771,3406,3608,3920
"BP1026B_I1145",6244,2621,3046,3093,3015,3358
"BP1026B_I1146",15034,11821,14208,14412,14536,16507
"BP1026B_I1147",2883,2041,2172,1802,1699,1879
"BP1026B_I1148",5087,3843,4273,3640,3660,4188
"BP1026B_I1149",1757,835,927,891,898,953
"BP1026B_I1150",2874,2791,3541,2855,2898,3246
"BP1026B_I1151",351,438,512,461,466,533
"BP1026B_I1152",784,528,600,403,356,438
"BP1026B_I1153",407,234,278,155,174,185
"BP1026B_I1154",185,105,127,79,70,82
"BP1026B_I1155",567,363,428,323,296,345
"BP1026B_I1156",203,101,108,66,73,95
"BP1026B_I1157",1205,680,763,650,615,654
"BP1026B_I1158",307,192,208,141,134,138
"BP1026B_I1159",196,108,123,85,80,92
"BP1026B_I1160",211,128,164,79,63,72
"BP1026B_I1161",3003,1671,1853,1131,1027,1093
"BP1026B_I1162",279,185,180,66,57,72
"BP1026B_I1163",208,173,189,77,74,78
"BP1026B_I1164",234,219,238,95,87,92
"BP1026B_I1165",220,180,231,83,64,84
"BP1026B_I1166",340,179,197,103,91,105
"BP1026B_I1167",155,97,106,36,30,45
"BP1026B_I1168",253,145,163,105,88,132
"BP1026B_I1169",658,306,317,136,163,160
"BP1026B_I1170",201,174,197,153,131,141
"BP1026B_I1171",407,253,301,139,130,184
"BP1026B_I1173",236,172,223,82,87,92
"BP1026B_I1172",843,533,672,599,604,688
"BP1026B_I1174",316,188,187,112,112,119
"BP1026B_I1175",360,197,235,139,119,140
"BP1026B_I1176",706,437,445,200,184,228
"BP1026B_I1177",178,87,116,124,112,137
"BP1026B_I1178",826,367,486,356,386,423
"BP1026B_I1179",356,180,209,256,275,301
"BP1026B_I1180",59,34,46,24,28,32
"BP1026B_I1182",26,23,21,33,28,29
"BP1026B_I1183",253,131,161,150,188,186
"BP1026B_I1184",70,21,37,58,43,58
"BP1026B_I1185",179,158,143,116,118,127
"BP1026B_I1187",4226,2975,3680,2380,2282,2543
"BP1026B_I1186",2009,909,1043,1005,966,1103
"BP1026B_I1188",528,401,461,491,473,503
"BP1026B_I1189",670,437,508,504,499,565
"BP1026B_I1190",1623,949,1018,843,857,935
"BP1026B_I1191",167,81,92,82,106,116
"BP1026B_I1192",1945,2015,2270,1985,2029,2280
"BP1026B_I1193",304,187,228,244,234,252
"BP1026B_I1194",1706,1268,1517,1333,1350,1561
"BP1026B_I1195",736,860,1062,1073,1122,1161
"BP1026B_I1196",3757,4039,4675,3714,3949,4406
"BP1026B_I1197",3051,3444,4080,3338,3457,3904
"BP1026B_I1198",1387,1839,2372,1850,1897,2051
"BP1026B_I1199",972,1055,1267,1149,1180,1298
"BP1026B_I1200",243,156,179,203,200,236
"BP1026B_I1201",159,98,105,93,102,95
"BP1026B_I1202",712,467,490,421,377,415
"BP1026B_I1203",364,322,338,202,215,209
"predicted RNA",85,89,119,46,56,55
"BP1026B_I1204",6995,6492,7495,4208,4338,4628
"BP1026B_I1205",582,441,470,453,430,445
"BP1026B_I1206",1181,673,776,584,645,675
"BP1026B_I1207",580,491,535,306,321,386
"BP1026B_I1208",43538,38944,47806,24851,24391,27375
"BP1026B_I1209",7147,5530,5945,6204,5778,6456
"BP1026B_I1211",2368,2793,3599,2788,2741,2965
"BP1026B_I1212",600,404,471,417,397,399
"BP1026B_I1210",794,434,546,466,434,489
"BP1026B_I1213",1325,678,766,550,548,632
"BP1026B_I1214",878,483,589,567,581,606
"BP1026B_I1215",1326,749,863,760,738,805
"BP1026B_I1216",1729,1457,1632,1509,1529,1641
"BP1026B_I1217",3203,1731,1940,1580,1579,1726
"BP1026B_I1218",2466,1356,1690,1300,1336,1497
"BP1026B_I1219",315,229,186,210,210,251
"BP1026B_I1220",2595,1665,1908,1613,1610,1765
"BP1026B_I1221",351,289,353,182,181,220
"BP1026B_I1222",849,471,567,559,489,549
"BP1026B_I1223",193,111,122,132,130,161
"BP1026B_I1224",1044,564,661,553,563,643
"BP1026B_I1225",671,404,465,393,427,429
"BP1026B_I1226",2811,1373,1455,1264,1267,1281
"BP1026B_I1227",3149,1792,2203,1967,1907,2127
"BP1026B_I1229",1408,749,882,773,737,895
"BP1026B_I1228",899,464,496,514,494,505
"BP1026B_I1230",8823,5073,5609,4673,4451,4944
"BP1026B_I1231",4351,2196,2366,2374,2197,2469
"BP1026B_I1232",1831,1337,1529,1211,1265,1288
"BP1026B_I1233",749,531,605,357,374,416
"predicted RNA",68,46,49,30,26,26
"BP1026B_I1234",1452,700,777,772,719,782
"BP1026B_I1235",3242,1901,2239,1719,1671,1907
"BP1026B_I1236",1809,1449,1828,1554,1631,1718
"BP1026B_I1237",9370,6785,7695,12608,12318,13888
"BP1026B_I1238",2965,2484,2999,3694,3631,4177
"predicted RNA",69,64,66,54,55,79
"BP1026B_I1239",4057,3636,4293,4367,4335,4914
"predicted RNA",351,255,300,379,342,416
"BP1026B_I1240",3868,2139,2495,3155,3231,3405
"BP1026B_I1241",892,573,612,765,765,867
"BP1026B_I1242",3361,1692,2045,1906,1779,2026
"BP1026B_I1243",2989,1663,1845,2097,2096,2296
"BP1026B_I1244",17052,13763,16323,14523,14585,16456
"BP1026B_I1245",5144,3443,3850,3765,3800,4195
"BP1026B_I1246",4477,2878,3195,3288,3374,3666
"predicted RNA",329,177,217,180,175,195
"BP1026B_I1247",1163,843,1026,826,916,1040
"BP1026B_I1248",2510,1834,2146,2222,2161,2541
"BP1026B_I1250",3064,1729,1984,2070,1990,2223
"BP1026B_I1249",1089,593,632,854,825,867
"BP1026B_I1251",1502,869,933,1074,1079,1086
"BP1026B_I1252",5337,3011,3505,3746,3824,4245
"BP1026B_I1253",380,342,379,235,247,247
"BP1026B_I1254",278,149,141,126,119,115
"BP1026B_I1255",29379,25799,30756,21987,21720,24155
"BP1026B_I1256",396,328,386,339,323,356
"BP1026B_I1257",943,1125,1396,876,885,963
"BP1026B_I1258",2662,1567,1880,1302,1294,1445
"BP1026B_I1259",1144,1011,1252,760,845,951
"BP1026B_I1260",1569,904,997,768,849,867
"predicted RNA",262,121,128,90,106,103
"BP1026B_I1261",985,535,600,533,527,563
"BP1026B_I1262",131,93,113,75,92,83
"BP1026B_I1263",391,226,204,196,178,193
"BP1026B_I1264",130,87,105,81,84,100
"BP1026B_I1265",8395,6562,7713,5314,5351,5940
"BP1026B_I1266",2021,1555,1729,1542,1354,1499
"BP1026B_I1267",3247,2573,2967,2038,2076,2360
"BP1026B_I1268",301,227,303,228,249,245
"BP1026B_I1269",914,688,873,941,960,1106
"BP1026B_I1270",650,534,633,632,639,727
"BP1026B_I1271",760,623,694,727,655,760
"predicted RNA",43,40,51,80,84,96
"BP1026B_I1272",497,737,755,871,860,976
"BP1026B_I1273",76,74,100,121,137,143
"BP1026B_I1274",50,46,43,36,44,48
"BP1026B_I1275",676,462,566,253,278,308
"predicted RNA",54,23,19,8,5,6
"predicted RNA",140,50,48,34,37,45
"predicted RNA",353,169,220,215,207,209
"BP1026B_I1276",684,513,577,547,506,565
"BP1026B_I1277",352,212,240,229,225,222
"BP1026B_I1278",562,402,495,382,391,448
"BP1026B_I1279",54,45,40,38,31,45
"BP1026B_I1280",48,26,29,39,39,37
"BP1026B_I1281",76,43,39,47,39,44
"BP1026B_I1283",429,334,328,297,315,332
"BP1026B_I1282",310,188,202,154,161,162
"BP1026B_I1284",594,425,524,345,336,387
"BP1026B_I1285",182,127,126,98,82,104
"BP1026B_I1286",539,319,372,396,375,457
"BP1026B_I1287",96,84,76,86,80,106
"BP1026B_I1288",54,26,34,26,24,35
"BP1026B_I1289",579,242,305,339,317,376
"BP1026B_I1290",451,283,356,452,412,500
"BP1026B_I1291",192,161,214,142,154,161
"BP1026B_I1292",228,176,168,118,105,127
"BP1026B_I1293",966,772,876,928,924,959
"predicted RNA",375,257,342,275,289,337
"BP1026B_I1294",3328,4024,4749,3540,3626,3953
"BP1026B_I1295",2515,1721,1866,2000,2047,2064
"BP1026B_I1296",7678,4470,5218,5500,5572,6131
"BP1026B_I1297",3223,1842,2195,1736,1701,1918
"BP1026B_I1298",232,140,136,129,126,128
"predicted RNA",132,56,74,29,24,33
"BP1026B_I1299",1436,741,801,504,470,550
"BP1026B_I1300",2620,1946,2268,1358,1384,1546
"predicted RNA",48,24,24,25,20,26
"BP1026B_I1301",5017,3179,3572,2387,2391,2604
"BP1026B_I1302",432,305,325,388,404,439
"BP1026B_I1303",203,144,204,179,143,167
"BP1026B_I1304",6729,5844,6932,2946,2827,3284
"BP1026B_I1305",72418,81817,99069,46882,46382,53282
"BP1026B_I1306",2006,1794,2308,1415,1368,1882
"BP1026B_I1307",2031,1331,1496,1206,1253,1389
"BP1026B_I1308",1970,2051,2359,1502,1550,1706
"BP1026B_I1309",153,99,105,89,88,114
"BP1026B_I1310",514,368,400,344,371,370
"BP1026B_I1311",673,382,425,292,287,321
"BP1026B_I1312",702,395,460,255,253,271
"BP1026B_I1313",354,176,198,146,134,140
"BP1026B_I1314",83,37,45,40,48,48
"BP1026B_I1315",671,568,668,688,771,817
"BP1026B_I1316",314,217,218,127,125,141
"BP1026B_I1317",224,134,156,112,125,114
"BP1026B_I1318",293,168,169,143,142,154
"BP1026B_I1319",1632,1370,1489,1268,1234,1359
"BP1026B_I1320",3064,2087,2472,1943,1938,2308
"BP1026B_I1321",2143,1692,2138,1692,1728,2115
"BP1026B_I1322",19,22,24,30,29,27
"BP1026B_I1323",50,48,62,104,100,83
"BP1026B_I1324",52,47,46,50,56,51
"BP1026B_I1325",21,13,15,8,12,13
"BP1026B_I1326",14,9,7,10,17,19
"BP1026B_I1328",177,115,121,140,158,138
"BP1026B_I1329",181,96,122,119,117,110
"BP1026B_I1330",329,290,322,191,214,202
"BP1026B_I1331",417,210,225,200,202,201
"BP1026B_I1332",29,12,7,13,9,15
"BP1026B_I1333",10260,9819,11083,9805,9858,11268
"BP1026B_I1334",7721,7848,9137,6549,6539,7434
"BP1026B_I1335",17384,16202,18955,14797,14849,16668
"BP1026B_I1336",53992,47173,55742,44725,44389,49659
"BP1026B_I1337",584,439,548,692,688,722
"BP1026B_I1338",7133,5765,7395,8791,8547,10364
"BP1026B_I1339",68,62,44,40,40,58
"BP1026B_I1340",1091,785,874,993,988,1042
"predicted RNA",163,71,72,112,94,95
"BP1026B_I1342",70,38,54,50,38,53
"BP1026B_I1343",781,852,975,804,850,885
"BP1026B_I1344",6723,4593,5249,4670,4671,5285
"BP1026B_I1345",737,453,526,510,579,678
"BP1026B_I1346",1970,941,1026,889,858,980
"BP1026B_I1347",1350,799,912,677,673,768
"BP1026B_I1348",2446,1520,1748,1178,1163,1289
"BP1026B_I1349",1582,933,920,908,876,876
"BP1026B_I1350",1426,671,753,737,726,756
"BP1026B_I1351",10431,5490,6160,6529,6396,6832
"BP1026B_I1352",1402,836,839,1054,968,1007
"BP1026B_I1353",5642,3531,4180,2795,2783,3138
"BP1026B_I1354",940,596,688,646,638,671
"BP1026B_I1355",2196,1596,1883,1559,1565,1705
"BP1026B_I1356",2895,1781,1960,1571,1556,1693
"BP1026B_I1357",1386,1037,1141,992,1018,1048
"BP1026B_I1358",480,282,333,274,254,285
"BP1026B_I1359",7672,5250,5832,5560,5543,6157
"BP1026B_I1360",1268,710,860,946,951,1045
"BP1026B_I1361",1472,956,1050,794,784,851
"predicted RNA",90,29,35,35,33,39
"BP1026B_I1362",258,179,217,178,185,179
"BP1026B_I1363",1700,1045,1196,812,797,813
"BP1026B_I1364",1572,957,1114,815,736,876
"BP1026B_I1365",2262,1337,1407,1163,1067,1202
"BP1026B_I1366",1247,585,666,597,585,634
"BP1026B_I1367",772,400,434,342,321,374
"BP1026B_I1368",1095,598,628,490,490,507
"BP1026B_I1369",1661,1045,1107,879,863,919
"BP1026B_I1370",3816,1794,2105,2397,2407,2757
"BP1026B_I1371",1439,1081,1202,992,985,1096
"BP1026B_I1372",2562,1553,1577,1435,1446,1530
"predicted RNA",52,19,19,22,20,20
"BP1026B_I1373",1116,655,746,682,723,796
"BP1026B_I1374",1253,758,864,653,660,753
"BP1026B_I1375",7494,4480,5110,3048,2758,2968
"BP1026B_I1376",2624,1839,2016,1798,1853,1988
"BP1026B_I1377",2030,1298,1531,1361,1391,1500
"BP1026B_I1378",560,319,334,252,253,276
"BP1026B_I1379",1617,901,1033,522,578,626
"BP1026B_I1380",258811,124846,150303,87438,85376,93939
"BP1026B_I1381",142,68,87,51,60,71
"BP1026B_I1382",14322,11038,12856,7957,8044,8867
"BP1026B_I1383",1167,482,541,516,505,527
"BP1026B_I1384",1279,1333,1512,1085,1116,1202
"BP1026B_I1385",37,32,23,39,28,34
"BP1026B_I1386",191,114,140,160,158,168
"BP1026B_I1387",119,59,82,82,94,102
"BP1026B_I1388",798,499,602,595,583,666
"BP1026B_I1389",38,20,27,30,29,27
"BP1026B_I1390",28,19,33,30,22,23
"BP1026B_I1391",143,99,97,138,108,140
"BP1026B_I1392",145,83,85,125,120,125
"predicted RNA",34,42,45,43,45,59
"BP1026B_I1393",3071,3167,3757,3247,3234,3732
"BP1026B_I1394",6235,6502,7739,8015,7860,9101
"BP1026B_I1395",18905,15827,18263,26805,26988,29714
"BP1026B_I1396",1045,797,1020,895,942,967
"BP1026B_I1397",2474,2163,2577,2216,2226,2479
"BP1026B_I1398",1524,1065,1268,1469,1468,1598
"BP1026B_I1399",672,465,521,436,445,451
"BP1026B_I1400",8487,5984,6942,5091,5013,5555
"BP1026B_I1401",598,614,687,453,478,543
"BP1026B_I1402",1833,1236,1420,1490,1455,1603
"BP1026B_I1403",3694,3233,3894,3669,3761,4118
"BP1026B_I1404",1531,795,869,1012,1025,1108
"BP1026B_I1405",1246,814,1021,1004,961,1146
"BP1026B_I1406",1828,1391,1595,1663,1576,1804
"BP1026B_I1407",685,440,565,680,669,662
"BP1026B_I1408",987,705,846,850,854,881
"BP1026B_I1409",174,164,193,175,174,183
"BP1026B_I1410",2982,2062,2428,2454,2373,2702
"BP1026B_I1411",2778,1913,2218,1927,1887,2138
"BP1026B_I1412",2135,1706,2074,2304,2257,2625
"BP1026B_I1413",10106,4500,5306,3994,3823,4279
"BP1026B_I1414",283,184,214,126,139,130
"BP1026B_I1415",1197,830,853,738,681,868
"predicted RNA",30,21,26,31,24,28
"predicted RNA",228,172,188,177,182,220
"BP1026B_I1416",1256,807,900,960,931,1012
"BP1026B_I1417",2390,1887,2307,3312,3259,3682
"BP1026B_I1418",39257,32071,36995,29758,29965,33448
"BP1026B_I1419",984,816,918,850,833,965
"BP1026B_I1420",736,509,534,291,296,365
"BP1026B_I1421",941,569,639,246,283,239
"BP1026B_I1422",393,188,221,166,161,185
"BP1026B_I1423",265,142,193,135,119,132
"BP1026B_I1424",979,441,486,560,519,615
"BP1026B_I1425",674,517,630,660,600,724
"BP1026B_I1426",1062,1148,1391,1243,1206,1340
"BP1026B_I1427",157,116,139,104,128,142
"BP1026B_I1428",161,98,106,115,116,122
"BP1026B_I1429",112,62,58,78,77,78
"BP1026B_I1430",5180,5352,6311,3853,3914,4361
"BP1026B_I1431",226,281,304,253,262,278
"BP1026B_I1432",6364,6088,6962,5795,5882,6361
"BP1026B_I1433",14329,7877,8499,8548,8163,8843
"predicted RNA",904,363,394,208,208,295
"BP1026B_I1434",2608,1861,2209,1855,1838,2150
"BP1026B_I1435",1842,1341,1700,1664,1504,1744
"BP1026B_I1437",2812,1566,1838,1826,1751,1992
"BP1026B_I1436",3258,1758,2206,1698,1717,1896
"BP1026B_I1438",7343,3324,3682,2570,2546,2711
"BP1026B_I1439",10757,6040,7009,4597,4468,5551
"BP1026B_I1440",12729,10585,12282,8514,8821,10130
"BP1026B_I1441",1600,1630,1881,1262,1310,1474
"BP1026B_I1442",2005,1141,1222,888,848,872
"BP1026B_I1443",1314,816,954,813,808,912
"BP1026B_I1444",17787,15254,18760,16428,16072,17608
"BP1026B_I1446",24841,20629,23545,22484,22743,25873
"BP1026B_I1445",12479,10480,12404,12058,12013,13399
"BP1026B_I1447",4201,2092,2140,2449,2317,2581
"BP1026B_I1448",4295,2673,3008,3130,3025,3378
"BP1026B_I1449",3064,2169,2549,2622,2609,2832
"BP1026B_I1450",1894,1194,1432,1323,1333,1530
"predicted RNA",68,30,33,37,32,33
"BP1026B_I1451",3762,2450,2819,2879,2921,3126
"BP1026B_I1452",2702,2040,2339,2219,2230,2490
"BP1026B_I1453",20854,21310,25490,29592,29983,35224
"BP1026B_I1454",6395,5861,6980,5607,5493,6298
"BP1026B_I1455",4789,3310,3673,2881,2929,3256
"BP1026B_I1456",2825,1660,1768,1437,1429,1602
"BP1026B_I1457",226,169,221,190,187,207
"BP1026B_I1458",2861,1509,1690,1525,1480,1655
"BP1026B_I1459",8349,7280,8404,6358,6455,7211
"BP1026B_I1460",3049,2725,3248,2755,2830,3223
"BP1026B_I1461",3442,2332,2873,2588,2573,2807
"BP1026B_I1462",2859,2430,2804,2836,2799,2951
"BP1026B_I1463",8387,4800,5503,4903,4643,5241
"BP1026B_I1464",5603,4320,5026,3682,3628,4055
"BP1026B_I1465",5799,3402,3853,3108,3106,3345
"BP1026B_I1466",6695,4320,5209,4037,4227,4652
"predicted RNA",50,37,43,40,40,48
"BP1026B_I1467",943,646,774,651,693,712
"BP1026B_I1468",1407,911,885,736,703,765
"predicted RNA",34,26,26,17,19,22
"BP1026B_I1469",10711,6543,7607,5780,5648,6378
"BP1026B_I1470",16395,13341,15161,9887,9581,10975
"BP1026B_I1471",7922,8861,10245,6506,6392,7230
"BP1026B_I1472",14759,13164,15950,11953,11793,13912
"BP1026B_I1474",1866,1706,1871,1292,1297,1487
"BP1026B_I1475",2469,1546,1744,1388,1454,1527
"predicted RNA",146,47,54,40,41,49
"BP1026B_I1476",4063,2871,3240,1736,1657,1876
"BP1026B_I1477",1436,931,949,604,577,642
"BP1026B_I1478",3803,3316,3733,2328,2396,2525
"BP1026B_I1479",1801,1075,1272,1212,1220,1378
"BP1026B_I1480",41,25,37,27,35,35
"BP1026B_I1481",15031,13068,15626,8829,8882,10299
"BP1026B_I1482",455,293,331,353,305,350
"BP1026B_I1483",181,93,99,104,103,103
"BP1026B_I1484",5122,3540,3978,4135,4090,4582
"BP1026B_I1485",4864,3518,4430,3513,3333,4058
"BP1026B_I1486",3261,3197,3445,1317,1293,1445
"BP1026B_I1487",4306,3546,3870,2101,2035,2184
"BP1026B_I1488",98,60,88,61,70,66
"BP1026B_I1489",6826,4324,4859,4453,4409,4943
"BP1026B_I1490",65945,50717,62699,42153,42026,48181
"BP1026B_I1491",767,649,790,781,790,900
"BP1026B_I1492",610,298,333,408,356,446
"BP1026B_I1493",3181,2187,2617,1602,1502,1878
"BP1026B_I1494",520,395,405,471,482,496
"BP1026B_I1495",334,327,345,469,484,485
"BP1026B_I1496",706,470,584,687,719,779
"BP1026B_I1497",1945,1066,1213,906,832,937
"BP1026B_I1498",5120,2865,3049,1497,1487,1598
"BP1026B_I1499",3956,2689,3376,1922,1817,2123
"BP1026B_I1500",99,77,72,109,114,128
"BP1026B_I1501",64,49,50,49,59,63
"BP1026B_I1502",27,21,32,32,29,32
"BP1026B_I1503",113,66,58,69,68,70
"BP1026B_I1504",436,332,374,270,259,290
"BP1026B_I1505",660,294,305,167,153,172
"BP1026B_I1506",6105,2609,2920,1476,1416,1454
"BP1026B_I1507",8313,4918,5654,2807,2815,3096
"BP1026B_I1508",5140,2422,2588,1539,1443,1559
"BP1026B_I1509",4519,2546,3049,1822,1835,2064
"BP1026B_I1510",1180,745,836,738,719,787
"BP1026B_I1511",274,157,182,148,104,142
"BP1026B_I1512",1186,546,608,466,459,486
"BP1026B_I1513",498,278,298,225,213,227
"BP1026B_I1514",421,202,185,162,145,143
"BP1026B_I1515",849,461,546,329,338,362
"BP1026B_I1516",654,479,576,309,292,341
"BP1026B_I1517",724,347,404,245,188,232
"BP1026B_I1518",3202,1539,1776,828,826,894
"predicted RNA",65,19,29,13,11,13
"BP1026B_I1519",2071,1142,1276,977,940,1044
"BP1026B_I1520",950,441,514,377,359,416
"predicted RNA",955,355,403,241,225,241
"BP1026B_I1521",2989,1411,1603,1155,1164,1317
"BP1026B_I1522",405,226,236,289,285,319
"BP1026B_I1523",618,333,365,216,210,218
"predicted RNA",1206,581,639,625,605,693
"BP1026B_I1524",130,90,104,60,57,59
"BP1026B_I1525",168,105,103,82,90,88
"BP1026B_I1526",751,440,483,362,329,357
"BP1026B_I1527",747,458,486,172,199,217
"BP1026B_I1528",4875,3566,4239,1565,1554,1795
"BP1026B_I1529",976,479,611,384,370,407
"BP1026B_I1530",148,100,109,76,71,75
"BP1026B_I1531",580,448,481,391,390,463
"BP1026B_I1532",402,299,307,270,225,249
"BP1026B_I1533",151,60,83,81,61,70
"BP1026B_I1534",72,59,56,56,55,60
"BP1026B_I1537",173,105,120,66,71,66
"BP1026B_I1538",537,438,493,238,217,264
"BP1026B_I1539",384,355,343,140,115,108
"BP1026B_I1540",137,78,92,31,39,57
"BP1026B_I1541",77,69,79,31,30,24
"BP1026B_I1542",173,112,121,51,65,58
"BP1026B_I1543",132,79,74,59,63,70
"BP1026B_I1544",659,390,440,319,293,317
"BP1026B_I1545",744,459,498,433,420,428
