"gene_id","A1","A2","A3","B1","B2","B3","C1","C2","C3","D1","D2","D3"
"Afu1g03550",2334,1906,1883,1533,982,1039,1737,2140,1505,1957,1732,2374
"Afu1g03560",1179,1109,1048,1241,977,848,644,659,535,472,461,640
"Afu1g03570",137,150,132,21,15,13,17,18,11,11,8,13
"Afu1g03580",110,88,80,26,14,25,30,72,28,33,44,55
"Afu1g03590",1913,1510,1510,2095,1681,1365,930,1011,880,734,642,948
"Afu1g03600",234,180,218,163,100,110,809,696,760,480,458,622
"Afu1g03610",786,699,237,325,358,278,73566,55645,63711,47050,41424,55554
"Afu1g03620",2243,1967,2098,1198,859,723,481,585,411,395,373,490
"Afu1g03630",6403,4859,5385,9843,7467,6175,6996,6115,6310,7191,5830,8723
"Afu1g03640",643,535,539,410,410,412,118,168,121,154,147,200
"Afu1g03650",1043,894,960,738,456,817,1685,2125,1580,1367,1202,1668
"Afu1g03660",1934,1771,1900,2519,1814,1755,2039,2500,1770,1684,1778,2538
"Afu1g03670",6,0,6,1,2,4,1,5,4,1,1,1
"Afu1g03680",3064,2862,2764,2570,1864,1682,3189,3773,2796,2953,2467,3461
"Afu1g03690",297,288,286,153,120,159,599,569,530,755,770,881
"Afu1g03700",410,360,382,423,378,294,261,241,259,212,180,221
"Afu1g03710",1619,1388,1251,1459,1353,1157,1231,1397,1048,1527,1397,1747
"Afu1g03720",2497,1992,1981,2514,2171,1636,5197,4992,4599,4893,5288,6433
"Afu1g03730",4120,3413,3392,3436,2915,2809,681,870,577,416,477,663
"Afu1g03740",4663,3857,3819,3497,2382,2313,2395,2452,2170,1908,1639,2243
"Afu1g03750",1226,1019,1065,1062,643,839,447,542,381,316,285,369
"Afu1g03760",3495,2741,2841,3262,2651,1980,2385,2269,2238,1726,1475,2040
"Afu1g03775",408,354,367,258,182,183,486,352,378,357,301,378
"Afu1g03790",836,703,744,578,613,526,590,1067,541,322,357,494
"Afu1g03800",997,941,1034,2917,4151,2035,1341,1596,1253,698,856,1230
"Afu1g03810",1495,1264,1124,1513,1166,1073,891,966,762,681,658,896
"Afu1g03820",1026,865,918,1490,1179,893,351,405,357,196,225,292
"Afu1g03830",1363,1098,1167,1845,1806,1415,858,790,720,653,757,938
"Afu1g03840",4731,4109,4081,6071,4233,4311,2569,3584,2270,1986,1854,2505
"Afu1g03860",928,837,779,1418,1166,735,264,361,259,198,211,225
