"gene_id","MOPS.2.hr...M.2.1","MOPS.2.hr...M.2.2","MOPS.2.hr...M.2.3","Lignin.2.hr...L.2.1","Lignin.2.hr...L.2.2","Lignin.2.hr...L.2.3","MOPS.20.min...M.20.1","MOPS.20.min...M.20.2","MOPS.20.min...M.20.3","Lignin.20.min...L.20.1","Lignin.20.min...L.20.2","Lignin.20.min...L.20.3"
"SAR0128",84,104,100,142,161,170,105,149,102,103,107,84
"SAR0129",7551,31968,26770,17532,20134,18672,11475,11992,7585,11945,6589,5833
"SAR0130",144,156,105,64,35,28,71,102,22,32,185,139
"SAR0130a",0,0,0,0,0,0,0,0,0,0,1,0
"SAR0131",10,39,45,25,22,10,19,16,10,14,122,79
"SAR0132",7,27,30,32,24,33,36,54,39,24,189,121
"SAR0133",5,56,39,47,31,25,28,47,51,33,113,89
"SAR0134",159,173,147,375,406,404,355,380,513,522,760,655
"SAR0137",239,363,285,207,299,315,493,679,374,437,385,368
"SAR0139",746,940,709,662,664,589,1146,1230,844,1101,2136,2081
"SAR0142",113,316,241,271,269,290,169,189,190,140,389,312
"SAR0143",102,145,134,150,135,196,74,95,85,76,248,189
"SAR0144",69,120,79,130,130,139,47,68,58,67,214,159
"SAR0145",156,296,223,147,157,211,54,69,80,104,253,206
"SAR0146",35,104,81,188,193,182,36,49,81,87,702,426
"SAR0147",606,1179,980,1081,1165,1269,936,1093,900,1659,1617,1270
"SAR0148",12,55,51,56,60,52,80,90,48,47,283,254
"SAR0149",157,272,203,313,581,517,609,674,499,420,1306,1220
"SAR0167",72,114,90,90,154,192,166,312,150,353,355,266
"SAR0168",69,94,56,54,153,140,204,299,181,355,398,260
"SAR0169",2710,6081,4905,18584,27726,28840,24459,31217,8738,5941,3853,3784
"SAR0170",5163,6540,5410,6005,6905,7218,2867,2962,1372,3932,2483,2020
"SAR0171",233,2561,1814,3785,2642,4029,151,151,202,490,202,130
"SAR0172",533,348,282,3083,3350,2795,1401,1945,342,521,387,326
"SAR0173",45,75,62,439,452,358,639,1264,119,77,203,163
"SAR0174",110,127,110,538,697,588,881,1648,256,173,406,236
"SAR0175",30,46,49,760,708,586,605,1391,229,131,301,157
"SAR0176",178,139,131,862,1331,1164,936,1567,327,510,700,542
"SAR0177",1127,1436,1112,2614,3522,3365,1766,2275,1366,1599,1619,1551
"SAR0178",69,140,100,377,379,325,163,254,177,203,408,352
"SAR0179",383,401,319,1633,1851,1977,1045,889,1220,1293,1656,1546
"SAR0180",8820,14490,12122,25968,26244,26619,8380,7136,11172,22150,25572,21637
"SAR0181",1234,1673,1478,2039,2530,2772,930,721,1139,2434,2888,2507
"SAR0182",5822,16418,13783,4465,4055,4073,4583,2660,1516,4963,2263,2483
"SAR0183",69,114,91,253,439,394,115,127,178,298,414,322
"SAR0186",69,158,125,226,328,294,84,89,92,209,564,376
"SAR0187",996,835,806,1031,1731,1909,3284,4926,3871,3333,1924,1745
"SAR0188",2229,2793,2571,2505,2709,2786,1886,2083,1598,2831,2517,2407
"SAR0189",2079,5434,4875,3235,4224,4519,4557,5982,4969,3865,2943,2888
"SAR0191",1427,2097,1736,1906,1314,1586,845,1152,487,674,796,633
