"gene_id","MOPS.2.hr...M.2.1","MOPS.2.hr...M.2.2","MOPS.2.hr...M.2.3","Lignin.2.hr...L.2.1","Lignin.2.hr...L.2.2","Lignin.2.hr...L.2.3","MOPS.20.min...M.20.1","MOPS.20.min...M.20.2","MOPS.20.min...M.20.3","Lignin.20.min...L.20.1","Lignin.20.min...L.20.2","Lignin.20.min...L.20.3"
"SAR0805",21,61,32,64,44,55,106,99,64,90,159,122
"SAR0806",24440,41699,37114,17929,23337,26433,55518,45498,49402,42944,22313,22943
"SAR0809",710,720,654,1836,3410,3173,2148,1967,2374,4103,2823,2852
"SAR0810",26,66,42,27,103,103,174,157,97,64,188,185
"SAR0811",3,30,10,9,9,30,29,29,19,11,28,47
"SAR0816",288,360,314,285,391,471,1377,1350,1412,736,766,798
"SAR0817",587,696,614,847,942,984,2744,3112,4092,1970,2567,2627
"SAR0820",704,1508,1093,1700,1465,1480,1848,1658,1625,1665,1340,1450
"SAR0821",8819,12360,10641,12888,9839,10172,6949,5829,5172,11307,9024,8605
"SAR0822",7305,8759,7452,10273,8666,8945,7327,5536,4633,8885,6733,7087
"SAR0824",9373,14454,11737,21466,19494,21646,6724,6666,4212,12424,8713,8314
"SAR0825",2723,1715,1403,2639,5635,5886,1315,711,1150,2769,2850,3186
"SAR0826",431,851,670,1604,2428,1662,831,548,527,802,715,754
"SAR0833",630,821,695,717,878,1085,889,1085,1084,1017,919,994
"SAR0838",13,30,19,37,18,24,15,11,36,5,65,69
"SAR0839",120,273,208,330,284,332,145,150,206,169,61,78
"SAR0840",131,90,73,238,280,291,64,50,45,255,413,413
"SAR0841",176,161,127,393,403,369,142,116,125,450,601,596
"SAR0843",116,266,214,811,903,1032,357,229,218,270,603,405
"SAR0845",26,65,56,51,22,44,57,91,108,41,180,165
"SAR0846",3,21,23,13,4,8,10,14,12,2,58,42
"SAR0849",489,343,311,551,1232,1161,573,532,556,1357,1028,1038
"SAR0850",480,261,237,512,1199,1138,706,560,768,1511,1242,1301
"SAR0851",26,60,40,158,158,137,196,261,392,208,286,318
"SAR0852",108,218,121,418,423,453,204,228,169,430,367,355
"SAR0853",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0854",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0855",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0856",101,354,267,190,155,144,342,479,425,73,518,356
"SAR0857",112,179,169,535,947,1106,861,845,534,572,620,678
"SAR0858",631,330,340,100,322,347,1279,913,854,436,658,876
"SAR0859",3355,5260,4662,3837,2243,2225,1086,775,585,2599,1891,1725
"SAR0860",58,100,102,112,160,175,418,345,302,318,537,499
"SAR0861",234,525,432,624,506,657,753,1033,750,1429,1566,1258
"SAR0862",521,586,539,1145,1910,1986,1630,1294,1078,1108,1619,1924
"SAR0863",534,599,483,776,921,1362,2660,2437,3094,2755,2359,2693
"SAR0865",473,1496,1431,295,455,479,1242,1750,1082,804,782,696
"SAR0867",483,1427,1050,1153,655,783,542,744,461,700,670,661
"SAR0868",258,181,212,149,235,261,268,294,193,358,316,292
"SAR0870",326,377,381,1358,2194,2012,2986,6980,1803,5118,3215,2848
"SAR0871",277,475,353,1915,2228,2114,2490,5513,1475,4171,2304,1825
"SAR0872",888,574,491,2517,4744,4817,5398,8772,2642,7044,3158,2701
"SAR0874",18999,23215,19377,31971,37438,37348,13826,7548,12918,13247,7178,7638
"SAR0875",456,522,358,1997,2339,2255,3130,2764,4011,2797,2283,2696
"SAR0876",2118,2656,1854,4678,4757,4812,6024,7087,6613,9054,8579,8140
"SAR0877",6087,5516,4804,10760,15070,15118,17157,19261,18148,31294,29080,28281
"SAR0879",1801,2253,1833,3888,4877,4497,5928,6801,5732,10282,8999,8458
"SAR0880",9961,11315,9350,19481,22860,24063,24183,25846,23457,43931,37477,37464
"SAR0881",13,41,16,48,43,41,58,45,96,52,113,97
"SAR0882",1142,1243,963,2976,3736,3192,1912,1816,1309,2807,2466,2273
"SAR0883",1643,2270,1877,3226,3462,2987,2513,2231,1655,2706,2200,1830
"SAR0884",196,481,357,521,535,585,1489,1486,1293,432,725,768
"SAR0885",291,659,490,883,633,797,1757,1737,1598,691,1040,1094
"SAR0886",527,1033,795,1156,1425,1497,3522,3404,3472,1605,2241,2373
"SAR0888",160,101,95,139,147,171,344,277,337,286,299,444
"SAR0889",23,12,15,34,112,90,89,87,175,69,148,143
"SAR0890",50,61,58,96,115,166,302,264,395,67,163,158
"SAR0891",279,568,436,591,523,757,1269,1337,1763,1046,931,936
"SAR0892",1128,1901,1691,1009,1032,1293,2365,2677,2922,2363,1770,2121
"SAR0893",2,4,4,3,12,20,13,14,33,11,8,10
"SAR0898",199,526,434,745,1048,1136,967,686,1073,872,1085,1091
"SAR0899",378,686,572,437,294,376,508,618,622,278,220,254
"SAR0900",2303,5871,4881,5040,5998,6426,4821,5721,5598,6318,4567,3664
"SAR0901",137,733,472,912,1199,1145,654,613,358,645,633,688
"SAR0902",358,1325,963,1703,2252,2732,1327,1236,974,1680,1415,1362
"SAR0903",25892,49222,43390,29960,25674,31982,32669,37514,45632,56347,34235,37555
"SAR0905",102,177,141,339,625,480,1852,4664,2528,898,2593,2639
"SAR0906",303,319,276,528,709,854,875,1691,1183,781,1152,1206
"SAR0907",64,59,43,65,72,83,209,1192,202,96,206,149
"SAR0915",45,67,73,124,177,249,229,219,337,258,256,242
"SAR0916",1990,2970,2348,4433,5005,7269,5661,5681,5123,7657,5204,5503
"SAR0917",2906,4497,3705,2482,2514,4009,2659,2612,2075,3193,1060,1352
"SAR0918",459,1146,893,3553,5912,5861,1969,2229,1508,2511,2877,2675
"SAR0920",15087,34270,29136,36562,41170,44774,30446,41200,30836,21633,12025,9569
"SAR0925",57,129,97,257,316,427,559,467,1016,487,882,860
"SAR0928",834,1134,947,2903,4905,4784,4578,4709,4151,6231,6128,6167
"SAR0929",2466,2669,2216,7345,9832,9850,8770,8334,8700,13819,10909,10989
"SAR0930",5167,8683,7262,9316,13306,17757,21210,19725,19566,17648,14042,15107
"SAR0931",266,490,382,382,171,229,372,444,700,480,739,725
"SAR0932",30,127,42,107,73,96,120,148,139,81,210,170
"SAR0933",2080,2950,2481,4433,5441,5924,8929,9280,10686,6188,4685,4818
"SAR0934",442,626,508,759,1348,1376,1812,1791,1847,885,962,942
"SAR0935",390,552,480,1164,1109,1464,1439,1319,2128,1621,1790,2224
"SAR0936",7,15,5,23,35,29,11,18,31,43,47,30
"SAR0937",15,66,35,50,83,51,100,89,122,54,233,174
"SAR0939",5,17,15,15,6,3,13,6,3,5,40,28
"SAR0940",4,19,10,12,5,0,3,14,7,9,53,34
"SAR0941",2,6,7,12,2,6,14,14,15,12,37,22
"SAR0942",7,30,32,34,19,21,33,22,32,14,48,62
"SAR0943",0,22,17,36,39,52,62,79,91,44,57,81
"SAR0944",1082,3518,3208,826,591,731,475,361,384,365,300,348
"SAR0945",1316,1102,983,280,410,616,993,893,854,1230,456,580
"SAR0948",0,21,18,12,8,16,30,10,46,41,10,28
"SAR0953",2481,3477,2860,8932,12575,12816,11420,12220,4894,9288,2286,2377
"SAR0954",163,352,292,440,560,576,887,1121,1295,746,1329,1132
"SAR0955",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0959",47,46,29,69,102,116,142,141,163,118,270,239
"SAR0961",8,10,14,9,15,12,21,12,3,0,4,26
"SAR0962",0,1,0,0,0,0,0,0,1,0,0,0
"SAR0963",126,143,123,157,225,237,309,253,207,226,355,317
"SAR0966",3675,6261,4600,7149,10468,12026,11056,11347,9029,10883,12241,12739
"SAR0967",6,23,13,19,12,12,19,18,27,7,67,48
"SAR0969",1116,1319,1267,1428,2417,2907,4043,3655,3349,3143,2704,2656
"SAR0970",501,592,471,607,1452,1700,1614,1555,1363,1338,1348,1292
"SAR0971",201,175,183,150,428,523,876,742,1059,884,978,829
"SAR0972",307,349,293,274,322,399,831,885,589,712,779,795
"SAR0973",998,1593,1434,1442,1766,1840,2784,2861,1940,2831,2464,2225
"SAR0975",313,361,222,790,1167,1176,1234,1129,970,1709,1540,1496
"SAR0976",670,1182,838,3150,3117,3124,2637,2787,2755,4671,3527,3262
"SAR0977",1654,2295,1852,5257,5957,5795,6666,6654,8121,9767,7379,7480
"SAR0979",1727,1325,1120,1954,3907,4514,5055,5813,7023,5239,4108,4242
"SAR0980",420,1227,934,985,886,1137,2997,5544,2427,1461,1504,1587
"SAR0981",136,141,132,246,287,355,612,1065,549,528,602,577
"SAR0982",29,54,45,80,113,103,291,417,231,121,182,225
"SAR0983",26,29,32,43,60,87,314,403,247,53,167,169
"SAR0984",0,0,0,0,0,0,0,0,0,0,0,0
"SAR0985",8026,14344,12307,4619,4365,6821,5098,6090,5701,5079,2338,2332
"SAR0986",1191,1303,1107,2999,4545,4515,4613,4727,4043,2408,2948,2990
"SAR0987",980,1247,1090,3201,5976,6173,4043,3978,3417,3138,3937,4179
"SAR0989",37,61,50,184,137,122,215,210,159,238,229,221
"SAR0991",773,1256,923,2152,2678,1884,2166,2726,4439,2785,2766,2731
"SAR0992",275,503,421,745,730,801,1084,1385,1399,1496,1985,2052
"SAR0993",1370,1555,1307,2551,2980,3268,3400,3558,4817,5425,5407,5652
"SAR0994",1099,2084,1510,1715,1603,1995,2342,2497,2218,1735,1832,1920
"SAR0995",94,32,32,278,334,306,21,20,5,32,128,81
"SAR0996",11271,11088,11043,7412,19625,19428,16478,17570,11822,25987,18843,19654
"SAR0997",369,724,593,418,476,657,1812,2131,1592,980,1453,1889
"SAR0998",131,299,231,548,295,420,510,634,1051,555,471,563
"SAR0999",1149,1172,850,1672,1626,2066,4514,4257,7147,3417,4112,5003
"SAR1000",13,10,10,0,10,4,22,18,18,23,25,26
"SAR1001",4,21,7,7,20,16,24,34,5,10,17,34
"SAR1002",17,72,59,71,63,85,140,200,79,68,253,215
"SAR1003",10,17,8,7,14,10,28,46,22,11,49,36
"SAR1004",16,38,41,32,29,30,77,99,37,35,140,92
"SAR1005",85,85,63,44,31,27,608,569,799,383,349,558
"SAR1006",0,0,0,0,0,0,0,0,0,0,0,0
"SAR1007",7,13,11,8,6,1,25,33,19,5,18,21
"SAR1008",90,177,121,133,126,186,452,616,549,660,465,592
"SAR1010",1026,250,235,114,123,123,682,650,1430,451,306,375
"SAR1011",26,82,53,92,53,23,40,90,84,83,156,127
"SAR1012",0,0,0,0,0,0,0,0,0,0,0,0
"SAR1013",66,153,102,155,123,201,325,301,404,136,124,163
"SAR1014",52,173,102,128,187,262,176,204,91,56,111,121
"SAR1015",549,649,465,456,590,660,1238,1447,1562,1451,1830,2004
"SAR1016",362,406,306,743,876,835,1752,1652,1300,1153,1421,1483
"SAR1017",1202,1650,1244,5516,4800,5125,4808,4963,4624,5434,5665,5968
"SAR1018",987,752,676,1984,2329,2462,2681,2668,3062,3225,3378,3673
"SAR1023",559,446,383,909,1929,2245,1330,1344,882,1523,1469,1438
"SAR1024",77,83,60,129,162,149,486,353,1176,204,669,873
"SAR1025",163,260,196,337,512,597,109,110,101,297,187,163
"SAR1027",48,67,51,286,283,344,71,106,98,361,379,289
"SAR1028",1076,738,696,977,2088,2152,2424,2504,3091,2539,2564,2852
"SAR1029",2450,2377,2169,3290,5022,5015,5377,5410,6482,4498,5466,6079
"SAR1035",2457,2129,1964,1296,2109,2171,1263,1431,2156,2460,1587,1660
"SAR1041",383,452,393,372,76,83,215,186,197,272,68,71
"SAR1049",146,131,123,242,587,535,1149,1219,1597,1464,2344,2945
"SAR1050",382,339,264,691,1490,1462,3106,3440,4001,3698,5667,6781
"SAR1051",130,166,147,253,636,613,1284,1526,1523,1541,2295,2689
"SAR1052",0,0,0,0,0,0,0,0,0,0,0,0
"SAR1053",5460,5316,4297,13968,14858,19005,13071,12785,14538,17651,18629,21868
"SAR1054",371,709,547,1224,1855,1886,2292,2954,2442,2357,2398,2519
"SAR1055",10532,12308,9291,21731,17315,20128,14837,11585,13142,21076,11492,11981
"SAR1058",31,21,28,34,111,114,110,100,78,77,157,137
"SAR1059",1280,1305,947,1625,1496,1723,3194,1929,1730,3148,8709,8857
"SAR1060",1106,1075,867,1459,1207,1514,3324,2047,1596,2520,8490,9056
"SAR1061",1007,1838,1459,2856,2423,2985,2072,1802,1485,2456,4393,4357
"SAR1063",7741,7505,6694,16543,24083,26810,28175,27914,31032,24201,14065,14808
"SAR1064",260,312,244,973,1014,1161,1046,703,1115,1241,547,604
"SAR1066",338,1080,796,1043,1420,1653,5523,5280,4618,2788,3105,3424
"SAR1071",187,336,257,572,401,455,275,336,438,610,391,362
"SAR1072",22,43,25,77,59,65,130,262,414,274,547,591
"SAR1073",82,100,84,154,178,170,292,629,820,767,1458,1430
"SAR1074",99,66,71,111,194,160,269,573,788,714,1281,1391
"SAR1075",126,113,91,204,256,214,475,849,1169,1137,1872,1974
"SAR1076",1563,2010,1698,3209,2930,2775,1908,2652,3168,4878,5555,5266
"SAR1077",8890,10374,8519,14576,17208,19096,12859,11418,15617,17862,15726,16880
"SAR1078",273,282,215,318,269,456,466,594,418,569,250,345
"SAR1079",1485,1992,1776,6678,7565,15176,6610,9270,5667,6334,5682,5295
"SAR1080",117,181,175,241,788,1002,946,1188,707,422,656,746
"SAR1081",4547,11951,9860,7461,6650,7833,7105,7590,7017,7482,4673,4443
"SAR1082",379,728,496,303,264,282,199,174,254,242,171,216
"SAR1083",1928,2888,2508,3813,2730,3663,5350,11266,14323,6222,10951,10139
"SAR1084",138,113,106,200,320,330,259,249,279,248,163,195
"SAR1085",710,922,773,1657,2314,2615,1726,1681,1761,2031,1402,1608
"SAR1086",1329,1373,1065,434,854,1159,1767,1505,1927,1527,1235,1458
"SAR1087",633,611,505,1186,1085,1393,4127,4259,3618,1928,2722,2663
"SAR1088",4193,6177,5348,8985,11981,13288,12599,16925,10648,8602,5604,5101
"SAR1091",1613,1626,1316,1575,1654,2198,2828,2952,2970,3042,3769,4334
"SAR1092",609,1151,817,1327,1958,2279,1858,1795,1356,1413,1522,1737
"SAR1093",181,411,278,506,622,817,634,669,518,452,434,467
"SAR1094",267,341,272,429,488,557,839,1116,1111,767,1035,1019
"SAR1095",24,31,20,23,27,41,125,133,87,36,94,131
"SAR1096",100,126,114,128,191,274,563,565,744,408,541,573
"SAR1097",161,401,262,394,306,310,623,636,613,585,876,793
"SAR1099",0,0,0,1,0,0,0,0,0,0,0,0
"SAR1100",2036,2115,1902,3620,4424,4896,5890,9538,19883,11225,31860,26810
"SAR1109",2,20,7,7,4,16,21,10,35,20,47,26
"SAR1109a",0,0,0,0,0,0,0,0,0,0,0,0
"SAR1110",449,846,635,1232,1387,1384,857,1297,1149,1454,1001,942
"SAR1113",26,49,48,91,84,111,293,248,320,99,219,197
"SAR1114",114,147,130,79,101,129,232,280,249,178,293,222
"SAR1115",309,570,433,428,422,536,896,852,732,528,666,791
"SAR1116",494,1075,807,1651,1933,1974,3769,3870,3039,1951,2919,3171
"SAR1117",1220,2556,2122,3299,4514,4361,7795,8578,7516,6414,7434,7746
"SAR1124",521,1417,1124,2510,3395,3360,1800,1862,1246,1684,1603,1666
"SAR1125",438,764,590,1432,2528,2516,1393,1292,1007,1315,1304,1341
"SAR1126",0,0,0,2,0,0,0,0,0,0,0,0
"SAR1127",1169,616,454,1597,1302,1324,461,705,1017,72,120,145
"SAR1128",273,195,186,62,106,95,146,101,131,99,119,93
"SAR1129",322,244,170,39,27,62,98,90,120,75,38,54
"SAR1131",194,91,80,71,86,78,69,81,161,45,47,46
"SAR1132",11,14,11,16,4,11,18,22,17,17,20,33
"SAR1133",0,0,0,0,0,0,0,0,0,0,0,0
"SAR1133a",0,0,0,0,0,0,0,0,0,0,0,0
"SAR1134",0,84,69,76,34,0,0,0,0,0,0,0
"SAR1136a",15,35,24,82,26,46,8,7,9,17,6,15
"SAR1137",334,198,164,283,241,368,168,137,216,289,173,207
"SAR1138",0,16,0,20,0,0,0,0,10,0,13,0
"SAR1139",38,68,39,80,179,170,86,77,69,100,271,204
"SAR1140",17,34,31,53,52,49,44,37,37,48,151,130
"SAR1141",16,12,25,29,19,38,24,32,14,25,82,68
"SAR1143",94,227,177,255,234,247,100,126,106,187,394,310
"SAR1144",825,1397,1047,2266,1424,1468,419,451,161,1106,1264,915
"SAR1146",0,0,0,0,0,0,0,0,0,0,0,0
"SAR1147",599,1430,1166,382,522,587,1499,858,631,654,588,540
"SAR1148",0,0,0,0,0,0,0,0,0,0,0,0
"SAR1150",247,327,250,93,68,85,5,0,1,2,2,4
"SAR1151",200,449,333,658,905,1104,1122,1114,997,826,917,1029
"SAR1152",2856,7212,5719,2199,1959,2492,2919,2749,2821,2451,1643,1883
"SAR1153",1118,2011,1540,2917,2772,2806,4360,4306,2931,3008,4359,4849
"SAR1154",4095,7278,5535,6756,6688,9744,7135,6971,11211,9595,6040,6587
"SAR1156",1039,1582,1396,1391,1948,2051,3230,2656,3769,1549,1268,1365
"SAR1160",5546,6557,5314,9903,9046,9472,12997,12678,13409,15164,10613,10904
"SAR1163",398,571,407,1970,3282,3407,1741,1713,1934,3229,2627,2615
"SAR1164",964,2163,1612,4977,6317,6267,5058,5312,8040,5045,4999,5157
"SAR1165",2053,2798,2568,5854,8929,9410,7442,7566,11166,8432,7435,7624
"SAR1166",772,809,717,1765,2416,2500,2291,2297,3516,2368,2202,2462
"SAR1167",241,403,329,479,698,629,1152,1219,1609,792,1459,1460
"SAR1168",1456,3500,2773,3156,3420,3745,3892,3704,4671,3702,4532,4363
"SAR1170",843,1156,1179,1758,2090,2095,2169,2402,2535,1563,1683,1800
"SAR1171",256,550,437,737,977,1090,1077,1265,1596,1137,1484,1477
"SAR1173",689,1166,923,1483,1522,1824,3288,5695,6958,4143,5334,5165
"SAR1182",128,1461,1505,105,146,119,219,776,4859,492,893,1124
"SAR1183",795,1034,1030,672,978,1412,1204,1276,1645,1088,845,859
"SAR1184",647,1160,952,1253,1468,1648,3052,3079,1857,1994,2576,2480
"SAR1187",270,499,362,836,1105,1175,1404,1367,858,850,992,981
"SAR1189",258,403,335,438,587,767,444,674,487,349,304,285
"SAR1190",9508,6227,4995,4777,6795,7624,3216,2164,2617,5026,2989,3188
"SAR1192",296,385,307,575,582,589,926,1115,877,1243,1914,1732
"SAR1193",654,983,744,2296,2171,2395,2976,3455,3449,4266,6355,5647
"SAR1194",930,855,731,2323,3108,3471,3474,4201,4173,5070,6469,6241
"SAR1195",306,621,511,1947,1745,1900,1760,2259,2483,2464,2974,2824
"SAR1197",384,863,660,942,855,1169,1439,1655,1314,1051,1219,1279
"SAR1198",458,503,499,549,716,801,1395,1544,1174,954,947,959
"SAR1199",520,705,562,660,764,846,1520,1635,1240,1041,885,902
"SAR1201",347,658,414,1082,665,789,953,1001,732,637,771,721
"SAR1202",3565,3682,3057,5527,5409,6158,8499,9822,7682,4903,5545,5208
"SAR1204",678,791,657,1095,1177,1178,3190,3890,5478,1147,1449,1799
"SAR1205",2356,3661,3015,4509,3285,3623,8689,11973,14355,4160,4709,5530
"SAR1210",1338,2147,1647,3292,3511,3831,7129,8952,7387,5966,6572,6496
"SAR1211",1613,3425,2773,4203,3185,3526,4353,6373,5578,6072,5190,5213
"SAR1212",381,769,603,834,648,611,869,1272,1175,1107,1002,1095
"SAR1218",589,604,464,930,1395,1495,2055,1847,1614,1500,1616,1620
"SAR1222",18196,59473,51688,25683,21233,21618,23111,30660,19750,12353,9080,7827
"SAR1225",9,34,33,60,43,68,34,28,33,59,175,107
"SAR1227",1981,2483,2081,9217,8093,7451,7732,10235,11687,16989,20535,17635
"SAR1228",1771,2871,2277,2731,2215,2856,6611,5694,5082,2999,3767,3617
"SAR1237",72,356,225,670,481,546,1046,1255,2831,660,1454,1435
"SAR1238",1073,1412,1108,2114,2412,2524,7200,7717,11838,5797,7189,7459
"SAR1241",415,611,482,727,813,863,948,945,1589,1574,1678,1654
"SAR1243",374,663,531,904,840,1041,981,1300,1734,1552,1668,1727
"SAR1244",374,447,382,631,663,825,801,1071,1549,1330,1296,1386
"SAR1247",273,436,339,1722,1823,1743,912,730,1074,1007,1140,1107
"SAR1248",932,1600,1273,3016,3464,3548,2897,2480,2787,2832,2651,2779
"SAR1251",5542,9405,7089,12811,12344,15588,13869,15253,13824,10371,6390,7155
"SAR1252",2570,3405,2869,6571,7652,8150,9264,10054,10521,10122,8699,9071
"SAR1253",411,478,373,940,803,967,777,895,864,1106,1105,955
"SAR1254",108,143,109,280,313,325,551,610,485,585,634,703
"SAR1255",342,346,288,807,1029,868,1269,1656,1925,1984,1937,2185
"SAR1256",288,344,280,954,891,886,956,1294,1621,1905,1697,1889
"SAR1257",953,1468,1245,2864,2636,2666,2450,3158,3835,4304,3688,4188
"SAR1258",528,974,753,1662,1597,1553,1555,1838,2352,2540,2004,2260
"SAR1260",308,414,382,573,977,945,973,911,797,1036,1305,1484
"SAR1262",11457,20284,16932,23189,21543,25183,24140,26419,36446,25801,19091,19602
"SAR1263",35,117,97,77,131,189,62,37,66,28,31,50
"SAR1264",206,334,258,336,347,443,529,756,806,690,911,952
"SAR1265",576,1006,809,1862,2323,2021,1566,1949,2165,6458,10737,11104
"SAR1266",524,831,702,1257,1647,1565,1053,1384,1697,6357,10371,11060
"SAR1267",27,52,26,87,119,120,58,67,101,231,259,200
"SAR1268",1253,1354,1109,2376,2733,2888,3524,4043,3550,4998,4432,4660
"SAR1269",396,741,506,1247,1020,1031,1293,1413,1347,1774,1311,1343
"SAR1270",681,988,856,1547,1507,1472,1835,2137,2043,2805,2239,2251
"SAR1273a",0,0,0,0,0,0,0,0,1,0,0,0
"SAR1277",70,194,113,160,171,222,265,264,253,316,358,348
"SAR1279",266,477,468,127,240,333,268,331,336,415,223,174
"SAR1280",1157,2188,1734,1410,1804,2055,1327,1371,1267,2125,1200,1085
"SAR1281",135,254,201,253,313,288,345,403,334,453,849,852
"SAR1282",327,611,517,696,637,696,786,917,963,1194,1806,1619
"SAR1285",29,22,31,4,12,15,138,99,114,72,52,45
"SAR1287",1306,1967,1571,2688,2838,3128,3674,3866,3899,3858,2748,2905
"SAR1288",578,869,711,841,698,699,818,790,954,727,562,555
"SAR1289",114,139,102,208,218,168,78,52,45,130,160,126
"SAR1290",87,145,117,263,266,286,71,69,97,254,321,255
"SAR1291",182,262,265,615,540,505,239,203,229,388,515,449
"SAR1292",32,54,50,43,37,54,27,21,44,45,161,124
"SAR1293",139,275,191,221,166,202,129,173,214,273,580,433
"SAR1294",19,68,56,72,63,68,24,23,39,67,110,82
"SAR1295",11,66,35,49,18,14,19,23,20,19,34,31
"SAR1296",11,27,18,30,39,36,47,34,56,50,131,119
"SAR1297",40,68,52,68,60,99,50,65,53,88,225,115
"SAR1298",26,26,17,20,14,25,20,21,23,29,57,41
"SAR1299",24,41,46,45,23,29,27,20,28,47,104,67
"SAR1300",1,2,0,4,1,0,1,2,5,5,10,4
"SAR1302",0,3,0,0,0,1,0,1,4,0,2,0
"SAR1303",14,16,5,0,3,6,8,12,8,4,12,10
"SAR1304",9,3,5,9,2,7,11,3,4,8,3,9
"SAR1305",290,296,224,280,322,389,257,321,216,327,284,311
"SAR1306",10,9,5,13,5,23,8,7,9,13,12,13
"SAR1308",2,10,6,12,1,7,2,1,5,1,45,27
"SAR1311",0,4,2,1,0,1,0,0,0,0,0,4
"SAR1312",316,176,171,82,183,214,520,364,483,386,422,504
"SAR1313",165,160,137,67,80,100,157,209,173,316,180,188
"SAR1314",0,1,5,4,0,1,1,0,0,0,6,4
"SAR1315",0,1,2,0,0,0,0,1,1,1,3,0
"SAR1316",1,7,0,7,4,9,5,4,1,3,0,0
"SAR1317",32,73,38,18,31,20,20,21,13,44,12,11
"SAR1318",0,2,2,3,0,1,0,2,2,0,8,2
"SAR1319",0,0,0,0,0,0,0,0,0,0,0,1
"SAR1320",5,14,14,9,5,12,8,2,6,1,10,5
"SAR1321",1,4,3,2,0,0,0,1,1,0,12,5
"SAR1322",1,0,0,2,0,0,0,3,2,0,6,2
"SAR1323",1,0,0,4,4,4,1,0,0,0,1,0
"SAR1324",0,1,0,0,0,1,0,2,6,0,6,2
"SAR1325",0,3,2,2,1,0,1,0,0,0,1,0
"SAR1325b",0,0,0,0,0,0,0,0,0,0,0,0
"SAR1326",47,68,54,109,169,183,79,70,63,83,168,131
"SAR1327",68,71,37,55,63,58,183,142,195,155,131,180
"SAR1328",1047,1467,1259,1926,2304,2464,4425,4873,5764,4288,4073,4423
"SAR1329",7,3,3,0,1,0,8,23,2,0,9,6
"SAR1330",0,0,0,0,0,0,0,0,0,0,10,18
"SAR1331",62,93,88,196,148,191,255,245,329,175,298,312
"SAR1332",73,87,84,119,103,128,154,194,237,124,166,211
"SAR1333",54,13,14,17,9,24,23,22,26,30,12,22
"SAR1335",1751,1741,1412,1450,2439,2565,3454,3319,3461,2680,2183,2652
"SAR1336",246,534,378,233,198,399,481,563,482,264,267,257
"SAR1337",102,185,134,304,1022,1154,306,627,191,303,578,702
"SAR1338",449,975,836,2790,3944,4107,2128,3493,1417,1988,3272,4476
"SAR1341",1559,2038,1571,2934,2854,3533,3466,3759,3046,3491,3094,4496
"SAR1342",652,540,418,193,387,470,944,983,829,687,625,663
"SAR1343",2798,4673,3700,8488,11889,12160,9136,11891,9820,13318,11742,11053
"SAR1344",8108,19593,15604,32047,25335,42748,20505,31520,20489,19914,33376,31599
"SAR1347",380,911,710,291,130,93,460,728,860,696,1254,1089
"SAR1348",691,742,617,333,554,566,1610,1300,2148,1434,1958,2327
"SAR1350",8,11,9,11,51,28,129,137,59,87,1114,773
"SAR1351",12,14,12,15,39,57,146,104,178,102,210,205
"SAR1352",24009,29072,25648,37247,51747,54937,48361,44129,43346,57995,49753,51512
"SAR1353",763,536,457,337,547,632,1633,2245,2754,1668,1605,2081
"SAR1355",289,325,321,454,372,446,489,506,700,549,654,718
"SAR1356",38,97,64,151,93,90,197,220,216,178,573,526
"SAR1357",174,279,206,405,430,527,1023,1076,1278,982,2248,2229
"SAR1358",97,0,27,661,289,409,32,78,394,316,1,0
"SAR1359",0,0,0,0,0,0,0,0,0,0,35,0
"SAR1363",389,819,615,1292,1418,1664,865,1021,993,1065,1165,1223
"SAR1364",94,76,90,133,241,295,157,146,155,170,152,166
"SAR1365",1095,1202,1000,2264,3300,4375,2272,2294,3185,4065,2284,2615
"SAR1368",1187,2160,1779,4304,3572,3991,5766,8010,10501,10318,8507,8425
"SAR1369",69,147,105,168,281,371,463,459,346,304,454,463
"SAR1370",0,0,0,0,1,0,0,0,0,1,0,0
"SAR1371",2416,3234,2575,4602,6286,6672,6740,6180,6863,4593,4032,4293
"SAR1374",1092,1456,1202,1169,642,822,2284,2682,3394,1714,2251,2415
"SAR1375",140,0,0,394,271,396,612,601,691,445,872,1005
"SAR1376",288,715,582,401,347,422,230,209,218,389,147,169
"SAR1377",16,55,39,102,119,131,162,205,126,146,4997,3136
"SAR1378",27,82,73,193,248,261,311,328,363,354,4052,2753
"SAR1379",790,1104,884,1367,1467,1684,1729,1789,1799,1917,5587,4229
"SAR1389",76,135,104,222,320,456,215,221,261,189,253,231
"SAR1391",275,325,251,421,604,632,376,289,324,400,425,461
"SAR1392",184,249,193,677,690,642,344,378,453,564,778,719
"SAR1393",58,77,65,241,270,221,206,226,179,278,445,472
"SAR1394",33,85,66,162,192,193,182,163,222,241,412,389
"SAR1395",30,41,35,114,142,127,155,151,122,143,301,290
"SAR1396",170,187,132,153,212,241,441,311,450,277,229,349
"SAR1397",604,1287,977,2187,3051,3366,2715,3410,2710,1777,2040,2047
"SAR1398",85,145,139,66,104,106,80,71,102,81,246,181
"SAR1399",101,226,179,81,112,108,98,102,131,122,331,226
"SAR1400",38,148,113,55,94,75,66,57,96,115,314,222
"SAR1401",27,104,105,33,72,49,52,31,61,54,309,209
