"gene_id","Q12SA014A0_20211014141226__2109SHr1014_2_S14_R1_001.bam","Q12SA023AX_20211014141226__2109SHr1023_11_S23_R1_001.bam","Q12SA013AQ_20211014141226__2109SHr1013_1_S13_R1_001.bam","Q12SA022AP_20211014141226__2109SHr1022_10_S22_R1_001.bam","Q12SA017AO_20211014141226__2109SHr1017_5_S17_R1_001.bam","Q12SA018AW_20211014141226__2109SHr1018_6_S18_R1_001.bam","Q12SA016AG_20211014141226__2109SHr1016_4_S16_R1_001.bam","Q12SA024A7_20211014141226__2109SHr1024_12_S24_R1_001.bam","Q12SA015A8_20211014141226__2109SHr1015_3_S15_R1_001.bam"
"ACCFDFCE_00217",793,1365,1072,493,960,1117,1213,883,457
"ACCFDFCE_00218",724,630,1213,505,930,892,1084,354,437
"ACCFDFCE_00219",133,335,129,125,163,134,187,194,54
"ACCFDFCE_00221",1,11,1,0,2,0,3,4,0
"ACCFDFCE_00222",56,46,121,41,57,60,68,34,43
"ACCFDFCE_00223",487,634,843,437,572,547,655,398,295
"ACCFDFCE_00224",687,863,1097,558,687,658,785,535,436
"ACCFDFCE_00225",568,1515,689,1171,1513,1573,1778,1941,260
"ACCFDFCE_00226",386,1314,470,909,1150,1176,1385,1374,183
"ACCFDFCE_00227",595,1530,528,1114,1603,1600,1920,1367,243
"ACCFDFCE_00228",7564,17067,9023,17724,25896,22395,29307,19428,3477
"ACCFDFCE_00229",125,201,149,181,298,281,323,174,58
"ACCFDFCE_00230",205,434,309,340,495,510,576,437,95
"ACCFDFCE_00231",1737,5389,2662,1353,11455,10518,15002,2964,1078
"ACCFDFCE_00232",16447,49756,25110,20928,81326,74440,106928,96821,10462
"ACCFDFCE_00233",1691,9804,2500,2808,11651,11327,13830,11828,1006
"ACCFDFCE_00234",174,1241,226,336,1143,835,1419,1779,62
"ACCFDFCE_00235",36,323,76,66,391,355,437,449,24
"ACCFDFCE_00236",407,2543,569,689,2798,2670,3514,3555,281
"ACCFDFCE_00237",53,249,50,89,295,298,296,381,35
"ACCFDFCE_00238",1122,6203,1932,1417,7183,6936,8155,6814,801
"ACCFDFCE_00239",56,227,90,39,244,257,291,142,23
"ACCFDFCE_00240",49,222,81,45,215,239,315,187,34
"ACCFDFCE_00241",123,529,200,119,686,654,758,356,99
"ACCFDFCE_00242",48,169,99,34,234,238,295,127,28
"ACCFDFCE_00243",1404,2192,1834,942,2674,2388,3388,1616,708
"ACCFDFCE_00244",1804,2110,2166,1201,1935,1658,2315,1462,790
"ACCFDFCE_00245",147,103,180,64,138,138,204,78,68
"ACCFDFCE_00246",520,348,686,237,558,507,618,252,255
"ACCFDFCE_00247",305,623,394,341,1006,1197,1540,691,173
"ACCFDFCE_00248",125,411,132,192,595,459,808,560,45
"ACCFDFCE_00249",141,542,154,264,675,616,935,737,52
"ACCFDFCE_00250",33,149,29,55,130,93,206,175,9
"ACCFDFCE_00251",160,570,231,275,1040,834,1131,789,95
"ACCFDFCE_00252",214,566,198,276,605,526,935,738,90
"ACCFDFCE_00253",108,258,138,143,384,369,489,313,81
"ACCFDFCE_00254",462,740,749,440,1115,1024,1402,671,278
"ACCFDFCE_00255",512,941,684,546,1143,1188,1418,949,258
"ACCFDFCE_00256",544,903,751,567,1195,1303,1556,1127,333
"ACCFDFCE_00257",771,1466,1072,858,2140,1641,2300,1652,413
"ACCFDFCE_00258",666,1135,759,631,1542,1305,2049,1283,232
"ACCFDFCE_00259",616,1086,685,553,1292,1075,1755,1020,241
"ACCFDFCE_00260",628,1004,676,498,1296,1227,1672,857,244
"ACCFDFCE_00261",2008,4248,3333,1631,7893,6264,8521,2675,1218
"ACCFDFCE_00262",4464,9925,6384,4595,14013,13316,17135,8222,2507
"ACCFDFCE_00263",358,426,81,1290,538,761,318,1597,165
"ACCFDFCE_00264",298,540,344,238,176,199,209,251,163
"ACCFDFCE_00265",2954,6417,2534,2897,4064,3410,4455,3095,943
"ACCFDFCE_00266",698,442,894,551,526,574,620,560,343
"ACCFDFCE_00267",748,487,881,622,503,464,606,610,334
"ACCFDFCE_00268",1157,1286,1230,3026,473,491,605,1231,509
"ACCFDFCE_00269",222,118,190,223,95,99,98,128,85
"ACCFDFCE_00270",208,144,237,270,112,135,136,138,91
"ACCFDFCE_00271",378,196,362,334,158,171,198,206,140
"ACCFDFCE_00272",1056,4200,1744,2773,1458,1553,1610,820,742
"ACCFDFCE_00273",725,2401,1040,1562,1005,954,1015,543,382
"ACCFDFCE_00274",222,640,236,527,297,268,302,483,89
"ACCFDFCE_00275",258,901,295,348,429,317,375,466,121
"ACCFDFCE_00276",211,810,304,468,312,338,296,266,119
