"gene_id","HG001.rep1","HG001.rep2","HG001.rep3","UTI.89.mixed.with.HG001.rep1","UTI.89.mixed.with.HG001.rep2","UTI.89.mixed.with.HG001.rep3"
"SAOUHSC_00227",370,416,393,29,58,143
"SAOUHSC_00228",580,630,741,35,68,217
"SAOUHSC_00229",109,104,98,21,15,135
"SAOUHSC_00230",72,62,69,12,10,58
"SAOUHSC_00231",27,46,31,4,2,24
"SAOUHSC_00232",103,101,84,5,1,20
"SAOUHSC_00233",274,347,341,24,5,67
"SAOUHSC_00234",44,47,42,4,6,20
"SAOUHSC_00235",2,1,4,2,0,0
"SAOUHSC_00236",8,9,11,4,1,5
"SAOUHSC_00237",3,1,2,2,2,30
"SAOUHSC_00238",0,0,0,0,0,0
"SAOUHSC_00239",10,17,17,0,1,11
"SAOUHSC_00240",5,7,6,1,0,1
"SAOUHSC_00241",10,17,16,0,0,9
"SAOUHSC_00242",17,18,17,0,1,6
"SAOUHSC_00243",1,1,0,0,0,0
"SAOUHSC_00244",40,49,44,1,3,32
"SAOUHSC_00246",14,15,12,3,27,32
"SAOUHSC_00247",9,7,9,6,21,17
"SAOUHSC_00248",204,200,168,82,293,96
"SAOUHSC_00249",14,15,27,7,2,19
"SAOUHSC_00250",19,23,31,4,3,20
"SAOUHSC_00251",16,32,40,1,6,42
"SAOUHSC_00253",187,164,195,19,25,200
"SAOUHSC_00254",9,13,9,0,6,5
"SAOUHSC_00255",11,11,10,2,4,7
"SAOUHSC_00256",18,26,29,3,3,54
"SAOUHSC_00257",128,130,134,26,49,159
"SAOUHSC_00258",60,98,65,4,10,105
"SAOUHSC_00259",8,6,5,0,0,7
"SAOUHSC_00260",2,1,2,1,0,0
"SAOUHSC_00261",9,19,13,4,2,21
"SAOUHSC_00262",44,60,36,7,6,54
"SAOUHSC_00264",3,3,1,0,0,3
"SAOUHSC_00265",3,5,2,0,0,0
"SAOUHSC_00266",5,4,4,0,0,5
"SAOUHSC_00267",1,1,1,1,0,0
"SAOUHSC_00268",43,44,56,2,6,24
"SAOUHSC_00269",121,94,106,7,11,51
"SAOUHSC_00270",20,15,37,4,3,28
"SAOUHSC_00271",25,25,37,2,2,15
"SAOUHSC_00272",14,20,9,1,2,13
"SAOUHSC_00274",6,6,11,1,4,4
"SAOUHSC_00275",11,8,9,1,1,5
"SAOUHSC_00276",13,1,5,1,1,3
"SAOUHSC_00277",12,10,10,1,2,2
"SAOUHSC_00278",9,7,8,2,3,5
"SAOUHSC_00279",80,80,95,8,13,68
"SAOUHSC_00280",119,101,88,13,11,86
"SAOUHSC_00281",185,204,167,15,10,61
"SAOUHSC_00282",183,189,208,7,69,37
"SAOUHSC_00284",33,26,31,4,2,65
"SAOUHSC_00285",71,92,87,9,16,31
"SAOUHSC_00287",47,51,49,4,19,25
"SAOUHSC_00289",0,0,1,0,0,0
"SAOUHSC_00290",95,135,104,5,26,36
"SAOUHSC_00291",1,0,1,0,0,0
"SAOUHSC_00292",0,2,0,0,1,1
"SAOUHSC_00293",5,3,3,0,1,1
"SAOUHSC_00294",5,6,7,0,1,6
"SAOUHSC_00295",1,3,2,0,1,22
"SAOUHSC_00296",4,1,2,2,0,4
"SAOUHSC_00297",29,39,35,3,2,16
"SAOUHSC_00298",6,13,8,2,0,10
"SAOUHSC_00299",1,5,3,0,1,1
"SAOUHSC_00300",24,38,25,3,8,24
"SAOUHSC_00301",53,73,68,6,4,23
"SAOUHSC_00302",16,20,20,2,2,10
"SAOUHSC_00303",0,0,2,0,0,0
"SAOUHSC_00304",11,12,1,1,6,20
"SAOUHSC_00305",5,1,2,1,0,2
"SAOUHSC_00306",5,5,6,0,2,5
"SAOUHSC_00307",10,2,6,1,5,9
"SAOUHSC_00308",11,6,8,1,7,12
"SAOUHSC_00309",42,46,36,5,14,19
"SAOUHSC_00310",6,12,13,3,11,15
"SAOUHSC_00311",0,0,1,1,2,0
"SAOUHSC_00312",0,2,2,0,1,7
"SAOUHSC_00313",19,24,20,8,7,52
"SAOUHSC_00314",47,50,62,2,2,34
"SAOUHSC_00315",13,26,19,0,1,4
"SAOUHSC_00316",7,7,9,1,1,2
"SAOUHSC_00317",26,25,20,0,0,6
"SAOUHSC_00318",10,14,6,4,3,1
"SAOUHSC_00319",8,9,14,1,1,5
"SAOUHSC_00320",9,11,9,2,3,4
"SAOUHSC_00322",33,37,44,2,3,23
"SAOUHSC_00323",0,0,0,0,0,1
"SAOUHSC_00324",11,15,11,0,3,1
"SAOUHSC_00325",0,0,2,1,0,0
"SAOUHSC_00326",1,2,2,0,0,2
"SAOUHSC_00327",4,4,3,0,3,4
"SAOUHSC_00328",62,47,65,5,11,12
"SAOUHSC_00329",26,21,21,0,1,6
"SAOUHSC_00330",45,58,91,0,6,6
"SAOUHSC_00331",0,2,2,0,1,0
"SAOUHSC_00332",5,10,2,1,0,4
"SAOUHSC_00333",16,10,18,0,0,3
"SAOUHSC_00334",30,35,46,0,0,12
"SAOUHSC_00335",77,70,89,6,3,25
"SAOUHSC_00336",232,272,261,10,21,122
"SAOUHSC_00337",11,18,18,2,3,11
"SAOUHSC_00338",10,13,17,1,2,5
"SAOUHSC_00339",7,4,5,0,0,3
"SAOUHSC_00340",0,1,1,0,0,0
"SAOUHSC_00341",1,1,1,0,1,2
"SAOUHSC_00342",13,15,14,0,1,5
"SAOUHSC_00344",53,53,44,4,6,16
"SAOUHSC_00345",15,17,19,4,2,6
"SAOUHSC_00346",96,116,107,10,15,44
"SAOUHSC_00347",4,6,4,26,7,29
"SAOUHSC_00348",488,474,422,43,66,152
"SAOUHSC_00349",533,627,651,47,92,258
"SAOUHSC_00350",161,162,182,17,19,47
"SAOUHSC_00351",9,1,1,0,2,6
"SAOUHSC_00352",0,2,0,0,2,0
"SAOUHSC_00353",0,0,0,0,0,0
"SAOUHSC_00354",3,5,2,0,3,1
"SAOUHSC_00355",0,1,0,0,1,0
"SAOUHSC_00356",172,214,205,6,37,49
"SAOUHSC_00357",28,31,30,7,10,14
"SAOUHSC_00358",468,617,508,39,96,138
"SAOUHSC_00359",15,28,19,3,4,11
"SAOUHSC_00360",62,81,56,4,6,22
"SAOUHSC_00362",95,112,118,9,19,36
"SAOUHSC_00363",29,27,17,1,5,11
"SAOUHSC_00364",1522,2094,1925,54,139,139
"SAOUHSC_00365",836,1004,1065,27,72,78
"SAOUHSC_00366",70,86,46,3,10,15
"SAOUHSC_00367",65,69,46,5,10,21
"SAOUHSC_00368",1,0,0,0,0,0
"SAOUHSC_00369",263,311,289,23,30,144
"SAOUHSC_00370",89,85,83,6,12,32
"SAOUHSC_00371",181,224,197,27,44,73
"SAOUHSC_00372",114,124,127,6,13,32
"SAOUHSC_00373",287,278,273,12,21,67
"SAOUHSC_00374",425,487,439,21,28,159
"SAOUHSC_00375",515,620,648,34,32,175
"SAOUHSC_00376",6,8,5,0,1,1
"SAOUHSC_00377",2,10,8,1,2,1
"SAOUHSC_00378",1,0,1,0,0,0
"SAOUHSC_00381",6,13,5,2,2,0
"SAOUHSC_00381a",1,2,3,1,1,2
"SAOUHSC_00382",4,12,19,2,2,4
"SAOUHSC_00383",5,7,9,2,1,1
"SAOUHSC_00384",1,2,4,1,0,0
"SAOUHSC_00386",5,4,2,0,0,0
"SAOUHSC_00387",0,0,0,0,0,0
"SAOUHSC_00389",4,1,2,0,0,0
"SAOUHSC_00390",1,1,2,1,0,1
"SAOUHSC_00391",3,2,2,1,0,0
"SAOUHSC_00392",4,11,7,0,1,2
"SAOUHSC_00393",0,3,1,0,0,1
"SAOUHSC_00394",1,3,1,0,0,1
"SAOUHSC_00395",7,4,8,3,0,1
"SAOUHSC_00396",0,0,1,0,0,0
"SAOUHSC_00397",64,88,81,7,10,19
"SAOUHSC_00398",53,56,50,4,5,11
"SAOUHSC_00399",11,8,12,0,0,1
"SAOUHSC_00400",20,28,24,1,2,2
"SAOUHSC_00401",44,48,53,1,6,4
"SAOUHSC_00402",7,1,6,0,4,1
"SAOUHSC_00404",10,8,11,3,1,7
"SAOUHSC_00405",62,41,56,2,11,17
"SAOUHSC_00406",67,68,59,9,22,41
"SAOUHSC_00407",12,4,16,0,3,7
"SAOUHSC_00408",16,33,27,0,3,13
"SAOUHSC_00409",2,4,7,0,2,1
"SAOUHSC_00410",38,44,53,0,1,14
"SAOUHSC_00411",9,9,14,0,0,0
"SAOUHSC_00412",164,219,214,5,24,40
"SAOUHSC_00413",317,390,387,10,28,69
"SAOUHSC_00414",88,90,83,4,10,21
"SAOUHSC_00415",25,22,17,1,3,8
"SAOUHSC_00416",31,22,26,1,2,11
"SAOUHSC_00417",27,35,29,1,6,12
"SAOUHSC_00418",0,1,1,0,0,0
"SAOUHSC_00420",25,53,46,3,0,12
"SAOUHSC_00421",54,54,45,1,25,10
"SAOUHSC_00422",139,140,140,11,55,25
"SAOUHSC_00423",11,9,8,1,4,2
"SAOUHSC_00424",6,4,9,0,3,3
"SAOUHSC_00426",14,12,12,1,3,2
"SAOUHSC_00427",1257,1286,1262,140,367,334
"SAOUHSC_00428",40,55,47,3,12,16
"SAOUHSC_00429",14,13,12,1,1,2
"SAOUHSC_00430",21,34,29,2,2,16
"SAOUHSC_00431",14,15,19,2,4,5
"SAOUHSC_00433",16,24,25,0,2,6
"SAOUHSC_00434",4,8,16,0,2,1
"SAOUHSC_00435",33,16,29,2,17,7
"SAOUHSC_00436",17,16,15,2,15,8
"SAOUHSC_00437",81,66,54,35,6,193
"SAOUHSC_00438",35,28,46,8,1,55
"SAOUHSC_00439",18,34,26,4,5,19
"SAOUHSC_00440",6,11,6,0,2,2
"SAOUHSC_00441",18,16,19,0,1,13
"SAOUHSC_00442",186,205,251,16,34,94
"SAOUHSC_00444",177,153,150,14,23,39
"SAOUHSC_00445",131,126,144,9,24,43
"SAOUHSC_00446",0,2,0,0,1,0
"SAOUHSC_00450",32,23,26,3,5,17
"SAOUHSC_00451",31,25,32,2,3,14
"SAOUHSC_00452",187,168,199,20,26,67
"SAOUHSC_00454",109,109,138,11,25,61
"SAOUHSC_00455",48,77,80,5,10,26
