"gene_id","N_A","N_B","N_C","N0A","N0B","N0C","N2A","N2B","N2C","N5A","N5B","N5C","N10A","N10B","N10C","N20A","N20B","N20C","N30A","N30B","N30C"
"gene-NWMN_RS05180",1018,967,979,915,1111,723,786,726,681,546,499,333,269,527,195,311,265,160,286,196,117
"gene-NWMN_RS05185",473,315,313,308,306,258,489,267,239,204,200,111,109,290,60,180,81,92,166,78,56
"gene-NWMN_RS05190",2303,3202,2381,2321,3047,2045,2435,2047,2080,2676,2295,2049,1850,3193,1291,1536,1786,1186,1109,970,608
"gene-NWMN_RS05195",2341,3015,2830,2354,3519,2240,2604,2356,2340,2978,2473,2170,1660,3840,1111,1168,1305,828,938,787,414
"gene-NWMN_RS05200",6518,9139,9420,6919,11973,7479,8388,7908,7748,8986,8774,6197,4072,11691,2473,2744,3342,1824,2611,2146,1229
"gene-NWMN_RS05205",4882,5903,5251,4414,7371,4118,5740,4896,4869,5551,5249,3323,2684,6854,1276,1479,1682,974,1471,1207,621
"gene-NWMN_RS05210",7,2,5,5,4,2,6,6,0,1,0,4,1,0,1,5,0,1,4,1,0
"gene-NWMN_RS05215",1270,828,1160,1044,830,708,964,461,788,925,464,627,649,878,331,723,488,421,535,354,189
"gene-NWMN_RS05220",1093,1184,990,1071,1330,753,1174,948,762,764,660,506,451,1055,286,422,423,249,262,283,123
"gene-NWMN_RS05225",39,49,124,39,61,58,41,23,40,146,80,38,127,143,32,41,81,9,26,30,9
"gene-NWMN_RS05230",56,57,243,67,110,155,73,92,78,278,123,54,199,259,62,100,141,38,63,78,16
"gene-NWMN_RS05235",42,45,166,24,65,73,56,48,35,149,70,46,110,154,19,73,70,24,33,48,5
"gene-NWMN_RS05240",20,21,45,22,40,28,17,19,12,47,29,15,37,50,8,18,30,8,15,19,1
"gene-NWMN_RS05245",35,73,171,76,150,105,50,58,49,146,80,56,86,139,39,59,74,27,40,42,19
"gene-NWMN_RS05250",201,186,383,291,609,364,124,171,210,275,207,214,190,238,78,124,125,73,73,113,40
"gene-NWMN_RS05255",213,158,195,325,457,326,129,205,179,137,134,125,177,195,83,88,91,66,79,71,31
"gene-NWMN_RS05260",160,96,152,291,320,232,118,205,146,89,114,114,136,144,75,63,87,43,65,47,30
"gene-NWMN_RS05265",81,36,78,128,138,107,49,106,81,39,52,47,72,58,32,49,38,24,26,23,15
"gene-NWMN_RS05270",210,113,201,363,374,311,195,293,237,129,162,171,223,205,124,136,143,69,78,64,47
"gene-NWMN_RS05275",364,292,338,512,522,443,305,468,385,198,227,225,251,269,125,206,184,121,156,106,62
"gene-NWMN_RS05280",99,81,129,81,101,103,103,98,110,83,76,63,39,104,39,64,33,27,53,26,22
"gene-NWMN_RS05285",224,219,291,220,234,227,200,187,255,198,175,146,126,204,81,110,97,87,123,51,66
"gene-NWMN_RS05290",126,92,124,104,107,95,91,69,106,90,91,57,41,86,32,61,27,34,49,25,19
"gene-NWMN_RS05300",192,216,129,71,175,107,103,95,109,146,45,161,122,676,111,153,172,128,77,80,43
"gene-NWMN_RS05305",4608,2833,2176,2598,3131,1819,2958,1957,2319,1798,1400,1407,1101,2343,841,1363,918,972,1005,765,397
"gene-NWMN_RS05310",219,222,284,241,372,206,298,334,222,178,236,119,78,218,64,72,78,59,77,54,36
"gene-NWMN_RS05315",300,378,576,285,603,570,365,340,409,502,350,795,345,1116,332,261,385,241,219,182,112
"gene-NWMN_RS05320",2026,1718,2843,2329,2773,2221,2148,1865,2120,2181,1942,1891,1216,2055,914,1187,1142,771,880,748,426
"gene-NWMN_RS05325",13834,14441,20314,17564,20522,15819,16354,14226,14597,15822,14150,14025,9535,14873,7667,8454,8949,6276,6508,5604,3539
"gene-NWMN_RS05330",138,59,81,90,91,60,107,71,81,78,36,47,30,56,16,34,20,25,37,23,6
"gene-NWMN_RS05335",1461,1331,1106,786,1456,731,560,500,699,593,297,409,345,684,201,429,311,146,311,357,84
"gene-NWMN_RS05340",1169,1034,947,672,1093,648,488,491,561,382,254,278,225,511,170,360,222,132,243,274,75
"gene-NWMN_RS05345",1125,1220,991,898,1034,665,632,635,675,531,501,411,261,544,183,317,206,168,276,247,110
"gene-NWMN_RS05355",5321,5442,3402,3915,5383,2840,4171,3404,3232,2624,2550,1854,1298,2842,934,1290,1092,779,1155,937,426
"gene-NWMN_RS05360",488,445,333,342,416,225,329,242,302,204,178,150,106,231,68,98,69,52,73,65,22
"gene-NWMN_RS05365",72,78,52,62,62,48,59,37,47,32,24,21,12,35,10,17,16,5,12,14,6
"gene-NWMN_RS05370",1318,1111,820,1035,1003,650,754,595,730,506,381,292,278,487,184,266,222,170,235,180,72
"gene-NWMN_RS05375",1289,879,999,1156,1189,699,1096,689,629,496,357,272,222,402,173,326,215,192,275,236,101
"gene-NWMN_RS05380",7453,5583,14987,10890,11571,11015,10583,7638,9911,11217,8943,8480,4878,6029,3434,2811,2941,2659,3155,2207,1738
"gene-NWMN_RS05385",6199,4859,14204,10010,10628,10699,9703,7329,9332,10199,8619,8489,5039,4964,3681,2781,3123,2506,2966,2191,1930
"gene-NWMN_RS05390",9334,7369,19502,14230,15123,14817,13513,10853,12944,15055,11970,12675,7988,7528,5833,4318,4991,3894,4309,3274,2749
"gene-NWMN_RS05395",13597,12654,23722,19221,22528,18505,17587,15858,16956,19634,15403,16953,12944,12088,9998,9632,9959,8235,7399,6094,4426
"gene-NWMN_RS05400",207,115,178,163,161,139,230,155,152,136,102,105,86,111,66,62,37,50,59,43,26
"gene-NWMN_RS05405",104,40,167,138,94,117,213,107,168,107,112,64,58,162,48,54,49,48,57,40,20
"gene-NWMN_RS05410",177,105,349,230,191,252,384,221,307,214,256,144,125,320,85,135,114,77,145,97,66
"gene-NWMN_RS05415",145,45,166,121,61,89,236,94,136,128,106,76,53,172,53,79,52,39,72,52,32
"gene-NWMN_RS05420",168,98,257,159,113,171,256,120,209,165,176,115,87,184,64,118,50,46,110,62,41
"gene-NWMN_RS05425",315,166,501,343,267,346,476,198,415,337,305,307,196,385,194,246,170,181,261,138,100
"gene-NWMN_RS05430",1808,1621,2058,1647,1969,1447,1538,1248,1408,1039,1134,952,574,1065,503,721,491,576,692,444,253
"gene-NWMN_RS05435",282,220,192,193,225,171,195,133,140,121,86,74,117,159,55,100,66,63,64,68,19
"gene-NWMN_RS05440",7425,5532,4223,4663,5988,3553,4956,4233,3983,3112,3120,1784,1716,2812,950,1996,1115,1180,2044,1177,635
"gene-NWMN_RS05445",690,482,462,516,530,342,453,324,407,290,233,110,139,255,66,168,108,59,89,101,24
"gene-NWMN_RS05450",596,681,403,465,639,347,505,486,374,448,365,314,279,738,134,222,266,181,183,154,95
"gene-NWMN_RS05455",849,544,370,470,629,357,1005,611,437,411,356,252,207,777,123,176,177,146,118,124,77
"gene-NWMN_RS05460",2928,2397,5478,4771,5500,4037,4937,5033,3995,3074,4455,1989,1112,1515,832,1270,942,885,1494,1049,515
"gene-NWMN_RS05465",157,160,136,132,172,94,149,96,136,119,116,72,48,104,31,44,32,31,35,28,13
"gene-NWMN_RS05470",357,243,216,249,284,177,332,200,204,179,143,103,97,176,51,88,63,54,64,62,16
"gene-NWMN_RS05475",1512,894,963,1057,832,763,1709,737,898,865,646,512,498,895,271,415,318,254,346,322,114
"gene-NWMN_RS05480",2185,1934,1314,1411,1603,903,1217,1051,1028,696,648,418,395,889,232,485,330,264,434,303,159
"gene-NWMN_RS05485",492,865,1001,642,1428,912,681,884,635,1062,1072,853,858,1155,398,577,737,251,421,421,122
"gene-NWMN_RS05490",1433,1127,826,858,1360,618,915,683,734,770,719,489,432,995,213,334,320,163,262,254,85
"gene-NWMN_RS05495",2061,1795,1852,1493,2268,1391,2018,1353,1541,1523,1383,921,703,1672,320,523,435,284,503,433,183
"gene-NWMN_RS05500",931,846,931,705,1144,711,1027,770,798,709,725,483,343,938,196,277,221,160,282,181,107
"gene-NWMN_RS05510",572,433,428,442,559,330,464,349,312,213,251,159,128,331,84,140,121,86,105,109,33
"gene-NWMN_RS05515",198,210,204,197,249,148,166,172,124,104,123,69,73,127,37,74,52,51,58,53,27
"gene-NWMN_RS05520",456,311,328,342,365,226,295,249,275,199,167,122,117,179,68,89,54,84,110,78,39
"gene-NWMN_RS05525",112,105,118,99,102,97,107,54,84,72,63,38,28,63,22,28,27,10,25,25,7
"gene-NWMN_RS05530",123,87,100,66,89,79,107,81,72,38,42,31,34,43,13,27,20,14,9,8,9
"gene-NWMN_RS05535",282,281,294,240,306,232,307,213,205,135,145,105,61,192,58,77,53,52,74,71,35
"gene-NWMN_RS05540",448,370,385,365,391,290,410,305,380,220,207,153,103,246,93,155,82,75,138,121,44
"gene-NWMN_RS05545",128,173,104,116,133,72,107,90,53,53,54,36,29,69,14,40,32,16,36,21,10
"gene-NWMN_RS05550",10767,7691,9297,10518,9295,6596,10274,7666,8112,5748,6087,3862,2571,4072,1878,3465,1933,2231,3902,2320,1193
"gene-NWMN_RS05560",4173,2804,3081,3591,3214,2243,4636,2832,2898,2207,2171,1556,1210,1932,832,1348,808,865,1397,799,412
"gene-NWMN_RS05565",81,58,138,98,108,112,159,106,117,131,105,80,87,115,52,90,80,60,86,57,39
