"gene_id","S1.ctr_1h.BR1","S2.trt_1h.BR1","S3.ctr_3h.BR1","S4.trt_3h.BR1","S5.ctr_1h.BR2","S6.trt_1h.BR2","S7.ctr_3h.BR2","S8.trt_3h.BR2","S9.ctr_1h.BR3","S10.trt_1h.BR3","S11.ctr_3h.BR3","S12.trt_3h.BR3"
"t145_t084_08460",17400,672,12790,6342,17630,11142,13545,4739,51484,8250,8435,4964
"t145_t084_08470",8869,441,5169,3016,8414,6691,7978,2477,22187,5822,4462,2565
"t145_t084_08480",31711,1352,23262,12856,29701,23676,34827,9390,87171,21378,20128,11580
"t145_t084_08490",18583,1306,17752,10033,19971,14776,21289,7741,55002,12711,12300,9058
"t145_t084_08500",20725,2187,19288,16457,22430,32745,27978,12612,55235,17218,14644,13147
"t145_t084_08510",26684,2290,30941,16881,29181,27114,27654,12705,70848,13671,16500,15130
"t145_t084_08520",2117,294,2125,3151,2521,5308,2708,2363,7252,2504,1287,2247
"t145_t084_08530",4210,1466,2253,10283,4511,29246,2596,5295,10759,9093,1463,5550
"t145_t084_08540",2182,788,4875,10577,2302,15289,4889,6899,6572,5982,2759,6178
"t145_t084_08550",9252,722,8311,8507,9897,14239,6722,6183,25604,9111,4835,6842
"t145_t084_08560",11927,1933,29722,10697,21182,17134,13559,7076,10818,8615,12087,9848
"t145_t084_08570",62013,5624,34646,26770,55077,64349,38840,17296,183396,41595,23141,24325
"t145_t084_08580",8607,847,6193,4900,8687,10366,5680,2802,23265,5804,4340,3547
"t145_t084_08590",24203,4373,22460,30948,21956,46923,20798,13003,64635,22191,11769,13106
"t145_t084_08600",31362,5613,24262,31845,32786,71103,26064,16814,86193,34083,13731,15483
"t145_t084_08610",130786,20835,78460,136763,131719,274754,83846,52108,403543,121674,47726,57681
"t145_t084_08620",38320,3703,20648,34147,37938,73207,23176,15812,116167,35189,13470,17398
"t145_t084_08630",29741,2707,22976,27478,30198,48277,20374,12660,81769,30364,13748,16746
"t145_t084_08640",10067,1120,7267,9179,9990,19404,7717,5813,34545,9402,5016,6375
"t145_t084_08650",37543,3743,26028,23740,38299,52599,24311,14699,131276,35624,16375,19298
"t145_t084_08660",22823,6398,85791,77903,36424,61862,57812,50057,37573,10848,31538,21966
"t145_t084_08670",60741,7831,34320,74404,59101,126777,45382,30871,187038,79313,21507,34955
"t145_t084_08680",85374,10181,55039,87902,79463,164728,66632,40490,283327,132188,32666,48762
"t145_t084_08690",84001,10141,46763,94757,77609,193970,93333,47947,256573,217351,40196,51741
"t145_t084_08700",27771,6892,12171,33376,26604,80220,21811,15489,81883,32689,9171,16334
"t145_t084_08710",12166,2709,7434,14308,12344,34643,10963,6975,42232,18426,5465,8183
"t145_t084_08720",5031,763,2329,3642,4615,8599,3229,1894,16793,3293,1529,2011
"t145_t084_08730",12376,1952,4847,8336,11302,23870,7632,3549,40649,10084,3426,4784
"t145_t084_08740",29508,4278,12954,16074,29012,49325,19731,7506,94573,20432,9513,9747
"t145_t084_08750",20197,2698,7459,8309,20322,26742,7970,3492,66329,8780,4558,4889
"t145_t084_08760",116019,25658,229449,166312,126091,383221,261637,104382,337887,276240,124782,153106
"t145_t084_08770",7356,2219,4563,10957,6965,23218,6995,5786,22747,12826,3002,5293
"t145_t084_08780",11317,2963,7216,11731,11317,26147,7999,5885,36469,12063,3961,6458
"t145_t084_08790",70661,5566,49505,32447,63217,73000,36639,20414,178736,51106,28696,27206
"t145_t084_08800",74421,4909,55328,33541,76386,68972,49766,21649,208086,59955,35960,32619
"t145_t084_08810",7610,489,6445,3864,8804,7043,5938,2849,26734,5687,3768,3560
"t145_t084_08820",18670,1308,13107,11774,20450,22265,13496,8184,56317,15091,8769,10598
"t145_t084_08830",55723,6372,35899,36714,53087,76273,45512,22424,193476,57905,25541,29690
"t145_t084_08840",40556,3614,22990,18601,38914,43030,23911,11182,135143,22034,14637,15685
"t145_t084_08850",10010,787,4477,5197,10311,11356,2750,3008,28001,4997,2472,4267
"t145_t084_08860",11749,805,4209,5452,10668,13593,2816,2987,30955,4762,2208,4334
"t145_t084_08870",5718,387,2298,3251,5572,7716,1628,2026,13298,3664,1360,2864
"t145_t084_08880",75036,32995,30393,199784,83108,533120,51768,86380,244764,205064,24853,98096
"t145_t084_08890",48103,5134,32550,34697,38912,74342,34307,29341,120082,62127,21136,30276
"t145_t084_08900",5830,1339,34543,17840,7097,14841,26303,14608,12986,40884,24190,20492
"t145_t084_08910",5794,1160,4404,5875,5047,10206,5767,3738,14900,7154,3040,5362
"t145_t084_08920",20454,2773,16093,17774,20498,33244,14639,9889,62679,17682,8175,13050
"t145_t084_08930",32238,3828,17324,23788,30451,53166,21770,11653,93222,26581,11732,16252
"t145_t084_08940",6166,729,4496,4175,6170,8836,4113,2257,17338,5316,2346,3101
"t145_t084_08950",14869,1738,11832,10356,14484,19761,9790,5520,41495,12100,6338,8194
"t145_t084_08960",400,84,751,1768,341,1708,847,2133,1259,1588,588,1746
"t145_t084_08970",11,3,28,19,8,23,22,26,36,20,27,19
"t145_t084_08980",21,15,91,117,65,148,40,48,153,83,36,68
"t145_t084_08990",79,27,94,122,39,224,93,88,126,142,50,96
"t145_t084_09000",47,10,53,76,68,109,33,35,99,52,26,61
"t145_t084_09010",82,17,82,120,68,232,46,129,213,124,43,101
