"gene_id","SBAC317-PC1a.count","SBAC317-PC1b.count","SBAC317-PC1c.count","SBAC317-TSB1a.count","SBAC317-TSB1b.count","SBAC317-TSB1c.count"
"JYA73_RS05880",7226,12903,24953,2544,4313,4897
"JYA73_RS05885",3937,8210,13351,1366,2401,2907
"JYA73_RS05890",128,488,631,92,149,153
"JYA73_RS05895",1921,5985,10145,933,1706,1649
"JYA73_RS05900",721,2378,3669,428,720,788
"JYA73_RS05905",642,1738,2475,205,494,437
"JYA73_RS05935",19073,49363,35935,5400,7952,11140
"JYA73_RS05970",36196,42441,92665,1103,1640,2282
"JYA73_RS05975",73974,111557,209461,4065,7033,7448
"JYA73_RS05980",1013,1560,2412,34,55,86
"JYA73_RS06000",138,117,301,27,19,64
"JYA73_RS06015",23,38,90,7,6,11
"JYA73_RS06105",339,770,377,115,294,128
"JYA73_RS06140",8470,5417,10774,1597,3001,3235
"JYA73_RS06175",202,247,138,17,31,46
"JYA73_RS06180",156,290,565,38,55,154
"JYA73_RS06255",1665,2452,4564,574,1176,943
"JYA73_RS06280",2302,1657,2268,509,803,1128
"JYA73_RS06285",3320,3092,8307,1144,1781,2133
"JYA73_RS06310",31,245,227,18,25,29
"JYA73_RS06355",1259,791,2001,209,312,372
"JYA73_RS06390",573,320,633,123,181,244
"JYA73_RS06440",1235,2131,3646,464,876,944
"JYA73_RS06460",1231,2793,3869,501,836,805
"JYA73_RS06465",1164,2975,4144,719,1180,913
"JYA73_RS06475",114,76,165,4,10,6
"JYA73_RS06505",675,1240,1702,115,198,197
"JYA73_RS06510",533,3334,2512,316,531,455
"JYA73_RS06515",195,1010,915,110,149,232
"JYA73_RS06635",138,113,268,35,61,54
"JYA73_RS06650",165,109,205,38,68,58
"JYA73_RS06890",1749,950,2888,270,399,610
"JYA73_RS06900",324,1214,1516,167,254,306
"JYA73_RS06905",193,806,1116,121,192,262
"JYA73_RS06910",286,1128,1366,197,258,322
"JYA73_RS06990",1463,841,2916,264,548,684
"JYA73_RS07015",104,64,81,10,18,31
"JYA73_RS07020",4436,3014,3623,807,1270,1555
"JYA73_RS07030",172,212,640,70,143,147
"JYA73_RS07140",219,222,312,73,76,112
"JYA73_RS07150",3537,1743,2683,674,938,1505
"JYA73_RS07170",802,393,847,91,169,260
"JYA73_RS07280",1723,4449,7042,969,1609,2089
"JYA73_RS07435",147,384,807,86,171,141
"JYA73_RS07545",364,585,1770,172,216,270
"JYA73_RS07605",1449,644,1027,159,298,681
"JYA73_RS07655",816,2580,3065,344,671,643
"JYA73_RS07660",2844,8354,8287,728,1144,1076
"JYA73_RS07665",4876,8237,17092,2375,4175,4015
"JYA73_RS07755",289,228,265,53,90,78
"JYA73_RS07770",1717,901,2805,375,689,909
"JYA73_RS07795",251,805,1158,146,225,297
"JYA73_RS07800",2361,6696,9391,683,1317,1181
"JYA73_RS07805",3377,6808,8771,1626,2352,2619
"JYA73_RS07845",1503,2011,3247,464,727,941
"JYA73_RS07850",1185,1965,3823,482,792,1003
"JYA73_RS07855",1850,2866,5007,740,1227,1224
"JYA73_RS07870",2075,1061,1863,391,554,841
"JYA73_RS07935",3817,4458,5611,560,960,873
"JYA73_RS08085",1734,2849,4359,657,1130,1113
"JYA73_RS08095",1388,646,2175,300,461,552
"JYA73_RS08110",996,1027,2183,391,535,782
"JYA73_RS08155",5670,5252,7995,885,1622,1997
"JYA73_RS08205",2768,1661,1799,616,842,1411
"JYA73_RS08215",5252,11550,11465,2111,3065,3255
"JYA73_RS08275",869,1335,1706,313,538,525
"JYA73_RS08280",398,619,734,150,261,217
"JYA73_RS08340",12830,11368,17799,2466,3729,4234
"JYA73_RS08375",450,180,372,46,72,69
"JYA73_RS08380",307,263,481,51,124,85
"JYA73_RS08385",339,300,375,53,109,77
"JYA73_RS08390",68,161,73,17,31,45
"JYA73_RS08400",5649,5935,7209,1074,1745,1933
"JYA73_RS08405",3031,5437,8526,785,1289,1340
"JYA73_RS08440",71,38,91,7,16,15
"JYA73_RS08470",176,179,216,49,49,69
"JYA73_RS08500",1566,1929,3332,347,586,637
"JYA73_RS08505",874,1063,2270,214,356,403
"JYA73_RS08535",234,68,45,20,39,31
"JYA73_RS08655",356,733,1031,150,223,361
"JYA73_RS08705",1075,1727,1246,223,240,336
"JYA73_RS08725",3449,5017,8342,1622,2449,2544
"JYA73_RS08735",375,1043,1993,271,348,374
"JYA73_RS08740",2086,1304,3983,423,816,725
"JYA73_RS08765",585,887,712,97,141,164
"JYA73_RS08790",359,1376,1043,59,99,171
"JYA73_RS08795",400,1177,1144,95,166,166
"JYA73_RS08800",2176,1130,2387,197,357,411
"JYA73_RS08990",255,599,1111,124,216,266
"JYA73_RS09080",809,2240,3424,387,701,725
"JYA73_RS09100",196,127,134,30,26,31
"JYA73_RS09150",2944,4553,7027,911,1383,1448
"JYA73_RS09170",426,790,1786,205,327,392
"JYA73_RS09210",83,142,211,41,61,54
"JYA73_RS09215",290,145,432,32,62,75
"JYA73_RS09245",5025,3346,7269,1095,2125,1414
"JYA73_RS09265",3977,4830,9067,899,1628,1819
"JYA73_RS09290",635,698,1995,68,125,147
"JYA73_RS09380",271,151,242,49,106,105
"JYA73_RS09400",128,151,155,25,39,23
"JYA73_RS09420",143,129,449,40,47,59
"JYA73_RS09425",81,57,371,20,29,40
"JYA73_RS09430",927,1428,1457,202,273,325
"JYA73_RS09450",6649,5929,8703,1498,2453,2759
"JYA73_RS09455",2033,2668,2820,498,677,974
"JYA73_RS09505",458,291,202,16,25,35
"JYA73_RS09540",104,86,239,11,24,22
"JYA73_RS09555",227,586,1132,139,205,272
"JYA73_RS09570",572,1744,650,89,177,171
"JYA73_RS09575",962,3770,1248,255,441,371
"JYA73_RS09580",67,303,98,20,26,47
"JYA73_RS09605",114,533,192,65,107,99
"JYA73_RS09610",334,1723,536,191,287,279
"JYA73_RS09665",2037,5099,7177,752,1322,1332
"JYA73_RS09700",354,397,737,80,128,145
"JYA73_RS09705",130,205,197,29,61,87
"JYA73_RS09710",349,641,590,98,195,161
"JYA73_RS09715",311,371,228,26,55,41
"JYA73_RS09725",808,1837,1185,169,259,317
"JYA73_RS09730",284,819,449,71,111,144
"JYA73_RS09780",6404,9674,17851,2540,4279,4573
"JYA73_RS09785",396,970,1603,72,116,113
"JYA73_RS09790",410,1066,1910,59,83,105
"JYA73_RS09795",386,899,2047,46,77,103
"JYA73_RS09800",408,426,1381,23,31,67
"JYA73_RS09805",952,643,2824,176,368,318
"JYA73_RS09900",272,535,1147,113,195,225
"JYA73_RS09905",658,1079,2620,305,524,513
"JYA73_RS09910",1690,2848,7690,475,928,914
"JYA73_RS09915",1499,2483,7748,671,1224,1302
"JYA73_RS09920",747,914,3533,295,512,715
"JYA73_RS09925",3764,2290,5930,886,1555,1765
"JYA73_RS09955",803,397,919,60,100,99
"JYA73_RS09980",1185,1108,2012,253,433,630
"JYA73_RS10020",5591,6043,8050,976,1659,2137
"JYA73_RS10030",2382,3168,6539,572,838,1019
"JYA73_RS10035",209,222,820,41,100,75
"JYA73_RS10040",2203,2072,7393,459,821,878
"JYA73_RS10090",46144,45234,44666,12430,17182,22421
"JYA73_RS10195",148,287,609,60,98,75
"JYA73_RS10220",3929,2835,6251,128,229,281
"JYA73_RS10225",896,1255,2891,268,461,460
"JYA73_RS10230",310,463,1353,81,133,140
"JYA73_RS10235",1471,2406,8919,625,991,1081
"JYA73_RS10260",1449,2366,3963,511,899,899
"JYA73_RS10400",8565,13494,37336,165,236,306
"JYA73_RS10405",27613,42406,135979,566,970,1051
"JYA73_RS10445",978,1348,2399,290,437,579
"JYA73_RS10635",154,69,147,15,30,29
"JYA73_RS10640",1196,780,1459,207,343,462
"JYA73_RS10715",2828,1393,2500,557,888,1073
"JYA73_RS10775",438,195,527,65,93,122
"JYA73_RS10825",122,1027,374,57,117,72
"JYA73_RS10830",659,5239,1505,501,793,611
"JYA73_RS10835",733,359,3867,187,356,361
"JYA73_RS10855",1371,588,1147,144,207,261
"JYA73_RS10860",12958,8287,24903,411,987,577
"JYA73_RS10950",344,458,452,59,117,90
