"Synonym","Newman.TSB.Replicate.1","Newman.TSB.Replicate.2","Newman.TSB.Replicate.3","Newman.Minus.Glc.Replicate.1","Newman.Minus.Glc.Replicate.2","Newman.Minus.Glc.Replicate.3","arlRS.KO.TSB.Replicate.1","arlRS.KO.TSB.Replicate.2","arlRS.KO.TSB.Replicate.3","arlRS.KO.Minus.Glc.Replicate.1","arlRS.KO.Minus.Glc.Replicate.2","arlRS.KO.Minus.Glc.Replicate.3"
"NWMN_RS03760",9407,4515,8689,5215,8044,4878,7096,11509,9023,4909,7290,3232
"NWMN_RS03765",1138,1439,1431,2291,4596,2337,1148,1648,1329,2401,2470,1765
"NWMN_RS03770",336,189,111,265,394,151,154,302,280,235,332,186
"NWMN_RS03775",4592,4839,5898,1366,4400,726,4958,3091,8244,445,1494,173
"NWMN_RS03780",20751,16127,19414,5931,19590,3371,11681,12179,20494,2216,9301,936
"NWMN_RS03785",34575,33721,41240,13250,34294,7387,26006,21452,36879,6522,14972,2861
"NWMN_RS03795",4183,2373,3532,4349,5441,3953,2525,2991,3319,2855,2505,2248
"NWMN_RS03800",12529,7986,11656,10045,9960,8837,8276,9554,9430,8533,8136,4771
"NWMN_RS03805",2374,1333,2324,3998,5795,3802,1330,1450,1170,6182,2954,5209
"NWMN_RS03810",2208,1334,2519,4183,6038,3565,1544,1410,1550,6372,2727,5068
"NWMN_RS03815",49649,37504,41584,35859,56794,25405,46945,67247,60260,48965,60715,31253
"NWMN_RS03820",141722,102572,139654,105577,172861,95950,142712,174297,217016,151958,128330,102874
"NWMN_RS03825",65743,40463,62217,49271,65562,43159,74085,69922,99373,68848,56824,46959
"NWMN_RS03830",24821,21063,19484,18058,32421,14635,20123,30939,26803,35815,31261,32788
"NWMN_RS03835",233,416,276,239,329,294,381,413,550,227,239,222
"NWMN_RS03840",1871,1725,1502,1155,1724,1197,2877,2124,3276,1299,1050,777
"NWMN_RS03845",614,717,345,413,660,457,857,866,1011,483,430,310
"NWMN_RS03850",1534,1703,1447,1222,2032,1006,2731,2417,3433,741,1288,515
"predicted RNA",2950,3373,2693,2004,3660,2146,3272,5115,3884,1829,2566,1148
"NWMN_RS03855",11982,7813,8425,6126,8574,7249,9350,11904,10555,5064,6713,3666
"NWMN_RS03860",66486,36423,44684,27928,40370,32802,45730,58684,53937,23996,24543,16419
"NWMN_RS03865",22154,16108,15174,8077,16281,9351,13743,27902,16934,7597,9344,5656
"NWMN_RS03870",2406,2189,2091,1176,1923,1524,2508,2905,2927,1076,1158,936
"NWMN_RS03875",32229,21741,25455,13378,20072,16022,24082,32467,30237,10727,11244,7260
"NWMN_RS03880",38237,27257,27231,18295,24336,18977,28568,38091,33565,13628,14222,9663
"predicted RNA",1133,1407,1008,780,1050,707,992,1943,1118,707,446,406
"predicted RNA",10111,5819,8132,4949,8356,5398,5379,12254,7957,2806,3632,1506
"NWMN_RS03885",45968,36817,47778,28281,39501,26975,31052,39522,39074,20246,20711,12891
"NWMN_RS03895",16009,9149,12665,12263,13453,9394,10654,13192,10630,8378,9608,4467
"NWMN_RS03900",14665,8632,11506,8564,11226,8454,8760,10611,8987,5392,7230,3725
"NWMN_RS03905",14082,6605,13819,7494,7466,6438,3108,5000,3503,4433,3158,2905
"NWMN_RS03910",24291,12248,29539,12699,14186,11880,6071,8304,7642,6234,4512,4239
"NWMN_RS03915",7450,2811,6630,2538,3756,2606,2403,4423,2846,1967,2151,1145
"NWMN_RS03920",2932,1693,2825,2121,2367,1659,1999,2262,2623,1487,1402,703
"NWMN_RS03930",2684,1953,2700,3964,5503,2977,2076,2739,1790,9119,4311,6142
"NWMN_RS03935",0,4,3,0,9,12,19,16,12,18,5,6
"NWMN_RS03940",12584,7839,12936,13523,14676,10084,13765,14385,17858,13673,12787,8549
"NWMN_RS03945",928,1219,855,947,2302,1164,1424,1654,1835,583,892,307
"NWMN_RS03950",1846,1749,1591,1497,3398,1634,2631,2451,3076,1065,1738,642
"NWMN_RS03955",6580,3739,4720,5699,6375,4296,8482,10666,8038,4818,7117,2379
"NWMN_RS03960",39011,22318,34292,37359,40122,31955,55593,65874,57651,29706,37208,14311
"NWMN_RS03965",24049,13191,17398,21138,25404,15606,29703,39138,25401,14238,23106,6314
"NWMN_RS03975",10,13,0,7,2,0,13,7,37,4,10,5
"NWMN_RS03980",1722,1338,522,1129,1382,1500,230,466,214,109,94,86
"NWMN_RS03985",648,956,312,463,674,883,64,255,114,48,62,85
"NWMN_RS03990",1582,1326,484,643,978,1097,142,447,122,65,89,61
"NWMN_RS03995",3201,3277,1660,2532,4241,2631,340,1490,346,340,769,352
"NWMN_RS04000",1633,1352,1370,1608,2024,1381,1223,1251,1424,1231,1017,864
"NWMN_RS04005",2044,1853,2387,2501,2817,2211,1716,1794,1782,1509,1653,1276
"NWMN_RS04010",72,105,65,48,105,51,111,82,67,62,112,38
"NWMN_RS04015",397,340,438,189,343,190,115,270,191,123,126,70
"NWMN_RS04020",266,292,271,214,399,87,227,262,209,174,232,74
"NWMN_RS04025",3265,2229,2788,2321,4011,1936,1724,2564,1978,1762,2628,1337
"NWMN_RS04030",5559,3404,4913,4696,5180,4223,2919,3771,3224,4152,3496,3042
"NWMN_RS04035",2553,1530,2897,1745,3012,2468,1428,1797,2903,1510,1045,1312
"NWMN_RS04040",580,390,485,438,620,329,345,491,418,412,338,178
"NWMN_RS04045",1080,1507,1580,879,1797,948,770,843,1062,619,655,488
"NWMN_RS04050",12680,5804,14105,7532,9386,8551,5543,5843,8255,3541,3423,2278
"NWMN_RS04055",1305,539,1043,914,1131,687,590,791,621,813,718,671
"NWMN_RS04060",6574,4624,4226,5534,6361,4537,4677,6120,4957,4331,5699,3411
"NWMN_RS04065",157,191,112,126,162,124,166,252,129,177,96,146
"NWMN_RS04070",100,89,199,178,184,128,138,159,125,224,149,200
"NWMN_RS04075",1142,696,985,1355,1114,605,364,536,407,2181,1937,1574
"NWMN_RS04080",49693,28254,51543,32098,43313,29888,31142,38651,37241,21337,25344,13472
"NWMN_RS04085",15,37,12,24,20,16,19,24,30,2,3,11
"NWMN_RS04090",10691,4957,6899,7328,11071,6740,7014,9196,7458,4364,7175,2555
"NWMN_RS04095",0,0,2,3,4,1,2,5,0,1,1,1
"NWMN_RS04100",508,298,386,401,628,342,15550,20232,22137,7324,20103,4451
"NWMN_RS04105",728,624,677,628,853,507,149,302,254,154,262,119
"NWMN_RS04110",155,99,131,84,115,70,36,44,21,11,43,11
"NWMN_RS04115",7489,4264,5515,3521,4043,2941,4346,5889,3756,3802,2871,3206
"NWMN_RS04120",18107,11291,15262,10530,13815,10330,11281,13749,12157,12315,7831,10185
"NWMN_RS04125",20837,8402,15468,14873,14644,12267,10027,11943,10503,10892,10138,7137
"NWMN_RS04130",12474,5772,9568,8131,9475,7720,5866,7914,6552,6517,6146,4527
"NWMN_RS04135",4028,1896,3517,2123,3038,2375,1396,2344,2340,1791,1841,1404
"NWMN_RS04140",9752,6469,10752,7166,9919,7626,5832,7037,7739,5092,4839,3669
"NWMN_RS04145",63153,24096,47212,38485,51544,37057,41815,57985,46361,50216,46364,36323
"predicted RNA",958,642,722,969,1661,704,562,1123,673,1245,746,960
"predicted RNA",1600,887,1804,1092,1405,1217,1120,1395,1538,1255,531,748
"NWMN_RS04155",4765,2404,3895,2879,3499,2152,2682,4019,2944,2795,3298,1990
"NWMN_RS04160",8185,4214,6790,6136,10789,5496,5785,6880,5968,12820,6985,10938
"NWMN_RS04165",9246,5973,9456,7425,14820,6994,7256,8624,7854,14318,7773,11672
"NWMN_RS04175",6178,2748,5302,4135,4924,3415,2647,3776,2492,3584,5746,3061
"NWMN_RS04180",3172,1908,2888,4210,6388,3614,2264,2485,2283,7591,4522,6193
"NWMN_RS04185",626,448,335,396,854,239,298,841,168,527,526,358
"NWMN_RS04190",150590,110765,143335,75410,148086,66977,101914,95200,184157,32845,53664,20739
"NWMN_RS04195",159479,112583,178337,105878,109548,83164,112353,117281,160177,55340,67813,40693
"NWMN_RS04200",35670,23967,37201,17276,16399,13856,25642,30054,30512,12165,11152,9834
"predicted RNA",2310,2706,2750,1375,1418,1063,1804,2768,2387,1211,974,1054
"NWMN_RS04205",70725,47334,73617,30304,31899,27816,49435,55688,59576,25984,18007,20476
"NWMN_RS04210",48841,40699,53164,23435,24177,21887,38447,44972,44597,20973,17835,18557
"predicted RNA",1280,1613,905,835,631,471,745,1356,694,678,473,555
"predicted RNA",1771,1049,1624,2299,4483,2073,761,1795,918,4065,1924,2215
"NWMN_RS04215",123915,74935,140490,96851,90109,87128,77826,96871,98567,67898,50015,51876
"NWMN_RS04220",2097,1805,2134,2158,2822,2014,2639,2656,2993,2704,2259,1702
"NWMN_RS04225",2599,2100,1547,1658,2840,1437,1788,2788,2216,1478,2528,1178
"NWMN_RS04230",4074,3447,2750,2211,4440,2263,2917,4435,4123,2280,2825,1810
"NWMN_RS04235",20719,18576,19200,13409,23468,13322,19354,20771,24586,16532,12140,12780
"NWMN_RS04240",5684,3679,3983,3695,5571,2883,4989,4534,4955,3714,3251,2009
"NWMN_RS14985",296592,233137,241049,345620,315805,329712,174227,202463,201325,388619,192373,332911
"NWMN_RS04250",286,161,169,364,359,209,84,182,109,315,168,192
"NWMN_RS15865",44,42,19,81,80,49,28,38,32,75,66,83
"NWMN_RS04260",5,9,25,11,21,17,0,6,0,5,1,9
"NWMN_RS04265",0,4,6,11,7,0,0,4,0,0,0,6
"NWMN_RS04270",0,30,38,38,214,48,29,65,59,152,63,91
"NWMN_RS04275",230,158,245,119,359,132,161,155,143,121,111,126
"NWMN_RS04280",24936,13505,21756,27659,38134,27980,29671,23566,30699,118474,33677,92616
"NWMN_RS04285",9865,19073,13458,5702,3378,6801,3793,4248,3906,623,893,599
"NWMN_RS04290",4776,4556,5372,8696,6696,5205,3162,3116,3538,9463,5627,7727
"NWMN_RS04295",3796,3174,2496,5645,3449,3750,987,1046,871,331,907,162
"NWMN_RS04300",1285,980,869,944,1632,980,241,372,315,251,293,162
"NWMN_RS04305",51484,32808,50650,38866,26171,36482,17004,15599,21119,21322,15277,14687
"NWMN_RS04310",546,377,469,546,1033,573,552,787,686,2619,1499,2009
"NWMN_RS04315",389,360,432,527,764,488,535,703,643,1738,1255,1429
"NWMN_RS04320",1057,562,889,529,770,458,583,635,495,290,503,202
"NWMN_RS04325",80,81,58,96,131,82,75,140,113,163,94,99
"NWMN_RS04330",1794,1037,1511,1773,2468,1588,1751,2147,2153,2375,2035,1623
"NWMN_RS04335",59,61,45,69,129,29,101,80,72,81,67,35
"NWMN_RS04340",170,258,288,486,1278,513,379,364,353,1622,990,1449
"NWMN_RS04345",997,578,582,338,701,311,1126,1575,1151,744,1120,547
"NWMN_RS04350",2498,1674,2018,2037,2543,1530,1881,2136,2191,1753,2105,1074
"NWMN_RS04355",2050,1332,1227,1287,1522,1050,1307,1214,1394,1101,1334,669
"NWMN_RS04360",792,547,607,1122,2020,870,650,645,689,2239,1170,1766
"NWMN_RS04365",1150,523,1020,1202,1520,1027,945,1229,1209,1084,949,830
"NWMN_RS04370",7415,3392,3558,4129,5280,3968,1778,2925,1824,2024,2011,1161
"NWMN_RS04375",2701,1367,3033,2937,3686,2533,1408,2105,1694,2657,2224,2051
"NWMN_RS04380",4016,2548,3187,3662,5307,3415,1284,2757,1537,2748,3768,2713
"NWMN_RS04385",4656,2747,2803,4902,6136,3390,1933,3692,2231,6621,6214,6475
"NWMN_RS04395",1542,877,1249,1951,1557,1635,1230,1371,1346,3790,1167,4172
"predicted RNA",510,239,324,538,445,532,332,363,406,842,300,842
"NWMN_RS04405",334,318,369,523,701,460,494,392,466,1211,454,1097
"NWMN_RS04410",243,190,272,295,494,269,263,299,371,661,286,691
"predicted RNA",7037,1699,4276,2922,2645,2822,4585,6002,4663,731,2848,486
"NWMN_RS04415",7407,2975,5960,4367,3193,3970,6682,7471,8052,1919,3834,1009
"NWMN_RS04420",19500,5834,15451,10158,8104,9122,16679,17927,18266,4336,8188,2051
"NWMN_RS04425",4158,1588,2926,2236,2113,1692,3373,4710,3486,1365,2602,736
"NWMN_RS04430",2787,1619,1617,3856,6720,2063,2334,2652,1193,9341,5116,6326
"NWMN_RS04435",3058,2367,2889,1782,2032,1678,1054,1707,1386,825,1021,538
"predicted RNA",5921,2858,3763,3675,6895,2944,4237,6849,2901,5366,3911,3153
"predicted RNA",3312,1681,3532,1349,3338,1818,2924,3202,3557,2323,985,1729
"predicted RNA",2889,1499,2996,1559,3731,2151,2611,3742,2328,2332,996,1449
"NWMN_RS04440",9310,5127,4750,3711,5722,3500,4391,7123,3227,3552,3549,3159
"NWMN_RS04445",59919,38073,49207,29411,40948,37153,33518,46912,30710,25894,17067,21336
"NWMN_RS04450",85178,43962,61451,35688,54586,50224,41524,55553,40141,30626,21235,25806
"NWMN_RS04455",35805,18688,29444,16176,23670,21752,20620,23427,19855,12829,8597,10148
"NWMN_RS04460",68388,38216,52100,31481,58121,42433,35101,53771,33244,30569,26891,23140
"NWMN_RS04465",0,3,5,0,2,0,17,7,4,4,0,0
"NWMN_RS04470",0,3,13,28,21,9,6,0,5,10,12,3
"NWMN_RS04475",3955,2010,3358,2839,4640,2834,1466,2201,1777,4309,2732,3239
"NWMN_RS04480",3029,1478,2092,2380,3367,1933,991,1599,986,2451,2291,1809
"NWMN_RS04485",67,38,69,60,67,46,26,23,9,33,25,18
"NWMN_RS04490",2767,1709,2249,1500,2633,1442,1019,2029,1373,1467,1430,1237
"NWMN_RS04495",2238,1086,2152,1307,1822,1432,870,1219,1435,1070,956,1004
"NWMN_RS04500",5363,3022,5880,3272,4639,3136,2679,3225,3767,2666,2102,1938
"NWMN_RS04505",16109,8818,10680,11614,15852,11091,8188,11300,9038,9595,9630,6796
"NWMN_RS04510",100,110,107,62,118,75,83,138,47,70,101,49
"NWMN_RS04515",798,382,465,492,778,454,351,554,397,260,431,140
"NWMN_RS04520",8226,3942,6459,6362,7821,6131,3969,5991,4782,4796,5290,3748
"NWMN_RS04525",4808,2727,4099,4170,5495,3821,2669,4148,3372,3752,3470,3216
"NWMN_RS04530",16529,7642,15969,12879,17836,14884,9106,12057,13484,10729,9367,9328
"NWMN_RS04535",65,55,80,19,74,60,32,53,73,36,26,9
"NWMN_RS04540",113,106,95,55,317,149,104,208,146,30,111,15
"NWMN_RS04545",23862,16947,19985,24636,57299,29991,16728,20953,23988,10621,17681,7131
"NWMN_RS04550",5327,5955,6493,6398,14595,6993,4293,5792,6981,3262,4827,2151
"NWMN_RS04555",12111,8788,13613,12131,28116,16648,8157,10365,12695,6216,8442,3424
"NWMN_RS04560",14410,13619,15242,16668,34430,17481,9984,14613,14553,8671,12693,4615
"NWMN_RS04565",1915,1122,1358,1747,1921,1205,1020,1512,978,1442,1622,974
"NWMN_RS04570",371,171,123,288,223,164,124,220,108,187,225,153
"NWMN_RS04575",3732,2244,3037,3011,4550,2757,1216,1326,1737,2466,1293,2048
"NWMN_RS04580",1064,517,700,739,932,500,656,808,550,672,1061,547
"NWMN_RS04585",1422,570,1300,975,1241,1065,878,970,1057,920,803,768
"NWMN_RS04590",35748,26711,35653,35749,40330,30350,28747,31956,32621,28346,27810,19707
"NWMN_RS04595",6802,3877,6480,5619,8756,5560,3966,6652,4786,5358,5810,4505
"NWMN_RS04600",12384,10676,27952,11980,8313,9277,6854,6707,5606,1605,6899,705
"NWMN_RS04605",15862,9942,27229,12283,8194,9104,7289,6516,5453,2480,6741,1444
"NWMN_RS04610",47,128,91,67,111,61,142,139,113,67,55,75
"NWMN_RS04615",4893,3106,5198,4219,4657,3908,3140,3279,4311,2720,2363,1685
"NWMN_RS04620",1647,1231,2432,1753,1833,1681,1160,1419,1732,1224,1042,776
"NWMN_RS04625",18419,8550,17618,13391,18265,14027,8046,13033,12800,8351,10661,5190
"NWMN_RS04630",24113,16385,28362,23559,27827,21470,15223,19570,20817,16041,15763,10082
"NWMN_RS04635",6520,3669,7849,5790,7561,5456,3739,5348,4614,4020,5003,2542
"NWMN_RS04640",8552,5202,9201,8429,9314,7658,5332,6314,6490,5024,4943,3240
"NWMN_RS04645",56865,37785,61237,57988,67321,53012,35429,50530,47221,41291,42464,27061
"NWMN_RS04650",577,388,575,697,792,497,303,525,510,626,669,563
"NWMN_RS04655",18172,7091,12793,19611,20066,16932,7277,9979,7517,12258,10733,8802
"NWMN_RS04660",4001,2099,3561,3332,4484,2723,2150,2452,2348,2948,2982,3002
"NWMN_RS04665",5645,1415,2799,3791,4428,2315,2172,2967,1503,3064,2626,1661
"NWMN_RS04670",5620,2367,4659,5770,6041,5688,3488,4241,4174,27190,4233,23381
"NWMN_RS04675",14071,6354,14088,23027,27182,24532,8445,8553,9630,77676,15113,67592
"NWMN_RS04685",171,131,266,422,753,330,47,88,112,901,217,787
"NWMN_RS04690",4583,6782,25739,1940,316,670,2944,1539,3408,254,598,230
"NWMN_RS04695",3446,5125,21812,1407,266,538,2561,1167,4527,205,401,171
"NWMN_RS04700",16880,10913,18143,20417,24343,16251,11661,17936,14793,17043,16155,14431
"NWMN_RS04705",988,937,1429,888,1237,747,694,921,1061,515,607,356
"NWMN_RS04710",5117,3814,6096,4362,6296,3770,3841,3467,4735,2451,2657,1492
"NWMN_RS04715",4350,3074,5274,3261,5396,2936,2967,2813,3715,1896,2217,974
"NWMN_RS04720",14947,8568,12126,6983,9084,7325,9390,13821,11876,7248,4842,6023
"NWMN_RS04725",13570,9235,10838,6568,7987,6436,9700,12657,10529,6753,4201,5782
"NWMN_RS04730",63475,25614,52848,54107,54640,45171,29205,44555,33112,38155,40503,26597
"NWMN_RS04735",396,392,434,370,796,472,409,390,406,462,589,416
"NWMN_RS04740",25178,11845,20972,20473,20980,16219,10697,13547,11726,10312,11098,6153
"NWMN_RS04745",5559,3134,4731,3761,4584,3752,2758,3680,3039,2771,3229,2043
"NWMN_RS04750",8570,4826,6189,6647,9143,5054,4642,7300,4346,4951,5827,2890
"NWMN_RS04755",165,218,270,195,288,182,386,581,612,186,319,127
"NWMN_RS04760",13376,3678,19008,3866,4679,4746,2761,5816,2645,6686,5337,4954
"NWMN_RS04765",23,15,56,39,50,42,25,64,38,39,36,14
"NWMN_RS04770",0,9,21,17,20,9,12,16,14,29,13,29
"NWMN_RS04775",66,13,10,13,52,21,39,51,42,26,30,15
"NWMN_RS04780",121,66,36,28,89,56,54,101,60,29,50,31
"NWMN_RS04785",276,148,149,121,225,146,134,278,164,121,137,67
"NWMN_RS04790",205,183,250,242,367,180,155,187,239,122,155,107
"NWMN_RS04795",1299,601,875,1436,1584,1073,860,904,844,956,1442,951
"NWMN_RS04800",24076,15996,28493,14513,17491,13409,12269,13115,16297,8030,10513,4604
"NWMN_RS04805",30662,20758,31139,21399,26051,18034,13745,17463,17097,12529,18406,8006
"NWMN_RS04810",126,119,103,147,207,216,165,158,185,268,150,211
"NWMN_RS04815",5185,2483,4475,3622,2254,2915,4267,5127,5493,7690,2642,6784
"NWMN_RS04820",25817,7608,19324,12269,9359,11213,17608,21214,22076,26005,10568,19584
"NWMN_RS04825",10106,3081,6583,4822,3937,3795,6256,9381,7669,10058,4624,8932
"NWMN_RS04830",15236,3902,9690,6158,6564,5082,8838,13727,11550,14136,5797,12328
"NWMN_RS04835",20920,6195,14103,8500,10996,6992,12975,19237,16001,20236,8689,19341
"NWMN_RS04840",52,48,31,21,45,31,1504,2439,2082,535,828,346
"NWMN_RS04845",0,14,26,7,26,20,134,260,182,36,23,24
"NWMN_RS04850",35,17,32,7,21,24,145,232,145,50,55,27
"NWMN_RS04855",177,77,123,99,182,87,577,924,795,238,287,124
"NWMN_RS04860",62,59,49,50,91,12,305,394,381,83,119,63
"NWMN_RS04865",18157,10937,13581,15019,21876,15487,10776,14395,14361,10245,10608,7090
"NWMN_RS04870",54708,31569,58759,43202,39100,36037,12020,13470,13776,13716,11982,11470
"NWMN_RS04875",9293,5857,11310,7135,9753,6179,5520,7966,6549,5053,5645,3465
"NWMN_RS04880",79,62,118,59,141,107,60,133,75,80,59,33
"NWMN_RS04885",25144,11849,23866,19096,23906,16397,11315,17053,14834,12647,12460,9019
"NWMN_RS04890",3378,1973,2496,2537,2833,1649,1061,2660,1386,1800,2299,1422
"NWMN_RS04895",2736,1288,2448,1892,2120,1707,1193,1698,1351,1721,1360,1379
"NWMN_RS04900",410,337,405,431,383,259,188,342,160,316,298,307
"NWMN_RS04905",1689,1019,1428,1604,1972,1437,845,1424,903,983,1320,710
"NWMN_RS04910",5271,2455,2870,3657,4390,3058,2308,3519,2689,2271,2787,2043
"NWMN_RS04915",8082,4045,6657,6725,7715,5541,4145,5797,4829,4934,4293,3605
"NWMN_RS04920",7776,3704,5646,3980,7249,4295,4090,6133,5158,2758,2766,1799
"NWMN_RS04925",17849,7207,11303,6487,11314,7085,7554,11953,8894,4539,5408,3066
"NWMN_RS04930",10413,5928,10635,7298,10011,6775,6844,7570,8017,4403,4237,2660
"NWMN_RS04935",12642,7594,12636,11881,13811,11415,8688,8769,10636,8007,7580,5002
"NWMN_RS04940",8438,5962,7297,10097,11329,9664,6174,6923,7587,7616,6737,5801
"NWMN_RS04945",3849,1868,4083,3034,2994,2822,5150,4559,5349,3909,3291,2078
"NWMN_RS04950",783,425,639,558,635,436,647,871,983,663,628,423
"NWMN_RS04955",859,606,820,1405,1606,1269,509,650,691,2741,1503,2442
"NWMN_RS04960",6813,5246,7892,5670,7826,6064,4206,5079,5668,4069,3802,2793
"NWMN_RS04965",7590,5755,7687,7205,8635,6139,4311,5584,5658,4980,4979,3359
"NWMN_RS04970",19576,9972,12430,11899,15298,12066,11033,13079,13121,7862,9067,4617
"NWMN_RS04975",461,284,256,278,358,166,250,368,271,157,240,106
"NWMN_RS04980",9862,6665,7185,6730,8754,6842,6711,7860,7683,4266,6214,2750
"NWMN_RS04985",6269,4483,5818,5271,6602,4728,3628,4553,4443,3125,3746,1929
"NWMN_RS04990",3713,2593,2944,1867,2941,1658,2172,3032,2503,1307,1564,1045
"NWMN_RS04995",3943,3303,4424,3466,4928,3256,3245,3664,3971,2577,2793,1747
"NWMN_RS05000",6291,3086,4106,4587,6100,4541,3056,4813,4051,3720,3395,2617
"NWMN_RS05005",8,18,11,12,23,20,1,9,12,12,24,12
"NWMN_RS05010",20,38,24,31,57,54,9,24,25,14,69,28
"NWMN_RS05015",61,39,6,26,51,12,174,365,248,149,168,88
"NWMN_RS05020",607,168,340,188,121,163,313,430,331,475,574,345
"NWMN_RS05025",2117,947,1963,1980,2595,1617,1003,1843,1105,1314,1506,818
"NWMN_RS05030",6828,4138,6613,5999,6979,5258,3971,4290,4650,2327,3114,1127
"NWMN_RS05035",23863,16795,30814,21061,31659,25109,15579,18611,23030,9612,8062,4940
"NWMN_RS05040",46,34,22,38,50,27,188,210,191,391,234,281
"NWMN_RS05045",0,2,0,0,2,0,0,3,14,0,2,0
"NWMN_RS15260",116,49,47,22,22,20,59,79,38,35,46,27
"NWMN_RS05050",111,121,211,69,110,53,236,266,200,105,83,71
"NWMN_RS05055",5,59,103,60,67,6,33,121,99,24,30,41
"NWMN_RS05060",128,70,56,25,44,35,37,57,40,51,73,20
"NWMN_RS15265",183,290,169,164,232,155,319,647,509,574,756,436
"NWMN_RS05070",61,76,81,34,69,34,92,121,123,52,35,90
"NWMN_RS05075",5502,3500,3757,3373,4865,3875,5001,6540,5772,5778,4516,4943
"NWMN_RS05080",3765,3530,2967,2899,4448,2357,1408,2380,1932,944,1466,282
"NWMN_RS05085",261,156,174,156,326,175,317,451,266,423,296,458
"NWMN_RS05090",111,38,95,95,98,76,29,38,53,61,56,47
"NWMN_RS05095",34,21,50,42,37,31,3,18,15,18,18,14
"NWMN_RS05100",1802,797,1740,1370,1717,1568,233,171,270,220,123,239
"NWMN_RS05105",9645,6862,9674,9951,13670,9417,8842,7020,11468,6521,6424,4075
"NWMN_RS05110",6593,3890,6853,4666,7075,4762,3891,4598,5130,5071,3776,4869
"NWMN_RS05115",15767,9123,14843,10829,19352,11284,9647,10885,13147,14501,7981,10859
"NWMN_RS05120",5872,3598,6641,4884,8801,4968,4757,4638,5756,5886,3678,4347
"NWMN_RS05125",16526,8189,13585,16896,20001,15549,11024,12456,12216,15578,12170,12506
"NWMN_RS05130",535,251,446,270,496,250,984,1491,1307,1170,543,885
"NWMN_RS05135",842,489,866,408,603,458,1694,2568,1716,1713,678,1739
"NWMN_RS05140",679,338,260,285,417,207,1178,1941,1440,1390,748,1556
"NWMN_RS05145",11685,5228,8739,9590,9548,8042,9170,12328,11021,7972,9227,4121
"NWMN_RS05150",784,818,1255,481,1167,735,851,1015,1271,452,707,307
"NWMN_RS05155",652,412,371,459,880,385,6300,8348,8360,6320,7177,4464
"NWMN_RS05160",0,9,4,5,18,5,127,150,246,134,115,68
"NWMN_RS05165",18409,12920,12960,20744,22291,14992,18660,19153,22380,25974,18271,18622
"NWMN_RS05170",485,215,394,279,282,236,190,355,315,141,212,99
"NWMN_RS05175",2840,1611,2889,1865,2894,1834,1541,1875,2101,1058,1458,631
"NWMN_RS05180",14607,6872,9633,9059,11976,6191,6185,8340,7819,4390,6971,2622
"NWMN_RS05185",3860,2348,3314,2354,4003,2001,2546,4100,3751,1713,2997,1093
"NWMN_RS05190",8310,5937,8255,10974,10309,11122,8184,6289,10544,10845,7679,7551
"NWMN_RS05195",27140,22160,27469,36015,35043,37313,26400,22650,37583,34485,27098,26473
"NWMN_RS05200",105735,86357,98520,149535,142636,156508,103062,90610,143555,139575,109465,110173
"NWMN_RS05205",33989,34297,29537,52841,50603,51136,36115,34736,49188,55089,44771,43758
"NWMN_RS05210",0,0,6,2,0,0,0,0,1,0,1,0
"NWMN_RS05215",3655,2713,2606,2561,6110,2911,4914,7530,7641,4926,6390,4137
"NWMN_RS05220",6528,4419,8071,9537,15595,10482,4305,7546,7619,19291,9793,16599
"NWMN_RS05225",1220,535,645,621,496,411,1185,1054,1146,510,560,416
"NWMN_RS05230",4676,2227,2504,2125,1855,1134,4481,4856,4496,1642,2230,1564
"NWMN_RS05235",562,391,360,214,217,165,681,746,953,205,307,186
"NWMN_RS05240",709,392,514,247,169,204,829,774,1218,241,226,188
"NWMN_RS05245",7149,3233,4710,2370,1431,1803,9818,8582,13212,2447,3009,1978
"NWMN_RS05250",12908,5965,8342,3833,3051,3266,17535,17158,24787,5484,5793,3745
"NWMN_RS05255",13125,5044,8309,3593,3297,3022,14550,18330,21101,4856,5603,3007
"NWMN_RS05260",5848,2464,3807,1367,1277,1269,7847,8200,11001,2056,2184,1403
"NWMN_RS05265",6208,2110,2530,1294,1669,1086,5933,9311,7468,1966,2669,1016
"NWMN_RS05270",25082,8342,13860,5748,6365,5213,26574,35076,37696,8671,10277,4418
"NWMN_RS05275",7256,2962,4921,2272,2701,1891,9301,10460,16148,3585,3445,1725
"NWMN_RS05280",265,322,342,361,720,315,293,359,411,291,305,225
"NWMN_RS05285",7145,4324,5770,5802,12356,6571,3956,6205,5418,4087,5629,3174
"NWMN_RS05290",3176,2241,2931,2880,6069,3863,2547,2845,3447,2398,2390,1772
"NWMN_RS05300",0,0,0,0,0,0,0,0,1,4,0,0
"NWMN_RS05305",33115,18714,29614,30105,44710,32054,22045,24477,26094,37068,20490,23259
"NWMN_RS05310",6264,4275,7774,4923,5348,5580,4713,5432,5852,3952,3336,3549
"NWMN_RS05315",4239,3255,5305,6788,9233,6444,3911,4319,3978,13643,4941,9117
"predicted RNA",1478,1366,2028,2813,3688,2173,1402,1859,1618,5515,2123,3258
"NWMN_RS05320",8049,5304,7318,10580,12765,9597,5719,6004,6701,10518,9309,8633
"NWMN_RS05325",106031,69738,102708,135445,176105,135926,70496,82060,88859,141550,103514,98035
"NWMN_RS05330",17,1,0,1,9,9,3,3,0,1,2,0
