"Synonym","Newman.TSB.Replicate.1","Newman.TSB.Replicate.2","Newman.TSB.Replicate.3","Newman.Minus.Glc.Replicate.1","Newman.Minus.Glc.Replicate.2","Newman.Minus.Glc.Replicate.3","arlRS.KO.TSB.Replicate.1","arlRS.KO.TSB.Replicate.2","arlRS.KO.TSB.Replicate.3","arlRS.KO.Minus.Glc.Replicate.1","arlRS.KO.Minus.Glc.Replicate.2","arlRS.KO.Minus.Glc.Replicate.3"
"NWMN_RS10470",5333,3154,5071,3281,3414,2483,2647,3965,2903,2074,2191,1325
"NWMN_RS10475",2137,1145,2323,1299,1464,1089,1284,1596,1284,802,749,572
"NWMN_RS10480",551,390,481,353,339,280,299,542,357,251,290,183
"NWMN_RS10485",5924,3370,4560,4432,4619,3528,3030,3998,3493,3287,3902,2480
"NWMN_RS10495",405,363,362,515,590,428,408,405,612,426,452,331
"NWMN_RS10500",200,97,102,112,221,91,117,177,89,70,86,34
"NWMN_RS10505",0,1,0,0,0,0,0,0,0,0,0,0
"NWMN_RS10510",3656,2941,3138,2790,3319,2514,2487,3055,2563,1892,1996,1296
"NWMN_RS10515",5476,4886,5574,4616,6113,4665,4006,5605,4604,3465,3429,2555
"NWMN_RS10520",15905,7357,10483,5564,5270,3390,12770,13176,7086,6220,7285,3451
"NWMN_RS10525",0,3,0,0,0,0,0,1,0,0,0,0
"NWMN_RS10530",792,631,1073,702,1021,564,839,996,766,430,452,200
"NWMN_RS10535",589,485,611,459,832,476,548,585,629,624,465,434
"NWMN_RS10540",1677,1422,1684,1792,3460,1769,2053,1789,2516,2596,2101,2201
"NWMN_RS10545",3474,2612,3240,2587,4137,2551,3250,3426,4387,2651,2100,2086
"NWMN_RS10550",7976,3791,5638,4983,6281,4559,5214,6174,6147,4377,4473,3097
"NWMN_RS10555",0,0,0,0,0,0,0,0,0,0,0,0
"NWMN_RS10560",77519,47733,60235,53588,73657,54891,43884,66156,52735,32869,41482,20513
"NWMN_RS10565",25268,19583,23934,19528,26148,18752,19013,23741,24582,12870,14620,9199
"NWMN_RS10570",8965,5975,6483,6528,8672,5801,6077,7748,6545,4262,4922,2671
"NWMN_RS10575",14346,8614,11504,10823,8914,8321,11958,12077,15104,13111,8193,9578
"NWMN_RS10580",4657,2842,2921,2311,2730,1945,2447,3265,2639,1569,1829,1063
"NWMN_RS10585",11888,6958,8448,4833,6413,4880,5906,8361,6211,3334,3460,2306
"NWMN_RS10590",12384,7924,11269,6332,7830,7278,7969,8955,9179,4250,3866,2849
"NWMN_RS10595",3250,2100,2614,1775,2006,1589,1883,2403,1880,1199,1419,839
"NWMN_RS10600",1351,812,1360,1461,1044,1156,974,946,736,560,815,362
"NWMN_RS10605",17513,11336,17960,14654,13945,13446,10860,15014,12470,7041,8407,4887
"NWMN_RS10610",869,589,499,667,1063,517,431,830,599,398,605,350
"NWMN_RS10615",46,110,91,86,161,50,57,130,96,127,89,67
"NWMN_RS10620",420,344,477,454,520,400,315,499,590,256,349,211
"NWMN_RS10625",1464,1259,1856,1400,1451,1370,1202,1608,1819,818,925,570
"predicted RNA",2807,1210,1814,1371,1980,1365,831,2237,812,851,772,507
"NWMN_RS10630",6244,3754,5214,4693,4860,4185,2576,3965,3125,2890,2763,2385
"NWMN_RS10635",13274,6448,9137,7818,7437,8183,4937,7106,5802,4581,4716,3821
"NWMN_RS10640",2620,1952,1975,2691,2532,2141,1778,1827,2439,1383,1902,1090
"NWMN_RS10645",2001,1804,1571,1998,2239,1589,1763,2033,1800,1113,1472,752
"NWMN_RS10650",0,3,1,9,5,0,4,2,2,0,1,1
"NWMN_RS10655",2346,1688,2635,2867,6275,2768,2094,2567,2655,20332,3041,15670
"NWMN_RS10660",1902,941,1237,1761,2928,1733,1382,1324,1574,3728,1914,2945
"NWMN_RS10665",11906,6526,9563,11106,11909,9346,8907,11935,10126,8518,10977,4937
"predicted RNA",154,96,103,116,201,91,78,209,99,110,179,57
"NWMN_RS10670",19657,12455,21328,20698,25138,18479,18674,20923,25702,19604,16617,12977
"NWMN_RS10675",0,6,0,5,22,0,13,26,21,13,12,1
"NWMN_RS10680",13662,4637,14381,8675,11953,8586,3081,4745,4044,6855,4055,5051
"NWMN_RS10685",4770,2518,3637,3956,5286,3388,2516,3228,2743,3161,3085,2084
"NWMN_RS10690",525,241,149,124,274,151,364,584,452,402,532,279
"NWMN_RS15455",167,146,168,175,366,145,225,283,280,270,218,130
"NWMN_RS10695",57,32,67,87,110,88,107,62,116,198,120,236
"NWMN_RS10700",4260,1852,2438,2836,3639,2782,2243,2656,2182,2106,2681,1501
"NWMN_RS10705",4337,2173,3320,2702,3693,2484,1933,3691,2557,2067,2673,1396
"NWMN_RS10710",1919,1204,2045,1605,1719,1437,1222,1765,1856,1156,1042,1013
"NWMN_RS10715",3094,1614,2372,2019,2488,1746,1695,2529,2310,1828,1274,1179
"NWMN_RS10720",3134,1324,2684,2663,3747,2431,1567,2351,1785,2608,2111,2294
"NWMN_RS10725",2071,1345,1904,1613,2995,1982,1159,1363,1949,1399,849,886
"NWMN_RS10730",1256,1260,1624,1322,2562,1366,793,1186,1544,1002,895,820
"NWMN_RS10735",441,441,474,342,884,378,295,425,461,312,349,235
"NWMN_RS10740",1885,1457,1582,1621,3050,1794,1253,1494,1795,1314,1468,1058
"NWMN_RS10745",84,31,23,39,69,29,18,30,44,16,47,47
"NWMN_RS10750",13,5,8,5,3,18,13,20,56,6,0,6
"NWMN_RS10755",16,2,1,2,4,0,0,8,0,1,0,0
"NWMN_RS10760",23530,14760,21889,26550,35644,26684,19352,25668,27951,24800,22774,18092
"NWMN_RS10765",809,712,801,406,702,247,604,743,574,777,501,934
"NWMN_RS10770",26783,16741,22922,9114,17782,7502,15379,17453,17504,21791,8345,22951
"NWMN_RS10775",469,601,300,254,626,182,519,715,651,645,888,568
"NWMN_RS10780",512,1311,773,619,1606,414,1606,2696,2779,1903,1946,1764
"predicted RNA",1620,1838,1253,1148,4371,1318,1869,5588,3570,2960,3134,2114
"NWMN_RS10790",0,42,14,21,54,16,60,60,56,75,53,44
"NWMN_RS10795",33907,34006,14537,35014,42914,16022,9580,17520,7387,14626,20954,7477
"NWMN_RS10800",34950,43684,38150,27804,39376,23938,20547,28388,29819,10148,22241,6459
"NWMN_RS15775",3743,1796,2921,1629,2703,1263,2612,3313,2955,1296,2203,561
"predicted RNA",1347,2098,1350,1078,3384,1163,1204,1295,2146,540,1144,378
"predicted RNA",4489,3668,2819,2143,7921,3185,2320,2577,4218,1229,1561,773
"NWMN_RS10810",158,129,229,148,183,71,45,62,87,38,39,34
"NWMN_RS10815",0,5,0,0,29,6,7,5,9,12,8,3
"NWMN_RS10820",0,0,0,0,0,0,0,0,0,0,0,0
"NWMN_RS10825",6,0,1,0,0,1,2,1,0,0,4,7
"NWMN_RS15480",619,588,410,658,709,507,470,571,485,1036,922,854
"NWMN_RS10835",669,504,447,606,610,384,43,72,110,52,49,58
"NWMN_RS10840",0,3,3,9,1,0,0,9,0,0,5,2
"NWMN_RS10845",0,12,4,19,3,7,0,13,0,6,6,0
"NWMN_RS10850",0,0,0,0,1,0,0,0,0,0,0,0
"NWMN_RS10855",717,536,424,394,579,362,448,522,543,493,319,340
"NWMN_RS10860",72,55,65,20,18,16,17,41,12,3,16,28
