"gene_id","WT_T6_Rep1_S62","WT_T6_Rep2_S63","WT_T6_Rep3_S64","walR_T6_Rep1_S71","walR_T6_Rep2_S72","walR_T6_Rep3_S73","tunR_T6_Rep1_S80","tunR_T6_Rep2_S81","tunR_T6_Rep3_S82"
"SA_RS08285",854,128.5,5497.5,244.5,4394.5,4361.5,5709.5,1758.5,4937.5
"SA_RS08290",999,110,7948.5,173,6144.5,6874.5,7765.5,2249.5,7282
"SA_RS08295",3274,377.5,15431,630.5,12262,14034,14944,6332,16319.5
"SA_RS08300",46.5,10,806.5,14,469.5,576,646.5,137.5,680.5
"SA_RS08305",390.5,66,2919.5,48,1869.5,2244,2766.5,1262.5,3120.5
"SA_RS08310",73,35,238,42,191,210,214,80,221
"SA_RS08315",102,24,465,31,315,399,563,193,634
"SA_RS14740",55,0,180,2,167,152,115,101,68
"SA_RS08320",30,0,200,2,206,183,248,76,202
"SA_RS14745",12,0,37,0,12,10,28,37,61
"SA_RS08325",0,0,0,0,0,0,0,0,0
"SA_RS15305",0,0,0,0,0,0,0,0,0
"SA_RS08330",0,0,0,0,0,0,0,0,0
"SA_RS08335",0,0,0,0,0,0,0,0,0
"SA_RS08340",0,0,0,0,0,0,0,0,0
"SA_RS08345",0,0,0,0,0,0,0,0,0
"SA_RS08350",0,0,0,0,0,0,0,0,0
"SA_RS08355",10,0,102,0,40.5,46,61.5,27,99
"SA_RS08360",2,0,95,0,24.5,45,29.5,4,73
"SA_RS08370",1362.5,119.5,5960,279,5053,4671,5611.5,3004.5,5518.5
"SA_RS08375",2638.5,406.5,15934,756,12248,12843,15408.5,7031.5,14871.5
"SA_RS08380",121,29,1003,60,507,745,648,280,1096
"SA_RS08385",304,22,3349.5,33,2005.5,2174,2538.5,951,2753.5
"SA_RS08390",22,6,317.5,0,174.5,239,286.5,43,340.5
"SA_RS08395",2022,176,6304.5,325,7220,6563,8697.5,3442,7170.5
"SA_RS08400",626.5,31,3113,113,3133.5,2557.5,3644,1448,3023.5
"SA_RS08405",508,127,1601,140.5,1748,1518,2406.5,1049,1705.5
"SA_RS08410",1108,168.5,6196.5,320.5,4591,4182,6285,2886,5857.5
"SA_RS08415",397,43.5,4585,31,2971.5,3230,4024.5,1163.5,4157.5
"SA_RS08420",7783.5,1230,35166,1924,29052,27816.5,35348.5,20067.5,37459.5
"SA_RS08425",296,28,2375,74,1613,1856,2442,816,2539
"SA_RS08430",1072,146,8233,248,5696,6537,7054,1923,7124
"SA_RS08435",1690,395,15506,626,12053,12121,13637.5,3457,13339.5
"SA_RS08440",40,5,303,3,318,340.5,299,133,191
"SA_RS08445",349,49,2409.5,104,2053,2290,2200,930,2295
"SA_RS08450",193,38,760.5,57,741,725.5,702.5,540,782.5
"SA_RS08460",1331,327,5295.5,453,4401.5,3894.5,4278.5,3234,4473.5
"SA_RS08465",960.5,426.5,9949.5,472.5,7505.5,7403,8244,2408,9133
"SA_RS08470",1821.5,290.5,9409,454.5,7052,8387.5,10702.5,4400,12083.5
"SA_RS08475",424,59,1948,109,1768,1619,1644,1002,1637
"SA_RS08480",1217,189,8166,362,5307,5848,7488,2922,7832
"SA_RS08485",1133,30,6652,57,3993,5490,6022,2515,6986
"SA_RS08490",1331,191.5,6367.5,254,3784,4436.5,5632,3380.5,6481.5
"SA_RS08495",805.5,115,5500,112.5,3163,4083.5,4760,1818.5,6941.5
"SA_RS08500",332.5,74.5,2180.5,83.5,1350,1529,1926,995,2667
"SA_RS08505",156,43,1429,47,603,899,1068,542,1237
