"gene_id","WT_3H_R1_GE","WT_3H_R2_GE","pEPSA_Teg49_Comp_3H_R1_GE","pEPSA_Teg49_Comp_3H_R2_GE","Teg49_mutant_3H_R1_GE","Teg49_mutant_3H_R2_GE"
"SAOUHSC_00158",1627,2385,1886,3613,1374,1321
"SAOUHSC_00160",1322,1752,1592,3228,1228,1057
"SAOUHSC_00161",49,49,110,111,94,109
"SAOUHSC_00162",6110,7318,9360,10552,9057,9391
"SAOUHSC_00163",2799,2889,4757,4742,4270,4346
"SAOUHSC_00164",1959,2392,2835,3180,2921,2958
"SAOUHSC_00166",2295,2932,3708,4098,4136,4207
"SAOUHSC_00167",1323,2021,2141,2465,2505,2531
"SAOUHSC_00168",313,481,518,604,505,545
"SAOUHSC_00169",313,361,374,436,433,429
"SAOUHSC_00170",622,918,928,1042,1013,1023
"SAOUHSC_00171",1226,1753,2051,2263,1965,2121
"SAOUHSC_00172",929,1198,1645,1794,1368,1432
"SAOUHSC_00173",3099,4246,5370,5662,4599,4590
"SAOUHSC_00174",143,123,181,173,160,154
"SAOUHSC_00175",1331,1757,2022,1994,1636,1585
"SAOUHSC_00176",208,305,323,508,332,294
"SAOUHSC_00177",376,573,534,1192,496,417
"SAOUHSC_00178",280,488,465,1005,332,265
"SAOUHSC_00179",496,817,496,1138,462,407
"SAOUHSC_00180",408,645,474,832,406,329
"SAOUHSC_00181",708,928,850,1369,732,676
"SAOUHSC_00182",71,101,141,182,164,164
"uhpT",520,726,841,1036,956,853
"SAOUHSC_00184",1600,2266,2735,3056,3050,3102
"SAOUHSC_00185",2695,3813,4805,5742,5554,5758
"SAOUHSC_00186",1173,1633,2075,2372,2253,2279
"SAOUHSC_00187",208620,281292,345996,429987,328401,322681
"SAOUHSC_00188",40560,58989,67689,87861,59436,59024
"SAOUHSC_00189",203,295,309,362,207,279
"SAOUHSC_00190",1785,2085,2633,3060,2224,2193
"SAOUHSC_00191",50,83,125,119,101,98
"SAOUHSC_00192",404,572,656,766,659,709
"SAOUHSC_00193",1,1,3,2,0,2
"SAOUHSC_00195",135,294,205,230,189,182
"SAOUHSC_00196",180,439,386,517,417,376
"SAOUHSC_00197",93,166,143,189,171,146
"SAOUHSC_00198",312,499,541,666,475,552
"SAOUHSC_00199",390,602,616,855,659,653
"SAOUHSC_00200",840,1083,1301,1362,1356,1298
"SAOUHSC_00201",14360,16883,21064,24277,18970,19791
"SAOUHSC_00202",1923,2269,2792,3030,2570,2670
"SAOUHSC_00203",6917,6953,11106,12154,12205,13049
"SAOUHSC_00204",55403,63861,87765,92679,92313,95149
"SAOUHSC_00205",6,5,10,9,11,9
"SAOUHSC_00206",425038,564615,684767,765637,701901,696760
"SAOUHSC_00208",475,746,1001,1209,1032,1031
"SAOUHSC_00209",3374,5689,6567,7881,5917,6303
"SAOUHSC_00211",994,1569,1730,1957,1716,1750
"SAOUHSC_00212",1,1,4,4,0,4
"SAOUHSC_00213",173,212,284,328,249,269
"SAOUHSC_00214",21,37,52,56,44,38
"SAOUHSC_00215",13,42,45,51,42,33
"SAOUHSC_00216",90,153,158,166,148,158
"SAOUHSC_00217",155,252,224,241,228,232
"SAOUHSC_00218",9,17,16,19,13,8
"SAOUHSC_00219",368,483,617,686,554,574
"SAOUHSC_00220",1675,2127,2734,2983,2742,2775
"SAOUHSC_00221",1484,1948,2037,2034,1770,1906
"SAOUHSC_00222",3711,4550,5976,6743,6170,6556
"SAOUHSC_00223",2261,3002,3493,3823,3138,3101
"ispD",7409,8592,12226,13461,11644,11999
"SAOUHSC_00226",14775,18554,21275,22574,19376,19793
"SAOUHSC_00227",30981,39169,50654,58290,51401,52159
"SAOUHSC_00228",39169,48817,60562,65960,59230,59099
"SAOUHSC_00229",8920,11486,14826,15421,14913,14867
"SAOUHSC_00230",8735,10296,13397,14401,12181,12216
"SAOUHSC_00231",1333,1227,1726,1701,1437,1483
"SAOUHSC_00232",3249,4475,4236,3978,5377,5497
"SAOUHSC_00233",8623,12686,13044,12853,15983,16379
"SAOUHSC_00234",1053,1337,1574,1727,1334,1455
"SAOUHSC_00235",201,226,295,331,297,298
"SAOUHSC_00236",503,677,695,796,753,789
"SAOUHSC_00237",424,503,609,594,658,613
"SAOUHSC_00238",5,9,8,14,9,13
"SAOUHSC_00239",1154,1990,2010,2508,2288,2379
"SAOUHSC_00240",897,1424,1632,1998,1908,1968
"SAOUHSC_00241",1807,3016,3109,3770,3363,3604
"SAOUHSC_00242",1525,2525,2825,3475,2877,2833
"SAOUHSC_00243",3,7,11,5,7,7
"SAOUHSC_00244",352,331,584,579,652,634
"SAOUHSC_00246",463,810,767,974,978,949
"SAOUHSC_00247",539,787,858,945,864,890
"SAOUHSC_00248",1459,2009,2396,2539,2321,2225
"SAOUHSC_00249",542,655,812,866,690,775
"SAOUHSC_00250",567,677,897,1044,861,831
"SAOUHSC_00251",359,398,497,594,538,527
"SAOUHSC_00253",1205,1212,1759,1861,1537,1557
"SAOUHSC_00254",80,96,95,145,86,115
"SAOUHSC_00255",165,173,166,238,185,215
"SAOUHSC_00256",750,896,1025,1072,787,837
"SAOUHSC_00257",9752,12349,12378,11601,10377,10914
"SAOUHSC_00258",2420,2702,3074,3481,3106,3132
"SAOUHSC_00259",311,352,388,386,343,354
"SAOUHSC_00260",118,119,157,163,158,176
"SAOUHSC_00261",545,719,698,783,944,955
"SAOUHSC_00262",4026,5258,5483,6186,6290,6676
"SAOUHSC_00264",495,627,616,740,721,708
"SAOUHSC_00265",402,547,436,434,366,435
"SAOUHSC_00266",680,967,938,1049,1180,1183
"SAOUHSC_00267",365,514,506,518,597,645
"SAOUHSC_00268",4463,6105,6230,6391,6002,6168
"SAOUHSC_00269",5494,6889,7946,8148,7951,7996
"SAOUHSC_00270",1016,1239,1675,2217,1896,1827
"SAOUHSC_00271",609,792,917,958,832,848
"SAOUHSC_00272",1682,1742,2126,1911,1408,1490
"SAOUHSC_00274",346,477,469,508,465,486
"SAOUHSC_00275",254,359,386,431,362,391
"SAOUHSC_00276",311,490,503,542,463,435
"SAOUHSC_00277",398,480,477,523,433,454
"SAOUHSC_00278",285,361,404,454,328,383
"SAOUHSC_00279",866,907,1306,1567,1314,1309
"SAOUHSC_00280",2588,2835,4062,4576,3782,3893
"SAOUHSC_00281",23785,34940,40252,43797,36344,37488
"SAOUHSC_00282",4932,7417,8582,10492,8049,8030
"SAOUHSC_00284",3056,3065,4052,4331,3795,3835
"SAOUHSC_00285",11929,14575,18480,21118,18188,18945
"SAOUHSC_00287",10402,12965,16592,19123,16400,16447
"SAOUHSC_00289",2,3,2,8,3,6
"SAOUHSC_00290",1413,2220,1991,2017,1379,1454
"SAOUHSC_00291",117,157,203,182,162,176
"SAOUHSC_00292",86,128,139,165,141,127
"SAOUHSC_00293",170,249,301,354,272,261
"SAOUHSC_00294",279,431,506,639,453,437
"SAOUHSC_00295",207,315,347,395,314,287
"SAOUHSC_00296",86,135,154,180,106,96
"SAOUHSC_00297",1663,1610,2346,2691,1969,2116
"SAOUHSC_00298",395,501,580,580,429,499
"SAOUHSC_00299",72,91,131,141,102,107
"SAOUHSC_00300",30359,55031,60400,73099,71282,70034
"SAOUHSC_00301",2549,3538,4384,5081,4120,4222
"SAOUHSC_00302",1042,1669,1567,1773,1584,1522
"SAOUHSC_00303",0,1,0,1,5,1
"SAOUHSC_00304",1050,1496,1698,1889,1550,1626
"SAOUHSC_00305",307,399,381,378,330,351
"SAOUHSC_00306",904,1171,1323,1486,1279,1370
"SAOUHSC_00307",800,1160,1138,1217,1059,1081
"SAOUHSC_00308",1161,1699,1679,1967,1689,1788
"SAOUHSC_00309",15046,21176,23176,26119,24188,24770
"ulaA",666,1205,1179,1681,1159,1239
"SAOUHSC_00311",77,130,132,155,113,116
"SAOUHSC_00312",109,182,168,337,203,187
"SAOUHSC_00313",806,1146,1356,1819,1440,1481
"SAOUHSC_00314",901,1014,1209,1091,1000,945
"SAOUHSC_00315",469,518,656,743,566,522
"SAOUHSC_00316",126,135,202,212,140,138
"SAOUHSC_00317",914,1196,1187,1523,933,896
"SAOUHSC_00318",2054,2780,3259,3821,3184,3274
"SAOUHSC_00319",3056,4425,4845,5432,4721,4802
"SAOUHSC_00320",1563,2165,2309,2563,2243,2276
"SAOUHSC_00322",1935,2617,3236,3463,2715,2835
"SAOUHSC_00323",21,28,26,40,21,33
"SAOUHSC_00324",295,379,425,423,387,369
"SAOUHSC_00325",123,204,193,232,203,213
"SAOUHSC_00326",306,469,470,531,446,430
"SAOUHSC_00327",471,709,776,807,698,767
"SAOUHSC_00328",937,1235,1698,2069,1773,1851
"SAOUHSC_00329",399,528,654,793,618,618
"SAOUHSC_00330",427,568,582,708,486,511
"SAOUHSC_00331",129,229,206,191,149,169
"SAOUHSC_00332",1027,1417,1596,1759,1593,1705
"SAOUHSC_00333",1595,2150,2496,2805,2535,2657
"SAOUHSC_00334",2218,2587,3655,3776,3300,3482
"SAOUHSC_00335",1154,1338,1645,1931,1581,1553
"SAOUHSC_00336",9152,10561,14184,14603,11094,11100
"SAOUHSC_00337",644,989,940,1008,873,945
"SAOUHSC_00338",828,1292,1465,1700,1529,1493
"SAOUHSC_00339",480,681,791,968,861,821
"SAOUHSC_00340",176,252,260,363,300,288
"SAOUHSC_00341",118,177,179,207,228,213
"SAOUHSC_00342",1143,1523,1485,1498,1259,1303
"SAOUHSC_00344",1757,2371,2493,2939,2355,2396
"SAOUHSC_00345",663,859,1002,1126,930,919
"SAOUHSC_00346",9791,13232,14475,15053,12320,12715
"SAOUHSC_00347",182,387,352,339,318,310
"rpsF",15509,26867,25190,25889,17660,17647
"SAOUHSC_00349",41921,69945,68335,71719,49329,48946
"rpsR",44832,65172,81901,94685,66302,65521
"SAOUHSC_00351",274,270,450,517,427,412
"SAOUHSC_00352",51,66,112,120,84,99
"SAOUHSC_00353",6,11,16,24,13,10
"SAOUHSC_00354",211,260,304,346,364,367
"SAOUHSC_00355",17,36,47,43,37,46
"SAOUHSC_00356",28518,30605,37910,36417,39354,42648
"SAOUHSC_00357",1114,934,1615,1376,1473,1401
"SAOUHSC_00358",24650,29708,33038,24797,20832,21378
"SAOUHSC_A00354",14,7,22,30,15,19
"SAOUHSC_00359",902,1112,1512,1675,1425,1443
"SAOUHSC_00360",1252,1758,2676,3131,3077,3044
"SAOUHSC_00362",4055,5131,7009,7673,6783,6875
"SAOUHSC_00363",500,594,743,782,638,698
"SAOUHSC_00364",139289,225736,235519,263772,264354,281446
"SAOUHSC_00365",69541,109583,132105,159226,162619,173137
"SAOUHSC_00366",3803,4636,5901,6158,5975,6385
"SAOUHSC_00367",16678,25761,25502,31169,30379,31900
"SAOUHSC_00368",41,76,65,85,75,102
"SAOUHSC_00369",9589,12634,14492,15020,12668,13038
"SAOUHSC_00370",2817,3684,4647,5292,4395,4559
"SAOUHSC_00371",13344,16657,22096,22458,19704,20314
"SAOUHSC_00372",5356,6766,7254,8110,7011,7038
"SAOUHSC_00373",15766,21714,22231,24073,20555,20872
"SAOUHSC_00374",29450,45205,44932,49439,43341,43417
"guaA",38675,51338,57875,56812,50503,51142
"SAOUHSC_00376",225,314,441,513,447,466
"SAOUHSC_00377",155,140,243,288,234,277
"SAOUHSC_00378",24,20,41,63,52,49
"SAOUHSC_00381a",52,57,135,136,102,122
"SAOUHSC_00381",524,904,1022,1177,1101,1229
"SAOUHSC_00382",1262,2297,2626,3089,2959,2908
"SAOUHSC_00383",581,640,921,1045,1186,1245
"SAOUHSC_00384",65,71,113,127,96,112
"SAOUHSC_00386",64,115,155,155,157,143
"SAOUHSC_00387",0,1,3,3,1,0
"SAOUHSC_00389",50,80,81,91,86,79
"SAOUHSC_00390",31,39,47,40,55,63
"SAOUHSC_00391",32,35,60,46,46,52
"SAOUHSC_00392",126,149,179,230,163,171
"SAOUHSC_00393",70,57,71,83,74,70
"SAOUHSC_00394",55,46,80,91,93,85
"SAOUHSC_00395",139,123,171,206,201,196
"SAOUHSC_00396",6,6,2,0,4,5
"SAOUHSC_00397",2569,3246,3765,3911,3292,3323
"SAOUHSC_00398",1826,1957,2501,2480,2404,2309
