"gene_id","NRSA384.WT.1","NRSA384.WT.2","NRSA384.WT.3","NRSA384.389.4","NRSA384.389.5","NRSA384.389.6"
"SAUSA300_0809",670,728,723,5450,4020,5541
"SAUSA300_2045",564,450,693,4672,3452,4660
"SAUSA300_0289",8549.74,10675.9,7147.06,7233.99,5694.07,7024.12
"SAUSA300_0862",100,112,125,812,686,879
"SAUSA300_2632",3976,4718,3842,4253,3855,5341
"SAUSA300_2548",588,499,637,877,712,920
"SAUSA300_2580",2299,2331,2389,3477,2692,3989
"SAUSA300_2092",4338,3626,3640,4314,3740,5050
"SAUSA300_0399",94,147,95,61,53,58
"SAUSA300_2601",35,42,39,372,311,372
"SAUSA300_0634",175,207,297,1781,1522,2230
"SAUSA300_1784",9043,11330,8784,9469,9070,9997
"SAUSA300_0385",7476,8405,7814,7061,8116,10268
"SAUSA300_0604",1134,1243,1056,1135,1157,1165
"SAUSA300_1002",468,424,638,3616,2786,3827
"SAUSA300_0283",1471,1339,2137,12600,9595,13292
"SAUSA300_1240",9948,12367,7320,5944,5537,5882
"SAUSA300_1495",3639,3743,3145,2942,3340,3450
"SAUSA300_1944",136,178,148,151,131,148
"SAUSA300_2585",72,58,120,1030,730,1086
"SAUSA300_1492",1977,2142,1811,2113,2040,2461
"SAUSA300_2637",266,307,238,215,216,217
"SAUSA300_0442",1382,1662,1705,2057,2123,2472
"SAUSA300_1668",736,691,783,836,926,1072
"SAUSA300_1027",7145,9056,5251,4391,3291,4846
"SAUSA300_0624",3478,3210,3827,6047,5093,6145
"SAUSA300_2467",6851,6611,7501,11873,9775,12791
"SAUSA300_0928",53,69,94,711,804,870
"SAUSA300_0401",463,609,470,500,454,542
"SAUSA300_0490",763,671,999,5172,4427,5761
"SAUSA300_0572",257,287,402,2105,1828,2355
"SAUSA300_1807",276,244,302,1828,1511,2097
"SAUSA300_2184",5959,4997,9630,67748,62544,76121
"SAUSA300_1526",675,653,813,4090,3585,4544
"SAUSA300_0284",113,151,186,1218,977,1266
"SAUSA300_2527",1564,1918,1275,1137,956,1395
"SAUSA300_2584",777,801,933,5039,4000,5485
"SAUSA300_0642",1540,1620,1314,1481,1418,1575
"SAUSA300_0304",3329,4464,3249,3467,3176,3812
"SAUSA300_2218",1222,1415,995,991,848,1157
"SAUSA300_2588",198,171,262,1805,1314,1678
"SAUSA300_0511",950,880,1552,9531,7618,9543
"SAUSA300_1659",3966,4129,4260,6329,5929,6789
"SAUSA300_2177",1878,1718,2823,20144,13231,21657
"SAUSA300_2587",165,160,300,2327,1631,2134
"SAUSA300_1493",703,904,494,266,292,254
"SAUSA300_0266",543,769,418,290,183,239
"SAUSA300_2276",171,158,238,1279,1175,1440
"SAUSA300_1507",1383,1429,2035,10268,8855,13210
"SAUSA300_0534",2886,3160,3169,5079,4306,5235
"SAUSA300_0940",15070,17472,13143,15900,12876,14922
"SAUSA300_1326",480,561,363,307,264,268
"SAUSA300_1710",4500,5187,4325,5491,4368,6574
"SAUSA300_2199",1349,1009,1767,11650,9131,12643
"SAUSA300_2336",375,319,328,346,321,457
"SAUSA300_2435",3605,3361,4683,6678,5296,7466
