"gene_id","Un_A_count","Ox_A_count","Lor_A_count","Un_B_count","Ox_B_count","Lor_B_count","Co_B_count","Un_C_count","Ox_C_count","Lor_C_count","Co_C_count"
"KNNFDEDG_02394",76,56,223,90,130,214,333,87,136,344,257
"KNNFDEDG_02395",41,69,131,32,50,177,202,72,92,155,185
"KNNFDEDG_02396",21,23,138,62,47,106,240,35,62,175,163
"KNNFDEDG_02397",23,17,100,45,50,101,125,45,53,150,132
"KNNFDEDG_02390",195,24,48,335,39,40,61,369,28,54,23
"KNNFDEDG_00868.t00",244,200,172,288,107,132,152,245,137,172,118
"KNNFDEDG_02393",2018,411,2508,3479,403,1341,1229,3073,533,2369,779
"Novel00393",1,1,0,1,6,6,3,1,5,4,5
"KNNFDEDG_02398",40,25,197,51,94,407,412,65,83,418,413
"KNNFDEDG_02399",7,7,25,1,8,51,52,7,8,61,50
"KNNFDEDG_00462.t00",1007,520,719,942,524,906,865,829,633,1014,791
"KNNFDEDG_02157",427,1169,7014,335,814,7900,4347,461,774,7309,3882
"KNNFDEDG_02154",8,3,0,2,8,1,2,5,1,9,2
"KNNFDEDG_02155",3356,1371,2266,4278,2211,1465,2147,4654,2738,1986,2567
"KNNFDEDG_01054.t00",19,8,6,18,7,5,10,5,3,4,5
"KNNFDEDG_02153",143,66,88,156,99,64,121,144,155,100,154
"KNNFDEDG_02150",1513,737,815,1179,830,1219,850,1042,879,1007,967
"KNNFDEDG_02403",232,183,260,316,150,365,241,257,161,304,166
"KNNFDEDG_02626.t00",208,75,185,285,136,150,278,229,156,195,167
"KNNFDEDG_01826.t00",3163,179,1110,2985,148,1046,677,2928,238,1225,389
"KNNFDEDG_02408",888,153,288,851,147,237,138,756,161,298,123
"KNNFDEDG_02409",1030,185,331,1029,198,336,229,974,221,425,201
"KNNFDEDG_02023",52,21,71,61,37,94,58,38,25,73,51
"KNNFDEDG_01837.t00",16,14,56,21,12,32,81,28,6,82,44
"KNNFDEDG_02790.t00",383,119,644,502,168,857,913,393,173,1028,598
"KNNFDEDG_01376.t00",15,5,53,28,11,76,84,20,9,75,55
"KNNFDEDG_00893.t00",26,2,12,21,4,3,9,22,7,7,14
"KNNFDEDG_01773.t00",7798,1594,4561,6589,2512,3226,1909,6872,2792,4252,2068
"KNNFDEDG_02378",1524,8219,3439,1672,12997,3635,7269,1263,14823,4203,8068
"Novel00545",1,0,1,4,2,1,0,0,1,0,4
"KNNFDEDG_02021",22,4,28,21,13,39,19,10,11,35,18
"KNNFDEDG_02372",7669,3451,6115,6084,3565,5685,3636,5804,3850,5118,3649
"KNNFDEDG_02373",721,414,1734,1572,860,861,2098,1441,1264,2160,1425
"Novel00544",0,0,1,0,0,0,0,0,0,0,2
"Novel00547",3,2,2,0,1,3,5,3,6,0,6
"Novel00546",0,0,0,0,0,0,0,0,0,0,0
"KNNFDEDG_01287.t00",1637,428,2251,3148,984,937,1253,3303,1208,2072,1223
"KNNFDEDG_01579",1380,417,473,1300,444,392,254,1269,499,396,236
"KNNFDEDG_02663.t00",329,155,373,582,249,199,366,487,336,341,363
"KNNFDEDG_01920.t00",32,13,26,47,49,26,41,37,46,38,42
"KNNFDEDG_01573",13096,3375,6909,10993,3404,9198,5656,11892,3452,8438,5951
"KNNFDEDG_01572",14160,3030,9888,14913,4259,9479,7439,15357,4876,11389,7464
"KNNFDEDG_01575",2165,416,813,1917,426,938,520,2314,471,1126,535
"KNNFDEDG_01574",8428,1786,2937,6168,1521,3825,1811,7008,1513,3743,2053
"KNNFDEDG_02307",797,428,2143,560,518,2496,1853,563,548,2475,1324
"KNNFDEDG_01744.t00",561,282,1240,791,476,850,1115,713,658,1495,775
"KNNFDEDG_00706.t00",0,0,1,0,0,0,2,0,0,0,0
"KNNFDEDG_01783.t00",87,37,25,60,30,18,24,48,49,15,28
"KNNFDEDG_01711",76,45,89,44,57,135,99,49,43,97,93
"KNNFDEDG_01710",24,15,61,24,24,49,70,55,21,52,52
"KNNFDEDG_01715",19,3,5,7,16,5,6,13,8,9,7
"KNNFDEDG_01714",38,15,95,41,32,92,81,47,48,74,56
"KNNFDEDG_01716",14,3,3,15,1,5,17,14,5,15,3
"KNNFDEDG_02345.t00",38,19,40,65,39,52,36,61,48,59,50
"KNNFDEDG_01718",479,380,189,394,430,232,251,316,394,161,331
"KNNFDEDG_00934.t00",1083,2163,2681,1413,3140,2799,4564,1093,3282,3642,4271
"KNNFDEDG_00618.t00",32,15,34,31,16,30,28,28,15,35,24
"KNNFDEDG_01226",378,324,462,522,436,568,743,553,461,612,732
"KNNFDEDG_01593",551,57,155,630,70,205,181,474,135,207,101
"KNNFDEDG_00249.t00",142,88,174,203,144,180,430,199,172,322,289
"KNNFDEDG_01223",183,133,233,211,206,116,207,192,279,160,234
"KNNFDEDG_02213.t00",430,676,1284,627,659,1263,1648,654,720,1407,1304
"KNNFDEDG_01377",132,148,871,196,257,1241,1417,195,326,1594,1064
"KNNFDEDG_02579",8177,4349,9127,8669,6656,8455,9471,8830,7668,9707,8760
"KNNFDEDG_02575",15693,8321,22246,15172,10348,20206,17378,14918,11462,20510,16687
"KNNFDEDG_02576",6894,3004,11910,7535,5030,8148,9589,8465,5890,12110,8845
"KNNFDEDG_02577",15112,7072,20916,14619,10556,17528,17784,15652,11675,20984,16482
"KNNFDEDG_02570",1901,393,288,1806,536,389,278,1717,497,384,280
"KNNFDEDG_02571",1793,249,389,1867,532,407,422,1785,529,478,252
"KNNFDEDG_02572",771,311,349,793,401,394,404,633,417,430,394
"KNNFDEDG_02573",258,99,156,237,161,134,140,228,170,172,127
"KNNFDEDG_00021",156,80,126,135,105,187,159,177,95,186,87
