"gene_id","QOBWO025A5_20210322102047__S10_R1_001.bam","QOBWO026AD_20210322102047__S11_R1_001.bam","QOBWO027AL_20210322102047__S12_R1_001.bam","QOBWO028AT_20210322102047__S13_R1_001.bam","QOBWO029A3_20210322102047__S14_R1_001.bam","QOBWO030A6_20210322102047__S15_R1_001.bam","QOBWO070A0_20210322102047__S16_R1_001.bam","QOBWO071A8_20210322102047__S17_R1_001.bam","QOBWO072AG_20210322102047__S18_R1_001.bam"
"KQU62_RS08295",2534,5255,3459,4477,5111,4654,3668,2257,2371
"KQU62_RS08300",4581,8727,6141,6129,7157,6308,5809,4371,4239
"KQU62_RS08305",3678,7889,5132,5708,7032,6766,4821,2797,2915
"KQU62_RS08310",974,1925,1311,4704,5761,4901,4531,2833,2924
"KQU62_RS08315",1039,2092,1305,3446,4296,3783,3383,1807,1851
"KQU62_RS08320",8,18,2,8,16,15,8,2,6
"KQU62_RS08325",534,1186,746,2105,2303,2302,2089,1060,1500
"KQU62_RS08330",280,612,410,728,838,721,539,336,333
"KQU62_RS08335",3119,7315,4375,9020,9914,9348,6456,3293,3452
"KQU62_RS08340",15187,32052,19956,32881,39551,33212,26341,16636,17248
"KQU62_RS08345",3,7,0,3,6,3,2,0,1
"KQU62_RS08350",2494,5812,3745,3082,3750,3955,2921,1576,1722
"KQU62_RS08355",4099,8395,5447,3022,3550,3482,2513,1350,1411
"KQU62_RS08360",1073,1968,1267,1115,1384,1109,753,536,549
"KQU62_RS08365",60,127,77,88,116,143,104,46,66
"KQU62_RS08370",679,1302,871,928,1024,1004,521,324,335
"KQU62_RS08375",1922,4389,2813,4765,5801,5595,4364,2366,2209
"KQU62_RS08380",1535,3353,1999,4226,4634,4558,2960,1550,1474
"KQU62_RS08385",758,1520,1025,1871,2034,1906,989,690,738
"KQU62_RS08390",6422,15640,8511,6045,7781,7744,7968,3920,4115
"KQU62_RS08395",3228,7188,4006,4017,5478,5230,4064,2304,2282
"KQU62_RS08400",2965,6778,4073,3847,5250,4954,3266,1962,1859
"KQU62_RS08405",1651,3629,2086,2389,3512,3194,2259,1234,1423
"KQU62_RS08410",2118,4442,2703,2821,4008,3835,2606,1656,1726
"KQU62_RS08415",280,551,369,382,496,538,335,262,220
"KQU62_RS08420",124,212,155,186,204,168,115,100,117
"KQU62_RS08425",15,20,15,13,20,11,5,5,7
"KQU62_RS08430",9425,19408,11991,18378,23663,21638,17144,10482,11300
"KQU62_RS08435",318,680,397,516,674,634,400,260,261
"KQU62_RS08440",13,39,16,32,42,36,22,9,9
"KQU62_RS08445",209,421,271,650,633,453,235,194,185
"KQU62_RS08450",681,1459,843,1587,1844,1613,920,510,494
"KQU62_RS08455",512,1098,577,540,617,715,316,176,149
"KQU62_RS08460",17,29,23,26,32,47,12,10,7
"KQU62_RS08465",279,525,345,968,1079,954,433,246,309
"KQU62_RS08470",246,581,283,371,594,520,393,253,293
"KQU62_RS08475",224,496,298,30,39,37,30,18,16
"KQU62_RS08480",137,261,156,15,26,17,15,5,11
"KQU62_RS08485",4,19,12,13,9,11,11,6,4
"KQU62_RS08490",1668,2975,2162,2150,2390,1824,1779,1528,1849
"KQU62_RS08495",41,82,55,10,12,16,7,11,3
"KQU62_RS08500",218,476,335,45,57,68,47,22,25
"KQU62_RS08505",2,8,4,0,2,0,0,0,0
"KQU62_RS08510",1678,3291,1920,458,647,560,406,215,226
"KQU62_RS08515",557,1178,701,109,131,114,76,43,36
"KQU62_RS08520",2156,4464,2544,612,798,667,374,238,301
"KQU62_RS08525",487,833,607,61,100,69,47,55,49
"KQU62_RS08530",110,281,177,32,46,33,33,15,13
"KQU62_RS08535",15,27,16,3,5,8,1,2,2
"KQU62_RS08540",179,371,247,35,55,37,37,27,21
"KQU62_RS08545",279,595,355,67,109,86,61,41,30
"KQU62_RS08550",221,519,306,62,72,78,42,30,30
"KQU62_RS08555",43,98,39,11,12,13,12,2,2
"KQU62_RS08560",376,715,464,75,100,83,70,46,45
"KQU62_RS08565",3348,6880,4194,868,1112,849,557,357,399
"KQU62_RS08570",1169,2197,1382,238,319,240,192,109,133
"KQU62_RS08575",1212,2362,1453,327,441,354,227,126,161
"KQU62_RS08580",1196,2634,1545,450,526,462,295,127,143
"KQU62_RS08585",140,275,150,27,54,47,28,15,19
"KQU62_RS08590",123,277,178,37,48,38,31,14,14
"KQU62_RS08595",163,303,166,57,83,66,34,22,26
"KQU62_RS08600",45,94,52,15,19,22,8,9,5
"KQU62_RS08605",4,7,0,0,0,1,0,0,1
"KQU62_RS08610",4,15,5,2,2,2,2,0,1
"KQU62_RS08615",44,122,59,16,28,30,24,11,19
"KQU62_RS08620",19,37,22,8,15,11,6,4,5
"KQU62_RS08625",92,198,118,37,45,37,24,15,18
"KQU62_RS08630",140,324,168,59,65,58,38,33,17
"KQU62_RS08635",454,1034,505,213,292,263,133,83,63
"KQU62_RS08640",98,239,128,31,67,59,31,21,17
"KQU62_RS08645",571,1170,647,230,331,263,153,86,86
"KQU62_RS08650",867,1976,1030,319,424,423,241,167,162
"KQU62_RS08655",1325,2872,1471,491,693,620,392,231,250
"KQU62_RS08660",111,243,127,39,63,49,24,17,20
"KQU62_RS08665",34,86,38,23,16,18,10,6,7
"KQU62_RS08670",58,154,79,39,56,48,21,6,19
"KQU62_RS08675",84,207,106,34,57,51,23,13,11
"KQU62_RS08680",350,765,387,121,179,166,107,63,65
"KQU62_RS08685",803,1710,1079,4290,4266,3812,2091,1098,1200
"KQU62_RS08690",60,118,63,10,19,24,13,11,9
"KQU62_RS08695",85,194,101,24,65,34,14,19,13
"KQU62_RS08700",1354,2997,1620,424,574,550,289,170,173
"KQU62_RS08705",1026,2207,1320,3742,4359,4039,2790,1561,1638
"KQU62_RS08710",562,1192,610,140,204,159,93,46,38
"KQU62_RS08715",215,466,216,57,67,62,26,23,23
"KQU62_RS08720",2287,4541,2995,2567,3069,2573,2342,1472,1641
"KQU62_RS08725",1456,3189,1926,1940,2100,2155,2053,994,973
"KQU62_RS08730",2256,5234,2941,2899,3253,3270,3024,1499,1593
"KQU62_RS08735",306,596,412,171,321,296,108,99,69
"KQU62_RS08740",335,685,463,279,414,404,195,117,127
"KQU62_RS08745",55,101,58,355,488,436,347,226,191
"KQU62_RS08750",28,83,35,254,385,337,197,127,134
"KQU62_RS08755",733,1465,941,1258,1677,1571,1129,590,688
"KQU62_RS08760",314,666,373,849,974,1009,587,310,315
"KQU62_RS08765",575,1221,715,1696,1982,1769,1484,862,902
"KQU62_RS08770",572,1251,807,1830,2036,1766,1571,1022,1113
"KQU62_RS08775",95,203,163,282,318,267,264,213,212
"KQU62_RS08780",86685,189415,94212,13024,18410,16262,13333,8540,8959
"KQU62_RS08785",6411,12434,6625,600,800,738,657,496,460
"KQU62_RS08790",1615,3475,2312,3029,3460,3400,1500,843,887
"KQU62_RS08795",1310,2772,1730,3928,5691,4983,2828,1587,1751
"KQU62_RS08800",766,1586,969,2566,2403,2060,1657,1026,1075
"KQU62_RS08805",4071,8774,5435,4802,5527,4904,3657,2109,2409
"KQU62_RS08810",21,43,26,79,81,64,45,28,27
"KQU62_RS08815",935,1933,1199,6164,6807,5893,4364,2579,2597
"KQU62_RS08820",87,189,118,295,364,360,184,140,153
"KQU62_RS08825",0,0,0,0,0,0,0,0,0
"KQU62_RS08830",7,13,4,19,19,17,8,6,7
"KQU62_RS08835",16,43,26,85,91,87,50,26,32
"KQU62_RS08840",2790,6228,3963,5382,7043,6728,4134,2571,2754
"KQU62_RS08845",3942,7872,5032,7884,9959,9317,5270,3169,3352
"KQU62_RS08850",190,395,218,615,586,598,265,124,230
"KQU62_RS08855",43,96,47,131,135,118,76,41,42
"KQU62_RS08860",638,1255,760,690,929,925,716,461,458
"KQU62_RS08865",4422,9271,5685,5905,7517,6547,4753,3112,3317
"KQU62_RS08870",3535,7434,4923,8760,11212,10215,5781,3359,3090
"KQU62_RS08875",1862,3868,2526,5088,6253,6003,4397,2380,2487
"KQU62_RS08880",10,42,12,25,27,35,23,6,14
"KQU62_RS08885",340,677,415,1211,1392,1323,819,416,475
"KQU62_RS08890",3030,6400,4248,5130,6856,6264,3409,2103,2285
"KQU62_RS08895",711,1562,968,1249,1641,1498,762,418,395
"KQU62_RS08900",992,1958,1342,1496,1868,1610,808,559,583
"KQU62_RS08905",215,420,283,398,540,432,268,157,161
"KQU62_RS08910",0,1,0,0,0,0,0,0,0
"KQU62_RS08915",65,168,75,1622,1568,1430,838,556,584
"KQU62_RS08920",91,169,98,1841,1841,1625,909,535,624
"KQU62_RS08925",20,36,19,234,238,192,120,95,76
"KQU62_RS08930",39,88,50,788,745,650,448,282,277
"KQU62_RS08935",72,123,92,1149,1076,997,640,434,413
"KQU62_RS08940",83,179,106,729,721,765,475,268,261
"KQU62_RS08945",111,245,138,912,911,913,558,347,302
"KQU62_RS08950",36,99,64,353,354,294,187,122,136
"KQU62_RS08955",158,322,140,909,893,843,538,322,302
"KQU62_RS08960",2,6,7,8,11,4,1,0,0
"KQU62_RS08965",0,0,0,0,0,0,0,0,0
"KQU62_RS08970",56,80,87,162,55,48,58,64,60
"KQU62_RS08975",87,210,118,167,257,214,80,49,35
"KQU62_RS08980",687,1292,992,1294,1604,1283,559,336,462
"KQU62_RS08985",22,68,59,27,44,24,14,10,9
"KQU62_RS08990",706,1729,1094,1070,1330,1268,1123,652,610
"KQU62_RS08995",4349,8962,6040,6491,7627,6781,5319,3453,3449
"KQU62_RS09000",5159,10986,7672,9451,11263,10137,6197,3548,3858
"KQU62_RS09005",1335,2726,1839,2381,2756,2451,1646,991,1020
"KQU62_RS09010",1728,3620,2414,3900,4237,4157,2990,1425,1515
"KQU62_RS09015",4423,9559,6134,11110,12991,11431,7367,4088,4112
"KQU62_RS09020",1339,2971,1864,3194,3732,3630,2456,1164,1141
"KQU62_RS09025",635,1421,882,1204,1529,1405,1066,615,693
"KQU62_RS09030",3982,8566,5445,6508,8172,7369,5647,3533,3679
"KQU62_RS09035",1240,2603,1689,2204,2684,2480,2018,1246,1373
"KQU62_RS09040",741,1581,961,1515,1681,1714,1469,904,1004
"KQU62_RS09045",2984,6710,4023,6769,8242,7325,6208,3517,3599
"KQU62_RS09050",228,528,334,1051,1162,1052,751,314,341
"KQU62_RS09055",35,65,30,51,49,43,27,12,22
"KQU62_RS09060",141,277,153,229,318,261,196,137,130
"KQU62_RS09065",49,120,63,77,115,91,52,32,26
"KQU62_RS09070",2,9,6,2,2,5,1,0,1
"KQU62_RS09075",354,836,452,1085,1318,1226,858,466,479
"KQU62_RS09080",91,243,112,199,277,294,226,102,128
"KQU62_RS09085",25708,48649,36716,37165,47191,40866,13391,8565,8770
"KQU62_RS09090",8953,19805,12469,14292,16758,15806,15256,8784,8889
"KQU62_RS09095",4883,10384,6576,7997,9375,8713,7318,4623,4558
"KQU62_RS09100",4280,9054,5642,6842,7936,7305,4698,2541,2938
"KQU62_RS09105",5,2,7,1,2,4,1,0,0
"KQU62_RS09110",392,719,509,1053,1295,1290,977,828,950
"KQU62_RS09115",26,57,44,22,33,21,12,10,11
"KQU62_RS09120",20,53,23,16,27,21,15,8,13
"KQU62_RS09125",1677,3631,2206,6163,7087,6608,3998,2536,2652
"KQU62_RS09130",970,2163,1318,3572,4331,4087,2746,1609,1801
"KQU62_RS09135",16629,36110,24309,17505,23767,22382,10372,5212,5711
"KQU62_RS09140",159,377,254,148,165,161,92,67,59
"KQU62_RS09145",148,301,196,55,86,80,52,22,48
"KQU62_RS09150",114,191,166,49,76,64,29,19,24
"KQU62_RS09155",41,121,71,14,25,14,10,8,13
"KQU62_RS09160",4500,8401,6886,21,31,18,37,20,30
"KQU62_RS09165",284,487,270,426,603,408,299,242,235
"KQU62_RS09170",591,1260,755,768,801,835,507,303,272
"KQU62_RS09175",2941,6013,4218,3773,4245,3948,2940,1789,1746
"KQU62_RS09180",8608,17165,12200,9203,10946,9547,6225,3995,4140
"KQU62_RS09185",520,983,611,412,554,516,325,205,233
"KQU62_RS09190",15917,33689,21088,37063,53125,43782,27839,17968,19023
"KQU62_RS09195",52524,112868,71106,125773,186588,164158,100157,57970,59776
"KQU62_RS09200",25337,52170,33050,57407,84679,74002,43969,28121,28874
"KQU62_RS09205",36200,76414,48698,88372,134053,117287,66835,40611,40590
"KQU62_RS09210",13952,31875,19176,39138,58573,54212,30511,15038,14245
"KQU62_RS09215",14755,29018,19634,34292,50918,43480,23815,18374,19426
"KQU62_RS09220",1641,3008,2189,3569,5261,4799,2953,2499,2276
"KQU62_RS09225",15701,34749,21619,49023,74488,67813,41920,24063,24423
"KQU62_RS09230",6731,15244,9255,20247,28575,26932,17808,9066,9432
"KQU62_RS09235",17146,36505,24510,41509,49861,45108,36733,23308,25219
"KQU62_RS09240",9061,20484,13271,22022,25008,23630,20101,10857,11065
"KQU62_RS09245",12835,27207,18210,27276,32054,31031,26118,16827,16589
"KQU62_RS09250",5780,13206,8398,14963,18010,18151,14069,7205,7426
"KQU62_RS09255",744,1524,1010,1602,2065,1930,1081,619,578
"KQU62_RS09260",1596,3067,2135,3652,4686,4304,2001,1211,1448
"KQU62_RS09265",4710,9875,6643,8942,12217,10706,5904,3560,3743
"KQU62_RS09270",4132,8761,5899,7538,10450,9736,5267,3108,2897
"KQU62_RS09275",1187,2540,1798,2624,3350,3138,1395,869,687
"KQU62_RS09280",7574,15132,10221,10613,13462,12209,7146,4252,4242
"KQU62_RS09285",7877,16104,11140,11202,15209,13637,7243,4397,4327
"KQU62_RS09290",6425,12750,8686,3008,3543,3406,2558,1762,1983
"KQU62_RS09295",4671,10138,6561,6366,8269,7243,4691,2616,2767
"KQU62_RS09300",6886,13775,9078,7224,9448,8357,5017,3245,3442
"KQU62_RS09305",114577,240559,160940,150742,194758,176427,166669,91741,100449
"KQU62_RS09310",1546,3188,2053,2278,2703,2456,1521,825,916
"KQU62_RS09315",6879,13842,11076,6520,9908,9355,4096,2689,2774
"KQU62_RS09320",1159,2497,1651,1068,1438,1410,839,435,397
"KQU62_RS09325",1074,2167,1456,904,1150,1017,499,297,318
"KQU62_RS09330",2108,4239,3080,2204,3015,2875,1592,960,1072
"KQU62_RS09335",1178,2448,1518,1898,2224,2019,1205,739,735
"KQU62_RS09340",2463,5478,3135,6938,8241,7844,6041,3713,3791
"KQU62_RS09345",1316,2853,1585,3378,3735,3399,2068,1517,1444
"KQU62_RS09350",2591,5538,3314,4511,5785,5259,3931,2201,2197
"KQU62_RS09355",1009,2094,1354,3164,4276,4114,2463,1453,1484
"KQU62_RS09360",1684,3592,2424,5130,6803,6676,3580,2708,2481
"KQU62_RS09365",880,1592,1119,2369,3163,2937,1795,1245,1385
"KQU62_RS09370",20544,41833,27687,17104,20342,19549,15077,9837,10421
"KQU62_RS09375",1572,3246,2130,4535,3866,3827,4128,2734,2758
"KQU62_RS09380",241,525,307,570,661,678,549,351,360
"KQU62_RS09385",2005,4180,2630,3636,4148,3864,2521,1389,1393
"KQU62_RS09390",638,1426,910,1172,1368,1279,758,377,386
"KQU62_RS09395",1032,1932,1225,2765,3042,2539,1329,779,869
"KQU62_RS09400",170,365,268,163,248,279,269,137,166
"KQU62_RS09405",228,429,255,315,307,270,351,212,226
"KQU62_RS09410",990,2234,1248,1728,1794,1514,1930,1272,1143
"KQU62_RS09415",44109,98484,64020,40035,46402,43407,34859,17845,19105
"KQU62_RS09420",2073,3687,2722,7480,8532,6192,4665,4180,4688
"KQU62_RS09425",24,35,30,75,103,119,50,25,18
"KQU62_RS09430",2484,5310,3412,1955,2463,2278,1516,827,915
"KQU62_RS09435",213,429,275,555,684,535,354,291,285
"KQU62_RS09440",17517,36716,26552,41785,60504,56405,64548,37533,38214
"KQU62_RS09445",330,608,418,598,578,534,1354,822,1210
"KQU62_RS09450",481,948,617,609,775,750,867,464,674
"KQU62_RS09455",94,243,157,98,146,162,107,60,85
"KQU62_RS09460",809,1753,1165,603,846,824,692,440,487
"KQU62_RS09465",203,478,318,461,656,513,336,242,259
"KQU62_RS09470",6630,14695,8797,10931,14422,14322,11320,6601,6780
"KQU62_RS09475",4077,8966,5169,7134,9308,9090,7058,3492,3404
"KQU62_RS09480",2404,5015,3315,4501,5750,5152,3310,1984,2043
"KQU62_RS09485",682,1264,848,855,910,943,559,281,337
"KQU62_RS09490",28,49,44,63,69,63,17,7,4
"KQU62_RS09495",1,0,0,0,0,0,0,0,0
"KQU62_RS09500",46,45,57,52,67,39,13,21,36
"KQU62_RS09505",91,153,115,164,221,171,38,24,49
"KQU62_RS09510",0,0,1,0,0,0,0,0,0
"KQU62_RS09515",0,0,0,0,0,0,0,0,0
"KQU62_RS09520",0,0,1,0,0,0,0,0,0
"KQU62_RS09525",148,244,270,462,224,204,203,214,155
"KQU62_RS09530",28,100,57,39,57,63,20,6,8
"KQU62_RS09535",281,544,421,144,169,114,80,62,69
"KQU62_RS09540",4703,9319,6355,5611,6299,5588,4476,3063,3350
"KQU62_RS09545",1450,3010,1913,2321,2877,2573,1595,903,1011
"KQU62_RS09550",849,2005,1208,1401,1535,1413,942,512,543
"KQU62_RS09555",1858,3912,2705,4179,4583,4345,3012,1394,1533
"KQU62_RS09560",3055,5888,3924,3703,4378,3841,2657,1723,2063
"KQU62_RS09565",3712,7954,5508,5240,6063,5897,5031,2626,2844
"KQU62_RS09570",1235,2403,1492,3048,3405,3300,3620,2062,2339
"KQU62_RS09575",191,303,195,1004,662,565,1102,615,897
"KQU62_RS09580",2311,4822,3125,10363,12350,11307,9679,6163,6136
"KQU62_RS09585",3070,6605,4139,1547,1503,1329,1287,625,647
"KQU62_RS09590",2229,5010,3067,786,840,675,535,284,290
"KQU62_RS09595",14015,29410,19393,2823,3511,2933,2362,1218,1274
"KQU62_RS09600",0,1,0,0,0,0,0,0,0
"KQU62_RS09605",2047,4303,2985,1516,1862,1626,1302,738,709
"KQU62_RS09610",3099,6587,4394,2177,2795,2400,2013,1144,1116
"KQU62_RS09615",1180,2339,1498,772,1027,939,587,347,342
"KQU62_RS09620",2972,6358,4040,2721,3444,3053,2036,1248,1338
"KQU62_RS09625",3886,8484,5956,6308,8399,9415,7092,4615,4355
"KQU62_RS09630",1022,2695,1623,2115,2629,3461,2390,1165,1187
"KQU62_RS09635",3538,8484,5720,6654,9518,9498,8092,4592,5452
"KQU62_RS09640",1223,2554,1912,2093,2961,3037,2114,1407,1569
"KQU62_RS09645",1552,3361,2075,1980,2352,2106,1858,1142,1252
"KQU62_RS09650",5454,11700,7833,3811,4607,4407,3468,2155,2313
"KQU62_RS09655",882,1867,1216,739,844,846,532,393,353
"KQU62_RS09660",238,526,326,1044,1753,1599,890,650,706
"KQU62_RS09665",183,386,251,1110,2014,1755,1184,842,877
"KQU62_RS09670",3,12,7,34,50,52,31,43,36
"KQU62_RS09675",61,107,81,458,793,701,548,382,438
"KQU62_RS09680",31,101,54,335,483,499,441,290,323
"KQU62_RS09685",29,50,47,231,348,360,390,238,257
"KQU62_RS09690",10,21,14,101,149,116,165,81,104
"KQU62_RS09695",282,594,301,447,553,518,359,210,218
"KQU62_RS09700",284,697,440,694,910,753,595,368,375
"KQU62_RS09705",14,40,24,24,28,26,12,6,11
"KQU62_RS09710",177,437,268,255,239,202,211,133,117
"KQU62_RS09715",30,68,43,70,84,69,53,21,25
"KQU62_RS09720",1,7,0,0,1,2,0,1,2
"KQU62_RS09725",2091,4634,3220,2273,2478,2305,2975,1689,1782
"KQU62_RS09730",139,262,145,333,327,297,225,100,128
"KQU62_RS09735",0,0,1,1,0,5,1,1,0
"KQU62_RS09740",80,176,117,206,285,267,176,96,106
"KQU62_RS09745",409,894,541,384,578,511,450,266,256
"KQU62_RS09750",780,1772,1093,1069,1355,1271,1026,564,611
"KQU62_RS09755",36,81,42,21,42,42,65,30,37
"KQU62_RS09760",1700,3382,2291,7548,8952,9589,12344,7257,7078
"KQU62_RS09765",5722,11503,7678,27763,31258,30977,36941,23138,23289
"KQU62_RS09770",5,21,5,29,29,32,13,10,10
"KQU62_RS09775",30,26,28,14,15,10,12,6,2
"KQU62_RS09780",330,768,398,471,474,485,331,150,162
"KQU62_RS09785",742,1726,952,1119,1354,1317,864,412,444
"KQU62_RS09790",15215,29112,21545,24111,34075,30631,15224,10887,10950
"KQU62_RS09795",12005,24137,16601,20054,28593,27475,11752,7613,7574
"KQU62_RS09800",2188,4835,3028,3601,4526,3968,3044,1866,1995
"KQU62_RS09805",1908,4281,2582,3903,4606,4096,3100,1940,2017
"KQU62_RS09810",1634,3596,2287,3829,4611,4197,3175,1637,1731
"KQU62_RS09815",788,1585,1089,2155,2428,2157,1309,885,891
"KQU62_RS09820",22694,43125,34409,47098,53836,47321,30828,20620,21093
"KQU62_RS09825",58900,120858,92447,129918,150632,139631,94957,50599,49743
"KQU62_RS09830",20595,36034,30398,35281,39156,34751,24716,18484,18663
"KQU62_RS09835",19498,39472,29208,40352,45163,43862,30281,17782,15337
"KQU62_RS09840",1089,2603,1783,2457,2745,3055,2055,917,776
"KQU62_RS09845",18931,39579,28631,41984,46880,43476,30751,16290,16254
"KQU62_RS09850",49397,101384,75745,112236,120271,106624,76861,41353,42136
"KQU62_RS09855",82957,166583,123293,185248,199707,181424,131740,71978,74495
"KQU62_RS09860",10654,21309,16141,24281,25812,24533,17741,10013,8769
"KQU62_RS09865",5783,11743,8475,13835,14412,13572,9201,5105,4355
"KQU62_RS09870",30220,54483,45291,58222,62218,55343,39581,29767,27711
"KQU62_RS09875",26082,49279,37447,52976,57628,50954,35331,21258,21134
"KQU62_RS09880",35418,70557,52529,77157,84894,74807,52824,27738,26982
"KQU62_RS09885",21378,43911,32537,49654,54095,53270,37153,18138,16931
"KQU62_RS09890",8146,16673,11765,18141,19716,17487,11520,6061,6467
"KQU62_RS09895",34111,68513,49649,73016,80708,74245,50447,28055,24817
"KQU62_RS09900",15492,31881,22717,34180,38416,36348,24885,12374,12495
"KQU62_RS09905",28150,58702,41983,61575,68104,60026,39890,21511,19781
"KQU62_RS09910",10296,21451,15240,22046,24278,22460,15576,8013,6117
"KQU62_RS09915",4428,8505,6184,8294,9690,8523,5173,3437,2988
"KQU62_RS09920",30526,60192,43973,61919,69021,57297,36148,22756,22759
"KQU62_RS09925",37105,73838,52712,72586,82275,73915,45169,25507,25927
"KQU62_RS09930",15581,30785,21048,30815,34135,27786,15582,11327,10808
"KQU62_RS09935",4087,8449,5650,8215,9373,9939,5375,2955,2742
"KQU62_RS09940",76468,152592,110733,143902,171084,146751,84902,49626,51906
"KQU62_RS09945",19654,39583,28872,37667,44120,39612,23445,12555,12607
"KQU62_RS09950",44576,82993,61977,70307,83055,67854,38900,28654,30975
"KQU62_RS09955",46832,93318,66136,82758,99028,86718,51045,28384,27011
"KQU62_RS09960",8916,17723,12264,14891,17785,16129,8784,5221,5641
"KQU62_RS09965",2255,5014,3133,2334,2851,2584,1910,1023,1028
"KQU62_RS09970",8685,17999,12039,12318,19236,16357,9523,5500,5968
"KQU62_RS09975",3772,7854,5225,7532,8606,7415,6485,4057,4104
"KQU62_RS09980",12,14,4,16,21,12,6,3,5
"KQU62_RS09985",1006,2013,1253,2294,2717,2276,1572,941,1026
"KQU62_RS09990",9165,20087,12825,6115,7433,6890,5683,3001,3337
"KQU62_RS09995",2,10,5,5,4,8,3,4,3
"KQU62_RS10000",610,1198,734,833,1016,791,586,365,383
"KQU62_RS10005",205,462,298,670,784,793,514,229,216
"KQU62_RS10010",1199,2596,1611,3242,3879,3865,2724,1358,1396
"KQU62_RS10015",12283,25410,17240,16222,20850,18532,12911,8486,8685
"KQU62_RS10020",4980,10623,7061,5523,7096,6589,4576,2715,2676
"KQU62_RS10025",459,844,564,404,468,364,268,210,236
"KQU62_RS10030",449,867,596,559,633,534,319,218,223
"KQU62_RS10035",67,151,90,96,131,154,41,20,23
"KQU62_RS10040",878,1760,1080,1678,2340,1977,1221,762,831
"KQU62_RS10045",441,990,559,1411,1823,1793,1088,721,758
"KQU62_RS10050",1,6,2,2,2,0,3,1,0
"KQU62_RS10055",3931,8354,5279,5702,7935,7333,4528,2639,2605
"KQU62_RS10060",2490,5064,3271,3483,4768,4244,2590,1679,1775
"KQU62_RS10065",261,367,303,306,361,347,197,187,190
"KQU62_RS10070",461,926,660,954,1327,1386,816,573,453
"KQU62_RS10075",327,627,403,818,1157,1155,666,361,335
"KQU62_RS10080",1492,3149,2102,4590,6362,5994,3849,2357,2479
"KQU62_RS10085",1134,2241,1425,2163,2461,2120,1534,966,1060
"KQU62_RS10090",491,983,627,1521,2083,1853,1183,846,808
"KQU62_RS10095",772,1465,994,3379,4380,4062,2758,1739,1801
"KQU62_RS10100",1774,3721,2410,8609,10542,9331,7732,4510,4712
"KQU62_RS10105",2033,4668,2761,12059,14492,12609,10284,5809,6082
"KQU62_RS10110",1558,3172,1969,8045,9050,8043,5644,3174,3109
"KQU62_RS10115",1689,3486,2141,3054,3786,3346,1898,1177,1280
"KQU62_RS10120",1017,2107,1316,2413,2863,2517,1612,883,972
"KQU62_RS10125",660,1438,930,1547,1941,1773,1106,553,696
"KQU62_RS10130",633,1177,780,801,970,836,610,410,395
"KQU62_RS10135",1904,4089,2662,993,1228,1194,619,281,353
"KQU62_RS10140",625,1262,830,1032,1131,1094,1036,838,803
"KQU62_RS10145",131,340,166,108,155,138,100,74,68
"KQU62_RS10150",76,115,70,11,15,11,8,4,7
"KQU62_RS10155",549,1206,716,77,132,122,92,55,44
"KQU62_RS10160",4369,9321,5428,811,1337,1128,855,525,525
"KQU62_RS10165",1115,2361,1400,314,428,373,302,154,177
"KQU62_RS10170",1895,4100,2200,489,743,631,510,233,255
"KQU62_RS10175",1256,2740,1719,335,503,447,348,226,232
"KQU62_RS10180",3050,6634,3696,963,1377,1224,842,515,513
"KQU62_RS10185",3604,8284,4592,15374,18180,18119,16374,7616,7852
"KQU62_RS10190",481,1036,576,1138,1214,835,611,737,766
"KQU62_RS10195",75,161,91,489,602,510,248,115,154
"KQU62_RS10200",171,358,195,1193,1527,1272,690,357,375
"KQU62_RS10205",16762,30839,22204,7361,16436,13161,2800,1746,1821
"KQU62_RS10210",463,1092,623,601,807,729,732,356,397
"KQU62_RS10215",2240,5030,3421,3416,4759,4268,2285,1391,1548
"KQU62_RS10220",2363,5294,3432,2594,3535,3397,1726,783,779
"KQU62_RS10225",684,1425,797,1995,1442,1506,1552,987,1035
"KQU62_RS10230",2418,4835,3543,1444,2483,2000,1289,816,937
"KQU62_RS10235",5070,10021,5915,8293,10812,9514,7378,5784,6187
"KQU62_RS10240",1707,3799,2390,3142,3890,3546,2131,1557,1606
"KQU62_RS10245",2228,4623,3079,3536,5400,4816,2180,1299,1275
"KQU62_RS10250",327,732,502,672,1008,967,390,184,197
"KQU62_RS10255",1020,2154,1304,6510,8230,8107,6683,4292,4091
"KQU62_RS10260",6598,14180,8232,46160,56498,50527,40851,24219,25585
"KQU62_RS10265",4048,9162,5645,12710,15232,13724,9413,5168,5391
"KQU62_RS10270",1033,2082,1289,892,998,998,1126,567,631
"KQU62_RS10275",1017,2228,1288,3010,3371,3296,2758,1635,1746
"KQU62_RS10280",1899,3910,2264,1402,1481,1445,540,283,296
"KQU62_RS10285",9,24,6,12,28,20,6,2,8
"KQU62_RS10290",1129,2589,1559,8555,9088,8714,6221,3415,3726
"KQU62_RS10295",4048,9279,5855,16716,18492,17785,9982,5104,5462
"KQU62_RS10300",537,1086,753,968,1242,1136,598,336,326
"KQU62_RS10305",326,626,430,587,673,529,323,260,268
"KQU62_RS10310",489,1042,643,617,753,674,518,356,373
"KQU62_RS10315",1640,3467,2126,2553,3113,2827,2075,1066,1212
"KQU62_RS10320",353,704,381,1196,1349,1168,806,417,425
"KQU62_RS10325",491,1098,650,1593,2285,1844,1021,556,576
