"gene_id","QOBWO025A5_20210322102047__S10_R1_001.bam","QOBWO026AD_20210322102047__S11_R1_001.bam","QOBWO027AL_20210322102047__S12_R1_001.bam","QOBWO028AT_20210322102047__S13_R1_001.bam","QOBWO029A3_20210322102047__S14_R1_001.bam","QOBWO030A6_20210322102047__S15_R1_001.bam","QOBWO070A0_20210322102047__S16_R1_001.bam","QOBWO071A8_20210322102047__S17_R1_001.bam","QOBWO072AG_20210322102047__S18_R1_001.bam"
"KQU62_RS05505",53,122,71,27,54,53,45,22,28
"KQU62_RS05510",1253,2887,1787,1145,1302,1356,823,433,482
"KQU62_RS05515",4193,8496,5581,3328,4264,3841,3022,1678,1911
"KQU62_RS05520",3372,6976,4613,3658,4373,3857,1676,919,925
"KQU62_RS05525",4463,9536,6278,5638,6742,6224,3049,1846,1873
"KQU62_RS05530",1197,2507,1656,1293,1586,1439,791,465,485
"KQU62_RS05535",1540,3091,2036,2790,3224,3005,2610,1546,1773
"KQU62_RS05540",4186,8594,5555,8830,10638,9481,7791,4436,5051
"KQU62_RS05545",2632,5622,3455,9407,12596,13553,6433,4342,4194
"KQU62_RS05550",6493,14207,9294,33548,43604,41870,22001,13671,15838
"KQU62_RS05555",804,1690,977,3195,3993,3587,2319,1170,1254
"KQU62_RS05560",353,737,448,1574,1888,1783,813,466,484
"KQU62_RS05565",18,41,32,34,36,44,15,6,21
"KQU62_RS05570",25,38,24,19,33,36,13,15,2
"KQU62_RS05575",2478,5429,3340,2983,3666,3458,3029,1892,1946
"KQU62_RS05580",4047,8886,5814,4717,5487,5328,4453,2565,2463
"KQU62_RS05585",547,1272,775,556,688,622,432,263,222
"KQU62_RS05590",4606,9765,6010,6775,8170,6740,4404,2497,2525
"KQU62_RS05595",11,20,4,18,27,35,10,7,11
"KQU62_RS05600",1551,3329,2141,1640,2034,1943,1455,893,839
"KQU62_RS05605",3179,6679,4653,3743,4370,3826,3059,2165,2078
"KQU62_RS05610",2355,5179,3264,3116,3836,3683,2751,1441,1365
"KQU62_RS05615",4435,8997,6276,6094,7158,6572,4843,3086,3134
"KQU62_RS05620",3614,7871,5429,8098,9773,8676,5984,3709,3626
"KQU62_RS05625",1414,2858,1998,3140,3923,3786,2575,1423,1411
